Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Investment Data Analyst,$74K - $118K (Glassdoor est.),"Business Description
DWS Group (DWS) is one of the world's leading asset managers with EUR 833bn of assets under management (as of 30 June 2022). Building on more than 60 years of experience, it has a reputation for excellence in Germany, Europe, the Americas and Asia. DWS is recognized by clients globally as a trusted source for integrated investment solutions, stability and innovation across a full spectrum of investment disciplines.
We offer individuals and institutions access to our strong investment capabilities across all major asset classes and solutions aligned to growth trends. Our diverse expertise in Active, Passive and Alternatives asset management – as well as our deep environmental, social and governance focus – complement each other when creating targeted solutions for our clients. Our expertise and on-the-ground-knowledge of our economists, research analysts and investment professionals are brought together in one consistent global CIO View, which guides our investment approach strategically.
DWS wants to innovate and shape the future of investing: with approximately 3,500 employees in offices all over the world, we are local while being one global team. We are investors – entrusted to build the best foundation for our clients’ future.
Overview
The Investment team is looking for a data analyst with financial analytic skills to bring data and predictive modeling skills to a lean, seven-professional, long-only equities investment team. The team manages approximately $10 billion on behalf of mandates marketed to retail and institutional investors.
What We Offer You
We offer competitive health and wellness benefits, empowering you to value life in and out of the office
Retirement savings plans, parental leave, and other family-friendly programs
Your Key Responsibilities:
Assist in developing market level forecasts using input from internal and external research groups to drive sector revenue growth and IRR models
Build and maintain database and models that help determine macro drivers and financial data of companies under coverage as well as earnings/valuation models for companies within investment universe
Assist in conducting regular research on existing holdings to ensure they continue to meet stated investment objectives
Meet regularly with, and present recommendations/written summaries to Portfolio Managers; interact with investment management/research staff/brokers/company management/traders/outside investment analysts/etc
Your Skills and Experience:
Basic finance/accounting skills
Strong proficiency in programming languages (SQL, C#, R, Python, etc.) and Excel (including VBA)
Desire to be junior member of an investment team
Willingness to work necessary hours to solve challenging problems and achieve goals
BA or BS required work experience
Our values define the working environment we strive to create - diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.
We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.



We are an Equal Opportunity Employer - Veterans/Disabled and other protected categories. Click these links to view the following notices: ""EEO is the Law poster"" and supplement ; Employee Rights and Responsibilities under the Family and Medical Leave Act ; Employee Polygraph Protection Act and Pay Transparency Nondiscrimination Provision .",3.9,"Deutsche Bank
3.9","Chicago, IL",10000+ Employees,1870,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
CAT Risk Analyst,Employer Provided Salary:$67K - $110K,"Who Are We?
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Compensation Overview
The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.
Salary Range
$66,800.00 - $110,200.00
Target Openings
1
What Is the Opportunity?
The Travelers Catastrophe Risk Management group is seeking a Sr. Consultant to join our team. You will be joining a group of dedicated professionals charged with leading Travelers to be in position to successfully endure catastrophic loss from natural and man-made perils.

The Catastrophe Risk Management team is responsible for state-of-the-art analytics related to natural and man-made hazards. The team uses cutting edge tools, quantitative methods, and technologies to evaluate risk. We engage in Enterprise-wide multi-disciplinary catastrophe research projects with various depths of focus.
Primary Job Duties & Responsibilities
Develops general knowledge of catastrophe risk evaluation.
Provide quantitative and analytic support for reporting and modeling including interpreting results.
Develops and analyzes catastrophe loss estimates by using proprietary models and tools.
Intermediate knowledge of Enterprise CAT Informational Technology platforms and Business Intelligence tools.
Analyzes policyholder/reinsurance coverage and interprets impact to catastrophe results
Independently reports on risk/reward metrics.
Analyzes and provides recommendations using analysis and interpretation of data and trends.
Perform catastrophe peril research, and analyzes results partnering with subject matter experts.
Implement and review calibrations of latest science and Travelers view of risk into models and business processes.
Interprets business and market results.
Interprets and summarizes impacted coverages and analyzes impacted exposures.
Creates and maintains collaborative relationships with business partners.
Identify & monitor emerging issues related to natural and man-made catastrophe perils, which may include weather trends, climate related risks, cyber and new science.
Assist with quantifying impact of potential legislative and regulatory actions.
Support completion of timely and accurate responses to regulatory inquiries.
Recommends, identifies, selects and extracts relevant data from various internal and external sources. Suggests possible analytic/quantitative approaches.
Completes analysis and presents recommendations to team members and may present to business partners.
Minimum Qualifications
2 years relevant analytics experience required.
Education, Work Experience, & Knowledge
Intermediate knowledge of Microsoft suite, SQL, geospatial, statistical packages or other programs used to retrieve and analyze data preferred.
Basic knowledge of insurance concepts, coverage, products and operations preferred.
Job Specific Technical Skills & Competencies
Intermediate knowledge and understanding of Catastrophe Risk Modeling components.
Intermediate understanding of model output and metrics.
Accountability: Takes ownership and responsibility for actions and outcomes, performance and results.
Analytical Thinking: Identifies current or future problems or opportunities, analyzes, synthesizes and compares information to understand issues, identifies cause/effect relationships and explores alternative solutions to support sound decision making.
Change Management/Resilience: Remains energized and focused in the face of ambiguity, change or strenuous demands.
Communication: Demonstrates effective verbal, written and listening communication skills.
Customer Focus: Provides service excellence to internal or external clients.
Judgment/Decision Making: Exercises sound judgment, makes decisions and commits to a position.
Leveraging Differences: Works with and includes people from different backgrounds, experiences, cultures, races, etc. and views those differences as assets to be leveraged to accomplish business goals and objectives.
Relationship Management: Seeks out, builds, fosters and maintains productive relationships, networks or alliances to meet goals and achieve results.
Teamwork: Works together in situations when actions are interdependent and a team is mutually responsible to produce a result.
Level can vary dependent on candidate experience.

Travelers offers a hybrid work location model that is designed to support flexibility.
#LI-Hybrid
Employment Practices
Travelers is an equal opportunity employer. We value the unique abilities and talents each individual brings to our organization and recognize that we benefit in numerous ways from our differences.

If you are a candidate and have specific questions regarding the physical requirements of this role, please send us an email so we may assist you.

Travelers reserves the right to fill this position at a level above or below the level included in this posting.
To learn more about our comprehensive benefit programs please visit http://careers.travelers.com/life-at-travelers/benefits/.

0",3.9,"The Travelers Companies, Inc.
3.9","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Online Data Analyst,Employer Provided Salary:$12.10 Per Hour,"About TELUS International AI Inc.:
TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com
The Position:
We are recruiting for Online Data Analysts in United States of America. The job involves for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The position will allow you to have the flexibility and freedom to work from your own home, working your own hours on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool.
What does the job involve?
· Ability to follow guidelines and do research online using search engines, online maps and website information
· You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in USA
· Being open to work across a diverse set of Task Types (e.g. Maps, News, Audio tasks, Relevance)
Strong attention to detail and excellent communication are essential
Ability to work independently and flexibility to new techniques/processes
Preferred level of education/certification - High School degree or higher
Further opportunities may arise to contribute to other tasks on a freelance basis
What are the main requirements for the job?
18+ years of age
You must speak English at an idiomatic level
You must be living in USA
A keen interest in Internet research
All candidates will need to pass online evaluations to demonstrate capability of reading and applying the guidelines.
Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense
Job Type: Part-time
Pay: $12.10 per hour
Benefits:
Flexible schedule
Schedule:
Self-determined schedule
Work Location: One location",3.8,"TELUS International AI Inc.
3.8","Washington, DC",10000+ Employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,$63K - $94K (Glassdoor est.),"Introduction to the job
We have an exciting opportunity for a Logistics Reporting Analyst at our location in San Diego, CA. This position works under moderate supervision and will organize and handle a variety of logistics analysis issues in a warehouse and manufacturing environment.Duties involve but are not limited to creating standardized KPI’s and Operational metrics, supply chain analysis of inventory, critical parts availability, material handling, shipment of products, and third-party warehousing.Positively affect the relationship between the company and internal/external customers, from a financial and product standpoint. Serves as liaison between warehouse operations, manufacturing, finance and planning teams to coordinate product analysis.Champions issues to cross-functional departments.
Role and responsibilities
Develop reports/dashboards to automate effective supply chain management communication on inventory health.
Create key performance indicators (KPI) reports utilizing ORACLE, Business Objects, Agile, Spotfire and Power BI.
Liaise with various departments within supply chain teams to gather requirements to create reporting enhancements to provide more efficiencies and automation.
Back up support for team in support of part allocation, tracking, KPI reporting.
Develops appropriate controls and performance measures to assist in the accomplishment of team’s objectives.
Supports cross functional teams to expedite and resolves problems.
Understands Customer contracts, Service Agreements, and commitments required.
Responsible for contributing to policy and process improvements, and updates as needed.
Performs other duties as assigned.
Education and experience
Bachelor’s Degree or Masters Degree preferred in Computer Science, Data Analytics or Engineering.
Minimum of three to five (3-5) years of experience.
Proficient in Microsoft SQL, Denodo, Power BI and Spotfire
ORACLE, SAP, Agile, Business Objects, and SharePoint experience is strongly preferred.
Proficient with Microsoft Excel, Word, PowerPoint, Outlook and Teams.
Skills
Working at the cutting edge of tech, you’ll always have new challenges and new problems to solve – and working together is the only way to do that. You won’t work in a silo. Instead, you’ll be part of a creative, dynamic work environment where you’ll collaborate with supportive colleagues. There is always space for creative and unique points of view. You’ll have the flexibility and trust to choose how best to tackle tasks and solve problems.
To thrive in this job, you’ll need the following skills:

Excellent written and verbal communication skills.
Ability to translate, statistically analyze data, and effectively report problems through written and/or graphical formats.
Must be able to work on complex issues where analysis of situations or data requires an in-depth evaluation of variable factors.
Exercises independent judgment in selecting methods, techniques and evaluation criteria for obtaining results.
Networks with key contacts outside own area of expertise.
Excellent customer service skills, with an advanced understanding of customer relationship building.
Ability to use MS Word, Excel, PowerPoint, SharePoint and electronic e-mail systems.
Requires working knowledge of inventory planning.
Ability to apply principles, techniques, and methods in managing inventory.
Ability to calculate figures and amounts such as discounts, interest, proportions, percentages.
Requires ability to evaluate indented BOM structures.
Requires excellent customer service, negotiation and follow-up skills.
Must be able to handle multiple tasks in a fast-paced working environment.
Knowledge of freight, transportation and logistics industry required.
Ability to work independently on job functions and departmental tasks.
Diversity & Inclusion
ASML is an Equal Opportunity Employer that values and respects the importance of a diverse and inclusive workforce. It is the policy of the company to recruit, hire, train and promote persons in all job titles without regard to race, color, religion, sex, age, national origin, veteran status, disability, sexual orientation, or gender identity. We recognize that diversity and inclusion is a driving force in the success of our company.
Other information
This position is located off-site 3PL warehouse in San Diego, County. It requires onsite presence to attend in-person work-related events, trainings and meetings and to further teamwork, collaboration and innovation.
A flexible workplace arrangement may be available to employees working in roles conducive to remote work (up to two days a week).
Routinely required to sit; walk; talk; hear; use hands to keyboard, finger, handle, and feel; stoop, kneel, crouch, twist, reach, and stretch. Occasionally required to move around the campus.
Occasionally lift and/or move up to 35 pounds.
Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.
EOE AA M/F/Veteran/Disability

Need to know more about applying for a job at ASML? Read our frequently asked questions.
#LI-MC1

#LI-Hybrid (Onsite for first 90 days)",4.1,"ASML
4.1","San Diego, CA",10000+ Employees,1984,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD)
Data Specialist,-1,"StormTrap is seeking a passionate, organized and dedicated doer to join our team as a System and Data Quality Specialist. They will be responsible for assisting in basic system administration, data collection, and ensuring data quality in a positive and professional manner. The position will perform, oversee and maintain proper data entry and organization as well as have the opportunity to create and execute system administration special projects. They will be the key administrator for StormTrap’s Box and Box Sign systems.
Key Responsibilities
Perform complete and proper data entry into customer relations management database and online content management systems.
Oversee proper data maintenance and file organization.
Review existing data for quality and correctness. Communicate needed corrections to proper parties.
Ability to create and execute system administration special projects with assistance and oversight from systems team and governance committees.
Serve as main administrator for Box and Box Sign, our online content management system/eSignature software.
Proactively research system improvements, new releases and best practices that can be implemented into our organization.
Work in a collaborative environment with sales, operations, finance, and marketing teams.
Desired Skills and Experience
Strong organizational and time management skills. Experience and strong ability to juggle multiple tasks while coordinating with various departments. Technological aptitude with experience or strong desire to learn our business systems and technologies – including but not limited to: Salesforce or similar CRM, Box or similar online content management software, and Box Sign or similar eSignature software. Exceptional listening and communication skills and ability to perform under pressure and meet deadlines.
Self-starter, accountable, ethical, hard-working, organized, personable and able to work well independently and with others.
Qualifications
Experience in a professional environment
Bachelor's degree encouraged
Business technology and system proficiencies – preferably with those listed above
Propensity to learn and internalize information quickly and effectively
Travel as required to fulfill the duties as defined above; however, most travel will center on attendance at corporate meetings as planned
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Employee discount
Health insurance
Life insurance
Paid time off
Referral program
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Bonus pay
Experience:
System administration: 1 year (Preferred)
Database administration: 1 year (Preferred)
Work Location: Remote",-1,StormTrap,Remote,-1,-1,-1,-1,-1,-1
Data Analyst / Engineer,-1,"Infosys is seeking a BigQuery Developer with Cloud & GCP experience. The position will primarily be responsible interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design. You will play an important role in creating the high-level design artifacts. You will also deliver high quality code deliverables for a module, lead validation for all types of testing and support activities related to implementation, transition, and warranty. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.

Required Qualifications:

Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education.
At least 4 years of Information Technology experience.
U.S. citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time.
Experience in Big Query (incl. performance optimization and tuning of query and tables)
Experience in Cloud SQL, DataProc

Preferred Qualifications
At least 4 years of experience in Big Query.
At least 2 years of experience in Data Engineering and Analytics solutions on Google Cloud Platform
At least 2 years of experience in Project life cycle activities on development and maintenance projects.
At least 2 years of experience in Design and architecture review.
Experienced in DBT
Understanding of GCP resource based pricing and optimization techniques
Understands basics of CI / CD and able to write unit test cases, and integrate with CI / CD
Hands on experience in using Apache Spark
Experience in BMC Control-M or equivalent for job scheduling
Experienced with one or more of the following domain areas: Order/Subscription lifecycle, Revenue recognition/Invoices/GL Postings, Sales Opportunities/Deal management, Standard recurring revenue metrics, SAFE Agile practices, JIRA toolset
Strong communication and Analytical skills
Ability to work in team in diverse/ multiple stakeholder environment
Experience and desire to work in a Global delivery environment

The job entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face. Travel may be required as per the job requirements.

About Us
Infosys is a global leader in next-generation digital services and consulting. We enable clients in 46 countries to navigate their digital transformation.

With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

To learn more about Infosys and see our ideas in action please visit us at www.Infosys.com

EOE/Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity/National Origin",3.3,"Infosys
3.3",Remote,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Quality Analyst,$49K - $76K (Glassdoor est.),"Maintains current knowledge of regulatory requirements for requirements for record content, completion, privacy and quality standards. Facilitates the dissemination to the Vice President of Quality and other appropriate personnel when notifications of changes to regulations are identified.
Stay current on reporting requirements and changes to national and local guidelines and performance targets.
Reviews data sets as they pertain to Value Based Purchasing, hospital Inpatient Quality Reporting, Hospital Readmission Rates and other major quality reports from CMS QualityNet, Comp data, The Joint Commission, Leapfrog and other reporting and oversight bodies.
Effectively navigates through the electronic medical record system to establish routines and reports relating patient safety indicators, infection control, mortality and other data sets.
Performs audits required by accrediting organizations to determine if the information in the medical records is meeting set standards and regulations. Ad, performs assigned Medicaid, Medicare, and other third-party payer audits.
Abstracts medical records for compliance with mandatory performance measures for CMS and The Joint Commission utilizing all applicable reporting tools and software. Participates in implementation, concurrent review and abstraction for new measure sets.
Extrapolates, analyzes and converts data into useful business intelligence using a variety of mediums and graphical displays.
Maintains project documentation and ensures adherence to quality and compliance standards for project deliverables.
Education
Preferred
Associates or better",2.2,"Humboldt Park Health
2.2","Chicago, IL",501 to 1000 Employees,1894,Hospital,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
Business Analyst,Employer Provided Salary:$60K - $75K,"Summary:
The Business Analyst provide program and project support to the United
States Securities and Exchange Commission’s Office of Ethics Counsel. The Office of Ethic’s Counsel (OEC) is responsible for advising and counseling all Commission employees and members on such issues as personal and financial conflicts of interest, post-employment restrictions, securities holdings and transactions of Commission employees and their immediate families, gifts, seeking and negotiating other employment, outside activities, and financial
disclosure. The Ethics staff also drafts, comments on, and implements regulations concerning ethical conduct issues.
Place of Performance: This is a permanent remote position. Services shall only be rendered within the continental United States. Work hours may begin as early as 7 am and end as late as 6pm Eastern Time.
Duties and Responsibilities:
 Confidential financial disclosure system (CFDS) reconciliation of several OHR (Office of
Human Resources) -generated personnel reports (new hires, departures, promotions,
detailed to SEC, detailed from SEC, special category employees, etc.) to the confidential
financial disclosure system (CFDS) by adding or deleting filers and/or updating their
employee information.
 Coordinate with administrative officers assigned to each Division or office to ensure they
update CFDS as needed.
 Review financial disclosure forms and identify conflicts of interest as well as reporting
deficiencies, working closely with OEC PM’s.
 Keep the OEC PMs updated via email on all changes, additions in CFDS.
 Coordinate with the public financial disclosure team about internal promotions, demotions, and other personnel changes that determine which from the employee completes and when and update CFDS accordingly.
 Monitor several OHR- generated personnel reports (new entrants, terminating employees, promotions, detailed to SEC, detailed from SEC etc.).
 Maintain an Excel Spreadsheet-record information about new entrants, incumbent senior officers and terminating senior officers (effective date, due date of report, date filed).
 Coordinate with Form 450 team to notify them (via email) of internal promotions and other personnel changes that impact whether an employee files a Form 450.
 Maintain information about various training classes of Senior Officers on Excel
Spreadsheet (e.g., NEO, one-on-on, virtual) and provide information, as needed, to the training coordinator.
 Record when a filer has filed a Form 278-T on the Excel Spreadsheet and any late fees.
 Monitor Excel Spreadsheet on a daily or weekly basis to determine if any 278 reports are due that day (or that week) and email Senior Officers a reminder of the due date, as needed.
 Process extension requests by emailing the DAEO for approval and notifying the fileradd approval information to Excel Spreadsheet and save extension request to J drive.
 Assist with processing late fees for late 278 reports.
 Draft and send initial email to new entrant filers using a standard email template.
 Create and send a Section 207(c) notification to new entrants and save a copy of Word document on J drive in employee’s folder.
 Draft and send an email to SOs who are terminating and obtain a personal email address for contacting the employee after they leave the SEC.
 Email OGE to merge Integrity accounts, as needed, and notify the filer of the change, including instructions about how to access Integrity with the new email address.
 Save certified 278 reports on the J drive in the filer’s folder.
 Confirm outside employment status for Schedule C filers on a yearly basis.
 Assist with OGE Annual Questionnaire by providing information from the 278 Excel Spreadsheet.
 Other duties as assigned
Minimum Qualifications: (To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.)
 Bachelor’s Degree or more advanced degree in a related labor category field such as business, finance, or accounting from an accredited college, university, school, or educational institution that has been accredited by accrediting bodies or organizations recognized by the US Department of Education.
 Four year’s recent and relevant experience as a Business Analyst.
 Proficient in Microsoft Office Suite including Excel, SharePoint, and web-based
information technology systems.
 Ability to provide favorable credit history.
Knowledge, Skills and Abilities:
 Demonstrated experience organizing and effectively managing a large volume of data
and tracking and meeting critical deadlines.
 Experience supporting and preparing communications for executive level personnel.
 Ability to review and accurately process detailed information in accordance with established procedures.
 Demonstrates proficiency in a variety of business disciplines such as but not limited to human resources, finance, logistics, and enterprise resource planning.
 Detail oriented, analytical, and strong organizational skills.
 Strong interpersonal and excellent communication skills.
 Protect confidential, personal information.
Job Types: Contract, Full-time
Pay: $60,000.00 - $75,000.00 per year
Benefits:
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Experience:
Business Anaylst: 4 years (Required)
Work Location: Remote",1.0,"Prosperitus Solutions
1.0",Remote,51 to 200 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Healthcare Data Analyst,-1,"AllCare offers competitive wages, an excellent benefit package that includes a 401k retirement, wellness program, and telecommute and flexible work schedule programs.
Since 2016, AllCare Health has been a Certified B Corp®. As a Certified B Corp®, AllCare Health considers its impact on society and the environment during the business decision-making process, and has long recognized the real value in social, economic, and environmental concerns of its stakeholders, including its employees, customers, and community members.
Grants Pass is located in Southern Oregon on the Rogue River and is surrounded by mountains and breathtaking views. The community is ideal for families and outdoor enthusiasts, with a temperate climate and easy access to outdoor recreation, wineries, outdoor concerts, the Ashland Shakespeare Festival, and much more.
AllCare Health requires all employees to be vaccinated against the COVID-19 virus unless there is a qualifying medical and/or religious exemption. Please contact the Human Resources department if you would like to request an accommodation.
AllCare Health:
https://www.allcarehealth.com/
B Lab:
https://bcorporation.net/about-b-corps
COVID-19 considerations:
AllCare Health is following all safety guidelines and directives from OSHA, the CDC, OHA, and our local public health department.
Summary
AllCare Health is looking for an experienced Healthcare Data Analyst to join our team at AllCare Health where we practice continual improvement, collaboration and mentorship, improved security in everything we do as we increase our feature suite.
Essential Duties:
1. Designs dashboards and/or models and reports to support AllCare business units.
2. Works collaboratively within a high-functioning Health Information Technology team using the SCRUM Methodology.
3. Partners with the IT Business Analysts to understand data needs to support the business
4. Creates and manages detailed reporting for various business units such as Population Health, Utilization Management, Pharmacy, Claims, etc.to support business decisions and compliance.
5. Articulates understandable explanations of complex clinical data or trends to all staff through oral, written and graphical representations.
Essential Skills:
1. Comprehensive Microsoft SQL Skills
2. Working knowledge with developing dashboards and other visualizations using tools such as Tableau
3. Knowledge of Healthcare EDI (X12 Data Sources)
4. Ability to work from home using team collaboration tools such as Zoom, Slack/Mattermost, and Microsoft DevOps.
5. Comprehensive knowledge with Microsoft SQL Server including:
6. Working knowledge of GIT for version control.
7. Experience with SDLC Methodologies:
· Agile, use of architectural patterns/frameworks.
· Ability to collaborate on requirements for projects and requests.
· Ability to properly assess and articulate work.
8. Knowledgeable in applicable data privacy practices and regulations (PII, PHI, HIPAA) is preferred.
Education & Experience
Bachelor's degree (BA) from a four-year college or university; or one to two years related experience and/or training; or equivalent combination of education and experience.
Computer Skills
Has advanced skills in working with hardware, software, support, and management of computer systems and can adapt extremely well to newer applications. Has advanced skills working with programming and networking computer software and systems
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Work Location: Remote",3.2,"ALLCARE HEALTH
3.2",Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Financial Data Analyst,-1,"Above Lending, Inc. is a next-generation financial services company. We provide simple and transparent products aimed to help our clients achieve their personal finance aspirations and take control of their debt. With competitive rates and personalized support from our loan specialists, our mission is to simplify the lending process and help borrowers attain financial well-being. We are passionate about making credit more affordable and accessible, and we're committed to helping our clients accomplish their goals.
About the Role
The Financial Data Analyst will be responsible for performing analysis and using SQL to source data, develop and update financial documents, and report KPI metrics. The ideal candidate will have a strategic mindset and will quickly build a holistic understanding of the business. In this role there is a specific focus on Business Analyst related skills such as SQL, dataset manipulation, effective use of Excel / pivot tables, and performance reporting. As time allows, they may assist in other team initiatives and projects spanning data management, external party reporting, and financial modeling.
What You'll Do
Performance reporting to managers and executives
Conduct insightful analyses on major trends, challenges and opportunities and create clear and effective visualizations
Develop a thorough understanding of every aspect of running the business
Consider end-to-end processes dependencies and advise on the effects of changes
Resolve issues and push through obstacles by being resourceful and self-directed
Actively participate in and influence discussions around reporting requirements, data needs, and financial models
Consistently deliver high-quality data for members within the team
Follow, maintain and improve all documentation for projects, analyses and reports
Provide subject matter expertise for multiple projects concurrently through all phases of the development lifecycle
Exercise flexibility in handling multiple tasks in this fast-paced FinTech/Start-up environment
What We Look For
Bachelor's degree in Economics, Engineering or other fields that focus on critical problem solving through quantitative methods
0 - 2 years of work experience in an analytical organization; 1+ years of experience working with joining data together, interrogating and vetting the data
Sound understanding of best practices and methodologies; experience with relational structures, structured query language (SQL), data warehouse, and reporting techniques
Experience as a financial/business analyst, in a dynamic business environment, with demonstrated reporting, analytical, and database experience
Self-motivated and managed, exceptional follow-through
Solid problem-solving skills and a strong analytical thought process
Excellent oral and written communication skills and superior customer service record
Proven track record in taking ownership to deliver results within a fast-paced environment
Passionate about improving customer experience
Why join us?
We are looking for great people to join a fast-paced, growing, and innovative business. For eligible fulltime employees, we offer:
Considerable employer contributions for health, dental and vision programs
Generous personal time-off
401(K) match
Merit advancement opportunities
Career development & training
More importantly, our team spirit and culture are what really sets us apart as a company. We’re a world-class company that loves what we do…and we have fun doing it!
Under the California Consumer Privacy Act (“CCPA”), Above Lending is informing California residents who are our job applicants, contractors or prospective employees (together “job applicants”) about the categories of personal information we collect about you and the purposes for which we will use this information. This notice and our Privacy Policy contain important information relating to the CCPA and apply only to personal information that is subject to the CCPA. Please see our website for the full CCPA statement.
*Above Lending is an equal opportunity Employer*
Above Lending does not accept unsolicited resumes from individual recruiters or third-party recruiting agencies in response to job positions. No fee will be paid to their parties who submit unsolicited candidates directly to Above Lending employees or the Above Lending Finance and HR teams. No placement fee will be paid to any third party unless such a request has been made by the Above Lending HR team.
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Work Location: Remote",5.0,"Above Lending
5.0",Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
