title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Intermediate Business Analyst,"Aetos Systems, Inc.","Redstone Arsenal, AL",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/intermediate-business-analyst-at-aetos-systems-inc-3891491582?position=1&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=oAug52T47EDZ1WR5I9fxfA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Join Our Team at Aetos Systems, Inc.!Become an Intermediate Business Analyst with Aetos at Redstone Arsenal in Huntsville, AL.Aetos Systems Inc. is looking for an Intermediate Business Analyst to work onsite at Redstone Arsenal in Huntsville, AL. This is for an opportunity for the Finance and Facilities Division of the Federal Bureau of Investigation.Who We Are: Aetos Systems Inc. is a woman-owned small business headquartered in Huntsville, AL. Aetos is a professional services company specializing in information technology, information management, building automation, energy management, and engineering services. Since 2007, we have been trusted to provide solutions supporting small- and large-scale programs across the United States supporting DOD, Federal, and NASA Customers. Our experience integrating people, processes, and technologies enables us to design, build, and operate practical and robust solutions for our customers. Aetos' reputation for integrity, fairness, and measurable results has won the loyalty and respect of our customers and numerous awards from industry and civic organizations. At Aetos, we're a close-knit community that values its employees above all else. We've built a culture centered around empowerment, support, and innovation.Job Summary: The Business Analyst formulates and defines systems scope and objectives based on both customers' needs and a thorough understanding of business systems and industry requirements. The Business Analyst support consists of Senior Business Analyst, Intermediate Business Analyst and Junior Business Analyst.The Devices Management Unit (DMU) Data Team is a consolidated effort to enable informed decision making through the design, implementation, and maintenance of data-based informational structures. The DMU Data Team applications and tools integrate datasets from across the enterprise to track statuses, identify trends, evaluate pricing and suitability, and maintain executive visibility. These programs support the FBI mission by providing a concrete basis on which IT-based decisions are based, facilitating the identification of IT hardware against industry standards, security requirements, and fair pricing.The opening date for this position is 9/1/2024Your Role and Responsibilities: Devise procedures to solve complex problems. Includes analysis of business and user needs, documentation of requirements and translation into proper system requirements specifications. Provide consultation on complex projects while considering the business implications of the application of technology to the current and future business environment. Ability to comprehend, analyze, and interpret documents. Ability to solve problems involving several options in situations. Requires intermediate analytical and quantitative skills. RequirementsBachelor's degree from an accredited university or college with five (5) years or more of business analyst experience. Educational requirement may be waived if the candidate has eight (8) or more years of experienceCurrent Top Secret (TS) security clearanceFive (5) years or more experience to comprehend, analyze, and interpret complex documents. Ability to present information and respond effectively to sensitive issues. Ability to solve problems involving complex situations. Must have experience with design, creation, and implementation of applications created using MS PowerApp. Must have experience with design, creation, and implementation of tools/visual displays using MS PowerBI. Ability to research and provide recommendations associated with IT products and services (cost, capabilities, function) including but not limited to market intelligence, market trends, cost/benefit analysis. Education And ExperienceBachelor's degree from an accredited university or college with five (5) years or more of business analyst experience. Educational requirements may be waived if the candidate has eight (8) or more years of experience. BenefitsWhat we offer:Competitive salariesEducation and professional development assistanceMultiple healthcare benefit packages & 24/7 virtual on-demand doctors' visits401KDave Ramsey's SmartDollar Financial Wellness programCivic Leave - time off to support your favorite charity or communityPaid time off for personal leave and holidaysJoin the Aetos Systems, Inc. team and embark on a rewarding career where your talents are celebrated and your contributions make a real difference. Apply now, and let's shape the future together!
        ","
          35 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Non-profit Organizations and Primary and Secondary Education
Business Analyst,VARITE INC,"Montgomery, AL",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-varite-inc-3882354470?position=3&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=TplBe8hb0wtlYDrYEH1IIA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position Description:This position will serve as a Business Analyst for the Alabama Department of Public Health Information Technology Department. It will work closely with the development team and business unit to define business requirements for new and existing systems. This position will document system requirements, interoperability between communicating systems, and group feedback, as well as research issues and perform system testing and document testing results. This position will also identify and document system weaknesses, barriers to modernizing systems, and the impact modernization will have on providing excellent public services, data collection, and quality activities. A solid work history as well as proven experience documenting system requirements, conducting system testing, documenting and researching system issues, and working both independently and as a valued team member are required.Skills Required:Works with business partners within one business function to align technology solutions with business strategies. Demonstrates an informed knowledge of a business area to resolve problems on an ongoing business. Supports several moderately complex business processes. Works on multiple projects as a project team member.Experience Required:Typically has 3 to 5 years of relevant technical or business work experience. Proficient with MS Office (including Word, Excel, and PowerPoint). Ability to work with Subject Matter Experts to understand application requirements.Experience Preferred:Some SQL experience is preferred.Education Required:Bachelor's Degree in Computer Science, Information Systems, Business Administration, or other related field or equivalent work experience.Additional Information:Must be able to work well with others. Interviews will begin based upon qualified resumes received. In-Person interview preferred if the candidate is local; otherwise, interview will be conducted via video (WebEx). No remote work will be considered. Contract length is 2-3 years supporting the Vital Statistics division.
","
          46 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Information Technology & Services
Business Analyst,"Tech Providers, Inc","Montgomery, AL",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-tech-providers-inc-3882363245?position=4&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=zCgyalTru7d%2Bv0iv90luvg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position Title: Business AnalystPosition Reference Number: Requisition # 808Location: Montgomery, AL - Onsite from day 1Expected Duration of Project: 2-3 yrs. long term  Skills Required            Works with business partners within one business function to align technology solutions with business strategies. Demonstrates an informed knowledge of a business area to resolve problems on an ongoing business. Supports several moderately complex business processes. Works on multiple projects as a project team member.       Experience Required   Typically has 7 years of relevant technical or business work experience. Proficient with MS Office (including Word, Excel, and PowerPoint). Ability to work with Subject Matter Experts to understand application requirements.    Experience Preferred  Some SQL experience is preferred.  Education Required     Bachelor’s degree in computer science, Information Systems, Business Administration, or other related field or equivalent work experience.
","
          46 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst-Pediatrics,UAB Medicine,"Birmingham, AL",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-pediatrics-at-uab-medicine-3905327818?position=5&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=NOQuP0oW1pxAQ23rIvfO8w%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position DescriptionSchedule: Monday-Friday Day ShiftLocation: Avondale Business CenterBenefits include: 100% tuition assistance, wellness initiatives, generous paid time off, paid parental leave, Public Service Loan Forgiveness Program eligible employer, plus more. In addition to our many benefits and perks, UAB Medicine provides a variety of resources to support employees both personally and professionally.Under the supervision of the Director of Professional Business Services, this position will generate, analyze, review, develop and coordinate dissemination of information needed to meet clinical and business outcomes in the Department of Pediatrics. Serve as critical resource for data quality review, data mining, data analysis, and making recommendations to improve clinical business outcomes. This includes providing analytical interpretation of data to identify recommendations for strategic initiatives and improvement opportunities related to clinical revenue operations. Assist executive leadership in various aspects of program development, data acquisition, and presentations concerning clinical revenue operations, improvement, and quality assurance of data reporting. Responsible for the design and development of analyses and reporting of claims, authorization, and clinical data using business intelligence tools, statistical, and analytical techniques to better understand trends as it relates to our pediatric care providers. Plays a key role in systems integration with existing and conversions and implementations with new systems that affect charge capture, provider productivity, and professional billing processes including configuration and customization, testing and validation, training and support, communication, and collaboration, and change managementPosition RequirementsRequired: Bachelor’s Degree in relevant field or a minimum of three (3) years of directly related experience, high degree of familiarity and/or training in data analysis, reporting, and quality assurance. Moderate level of expertise in Microsoft Excel, Microsoft Access, and Data Warehouse. Experience greater than 5 years may substitute for degree.Preferred: Experience in healthcare; moderate level expertise in computer applications including Microsoft Word, PowerPoint, and Visio. AAPC Coding Certification is preferred.License, Certification And/Or RegistrationRequired: NoneTRAITS & SKILLS: Must be self-directed / self-motivated; must have good communication and interpersonal skills. Must be able to: (1) perform a variety of duties often changing from one task to another of a different nature without loss of efficiency or composure; (2) accept responsibility for the direction, control and planning of one’s own work; (3) work independently under minimal supervision; (4) recognize the rights and responsibilities of patient confidentiality; (5) relate to others in a manner which creates a sense of teamwork and cooperation; (6) communicate effectively with people from every socioeconomic, cultural and educational background; (7) exhibit flexibility and cope effectively in an ever-changing, fast-paced healthcare environment; (8) perform effectively when confronted with emergency, critical, unusual or dangerous situations; (9) demonstrate the quality work ethic of doing the right thing the right way; and (10) maintain a customer focus and strive to satisfy the customer's perceived needs.UA Health Services Foundation (UAHSF) is proud to be an AA/EOE/M/F/Vet/Disabled employer.
        ","
          31 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care
Junior Business Analyst,BOOST LLC,"Huntsville, AL",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/junior-business-analyst-at-boost-llc-3911789732?position=6&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=FygxbCy6paT4Yt3b%2FQ9pjA%3D%3D&trk=public_jobs_jserp-result_search-card,"
BOOST LLC is a dynamic management consulting firm that offers an array of government-compliant back-office solutions to support our teaming partners within the GovCon space. Our consultants are experts in the areas of Accounting, Contracts, Human Resources, Recruiting & Sourcing, and Strategic Pricing and our passion is to guide and propel our partners towards success within this competitive sector.BOOST LLC is helping our client find an experienced Junior Business Analyst to support our federal law enforcement client with analytical services. Our client enables the federal client to effectively implement and manage strategic priorities that impact communication, policy, training, workforce development, human resources, recruiting, and hiring throughout our client's Agency. The Junior Business Analyst formulates and defines systems scope and objectives based on both customer’s needs and a thorough understanding of business systems and industry requirements. Work Description:Devise procedures to solve complex problems. Includes analysis of business and user needs, documentation of requirements and translation into proper system requirements specifications.Provide consultation on complex projects while considering the business implications of the application of technology to the current and future business environment.Ability to comprehend, analyze, and interpret documents. Ability to solve problems involving several options in situations. Requires intermediate analytical and quantitative skills.The Junior Business Analyst shall have the following qualifications:Bachelor’s degree from an accredited university or college with two (2) years or more of business analyst experience. Educational requirement may be waived if the candidate has five (5) or more years of experience and may be substituted for education. Two (2) years or more experience comprehending, analyze, and interpret complex documents. Ability to present information and respond effectively to sensitive issues. Ability to solve problems involving various types of situations.Active Top Secret Security Clearance Work Location: On-site at REDSTONE ARSENAL, Huntsville ALBOOST is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.
","
          55 applicants
        ",Associate,Full-time,Analyst and Consulting,Law Enforcement and Business Consulting and Services
Business Analyst,GDH,"Montgomery, AL",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-gdh-3887254319?position=7&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=7FsLkiHsqnNzyKZUu26ZKw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Position DescriptionThis position will serve as a Business Analyst for the Alabama Department of Public Health Information Technology Department. It will work closely with the development team and business unit to define business requirements for new and existing systems. This position will document system requirements, interoperability between communicating systems, and group feedback, as well as research issues and perform system testing and document testing results. This position will also identify and document system weaknesses, barriers to modernizing systems, and the impact modernization will have on providing excellent public services, data collection, and quality activities. A solid work history as well as proven experience documenting system requirements, conducting system testing, documenting and researching system issues, and working both independently and as a valued team member are required.Skills RequiredWorks with business partners within one business function to align technology solutions with business strategies. Demonstrates an informed knowledge of a business area to resolve problems on an ongoing business. Supports several moderately complex business processes. Works on multiple projects as a project team member.Skills PreferredExperience RequiredTypically has 3 to 5 years of relevant technical or business work experience. Proficient with MS Office (including Word, Excel, and PowerPoint). Ability to work with Subject Matter Experts to understand application requirements.Experience PreferredSome SQL experience is preferredEducation RequiredBachelor’s Degree in Computer Science, Information Systems, Business Administration, or other related field or equivalent work experience.
        ","
          103 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,Talascend - Where Opportunities Await.,"Mobile, AL",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-talascend-where-opportunities-await-3881838624?position=8&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=kO5mk7tJrATDSE1eZvLgmA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          A Talascend client with projects in Mobile, Alabama has a need for a Business Analyst to Support Digital OperationsRESPONSIBILITIES:Understand, Design, Build and present work flows and IT/Business process diagrams well structured.Evaluate and support the assessing information systems and digital solutions to propose a final diagram landscape.Document technical and functional details related to Digital solutionsWork together with the business analysts or project managers to capture relevant information that can be used on work diagrams construction.Supporting Digital Sr Portfolio Manager during ongoing activities , projects or programs that will require documentation or processes analysis.UATS documentation or project activities could be assigned to this role accordingly.REQUIREMENTS:Computer, Industrial or Processes Engineering degree preferredLogic to integrate different integrations or interfaces into workflows.Ability to create AS-IS and TO-BE processesAt least 3-5 years experience as Process, Business or IT Analyst or specialist.Ability to manage G-Suite and Draw io platforms.Experience into Digital solutions or software projectsExperience with project Management Methodologies.Strong analysis and focus on detailsMust be able to captivate stakeholders and product owners, understand the principles of intake analysis, documentation and data mapping.Aggressive elicitation style, he/she must be able to recompile requirements and document process/findings end to end.Good communication and proactive interaction with stakeholdersLogic to integrate different integrations or interfaces into workflows.Experience in Manufacturing or Industrial environments will be valued.We thank all applicants for their interest. However, only those qualified individuals who closely meet the qualifications of the position will be contacted. The details of the position are only a summary, other duties may be assigned as necessary.Background Check and Drug Screen may be required.Talascend is an Equal Opportunity Employer that recruits and hires qualified candidates without regard to race, religion, sex, sexual orientation, gender identity, age, national origin, ancestry, citizenship, disability, or veteran status.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Digital Business Analyst,First Horizon Bank,"Birmingham, AL",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/digital-business-analyst-at-first-horizon-bank-3909042890?position=9&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=D58lFraqFoT6iiDXCEREkQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Location: On site in Memphis, TN, Birmingham, AL, or Nashville, TNSummaryAs a Consumer and Small Business Digital Growth Business Analyst, you will be responsible for the development and implementation of new initiatives to maximize growth and deliver best-in-class products through data driven decisions. This role will be focused on business value but still understand technology. Additionally, you will stay abreast of key trends in the industry, across competitors, and demonstrate a passion for innovation.Responsibilities Includes Serve as system administrator for Digital Campaigns/messaging in the online banking platform Write user stories to clearly document requirements Document and test product releases Partner with Marketing and other LOBs to deliver relevant and timely product information campaigns for clients Provide transparency and ongoing communications with line of business partners/key stakeholders Work with QA to develop efficient and effective testing plans Partner with Legal, Risk, and Compliance to ensure messages are in compliance - yet remain a good user experience for clients Perform competitive analysis to benchmark application Participate in the daily Scrums, Sprint Planning Meetings and Sprint Reviews and Retrospectives Conduct User Acceptance TestingMinimum Knowledge, Skills And Abilities Required Bachelor's Degree or equivalent experience required 3+ years of related experience Strong communication and analytical skills Ability to work through complex concepts/data and present well thought-out solutions Ability to self-motivate and work well independently and with different teams Must be a team player and have the ability to influence & lead others outside their direct authority Excellent communication skillsAbout UsFirst Horizon is a leading regional financial services company, dedicated to helping our clients, communities and associates unlock their full potential with capital and counsel. With $81.7 billion in assets as of December 31, 2023, we serve clients through a team of approximately ~7,300 associates and ~418 banking centers throughout the southeastern United States. Headquartered in Memphis, TN, the banking subsidiary First Horizon Bank operates in 12 states across the southern U.S. First Horizon has been recognized as one of the nation’s best employers by Fortune and Forbes magazines and a Top 10 Most Reputable U.S. Bank.Benefit Highlights Medical with wellness incentives, dental, and vision HSA with company match Maternity and parental leave Tuition reimbursement Mentor program 401(k) with 6% match More -- FirstHorizon.com/First-Horizon-National-Corporation/Careers/Our-BenefitsCorporate Diversity Commitment:We remain committed to creating a more equitable society, and that starts with our associates, our clients, and the communities we serve. We do this by elevating equity, providing capital and counsel, and committing to excellence in everything we do.Follow UsFacebookX formerly TwitterLinkedInInstagramYouTube
        ","
          25 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services
Business Analyst - 808,GDH,"Montgomery, AL",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/business-analyst-808-at-gdh-3884004730?position=10&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=oeT8FLwsc9dShj%2F9FAIfqQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Position Description: This position will serve as a Business Analyst for the Alabama Department of Public Health Information Technology Department. It will work closely with the development team and business unit to define business requirements for new and existing systems. This position will document system requirements, interoperability between communicating systems, and group feedback, as well as research issues and perform system testing and document testing results. This position will also identify and document system weaknesses, barriers to modernizing systems, and the impact modernization will have on providing excellent public services, data collection, and quality activities. A solid work history as well as proven experience documenting system requirements, conducting system testing, documenting and researching system issues, and working both independently and as a valued team member are required.    Skills Required: Works with business partners within one business function to align technology solutions with business strategies. Demonstrates an informed knowledge of a business area to resolve problems on an ongoing business. Supports several moderately complex business processes. Works on multiple projects as a project team member.    Skills Preferred:      Experience Required Typically has 3 to 5 years of relevant technical or business work experience. Proficient with MS Office (including Word, Excel, and PowerPoint). Ability to work with Subject Matter Experts to understand application requirements.    Experience Preferred Some SQL experience is preferred    Education Required Bachelor’s Degree in Computer Science, Information Systems, Business Administration, or other related field or equivalent work experience.    Education PreferredGDH provides equal employment opportunities (EEO) to all employees and applicants foremployment without regard to race, color, religion, sex, national origin, age, disability, geneticinformation, veteran's status or any other category protected by law. In addition to federal lawrequirements, GDH Consulting, Inc. complies with applicable state and local laws governingnondiscrimination in employment in every location in which the company has facilities and/oremployees. This policy applies to all terms and conditions of employment, including recruiting,hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence,compensation, benefits and training. Applicants with disabilities that require an accommodationor assistance in applying and/or for interviewing, please contact our HR Department. Please visit GDH's website for notice of collection for California applicants.
        ","
          125 applicants
        ",Not Applicable,Contract,Information Technology,IT Services and IT Consulting
"Agile Business Analyst, Senior",Booz Allen Hamilton,"Redstone Arsenal, AL",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/agile-business-analyst-senior-at-booz-allen-hamilton-3908010830?position=11&pageNum=0&refId=flujjCUuBNZPrcc3%2BesZ4Q%3D%3D&trackingId=4zL%2Fdn0RnDkUt3EIjoL%2FGA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Number: R0195625Agile Business Analyst, SeniorKey Role:Lead the collection, capture, and management of mission user needs from prioritization, concept development, and user story writing to support development and deployment as a business analyst subject matter expert. Facilitate the gathering of business focused requirements to support a product team and product owner, including defining the backlog and ensuring the user’s perspective is considered. Work with the product owner and users to determine the operational objectives of business needs and elicit requirements. Focus on requirements to improve usability, user experience, and user adoption and engagement. Identify core business needs, decompose and document concepts of operation, story maps, briefings, and user stories, document business rules, and construct workflow diagrams, as needed. Condense complex business processes into clear and actionable user stories with acceptance criteria. Work with IT and mission stakeholders to review, update, and maintain a business process roadmap of the to-be system and evaluate areas of reengineering by outlining potential to-be processes.Basic Qualifications:5+ years of experience with technology projects5+ years of experience in a business or requirements analyst roleExperience with Agile and Scrum methodologies and best practicesExperience with requirements management tools, including Jira or TFSTop Secret clearanceBachelor's degreeAdditional Qualifications:Agile CertificationClearance:Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Top Secret clearance is required.Create Your Career: Grow With Us Your growth matters to us—that’s why we offer a variety of ways for you to develop your career. With professional and leadership development opportunities like upskilling programs, tuition reimbursement, mentoring, and firm-sponsored networking, you can chart a unique and fulfilling career path on your own terms.A Place Where You Belong Diverse perspectives cultivate collective ingenuity. Booz Allen’s culture of respect, equity, and opportunity means that, here, you are free to bring your whole self to work. With an array of business resource groups and other opportunities for connection, you’ll build your community in no time.Support Your Well-Being Our comprehensive benefits package includes wellness programs with HSA contributions, paid holidays, paid parental leave, a generous 401(k) match, and more. With these benefits, plus the option for flexible schedules and remote and hybrid locations, we’ll support you as you pursue a balanced, fulfilling life—at work and at home.Your Candidate Journey At Booz Allen, we know our people are what propel us forward, and we value relationships most of all. Here, we’ve compiled a list of resources so you’ll know what to expect as we forge a connection with you during your journey as a candidate with us.CompensationAt Booz Allen, we celebrate your contributions, provide you with opportunities and choices, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, work-life programs, and dependent care. Our recognition awards program acknowledges employees for exceptional performance and superior demonstration of our values. Full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in Booz Allen’s benefit programs. Individuals that do not meet the threshold are only eligible for select offerings, not inclusive of health benefits. We encourage you to learn more about our total benefits by visiting the Resource page on our Careers site and reviewing Our Employee Benefits page.Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $75,600.00 to $172,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees. This posting will close within 90 days from the Posting Date.Work ModelOur people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely.If this position is listed as remote or hybrid, you’ll periodically work from a Booz Allen or client site facility.If this position is listed as onsite, you’ll work with colleagues and clients in person, as needed for the specific role.EEO CommitmentWe’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law.DRE1
        ","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
