title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Adame Services LLC,"Phoenix, AZ",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-adame-services-llc-3903474685?position=1&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=xQnndi56q2LlE3uIykRlyg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position: Business Analyst Location: (100% onsite- local candidates only) - Phoenix/Scottsdale, AZ 85034Length: 6 monthsStart: ASAPinterview: VideoSpecial note : This Position Might Reach its maximum submittal limit Within 1 Hour, So Please Share Profile As soon as possible.Job DescriptionMUST HAVE SKILLS:5-years Business Analysis Industry experience: Specifically Manufacturing or Engineering to Order, prior experience with companies like- Applied Materials, ASML, LAM research, Horiba would be the MOST relevant. Design Thinking , Design Principles, Agile Principles. Sample Deliverables: Product Backlog comprising User Stories, User Flow, Wireframes, OverviewThe client is involved in the manufacturing of semiconductors and the resource will be meeting with key stakeholder in that location. Primary Responsibilities The Business Analyst is expected to engage end users of ASM and create design documents (components of which are listed under sample deliverables) that will enable developers to then develop on low code application platforms (LCAPs) like Mendix or Salesforce. The LCAP is being evaluated at this juncture. Facilitate conversations with Business Unit end users to elicit problem statements and co-create use cases. Provide guidance and thought leadership on solutions for use cases. Produce low-fidelity wireframes to validate with end users and to inform Developers. Test prototypes with end users to elicit feedback and drive iterations. Establish and maintain product backlog with ASM Product Owner QualificationsPrevious relevant industry experience. Manufacturing Domain, engineering to order preferred. Design Thinking , Business Analysis, Design Principles, Agile Principles. Sample Deliverables: Product Backlog comprising User Stories, User Flow, Wireframes, Entity Relationship Diagram + Architecture Design (Working with Technical Lead)
","
          77 applicants
        ",Associate,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,Wizcom Consulting Corporation,"Scottsdale, AZ",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-wizcom-consulting-corporation-3903808014?position=2&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=Rnw3sd%2FiFtPNiHqIXVY75g%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Request Title: Business AnalystW2 only Desired Start Date: 5/13/2024Duration: 6 Months, Hrs/Wk:40.00Work Location: Phoenix/Scottsdale, AZ (100% onsite. Local candidates only)DescriptionOnsite work in Phoenix/Scottsdale, AZ is required. Relevant industry experience is HIGHLY DESIRED - Specifically Manufacturing or Engineering to Order, The client is involved in the manufacturing of semiconductors. The resource will be meeting with key stakeholder in that location. Primary responsibilities, skillset and sample deliverables expected of the Business Analyst. The Business Analyst is expected to engage end users of ASM and create design documents (components of which are listed under sample deliverables) that will enable developers to then develop on low code application platforms (LCAPs) like Mendix or Salesforce. The LCAP is being evaluated at this juncture.Key ResponsibilitiesFacilitate conversations with Business Unit end users to elicit problem statements and co-create use cases.Provide guidance and thought leadership on solutions for use cases.Produce low-fidelity wireframes to validate with end users and to inform Developers.Test prototypes with end users to elicit feedback and drive iterations.Establish and maintain product backlog with ASM Product OwnerKey SkillsetPrevious relevant industry experience= ex. Manufacturing Domain, engineering to order preferred.Design Thinking , Business Analysis, Design Principles, Agile Principles.Sample DeliverablesProduct Backlog comprising User Stories, User Flow, Wireframes, Entity Relationship Diagram + Architecture Design (Working with Technical Lead)
        ","
          88 applicants
        ",Associate,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Senior Business Analyst,MidFirst Bank,"Scottsdale, AZ",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-midfirst-bank-3884132609?position=3&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=MELm%2FJpVQWPQhQm8PbduPQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          As a member of our team, you will be working to enhance profitability by researching, analyzing, reporting data and making recommendations to optimize business line results. Individual must respond to a dynamic range of business reporting objectives and formulate recommendations to senior management based on compiled data from multiple system and business group sources. This position interacts with Business Relationship Managers, Area Managers, Underwriting, Loan Operations, Profitability and Operations Administration. Specific duties include:Assembles and updates various sales production and activity reportsAssembles, updates and researches business line monthly financial reportingManages Business Express incentive plan reporting and paymentsCreates annual financial budgets and quarterly board meeting packagesCreates and maintains databases, develops and performs queriesCreates ad-hoc business case data and cost/benefit analysis for various projects and initiativesMay recommend policies, procedure and training to enrich business line outcomesRequirementsBachelor degree in Finance, Economics, Mathematics or Accounting with a minimum GPA of 3.0Minimum of two years of banking experience or related industry experience requiredStrong PC skills including Microsoft Office products, Access, SQL, Tableau and Power BI Experience with budgeting and financial reporting required
","
          186 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Banking
Business Analyst,Infinite Computer Solutions,"Arizona, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-infinite-computer-solutions-3905156343?position=4&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=S7CMjdxiX5JTCyNzw4ucQA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          20423BRArizonaJob DescriptionBusiness AnalystQualificationsGraduateRange of Year Experience-Min Year2Range of Year Experience-Max Year4
        ","
          33 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,"Progilisys Solutions, A Talent Groups Company","Tempe, AZ",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-progilisys-solutions-a-talent-groups-company-3891392096?position=5&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=fcFVp3hGzpvhTvMXJeSTlg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Contract1099, W2, C2COur customer is looking for a contract Business Analyst, for a remote opportunity. In this role, you will be responsible for enhancing the business value of data processes, workflows, and solutions that support their extensive chain of retail establishments. The ideal candidate will have experience collaborating with data engineers and scientists to develop data driven strategies, creating, and maintaining project documentation, and have a proficiency in JIRA, Confluence, and SAFe Agile. To be considered for this role, candidates must have retail experience, a minimum of eight years of related experience, and be proficient in SQL.SummaryGood knowledge and working experience in Retail industry, Convenience store/Fuels Industry preferred.Able to review QA test cases and perform User Acceptance TestingProficiency in SQL and a robust understanding of Azure platforms and tools. Strong analytical and problem-solving skills. Experience in Azure, Data Bricks, Azure Data Factory is a plus.Conduct in-depth analysis of existing business processes, systems, and workflows to identify areas for improvement and optimization.Experience in process mapping, workflow analysis, and business process modeling.Required QualificationsBachelor’s degree in computer science, Engineering, Information Systems, or a related field. Master’s degree is a plus.Proven experience as a Business Analyst, ideally in a data-centric role within the retail industry.Strong understanding of data processes and how they relate to business objectives.Excellent analytical, problem-solving, and communication skills.Familiarity with data engineering concepts and tools.
","
          36 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Senior Business Analyst (Hybrid),Hospice of the Valley,"Phoenix, AZ",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-hybrid-at-hospice-of-the-valley-3868961217?position=6&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=%2BbZ31dmIWNYlMjZ9A%2FcMKQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Join Arizona’s largest, most prominent not-for-profit hospice, serving the valley since 1977.Hospice of the Valley is a national leader in hospice care and has been serving the Phoenix metropolitan area since 1977. A mission-driven, not-for-profit organization, Hospice of the Valley employs compassionate, skilled professionals who are committed to excellence, enjoy teamwork, and contribute daily to our mission and culture of caring. Team members experience a friendly, supportive atmosphere, leadership support, autonomy, flexibility and the privilege of doing meaningful, rewarding work.Benefits:Supportive work environment with a culture of caring for patients and one another.Competitive wages and excellent benefit program.Generous Paid Time Off.Flexible schedules for work/life balancePosition ProfileThe Senior Business Analyst (SBA) is an experienced professional who works as a liaison between key business stakeholders and the Information Systems (IS) department. SBAs are responsible for working independently with stakeholders to understand their business needs as well as working with IS partners to implement solutions that meet the stated needs, goals and objectives. SBAs also support the stakeholders as application and process subject-matter experts.This role will have the flexibility to work 2 days remotely and 3 days in the office. ResponsibilitiesBusiness analysis tasks through all phases of an application’s life cycle (requirement gathering through product retirement)Basic project management dutiesContinual communication with stakeholders and IS partners regarding applications, programs, and priorities.Product Ownership including providing subject matter expertise for various applications and departments.Minimum QualificationsBachelor's degree from an accredited college or university in Information Systems MIS or equivalent experience.Minimum of 6 years of experience as a business/systems analyst on business solutions' analysis projects.Basic experience using Microsoft Excel.Experience supporting and configuring non-clinical applications.Experience supporting non-clinical departments.Preferred Qualifications5+ years' experience in SDLC; solid understanding in multiple methodologies (Waterfall, Agile, etc.) 5+ years' experience working in a healthcare/medical environment.Hospice of the Valley is an equal employment opportunity employer. EOE/M/F/D/V
","
            Over 200 applicants
          ",Not Applicable,Full-time,Information Technology,Hospitals and Health Care
"Business Analyst, AMZL UTR PPT",Amazon,"Tempe, AZ",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-amzl-utr-ppt-at-amazon-3877268949?position=7&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=Lo3jFqJ1ttM5zdVIwydLsw%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionAmazon Logistics (AMZL) is seeking an experienced candidate to identify, create, develop and integrate innovative solutions and programs that lead to improvements in our last mile delivery network. This position will lead the development and execution of new worldwide initiatives designed to improve overall efficiency and meet the ever-growing demand for last mile capacity. The candidate will have strong data mining and modeling skills and is comfortable facilitating ideas and working from concept through to execution. The candidate will also have strong interpersonal skills to communicate and interact with leaders effectively while driving expert feedback to customers.Location options of: Nashville, TN Austin, TX Bellevue, WA Tempe, AZKey job responsibilities Retrieving and analyzing data using Excel and other basic data management systems. Supporting cross-functional teams on the day-to-day execution of the existent program implementation. Influencing across multiple levels of leadership and organizations through strong communication and analytical skills. Monitoring existent metrics, analyzing data and partnering with internal teams to identify process and system improvement opportunities. Designing and implementing reporting solutions to enable stakeholders to manage the business and make effective decisions. Driving small to medium operational enhancement projects. Research and implement cost reduction opportunities.We are open to hiring candidates to work out of one of the following locations:Austin, TX, USA | Bellevue, WA, USA | Nashville, TN, USA | Tempe, AZ, USABasic Qualifications 3+ years of tax, finance or a related analytical field experience 3+ years of Excel (including VBA, pivot tables, array functions, power pivots, etc.) and data visualization tools such as Tableau experience Bachelor's degree or equivalent Experience defining requirements and using data and metrics to draw business insights Experience with Excel Experience making business recommendations and influencing stakeholdersPreferred Qualifications Intermediate Excel Skills 2+ years of experience in modeling and analyzing complex logistics networks 2+ Experience owning program strategy, end to end delivery, and communicating results to senior leadership Basic SQL skills Demonstrated evidence of reducing labor and inventory costs through application of logistics and supply chain optimization methodologies. Experience communicating across all levels of management, peers, and clients Proven analytical aptitude, including the ability to mine and analyze large, complex data sets Advanced degree in Logistics, Supply Chain, Finance, or Business Management Advanced Analyst/Project Management experience/People Leadership experienceAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $59,500/year in our lowest geographic market up to $143,100/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. This position will remain posted until filled. Applicants should apply via our internal or external career site.Company - Amazon.com Services LLCJob ID: A2595220
        ","
          64 applicants
        ",Not Applicable,Full-time,"Distribution, Supply Chain, and Engineering",Software Development
"Business Analyst, AHS Help Desk",Amazon,"Tempe, AZ",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/business-analyst-ahs-help-desk-at-amazon-3903851092?position=8&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=wxZrLt96puAUQCjgLXmIJA%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionAs we strive to be Earth's most customer-centric company, Amazon has reinvented how hundreds of millions of people shop online – providing customers with the opportunity to find and discover virtually anything they want to buy and providing millions of sellers with a platform for growing successful businesses. We are looking for an exceptional business analyst to help us develop new ways to build trust and loyalty with sellers, a crucial component of our flywheelSellers’ trust in Amazon is our top priority and in this role, you will be tasked with building that trust over time by diving deep into how we measure our progress and helping to identify and prioritize key areas of focus. Amazon’s growth requires leaders who move fast, have an entrepreneurial spirit to create new solutions, have an unrelenting tenacity to get things done, and are capable of breaking down and solving complex problems.The successful candidate will be a self-starter, comfortable with ambiguity and be able to create and maintain efficient & automated processes. They know and love working with business intelligence tools, can model multidimensional datasets, and can partner effectively with business leaders to answer key business questions. They are analytical and creative, and don’t quit. This is a role with high visibility to senior leadership and with high opportunity for impact for those willing to roll up their sleeves and dive deep to achieve results.Key job responsibilities Work with team leadership to understand the customer needs and concerns as well as define solutions. Translate basic business problem statements into analysis requirements. Work with internal customers to define best output based on expressed stakeholder needs. Use analytical and statistical rigor to solve complex problems and drive business decisions. Develop queries and visualizations for ad-hoc requests and projects, as well as ongoing reporting. Write queries and output efficiently, and have in-depth knowledge of the data available in area of expertise. Pull the data needed with standard query syntax; periodically identify more advanced methods of query optimization. Convert data to make it analysis-ready. Recognize and adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation. Monitor and troubleshoot operational or data issues in the data pipelines Review and audit existing ETL jobs and SQL queries. Good communication and writing. Effectively communicates with both business and technical teams.A day in the life Partner with Business Stakeholders to automate metrics and dive data to drive decisions that will support Sellers on the Amazon Platform Surface opportunities to drive process improvement, looking beyond the surface to understand what the data means for the team Participate in reviews with Global leadership spanning our six operations sites, from Arizona to Singapore.About The TeamAccount Health Support exists to educate sellers on how to maintain there Account Health while selling on the Amazon platform. We provide support to these sellers to ensure they understand Amazon's policy and provide a delightful experience for our customers. The team creates a trustworthy selling experience to ensure that Selling Partners perceive Amazon as the safest and most effective store in which to sell their products worldwide.We are open to hiring candidates to work out of one of the following locations:Tempe, AZ, USABasic Qualifications 3+ years of tax, finance or a related analytical field experience 5+ years of Excel (including VBA, pivot tables, array functions, power pivots, etc.) and data visualization tools such as Tableau experience 3+ years of business or financial analysis experience Experience defining requirements and using data and metrics to draw business insights Experience making business recommendations and influencing stakeholders Experience with ExcelPreferred Qualifications Bachelor's degree or equivalent 5+ years of business analyst, data analyst or similar role experience Experience with data visualization using Tableau, Quicksight, or similar toolsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Company - Amazon.com Services LLCJob ID: A2607705
        ","
            Over 200 applicants
          ",Not Applicable,Full-time,"General Business, Management, and Strategy/Planning",Software Development
Business Analyst,Extend Information Systems Inc.,"Phoenix, AZ",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-extend-information-systems-inc-3888444569?position=9&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=WN%2B3EGE0OFJIdo4Os2nnig%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello,Greetings!!We are actively hiring Business Analyst (Supply chain) . It's a Contract Position. Please have a look of below job description and let me know if you are interested.Title: Business Analyst (Supply Chain)Location: Phoenix, AzExperience: 13+ YearsPosition: Long Term ContractJob DescriptionS4 Hana Material Management implementation experience Ariba buying, business network, sourcing/contracts - Implementation and configuration knowledgeThank You,Zeenat Nayer | Technical Recruiter | Extend Information Systems Cell: 571-800-0882Email: zeenat@extendinfosys.comAddress: 44355 Premier Plaza UNIT 220, Ashburn, VA, USA - 20147Web: WWW.extendinfosys.com
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
"Senior Analyst, Sales Strategy & Operations",DoorDash,"Phoenix, AZ",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/senior-analyst-sales-strategy-operations-at-doordash-3901876397?position=10&pageNum=0&refId=WgNLIarXKKPgTFhCvwF6uw%3D%3D&trackingId=3Q4nuD45mHmDliVIsPAHrA%3D%3D&trk=public_jobs_jserp-result_search-card,"
About The TeamOur sales and partner management teams are the heart and soul of DoorDash, helping us partner with top merchants (think restaurants, grocers, convenience stores, retailers) across the country to grow their revenue and help them operate even better. As DoorDash grows both in scale and scope of offering, the strength of our sales engine and organizational structure must grow with it.About The RoleWe’re looking for a Senior Analyst in Sales Strategy & Operations to drive business decisions and strategic initiatives across our small business (SMB) cohort. You’ll uncover strategic insights in our data, package recommendations into compelling presentations, and build on internal tools and dashboards to grow and empower some of our most valuable merchant partnerships. You will dive into both internal DoorDash and merchant data to uncover new business opportunities, investigate solutions for complex problems, and support the value of the DoorDash relationship. You will work cross-functionally between our sales, merchant, operations, product, and analytics team to strengthen the partnership between DoorDash and our SMB partners.You’re Excited About This Opportunity Because You Will…Use SQL to explore DoorDash and merchant data to uncover strategic insights and make recommendations that help our teams drive growth and strengthen partnershipsConduct analyses and communicate data-driven insights in succinct presentations that showcase the results of past initiatives, diagnose issues in merchant performance, and propose the value of new endeavorsMaintain and evolve automated reporting capabilities and dashboards that drive strategic decision making across our sales and strategy teamsDevelop and standardize analytic methodologies and operational metrics to improve the efficiency and effectiveness of our teamsEnsure data integrity by understanding and identifying opportunities to improve the back end data structureWe’re Excited About You Because… You have 3+ years of work experience in data analytics, management consulting, or other quantitative role; high-growth or early-stage startup experience a plusYou are data-driven, able to analyze data with strong attention to detail and accuracy, and passionate about telling the story behind the numbersYou are a strong business thinker, able to use 'first principles' to solve challenging business problems at their root levelYou are able to craft your data insights into narratives that are relatable, succinct, and impactful and present them to internal and external clientsYou are comfortable in a fast-paced, constantly changing team-oriented environment and able to manage multiple deadlines simultaneouslyYou are a team player who enjoys collaborating with a diverse team and a variety of stakeholdersYou have proven ability to achieve expert level in:Querying languages and data analysis tools such as SQLData analysis tools like Microsoft Excel or Google SheetsPresentation software like Microsoft PowerPoint or Google SlidesData visualization platforms like Tableau or SigmaAbout DoorDashAt DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.Our Commitment to Diversity and InclusionWe’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination.Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation.If you need any accommodations, please inform your recruiting contact upon initial connection.CompensationThe location-specific base salary range for this position is listed below. Compensation in other geographies may vary.Actual compensation within the pay range will be decided based on factors including, but not limited to, skills, prior relevant experience, and specific work location. For roles that are available to be filled remotely, base salary is localized according to employee work location. Please discuss your intended work location with your recruiter for more information.DoorDash cares about you and your overall well-being, and that’s why we offer a comprehensive benefits package, for full-time employees, that includes healthcare benefits, a 401(k) plan including an employer match, short-term and long-term disability coverage, basic life insurance, wellbeing benefits, paid time off, paid parental leave, and several paid holidays, among others.In addition to base salary, the compensation package for this role also includes opportunities for equity grants.We use Covey as part of our hiring and / or promotional process for jobs in NYC and certain features may qualify it as an AEDT. As part of the evaluation process we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound on August 21, 2023.Please see the independent bias audit report covering our use of Covey here.Applications for this position are accepted on an ongoing basisCalifornia Pay Range:$104,900—$165,600 USDNew York Pay Range:$110,400—$165,600 USDWashington Pay Range:$104,900—$157,300 USD
        ","
          113 applicants
        ",Mid-Senior level,Full-time,Business Development and Sales,Software Development
