title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,PDSSOFT INC.,"Denver, CO",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-pdssoft-inc-3903801406?position=1&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=25goL6tgeUE7x8fn1sYG1Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business AnalystLocation: Denver,CODuration: 12 MonthsJob Description:This position is responsible for analyzing the most complex business operations and recommending solutions to align individual business functions with organizatio goals. This position is considered a subject matter expert in financial and business analysisWork with business stakeholders and financial planners, analyze funding requirements and recommend solutions to achieve financial objectiveUnderstand the structure, funding, policies, and operations of an organization, and recommend solutions to improve general business process planning.Create operating expense and capital forecasts based on operating plans.Serve as consultant to management to provide decision support for initiatives, policies and procedures. Compile, analyze, interpret, and present complex data related to current and future operation.Create reports, charts, graphs and presentations to aid in proposing new strategies for successful business changes.Develop project burn reporting for Agency clients based on proposal estimates identifying phases and elements, personnel requirements, andPrepares variance explanations.Analyze multiple data sources to assess trends and develop actionable insights and recommendations to management, via understanding of ch business model and the information available for analysis.
","
            Over 200 applicants
          ",Not Applicable,Contract,Analyst,Information Services and IT Services and IT Consulting
Business Analyst,Eliassen Group,"Englewood, CO",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-eliassen-group-3905107393?position=2&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=iT%2FUYjDZehgG%2BHMTGLSlxg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Description:Review, analyze, and evaluate information technology operations. Determine user needs and requirements and recommend ways to improve systems. They will Identify, document, report and tracks system issues. Supports the process of translating business needs into formal technical requirement deliverables.This role will be working with each of the engineering teams, project managers, and manager on evaluating the needs of the business and technology operations.Top Skills:1. Previous experience gathering technical requirements for development and testing teams in a Telecom product environment - preferably for teams working in a lab 2. Experience working with a variety relationships focused on (systems, projects, roadmaps, deliverables) and Project Management and Agile concepts (PMI/PMP, CAPM, Scrum, Kanban, Waterfall)3. Tools: Jira, Chalk/Confluence, TestRail, PowerpointOther Requirements:Experience working with a Lab team a bonus, we are heavily technology focusedUnderstanding of complex relationships between systems, projects, roadmaps, deliverablesExperience with project management concepts a bonus (PMI, PMP, CAPM, Scrum, Agile, Kanban, Waterfall)Understanding of the Development cycle, requirements, pre-requisites, RACIJira, Chalk/Confluence, TestRail, PowerPoint, Excel, visualization techniquesSoft SkillsAttention to detail, meticulous in natureAble to work individually with low supervision, thriving in a collaborative environmentLoves continually learning, comfort with not having answers but confident on getting themIntrinsically motivatedExcellent emotional intelligence – handling social situations, stress management, self regulationExcellent communication skills
        ","
            Over 200 applicants
          ",Associate,Contract,Quality Assurance and Project Management,Broadcast Media Production and Distribution
Business Operations & Process Analyst,Encore Access,"Golden, CO",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-operations-process-analyst-at-encore-access-3911769036?position=3&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=o0wbk9eBhUhvJHt1Vm5jog%3D%3D&trk=public_jobs_jserp-result_search-card,"
Are you passionate about identifying operational inefficiencies and optimizing processes?Are you someone who would be excited by the opportunity to have an immediate impact on fast growing business? We've been looking for you! Encore Access is a small rapidly growing company in the live events and entertainment space. We provide services to ensure our clients can get the access they want to more than 120,000 live concerts, events, and theater productions nationwide.We seek a Business Operations & Process Analyst to join our team and help us improve our organizational processes and operational efficiencies. We are a fast-growing company, and this role will be critical to helping us reach our next phase of growth and profitability.As our Business Operations & Process Analyst, you will report to the CTO but be closely integrated with department managers and our leadership team. This is a new role in our organization, and we're excited to work with you to craft this role into one that significantly impacts the business and provides exciting and challenging opportunities for your career growth.RequirementsWhat you will do:Collaborate with stakeholders to understand business needs and objectives, and help us align our people, processes, and technology systems to meet those needs during a critical time of company growthConduct in-depth analysis of our operations to identify improvement opportunities in our workflows, org structure, or systemsDesign and implement new processes or improvements to our existing methodsDevelop/maintain documentation for business processes, workflows, and systemsUse data analytics tools and techniques to monitor and evaluate the effectiveness of process improvementsCommunicate findings and recommendations to management through reports and presentationsFacilitate cross-functional teams to implement process changes and ensure alignment with business goalsWork with our data/analytics team to develop and monitor key performance indicators (KPIs) to identify trends and areas for further improvementProvide training and support to team members on new processes and systemsOwn 3rd Party Integrations / Partnerships that interact with our processes and systemsWhat you will need:Strong analytical and problem-solving skillsExcellent interpersonal skills and the ability to communicate with colleagues at all levels of the organizationFluency in SQL, Excel, and standard data analysis toolsKnowledge of process improvement and troubleshooting techniquesAbility to work collaboratively with cross-functional teamsProject management skills and experienceAttention to detail and the ability to manage multiple projects and prioritiesPlease note this is a full-time position working from our office in Golden, CO.BenefitsCompetitive base salary + profit-sharingHealth, Dental, and Vision insurance Unlimited PTO401k with match
","
            Be among the first 25 applicants
          ",Associate,Full-time,Analyst,Non-profit Organizations and Primary and Secondary Education
Sr Business Analyst,Access Data Consulting Corporation,"Englewood, CO",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/sr-business-analyst-at-access-data-consulting-corporation-3905576375?position=4&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=UG%2B00cYg8bpg6AhNzeNjpg%3D%3D&trk=public_jobs_jserp-result_search-card,"
The Business Analyst position s primary focus will be on working with each of the teams and project managers.The Business will review, analyze, and evaluate information technology operations. Determine user needs and requirements and recommend ways to improve systems. They will Identify, document, report and tracks system issues. Supports the process of translating business needs into formal technical requirement deliverables.SkillsExperience working with a Lab team a bonus, we are heavily technology focusedUnderstanding of complex relationships between systems, projects, roadmaps, deliverablesExperience with project management concepts a bonus (PMI, PMP, CAPM, Scrum, Agile, Kanban, Waterfall)Understanding of the Development cycle, requirements, pre-requisites, RACIJira, Chalk/Confluence, TestRail, PowerPoint, Excel, visualization techniquesSoft SkillsAttention to detail, meticulous in natureAble to work individually with low supervision, thriving in a collaborative environmentLoves continually learning, comfort with not having answers but confident on getting themIntrinsically motivatedExcellent emotional intelligence handling social situations, stress management, self regulationExcellent communication skills
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology,"Technology, Information and Media"
Business Analyst,Stellent IT,"Denver, CO",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-stellent-it-3888425600?position=5&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=af4RbAu8P5uMacSZCPUrtA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Denver, Colorado(ONSITE)long termCTHRequired Skills:-Has 5+ years of experience as a Business AnalystHas mobile industry experience (Mobile Carrier, MVNO or vendor such as Amdocs, Syniverse)Has good technical background and aptitude; Customer Empathy Quotient is more importantWhile this role interacts with development teams, we are not looking for developers. We need someone who has enough technical aptitude to write business requirements but will rely on development teams to write the functional requirements that define how a solution is built.We need our new team member to have strong customer empathy and business acumen with good technical aptitude.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Analyst,"Amyx, Inc.","Aurora, CO",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-amyx-inc-3911518289?position=6&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=9ZBuRNHwGgIcwcIIAgu7cw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Amyx is seeking to hire a Business Analyst to support our Defense Health Agency Contract Support Services (DHA CSS) Team in Aurora, CO.Responsibilities and Daily TasksProvide innovative acquisition, contracting administrative support and business solutions to positively influence the quadruple aim increased readiness, better health, better care, and lower costs.Provide or coordinate support for areas such asAdministrative support, operational planning, grant and cooperative agreements support, pricing analysisBusiness process management, business operations, policy coordination, interpretation and disseminationContract administration/management supportAssist with developing and implementing methods to monitor, evaluate, forecast, and report progress toward achieving organizational goals and objectives and to inform team and division decisions. Produce, maintain and publish a variety of routine reports and publications for use within the Managed Care Contracting Division (MC-CD).Provide technical and subject matter support for the purpose of preparing special reports, studies, analyses, and briefing papers on various acquisition, technical, financial, and business matters related to overall activities and process management in support of the MC-CD mission.This may include but is not limited to conducting information searches, financial and technical writing and editing. Explain methodologies employed, discuss findings, list alternatives to consideration and rank proposed policy or action alternatives with explanations as to the advantages and disadvantages of each.Translate MC-CD’s intent/objectives into actionable initiatives. Produce division communication products and documents for briefings, talking points, scripts, notes, etc.Use quantitative and qualitative methods to collect, validate, analyze, and display data to aid in decision-making across organizational levels.This includes assisting and developing in grant and cooperative agreement development, utilization and publishing of cost and price analysis reportsAnalyze data and communicate findings through assigned team and division working groups.Conduct targeted research to answer questions of immediate & longer-term relevance to the MC-CD.Coordinate, as needed, with the division and DHA POCs to answer questions and/or to develop initiatives. Serve as an action officer for incoming and outgoing actions/taskers. Is responsible for the oversight of a variety of actions which are characterized by unique requirements while monitoring priority of actions based on the sensitivity of the subject matter, suspense dates and other pertinent data while advising division staff of all sensitive issues raised in incoming actions.Requirements and QualificationsA four-year course of study leading to a Bachelor’s degree in one of the following a business field, such as accounting, finance, law, contracts, purchasing, economics, or marketing.A Bachelor's or Master's Degree GPA of 3.5 or higher.Knowledge or educational background in operational planning, business process management, business operations, policy coordination, interpretation and dissemination, task management, information management, financial auditing procedures, pricing consideration, market evaluation and related activities.Ability to develop organizational communication through various vehicles to internal and external stakeholders. Ability to develop, implement, monitor, evaluate, forecast, and report progress toward achieving organizational goals and objectives. Ability to produce, maintain, and publish a variety of routine reports and publications at the division level.Compensation range $55,000 - $70,000 annuallyBenefits includeMedical, Dental, and Vision Plans (PPO & HSA options available)Flexible Spending Accounts (Health Care & Dependent Care FSA)Health Savings Account (HSA)401(k) with matching contributionsRothQualified Transportation Expense with matching contributionsShort Term DisabilityLong Term DisabilityLife and Accidental Death & DismembermentBasic & Voluntary Life InsuranceWellness ProgramPTO11 HolidaysProfessional Development ReimbursementAmyx is an Equal Opportunity employer. Amyx is committed to providing equal employment opportunity to all job seekers. Every qualified applicant receives focused consideration for employment and no one is discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status. In addition to federal law requirements, Amyx complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Equal Opportunity Employer- Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity. Amyx is an E-Verify employer.Amyx proudly and proactively takes affirmative action to advance employment of individuals who are minorities, women, protected veterans and individuals with disabilities.Physical DemandsEmployee needs to be able to sit at a workstation for extended periods; use hand(s) to handle or feel objects, tools, or controls; reach with hands and arms; talk and hear. Most positions require ability to work on desktop or laptop computer for extended periods of time reading, reviewing/analyzing information, and providing recommendations, summaries and/or reports in written format. Must be able to effectively communicate with others verbally and in writing. Employee may be required to occasionally lift and/or move moderate amounts of weight, typically less than 20 pounds. Regular and predictable attendance is essential.
        ","
          29 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
SAP Business Analyst Level 3,ICONMA,"Littleton, CO",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/sap-business-analyst-level-3-at-iconma-3889500417?position=7&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=B9EGVehsD5EIoyeLSDtUFg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionAs a Manufacturing Engineering (ME) Business Analyst supporting SAP and MES (Apriso) production planning applications for the Space business area, the employee will facilitate the development, implementation and sustainment of the manufacturing execution system and processes to include interfaces with our ERP and PLM systems. The employee will work across multiple project teams to optimize engineering and manufacturing bill of material and work instruction processes working directly with both our Space shop floor users and our IT team to translate requirements, resolve errors, and improve processes.Requirements:Demonstrated experience in the following:Strong Apriso production planning, quality/nonconformance and manufacturing execution experience (5+ years), including configuring the Apriso system.Quality, manufacturing engineering and shop floor execution process knowledge is also desired.5+ years configuration experience Apriso with ability to configure and customize configurations in manufacturing execution systemMinimum 3+ years experience supporting full cycle implementation, which includes Gap Analysis, Requirements gathering, blueprinting, Development, Testing, Reporting, Go-live and Post Go-live support.Demonstrated experience in writing functional specifications, creating test plans and test scripts and performing system integration testing.Integral knowledge in manufacturing work instructions, production order buy off, and shop floor management.Demonstrated problem solving and troubleshooting skillsPrior experience in manufacturing engineering processes including ability to create and manage engineering and manufacturing bill of materials and manufacturing work instructionsExperience with manufacturing engineering change processesDemonstrated analytic skills in analyzing large production, capacity, MRP related data.Ability to adapt business processes into automated tools and techniquesUnderstanding of software agile development lifecycle, and the implementation of user requirements into the environment via definition, testing, implementation and trainingEffective communication and facilitation skills - ability to converse technically and functionallyExcellent documentation skills writing Functional Specification and performing Unit tests/Integration tests.Desired SkillsAbility to perform manufacturing engineering processes in Apriso and SAP ERP (Change Management, Bill of material management, and Manufacturing Work Instructions)Ability to create and manage visual work instructionsSAP and Apriso implementation experience within the production business processesExperience with SAP S4Experience in AprisoExperience in quality engineeringExperience in model based engineeringExperience in the deployment of manufacturing execution systems to include automation techniques, security, and project managementExperience in IT agile development practicesICONMA’s Discrimination DisclaimerAs an equal opportunity employer, ICONMA provides an employment environment that supports and encourages the abilities of all persons without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. 
        ","
            Be among the first 25 applicants
          ",Entry level,Contract,Business Development and Sales,Staffing and Recruiting
Senior Business Analyst,FareHarbor,"Denver, CO",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-fareharbor-3888710362?position=8&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=bHJssR2dOn3t%2F3Rf%2B05e%2FA%3D%3D&trk=public_jobs_jserp-result_search-card,"
About FareHarborAt FareHarbor, our mission is to make experiences better for everyone. Founded in 2013 in Hawaii and acquired by Booking Holdings in 2018, FareHarbor creates powerful tools that enable our clients (think boat rentals, museums, food tours, events and more!) to operate and grow.With over 20,000 clients across 90+ countries—we’re the largest in our industry and shaping the future of travel, together.Our team is an ‘Ohana of 700+ people around the world. We’re passionate about pioneering an industry, embracing challenges with open arms, and delivering value to the experiences industry.FareHarbor Core ValuesThink Client FirstWe Are One ‘OhanaBe Curious and LearnOwn It.Act With IntegrityEmbrace the ChallengeWhy FareHarbor?Founding FareHarbor required unwavering passion. Turning a start-up into the world’s leading and largest reservation software for tours, activities, and attractions required relentless dedication and vision. To date, we’ve helped over 20,000 global businesses operate successfully and are proud to have played a role in enabling business owners to live their dreams.And since day one, we’ve known that our real success lies in our people—the Ohana.With each new feature launched and new client onboarded, there is a team of incredible people behind the scenes who are full of dedication, passion, energy, and the will to succeed. We encourage everyone to bring their whole selves to work—to believe in their abilities, to freely express their creativity, and to contribute with their own uniqueness by wearing their true colors. We take care of one another and always prioritize health and wellbeing. We give our people the space and trust to learn, to try, to succeed, to collaborate, to think outside of the box, to make mistakes, and even to fail. And then we come together to try again.From the minute you join, you have a voice. You find your space. You make an impact. We celebrate our victories, shout our successes, and are always eager to tackle new challenges. And we can’t wait to see all that’s to come.About The RoleThe Senior Business Analyst is the craft leader and point of reference for analytics resources such as reporting, visualization and analysis needs, primarily focusing on the North America region (NORAM) while being part of the global Business Intelligence team. That means that you will be a critical thought partner for NORAM’s VP of Commercial, Chief of Staff and commercial leaders. The NORAM Commercial team oversees Sales, Onboarding, and Account Management and is responsible for growing and maintaining partnerships with thousands of FareHarbor clients.We would love to see you leading regional analytical excellence, being an integral part of the global Business Intelligence team. This role will be an exciting opportunity for someone who likes to drive continuous improvement initiatives and innovation, and is an all-star collaborator. This is a full-time position based out of our Denver office.What You’ll Do HereAct as a trusted advisor to the Commercial leaders to develop strategic revenue reporting, providing predictions and insights to meet objectives of the Sales, Account Management and other client-facing teams. Optimize data strategy (full cycle, from ETL to reporting) to support data-driven decisions for client growth: maintain data accuracy and spot improvement opportunities for key reports, metrics, and workflows. Collaborate with cross-functional stakeholders to define problems, set success metrics, and plan future strategies using data insights and effective communication.Build and develop a knowledge base about the operational, tactical and strategic best practices for the Commercial team. Be the voice of the global Business Intelligence team within the NORAM region, ensuring our culture has data at the forefront.Requirements5+ years of proven experience in Analytics.Preferably understanding of SaaS and/or Sales, Revenue, and Customer analytics and best practices.BSc/MSc in Business Administration, Economics, Statistics, Computer Science or related field.Expertise using data analysis and visualization tools (e.g: Tableau, Data Studio, Power BI, Mixpanel, etc.) to drive strategic decisions.Expertise with one of the data analysis languages (SQL, Python); experience working with DBT and statistical modeling is a plus. Experience leading and executing complex projects spanning multiple stakeholders across various geographies. Excellent communication skills with the ability to translate complex data findings into actionable recommendation in a fast-paced, dynamic, high energy environment.Benefits Medical, dental + vision coverage26 days of PTO + 12 paid holidaysGlobal leave benefit22 weeks paid parental leave 2 weeks paid grandparent leave Extended care and bereavement leaveLife insurance policy401k + employer matchingSocial hours & events and team-building Educational OpportunitiesWellness benefits (Headspace subscription & wellness webinars) Work-from-home assistanceHybrid friendlyPaid volunteer hoursSalary Range: $88,000-$132,000, plus 10% bonus potentialPlease note you must be authorized to work in the United States for this position.FareHarbor is committed to creating a diverse environment, and we are an equal opportunity employer. We do not discriminate on the basis of race, color, religion, gender, gender identity, sexual orientation, national origin, disability, age, or veteran status. We welcome talent that can offer us new insights and perspectives on challenges that we face, and we take measures to eliminate unconscious bias throughout the interview and hiring process. In tandem, we work to cultivate an inclusive culture in which all of our employees can be their authentic selves.To learn more about how we use your information, see our Privacy Statement for Applicants. By submitting your application, you confirm that you understand and agree that your information will be processed in accordance with our Privacy Statement for Applicants.Any offer of work (e.g. employment, assignment) will be subjected to the successful completion of pre-employment screening.
        ","
          70 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Travel Arrangements
Business Analyst,"TFE, Inc.","Broomfield, CO",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-tfe-inc-3881278213?position=9&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=4ST1Sigb6KZcd1XVFPgMsg%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionTFE, Inc. is an innovative and successful supplier of professional, technical, and administrative personnel in the U.S. nuclear energy complex and other commercial ventures. TFE excels in quickly providing the resources to enable our customers to meet their schedules and production requirements.Come join our team as a Business Analyst supporting work for the Legacy Management Support (LMS) contract in support of the Department of Energy’s Office of Legacy Management (LM) mission to fulfill post-closure responsibilities at 100 sites across the U.S. and Puerto Rico. Services include a variety of activities to ensure the future protection of human health and the environment at mission-related sites that are closed and transferred to LM for long-term stewardship and management.This primarily onsite position will be located in Morgantown, WV, Grand Junction, Co, or Westminster, CO. U.S. Citizenship is required.The Business Analyst acts as a member of the Information Governance Team for providing coordination in the analysis of business processes that impact compliant management of the information lifecycle.ResponsibilitiesCoordinates all aspect of meetings conducted to support the analysis of business process with various stakeholders to include scheduling, facilitating, identifying participants, and capturing all finding to properly document the analysis process.Gathers, documents, and analyzes business processes and requirement, recommends changes and facilitates communication between stakeholders and the Information Governance Team.Supports and helps plan elements of the organization’s information architecture, business architecture, and solutions architecture.Follows appropriate procedures and manuals governing Information Management activities and responsibilities.Conducts or supports various assessments to properly understand information systems within the information governance framework such as system inventories, information system assessments, privacy impact assessments, and other assessments as needed.Assists business functional areas and site operations with defining functional and technical requirements to ensure information is accessed and used within information systems according to relevant NARA, NIST, ISO standards and/or other DOE regulations.Assists business functional areas and site operation with business process evaluation and documentation as necessary.Provides secondary information management disaster response support for recordkeeping emergencies.Protects and identifies sensitive information from unauthorized disclosure according to Government regulations and guidance.Assist with identification of challenges and efficiencies related to job duties and suggests process improvements related to position, team, or department.Assists in creating policies and procedures as needed based on legal and regulatory obligations, business needs, and industry standards.Serve as lead for working groups, special projects, and initiatives as needed.RequirementsEducation and ExperienceBachelor’s degree and 7 years of experience with a preference for coursework and experience in records, privacy, project management, information management, and/or library science.orMaster's degree with 5 years of experience with a preference for coursework and experience in records, privacy, project management, information management, and/or library science.orA minimum of 15 years of relevant experience in records management, library science, scientific discipline, document and knowledge management, training, and archiving, creation, collection, indexing, digitizing, transportation, and storage of records.CertificationsRecords and Information Management certification including Certified Records Analyst (CRA), Certified Records Manager (CRM), Information Governance Professional (IGP), Certified Information Professional (CIP), Six Sigma, Project Management Professional, and/or Business Analyst. (Or must be able to attain certification within 6 months of hire.)LicensesValid Driver's LicenseSkills/AbilitiesUnderstands primary principles, concepts, and techniques for managing information through all phases of the lifecycle.Resolve situations daily, utilizing problem-solving skills, and provide follow-up to both customers and management.Ability to perform complex professional tasks both independently and as a team and to analyze and develop innovative solutions to problems.Ability to work with broad objectives, with latitude, to determine the best way to accomplish tasks.Has the level of language skills, communications skills, reasoning ability, technical skills, and computer skills necessary to perform the essential functions of the position.Provide advice and guidance on the organization and utilization of information assets, while ensuring practices adhere to recordkeeping standards.Advise teams on the application of information management policies and procedures, including creation, use, retention and disposition of content.Respond to ad hoc queries regarding information management within standard or negotiated timelines, while adhering to best practices for service quality.Provide input and support in the development and maintenance of enterprise information management policies and procedures.Provides superior professionalism and customer service.Advance computer skills including proficiency with M365 and Modern SharePoint.Advanced written and verbal communication skills.Assist in training of new employees as needed.Physical and Working ConditionsLight work–significant degree of walking or standing, lifting up to 20 lbs. of force occasionally and/or up to 10 lbs. of force frequently. Individuals must be able to perform the essential functions of the job with or without reasonable accommodation.Required ScreeningsDrug ScreenPhysical Assessment (if applicable)Background Check (Criminal, Civil, Educational, Previous Employment, etc.)DisclaimerThis job description is intended to convey information essential to understanding the scope of the position and is not a complete list of skills, efforts, duties, responsibilities or working conditions associated with it.TFE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Environmental Services
Business Analyst,Aequor,"No Name, CO",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-aequor-3886459889?position=10&pageNum=0&refId=mkb4xt9ERxFGJm2Ahot1bQ%3D%3D&trackingId=R5iBf3VKaRfsNKAMsID2XA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Location: RemoteTop Skills Minimum of 5 years' experience in Product Management delivering successful and innovative products  Leadership and communication. Proven ability to work collaboratively with technical and non-technical team members, including the executive level  Proficient in JIRA  Experience in Figma, Adobe Xd  Experience with data infrastructure / platform / back-end / data engineering  Job Description: Top Skills: Minimum of 5 years' experience in Product Management delivering successful and innovative products  Leadership and communication. Proven ability to work collaboratively with technical and non-technical team members, including the executive level  Proficient in JIRA  Experience in Figma, Adobe Xd  Experience with data infrastructure / platform / back-end / data engineering  RoleThe primary focus of this role will be shepherding new programs and features from start to finish by partnering closely with end users, Engineers, and Executive Stakeholders. The ideal candidate will have a strong background in Product Management (Product Owner, Business Analyst, etc.), User Experience & User Research, Computer Science, or related fields, with demonstrated experience shipping new products from conception to launch.You will support the development of Client's Data Commons by applying Product Management best practices to delight your customers in the most efficient way possible. You will leverage design thinking while collaborating cross functionally to improve the problem areas (data search, data consumption, etc.) of your program's customers. Ultimately, you will have both tactical and strategic responsibilities, using your willingness to roll up your sleeves to achieve the company's objectives.What You'll Do Deeply understand core problem spaces, data use cases, pain points, and processes within the Research space  Develop an overarching multi-year enterprise level roadmap with associated milestones and objectives that informs and aligns product stakeholders (IT, Executives, etc.)  Deeply understand the Data Platform's architecture and technology to drive from current to expected future state in a timely manner  Act as Agile Product Owner for your remit, breaking down epics into consumable user stories/tasks, continuously grooming the backlog, and partnering with other Product Managers to prioritize against all platform feature development  Partner with the development team to understand technical constraints, level of effort, remove blockers, and guide feature development to completion  Utilize user research and user experience best practices to iteratively develop delightful mockups/prototypes that are consumable by end users and engineers alike  Balance tradeoffs nimbly across experience, top/bottom line, regulatory risk, and concurrent programs  Establish working relationships with project Stakeholders to gather input, review milestones, and provide progress reports  Partner with internal stakeholders to socialize and gather feedback on new prototypes and features  Present readouts to department and broader organization to evangelize and socialize the platforms' capabilities (current and future state)  Utilize product metrics and OKRs to make informed decisions and align quarterly goals with the department/company goals  Explore new data platform use cases and inform product strategy and roadmap for data, search, and AI/Client features  Strive to for continuous self-improvement as a Product Manager, sharing best practices with the team regularly  You'll Love This Job If You Love working on internal platforms  Love advancing science for patient benefit  Love being an expert in the behind-the-scenes platform / data engineering / infrastructure  Love digging into the problem space and use case details  Thrive in environments of high complexity and high impact  Thrive in working with technical teams and leadership Minimum Qualifications Minimum of 5 years' experience in Product Management delivering successful and innovative products  Academic background (bachelor's degree) or equivalent work experience in computer science, data science, statistics, economics, or engineering  Experience with data infrastructure / platform / back-end / data engineering  Experience working with agile development teams  Experience defining product requirements and using data and metrics to determine outcomes Preferred Qualifications Multiple years of pharmaceutical and/or bio-tech industry experience  Strong customer empathy, with an ability to transform complex data and customer insights into a prioritized roadmap  Leadership and communication. Proven ability to work collaboratively with technical and non-technical team members, including the executive level  Strong communication and partnership skills this will be an extremely cross-functional role, with more than a handful of stakeholder teams  Entrepreneurial spirit and growth mindset  Data Engineering experience is a plus Additional Job RequirementsNone
        ","
          32 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Pharmaceutical Manufacturing
