title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Arrow Search Partners,"Greenwich, CT",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-arrow-search-partners-3879890633?position=1&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=bgPh5f%2B4CoMXCsmi0%2Fc5cg%3D%3D&trk=public_jobs_jserp-result_search-card,"
About The CompanyOur client is a private investment firm with over $100 billion in AUM with a focus on global real estate. This role will support the day-to-day tasks of the firm’s alternative investment products.ResponsibilitiesSupport the monthly, quarterly, and annual fund/broker-dealer operating activitiesSupport the completion of due diligence questionnaires & materials along with coordinating onsite meetings and conference calls with members or potential members of the selling syndicateProvide accurate reporting and analysis for the sales & marketing departments and third parties for sales and marketing results, key metrics and KPIs, campaign tracking and analysis, concentration tests and other ad hoc strategic analysisTrack, analyze, and prepare presentations depicting key metrics, sales analysis, marketing campaigns results and achievements using charts, tables, and graphs with data extracted from the firm’s CRMSupport data and segmentation analysis to assist in the firm’s targeted sales effortsRequirementsBachelor’s degree in finance or business1-3 years of experience in a business analyst or similar role preferredStrong quantitative and qualitative analytical abilitiesAdvanced proficiency in Microsoft ExcelSalary Range$120,000-$130,000
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst,Brooksource,"Stamford, CT",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-brooksource-3887126111?position=2&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=D5h6W%2BrM7Vhqkvq9EBJl7Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Title: Business Analyst IIIDuration: Long Term ContractLocation: Stamford CTOur Fortune 75 MSO client is investing in their product team that supports the self-service chat bot feature across web and mobile platforms. This team serves as a conduit between a powerful chat bot tool and the platform owners of the features. You will be the Product Analyst to drive product vision to innovate on this new platform. Because this is a newer tool, there is still a rich backlog and features to be rolled out, of which you will be directly supporting. You will have the opportunity to interact with a multitude of stakeholders, make data-driven decisions, and have a direct hand at the creation of use cases and user journeys.MINIMUM QUALIFICATIONS3+ Years of experience functioning as a Product Owner, Product Analyst, or Business AnalystComfortability interacting with technical development teams and data-driven business groups to provide product leadership.Nice to have:Jira, MondayExperience interacting with multi-layered stakeholder groups in a corporate environmentComfortability interacting directly with customer journeysSQL to interact with customer data platformsRESPONSIBILITIES:This product team supports the AI chat-bot feature. The software development organization you’ll be translating stories to is the external vendor for the AI-chat bot. You will be in charge of intaking business requirements from key stakeholders/business leaders and translate them into story requirements for this external software development organization. You will facilitate working triage sessions to prioritize on data & inputs. The data you will interact will pertain to customer data which includes A/B, marketing, operations, platform data, etc. This will all result in a communication and definition of product strategy.WHAT’S IN IT FOR YOU …?You will have the opportunity to define product strategy in a new feature, backed by an enterprise with a multi-million customer base. The leadership in this group is spectacular and you will be unified on the mission to enhance the customer experience of digital support platforms pertaining to all web and mobile chat-bot features.BENEFITS OF WORKING WITH BROOKSOURCE:Previous experience working with this client and placing both permanent employees and contractors.Direct communication with the hiring manager, which allows us to have a clear understanding of the timeline and move candidates through the interview process faster.Dedication to keep an open line of communication and provide full transparency.
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Business Analyst,PAYARC,"Greenwich, CT",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-payarc-3909709928?position=3&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=i95L1Qr0o%2F0Av8oQW6b6IQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionPosition: Business AnalystJob Type: Full-time, ExemptLocation: Greenwich, CTTravel Requirements: N/AWho We ArePAYARC is an innovative Fintech Company that provides payment-processing services to businesses in the US. It was founded in 2016 in Greenwich CT, to leverage technology to reduce costs associated with accepting card payment while offering increased customer service and support. Our goal is to provide our customers with the lowest cost processing, best-in-class technology, and unparalleled support. Our organization has experienced phenomenal growth and thrives on an entrepreneurial spirit, passion, and top-tier talent. We try and promote from within where possible, which offers growth opportunities.We believe great companies are built by great employees - and strongly believe in the development of our employees and promotion from within. We have strived to design a program to help employees stay productive and achieve their financial goals.About The PositionPAYARC is looking for a Business Analyst to ensure ISO standards are met/ exceeded. The ideal candidate has a desire to make an impact professionally and is self-motivated/goal oriented.What We Offer Competitive pay plan Benefits including medical, dental, and vision 401k match Paid time offRequirementsResponsibilitiesReview current business processes for accuracy and identify areas for improvementWork with other departments to drive process and system improvementsAbility to analyze and interpret data, requirements, business rules, etcManage and review residual calculations for Payarc partnersOperational analyticsWork with required documentation and give necessary attention to detailsPerform other duties as assigned/ provide operational assistance as neededRequired QualificationsBachelor’s degree preferredMust have strong analytical skillsStrong mathematical skillsDetail oriented and excellent organizational, planning and prioritization skillsExperience with various computer skills: Microsoft Access, Word, Excel, Outlook, and Internet savvySense of ownership and pride in your performance and its impact on company’s successHighly proficient verbal and written communication skillsStrong technical aptitude or willingness to learnStrong interpersonal skills for interacting effectively with key internal and external contactsJudgment and resourcefulness to solve problems independentlyPreferred QualificationsPossess knowledge of the acquiring business with respect to industry trends, business risk factors, and other operational procedures associated with booking merchantsEqual Opportunity Employer
        ","
          54 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services
Business Analyst,Software Technology Inc.,"Connecticut, United States",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-software-technology-inc-3888428235?position=4&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=ykp8ACO1sigIbt%2FJ9kUxFw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Hi,Job Role: Business AnalystLocation: Hartford, ConnecticutPosition: Hybrid role, Longterm roleThis project is in accordance with the Connecticut Technical Education and Career System (CTECS) Nutrition and School Meals (NSM) office recent awarding of 4.7 million dollar in IT Capital Funds. Over the course of the next 3 years, the NSM will up-grade and overhaul the districts Point of Sale (POS) cafeteria management system. In turn, these monies will be used to streamline efficiencies and minimize the manual labor activities in record keeping that are currently in place in our cafeterias and central office locations.A Business Analyst is responsible for creating and maintaining solutions to company operations. Applicants are expected to have at least ten years of relevant work experience, ideally in a school or educational agency, managing school nutrition data applications and processes. Their duties include analyzing financial reports, market research and operating procedures, strategizing ideas to improve business operations and meeting with company executives and other stakeholders to provide suggestions based on their analysis. Individuals in this position have demonstrated experience in the standard concepts, practices, and deliverables related to Business Analysis in support of software development projects. The candidate will understand how to gather and document requirements. The individual will have a working knowledge of the software development lifecycle as well as being well-versed in budget maintenance.Examples Of Business Analyst Duties And Responsibilities IncludeGather and analyze for potential business expansionBudget maintenance and analysisIdentify specific business opportunitiesInfluence stakeholders to support business projectsAssist with project management for selected projectsCoordinate with different departmental teams to produce enhanced business outcomesTest business processes and recommend improvementsWorks under limited supervision with considerable latitude for the use of initiative and independent judgment. Some familiarity with the use of standard market Testing tools.Skills Database Data Analysis Proficient (4-6 Years) No /Yes Skills Others Business Intelligence Analyst Planner Advanced (7-9 Years) No Skills Others Communication skills both verbal and written Advanced (7-9 Years) No Skills Others Integration planning and strategy Advanced (7-9 Years) No Skills Others Learning ability Advanced (7-9 Years) No Skills Others Presentation skills Advanced (7-9 Years) No Skills Others Process Flow Analysis Advanced (7-9 Years) No Skills Others Project management Advanced (7-9 Years) NoThanks & RegardsHarithaTechnical recruiterPhone# +1-609-232-8706 || haritha.p@stiorg.comSoftware Technology, Incwww.stiorg.com
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,Information Technology & Services
Business Analyst - Investment Fund,Analytic Recruiting Inc.,"Stamford, CT",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/business-analyst-investment-fund-at-analytic-recruiting-inc-3880676166?position=6&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=fXr50TzHFMOz2memJs%2FteQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
A Connecticut investment firm is seeking a Business Analyst- Investment Fund with experience working for a small company in financial services and supporting management information systems technology. This new role will manage the implementation and integration of external vendor investment applications, workflow processes, accounting, and operations processes.This person must work independently to drive the firm's transition from legacy tools and practices into the implementation of new management information applications. Candidates must have a strong technical background and current programming skills and experience integrating and implementing information systems across all aspects of the business.Salary: Up to 200k base + bonusLocation: Stamford, CT or Greenwich, CTVisa sponsorship IS NOT AVAILABLEResponsibilities:Work independently to identify management information needs across the firmSelect and work with external vendor applications.Drive the testing, integration and implementation of external vendor management information applications.Provide continuous support for the firm's investment and operational process, procedures, and controlsAssist in programming for onboarding and implementing information systems and applicationSupport the IT infrastructure of an active investment managerWork closely with business units, (portfolio managers, risk managers, operations, and technology) to understand business requirementsAuthor business requirements and manage the implementation with IT and the businessPerform functional testing of all technology enhancementsRequirements:5+ years working in business analyst roles with a start-up or small financial services firmMust have financial services experience.Must be comfortable working in small entrepreneurial firm working independently where you will be solely responsible for driving the results of the software integration without any handholding from your managerMust have experience working with process workflows, vendor selection, application testing and application integration.Must understand software development principles.Must have hands-on current technical skills (programming and software integration.Must have hands-on experience working with management information software such as Geneva, Dynamo, Backstop, DealCloser, Salesforce, NetSuite, and TableauMust have superior communication and problem-solving skillsKeywords: Python, Software Integration, Vendor Selection, Technology Business Analyst, NetSuite, Requirements Gathering
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Analyst and Information Technology,"Financial Services, Investment Management, and Investment Banking"
"AVP, Senior Business Analyst",Chubb,"Simsbury, CT",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/avp-senior-business-analyst-at-chubb-3909882331?position=7&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=0Ly8EpM%2F1By17aof7OELAw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionChubb is seeking a Sr. Business Analyst to aid the delivery of best-in-class data analytics solutions across Chubb’s North American Insurance operations. The successful candidate will be highly collaborative, creative, and intellectually curious; able to work well in a team; adaptable and able to work with complexity and ambiguity; is a self-starter and motivated to learn and succeed; is analytics-driven and can identify problems and interconnections as they arise; has keen business acumen; and is familiar with agile project management.The candidate will be responsible for working closely with business and technology teams to lead projects through the entire project lifecycle, including requirements gathering, design, development, testing, documentation, and post-implementation support.Responsibilities Communicate with NA Data and Analytics stakeholders to understand business needs and requirements for insurance products, processes, and services.  Analyze and document complex business systems and processes, identifying gaps and potential solutions for improvement.  Develop business cases and project proposals, outlining business benefits, costs, and risks.  Collaborate with business owners and technology teams to decompose high-level business requirements to detailed functional requirements.  Assess and define business impact of proposed solution changes, and lead impact analysis activities for proposed solution changes.  Work with Global Analytics and/or IT teams to translate business requirements into technical specifications and designs for insurance systems and interfaces.  Participate in user acceptance testing, develop test scenarios, cases, and scripts, support user testing, evaluate test results, and track issues to ensure timely resolution.  Develop training documentation, user manuals, and end-user documentation for applications or systems.  Work effectively with portfolio managers, data scientists, developers, testers, and stakeholders to manage project scope, timelines, and budgets.  Collaborate with team members to monitor and report progress of NA portfolio of analytics projects. QualificationsMinimal Qualifications 7+ years of experience in business analysis, strategy, change management, transformation, and business process management (within data analytics space preferred)  Bachelor’s degree in business administration, Finance, or a related field  understanding of insurance products, processes, and regulations, with practical experience in property and casualty insurance preferred  Strong analytical, problem-solving, and decision-making skills, with the ability to interpret complex data sets and make recommendations to business stakeholders.  Excellent written and verbal communication skills, including the ability to communicate complex technical concepts to non-technical stakeholders.  Strong relationship-building and stakeholder management skills, with the ability to influence and manage expectations.  Strong project management skills, with the ability to manage multiple projects and priorities in an agile environment.  Proficient in MS Office Suite; expert in power point presentations and with Microsoft excel.  Knowledge of Agile methodologies and experience with JIRA, Confluence, and other project management tools is a plus.  Experience with insurance domain and/or inclination to learn the insurance business.  Stays in touch with technical advancements in the data and analytics field. The pay range for the role is $106,500 to $176,000. The specific offer will depend on an applicant’s skills and other factors. This role may also be eligible to participate in a discretionary annual incentive program. Chubb offers a comprehensive benefits package, more details on which can be found on our careers website . The disclosed pay range estimate may be adjusted for the applicable geographic differential for the location in which the position is filled.About UsChubb is a world leader in insurance. With operations in 54 countries, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance, and life insurance to a diverse group of clients. The company is distinguished by its extensive product and service offerings, broad distribution capabilities, exceptional financial strength, underwriting excellence, superior claims handling expertise and local operations globally.At Chubb, we are committed to equal employment opportunity and compliance with all laws and regulations pertaining to it. Our policy is to provide employment, training, compensation, promotion, and other conditions or opportunities of employment, without regard to race, color, religious creed, sex, gender, gender identity, gender expression, sexual orientation, marital status, national origin, ancestry, mental and physical disability, medical condition, genetic information, military and veteran status, age, and pregnancy or any other characteristic protected by law. Performance and qualifications are the only basis upon which we hire, assign, promote, compensate, develop and retain employees. Chubb prohibits all unlawful discrimination, harassment and retaliation against any individual who reports discrimination or harassment.
        ","
            Be among the first 25 applicants
          ",Executive,Full-time,Business Development and Sales,Insurance
Business Analyst,Spectrum,"Stamford, CT",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-spectrum-3886895482?position=8&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=beBS1h%2FmvDuKQE5ar5k%2FPA%3D%3D&trk=public_jobs_jserp-result_search-card,"
BE PART OF THE CONNECTION As a Business Analyst in the Credit Services department, you’ll analyze business operations and recommend solutions to align individual business functions with organizational goals. You’ll use your understanding of an organization’s structure, policies, and operations to improve general business processes and planning. WHAT OUR BUSINESS ANALYSTS ENJOY MOST Compiling, analyzing, interpreting business needs, and presenting requirements related to current and future operationCreating reports, charts, graphs, and presentations to aid in proposing new strategies for successful business changesAnalyzing external market dynamics and other data sources to assess trends and develop actionable insights and recommendations to managementRecommending use of new technology or existing technology alternatives to solve problems or make improvements In this role you’ll work individually and within a team in a dynamic office environment. You’ll excel if you can collaborate cross-functionally, adapt to change, and handle multiple projects and priorities simultaneously. You’ll develop skills that are transferable to other areas of Spectrum for a meaningful, long-term career.WHAT YOU’LL BRING TO SPECTRUM Required QualificationsExperience: Business analysis or related experience: 2 years or moreEducation: Bachelor’s degree in business or related fieldTechnical skills: Comprehensive knowledge of software applications such as Word, Excel, PowerPoint, etc.Abilities: Quickly identify business problems & opportunities; prioritize & organize effectively; analyze & interpret data, communicate clearly both orally and in writingSPECTRUM CONNECTS YOU TO MOREDynamic Growth: The growth of our industry and evolving technology powers our employees’ careers as they move up or around the companyLearning Culture: We invest in your learning, and provide paid training and coaching to help you succeedSupportive Teams: Be part of a strong community that gives you opportunities to network and grow, and wants to see you succeedTotal Rewards: See all the ways we invest in you—at work and in life
","
            Over 200 applicants
          ",Associate,Full-time,Analyst and Business Development,Telecommunications
Business Analyst Project Management,CVS Health,"Hartford, CT",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-project-management-at-cvs-health-3901314988?position=9&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=u2qs4r%2BChGtfMTIXYv91DA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Bring your heart to CVS Health. Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.Position SummaryThis position is with Meritain as part of the LMD Project and Program Management team and will be accountable for partnering with the Client Advocate Organization managing projects, providing suggestions and solutions.This position contributes to team meetings, brainstorming sessions, and collaborative projects, including sharing ideas, providing feedback, and contributing to the overall goals and objectives of the team.This position will require working collaboratively with internal constituents, with the ability to work across boundaries to be successful in resolving issues.Fundamental ComponentsInvolved in the entire project lifecycle of System Release Support: Includes assessment and interrogation of business needs including product, regulatory/compliance, and policy; planning, design, and development; provide rigorous User Acceptance Testing (UAT) support; signoff; deployment, including enterprise and targeted audience communications; and post installation activities. Provides production issue resolution and support by facilitating service requests management, pre-release risk reviews of current production environment, and claim post release process issue monitoring and tracking.Provides functional expertise by supporting actions to address compliance issues and internal audit findings, and operationalizing nonstandard business needs.Manages, leads, or participates as a subject matter expert on projects.Ensures business requirements are accurately defined, documented, and Interpreted.Tracks progress and communicates status, issues and/or risks on a regular basis to manager and impacted parties.Ensures all necessary Communications and Training are developed and distributed to appropriate audiences.Understands implications of proposed solutions or process changes and provide guidance on alternatives where necessary.Acts as a subject matter expert in the development of improved documented policies and procedures.Accountable for transferring knowledge, best practices, methodology and tools to the organization.Collaborate across boundaries to ensure successful resolution and completion of actions and projects.Raises risks or issues in a timely manner and engages appropriate resources.Required QualificationsExceptional analytical and planning skills2-3 years project coordinating experience2-3 years customer service experienceAbility to manage multiple priorities at the same timeAbility to translate data into meaningful and clear actionsStrong organizational and critical thinking skillsAbility to work independently with little supervisionAbility to work in a group setting and collaborate with othersNegotiation/influencing skillsRelationship and change management skillsProven track record meeting project datesProven communication skills, both written and verbalPreferred QualificationsKnowledge of Sales Force and ExcelEducation Bachelor's degree or equivalent experience (HS diploma + 4 years relevant experience)Pay RangeThe typical pay range for this role is:$43,700.00 - $107,200.00This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefitsWe anticipate the application window for this opening will close on: 05/17/2024
        ","
          80 applicants
        ",Not Applicable,Full-time,Other,Hospitals and Health Care
Business Analyst,Beazley,"West Hartford, CT",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-beazley-3900003508?position=10&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=5%2FOFVsF3ETu2QR4WJM%2F5Lg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          GeneralJob Title: Business AnalystDivision: ITReports To: As per Beazley’s organizational chartKey Relationships: Underwriting, Claims and support staff, IT Development team, IT Operations team, all staff.Job Summary: To be responsible for the analysis and requirements definition for Underwriting systems. To develop and maintain excellent relationships with people in all relevant departments in Beazley.FLSA: ExemptCore Skills: Experience in transforming digital processes, cross platform experience, insurance product experience, knowledge of multiple insurance distribution channels, looking for and negotiating win-win opportunities in delivering value, challenge status quo, look for opportunities to innovate existing business processes, thrive within a self-motivated, agile environment, identify and solve business problems within constraints of delivery environment, critical thinking, intense collaboration.GeneralAt Beazley we are committed to doing the right thing because it is the right thing to do. It is important that within all your interactions both internally and externally you adhere to this principle through adoption of Beazley’s core values and behaviours - PIED and Being Beazley.Adopt the Beazley culture of Professionalism, Integrity, Effectiveness and Dynamic that contribute to an internal environment of teamwork and promote a positive brand image and experience to our external customers.Comply with Beazley procedures, policies and regulations including the code of conduct. Undertake training on Beazley policies and procedures as delivered by your line manager, the Talent Management or assurance teams (compliance, risk, internal audit) either directly, via e-learning or the learning management system. Display business ethics that uphold the interests of all our customers. Ensure all interactions with customers are focused on delivering a fair outcome, including having the right products for their needs. Comply with any specific responsibilities necessary for your role as outlined by your line manager, the Talent Management development or assurance teams (compliance, risk, internal audit) and ensure you keep up to date with developments in these areas. This may include, amongst others, Beazley’s underwriting control standards, Beazley’s claims control standards, other Beazley standards and customer relationship management. Carry out additional responsibilities as individually notified, either through your objectives or through the learning management system. These may include membership of any Beazley committees or working groups.Key ResponsibilitiesBusiness Analyst Activities:Cross-organization collaboration to define and document comprehensive business and system requirements. Document business requirements in such a manner that development design teams are able to translate business requirements to deliver the required functionality.Ensure the business team(s) is involved appropriately in the requirements definition of solutions and that appropriate acceptance criteria are documented for fully testing the business capability.Work within a variety of project and solution design frameworks as required at Beazley, including scrum and use case tools or any other approach agreed within the team.Employ a number of techniques when eliciting requirements from business representatives including interviewing and facilitating workshops.Define and document the data mapping between the legacy systems and any new systems.Assisting product manager with advocating for the business, prioritization activities, and scrum team oversight.Help formulate and challenge new IT approaches and systems required to improve business productivity and profitability.Contribute to the identification and design of innovative solutions to address business needs.Actively participate within the North American underwriting IT team, offering creative options to improve methods of working and intra team collaboration.Work closely with the development team members to ensure that applications and systems deliver the business requirements elicited during the project lifecycle.Work with the architecture and data team to promote best practises and investigate opportunities to improve the system landscape.OutputsDuring discovery activityDetail business requirements accurately interpreted for IT use.Detail end to end process maps (in conjunction with and confirmed by the business) where required.Identify process improvement opportunities and the associated costs and benefits.Detail functional and non-functional requirements for agreement by the project stakeholders.During design and build activityDetail change requirements accurately interpreted for IT use.During test and release activityIdentify and develop training needs of user community.Detail any emerging changes / fixes requiring new specifications.Responsible for the successful delivery a quality product including but not limited to user acceptance training (UAT)RelationshipsDevelop relationships with senior management and staff in all relevant areas of Beazley and ensure that there is an open and constructive dialogue regarding IT needs and issues.Ensure that all relevant staff receive clear and frequent updates regarding business analytical tasks and progress as necessary.Work with all in the business to elevate the perception and capability of IT.Personal SpecificationEducation and QualificationsGraduate equivalent education and/or qualificationsSkills And AbilitiesGood grounding in all aspects of ITUnderstanding of underwriting systems and operationsUnderstanding of business strategy and the work of the other departments within the organisationAbility to see the big picture and have experience of successfully shaping strategic issues through to implementation.Able to coordinate inputs from several departments, in order to reach a shared vision for IT requirements.Demonstrable structured techniques for evaluating business processes and documenting user requirements.Knowledge and ExperienceProven experience in IT within the specialty insurance sector or similar, fulfilling business analysis responsibilities. Knowledge of various analysis and project management tools covering scope definition, requirements documentation and progress reportingCompetenciesManaging resources effectivelyTechnical competence expertiseProblem solvingPurposeful communicationBroad-based thinkingBusiness Awareness / Corporate ThinkingCreativity / InnovationSalary for this role will be tailored to the successful individual’s location and experience. The expected compensation range for this position is $68,000.00 - $88,000.00 per year plus discretionary annual bonus. You will be able to discuss your salary expectations should you be contacted about this role.
        ","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Insurance
Business Analyst,eStaffing Inc.,"Southington, CT",2024-04-13,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-estaffing-inc-3896362469?position=11&pageNum=0&refId=93zvBKLjWetQ5GZBf7S7pA%3D%3D&trackingId=Izb3CZjbplO%2F59DprE9IDA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Title: Business Analyst FISERV Commercial Center SMELocation: Southington, CT (Onsite)Job Type: Contractual JobWe are seeking a Cash Management SME with FISERV Commercial Center product experience for its Banking practice group. FISERV Commercial Center is a Treasury Cash management suite of products which generates various payment method through digital channels. The candidate we are looking for should have a thorough understanding of the product. This position's primary responsibility will be to help enterprises achieve greater business connect, faster user acceptance, and shorter turnaround times & function as a key contributor in the team at different phases of the project including discovery, solution generation, design/architecture, and the detailing of the overall process. The chosen candidate will be involved in the recommendation, configuration, evaluation, and deployment of high-quality solutions that enable our clients to meet the changing needs of the global landscape. FISERV Commercial Center has 5 different modules such as Commercial Center- Corporate, Commercial Center Small Business: Commercial Center - Security, Commercial Center Payables and Commercial, and Commercial Center delivery. Following is the high-level skill sets the candidate is expected to have.Job DescriptionExtensive experience in FISERV Commercial center Management solutionHands on exp in Account payable, Receivable, Cash Management, SWEEP, Balance reporting, Zero BalancingGood understanding of Liquidity ManagementRequired QualificationsBachelor's degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education.Experience in Information Technology in the FISERV Commercial center spaceProduct ManagementFISERV Commercial center product experience is mandatory.Produce Feasibility Studies and Business Cases to support Life Cycle Management and prioritization.Business Analysis Skills -Requirements Elicitation, Analysis, Configuration, And DocumentationEvaluate and analyze business requirements, elicit information to help identify business needs and objectives, and propose solutions to solve problems.Manage on-going communication and clarification of functional and non-function requirements in a clear and comprehensible manner to project staff, and other technical stakeholders.Create And Manage Solution Requirements Package Supporting Business RequirementsUse Cases and/or User StoriesFunctional and Non-Functional RequirementsInterface Mock-ups and attributeProcess Models and descriptions.Workflow Storyboards
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
