title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst-DE,eStaffing Inc.,"Wilmington, DE",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/business-analyst-de-at-estaffing-inc-3902440062?position=1&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=A6nj%2B7QipqcGvHN9TrGKFw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Business AnalystLocation: Wilmington, DelawareMust Have Skill: Candidate should have Banking experience in card/payment bank with minimum Java knowledge.Job DescriptionTechnical Product Analyst, who has the ability to refine both technology and business request to understand customer value and impacts. The product analyst must be a highly collaborative individual responsible for driving discovery effort with architects, principal engineer, technologist and other product analyst to determine the right solution to solve the problem.Take Product prioritized items, execute appropriate discovery activities with the requestor, appropriate business SMEs, architeture and engineer. Understand the value of the problem to be solved, determine the anticipated customer experience, operational processes, work with technology to determine the solution plan/feasabilty to ultimately plan against a product roadmap
        ","
          77 applicants
        ",Associate,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Senior Business Analyst,Wipro,"Newark, DE",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-wipro-3901582104?position=2&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=ZAPwoSp61%2FjtC%2FmiSAT%2BaQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
About Wipro:Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries. We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.A PROUD HISTORY OF OVER 75 YEARSFY22 REVENUE 10.4 BN USDWE’RE PRESENT IN 66 COUNTRIESOVER 1,400 ACTIVE GLOBAL CLIENTSRole : Business AnalystLocation : Newark, DE or Pennington, NJ.Position SummaryThis is a Business Analyst position in Bank of America’s Desktop Synergy Web team within the Erica, Chat and Voice Technology Organization. The Business Analyst will work closely with Business units, subject matter experts and technical resources to define and deliver solutions that meet business objectives. Responsible for combining business and technology skills with strong leadership, communication, negotiation, facilitation, adaptation and presentation skills. Serves as the ultimate facilitator between Business and IT in truly understanding the business's needs and plays a key role in the overall management and success of a project through the entire project lifecycle. Using proven methods and tools, this position leads the planning, eliciting, analyzing, validating and managing of requirements, business processes, high-level solution design, test case design, and implementation planning & support - in partnership with Project Managers, Business Stakeholders, and IT interfacing groups. This position may also be called upon to lead other IT project work based on changing project demandsFIELD OF EXPERTISE: Ability to write quality stories and collaborate across the board. Good team player, communicates effectively and clearly, able to articulate complex solutions to business and technology audience alike.• Documents detailed functional and technical requirements for business requirements.• Documents Impact Assessment for proposed projects.• Provides estimates for systems analysis work.• Primary contact through which requirements flow between business and tech and responsible for ensuring those requirements are delivered.• Collaborates with UX/Wireframes Design teams.• Partners with architecture and tech solution owner to ensure project efforts are aligned to enterprise standards and tech strategy.• Designs a solution that can be leveraged by other platforms/LOBs.• Identifies external service providers/interfaces needed on a project.• Becomes a Subject Matter Expert on the functionality and the logic behind the design decisions.• Ensures traceability of the software requirements to the business requirements.• Documents system requirements as user stories/HLD ensuring the requirements are comprehensive, clear, actionable and testable, collaborating with architecture and dev. The design may include assumptions/constraints, business rules, external interfaces, data attributes, data mappings, use cases and non-functional requirements (performance, stability)• Experienced in Agile methodologies, Epic grooming, story grooming and sprint planning.• Required to participate at all requirements reviews including but not limited to BRD, HLD, Test Plan and test script reviews.• Provides support to developers to ensure requirements are understood.• Provides support to UAT and SIT testers to clarify requirements and determine whether a defect is a new requirement, or truly a defect.• Engages with dev team to review and analyze production issues to determine root cause.• Agile scrum master proficient in JIRA, Dashboard Setup and managing scrum routines.Desired Skills• Help define Roadmap Strategy for existing and new products.• Partners with LOB to define the business problem/opportunity and solution objective for a given project effort.• Ensures alignment with the desktop strategy.• Works with the business during the design/development phase as the first point of contact to identify changes to requirements, then works with the PM to invoke a change control.• Exposure to telephony, IVR and call routing workflows and technologyWipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Analyst and Business Development,Banking
Business Analyst,Motion Recruitment,"Dover, DE",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-motion-recruitment-3904924269?position=3&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=7BvzCGAFDc%2BznO1i1heDjQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our client, a State Agency is actively looking for a Business Analyst to join their Dover, DE office.***CANDIDATES MUST BE LOCAL TO DOVER, DE***The BA in this role will serve as the eCR Lead and a dedicated resource to advance the implementation of electronic case reporting (eCR) for all reportable conditions and to accelerate the use of this data in public health to support the DPH programs. Reviews analyzes, and evaluates business systems and user needs.Formulates systems to parallel overall business strategies.Experienced with business process reengineering and identifying new applications of technology to business problems to make business more effective.Familiar with industry standard (including Legacy, Core, and Emerging technologies), business process mapping, and reengineering.Prepares solution options, risk identification, and financial analyses such as cost/benefit, ROI, buy/build, etc.Writes detailed description of user needs, program functions, and steps required to develop or modify computer programs.Prepare and document Functional and Technical Specifications for reporting and data warehouse work.Assist with business warehouse/intelligence support and enhancements. Develops RFPs.Assist in deployment and management of end-user reporting tools and platforms.Work with IT and business project teams to understand reporting and data warehousing requirements and propose solutions.Document and provide knowledge transfer to the rest of the Enterprise Reporting Team for all solutions.Reviews, analyzes, and evaluates business systems and user needs.Formulates systems to parallel overall business strategies.Has knowledge of commonly used concepts, practices, and procedures within a particular field. Familiar with relational database concepts, and client-server concepts.You will receive the following benefits:Medical Insurance - Four medical plans to choose from for you and your familyDental & Orthodontia BenefitsVision BenefitsHealth Savings Account (HSA)Health and Dependent Care Flexible Spending AccountsLife Insurance, Long-Term & Short-Term Disability InsuranceHospital Indemnity Insurance401(k)Paid Sick Time LeaveLegal and Identity Protection PlansPre-tax Commuter Benefit529 College Saver PlanApplicants must be currently authorized to work in the United States on a full-time basis now and in the future.
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Analyst,Government Administration
Business Analyst,QuantumBricks,"Delaware, United States",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-quantumbricks-3888458677?position=4&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=pworawzDVEYKkNFnQ%2FhqQA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business Analyst (RevPro)Loc: RemoteExp: 10+ Yrs Job DescriptionThe Candidate must have experience in RevPro.Technical expertise in navigating and analysing data in Relational Databases and Cloud GCP eco system.Strong analytical and problem-solving skillsAdept at SQL queries and presenting findings, Candidates with hands-on coding experience a plus.Ability to organize and lead meetings with business and operational data ownersAbility to set and meet deadlines, work in high-pressure situationsExcellent attention to detailStrong written/verbal communication skills
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Analyst,Zortech Solutions,"New Castle, DE",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-zortech-solutions-3888466525?position=5&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=TA2%2FnfhXjtxLzgraSuChbw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Analyst with LiquidityNew Castle, Delware /Canada Only fulltimeNon H1BWe need a BA with about minimum 10year experience in Liquidity management as primary skill set and Payments as secondary skill set. They should be able to adopt agile and work with business and write user stories for functional features and epics.Business Analyst with LiquidityNew Castle, Delware /Canada Only fulltimeNon H1BWe need a BA with about minimum 10year experience in Liquidity management as primary skill set and Payments as secondary skill set. They should be able to adopt agile and work with business and write user stories for functional features and epics.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Jr. Business Process Analyst,City National Bank,"Newark, DE",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/jr-business-process-analyst-at-city-national-bank-3906227077?position=6&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=oEE3orGvf6G8XnT7wfYPcw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Jr. Process AnalystWHAT IS THE OPPORTUNITY?Partners with Process Analysts and supported colleagues to provide analytical and material support. Responsibilities include preparing analysis and supporting process documentation for internal clients, management and stakeholders, including but not limited to: process mapping, impact analysis, RACI Matrixes, Solution documentation, business requirements gathering and managment update materials.What You Will DoAssist with process mapping, solutioning and analytic assignmentsPeople process and technology-oriented projectsProvide timely and accurate deliverables (decks, spreadsheets, process flows, diagrams, etc.)Own engagement of scorecards and drive completionCreate and maintain financial models for use by other teams and identify/correct data gaps, inconsistencies, etc.Effectively communicate issues identified in processes, associated risks and potential solutions to key stakeholdersCreate and maintain process documentationCollaborate with various levels of management across the organization to bring together meaningful insights into the different segments of the businessMust-Have*Bachelor's Degree or equivalentMinimum 1 year of MS Office experienceMinimum 1 year experience in reporting or data validationSkills And KnowledgeModerate skills with MS Office, including Excel & PowerPointProvide analytical and and materials support for senior analystsDevelop high level summary and trending of dataCapacity to work independently with little to no supervisionDemonstrated ability to direct initiatives with successful resultsExcellent verbal and written communication skillsDemonstrated ability to manage multiple projects and priorities and work in a fast paced environment requiredStrong leadership and organizational skillsCompensationStarting base salary: $31.39 - $50.14 per hour. Exact compensation may vary based on skills, experience, and location. This job is eligible for bonus and/or commissions.To be considered for this position you must meet at least these basic qualifications The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.Benefits and PerksAt City National, we strive to be the best at whatever we do, including the benefits and perks we offer our colleagues. Get an inside look at our Benefits and Perks.INCLUSION AND EQUAL OPPORTUNITY EMPLOYMENTCity National Bank is an equal opportunity employer committed to diversity and inclusion. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or any other basis protected by law.'About City NationalWe start with a basic premise: Business is personal. Since day one we've always gone further than the competition to help our clients, colleagues and community flourish. City National Bank was founded in 1954 by entrepreneurs for entrepreneurs and that legacy of integrity, community and unparalleled client relationships continues to drive phenomenal growth today. City National is a subsidiary of Royal Bank of Canada, one of North America’s leading diversified financial services companies.
        ","
          54 applicants
        ",Not Applicable,Full-time,Management and Manufacturing,Banking
Business Controls Testing Senior Analyst,SoFi,"Claymont, DE",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/business-controls-testing-senior-analyst-at-sofi-3882263124?position=7&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=Wf%2B2QEw5hYoSHUCf4HWDVw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Employee Applicant Privacy NoticeWho we are:Shape a brighter financial future with us.Together with our members, we’re changing the way people think about and interact with personal finance.We’re a next-generation financial services company and national bank using innovative, mobile-first technology to help our millions of members reach their goals. The industry is going through an unprecedented transformation, and we’re at the forefront. We’re proud to come to work every day knowing that what we do has a direct impact on people’s lives, with our core values guiding us every step of the way. Join us to invest in yourself, your career, and the financial world.The role:The Control Testing Sr. Analyst is responsible for working closely with various SoFi business partners and/or control owners to execute control testing and deliver results within a timely manner. This person will execute tests of design and operating effectiveness testing, including transactional testing across SoFi’s in-scope business processes. This person will also be responsible for collaborating with the various control owners to understand processes, identify additional potential risks, and determine controls to implement. The Control Testing Sr. Analyst will partner with the issue manager(s) to build out appropriate milestones, owners, and timelines for identified issues via the control testing lifecycle.Additionally, this role will partner with the Control Testing Manager to ensure the business units have a sustainable and effective end-to-end control environment by identifying gaps in existing processes to reduce errors and look for opportunities to create better controls with the process.What you’ll do: Execute Design (DE) and Operating Effectiveness (OE) testing across the various SoFi business processes. Create and maintain adequate testing support documentation such as workpapers, testing reports, etc. to support the results of reviews including the write-up of findings/issues for reporting. Evaluate control testing documentation, reports, data, etc. and determine compliance with policies and procedures. Follow standardized procedures and templates. Develop and maintain effective relationships with internal business partners to execute work and fulfill control testing expectations. Drive accountability with control owners to ensure timely test completion. Prepare and present testing results and conduct the follow-up to monitor agreed-upon activities, including re-performance testing if needed. Act as an objective source of independent advice and partner with control owners to discuss control testing results and mitigation activities. Advise management of any recurring test failures to ensure prompt corrective actions. Work independently on a range of complex tests, which may include unique controls. Assist in the implementation of new controls and updating existing controls and the relevant documentation. Supports change management of varying scope and type; tasks will typically focus on execution and sustainment activities. Continually evaluate the environment for opportunities to proactively manage risk and improve processes based on observation, reviews, and feedback. Ad-hoc responsibilities to support the Business Controls and Control Testing programs. What you’ll need:Minimum 5 years of experience in risk management and/or control testing in financial services and/or banking operating environments. Minimum 4 years of experience in controls testing, quality control roles, or other complimentary capacities within the financial services industry. Scope of experience should include risk identification, mitigation, and control assessments as well as writing test scripts, transactional testing and documenting results. Technical control testing proficiency and risk acumen. Working knowledge in operational risk and controls testing, relevant industry regulations and standard industry processes. Results-oriented, problem-solving skills, and attention to detail. Strong verbal and written communication skills with the ability to communicate via Zoom meetings. Ability to balance multiple critical priorities simultaneously. Experience in highly-matrixed, fast-paced environments. Self-starter with a strong ability to work independently with minimal oversight. Fluent in Excel and PowerPoint, comfortable with analyzing large datasets in Google Suite, MS Office applications, etc. A Bachelor's Degree or 6+ years of relevant experience, or equivalent work experience. Compensation And BenefitsThe base pay range for this role is listed below. Final base pay offer will be determined based on individual factors such as the candidate’s experience, skills, and location.To view all of our comprehensive and competitive benefits, visit our Benefits at SoFi page!SoFi provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion (including religious dress and grooming practices), sex (including pregnancy, childbirth and related medical conditions, breastfeeding, and conditions related to breastfeeding), gender, gender identity, gender expression, national origin, ancestry, age (40 or over), physical or medical disability, medical condition, marital status, registered domestic partner status, sexual orientation, genetic information, military and/or veteran status, or any other basis prohibited by applicable state or federal law.The Company hires the best qualified candidate for the job, without regard to protected characteristics.Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.New York applicants: Notice of Employee RightsSoFi is committed to embracing diversity. As part of this commitment, SoFi offers reasonable accommodations to candidates with physical or mental disabilities. If you need accommodations to participate in the job application or interview process, please let your recruiter know or email accommodations@sofi.com.Due to insurance coverage issues, we are unable to accommodate remote work from Hawaii or Alaska at this time.Internal EmployeesIf you are a current employee, do not apply here - please navigate to our Internal Job Board in Greenhouse to apply to our open roles.
        ","
          113 applicants
        ",Not Applicable,Full-time,Quality Assurance,Financial Services
Business Analyst,WSFS Bank,"Wilmington, DE",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-wsfs-bank-3906489072?position=8&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=ct9Kh5itlkTgTzxhNqLgUg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionAt WSFS Bank, we empower our Associates to grow their careers, guide our customers to secure their financial futures, and actively support our Communities so they can fully thrive. Careers with WSFS Bank offer an inclusive and supportive culture, competitive salaries, advancement opportunities, and more. We are the region's locally headquartered bank and wealth management company. We are honored to consistently be named a Top Workplace by our Associates, who make a difference every day for the people, businesses, and Communities we serve. We Stand For Service® is more than part of our name, it’s our mission and our purpose.The Business Analyst will facilitate business discovery and analysis of requirements and provide business requirements to the development team. This role understands and interprets the various issues and requirements of WSFS Banking operations and facilitates discussion to arrive at solutions that meet overall business needs. The incumbent will translate high-level information into detail for developers, translating technical information into general understanding for end users. The Business Analyst will facilitate end-to-end functional business analysis, and experience design from business need to UAT and release.This position follows a 4/1 hybrid work schedule. The hired candidate must be legally authorized to work in the United States without an employer-sponsored petition for a visa, such as an H-1B visa. WSFS Bank does not intend to file any visa applications in connection with this opening.Minimum Qualifications:Must have a Bachelor’s degree in Business, MIS or related Technology discipline and/or equivalent experience.Minimum of 3 years of business analyst experience with expertise in data analysis leveraging Excel, spreadsheets, etc.Must have a minimum of 3 years of experience implementing integrations to 3rd party and other internal systems.Experience working with Salesforce is a plus.Prior banking industry experience is required.Must have experience in Banking Operations and implementing Digital Transformation technology.Displays strong research, problem solving, analytical, critical thinking, influencing, relationship management, and presentation skills.Strong business operations knowledge to include understanding the function`s value chain and market conditions.Demonstrated experience in Microsoft Excel and Microsoft Word.WSFS Bank is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the WSFS Bank Careers website or submission process, please contact us via email at careers@wsfsbank.com.WSFS is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.
        ","
          164 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Banking
Docusign Digital Business Analyst,"ShiftCode Analytics, Inc.","Wilmington, DE",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/docusign-digital-business-analyst-at-shiftcode-analytics-inc-3883714286?position=9&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=crqfexxQOy0kF%2F2IypLjYg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          DOCUSIGN DIGITAL BUSINESS ANALYST6+ MONTHS CONTRACTWILMINGTON, DEHYBRID (1 DAY/WEEK)NEED LOCAL PROFILES ONLYClient is seeking an Docusign Digitial Business Analyst for a 6 month contract job opportunity with a client located in Wilmington DE area.Local candidates are needed as this is an onsite once per week.The Docusign Digital Business Analyst will work on the Docusign project and driving change/adoption of the Docusign forms.Docusign Digital Business Analyst - Job Responsibilities IncludeDriving change and the adoption of DocuSign across the organization.Will be responsible for building Forms and Templates in Docusign.Will communicate across teams to be the change agent mindset for Docusign.Act as Business Analyst/ Product Owner for Docusign project and drive the adoption across the organization.Required Experience IncludesStrong experience working with with Docusign implementations and driving change/adoption for the forms.Needs to have Docusign experience to be able to participate in the development.Proven experience with building forms and templates in Docusign.Must be able to independently run this project without the oversight of a PM, and be able oto navigate and build rapport internally to ensure project is deliveredStrong Business Analysis and/or Product Owner skills.Experience working with the business area to gather requirements, propose use cases, assist with testing, template building, etc.Strong communication and team collaboration skills are required to drive adoption changes.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology","Accounting, Business Consulting and Services, and Design Services"
�Senior BA,"RIT Solutions, Inc.","Wilmington, DE",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/%EF%BF%BDsenior-ba-at-rit-solutions-inc-3877422913?position=10&pageNum=0&refId=Zm0yqJju6xXwzIJyAEltOA%3D%3D&trackingId=gjv1wq7rBGNpiDNtVW9AkA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Senior BAWilmington, DERemote must be able to come onsite for meetings. ONLY EST CANDIDATESMUST HAVE AGILE/SCRUM cert10/10 communication skillsBachelor's degree in computer science, Information Technology, Systems Engineering, or related field; or equivalent experience.Minimum five years of experience in a business analysis role, with a strong preference for experience in product management within an agile development environment.Proficient in tools such as JIRA, Confluence, and other agile project management software.Deep understanding of agile methodologies, user story creation, acceptance criteria, and definitions of done.Excellent verbal and written communication skills, with the ability to clearly articulate technical and non-technical information to diverse audiences.Ability to lead, design, and facilitate multiple concurrent workshops and deliver effective presentations that are valued by the client.Demonstrated ability to quickly learn existing business processes and combine knowledge from multiple disciplines to produce an optimal business solution.Strong analytical thinking and problem-solving skills.Effective negotiation and conflict management skillsExcellent written and verbal communication skills to both business users and technical staffAbility to work closely with peers and team members in a collaborative manner.Ability to ensure compliance to guidelines, controls, policies, and procedures.Business analysis or agile certification (e.g., CBAP, PSM, or CSPO).Master's degree in a relevant field.Experience in the travel/airline industry or with Enterprise Applications (e.g., SAP, Ariba).Demonstrated ability to lead workshops, facilitate decision-making, and influence stakeholders and team members.Experience with the ARROW reservation system or similar travel systems.Experience with Distributed Systems such as E-Commerce sites, Kiosks, Point of Sale (POS) Systems, and Mobile DevicesThree to five years of experience working with the business or product owners to define acceptance criteria.Three to five years of experience partnering with business or product owners to ensure expectations and requirements are met and managed.
","
            Be among the first 25 applicants
          ",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
