title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Sky Consulting Inc.,"Washington, DC",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-sky-consulting-inc-3891140666?position=1&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=m5Zc7CE50n4TYnjDGR%2B1AA%3D%3D&trk=public_jobs_jserp-result_search-card,"
This is a W2 contract role, no sponsorship is available now or in the future.Only Local candidates to Washington,DC3 Days onsite.Job DescriptionGeneral BA- ITS, supporting the DFI (Developmental Finance Institute)lots of system developments are going on in azure and SAP space- have resources in HQ and Chennai. Have one BA, looking to bring on one more. Gathering and developing requirements, working with business and development teamsNeeds to understand business processes, establish relationships with business teams, and serve as conduit across groupsGather and translate requirements between business and tech teams- serve as that connectionBiggest gap is between technical team and business teamTechnical requirements are not being translated well, which is why they need this resourceBusiness analyst- a bit more data oriented, data validated/data testingTop 3 skills:Business process documentation and communication- biggest current team gap is requirements gathering, that is a space that they really need help inWritten skillsData analysis/excel- looking for lots of analysis and reporting via excel, including running financial numbersWork with a lot of financial numbers- needs to be good at understanding financial applicationsExcel, MS suiteFinancial background a plus, but specifically anyone working at WBG/IMF/developmental finance group would be a HUGE plusBackground Check :Yes
        ","
          121 applicants
        ",Mid-Senior level,Contract,Other,IT Services and IT Consulting
Senior Business Analyst,HarmonyTech,"Washington, DC",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-harmonytech-3904406030?position=2&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=FPFm9DoeomJcvf0ndz65BQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          HarmonyTech is currently looking for a talented and self-motivated Senior Business Analyst with the ability to work in a challenging, consultative, and collaborative team environment. We are seeking a candidate with hands-on experience to support modernization of our client's core business applications. Ideal candidate should have experience in gathering business and functional requirements and have business expertise in adjudicatory, legal or courts related domain. The Business Analyst will work with our Project Manager and the client business owner/IT staff to develop and deliver business process narrative, process models, use cases, data flow diagrams, workflows, and systems requirements specification document.Position is available in Washington DC (no telework), requires public trust clearance, and US citizenship.RequirementsBachelor’s Degree in computer science, information technology or a related fieldAt least 10 years of Business Analyst experience developing functional and non-functional software requirements for a variety of business scenarios including project planning, requirements elicitation, business process analysis and narrative development, and data modelingExperienced with requirements gathering and documentation and translating business use cases to technical requirements documentationExperience with business requirements gathering, analysis and evaluationExperience working with various team members during systems design and development activitiesExperience supporting Joint Application Development (JAD) sessionsExperience utilizing various requirements elicitation techniquesStrong oral and written communication skills and a proficiency in the Microsoft Office suite, process modeling, and data modeling tools is requiredIf you are interested and feel that you would excel in the position, we invite you to apply. During this phase of our recruiting effort, we will not be able to accept telephone calls. Only those candidates meeting the requirements will be contacted. No recruiters please.About HarmonyTechWe have been delivering information technology services and solutions across the Federal government and commercial clients for over a decade. Our employees are the most important assets of our company because they delivery value and care for our clients. We are a company of passionate technologist constantly evolving in our understanding and application of technology to best fulfill our client’s mission needs. We operate under a flat and efficient organizational structure to ensure our hand-picked consultants have the flexibility to take risks and be innovative. We typically work in small, agile teams as we design and develop solutions to address our client’s business challenges. Our success is measured with every satisfied customer and employee.Why you want to join usYou have a passion for solving our customers complex business problemsAwesome learning and professional development opportunitiesA culture built on teamwork and excellenceBenefitsHarmonyTech offers a highly competitive salary and including:Medical/Dental/Vision Insurance (company contributes 80% of the entire premium)Short/Long Term Disability CoverageLife and AD&D Insurance401(k) Retirement Plan with Company MatchTuition ReimbursementEmployee Referral BonusPaid Federal HolidaysAccrued Paid Time OffClick the benefits package link above to check out the benefits we offerLegalHarmonyTech believes in a policy of equal employment and opportunity for all people based on merit. We are an Equal Opportunity Employer (EEO) and Drug Free Workplace Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin or any other category protected by applicable federal, state or local laws.The statements herein are intended to describe the general nature and level of work being performed by employees and are not to be construed as an exhaustive list of responsibilities, duties, and skills required of personnel. Additionally, they do not establish a contract for employment and are subject to change at the discretion of HarmonyTech.Powered by JazzHR9zRaTTLzyj
        ","
          52 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
Senior Business Analyst,"KMRG, LLC","Washington, DC",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-kmrg-llc-3911994891?position=3&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=pj0EeDKTmWmgWjFXf%2BGQZQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
ROLEWe are seeking a Senior Business Analyst to support the Department of Transportation (DOT). Your scope of work will be focused on developing workflow applications used to integrate external data.This is a full-time position with salary and benefits. Our comprehensive benefits package includes Medical, Dental, Vision, 401k with match, Flexible Spending Account, and Paid Time Off (PTO).Apply today!ResponsibilitiesLeverage BA expertise to support the development process of the new Salesforce application Lead the collection, capture, and management of mission user needsAssess and support user needs (i.e., prioritization, concept development, and user story writing)Use Agile program management tracking tools to leverage Agile and Scrum methodologies and best practices Support requirements prioritization and backlog grooming sessionsCoordinate with engineers to ensure successful systems integrationEnsure all project guidance, work products, and documents are updated and posted to a common document repositoryCollaborate with the product owner and users to determine the operational objectives of needs and requirementsTranslate complex business processes into clear and actionable user stories with acceptance criteriaWork with IT and mission stakeholders to review, update, and maintain a business process roadmap of the to-be systemEvaluate areas of reengineering by outlining potential to-be processesValidate application functionality and support quality assurance testingAssist with client and system user documentation (i.e., user manuals, system admin manuals, and training guides)Define, develop, adjust, and implement program management processes to meet government and industry standardsIdentify and assess operational inefficienciesDevelop recommendations on business process improvementsSupport the implementation and monitoring activities Advise and provide expertise in identifying and evaluating new technologies and associated processesProvide comprehensive, testable, and traceable process components in several formats (i.e., Business Requirements, Functional Requirements, Data Requirements, System Software Specifications, Use Cases, etc. )Knowledge & Skills6 years of relevant experience2+ years of Salesforce experienceExcellent written and verbal communication skills Prior experience supporting new application development within SalesforceExp. with Agile development methodologies, user story creation, scrum, etcExp. with integrating internal data models to external data systemsExp. in Salesforce Service Cloud with a focus on application integration preferredExp. with MuleSoft and data pipelines preferredBACKGROUNDProgressive and relevant experience Accredited Salesforce Public Sector Solutions Professional preferredPreferred certs: Certified Scrum Master, PMI Agile Certified PractitionerEDUCATIONBachelor’s degree in CS, IS, Engineering, Business, or other related scientific or technical discipline LOCATIONDOT headquarters, 1200 New Jersey Avenue, SE Washington, DC 20590TELEWORKPrimarily remote — must be available to report on-site within 1 business day if requestedCLEARANCEU.S. citizenship required since this role supports the U.S. federal governmentCLIENTDepartment of Transportation (DOT)TRAVELNo travel requiredWORK HOURS40 hours per week8 hours per dayEMPLOYMENT CLASSIFICATIONEmployment Classification Eligibility — Non-Exempt RELOCATIONNot eligible for relocation benefitsKMRG, LLC is an Equal Opportunity/Affirmative Action (EEO/AA) employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, gender identity, sexual orientation, ancestry, national origin, age, marital or civil partnership status, mental disability, physical disability, medical condition, pregnancy, maternity status, political affiliation, military or veteran status, genetic information, traits historically associated with race, or any other basis prohibited by federal, state, and/or local law.Other Considerations. Applicants will be subject to a background investigation. Individual’s primary workstation is located in an office area. The noise level in this environment is low to moderate. Regularly required to sit for extended periods up to 100% of the time; frequently required to move about to access file cabinets and use office equipment such as PC, copier, fax, telephone, cell phone, etc. Occasionally required to reach overhead, bend, and lift objects of up to 10 lbs. Specific vision abilities required by this job include the use of computer monitor screens up to 100% of the time.Powered by JazzHRnG5Wbwob4p
        ","
            Be among the first 25 applicants
          ",Director,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
HR Business Process Analyst,ICONMA,"District of Columbia, United States",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/hr-business-process-analyst-at-iconma-3900932936?position=4&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=3ef5FyQ5KBSJaaCY4VMt%2FA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Support multiple business processes and work streams related to recruiting and HR-applicable tools as well as serve as a liaison between GTA and our IT and HCM partners for system design and integrations. You will participate on various project teams and perform analysis, requirements gathering, planning, design, development, testing and release of features and functionalities for current and new recruiting software implementations. ResponsibilitiesUnderstand how GTA’s processes function within WorkdaySupport business as usual activitiesRecommend and adopt industry best practices relevant to attracting and hiring key talent into the organizationResearch innovative technologies to support and or replace current technologies in the GTA technology portfolio and recommends changes to support future GTA strategies & roadmapAbility to facilitate discussions with technical and business partners to translate and convey business needs, as well as system impacts or limitationIdentify business requirements for technology partner portfolio planning, stakeholder impact and assist in prioritizing business change requestsLiaise with IT and HCM and technology partners on daily recruitment operational items including change requests, defect and incident remediation, other issues and concerns to ensure proper and timely solution deliveryAssist in the development of training materials for system usersPartner with Project Management to develop a coordinated delivery approach, dependencies, resource requirements and schedule for multiple workstreams with the overall program and launch schedule.Utilize competency and experience with Workday’s business process framework to provide recommended solutions for the business and evaluate existing challengesPartner with the business on the best long-term solutions for Workday Recruit business process and job application steps, including data opportunities throughoutCoordinates, executes, and participates in user acceptance testing (UAT) to identify application errors and to ensure quality software deploymentSupport day-to-day support of GTA’s technology stack to ensure continued operations and ensures customer inquiries are addressed and resolved with a high degree of service quality and efficiency including evaluating upcoming enhancements to functionality, creating & executing test scenarios and scripts and defining business requirementsAbility to facilitate discussions with technical and business partners to translate and convey business needs, as well as system impacts or limitationLiaise with IT and technology partners on daily recruitment operational items including change requests, defect and incident remediation, other issues and concerns to ensure proper and timely solution deliveryPartner with Project Management to coordinate delivery approach, dependencies, resource requirements and schedule for multiple workstreams with the overall program and launch schedule. RequirementsBachelor’s degree in a related field5+ years’ experience supporting implementation Human Resources (HR) technologies and knowledge of HR-related systems and integrations (HRIS, background check vendors, assessment vendors, employee referral add-ons, CRM, etc.)3 years’ experience working in Workday, including experience in handling change requests, defects, incidents, and customer concernsAbility to work in a fast-paced environment with shifting priorities As an equal opportunity employer, ICONMA provides an employment environment that supports and encourages the abilities of all persons without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. #alljobs 
        ","
            Be among the first 25 applicants
          ",Entry level,Contract,Business Development and Sales,Staffing and Recruiting
Business Analyst Senior (Hybrid),Serigor Inc,"Washington, DC",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-senior-hybrid-at-serigor-inc-3912300760?position=5&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=Z%2F%2F9fpHn2TMuBIuvoIdSYw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business Analyst Senior (Hybrid)Location: Washington, DCDuration: 12 Months+Job Description:The client seeks to hire a Senior Business System Analyst (BA) resource to provide business process analysis and evaluation, system analysis, requirement gathering, testing, documenting, and liaising with stakeholders.The client is seeking a qualified Business Process Analyst (BPA). The BPA must have experience reviewing, analyzing, and evaluating business processes, systems and user needs, including documenting process flows, requirements, supporting the development of systems to align with business process re-engineering, and providing consultation on complex projects as a top level contributor. The BPA must have a technology background and experience with re-engineering of complex business process, design and documentation of processes in close consultation with business users and technology teams and ability to contribute to the solution architecture. The BPA will work as part of a team responsible for the data modernization initiative.Responsibilities:Document the As-Is business processes and process flowsDevelop formal documentation for the To-be business processes, process flows and requirements in consultation with business users and technology teamsDocument the existing data sources/elements and map data elements with data standards working closely with the data architectSupport the development team with review and testing of use caseRequirements:8-10 yrs experience as a business process analyst with developing strategies/processes to optimize business processesExperience with data intense software development, requirements gathering and documentation, managing client relationships, business process analysis, project management software, software development life cycle. 3) Knowledge of Family Educational Rights and Privacy Act (FERPA) and familiarity with FERPA requirements is a plusStrong and clear written and verbal communication skillsTechnologies: MS Office, Vizio, knowledge of Smartsheets, TFS, GitLab, or Jira is a +Minimum Education/Certification Requirements:Bachelor’s degree in IT or related field or equivalent experienceSkills:SkillsRequired / DesiredAmountof Experience11 yrs. business analysis experienceRequired11YearsBachelor’s degree in IT or related field or equivalent experienceRequired15YearsSoftware Development Lifecycle experienceRequired8YearsRequirements gathering and documentationRequired8YearsMS Office + MS Project or other Project Management softwareRequired8YearsBusiness process analysis and the ability to implement changeRequired11YearsExperience with developing strategies and processes to improve overall business workflowRequired11YearsExperience in documenting business process, requirements, and test scriptsRequired11YearsExperience developing develop System Requirements Specification (SRS)Required11YearsStrong communication skills - ability to articulate technical terms and complex data clearly to non-technical audience both verbally and in writingRequired11YearsPowered by JazzHRyFw3sCMBuP
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Internet Publishing
Sr. Business Operations Analyst,Wits Solutions Inc.,"Washington, DC",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/sr-business-operations-analyst-at-wits-solutions-inc-3909331730?position=6&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=MscGqpbqdOL%2BjdQkwdLZtA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Wits Solutions Inc. (WITS) is a SBA certified 8(a) company with headquarters in the metropolitan Washington D.C. area. WITS has been providing best-in-class solutions in professional IT and administrative consulting to various Federal, State, Local and commercial customers. At WITS, we believe in working not for our clients but with them. This is why right from the beginning; our analysts and solution-builders work closely with our clients to ensure that the project outcomes continue to deliver value long into the future.Job DescriptionEducation/ Certification Mandatory:Bachelor’s of Science or Arts degree in Business, Finance, Mathematics, Accounting, Management Information or related discipline is required.Work Experience MandatoryA minimum of five (5) years of experience is also required, of which three (3) years must be specialized in program management. Specialized experience is defined as functional experience in two or more of the following areas: program analysis and evaluation, cost/ benefit analysis, program management, test and evaluation, information technology, science and technology and financial management and tracking.Must possess demonstrated subject matter work experience of five or more years of internal control matters.Proven ability to anticipate and effectively solve unusual or complex problems by thoroughly analyzing their root causes and recognize key causal connections.Experience in directing large and interdependent work groups in a manner that effectively delivers results to the government.Demonstrated experience in defining measurable outcomes that advance internal control goals and direction, particularly as associated with the management of a large and complex programs.Experience in responding to government (or customer) requests in a timely manner to ensure the delivery of the highest quality products.Superior ability to engage in open, direct, candid, constructive and regular exchanges of information between team members and the government that ensures the work activities are effective across the teams and the government. Superior ability to communicate both orally (in common English narration) and in writing, such as reports, memoranda, electronic mail.Ability to manage multiple projects, work under pressure and tight deadlines, work independently, and work in a team environment.Be Proficient in Microsoft Office 2013 or later with particular emphasis on Microsoft Outlook, Word, Excel, and PowerPoint.Personable and professional demeanor.Work Experience Nice To HaveDHS or DHS CBP experienceRoles And ResponsibilitiesSenior Business Operations Analyst – Program Management SupportThe Contractor’s duties and responsibilities shall include:Acting as a team lead for ORS, BO Branch initiatives;Collaborating for developing strategic solutions, driving efficiencies and innovation; and, Assisting in the integration of best industry practices.“Equal Opportunity Employer Veteran/Disabled”
        ","
            Be among the first 25 applicants
          ",Associate,Full-time,Business Development and Sales,IT Services and IT Consulting
Business Analyst,The Midtown Group,"Washington, DC",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-the-midtown-group-3895284984?position=7&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=R06gW5e%2Bl1bwjDpCkY5fHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Our client, a well respected DC Government Agency, is seeking a Business Analyst to join it's team on Contract Basis through the end of September.The Business Analyst Will Be Expected ToAnalyze measurement data, identify measurement data inaccuracies, and work with others to interpret and resolve such inaccuracies.Coordinate development of budget reports and budget transformation working across multiple teams. Reconcile contracts, invoices, and statements to ensure they align with Federal and District policies.Manage full lifecycle project development from inception, including timeline and milestones.Liaise between project leads and managers to ensure all documentation is accurate and processed quickly for FEMA reimbursement.Drafting, updating and communicating with agency partners to ensure consistent, accurate budget, data, and communication reports.Develop and implement a communication strategy that includes media outreach and social outreach through three platforms: Businesses and Residents, Media, and InteragencyAcquire and maintain a detailed knowledge of the district emergency policies, principles, and strategies, and keep up to date with relevant developments.Work with key internal role-players to brainstorm content ideas aligned with the department’s strategy and support of various brand initiatives.Support and evaluate results of communication campaigns with the agency.Build and maintain relationships with district agencies and vendors.Understand and provide logistical support through power platforms and Data tools.For 32 years, the Midtown Group has been connecting talented professionals with incredible employment opportunities.We are a small, woman-owned business certified by the Women’s Business Enterprise National Council (WBENC). Operating from our headquarters in Washington, DC, we provide trusted staffing services nationwide. Our clients include thousands of the most prestigious Fortune 500 companies, law firms, financial organizations, tech innovators, non-profits, and lobbying firms, as well as federal, state and local government agencies.Whether you’re looking for a temporary role or direct hire position, Midtown wants you to Love What You Do.To get you there, we can navigate the best options in your industry, connect you directly to hiring managers, and give you the insider tips you need to nail your interview.You’ve got the skills. You’ve got the experience. Let Midtown get you the response your resume deserves.Check us out! www.themidtowngroup.com Finding the perfect fit should always be this easy.The Midtown Group is An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.
","
          196 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst,GARUD,"Washington, DC",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-garud-3909190596?position=8&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=hYym%2F%2FZdldnnOoshLpDxow%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Analyst - CISAGarud Technology Services, Inc. (GTS) is in search of a motivated, self-driven Business Analyst to join our team supporting a critical Department of Homeland Defense client! The ideal candidate must have a passion for their work, be innovative, and possess strong verbal and written communication skills.About Garud Technology ServicesGarud Technology Services, Inc. (GTS), is a Maryland-based, SBA-Certified Woman Owned Small Business (WOSB), and a highly-specialized provider of Technical and Professional services to organizations with demanding requirements. Our portfolio of customers includes the Department of Defense (DOD), Department of Education (DoED), Department of Homeland Security (DHS), Department of Transportation (DOT) and Federal, State and Local Authorities tasked with developing and fielding cutting-edge technologies. Our team includes Engineers, Scientists and Subject Matter Experts with hard-to-find experience and qualifications, and we apply industry accepted quality processes that include CMMI-DEV (Level II Appraised), CMMI-SVC (Level III Appraised) and various ISO certifications (ISO 9001:2015, ISO 14001:2015, ISO/IEC 20000-1:2011, ISO/IEC 27001:2013). To learn more about GTS go to https: www.garudtechnology.comResponsibilities & DutiesSupport the federal customers to understand and document business and system requirements and processesAssist in the development of standardized office policies, processes, and procedures Provide support for accountable property lifecycle from property acquisition, receipt and use, physical inventory, and validation, to its disposition by transfer or other means or accounting for it as lost, damaged, or destroyed Provide regular training, information papers, SOP updates, and similar products on evolving or new property management requirements. Assist with developing and recommending process and database improvements for data management and automated solutions. Assist in identifying, documenting, and analyzing current business objectives, operational requirements, and technical business processes. Recommended areas for improvement or efficiencies. Translate business processes into proposed solutions. Evaluate effectiveness of active process improvement initiatives and make recommendations. Support business modeling, business process design and facilitation, analysis, and evaluation techniques for implementing organizational processes for a highly technical organization and program. Support the prioritization of initiatives based on business needs and requirements and provide recommendations on way forward based on cost benefit analysis and return on investment. Draft and recommend a communication strategy to communicate with cross-functional team members and management. The Contractor may also be required to attend IPT meetings when necessary. Assist with developing data mapping strategies to identify and correlate existing data fields and translate data requirements to developer and administrator. Coordinate with Business Process and Developers to provide a comprehensive solution and recommend ways forward. Provide support with visualizing data through the graphical representation of information and data. Recommend tools, such as Microsoft Power BI and Tableau for translating data into visual elements like charts, graphs, and maps Assist with developing and implementing initiatives for the purpose of streamlining internal organization and program processes and implement initiatives after approval from the Government. This includes business process reengineering and/or applying lessons learned by previous reports/studies. Required Educations, Experience, Knowledge, Skills & AbilitiesMasters degree required A minimum of (10) years’ recent and relevant experienceMicrosoft Office product proficiency (Word, Excel, Outlook, PowerPoint)Knowledge, Skills & Abilities (Desired)Experience supporting cyber security related organizations.Experience in Power BI and/or TableauTS/SCI eligibility is desired.Location: Hybrid schedule with expectation to report into one of the offices located in the National Capital Region.Citizenship And Security Clearance RequirementsU.S. Citizenship is required.Ability to pass DHS Background Investigation.Minimum of a Secret Security Clearance at time of hire.GTS provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Information Technology & Services
Business Analyst,"Tech-Marine Business, Inc. (TMB)","District of Columbia, United States",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-tech-marine-business-inc-tmb-3908148254?position=9&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=%2Fzj18Y94mjjCG4eosp9wjQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
COMMITMENT. EXCELLENCE. INTEGRITY.Our Mission StatementTMB will strive to be the best Employee-Owned Business contributing to our National Defense.We are committed to providing meaningful work, fair compensation, benefits that support a work/life balance, and to contribute towards a secure retirement for all our Employee-Owners.Our Guiding PrinciplesCommitment to our customers’ missions;Excellence in everything we do;Integrity in all our relationships.These are the principles which govern who we are and what we do.TMB, Inc is looking for an energetic Business Analyst to provide Business Planning and Operations support to the LPD 17 Flight II ship class.Requirements planning.Assembling plans and perform analysis working across all funding types (O&MN, SCN (all types), and RDT&EN).Analyzing LPD historicals and developing a profile for future programmatic requirements.Analyzing LPD requirements for class and hull specific programmatic costs.Developing briefing material to summarize plans and progress to plans.Identifying gaps and potential COAs to resolve future funding profile challenges.Analyzing programmatic health and recommend potential COAs.Coordinating with program divisions and leads, Contract CORs, SSGC, Warfare Centers, Field Activities and other division requirement/project leads.Bachelor's Degree in a relevant field (Business, Finance, Engineering).8-10 years of experience supporting US Navy programs (shipbuilding preferred).Must be a United States citizen.Must possess an active DOD Secret security clearance.Proficiency using the Microsoft Office suite including Word, Excel, and PowerPoint.Outstanding verbal and written communications skills.Ability to perform frequent internal and external customer interface including regularly scheduled and ad hoc meetings.Ability to travel reasonable distances (up to ½ mile one way) to meet with customers or other company personnel in the execution of job functions.Ability to lift and carry up to 25 pounds in order to carry a laptop, notebooks, papers, binders and other tools and equipment required in the execution of job functions.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Defense and Space Manufacturing
"Business Analyst Senior with Min11 yrs experience in business analysis(Webcam Interview)(HYBRID,Local to DMV Area)",Prohires,"Washington, DC",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-senior-with-min11-yrs-experience-in-business-analysis-webcam-interview-hybrid-local-to-dmv-area-at-prohires-3910078005?position=10&pageNum=0&refId=VTl8X0ZUV9%2BkKGjrmI%2B3iQ%3D%3D&trackingId=4wCO9p%2Br4pF3G6Uy0KZOtw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          We are looking for a Business Analyst Senior - (Min 11+ Yrs. Exp) (Webcam Interview).POSITION DESCRIPTION DIRECT CLIENT PositionNumber of positions: 1Length: 9-21 Months+ Work Address: Washington, DC 20002Immediate interviews – (Webcam Interview)Please Note this position is HYBRIDSeeks to hire a Senior Business System Analyst (BA) resource to provide business process analysis and evaluation, system analysis, requirement gathering, testing, documenting, and liaising with stakeholders.Seeking a qualified Business Process Analyst (BPA). The BPA must have experience reviewing, analyzing, and evaluating business processes, systems and user needs, including documenting process flows, requirements, supporting the development of systems to align with business process re-engineering, and providing consultation on complex projects as a top level contributor. The BPA must have a technology background and experience with re-engineering of complex business process, design and documentation of processes in close consultation with business users and technology teams and ability to contribute to the solution architecture. The BPA will work as part of a team responsible for the data modernization initiative.Responsibilities: Document the As-Is business processes and process flows. Develop formal documentation for the To-be business processes, process flows and requirements in consultation with business users and technology teams. Document the existing data sources/elements and map data elements with data standards working closely with the data architect. Support the development team with review and testing of use case.Requirements: 8-10 yrs experience as a business process analyst with developing strategies/processes to optimize business processes. Experience with data intense software development, requirements gathering and documentation, managing client relationships, business process analysis, project management software, software development life cycle. 3) Knowledge of Family Educational Rights and Privacy Act (FERPA) and familiarity with FERPA requirements is a plus. Strong and clear written and verbal communication skills.Technologies: MS Office, Vizio, knowledge of Smartsheets,TFS, GitLab, or Jira is a +Minimum Education/Certification Requirements:Bachelor’s degree in IT or related field or equivalent experienceRequired/Desired SkillsCandidates must have ALL the “Required” skills in order to be considered for the position. “Desired” or “Highly Desired” skills are a PLUS but may NOT be required. Skill Matrix Experience with Business workflow processesRequired / DesiredAmountof Experience11 yrs. business analysis experienceRequired11YearsBachelor’s degree in IT or related field or equivalent experienceRequired15YearsSoftware Development Lifecycle experienceRequired8YearsRequirements gathering and documentationRequired8YearsMS Office + MS Project or other Project Management softwareRequired8YearsBusiness process analysis and the ability to implement changeRequired11YearsExperience with developing strategies and processes to improve overall business workflowRequired11YearsExperience In Documenting Business Process, Requirements, And Test ScriptsExperience developing develop System Requirements Specification (SRS)Required11YearsStrong communication skills - ability to articulate technical terms and complex data clearly to non-technical audience both verbally and in writingRequired11Years
        ","
            Be among the first 25 applicants
          ",Associate,Contract,"Research, Analyst, and Information Technology",Outsourcing/Offshoring
