title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Yancey Bros. Co.,"Austell, GA",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-yancey-bros-co-3901413185?position=1&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=AQaWvUvaFK%2Fr7DfqckJMMA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Who We Are: From Georgia. For Georgia. Since 1914 Yancey Bros. Co. has proudly served as the authorized Caterpillar equipment dealer for Georgia, providing our customers with the highest quality sales, parts and service. From Caterpillar heavy and compact construction equipment to on-highway trucks, we remain committed to learning more about our customers, offering equipment and support to keep up with their changing needs. This all starts with our greatest asset…our employees.What You Will Be Doing: As a member of IT, you will work closely with the team, business liaisons, business analysts and other IT staff as needed for requirements gathering, understanding business priorities, and execute given tasks. You should be able to work strongly with others and have a team-first attitude. Additional responsibilities include design, development, and testing of Microsoft Power BI reports ensuring optimization, functionality, and a consistent look and feel of all of Yancey’s reporting needs.Primary Responsibilities: Acts as a liaison between departmental end-users and programming personnel in the analysis, design, testing, and maintenance of applications to ensure optimal system performance operational needs and objectives, current operational procedures, problems, input and output requirements, and levels of systems access.Trains users and supports training in the usage of applications.Performs unit and integration testing and troubleshoots problems.Well-versed in all things related to Microsoft Power BIDevelopment: Data Models, ETL and OLAP Cubes. Design and Deploy Dimensional Data Models. Create Integration Services packages, scripts, and other elements to move data from source systems into the data warehouse.Work in collaboration with the organization to understand business issues, identify new valuable areas of analysis and develop reports that analyze data warehouse information to support effective rapid decision-making.Develop and deploy reports/interactive data visualizations using various tools including Power BI, SSRS, Excel and SharePoint.Support and maintain existing reports and requests made by users.Enhance BI experience through Power BI or other automation tools.Reporting services that the business community can leverage for self-service analysis.Conduct informal training sessions that foster a solid understanding within the business community of both the ad-hoc reporting models and reports published through the reporting dashboards.Additional Responsibilities: Participate in required safety program, and work in a safe manner. Additional duties as assigned by manager. Who We Are Looking For: To be successful in this position you should have strong organizational skills with the ability to set priorities. You should demonstrate commitment to customer satisfaction and the ability to work in a collaborative team environment. A working knowledge of project management is required for this position as well.Education/Experience:Bachelor’s Degree in Computer Science / Information Technology or related field or equivalent experienceMinimum of 2 years of experience as a BI developer with Microsoft Power BIRequired Qualifications/Skills: Must be highly organized with the ability to set priorities and be a team player with a team-first attitude.Understanding of SQL and related knowledge is preferred.Proven abilities to take the initiative and be innovative.Proactive in learning and highly self-motivated.Excellent problem-solving skills using best practices to architect complete solutions.Demonstrates commitment to customer satisfaction and ability to work in a collaborative team environment.Excellent organizational and project management abilities.Exceptional interpersonal, verbal, and written communication skills along with strong analytical skills required.Must be highly organized with the ability to set priorities.Must be able to assess situations and make decisions based on urgency and risks.Proactive in learning and highly self-motivated.Excellent problem-solving skills using best practices to architect complete solutions.Demonstrates commitment to customer satisfaction and ability to work in a collaborative team environment.Working knowledge of project management and ITIL change management standards.ValuesAt Yancey Bros. Co, we are always looking to add people to our team who share our core values:Safety: We value the lives and health of our team and customers above all else.Integrity: We are ethical and trustworthy, demonstrate respect for others, and communicate truthfully and promptly.Teamwork: We work as one across our organization for the benefit of our customers.Excellence: We strive to be the best, continuously improving our customers’ experience and the solutions we provide.Sense of Urgency: We respond quickly to customer needs and hold ourselves accountable for results.Ideal candidates will demonstrate the following values:Acting in a safe mannerExhibiting honesty and integrityActing in a fair and ethical mannerTeam mentalityDelivering quality resultsEmbraces change / improvementExhibiting superior customer service skillsExhibiting pride and ownershipWorking with a sense of urgencyExhibiting a winning attitude What We Offer:Yancey Bros Co offers a full benefits package that includes aggressive compensation levels, technician tool allowances, full medical, vision and dental coverage, employee wellness programs, paid vacations and more.Competitive Pay StructureCompetitive PayIndividual Bonus Opportunities AvailableTechnician Tool Allowance401k Plan Strong Company MatchEmployee Profit SharingFinancial Wellness CoachingEmployee Wellness ProgramMedical, Vision, Dental InsurancePrescription Drug CoverageFlexible Spending AccountsShort & Long Term DisabilityGroup Life InsurancePersonal Time OffPaid HolidaysPaid Sick Leave Career DevelopmentTuition ReimbursementOngoing Training Advancement Opportunities
","
          187 applicants
        ",Associate,Full-time,Marketing,Machinery Manufacturing
Business Analyst - Aerospace,Cora Systems,"Atlanta, GA",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-aerospace-at-cora-systems-3901328484?position=2&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=rMi3PeVroCAQO%2FgKts65Ng%3D%3D&trk=public_jobs_jserp-result_search-card,"
BUSINESS ANALYST  Are you an experienced Business Analyst that has worked in the Aerospace and Defense industry? Are you looking for career progression opportunities in a fast-growing, global tech company? Then a move to Cora Systems to become part of our vibrant team could be just what you are looking for. Cora Systems is an award-winning worldwide leader in providing enterprise project and portfolio management solutions to global organizations and government agencies. Our flagship product, Cora PPM, powers transformation by aligning strategy and managing projects, portfolios and programs effectively. It is proven to help our clients deliver key business benefits and ROI.Business Analysts are a part of our Product Management team that supports client co-innovation projects. They are industry experts in their respective fields and understand project management best practices. They work closely with solution architects and the implementation team to bring innovative solutions to life. They are excellent communicators with a customer-centric mindset and the ability to translate a complex design into detailed requirements. Job Type: Full-time, Permanent Contract.Location: US BasedRequired Education: Bachelor’s Degree in Business, Engineering or a related discipline, or evidence of equivalent competency and experience for performing the role.Required experience: 5+ years as a Business AnalystKey Responsibilities:Understand and analyze the customers business needs and transform these into deliverable requirements for our engineering teamDesign a next generation Earned Value Management SystemChallenge clients to follow project management best practices for their industryCreate user stories and process flows from defined requirementsExcellent presentation skills in both Client facing and internal to Cora teamsDocument and proficiently explain complex designs to all levels within the projectDrive continuous improvement and innovation within CoraAct as a team lead within the Product Delivery teamRequired Skills and Experience:Bachelor’s degree in computer science, information technology, business or a related field7+ year of experience managing mid to large projects and/or programs5+ years working as a Business AnalystExperience working on US Government Contractor projectsUnderstanding of Electronic Industries Alliance (EIA) 748 guidelinesWorking knowledge of Agile scrum methodologies and tools like Azure DevOpsExperience of Project Management methodologies.Excellent client-facing and internal communication skills Excellent written and verbal communication skillsDemonstrated ability to operate in a fast-paced environment and juggle ever-changing priorities and deadlinesA customer-driven focus, with a history of consistently meeting and exceeding performance targets in relation to customer deliveryEagerness to keep up with and, where possible, ahead of industry standards and willingness to encourage and bring others along with them. What we offer at Cora Systems:You will be rewarded with a competitive salaryWe offer flexible working, life insurance and pensionWe have progressive learning and development policies and support employees in this areaWe encourage team events, run wellness initiatives, and are committed to our local community and local charitiesOpportunities to travel (when possible) are available for those interested in seeing more of the world while also working to deliver for our clients
","
          52 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development
Business Analyst/ Project Request Analyst,Intellectt Inc,"Kennesaw, GA",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/business-analyst-project-request-analyst-at-intellectt-inc-3879605755?position=3&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=pqiXCyg5GtCdLhMw6WFY%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Title: KSU - Business Analyst/ Project Request AnalystLocation: 1075 Canton Pl NW, Kennesaw, GA 30144Duration: 12 MONTHS.DescriptionServes as the liaison between functional and technical teams to evaluate project requests and document the business case for a request.Four Month Assignment with possible extension based on budget approval.Telework available The IT Business Analyst will support the IT project request process by performing stakeholder interviews and facilitating workshops to define and understand business functions and processes (current and future state), identify pain-points, inefficiencies, and related functions and processes, elicit and negotiate business requirements for new implementations and modifications to existing IT systems and services, create process diagrams, document use cases, and partner with cross-functional teams and stakeholders to identify and validate solutions to business unit requests and requirements.Minimum Education Required Bachelor’s Degree from an accredited institution of higher education in Information Systems or related field or equivalent combination of education and/or experience.Minimum Experience Required Four (2) years previous experience in business/systems/process analysisMINIMUM LICENSURE/CERTIFICATION REQUIRED BY LAW AND/OR INSTITUTION: NoneADDITIONAL QUALIFICATIONS: (Preferred qualifications) IT Project Management experience Agile Facilitation experience International Institute of Business Analysis (IIBA-CCBA) certification PMI Professional in Business Analysis (PMI-PBA)Key Responsibilities Schedule, prepare, and facilitate fact finding/discovery analysis meetings with stakeholders and subject matter experts to understand and document current business processes and functions, pain points, assumptions, timeframes, and success measures Present business process documentation to business and IT decision makers for approval Define business process inputs, outputs, and data elements required for optimal execution Collaborate with business partners to confirm scope and objectives of the project and formulate a shared understanding of project priorities Assist with identifying scope creep and collaborate with technical and functional teams to evaluate feasibility, effort, and project impact of scope changes Facilitate identification of business-critical process steps and the requirements/policies driving those steps Identify and understand the governing rules and regulations that affect project teams’ business processes Designs user interface mock-ups to effectively meet business needs within native system functionality Document system processes, functionality and recommend improvements as applicable Understand, analyze, and communicate benefits of product features/functionalities to assist customer in evaluating go forward strategies and solutions Collaborate with IT team members and business area representatives to help identify and validate technical solutions to business requests/issues Create standardized templates for internal IT and Business Analyst processes Assists with devising test plans and coordinating User Acceptance Testing documents Plans and executes unit integration and acceptance testing to validate individual customer requirements against delivered product Contributes to and maintains an issues log and collaborates with appropriate teams to identify and mitigate risks
","
          94 applicants
        ",Associate,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst,ACL Digital,"Atlanta, GA",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-acl-digital-3885177837?position=4&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=fHCo5BWzX2z7N09zC%2F6HlA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position: IT Business Analyst 2Location: Atlanta, GA Duration: 2 Months (With Possible Extension) Job Description: Under general supervision, analyses customer business needs and participates in the planning, design and implementation of new or enhanced systems. Supports the user community in the use of functional business tools and support systems.Duties include but are not limited to: • Creating requirements and specifications for business solutions • Collaborating with team members to collect, analyze, and evaluate information from multiple sources including • Presenting findings and recommendations to stakeholders • Writing and documenting business requirements, functional requirements, and design specifications • Creating test plans, test cases, and test scripts to validate business requirements • Testing and/or coordinating testing of new installations or upgrades • Consulting with vendors or technical staff to ensure that functionality of automated system is consistent with adherence to laws, regulations, and best practice by user standards • Utilizing effective written and verbal communication skills. • Organizing work, determining objectives, and setting priorities to manage own time and workload effectively.  The Essentials: The following knowledge, skills, and experience are required for consideration. • Demonstrated experience researching system/user problems using various analytical and research techniques • Proficient computer skills to include the use of Microsoft Word, Outlook, Excel, & PowerPoint • Resilience: Demonstrated consistency in displaying the ability to adapt to changing circumstances while at work • Accountability: Ability to accept responsibility for one’s actions with honesty and integrity, while maintaining credibility and remaining committed to organizational success • Customer Service: Ability to appropriately address internal & external customer issues while respecting business needs • Results Orientation: Ability to meet deadlines and achieve performance goals, while focused on efficient & effective problem resolution • Excellent verbal and written communication skills  The Preferred:The following knowledge, skills and experience could give you a performance advantage. • Experience with system change request testing and data creation • Knowledge of Income and/or Business taxes • Project management skills with the ability to administer multiple projects • Good interpersonal skills and communication with all levels of the organization • Well-developed organizational and time-management skills • Ability to multitask, prioritize, and manage time efficiently • Ability to analyze problems and strategize for better solutions Qualifications: •Bachelor's degree in a related field from an accredited college or university OR Associate's degree in a related field from an accredited college or university AND Two years of related experience •OR Two years of experience at the lower-level IT Business Analyst 1 or position equivalent. SkillBachelor's degree in a related field (Information Technology, Information Systems, Computer Science, etc.) from an accredited college or university Required 4 Years Knowledge of Income and/or Business Taxes Desired 6 MonthsCreation of test data, test plans, test cases, and test scripts to validate business requirements Required 2 YearsConsults with vendors or technical staff to ensure that functionality of automated system is consistent with adherence to laws, regulations Required 1 YearsExperience in leading large projects Required 1 YearsExperience with requirements gathering and writing scenarios Required 2 YearsAnalyze customer business needs, planning, design, and implementation of system changes and/or updates Required 2 Years
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Business Analyst III,LexisNexis Risk Solutions,"Georgia, United States",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/business-analyst-iii-at-lexisnexis-risk-solutions-3886550390?position=5&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=cUONxlH84AQ9bn%2F%2FAPO4PA%3D%3D&trk=public_jobs_jserp-result_search-card,"
About The BusinessLexisNexis Risk Solutions is the essential partner in the assessment of risk. Within our Insurance vertical, we provide customers with solutions and decision tools that combine public and industry specific content with advanced technology and analytics to assist them in evaluating and predicting risk and enhancing operational efficiency. Our insurance risk solutions help drive better data-driven decisions across the insurance policy lifecycle – all while reducing risk. You can learn more about LexisNexis Risk at the link below. https://risk.lexisnexis.com/insuranceAbout Our TeamWe are looking for a Business Analyst who will be the vital link between our business objectives and the various business units we serve by eliciting internal customer feedback and requirements surrounding system and process improvements. Our ideal candidate has the ability to coordinate and work on multiple projects simultaneously and translate business data into digestible information, which will be used to improve systems and processes.About The RoleAs a Business Analyst III, you will be working with one or more Business Units. You will support complex projects aimed at delivering IT solutions and services that meet our strategic targets. You will analyze workgroup data, define current processes and requirements, research best practices, and identify improvements.Responsibilities Analyzing, defining, and documenting complex requirements and business processes. Creating complex technical and functional user documentation. Contributing to the development of new tools, processes, and solutions to meet desired product needs. Following established business processes, protocols, and quality standards in the development. Identifying and document process improvements and functional specifications based on research of best practices and analysis of work group data. Developing “trusted advisor” relationship with senior stakeholders through effective communication and efficient, quality execution on projects.Requirements Have 5+ years of IT business analyst experience. Be able to operate in an agile environment with an open mindset eager to learn Display solid knowledge of conceptual data modeling, UML modeling, data flows, data analysis, and data processing Be proficient in written and verbal communication skills, able to effectively share information with others Have a BA or BS or equivalent experience. Experience in gathering business requirements and translating them into user stories/functional specifications on complex or large projects. Able to use Microsoft Office applications (including Word, Excel, PowerPoint and Outlook) Be able to communicate well with Product and Development teams.Learn more about the LexisNexis Risk team and how we work here Remote
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst/ Project Request Analyst,"V-Soft Consulting Group, Inc.","Kennesaw, GA",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-project-request-analyst-at-v-soft-consulting-group-inc-3876444259?position=6&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=5ah4uEzs9S%2FPOxIPncDHhQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Primary Location: Kennesaw, GeorgiaV-Soft Consulting is currently hiring for a Business Analyst/ Project Request Analyst for our premier client in Kennesaw, Georgia.What You’ll NeedTechnical Requirements and Certifications »International Institute of Business Analysis (IIBA-CCBA) certification.PMI Professional in Business Analysis (PMI-PBA).Education And Experience »Bachelor’s Degree from an accredited institution of higher education in Information Systems or related field or equivalent combination of education and/or experience.Four (2) years previous experience in business/systems/process analysis.IT Project Management experience.Agile Facilitation experience.Business Analyst Experience in an IT Environment: 2 Years.Facilitating in-person and virtual meetings/working sessions: 2 Years.Discussing business requirements and elaborating on project requests with cross-functional teams at all levels of the organization: 2 Years.Creating business process documents including process diagrams, swim lane diagrams, and written documentation supporting the diagrams: 2 Years.Documenting Business Processes Using Visio or Lucid Chart: 1 Years.Creating and Delivering Professional Presentations and Memos to Stakeholders and Leadership: 2 Years.Converting Business Requirements to Technical Specifications: 1 Years.MS Toolset - specifically, experience with Microsoft Excel (data entry, filtering, basic formulas): 2 Years.Experience working multiple assignments at the same time: 2 Years.Agile Methodology, highly desired.What You’ll DoJob Responsibilities:Designs user interface mock-ups to effectively meet business needs within native system functionality.Document system processes, functionality and recommend improvements as applicable.Define business process inputs, outputs, and data elements required for optimal execution.Schedule, prepare, and facilitate fact finding/discovery analysis meetings with stakeholders and subject matter experts to understand and document current business processes and functions, pain points, assumptions, timeframes, and success measures.Assist with identifying scope creep and collaborate with technical and functional teams to evaluate feasibility, effort, and project impact of scope changes.Create standardized templates for internal IT and Business Analyst processes.Assists with devising test plans and coordinating User Acceptance Testing documents.Identify and understand the governing rules and regulations that affect project teams’ business processes.Understand, analyze, and communicate benefits of product features/functionalities to assist customer in evaluating go forward strategies and solutions.Plans and executes unit integration and acceptance testing to validate individual customer requirements against delivered product.Facilitate identification of business-critical process steps and the requirements/policies driving those steps.Present business process documentation to business and IT decision makers for approval.Collaborate with business partners to confirm scope and objectives of the project and formulate a shared understanding of project priorities.Collaborate with IT team members and business area representatives to help identify and validate technical solutions to business requests/issues.Contributes to and maintains an issues log and collaborates with appropriate teams to identify and mitigate risks.Interested?Qualified candidates should send their resumes to sbairapaka@vsoftconsulting.comV-Soft Consulting Group is recognized among the top 100 fastest growing staffing companies in North America, V-Soft Consulting Group is headquartered in Louisville, KY with strategic locations in India, Canada and the U.S. V-Soft is known as an agile, innovative technology services company holding several awards and distinctions and has a wide variety of partnerships across diverse technology stacks.As a valued V-Soft Consultant, you’re eligible for full benefits (Medical, Dental, Vision), a 401(k) plan, competitive compensation and more. V-Soft is partnered with numerous Fortune 500 companies, exceptionally positioned to advance your career growth.V-Soft Consulting provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.For more information or to view all our open jobs, please visit www.vsoftconsulting.com or call (844) 425-8425.#INDSP
","
            Over 200 applicants
          ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Sr. Business Analyst,Datum Technologies Group,"Atlanta, GA",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/sr-business-analyst-at-datum-technologies-group-3901344943?position=7&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=Lu8x%2FoxCbKKfuFVEdGb03A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Details:Job Title: Sr. Business AnalystDuration: Long-Term ContractLocation: Atlanta, GA || On-SiteJob Description:Qualifications:5 years of hands-on experience working as a Product Manager & Data Analyst in a modern software development-based enterprise environment.Solid understanding of concept and principles of agile methodology, ability to apply appropriate agile approaches in the processes of software development and delivery.Solid understanding of product features, ability to design, build, and develop a new product, technology, or service from feasibility through to production.Solid understanding and experience in leveraging the Microsoft Product suite; especially Excel and PowerPoint.Proficiency and experience in working with Observability and Reliability tools such as Dynatrace, Sumo Logic and Quantum Metric a plus.Proficiency in working in a fast paced, fluid environment where priorities shift on a regular basis.Proficiency in communicating with and influencing functional and technical team members at all levels in the organization.Proficiency in creating, prioritizing, and accepting user stories.Proficiency in conducting user research and testing to understand needs.Proficiency in identifying goals, metrics, and analytics to measure product value.Proficiency in conducting competitive research and analysis.Strong written, oral communication, and social skills.Must have excellent planning and organizational skills, strong verbal, written communication, and facilitation skills.Consistently prioritizes safety and security of self, others, and personal data.Embraces diverse people, thinking, and styles.Possesses a high school diploma, GED, or high school equivalency.At -least 18 years of age and has authorization to work in the United States.What Will Give You A Competitive Edge (Preferred Qualifications)Willingness to become subject matter expert for your applications and take ownership of its development and performance.Flexibility to adapt and plan for changing business objectives.Knowledge of Agile/SDLC development methodologies.Airline business experience, as well as business process re-engineering and/or extensive experience working with agile teams, is desirable.Responsibilities:Understands the end user deeply and uses that knowledge to determine the fastest path to deliver value.Translates business goals and end user needs into product strategy; communicates direction and product priorities to the development team, other matrixed teams, and third-party partners.Identifies goals, metrics and analytics to determine product value; continually makes recommendations and refinements to the product backlog based on learnings.Manages the product backlog; makes future decisions based on the value that will be delivered.Responsible for conducting sophisticated and detailed research of existing processes, systems, and desired objectives to meet the goals/intent of the assigned products.Partners with application teams to understand technical needs and assist in the creation of business plans for new initiatives.Monitors research as well as the competitive landscape to recommend the best solutions and ensure that products remain or become best in class.Ensures that product directions balance both the user needs and business goals of driving sales, improving efficiency, and enhancing customer satisfaction.Delivery & Execution (40%):Delivers the monthly analytics and reports for the Digital Monthly Performance Governance Process.Formulates, tests, and refine assumptions and hypotheses through user research and testing.Documents, reviews, and ensures that all quality and change control standards are met.Creates, prioritizes, and accepts user stories; incorporate them into release planning.Deliver business requirements via artifacts such as epics, features, scenarios, acceptance criteria, process flows, wireframe diagrams, interaction diagrams, mockups/demos, etc.Able to work on multiple initiatives and balance constantly evolving priorities.Participates in standups, iteration planning sessions, product demo, and retrospectives.Condenses complex technical concepts into non-technical language for stakeholders.People (30%):Fosters collaboration with team members to drive value and identify and resolve obstacles.Collaborate with business unit leaders to develop and maintain internal customer relationships.Works with the product team to continuously assess progress, disseminate lessons learned, and understand next steps.Work with Site Reliability Engineering team to prioritize feature development, based on the business value.Manages cross functional team and stakeholder expectations to execute on product strategy and provides education to requestors to determine prioritization based on tangible benefits and/or user experience.
","
            Over 200 applicants
          ",Associate,Contract,Information Technology and Business Development,"Information Services and Technology, Information and Media"
Business Analyst,Applied Resource Group,"Atlanta, GA",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-applied-resource-group-3908648940?position=8&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=WAsuHMggs1VyMYDaTATKLA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business AnalystMust be local to Atlanta, GAPosition Overview: The Business Analyst plays a vital role in bolstering the local brokerage team by spearheading pre-sales marketing, conducting thorough research, and facilitating transaction processing. Reporting directly to the local brokerage teams, this position collaborates on local projects while indirectly aligning with the National Business Analyst Program Director. The primary objective is to immerse oneself in Commercial Real Estate (CRE) by providing support to local brokerage teams, ultimately evolving into a broker or support role. Exemplary customer service, coupled with a focus on productivity and outcomes, defines the essence of this role.Key Responsibilities:in cultivating new business opportunities and contribute to sales, leasing, and marketing endeavors for the local brokerage team.robust financial analyses and aid in crafting Offering Memorandums and other essential materials.targeted research to develop an intelligence database on clients and prospects, facilitating opportunity identification and relationship building.brokers/leadership in client meetings and property tours as needed.compelling presentations and proposals for new business development, ensuring adherence to branding and messaging standards.and update the marketing library encompassing company boilerplate proposals, presentations, social media, and other collateral materials.with the Research Manager to fulfill broker requests for data and research information.alongside research and other team members to compile and organize market information, ensuring its accuracy and readiness for use.in XRM activities to enhance team productivity.Additional Duties:comprehensive administrative support including calendar management, correspondence oversight, invoice tracking, and report assembly.meetings, events, and appointments, handling logistics such as document creation, location reservation, food orders, and attendee communication.as the primary point of contact for the team.any other duties as assigned.Qualifications:Bachelor’s degree in business, economics, real estate, or a related field preferred.Ideally, one to two years of business and analyst experience, including previous internship(s).Skills: Proficiency in Microsoft Word, Excel, PowerPoint, InDesign, and internet programs. Strong writing and oral communication skills essential.Skills: Detail-oriented with exceptional problem-solving abilities. Ability to thrive in an entrepreneurial environment while fostering teamwork. Strong organizational and interpersonal skills. Demonstrated capability to manage multiple projects and tasks independently. Customer service-oriented with a commitment to confidentiality.Certification Requirement:Brokerage License must be obtained within the first 12 months of employment.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Operations Business Analyst,The Home Depot,"Atlanta, GA",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/operations-business-analyst-at-the-home-depot-3906863547?position=9&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=aOYqkAN0rdWLTeN3kGhZoA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Req115105Position PurposeIdentify, distinguish and analyze multiple components of a problem and then make conclusions using high-level quantitative skills to help drive projects and bring value to the Home Depot through store operations. Participate in driving operations processes for specific areas of responsibilities and complete project tasks as assigned by managers.Key ResponsibilitiesUse strategic thinking to see the big picture, determine the problem and understand fundamental parts of the problemPrepare and deliver insights and recommendations based on analyses.Review sales/financial analyses (what sold/did not sell; determine which categories have potential to move upward; cost/benefit analysis; data process modeling/analysis of problems, regression analysis).Identify trends in consumer lifestyle and technology; conduct customer focus groups and analyze/synthesize findings. Scan business/industry trends;scan competitive landscape; analyze consumer dataInterpret data based on specific knowledge of statistics and procedures used. Provide data to all Directors to support decision making. Provide input on forecast based on knowledge of product and technology.Provide input on stategy based on knowledge of industry and technology trends. Provide customers with specialized information from a variety of resources. Facilitate workout problem-solving sessions with multiple groups of people.Synthesize findings and derive conclusions from analyses and make oral/written recommendations to upper management. Execute tasks related to core operations projects and/or process improvements. Execute day to day processes related to their areas of responsibility. Communicate issues and roadblocks related to their areas of responsibility. Direct Manager/Direct ReportsTypically reports to Operations Process Manager or Business ManagerNo direct responsibility for supervising others. Travel RequirementsTypically requires overnight travel less than 10% of the time.Physical RequirementsMost of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.Working ConditionsLocated in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable. Minimum QualificationsMust be eighteen years of age or older.Must be legally permitted to work in the United States.Preferred QualificationsBachelor's Degree is preferred.1 year of experience business, retail, and/or consulting is preferred. Minimum EducationThe knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.Preferred EducationNo additional educationMinimum Years Of Work Experience3Preferred Years Of Work ExperienceNo additional years of experienceMinimum Leadership ExperienceNonePreferred Leadership ExperienceNoneCertificationsNoneCompetenciesLeverages PartnershipsTeamwork AdaptabilityProblem SolvingStrong quantitative skills such as statistics and data analysisSelf Development
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Other,Consumer Services
Join our Talent Pool - Business Analyst/ Technical Product Owner,Concord,"Atlanta, GA",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/join-our-talent-pool-business-analyst-technical-product-owner-at-concord-3849058607?position=10&pageNum=0&refId=ahG9iEl1GKHsmEnINqeNWQ%3D%3D&trackingId=mOD4jkG8SreE9e%2FsmccQCg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Concord isn't your typical consulting firm; we are an execution company with a passion for making things happen. Our mission is to help clients enhance customer experiences, optimize operations, and revolutionize their product offerings through seamless integration, optimization, and activation of technology and data. We are looking to add a Business Analyst/ Technical Product Owner to our team.This Business Analyst/TPO role will be focused on analyzing business operations and working with business stakeholders and application developers to define, document and communicate application requirements, functional development strategy, and priority. The Business Analyst will have excellent written and verbal communication skills and be able to understand and describe complex business processes.Responsibilities Work with Business Stakeholders to understand business processes and procedures Become a subject matter expert in how existing software applications support current business processes Lead reviews of existing business processes and develop strategies for improvement Conducting meetings and presentations to share ideas and findings Effectively document and communicate the results of your efforts Work with internal development team and vendor-based application teams to define application enhancementsSkills And Qualifications Strong communication skills and proficiency in working with technical stakeholders, end users and business stakeholders Experience using tools and techniques to visualize data in easy-to-understand formats, such as diagrams and graphs Hybrid role on-site in Atlanta (50% on site)More than just a consulting firm, Concord is an execution company helping clients enhance customer experience, optimize operations, and differentiate product offerings. From digital transformation and legacy modernization to domain-driven design, we deliver real solutions for the problems our clients face. Join one of the fastest growing consulting firms in the Midwest!Our core capabilities work together to help companies untangle their toughest business and technology challenges: Business Strategy & Alignment, Digital & User Experience, Cloud Applications & Integration, Data Solutions & Analytics, Quality Engineering, and Information Security.
        ","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
