title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst 54002,Cephas Consultancy Services Private Limited,"Boise, ID",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-54002-at-cephas-consultancy-services-private-limited-3911550761?position=1&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=l5ImVtJLijfIKnY4DWGARg%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionWe are in search of a Senior Business Planning Analyst who will be responsible for the development and administration of our financial planning systems critical to the business and reporting. In this role you will build and maintain models including allocations, financial projections and analysis, actual reporting, and support efforts to centralize forecasting processes across finance. You will also act as central support and expert of our planning tools, provide guidance to team members, and implement solutions that improve and streamline our business processes bringing value to the organization.Responsibilities Partner with the finance organization applying your understanding of finance planning processes to develop tool application strategy and vision. Partner with the broader business organization and IT to centralize forecasting processes. Use end to end systems thinking to design, document and implement solutions in the application to meet strategic and operational goals. Provide in-depth, domain specific analysis of technical problems or issues, research and recommend alternative actions for problem resolution. Support end users with production issues and enable end user self-sufficiency in the application. Collaborate with IT to perform system integrations and provide ongoing business support. Support tool adoption by leading education sessions and training end users.Qualifications & Skills Bachelor’s degree in finance, information systems or related field 4 years of experience in finance, accounting, and/or reporting Demonstrate understanding of FP&A processes and standard methodologies Strong analytical, problem-solving, and interpersonal skills Highly effective verbal and written communication skills, attention to detail Development experience with Hyperion Essbase, IBM Planning Analytics - TM1, SAP Analytics Cloud, Workday Adaptive Planning, or similar application Proficient in SAP, Hana, and SQL MS Word, Excel, and PowerPoint skillsSkills: analytics,finance,reporting
        ","
            Be among the first 25 applicants
          ",Associate,Contract,"Research, Analyst, and Information Technology",Human Resources Services
Business Analyst,Software Technology Inc.,"Boise, ID",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-software-technology-inc-3888430012?position=2&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=5rKK4r6XL2wQAnfc4D%2F29A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hii ,This is Vamshi ,from Software Technologies We have a job opening with our client for position Business Analyst you are available and looking for any new opportunities, please send me your updated resume for below position ASAP.Job Title: Business AnalystLocation: Boise, IdahoDuration: Long termDescription:Due to the growing demand for IT systems and solutions, the Iowa Department of Health and Human Services is seeking an experienced IT Business Analyst to join our team in supporting the implementation & management of various software development projectsThe Business Analyst will report as a member of the IT Project Management Bureau but will primarily work with the EDBI Data Warehouse team. The Business Analyst will be responsible to work with stakeholders and identify and analyze business requirements and opportunities, determine functional specifications for IT solutions, gather all necessary information for reporting development, and ensure other various needs of the business.The successful candidate will have a strong background in Software Development Life Cycle (SDLC) methodologies and Agile frameworks such as Scrum and Kanban. Experience with project management tools like Azure DevOps or JIRA is highly desirable. As a Business Analyst, you will work closely with cross-functional teams to ensure successful project delivery and alignment with the organization's strategic objectives.Responsibilities:Collaborate with stakeholders to gather, analyze, and document business requirements for new software initiatives or enhancements to existing applications.Work with the EDBI Data Warehouse team to develop and maintain data models, ETL processes, and data quality controls to ensure the accuracy and consistency of the data warehouse.Work with the EDBI Data Warehouse team to develop and maintain reporting and analytics.Collaborate with other teams to ensure that the work is coordinated and aligned with broader goals and priorities.Analyze complex data and systems to identify patterns, trends, and opportunities for improvement.Define dashboards and ad-hoc reports that meet the needs of stakeholders.Facilitate meetings with stakeholders and IT teams to review requirements, solutions, and issues.Develop and maintain project plans, schedules, and status reports to ensure that projects are delivered on time and within budget.Work with the Project Management Office to ensure that projects are aligned with organizational priorities and goals.Facilitate communication and collaboration among stakeholders and IT teams to ensure that solutions meet business needs and are well-understood by all parties.Identify and escalate issues and risks to project sponsors and stakeholders in a timely manner, and work with them to develop and implement mitigation plans.Develop and maintain documentation, such as requirements documents, design documents, and user manuals, to support ongoing maintenance and use of the data warehouse and BI systems.Stay up to date with industry trends and best practices related to data warehousing, business intelligence, and Health and Human Services, and apply this knowledge to inform decisions and recommendations.Responsibilities:Create and maintain project work items such as business requirement documents, user stories, use cases, workflow diagrams, and test plans.Utilize project management tools such as Azure DevOps, Microsoft Project, and Power BI to create user stories, track and monitor project progress, manage tasks, and report on project status to stakeholders.Assist in the development and implementation of user acceptance testing (UAT) strategies, ensuring that solutions meet business requirements and expectations.Support change management efforts by facilitating user demos/training, documenting processes, and providing guidance on the adoption of new processes, systems, and features.Continuously identify opportunities for process improvements and provide recommendations for enhancing efficiency and effectiveness.Qualifications:Bachelor's degree in Business Administration, Information Technology, Computer Science, or a related field, and/or a combination of education/certification and work experience.A minimum 8 years of experience as a Business Analyst and/or Project Manager, with a preferred focus on SDLC and Agile methodologies.Ability to analyze business strategies and user needs, document specifications, and translate business objectives into proper system requirements and specifications.Working experience with Microsoft SQL Server Management Studio or relational database softwareWorking knowledge of Agile frameworks such as Scrum and Kanban, and familiarity with Agile project management tools like Azure DevOps or JIRA.Proficient in Microsoft Office Suite including Excel, Word, PowerPoint, Project, and Visio.Excellent communication and interpersonal skills, with the ability to work effectively with diverse teams and stakeholders at various levels of the organization.Guide stakeholders through business case development for new applications/functionality, including cost benefit analysis, risks and issues, and impact analysis.Strong analytical and problem-solving skills, with a keen attention to detail.Demonstrated ability to balance multiple priorities and manage time effectively in a fast-paced environment.Familiarity with state government operations and processes is a large plus.Thanks,Vamshi ThangadpalliTechnical RecruiterDirect: 404-777-9837 | Fax: 866-608-6686Email: vamshi.t@stiorg.com | Web: www.stiorg.comhttps://www.linkedin.com/in/vamshi-thangadpalli-3a0415251/100 Overlook Center, Suite 200Princeton, NJ 08540.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
"Hiring- Business Analyst-Boise, ID 83714","VSV WINS, INC","Garden City, ID",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/hiring-business-analyst-boise-id-83714-at-vsv-wins-inc-3888429843?position=3&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=iOoFGIpMFT8YvS35mmPJ2A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          I am Esther, a recruiter with VSV Wins. If interested please call me on 510 529 7714Position: Business Analyst (Software implementation/upgrade projects)Rate: 60/hr on w2Location: 11311 W Chinden Blvd, Boise, ID 83714Mode: HybridResponsibilities:Work with the project manager, business area and vendor project team to perform a detailed business and system requirements analysis and document results.Gather, define, translate, and document business and system requirements.Document business processes and workflows to ensure logical and efficient business practices.Develop use cases, user stories, and test scenarios, provide oversight of test plans, functional testing, and verify solution.Identify gaps in business processes and the software system.Effectively communicate your insights and plans to cross-functional team members and management.Gather critical information from meetings with various stakeholders and producing useful reports.Ensure solutions meet business needs and requirements.Assist vendor is developing procedures.Serve as a liaison between stakeholders and users.Monitor deliverables and ensuring timely completion of projects.SkillRequired / DesiredAmountCandidates Years Of ExperienceExperience as a BA providing business analysis services SPECIFICALLY FOR technology software implementation or upgrade projects.Required8Experience relaying complex technical concepts to laypersons in ways that are easy to understand.Required8Experience, and possessing advanced skills, using Microsoft applications; Word, Excel, Visio, PowerPoint, and Word.Required8Experience creating technical documents; user & system requirements, workflow diagrams, creating prototypes and wireframes, user and training guides.Required8Experience leading user and technical process modeling, analysis, and re-engineering discussions.Required8Experience managing requirements matrices and overseeing user acceptance testing (UAT).Required8Experience creating user stories, epics, and test scenarios.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Analyst,Advantage Solutions,"Boise, ID",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-advantage-solutions-3893422915?position=4&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=Vp4TIA86swKTDcjH1xa62w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          SAS Retail is now hiring a Business Analyst who is passionate about leveraging data to not only achieve strategic goals but also to evaluate trends, patterns, and results to predict and prescribe next steps to meet our customer's needs. You will collaborate with your peers and cross-functional teams to achieve a new vision for data analytics can do in driving positive results for our company. Our team is at the forefront of the revolution in retail. With a fixation on innovation and building culture, our team is rallying our company around a unique vision: forging a retail winner that is admired for national strength, deep roots in the communities we serve, and a team that has passion for food and delivering great service.Main Responsibilities As a Business Analyst, you will gather all space management related data, analyze, and provide insights on key performance factors on space and inventory productivity across all categories in our stores. Develop score cards for tracking progress on all reset activities, remodel activities, and insights to merchants on productivity opportunities. Key aspects of the role are to be able to provide actionable insights that are timely, accurate, and in a user-friendly format. The role should take the time to understand intended audience needs and be able to close the loop by working with users on insights to action.THIS IS A HYBRID ROLE IN BOISE, IDAHO. MUST LIVE WITHIN ONE HOUR OF BOISE.Key Accountabilities Provide business intelligence on opportunities to improve space and inventory productivity, highlight opportunities to realign space across categories, build BI reporting using latest technology for insights. Facilitate development of mapping of shelf productivity across categories, across time and across stores. Extract data from multiple databases, summarize and present in a user-friendly format. Work across merchants, senior management, and divisional stakeholders. Review data, identify critical information, analyze, and develop hypothesis to make recommendations to a broader audience. Communicate and influence, so shelf productivity insights are at the core of decisions and ensure you are the fact based, independent and unbiased voice in all conversations. Build analytical capabilities to grow the organization’s knowledge. Ensure process deliverables are completed across timelines and teams. Engage in continuous development of the process for efficiency and effectiveness. Manage cross-functional stakeholder needs both effectively and sensitively.Relevant Experience 4-year college degree required. 2 years’ general retail experience a plus. 1-3 years' analytical & business intelligence reporting. Highly proficient in BI tools like Power BI Proficient in Microsoft Office Suite, Visual Basic, etc. Advanced SQL & Excel skills; GCP experience beneficial. Strong attention to detail and an ability to solve complex problems. High degree of initiative with strong planning skills; must be able to work independently and be a team player. Experience in summarizing large amounts of data clearly and concisely. Prior work experience in category management will be a plus. Working knowledge of store layouts, category adjacencies, and merchandising flows. Ability to view the changing dynamics of the grocery industry and seek out opportunities for synergy and integration within different areas of the business.Job Will Remain Open Until Filled
        ","
          160 applicants
        ",Associate,Full-time,"Sales, Business Development, and Strategy/Planning",Manufacturing
Business Planning Analyst,HP,"Boise, ID",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-planning-analyst-at-hp-3900778267?position=5&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=fp4yS9cpYmTdjIoBoSjMUA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Supplies Forecasting & Analytics team provides the Print business with driver-based business outlook and analysis that support both long and short-term decision making and planning. We are looking for a talented professional to join our Supplies Forecasting team as a Business Data Analyst to play a critical role in developing and maintaining key models and solutions.This a global role and involves managing the business data and models to help shape and optimize the business strategy. Specific responsibilities includeResponsibilitiesHarness/transform the vast amount of telemetry and information available to incorporate/utilize in useable, accurate forecasting models used to provide insights into business trends, and to derive short and long-term plans Build model structures and data feeds to support new business modelSupport on-going analysis required for decision making and executive briefingsUtilize the latest technology, tools and approaches to continue to streamline and automate forecasting solutionsDevelop, refine and implement ongoing improvement of the forecast models and systems that increase forecast accuracy and maintain forecast accuracy excellence.Collaborates with partners and SMEs to acquire, analyze, and communicate data, trends and insights to inform key business processesEducation & ExperienceBachelor's or Master's degree in Mathematics, Economics, Data Science, Computer Science, or equivalent.Typically 6-10 years’ experience.Knowledge & SkillsBusiness Acumen; understanding of Print and Supplies Business including Business model and processes across the Print GBU's.Extensive use of scientific design and data collection methodologies, tools and analysis packages to collect, validate, and analyze research data.Excellent analytical and problem-solving skills.Application and implementation of project management skills, procedures and processes, and data analysis.Excellent written and verbal communication skills; mastery in English and local language.Ability to effectively communicate plans, proposals, and results, and negotiate options at senior management levels.Proficient in R, SQL and advanced Data Analytics ToolsTypically 6-10 years’ experience.Our compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The typical base pay range for this role across the U.S. is $102,500-110,000. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Business Development and Sales,"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting"
OEM Business and Program Analyst,HP,"Boise, ID",2024-04-20,On-site,,https://www.linkedin.com/jobs/view/oem-business-and-program-analyst-at-hp-3904799024?position=6&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=j91FfybMqz0YfttB4hvxZA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job SummaryIn this position you will lead out key program and product engagements with Canon and develop and partner on the business modeling and analytics. You will have the opportunity to set the foundation for the strategic direction needed to drive decisions and successful results for new products in the print business. In addition, you will partner with the print business leaders from HP and Canon to create a shared vision of the business and help set the strategy to negotiate outcomes which will enable HP and Canon to win in the market. You will frequently contribute to the development of new ideas and methods and work on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors.ResponsibilitiesDevelop and lead the NPI product development and negotiations on hardware products. Partner with HP teams to develop and align on the market requirements and competitive positions.Engage with Canon to negotiate and align on pricing and other strategies needed to win in the market and achieve HP financial success. As a key business partner, you will help to influence the team as they navigate the complexities of the market and develop products to meet those requirements.Develop new business model approaches that will enable an equitable share on the market opportunity for both companies.Partner with marketing and R&D to develop line item OEM cost guidance necessary to review NPI plans at program check points.Influence through collaboration and credibility and exhibit highly effective communication.Take a Canon perspective to enable the team to find ways to move forward on programs. Represent HP and ensure outcomes yield an optimal result for the company.Develop product plan recommendations based on potential risks and returns.Identify cutting-edge analytical tools, models, and methods for making key business decisions.Help create an engaging employee experience and team culture. Take opportunities to mentor team members and help to create a world-class team.Knowledge And SkillsProven ability to collaboratively manage relationships across a diverse group of individuals, organizations and partners.Demonstrate sound business analysis and decision-making skills, especially in the areas of business modelling, cost negotiations, currency management, and basic laws governing business relationships.Strong analytical thinking, technical analysis, and data analysis skills.Strong verbal and written communication skills.Strong project management skills.Strong business acumen, understanding of HP’s LaserJet business and the various business modelsA proven ability to frame, model, and drive recommendations to complex business problems.Ability to manage multiple prioritiesProven ability to work cross culturallyStrong presentation skills to multiple layers of managementMetricsNegotiations that enable successful HP business resultsCommunications (internal and external) are clear and accurateProcess solutions are well-documented and distributedData integrity is assuredIssues are managed and escalated as appropriateHP’s confidentiality and Standards of Business Conduct procedures are strictly followedEducation & Experience RecommendedBA or BS in Marketing, Business, Finance, Accounting, Engineering, Math, or related field; MBA preferred5+ years of experience preferredExperience in presenting to and interacting with upper management
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting"
MES Business Analyst,Tata Consultancy Services,"Boise, ID",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/mes-business-analyst-at-tata-consultancy-services-3910215296?position=7&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=sm4UARpqkCCDDt8f795Bvw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Roles & Responsibilities 10+ Years of experience in MES Semiconductor domain. Experience in MES Business Analyst, Due Diligence and Fit gap Analysis Ability to understand customer requirements and provide solution using OOTB product features to minimize customization. Experience in MES master data setup and configuration. Configuring & setup the master data, adapt it to customer requirements, improve its performance, or upgrade interfaces. Ability to convince customer for alternate approach if required MES custom solution. Strong problem-solving, critical thinking, and decision-making abilities: Proven track record of identifying and addressing project challenges. Experience in Critical Manufacturing MES Tool (preferable). Must be knowledgeable in both front end and back-end Manufacturing process and understand concepts of MES Modules. Good understanding of shop floor systems and manufacturing process Expertise in writing SQL stored procedures Unit testing, Functional testing, Integration testing Deployment and UAT & Go-Live Support experience. Technical and functional Documentation
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
"Business Analyst 4, JP 1996",Cypress HCM,"Boise, ID",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-4-jp-1996-at-cypress-hcm-3888928915?position=8&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=uUnMQfup7EVjhyDxM50Hgg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Analyst 4_JP1996DescriptionWe are seeking an experienced and highly skilled Senior Business Analyst with expertise in reporting and visualization technologies, specifically Power BI or Tableau. The ideal candidate will play a crucial role in translating raw data into actionable insights, leveraging advanced reporting tools to drive informed decision-making by providing clear performance metrics and visualizations, and developing solutions to drive automation and process efficiencies. The Senior Business Analyst will collaborate with various stakeholders to bridge the gap between technical and non-technical aspects of our business to achieve desired business outcomes.DutiesData Analysis and VisualizationTransform complex data into interactive dashboards and metrics using Power BI or Tableau.Design and develop data models that align with business requirements.Ensure accuracy and reliability of data presented in dashboards.Business InsightsAssess business performance and ensure operational goals are being met, identifying trends, patterns, and insights within data.Provide actionable insights to drive informed decision-making and improve business strategies.Collaborate with management stakeholders to understand and meet business needs, providing solutions and options.Technical SkillsProficiency in using Power BI or Tableau for data exploration, data management, performance metric creation.Experience with data query, modeling, analysis, and visualization.CommunicationEffectively convey complex data insights to technical and non-technical audiences.Facilitate and bridge gaps between business requirements and technical solutions.Use business insights to provide recommendations and influence business decisions.Requirements7+ years of experience in business analysis, business operations or similar role.Bachelor’s degree in relevant field (e.g. Data Science, Business, Computer Science).Experience with data analysis tools and techniques, Power BI tool (DAX, Power Query) or Tableau preferred. Knowledge of Data Science, Python, a plus.SQL proficiency and experience in working with data warehouse.Knowledgeable in Microsoft Excel and/or Power PI to manipulate and summarize large volumes of data using formulas, pivot tables, power pivots.Excellent analytical skills and attention to detailStrong critical thinking skills and problem-solving abilities.Excellent communication and internal personal skillsStrong organization and project management skillsCompensation$80-90/hr
","
          30 applicants
        ",Mid-Senior level,Contract,Information Technology,Semiconductor Manufacturing
Industry Analyst,HP,"Boise, ID",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/industry-analyst-at-hp-3909046470?position=9&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=%2B0J4v8yq%2FtLFwKr9uzGMOQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Market Analysis and Planning (MAP) team resides in HP’s Corporate Strategy Office. As an industry analyst in the MAP team you will be expected to conduct analytical data-driven research and scenario analyses in support of business unit and/or corporate strategy initiatives. This will involve analyzing the drivers influencing market supply, demand, and competition. The analyst will track economic, geopolitical, technological, and consumer preferences and behaviors and infer their impact on the industry and its sub-categories. The analyst will engage with internal and external experts and forums, deriving insights to enhance understanding of the industry's evolving direction. The successful candidate will be adept at analyzing trends in the commercial or consumer hardware and hardware services technology industry, developing top-down and bottom-up fundamental market models, identify and analyze key market drivers, and collaborate with business partners to deliver a consistent and detailed forecast of market size that supports HP’s strategic and operational planning.A MAP analyst will translate business needs and concerns into responses that are supported by deep analysis. Analysts are expected to express points of view that are succinct, connected, and supported by data, not opinions or biases. Analysts should be open-minded and able to dissect the industry's complexity and arrive at sound and defendable conclusions. They should constantly evaluate what factors they have not considered and reevaluate their points of view based on updated facts or the inclusion of relevant information in their analysis.A MAP analyst is a team player who incorporates their team's contribution in their analysis and represents MAP as a whole and not as disparate parts. A MAP analyst takes pride in their work and takes accountability for the timeliness and quality of their analysis. The MAP analyst will engage with senior leaders and provide periodic updates that support investor relations, long-term planning, strategy, and supply chain analysis. An analyst should understand how their work influences HP’s financial performance and conduct research with the goal of generating insights that achieve that end. They should be strong communicators who can influence and achieve consensus from diverging stakeholders. Analysts should have excellent project management skills and the maturity to weigh projects in terms of their importance and impact. A MAP analyst is someone who consummately thinks about the industry and can see the industry with a 360-degree lens. Most of all, a MAP analyst should view shaping the future of technology as the most exciting profession and have fun doing so.Key ResponsibilitiesPeriodically represent the MAP team's point of view to our partners, stakeholders, and company executives.Provide industry-level thought leadership.Develop coherent and connected communication materials expressing industry points of view.Proactive in developing thought-provoking and business-impacting market trend analysis.Develop and maintain top-down and bottom-up models for each market.Researching and coming up with fundamental drivers of marketsEducation And Experience RequiredMaster of Science (MS) or higher in Economics or Master of Business Administration (MBA)0-5+ experience in roles involving forecasting and analyzing market trends2+ years as a hardware and hardware services technology industry analystExperience predicting markets intuitively over the short and long term based on the future dynamics of fundamental driversExperience calculating market size using fundamental top-down and bottom-up modelsExperience analyzing the expenditure behavior of consumer and corporations of information technology products and servicesKnowledge And SkillsFamiliarity with advanced forecasting methods including time-series modelling and regression analysesStrong background in global economic indicators of consumer, corporation, and government financial healthDeep understanding of demographic, firmographic, and psychographic analysesKnowledgeable in key global macroeconomic database: World Bank, IMF, OECD, etc.Familiarity with major technology data vendors: IDC, GfK, Context, etc.Background in statistical modelling tools (STATA, R, etc.) and familiarity with SQL a plusAdvanced Microsoft Office skills, specifically Excel and Excel-VBA, Power Point, AccessPassion for understanding what make market ticksComfortable with collaborating with business partners ranging from individual contributors to executivesExcellent problem solving and written/oral communications abilitiesStrong interpersonal and project management skillsExcellent presentation skills especially in presenting complex topics to senior executivesAbility to interface effectively with cross-functional teamsVery strong consensus-building and conflict-resolution skillsHigh degree of initiative, flexibility and positive attitudeHP Offers a Comprehensive Benefits Package, IncludingDental insuranceDisability insuranceEmployee assistance programFlexible scheduleFlexible spending accountHealth insuranceLife insuranceOur compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The typical base pay range for this role across the U.S. is $118,000.00 -- $181,000.00 annually with additional opportunities for pay in the form of bonus and/or equity. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.
        ","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Business Development and Sales,"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting"
Senior Business Analyst,Dice,"Boise, ID",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-dice-3894354796?position=10&pageNum=0&refId=1fh%2FJxIMOAsExdtMROumOg%3D%3D&trackingId=Y9qtq5skW%2FIHg9HAe83LZA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Dice is the leading career destination for tech experts at every stage of their careers. Our client, Object Technology Solutions, Inc., is seeking the following. Apply via Dice today!OTSI (Object Technology Solutions, Inc) has an immediate opening for a Senior Business AnalystJob DescriptionDescription:We are seeking an experienced and highly skilled Senior Business Analyst with expertise in reporting and visualization technologies, specifically Power BI or Tableau. The ideal candidate will play a crucial role in translating raw data into actionable insights, leveraging advanced reporting tools to drive informed decision-making by providing clear performance metrics and visualizations, and developing solutions to drive automation and process efficiencies. The Senior Business Analyst will collaborate with various stakeholders to bridge the gap between technical and non-technical aspects of our business to achieve desired business outcomes.Responsibilities Data Analysis and Visualization Transform complex data into interactive dashboards and metrics using Power BI or Tableau.Design and develop data models that align with business requirements.Ensure accuracy and reliability of data presented in dashboards. Business Insights Assess business performance and ensure operational goals are being met, identifying trends, patterns, and insights within data.Provide actionable insights to drive informed decision-making and improve business strategies.Collaborate with management stakeholders to understand and meet business needs, providing solutions and options. Technical Skills Proficiency in using Power BI or Tableau for data exploration, data management, performance metric creation.Experience with data query, Modeling, analysis, and visualization. Communication Effectively convey complex data insights to technical and non-technical audiences.Facilitate and bridge gaps between business requirements and technical solutions.Use business insights to provide recommendations and influence business decisions.Requirements 7+ years of experience in business analysis, business operations or similar role.  Bachelor s degree in relevant field (e.g. Data Science, Business, Computer Science).  Experience with data analysis tools and techniques, Power BI tool (DAX, Power Query) or Tableau preferred. Knowledge of Data Science, Python, a plus.  SQL proficiency and experience in working with data warehouse.  Knowledgeable in Microsoft Excel and/or Power PI to manipulate and summarize large volumes of data using formulas, pivot tables, power pivots.  Excellent analytical skills and attention to detail  Strong critical thinking skills and problem-solving abilities.  Excellent communication and internal personal skills  Strong organization and project management skills About UsOTSI is a leading global technology company offering solutions, consulting, and managed services for businesses worldwide since 1999. OTSI serves clients from its 15 offices across 6 countries around the globe with a Follow-the-Sun model. Headquartered in Overland Park, Kansas, we have a strong presence in North America, Central America, and Asia-Pacific with a Global Delivery Center based in India. These strategic locations offer our customers the competitive advantages of onshore, nearshore, and offshore engagement and delivery options, with 24/7 support. OTSI works with 100+ enterprise customers, of which many are Fortune ranked, OTSI focuses on industry segments such as Banking, Financial Services & Insurance, Healthcare & Life Sciences, Energy & Utilities, Communications & Media Entertainment, Engineering & Telecom, Retail & Consumer Services, Hi-tech, Manufacturing, Engineering, transport logistics, Government, Defense & PSUs.Our Center of Excellence: Data & Analytics  Digital Transformation  QA & Automation  Enterprise Applications  Disruptive Technologies
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development
