title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Sr. Business Analyst,eStaffing Inc.,"Polk City, IA",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/sr-business-analyst-at-estaffing-inc-3903458188?position=1&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=LD3j2dykPrWDoG8oRI%2B%2B8A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Sr. Business AnalystLocation: Polk City, IAJob DescriptionClient is looking to hire an experienced Business Analyst for the UI Tax Modernization Project. This individual will be part of a talented software team that works on mission-critical applications using Agile methodologies. The project aims to modernize IWD's UI Tax system by re-architecting its components to industry leading architecture and frameworks, with the goal of providing better service to both the agency staff and the end-users while positioning the agency for future technological improvements. The ideal candidate is a leader and strong team contributor who is eager to learn and develop their craft as a software professional and will find great satisfaction in the patient pursuit of excellence. This individual will be responsible for preparing gathering and validating requirements, preparing requirement and process mapping documentation, and facilitating requirements sessions with business stakeholders and leadership.RequirementsInvolvement in prior technology implementations Leading requirements gathering and validation with staff Developing requirements documentation - Use Cases Testing system functionality against requirements and specifications. Training staff on system functionality as developed. Providing general technical assistance Experience using Atlassian Suite – Jira, Confluence, etc.Background in Finance/Accounting projects
","
          34 applicants
        ",Associate,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst,Stellent IT,"Des Moines, IA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-stellent-it-3888431088?position=2&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=gEraCV7FY%2BmNXqvNWeCNfw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Des Moines, Iowa (day 1 onsite)This looks to be a straight forward BA with 10 years experience for The Division of Information Technology. I know this is tougher as it's onsite, but it doesn't need any special qualifications.The Division of Information Technology (DoIT) provides adaptable, secure, and cost-effective technology services and solutions for the Department of Human Services (DHS) and its Partners. We manage all DHS IT assets, projects, and resources, as well as provide technology and expertise to support Iowa's citizens and families. DoIT does this by consistently delivering top tier performance and value to citizens as a trusted partner and service provider. Note: The expectation is that contractors will be onsite for the first 30 days before being allowed to work fully remote.Responsibilities :-Working directly with business and technical teams to gather and document requirements for various Iowa DHS systems and programs.Creating, presenting and maintaining user stories, acceptance criteria, and design documents in DHS defined systems.Documenting, tracing, maintaining, prioritizing, and assessing changes to business practices, workflows, and associated system processes.Working closely with key decision makers, system owners, and end users, in support of core activities and critical business objectives.Conducting research to query data, analyze problems, and determine solutions, such as the installation of alternate methods and procedures, implementing changes in processing methods, or the redesign of products or services.Consistently updating project information, statuses, risks, issues, and timelines for reporting purposes.Working within an agile methodology framework with a focus on delivering value while adjusting rapidly to produce the most effective outcome.Working closely with stakeholders, product owners, end users, developers, and project team members to help drive projects to successful completion.Skills And ExperienceExcellent interpersonal, verbal and written communication skills and the ability to interact with a diverse group of team members, including executives, managers, IT professionals, and subject matter experts.Experience in process mapping, group facilitation, data gathering and analysis, and all phases of a project life cycle (requirements, design, development, testing, deployment, documentation, training, and measuring effectiveness.)Experience delivering software as part of an Agile delivery team.Strong ability to work effectively and autonomously against deadlines and potential priority shifts.Proficient in Microsoft Office Suite including Excel, Word, PowerPoint, Project, and Visio.Experience with requirement gathering software such as Azure DevOps, TFS, Jira, or RTC.Ability to analyze business strategies and user needs, document specifications, and translate business objectives into proper system requirements and specifications.Guide stakeholders through business case development for new applications/functionality, including cost benefit analysis, risks and issues, and impact analysis.Ability to recognize value through benefit realization, avoidance of cost, new opportunities, and organizational modernization.Experience with continuous process improvement via underlying technologies and system support.Strong ability to break down complex concepts into smaller, simply defined tasks, while maintaining a focus on end-to-end business processes.Work closely with other Business Units to identify and deliver Enterprise value.Skilled at consulting with executive-level stakeholders to define business needs or problems.Experience providing consulting services to governmental entities is a plus.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Analyst - Market Implementation,Wellmark Blue Cross and Blue Shield,"Des Moines, IA",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/business-analyst-market-implementation-at-wellmark-blue-cross-and-blue-shield-3907646561?position=3&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=uNO8XpczzM65t6%2BBw0q6jQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company DescriptionWhy Wellmark: We are a mutual insurance company owned by our policy holders across Iowa and South Dakota, and we’ve built our reputation on over 80 years’ worth of trust. We are not motivated by profits. We are motivated by the well-being of our friends, family, and neighbors–our members. If you’re passionate about joining an organization working hard to put its members first, to provide best-in-class service, and one that is committed to sustainability and innovation, consider applying today!Learn more about our unique benefit offerings here.Want to know more? You can learn about life at Wellmark here.Job DescriptionUse Your Strengths at Wellmark as a Market Implementation Business Analyst!In this role, you will provide application and/or system subject matter expertise by supporting one or more application and/or systems for Market Implementation. This includes reviewing and scrutinizing business processes, interacting and partnering with project/program teams across Wellmark in support of business area systems. Additionally, you will perform system, process, and application production support and troubleshooting to applicable systems related to enhancements, patches, updates and/or conversions to improve processes, capabilities and efficiencies.Ideal candidates will bring a blend of technical proficiency, problem-solving skills, agile and product-centric knowledge, and business acumen to support and enhance application/system functionality. You have experience reviewing business processes, collaborating with project teams, and providing system support and troubleshooting. Strong communication, attention to detail, and adaptability come to you naturally, along with a customer-focused mindset and a commitment to continuous learning. If you're a proactive problem-solver with a passion for technology and a knack for bridging technical and business domains, check out our opening and apply today!QualificationsRequired:Associate’s Degree or direct and applicable work experience. 1+ years of business analysis or related experience, including exposure to data flow diagrams, requirement specifications, user case scenarios, and user acceptance testing (UAT). Must demonstrate ability to understand complex systems in order to develop test cases and coordinate appropriate testingEffective communication skills with the ability to articulate complex information to diverse internal and external audiencesAbility to work with and coordinate vendor responsibilities including regular conference call meetings, discussions and presentationsStrong critical thinking and problem solving skills. Ability to analyze information and evaluate complex workflows, data, and systems. Strong attention to detailFamiliarity with regulatory standards, accreditation standards, or guidelines including interpretation of technical specifications for data file and system upgradesSelf-starter with effective time management skills and the ability to organize and prioritize competing projects or tasks. Flexible and adaptable to changeCollaborative approach to work and projects with ability to partner with different business and technical areas of the companyProficiency with Microsoft Office, especially Excel. Technical aptitude to learn new software quicklyAdditional Information Responsible for one or more application and/or systems that support assigned business area(s). Provide application and/or system subject matter expertise by reviewing and scrutinizing business processes.  Collaborate and work with members of Wellmark Technology, Market Implementation, project team members as well as other stakeholders to define, analyze, plan, test, implement, maintain and document technology solutions for assigned applications and systems. Ensure process and system documentation is complete and updated and changes communicated as appropriate.  Interact and partner with project/program and technology teams. Ensure the correct stakeholders are actively participating to clarify understanding of high level business needs and requirements. Partner with members of Technology technical and project teams in the development of high-level and detailed business requirements.  Validate, analyze, test and compile business requirements for assigned system or application. Use a variety of testing techniques to document test case traceability, to ensure applications are being tested according to testing plans. Will write and execute test scenarios and update/document findings.  Keep informed, support and adhere to regulations, Wellmark’s software development lifecycle (SDLC), operational procedures and other business analysis protocols. Ensure that system conversion and application release upgrades are implemented timely with associated business requirement documentation, testing and training prior to the implementation.  May work and communicate with company resources across the organization to accomplish upgrades and/or changes to programs and systems. Assist other business staff in determining best practices for business process improvement.  Comply with regulatory standards, accreditation standards and internal guidelines, remain current and consistent with the standard pertinent to Market Implementation and covering regulations.  Other duties as assigned. An Equal Opportunity EmployerThe policy of Wellmark Blue Cross Blue Shield is to recruit, hire, train and promote individuals in all job classifications without regard to race, color, religion, sex, national origin, age, veteran status, disability, sexual orientation, gender identity or any other characteristic protected by law.Applicants requiring a reasonable accommodation due to a disability at any stage of the employment application process should contact us at careers@wellmark.com
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Insurance
Business Analyst,Digital India Corporation,"Delhi, IA",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-digital-india-corporation-3879609424?position=4&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=oezEq%2FnT%2FRL0SA%2BFGk25Hw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Poshan Tracker under Digital India Corporation (DIC) is inviting applications for multiple job openings at the senior level including Business Analyst, Senior System Admin, Senior Developer, Senior Designer, State Coordinator, and Senior Consultant among other technology and administrative vacancies. Interested and eligible candidates can apply on the official portal- ora.digitalindiacorporation.in before the last date 24th July 2024.Name of the post: Business AnalystNumber of vacancies: 01Roles And Responsibilities Of Business AnalystManage and Contribute in all phases of the development lifecycle of the product.Develop design models based on requirements documents.Participate in requirements and design and code reviews.Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionalitySupport the development of business and requirements artifacts that effectively model the customer’s requirements.Support system and customer acceptance testing.Participate in group improvement activities and initiatives to improve quality.Proficiently applies appropriate methodologies to design, code, test, implement and maintain systems.Prepare, write, review and maintain effective system documentationImportant LinksDownload Detailed Notification Click HereApply Here Click HereOfficial Website Click HereLast date for submission of applications: 24th July 2024 Screening of applications will be based on qualifications, age, and academic record and relevant experience.About Poshan TrackerThe ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last-mile tracking of nutrition service delivery.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Government Relations Services
Business Quality Analyst,Accrete Macro Solutions LLC,"Des Moines, IA",2024-03-30,On-site,,https://www.linkedin.com/jobs/view/business-quality-analyst-at-accrete-macro-solutions-llc-3875582347?position=5&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=ftm6MCr6vdiR0uvjmgDCvw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Seeking a local Senior Business Analyst/Quality Analyst to support high-profile modernization efforts.10+ YearsOnsite /Local's OnlyThe client is a state agency committed to providing unemployment insurance for claimants, employment services for job seekers, and re-employment services to Iowans.Looking to hire an experienced Business Analyst/Quality analyst to support high-profile unemployment insurance modernization and decommissioning initiatives. This individual will be part of a talented team that works on mission-critical applications using Agile methodologies. Projects include enhancements to the Unemployment Tax system and data warehouse/reporting systems.The ideal candidate will have a blend of business analysis and testing expertise and is a leader and strong team contributor who is eager to learn and develop their craft as a software professional and will find great satisfaction in the patient pursuit of excellence. This individual will be responsible for gathering requirements, facilitating requirements sessions with business stakeholders, and delivering quality assurance.Requirements Involvement in prior technology implementations Leading requirements gathering and validation with SMEs Requirements and Use case documentation Testing system functionality against requirements and specifications. Identify and develop necessary test data Create and execute test plan Training staff on system functionality as developed. Report on project progress Experience using Atlassian Suite – Jira, Confluence, etc. Background in Finance/Accounting projects
","
          52 applicants
        ",Associate,Contract,Quality Assurance,Software Development and IT Services and IT Consulting
Business Analyst (Mostly remote job),"VSV WINS, INC","Des Moines, IA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-mostly-remote-job-at-vsv-wins-inc-3888431715?position=6&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=vjB9A%2Fv0X4r2rpzEbSzH6w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Note: The expectation is that contractors will be onsite for the first 30 days before being allowed to work fully remote.Job TitleBusiness AnalystLocation:Des Moines IA (remote job)DurationLong TermInterview modeEither Web Cam Work ArrangementRemote (after initial 30 days onsite)Skill Required /Desired Amount candidate Experience Experience working on large, complex IT systems Required 8 years Experience eliciting requirements, writing user stories & design docs, defining acceptance criteria, testing outcomes, and facilitating Required 0 communication between business stakeholders, developers, and project teams. Required 10 years Experience with SDLC procedures and system development methodologies. Required 8 years Experience managing stakeholder expectations and priorities. Required 8 years Experience working within a project governance structure (methodology, required templates, and reporting). Required 8 years Excellent task management skills. Ability to balance and manage multiple tasks, with changing priorities, in a cross-functional environment. Required 8 years Ability to prioritize and manage multiple projects, and project activities, simultaneously, while meeting established deadlines. Required 8 years Experience with Microsoft development platforms and software. Required 8 years Experience in an Agile environment. Required 5 years Experience with Application Lifecycle Management [ALM] tools; Microsoft's Team Foundation Server (TFS), Visual Studio Team Services (VSTS), Required 0 Azure DevOps (ADO), Atlassian's Jira, IBM's Rational Team Suite (RTC). Required 5 years Working experience with Microsoft SQL Server Management Studio or other relational database software. Desired 5 years Familiarity with advanced information management practices, data modeling standards, and/or architecture design and analysis. Desired 3 years Bachelor's degree in Management Information Systems, Business, or related field, and/or relevant experience. Desired 0
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,Staffing and Recruiting
Business Analyst/Quality Analyst—Finance & Accounting,Sonitalent Corp,"Des Moines, IA",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-quality-analyst%E2%80%94finance-accounting-at-sonitalent-corp-3878131235?position=7&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=Vldkc1tDY%2F0RbBrrFQzyxw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title – Business Analyst/Quality Analyst—Finance & AccountingJob Location - IA (Hybrid 2 days/week Duration - 6 Months+Visa -Any Visa except H1B,cptMode Of Interview - Phone/SkypeNote - Need LinkedInJob Description –Iowa Department of Management/Division of IT is seeking a local Business Analyst/Quality Analyst to support Iowa Workforce Development Unemployment Division with high profile modernization efforts.The client has requested local resources for this position. This position requires the contractor to be onsite 2 days/week. The client, Iowa Workforce Development (IWD), is a state agency committed to providing unemployment insurance for claimants and employment services for job seekers as well as providing re-employment services to Iowans.IWD is looking to hire an experienced Business Analyst/Quality analyst to support high profile unemployment insurance modernization and decommissioning initiatives. This individual will be part of a talented team that works on mission-critical applications using Agile methodologies. Projects include enhancements to IWD's Unemployment Tax system and data warehouse/reporting systems.The ideal candidate will have a blend of business analysis and testing expertise and is a leader and strong team contributor who is eager to learn and develop their craft as a software professional and will find great satisfaction in the patient pursuit of excellence. This individual will be responsible for gathering requirements, facilitating requirements sessions with business stakeholders, and delivering quality assurance.Requirements Involvement in prior technology implementations— 10 YEARS Leading requirements gathering and validation with SMEs—10 YEARS Requirements and Use case documentation— 10 YEARS Testing system functionality against requirements and specifications.— 10 YEARS Identify and develop necessary test data— 10 YEARS Create and execute test plan— 10 YEARS Training staff on system functionality as developed.— 10 YEARS Report on project progress— 10 YEARS Experience using Atlassian Suite – Jira, Confluence, etc — 5 YEARS Background in Finance/Accounting projects— 3 YEARS
","
          48 applicants
        ",Associate,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Sr Business Process Analyst - D365,"Donato Technologies, Inc.","Forest City, IA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/sr-business-process-analyst-d365-at-donato-technologies-inc-3888886447?position=8&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=Hl1kSPa64QuqgJ%2BndfHl9Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Forest City, IA (onsite as needed) 12 month contractJob DescriptionLooking for a D365 resource with Order to Cash or Supply Chain experience. (Sales Orders, Transportation Management, Inventory, etc)Looking for a resource with Salesforce experience is PLUSERP Knowledge is a MUST - Moving from AS400 to Dynamics 365The Business Process Analyst position works across all levels of the organization, including Executive Leadership, the Business Analyst team, Process Owners, and Project Managers to collaborate and drive the success of key business transformation efforts. This role partners with business leaders in assigned functions to ensure that opportunities for business improvement are identified and addressed with the right technology solutions. The Business Process Analyst must be an expert in future-state organizational processes and introduces creative uses of software applications to address business opportunities. The Business Process Analyst role builds collaborative, trusted partner relationships and manages ongoing communication with the business and IT on project and operational performance.Key Areas Of ResponsibilityResearch, create, maintain, and improve business processes either enterprise-wide or within a specific business unitProactively evaluate and recommend opportunities for process improvements through application of informationtechnology solutions or operational changes.Develop deep expertise in the data sources and reporting needs for assigned functional areas and document data flowDevelop functional expertise in future-state applications such as ERP. Identify creative uses of applications toaddress business problems.Partner with the business to define, document and prioritize business needs and requirements. Establish user test criteriaand perform and coordinate user testing to ensure solutions meet expectations. Lead the development and delivery of usertraining.Act as the primary liaison between business stakeholders and the IT business analysts. Provide ongoing communication tothe business on project status and operational performance. Coordinate the resolution of any significant issues, workingwith the broader IT function.Act as a team/project lead if needed on designated projects or assignments.Collaborate with business partners at all levels across the organization to drive business transformational efforts.Provide leadership, coaching, and/or mentoring to a subordinate group. May act as a lead or first level supervisor.Critical CompetenciesStrong analytical skills with experience in process and data analysis techniques and toolsAbility to successfully perform in a fast paced, demanding environmentAbility to build strong, trusted relationships with business partners through collaborationStrong attention to detail and accuracyExecutive level communication skills both written and verbalAbility to lead through influence at peer and executive levelsPosition DescriptionAbility to take initiative and work independently with minimal supervisionCompetency in developing and delivering presentations, using MS-Office toolsPerforms work under minimal supervisionHandles complex issues and problems and refers only the most complex issues to higher-level staff.Possesses comprehensive knowledge of subject matter.Microsoft Dynamics 365 ERP knowledgeRequired Education And ExperienceBachelor's degree or higher in Business, Finance, Information Technology, or related field or equivalent experience.5-7 Years experience as a BA or in IT roles involving direct interaction with business leadership.5+ Years experience with leading or participating in business change initiatives.rand
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Sr. Business Analyst,W. R. Berkley Corporation,"Urbandale, IA",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/sr-business-analyst-at-w-r-berkley-corporation-3907906089?position=9&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=MnR6M6GMcuduJ3KGNy59%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Berkley Technology Services (BTS) is the dynamic technology solution for W. R. Berkley Corporation, a Fortune 500 Commercial Lines Insurance Company. With key locations in Urbandale, IA and Wilmington, DE, BTS provides innovative and customer-focused IT solutions to the majority of WRBC’s 60+ operating units across the globe. BTS’s wide reach ensures that ideas and opinions are considered at every level of the organization to guarantee we find the best solutions possible.   Driven by a commitment to collaboration, BTS acts as consultants to our customers and Operating Units by providing comprehensive solutions that not only address the challenge at hand, but proactively plan for the “What’s Next” in our industry and beyond.   With a culture centered on innovation and entrepreneurial spirit, BTS stands as a community of technology leaders with eyes toward the future -- leaders who truly care about growing not only their team members, but themselves, and take pride in their employees who shine. BTS offers endless ways to get involved and have the chance to grow your career into a wide range of roles you'd never known existed. Come join us as we push forward into the future of industry leading technological solutions.   Berkley Technology Services: Right Team, Right Technology, Simple and Secure.   The Sr.Business Analyst consults with client companies to gather business requirements to bridge the needs of the business with the use of IT.  This includes determining client and organizational needs, system and operational requirements, downstream system impacts, and legal compliance obligations. Works with end user to complete business requirements for multiple and/or high company profile projects.Provides Subject Matter Expertise and deep functional product expertise, including upstream/downstream impact of changes.Provides business expertise and understanding for Business Configuration Analyst, Business Analyst, and Business Test Analysts on projects. Able to make multiple recommendations on how to improve the business processes/workflow. Acts on a consultative role to provide resolutions to complex problems. Provides strong customer relationships and has good understanding of how corporation/company operates. May assist with completing functional testing on assigned projects.Assist with resource planning, project planning and time tracking.Lead meetings with teams within company and/or customers regarding projects, enhancements and support.Able to mentor new Business Analysts.Travel for this position is up to 15%. 7+ years BA/P&C/functional experience.Must have demonstrated the capability of meeting the key accountabilities, or have the ability to learn/perform them.Software Development Life Cycle experience.Excellent problem solving and analytical skills.Strong interpersonal and communication skills, both oral and written.Ability to quickly learn new processes and concepts.Requires little oversight.  Behavioral Skill Competencies:Business KnowledgeFlexibilityResults Oriented Relationship Building Process ManagementPlanning The Company is an equal employment opportunity employer. 
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Insurance
Business Quality Analyst,Schrill Technologies Inc.,"Des Moines, IA",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/business-quality-analyst-at-schrill-technologies-inc-3883713729?position=10&pageNum=0&refId=qc7xsQALoaxU6MrN7RHQiA%3D%3D&trackingId=UtLHACKrndgPvKkBI2hv%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Role: Business Analyst/Quality Analyst - (Preferred State firm exp)Location: Des Moines, IA (hybrid) - Required LocalsDuration: 6-12+MonthsJD:The client, Iowa Workforce Development (IWD), is a state agency committed to providing unemployment insurance for claimants and employment services for job seekers as well as providing re-employment services to Iowans.IWD is looking to hire an experienced Business Analyst/Quality analyst to support high profile unemployment insurance modernization and decommissioning initiatives. This individual will be part of a talented team that works on mission-critical applications using Agile methodologies. Projects include enhancements to IWD's Unemployment Tax system and data warehouse/reporting systems.The ideal candidate will have a blend of business analysis and testing expertise and is a leader and strong team contributor who is eager to learn and develop their craft as a software professional and will find great satisfaction in the patient pursuit of excellence. This individual will be responsible for gathering requirements, facilitating requirements sessions with business stakeholders, and delivering quality assurance.REQUIREMENTS: Involvement in prior technology implementations Leading requirements gathering and validation with SMEs Requirements and Use case documentation Testing system functionality against requirements and specifications.  Identify and develop necessary test data Create and execute test plan Training staff on system functionality as developed.  Report on project progress Experience using Atlassian Suite – Jira, Confluence, etc Background in Finance/Accounting projects
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Quality Assurance,Information Technology & Services
