title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Inner Join Technologies,"Covington, KY",2024-04-28,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-inner-join-technologies-3912782720?position=1&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=biDV5qU1V3Y1CYwWMDPgGQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionInner Join Technologies is a fast-growing tech company that specializes in providing cutting-edge software solutions for businesses. We are looking for a highly skilled and enthusiastic Business Analyst to join our dynamic team and drive our business forward. As a Business Analyst at Inner Join Technologies, you will play a crucial role in shaping the future of our company and contribute to our success in the global market.Key Responsibilities: Collaborate with clients and stakeholders to understand business needs and elicit requirements Conduct thorough analysis of data, systems, and processes to identify areas for improvement and optimization Create detailed business models, technical specifications, and requirement documents Conduct feasibility studies and cost-benefit analysis to help decision making Participate in the design and development of software solutions Perform user acceptance testing and provide support during implementation Continuously monitor and evaluate system performance and suggest enhancements Develop and maintain strong relationships with clients and stakeholders Keep up-to-date with industry trends and competition to provide insights and recommendations to management Support sales and marketing teams by providing business insights and participating in client presentationsRequirements: Bachelor’s degree in Business Administration, Computer Science, or a related field Minimum of 4 years of experience in a Business Analyst role, preferably in the tech industry Strong analytical and problem-solving skills Excellent communication and interpersonal skills Proven experience in requirements gathering, process modeling, and data analysis Expertise in SQL and data analytics tools Knowledge of Agile methodologies Ability to work independently and in a team environment Flexibility to adapt to changing priorities and business needsSalary: $44,000 to $58,000What We Offer: Competitive salary and benefits package Opportunity to work with cutting-edge technologies and innovative solutions Collaborative and supportive work environment Professional growth and development opportunitiesJoin Inner Join Technologies and be a part of a dynamic and motivated team that is driven to make a difference in the world of technology. Apply now and embark on an exciting new career journey with us!
        ","
          38 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development
Business Analyst,QuantumBricks,"Louisville, KY",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-quantumbricks-3888464016?position=2&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=MpdiUsn5vqrNIkO7jbXRbg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business AnalystLoc: Louisville, KY (Day 1 Onsite)Exp: 10+ Years (H4 EAD/L2 EAD/GC/GC EAD/OPT EAD/USC)Job Description[Only Independent Visa Candidates like H4 EAD/L2 EAD/GC/GC EAD/OPT EAD/USC for this opportunity]ResponsibilitiesEvaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.Leading ongoing reviews of business processes and developing optimization strategies.Staying up to date on the latest process and IT advancements to automate and modernize systems.Conducting meetings and presentations to share ideas and findings.Performing requirements analysis.Documenting and communicating the results of your efforts.Effectively communicating your insights and plans to cross-functional team members and management.Gathering critical information from meetings with various stakeholders and producing useful reports.Working closely with clients, technicians, and managerial staff.Providing leadership, training, coaching, and guidance to junior staff.Allocating resources and maintaining cost efficiency.Ensuring solutions meet business needs and requirements.Performing user acceptance testing.Managing projects, developing project plans, and monitoring performance.Updating, implementing, and maintaining procedures.Prioritizing initiatives based on business needs and requirements.Serving as a liaison between stakeholders and users.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Analyst with QSR,QuantumBricks,"Louisville, KY",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-with-qsr-at-quantumbricks-3888472489?position=4&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=yP7S7YoEFBZXzkUBsFpLnw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business AnalystLoc: Louisville, KY (Day 1 Onsite)Exp: 10+ Years (H4 EAD/L2 EAD/GC/USC)Job Description[Only Independent Visa Candidates like H4 EAD/L2 EAD/GC/USC for this opportunity]ResponsibilitiesMust be experienced in Quick Service Restautant (QSR)Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.Leading ongoing reviews of business processes and developing optimization strategies.Staying up to date on the latest process and IT advancements to automate and modernize systems.Conducting meetings and presentations to share ideas and findings.Performing requirements analysis.Documenting and communicating the results of your efforts.Effectively communicating your insights and plans to cross-functional team members and management.Gathering critical information from meetings with various stakeholders and producing useful reports.Working closely with clients, technicians, and managerial staff.Providing leadership, training, coaching, and guidance to junior staff.Allocating resources and maintaining cost efficiency.Ensuring solutions meet business needs and requirements.Performing user acceptance testing.Managing projects, developing project plans, and monitoring performance.Updating, implementing, and maintaining procedures.Prioritizing initiatives based on business needs and requirements.Serving as a liaison between stakeholders and users.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Analyst,PEAK Technical Staffing USA,"Georgetown, KY",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-peak-technical-staffing-usa-3889086222?position=5&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=4aB7ZzS90cqOIDzue5aOEA%3D%3D&trk=public_jobs_jserp-result_search-card,"
*NOTE: To be considered for this role, you MUST HAVE AS400, AND at least 1 of the following: Oracle, or Blue Yonder. In addition, you must have an Accounting and/OR Finance backgroundIT Business AnalystDemonstrates working knowledge of Oracle E1 integration relationships and master data structure requiredDemonstrates working knowledge of JDA/RP processes, relationships and data structureTriages and resolves an incident or problem and respond in timely mannerReviews and prioritize incidents and problems based on business requirementsFinds solutions based on previous cases and/or knowledge baseTakes ownership of user incidents/problems, triage, diagnose and fix or work to determine next level of support required.  Communicates with end user with progress, resolution in a timely mannerDocuments issues, processes, resolutions and correspondence in the Incident management systemAnalyzes user needs to determine accurate cross functional requirements Guides users on troubleshooting their own issues where applicableClarifies customer expectations and define deliverables Studies and Configures new functionality of existing application offeringsParticipates in setup and rollout of new applications offeringsProvides cross functional knowledge to support system designCreates Functional Specifications Creates, validates, and maintains end user reports Demonstrates good customer communication skills in relation to service desk services and projects Creates end user documentation to be used as reference or training material Develops test scripts for production change control management Facilitates end user training Assists in kaizen activities  Required Skills: Verbal and written communication SkillsTime ManagementProblem Solving and critical thinking skillsGood ListenerSelf Managing
","
            Be among the first 25 applicants
          ",Associate,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst,Cynet Systems,"Frankfort, KY",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-cynet-systems-3907407891?position=6&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=QHfgcR%2Bkd49jQSN1%2B99%2Fog%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description:      Driving the adoption and integration of the BA roles and processes.     Assess customers’ current capabilities and needs and identify potential COTS products as solutions.     Act as a liaison between project stakeholders.     Identify business needs and drivers of value and success.     Work with technical teams to determine and justify a solution approach that maximizes customer value through improvements to workflow, production, efficiency, and/or effectiveness.     Provide technical and non-technical assistance to team members by developing technical documentation.     Work with project/business stakeholders and/or users to gather, document, and validate solution (system and software) requirements.     Work with the development team on task creation and estimating.     Work with the technical development team to ensure that requirements are effectively implemented.     Work with project/business stakeholders and/or users to facilitate user acceptance testing.     Work with customer contacts after solution delivery to understand ongoing needs and issues along with associated business drivers, and assist in triaging within Labor IT to engage resources to provide the appropriate response/resolution.     Assist the PM with the management of the project by “owning” the analysis and testing components of the project.     Led the development team through the Development phase of the project by researching and answering questions about the defined work, identifying bugs, and assisting in technical roadblocks - escalating as defined in the project’s technical escalation process.     Create and maintain the testing plan for the project following an iterative development methodology.     Employ an iterative development methodology and lead the effort in defining features, user stories, and acceptance criteria.     Manage user story (requirements), use case, and artifact-gathering processes and clearly communicate to the business and technical team members what is needed     Ask probing questions to fully understand user stories with the ability to provide feedback on possible implications of any and all requests.     Accurately and concisely articulate issues, questions, and recommendations to business stakeholders, team members, and management.     Work with the business unit to manage the expectations for project completion     Understand the “as-is” and “to-be” business processes to ensure all parties are working toward the same goal.     Model the expected system interactions, particularly when software is being developed.     Identify gaps in data requirements between what is in place and what is needed     Model the data requirements or work with the appropriate people to ensure that the data will support the new solution.     Create mock-ups of the new user interfaces as needed.     Support the business unit and development team by discussing the business and technical impacts of any dependencies related to priority decisions.     Work closely with stakeholders in developing user scenarios as needed.     Work with continuous improvement in mind in order to identify and document system recommendations for current and future development.     Work with users to update business processes and procedures guidelines.      Minimum Requirements:     Must be able to effectively and comfortably communicate with all types of individuals from the customer technical expert to the customer executive management.     Bachelor’s Degree with a focus in IT or equivalent combination of experience/knowledge.     2-3 Years’ experience working with businesses to identify and document IT needs and facilitate solutions.     Experience and comfort with business analysis, requirements definition & validation.     Knowledge of and experience with agile processes.     Strong analytical, design, and problem-solving skills.     Ability to work independently/self-reliant and show initiative with minimum supervision.     Ability to quickly learn new technologies and apply them appropriately to business situations.     Strong team player who enjoys working in a fast-paced team atmosphere.     Ability to work under pressure; meet strict deadlines.     Ability to listen effectively and seek clarification.     Ability to build a rapport with clients.
","
            Be among the first 25 applicants
          ",Entry level,Contract,"Research, Analyst, and Information Technology",Information Technology & Services
Business Analyst,Cynet Systems,"Frankfort, KY",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-cynet-systems-3907407855?position=7&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=Ajp0GscWgzdhBKnBmkmFeQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description:      Research projects and programs related to the proposals and documents.     Track, Evaluate, and Report on client SDS Contractor and State payroll Project Labor budgeting and spending.     Perform technical and detailed writing, editing, and proofreading of required correspondence, communications, presentations, and other documents.     Research, assist in development, and/or perform technical reviews on federal financial proposals (similar to grants), reports, and planning documents within required timelines.     Work closely with agency management and project teams to gain an understanding of the project and related requirements to assist with the development of training material and/or recommend related process improvements.     Organize material and complete writing assignments according to agency standards regarding order, clarity, conciseness, style, and terminology.     Utilize a combination of computer and critical thinking skills.     Maintaining confidentiality and the ability to exercise discretion is essential.      Required Qualifications:     Bachelor's degree or equivalent combination of recent, relevant work experience.     3+ years of data tracking, reporting, and data validation.     3+ years documenting, reviewing, improving, and communicating business processes.     3+ years of accounting operational processing or budget development.     Proficient in Microsoft Product Suites (Word, Excel, and PowerPoint).     Experience developing documents based on information obtained through multiple subject matter experts and research.     Experience utilizing time management capabilities, often ensuring compliance with externally imposed deadlines, such as federal or state deadlines.      Preferred Qualifications:     Prior writing experience of financial request documents and/or justifications in a governmental environment.     Working knowledge of government regulations as they pertain to the grant proposal and planning document writing process.     Prior experience preparing healthcare information technology proposals or working in the healthcare technology environment.     Prior experience in writing, proofreading, and editing skills.     Prior experience in a procurement environment.     Prior experience in a human resources environment.     Prior experience with eMars, Budgeting, Accounting, and/or Human Resource systems.     Prior experience with the Commonwealth of Kentucky.      Key Competencies:     Organizational and planning skills.     Outstanding written and oral communication skills.     Information gathering and monitoring skills.     Judgment and decision-making ability.     Initiative and Adaptability.     Attention to detail and accuracy.
","
            Be among the first 25 applicants
          ",Entry level,Contract,"Research, Analyst, and Information Technology",Information Technology & Services
Senior Business Analyst,Cynet Systems,"Frankfort, KY",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-cynet-systems-3907410404?position=8&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=rK0dD7tIom2jgdq1K6BAIA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description:   Responsibilities:        Lead, facilitate and contribute to the development of the implementation plan for client IT modernization project, ensuring alignment with project timelines and decommissioning objectives.       Collaborate closely with the Project Manager to formulate and execute the plan, working in tandem with cross-functional teams.       Utilize project tools such as Azure DevOps (ADO) and MS Teams action item boards to monitor, track, manage, and report progress on respective deliverables.       Identify, document, and escalate risks and issues that may impact the project's go-live goals.       Engage proactively with the vendor and client cross-functional teams to uphold the stability, availability, and reliability of the newly implemented Integrated Tax System (ITS).       Lead and facilitate root cause analysis (RCA) sessions with the vendor to uncover underlying issues and implement corrective measures to prevent recurrence.       Define, document, and oversee the incident and problem management processes, encompassing incident identification, logging, prioritization, investigation, resolution, and escalation.       Actively participate in the resolution of incidents and service requests within defined timeframes.       Ensure adherence to specified service level agreements (SLAs) with the implementation partner or vendor.       Identify opportunities for process enhancements and efficiency improvements across implementation planning, cutover planning, and production support activities.       Ensure changes are thoroughly documented, tested, and approved prior to deployment in the production environment.       Coordinate change requests and enhancement initiatives to minimize disruptions to operational workflows.       Collaborate with the PMO to implement best practices and standards aimed at enhancing service delivery and fostering customer satisfaction.       Qualifications:       Bachelor’s degree in computer science, Information Systems, Business Administration, or related field.       Minimum of 8 years of experience in large IT implementation projects.       Experience with business analysis, project management, and production support activities.       Proven track record of successfully leading implementation planning for projects and initiatives.       Strong technical and analytical skills with the ability to translate business requirements into technical solutions.       Excellent communication, stakeholder management, and problem-solving skills.       Knowledge of IT service management principles and framework (e.g., ITIL) is desirable.       Project management certification (e.g., PMP) is a plus.       Personal Attributes:       Strong leadership and collaboration skills.       Team player.       Quick learner.       Ability to work effectively in cross-functional teams.       Proactive and results-oriented mindset.       Focus on delivering high-quality outcomes.       Adaptability and resilience in responding to changing business needs and priorities.
","
            Be among the first 25 applicants
          ",Entry level,Contract,"Research, Analyst, and Information Technology",Information Technology & Services
Sr. Business Systems Analyst,"V-Soft Consulting Group, Inc.","Louisville, KY",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/sr-business-systems-analyst-at-v-soft-consulting-group-inc-3899940565?position=9&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=D9xpNm84NNdo7eRoxQRkqA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Primary Location: Louisville, KentuckyV-Soft Consulting is currently hiring for a Sr. Business Systems Analyst for our premier client in Louisville, Kentucky.Education And Experience »Bachelor’s Degree preferably in Business Administration, Finance/Accounting, Information Technology, or related field; and.Six (6) years’ experience with Enterprise software applications, technology, and services such as Oracle, SAP, Microsoft, or other Enterprise Resource Planning (ERP) software packages with three (3) years’ experience with operations and the technology and applications used to support them, preferably in one or more of the following: Finance, Human Resources, IT, Customer Care, and other departments; and.Valid driver’s license.Experience with the development of Request for Proposals for computer application selection and implementation. PreferredExperience with Business Intelligence and Data Analytics applications and concepts.Experience of application integration design concepts and principles.Experience with SQL, database, Content Management Systems, Internet/Intranet/Extranet technologies, and Smartphone and Tablet applications and technologies.Knowledge, Skills And Abilities »Strong analytical and problem-solving skills.Strong work ethic and interpersonal skills.Strong ability to define and document department requirements, business process mapping, workflows, diagrams, and work instructions.Strong analytical skills to extract, organize and present data in useful formats for management and team decision-making.Advanced computer skills i.e. query tools, report writers, word processing, spreadsheet, flow chart, and presentation software.Excellent communication skills.Demonstrated ability to manage complex, multidisciplinary efforts.Solid understanding of relational databases, business processes, organizational policies, standards, and regulation/laws to effectively resolve problems or issues.High proficiency in conducting software diagnostics.Ability to work independently and within a team environment without direct supervision.Demonstrated ability to be successful in administering large scale information technology systems.Ability to communicate technical or detailed operational information in user-friendly formats to non-technical audiences.Ability to develop proficiency with report writing and database querying software tools.Interested?Qualified candidates should send their resumes to vpalla@vsoftconsulting.comV-Soft Consulting Group is recognized among the top 100 fastest growing staffing companies in North America, V-Soft Consulting Group is headquartered in Louisville, KY with strategic locations in India, Canada and the U.S. V-Soft is known as an agile, innovative technology services company holding several awards and distinctions and has a wide variety of partnerships across diverse technology stacks.As a valued V-Soft Consultant, you’re eligible for full benefits (Medical, Dental, Vision), a 401(k) plan, competitive compensation and more. V-Soft is partnered with numerous Fortune 500 companies, exceptionally positioned to advance your career growth.V-Soft Consulting provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.For more information or to view all our open jobs, please visit www.vsoftconsulting.com or call (844) 425-8425.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Salesforce Business Analyst,U.S. Bank,"Owensboro, KY",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/salesforce-business-analyst-at-u-s-bank-3908980769?position=10&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=l%2FkpraR7trVGav25jbhdsQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          At U.S. Bank, we’re on a journey to do our best. Helping the customers and businesses we serve to make better and smarter financial decisions and enabling the communities we support to grow and succeed. We believe it takes all of us to bring our shared ambition to life, and each person is unique in their potential. A career with U.S. Bank gives you a wide, ever-growing range of opportunities to discover what makes you thrive at every stage of your career. Try new things, learn new skills and discover what you excel at—all from Day One.Job DescriptionJob DescriptionBusiness Systems Analysts are the drivers of our continued growth and success. With their commitment to innovating the User Experience, these analysts seek, develop, and help implement strategic initiatives for improved efficiency and productivity. We’re currently searching for an experienced business analyst to help guide our organization to the future. From researching progressive systems solutions to evaluating their impacts, the ideal candidate will be a detailed planner, expert communicator, and top-notch analyst. This person should also be wholly committed to the discovery and development of business-driven strategic solutions in an ever-changing digital landscape.Objectives and ResponsibilitiesPartner with stakeholders across business units (ex: sales, finance, security, compliance, internal team) to develop analyses, documentation, and design in a collaborative way, communicating effectively and efficiently with production, managerial, and executive teamsDevelop meaningful and lasting relationships with partners for optimized systems integration, and respond to questions and concerns from managers and executives with supporting research and recommendationsServe as thought leader for technical business processes, designing a user experience that promotes increased efficiency and productivity on multiple levelsDetermine and develop user requirements for systems in production, to ensure maximum usability and scalabilityBasic Qualifications Bachelor’s degree, or equivalent work experience Six or more years of related experiencePreferred Skills/Experience Experience working with Salesforce Comprehensive knowledge of policies, plans, procedures, products and regulatory requirements for assigned business unit Ability to conduct an analysis of a business need, including scheduling meetings, planning agendas and conferring with business line leaders Advanced understanding of Agile project management and testing methodology and procedures Strong working knowledge of relevant Microsoft applications, including Visio Ability to manage multiple tasks/projects and deadlines simultaneously Ability to work as part of a project team Effective verbal and written presentation and communication skills Ability to work in a fast-paced, high stress environment Experience with Agile Project Management Software Tools (Jira, Azure DevOps, Etc.) Inspired self-starter with the ability to take the lead on assigned projectsOpened-minded, flexible person who can adapt to suddenly changing objectives/prioritiesThis role requires candidates to be located near our Earth City, MO HUB site.This role does not support Visa Sponsorship.If there’s anything we can do to accommodate a disability during any portion of the application or hiring process, please refer to our disability accommodations for applicants.Benefits:Our approach to benefits and total rewards considers our team members’ whole selves and what may be needed to thrive in and outside work. That's why our benefits are designed to help you and your family boost your health, protect your financial security and give you peace of mind. Our benefits include the following (some may vary based on role, location or hours):Healthcare (medical, dental, vision)Basic term and optional term life insuranceShort-term and long-term disabilityPregnancy disability and parental leave401(k) and employer-funded retirement planPaid vacation (from two to five weeks depending on salary grade and tenure)Up to 11 paid holiday opportunitiesAdoption assistanceSick and Safe Leave accruals of one hour for every 30 worked, up to 80 hours per calendar year unless otherwise provided by lawEEO is the LawU.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicants without regard to race, religion, color, sex, national origin, age, sexual orientation, gender identity, disability or veteran status, among other factors. Applicants can learn more about the company’s status as an equal opportunity employer by viewing the federal KNOW YOUR RIGHTS EEO poster.E-VerifyU.S. Bank participates in the U.S. Department of Homeland Security E-Verify program in all facilities located in the United States and certain U.S. territories. The E-Verify program is an Internet-based employment eligibility verification system operated by the U.S. Citizenship and Immigration Services. Learn more about the E-Verify program.The salary range reflects figures based on the primary location, which is listed first. The actual range for the role may differ based on the location of the role. In addition to salary, U.S. Bank offers a comprehensive benefits package, including incentive and recognition programs, equity stock purchase 401(k) contribution and pension (all benefits are subject to eligibility requirements). Pay Range: $83,810.00 - $98,600.00 - $108,460.00Job postings typically remain open for approximately 20 days of the posting date listed above, however the job posting may be closed earlier should it be determined the position is no longer required due to business need. Job postings in areas with a high volume of applicants, such as customer service, contact center, and Financial Crimes investigations, remain open for approximately 5 days of the posting listed date.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Business Development and Sales,Banking
Product Analyst,Aline,"Louisville, KY",2024-04-28,On-site,,https://www.linkedin.com/jobs/view/product-analyst-at-aline-3912728166?position=11&pageNum=0&refId=2NqcziNjWYtW4JkRvJ0gdA%3D%3D&trackingId=Idh4ZkD4nnNyeHa4YJVjAg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          At Aline, we are committed to revolutionizing the senior living management technology market by continuously elevating our offerings and ensuring exceptional user experiences. In line with this commitment, we are seeking a dedicated Product Analyst to join our vibrant team. This role is designed for a dynamic individual who thrives in a fast-paced environment and is passionate about making a tangible impact through our products and services. The Product Analyst is crucial in driving our product development and project management efforts, offering extensive support across the entire product lifecycle. From requirements gathering to implementation and beyond, this role demands a blend of technical acumen, customer-centric focus, and innovative thinking. Join us in our mission to enhance the lives of seniors and their caregivers by delivering cutting-edge solutions and fostering meaningful engagements.The Product Analyst plays a pivotal role within the organization by offering comprehensive product and project support, facilitating client coordination, and providing invaluable subject matter expertise. Engaged throughout the entire product life cycle, this individual contributes to key phases including requirements gathering, testing, implementation, and ongoing support.ResponsibilitiesGather and analyze user requirements, business needs, and technical specifications to understand the scope and objectives of software products.Collaborate with stakeholders to define product features, functionalities, and priorities.Conduct market research to identify trends, competitive landscape, and user preferences.Work closely with UX designers to create intuitive and user-friendly software interfaces.Document detailed functional requirements, use cases, and user stories.Partner with stakeholder groups to understand business needs and identify new solutions for improving business processes.Prepare user manuals, release notes, and other documentation to support product deployment and usage.Perform application troubleshooting and problem-solving.Monitor key performance indicators (KPIs) such as user adoption, utilization of new features, and revenue-driven metrics.Evaluate feedback from users, stakeholders, and internal teams to identify areas for product enhancement.Complete user acceptance and stress testing on new product features & functionality.Support the Implementation Team with new customer onboarding.May perform other duties as needed and/or assigned. RequirementsBachelor’s degree in Computer Science, Information Technology, Business Administration, or related field. Equivalent experience will be considered.Minimum of three (3) years of experience as a Product Analyst, Business Analyst, or similar role, preferably within a software development or technology-driven environment.Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint) and other relevant productivity tools.Exceptional customer service skills with a focus on understanding and addressing user needs.Strong analytical abilities with the capability to prioritize tasks, plan effectively, and solve complex problems.Excellent written and verbal communication skills, with the ability to convey technical concepts to non-technical stakeholders.Demonstrated time management and prioritization skills, with the ability to manage multiple projects simultaneously and meet deadlines.Ability to collaborate effectively with cross-functional teams and adapt to changing priorities in a dynamic environment.Strong attention to detail and a commitment to delivering high-quality results.Ability to work independently with minimal supervision while also functioning well within a team environment.Familiarity with SQL Server Management Studio or other database management tools is a plus.Experience working in Agile methodologies, including Scrum or Kanban.Certified Scrum Product Owner (CSPO®) is a plus.Experience working with JIRA is a plus.Apply Now
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development
