title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Seneca Resources,"Lafayette, Louisiana Metropolitan Area",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-seneca-resources-3896633384?position=1&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=FMylDco4X8HVqMN6tYO%2FJQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Business AnalystLocation: Lafayette, LAWorkplace: Hybrid, 3 days/week onsiteTerms: Contract to HireCompensation: 35-40/hr W2, 75-85k conversion salaryJoin Our Innovative Team:Be part of a team committed to pushing boundaries and driving results. We are building technology solutions that drive improvements to healthcare delivery for a large network of health practitioners. With a dedicated product owner and dev team already in place, we're seeking a skilled Business Analyst professional to join our ranks. This role is brand new to the team and will tackle BA and manual QA tasks and is a great opportunity for a Business Analyst to expand their skillset in a dynamic software development team. The perfect candidate will have a growth mindset, be comfortable with ambiguity and have awesome interpersonal skills. Responsibilities:regression testing with meticulous attention to detail, ensuring that all software updates and modifications meet our high standards for functionality and user experience.user stories that articulate client requirements and expectations in a clear, concise manner, serving as the bridge between technical development and client needs.comprehensive technical documentation that provides clear guidelines for implementation, troubleshooting, and future enhancements.UAT testing using open-source tools like Cactus, Selenium, and Cucumber, leveraging your expertise to identify and resolve any issues or discrepancies before deployment.manual testing to maintain system integrity, utilizing your critical thinking skills to uncover potential vulnerabilities and ensure seamless operation.Requirements:Bachelor's degree is preferred, though equivalent work experience will also be considered.years of experience in user story creation, technical documentation, and testing, with a proven track record of success in a fast-paced, deadline-driven environment.with testing methodologies and best practices, including regression testing, user acceptance testing, and manual testing.analytical skills and attention to detail, with the ability to identify and troubleshoot issues efficiently and effectively.communication and collaboration skills, with the ability to work closely with cross-functional teams to achieve project objectives and deliverables.About Seneca Resources:Seneca Resources is client driven provider of strategic Information Technology consulting services and Workforce Solutions to government and industry. Seneca Resources is a leading IT services provider with offices in Georgia, Virginia, North Carolina and Alabama that service clients throughout the United States. The key to our success lies within our strong corporate culture which drives our business. We challenge our staff through engaging work, and we reward our staff through competitive compensation, extensive professional training, and excellent opportunities for career advancement. In turn, we look for only the best and brightest to join our team. We are an Equal Opportunity Employer and value the benefits of diversity in our workplace.
","
            Over 200 applicants
          ",Associate,Contract,"Information Technology, Analyst, and Quality Assurance","IT Services and IT Consulting, Hospitals and Health Care, and Health and Human Services"
"Business Analyst II, WaveWorks (Two Year Assignment)",The Times-Picayune | Nola.com,"New Orleans, LA",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-analyst-ii-waveworks-two-year-assignment-at-the-times-picayune-nola-com-3909771790?position=2&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=I1oeR%2BffVXHcBb89ISGUzw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Business Analyst (BA) in Tulane’s Office of Project Management and Strategic Consulting (PMSC) plays a key role in the team supporting the change management and project management functions for the planning and implementation of the new, cloud-based Oracle platform that will replace Tulane’s legacy financial and human resources systems. This position is projected to last for two years.The Business Analyst will support change management actions such as updating change management plans, scheduling and supporting training sessions, working with a change agent network across Tulane, and creating and updating project communications across multiple channels. Project management functions performed by the BA may include maintaining and updating project plans, working with leaders of various project workstreams to track progress, preparing project reports, identify potential challenges and solutions to address them, and escalate critical issues to senior members of the PMSC team. The BA will also assist in preparing presentations to key stakeholders such as Tulane executive leaders, arranging, scheduling, and supporting project related meetings and communications events. The Business Analyst operates with moderate supervision.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Broadcast Media Production and Distribution
Business Analyst - Remote / Telecommute,Cynet Systems,"New Orleans, LA",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-remote-telecommute-at-cynet-systems-3907405902?position=3&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=xEt5YpsE40HMPt8%2B3PBURg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Description:      Analyzes company functions, processes, and activities to improve computer-based business applications for the most effective use of money, materials, equipment, and people.     Utilizes available computer systems resources and personnel to carry out analysis to support management's quest for performance improvement.     Reviews and analyzes information, forecasts, methods, schedules, systems, processes, and procedures.     Determines the most useful business solutions for the company.     Recommends alternative solutions to management and courses of action that best meet the organization's goals.     Performs duties concerned with the design and improvement of computer-based business systems.      Works closely with senior managers to identify and solve a variety of computer-based business system problems.     Analyzes requirements, procedures, and problems to automate processing or to improve existing business systems.     Confers with personnel of organizational units involved to analyze current operational procedures and identify problems.     Solicits from management symptoms of the problem, formally defines the problem, breaks the problem into component parts, and gathers information about each of these parts from a variety of sources.     Selects the most appropriate analytical technique.     Utilizes several study techniques including simulation, linear and nonlinear programming, dynamic programming, queuing and other stochastic-process models, Markov decision processes, econometric methods, data envelopment analysis, neural networks, expert systems, decision analysis, and the analytic hierarchy process.     Writes description of business needs, business program functions, and steps required to develop or modify computer-based business systems.
","
            Be among the first 25 applicants
          ",Entry level,Contract,"Research, Analyst, and Information Technology",Information Technology & Services
Associate Professional Business Analyst,Gainwell Technologies,"Baton Rouge, LA",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/associate-professional-business-analyst-at-gainwell-technologies-3880121428?position=4&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=fQTbcs%2Fw9aFZ7qffQj%2F0AA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Be part of a team that unleashes the power of leading-edge technologies to help improve the health and well-being of those most vulnerable in our country and communities. Working at Gainwell carries its rewards. You’ll have an incredible opportunity to grow your career in a company that values work flexibility, learning, and career development. You’ll add to your technical credentials and certifications while enjoying a generous, flexible vacation policy and educational assistance. We also have comprehensive leadership and technical development academies to help build your skills and capabilities.SummaryAs an Associate Professional Business Analyst at Gainwell, you can contribute your skills as we harness the power of technology to help our clients improve the health and well-being of the members they serve — a community’s most vulnerable. Connect your passion with purpose, teaming with people who thrive on finding innovative solutions to some of healthcare’s biggest challenges. Here are the details on this position.Your role in our mission“Analyze this” and help create innovative, purpose-built technologies and solutions to deliver better health and human services outcomes. Collaborate with a team of business analysts making client recommendations that can improve business processes  Translate your client’s business needs from the requirements generated for our technical teams into simpler non-tech language  Help your team analyze and document systems requirements and business processes  Build basic conceptual data and process models to quantify the potential impact of changes to the system  Verify that client requirements are built into the system design by executing and analyzing basic test case scenarios from existing test plans  Be part of technical reviews and inspections with senior leaders to ensure the final product meets client expectations  Expand your technical skills in software applications such as Microsoft Excel, SQL or Visio to enhance your expertise in this role What we're looking for Basic understanding of the software development life cycle and software such as Microsoft Office  Basic analytical and problem-solving skills to assess business needs and triage bugs and defects  Clear and effective oral and written communication skills in a professional work environment  Interest in working at the intersection of the ‘technical’ and ‘non-technical’ and learning more about business processes and re-engineering  Ability to work in a team environment with other professionals What you should expect in this role Hybrid position (Occasional onsite 1-2 days a week reccuring) The pay range for this position is $41,500.00 - $59,300.00 per year, however, the base pay offered may vary depending on geographic region, internal equity, job-related knowledge, skills, and experience among other factors. Put your passion to work at Gainwell. You’ll have the opportunity to grow your career in a company that values work flexibility, learning, and career development. All salaried, full-time candidates are eligible for our generous, flexible vacation policy, a 401(k) employer match, comprehensive health benefits , and educational assistance. We also have a variety of leadership and technical development academies to help build your skills and capabilities.We believe nothing is impossible when you bring together people who care deeply about making healthcare work better for everyone. Build your career with Gainwell, an industry leader. You’ll be joining a company where collaboration, innovation, and inclusion fuel our growth. Learn more about Gainwell at our company website and visit our Careers site for all available job role openings.Gainwell Technologies is committed to a diverse, equitable, and inclusive workplace. We are proud to be an Equal Opportunity Employer, where all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We celebrate diversity and are dedicated to creating an inclusive environment for all employees.
        ","
          117 applicants
        ",Entry level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Process Analyst,Productive Resources LLC,"Thibodaux, LA",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/business-process-analyst-at-productive-resources-llc-3903008247?position=5&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=DA8BtHHQ3erICbHK8NGXTg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Thibodaux, Louisiana - Full Time Productive Resources (www.productiveresources.com) is seeking a candidate to be part of our engineering team at our customer's facility in Thibodaux, LA. As a member of our team, the selected candidate will be a dedicated Business Process Analyst. This role focuses on ensuring seamless service parts availability across our global distribution centers, supporting both new and current products. The ideal candidate will be proactive, with a knack for detailed planning and coordination across various teams.This is a full-time position that is indefinite in duration with the opportunity of professional growth, and additional opportunities within our organization.DutiesSet up and manage service parts in global distribution centers for new parts introductions.Collaborate closely with Customer Support, Program Management, Design Engineers, and Supply Management teams.Work across different factories to synchronize efforts and ensure consistent parts availability.Utilize MS Office and SAP to manage and track service parts data.Analyze and forecast parts requirements to support ongoing and future business needs.RequirementsBachelor's degree in Business Administration, Supply Chain Management, or a related field.Prior experience in service parts management, production planning, and forecasting.Knowledge of agricultural products and related industry processes.Advanced skills in MS Office and familiarity with SAP or similar ERP systemsAs a condition of employment consideration, Productive Resources conducts pre-employment screening, including a background check and drug test. In addition, an employment candidate is required to provide proof of identity and legal authority to work in the United States.Why work for Productive Resources?Productive Resources is a full-service engineering firm with over two decades of experience serving leading global clients. Our primary focus is on project-based product development and manufacturing engineering support. Our primary industries of focus are off highway equipment including agricultural, construction, defense, mining, recreational, industrial, and specialty machines.We lead with our reputation for quality, teamwork, and innovative solutions which keep our clients engaged as a partner in their journey. Our diverse experience and client base will challenge your technical skills and provide greater opportunity for growth.Our primary delivery center is our Technical Center in Waterloo, IA, as well as numerous customer areas we serve with onsite and remote teams throughout the U.S.We Offer Competitive BenefitsHealth and Dental InsuranceCompany Paid Life InsuranceLong-Term DisabilityShort-term DisabilityRetirement Savings Account (Traditional 401k & Roth 401k)Flexible Spending Plans for Medical Expenses and Dependent CarePaid Time Off (PTO)Equal Opportunity and Veteran Friendly
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Management and Manufacturing,Industrial Machinery Manufacturing
"BUSINESS ANALYST || New Orleans, LA (Onsite from day-1)",Noralogic Inc,"New Orleans, LA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-new-orleans-la-onsite-from-day-1-at-noralogic-inc-3888422826?position=6&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=RK8HLHI%2FtsedLRtbiQVDhQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Greetings from Noralogic!!Please find below job description & let me know if it matches with your job profile. Please share your updated resume copy along with your contact information at priti@noralogic.com or 307-274-3112BUSINESS ANALYSTJob location: New Orleans, LA (Onsite from day-1)Long Term ContractCollaborate with cross-functional teams to identify business objectives and business requirements.Analyze business processes and systems to identify areas for improvement and opportunities for optimization.Work with project managers and technical teams to design and implement technical solutions that meet business needs.Communicate project status, risks, and issues to stakeholders and project team members.Develop and maintain project documentation, including business requirements, use cases, and project plans.Stay up-to-date with industry trends and best practices to identify new opportunities for business process improvement.Work with project managers, PMO staff and senior leadership of departments within city government.Will work with PMO staff to help create program processes for repeatable outcomes.Must be a team-oriented person with a just get it done attitudes.Knowledge, Skills, Education, And/or ExperienceMinimum of 3 years verifiable experience as a business analyst.Must have strong analytical skills to create reports and offer recommendationsAbility to manage multiple high-profile projects from beginning to completion.Excellent written and verbal communication skills.Must have the ability to understand the team's challenges and help to develop solutions.Must be familiar with various types of project management and business analysis software.Experience with process modeling and analysis tools such as Visio, Lucid chart, or ARIS.Experience with data analysis tools such as SQL, Python, R or SAS preferred.Must be proficient in Excel spreadsheetsMandatory Skills/certification(s) RequirementPrior business analysis experience required.The program is very fast paced with changing requirements.Certified Business Analysis Professional credential is desired.Agile Analysis Certification is desired.Desired SkillsBachelor's degree in business or technical certifications demonstrating strong skill in Business Analysis.Advanced level of Microsoft Excel experience is very helpfulOther verifiable BA certifications are desired.Regards,Priti KumariTechnical Recruiter Noralogic Inc.109 E 17th St, Cheyenne WY 82001+1.307-274-3112(Priti@noralogic.com) |www.noralogic.comhttps://www.linkedin.com/in/priti-sinha-526949150/USA: WY, MD, NJwww.noralogic.comMexico: Guadalajara, MonterreyIndia: Noida UP**WBE and MBE company**** ISO 9001:2015****WY Top 50 Minority owned growing company**
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Technology Business Analyst,Cynet Systems,"New Orleans, LA",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/technology-business-analyst-at-cynet-systems-3907408668?position=7&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=QHxJPWQbT1o%2FbSY2Ur6wjg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description:      Gather and analyze business requirements to determine technical requirements for projects.     Collaborate with stakeholders to identify and prioritize business needs and create project plans.     Create and maintain technical documentation, including requirements, design, and testing documentation.      Develop and execute test plans and test cases to ensure quality assurance of technical solutions.      Manage project timelines, deliverables, and budgets.      Provide technical guidance to project managers, and stakeholders.      Identify potential risks and issues and develop mitigation plans.      Stay up to date with industry trends and emerging technologies.      Bring to the team the what and not the how Remote work.      Minimum Qualifications:     Bachelors degree in computer science, engineering, or a related field.     3+ years of experience in technical business analysis.     Experience in software development methodologies such as Agile, Scrum, or Waterfall.     Strong technical skills and experience with programming languages, databases, and software development tools.     Excellent analytical and problem-solving skills.     Strong communication and interpersonal skills.     Ability to write user stories and features in tools like Jira.     Ability to work in a fast-paced, dynamic environment.     Certification in Business Analysis (CBAP or CCBA) is a plus.
","
            Be among the first 25 applicants
          ",Entry level,Contract,"Research, Analyst, and Information Technology",Information Technology & Services
Operational Business Analyst 1,Pan-American Life Insurance Group,"New Orleans, LA",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/operational-business-analyst-1-at-pan-american-life-insurance-group-3891326745?position=8&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=2JeRyhC2XQfbsRyAX%2B2b2g%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Pan-American Life Insurance Group (PALIG) is seeking an Operational Business Analyst to join the Private Client Life Operations team within the Individual Life Division. This is an entry level analyst position reporting directly to the Manager of Product Services and Product Support.The incumbent will work directly on the research and analysis for implementation activities of International Life Projects, New Products and Procedures, Risk Management, Production Customer/Operational Support and Systems (as assigned) by management. In addition, the Operational Business Analyst will develop a working knowledge of all operational business areas, including Claims, New Business Administration, Producer Services, Billing and Collections, Quality Assurance, Policy/Financial Services/Customer Service, and various additional departments throughout the organization with specific focus within our PALGS team.To support business needs, our primary administrative system is Life-Comm with various surround applications.Essential FunctionsOperational UnitsGain knowledge of and understand the Company’s business as it pertains to the operational units within the Individual Life Division, including the assigned units' specific issues and problems; this is all inclusive of the following areas and needs: Claims, Underwriting/New Business, Billing and Collections, Policy/Customer Service, Product Development, Compliance, Quality Assurance, etc.Support Life risk management functions as defined by the operational unitsAssist with business statistical analysis for all operational unitsGain knowledge of and understand corporate goals and how they relate to the Individual Life business needsCollaborate with the business units to find solutions, primarily automated, to their operational business needsSystems Enhancements/Upgrades and TestingConsult with business units and other internal personnel, i.e. IT, Legal/Compliance, Audit, vendor organizations, etc., on feasibility, capability, and problem resolution of current and proposed systemsAssist with defining of business requirements into logical, economical, and practical business/system design specifications for collaboration with IT personnelAssist business management in designing and implementing business processes and workflows to monitor productivity levels, and implement improvements on an ongoing basis for new sales concepts, ventures, and growthAssist with defining testing needs for the appropriate business areas in collaboration with IT resourcesTraining and DocumentationRegularly monitor/assist in the preparation of necessary documentation and operating proceduresParticipate in “hands-on training” for and with business unit personnelOther AssignmentsParticipate and assist management with all Vendor Management needsSupport and use of multi-system tools (surround applications) to support the above dutiesQuality Assurance reviews and approvalEducation & ExperienceBachelor’s degree An additional 4 years' relevant experience may be substituted in lieu of degreeWill be expected to complete LOMA I and II course certifications within the first two (2) years of accepting the positionBilingual (English/Spanish) skills preferredKnowledge, Skills & AbilitiesEducational knowledge and/or experience with Statistical Analysis requiredEducational knowledge and/or experience with Risk Management practices preferredWillingness to gain a working knowledge of all products sold by the Individual Life Division for both Domestic and International Sales with full support of current and future initiativesExcellent oral and written communication skills and superior customer service skillsExcellent project-management and training skillsExcellent PC skills (Microsoft Office products)Excellent organizational, problem-solving, and time management skillsExcellent vendor management, negotiation, and conflict-resolution skillsMust be detail-oriented with the ability to multi-taskWill be expected to complete all PALIGU courses as assignedPan-American Life Insurance Group OffersComprehensive Compensation Packages (base & bonus)A Comprehensive Benefits Package: Medical, Dental, 401K, Paid Time Off, and Tuition Reimbursement (etc.) are some examples. New hires are eligible for medical and dental coverage on the first of the month following 30 days of service. Hybrid Work OpportunitiesWho We ArePan-American Life Insurance Group (PALIG) serves the life, accident, and health insurance needs of individuals and businesses in 49 U.S. states, the District of Columbia, Puerto Rico and the U.S. Virgin Islands through its U.S. based member companies - Pan-American Life Insurance Company and Pan-American Assurance Company.At Pan-American Life, our employees are our greatest asset. We are grateful for the collaborative efforts of our employees and partners, and for the confidence of the policyholders whose life and health we protect. It is through this long-standing commitment that Pan-American Life continues to succeed.Pan-American Life is an Equal Opportunity Employer/Drug Free Workplace.
","
          112 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Insurance
Business Analyst,Robert Half,"Lafayette, LA",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-robert-half-3903876205?position=9&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=ROh%2Flrg9Ewzo6%2FjRas1v8A%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionBusiness AnalystRobert Half is representing a client in Lafayette, Louisiana seeking a dedicated Business Analyst with an emphasis on software -related product analysis. The ideal candidate will be SDLC oriented, with excellent Technical Writing skills. The Business Analyst will be responsible for the documentation, analysis, and elicitation of business and technical needs across multiple business units, then execution of software testing & bug reports. To be successful in this role, you must have exceptional communication skills and a proven ability to communicate technical and business requirements while managing cross-functional teams alike. This role is Hybrid with the expectation of 3 days per week in office, located in Lafayette, Louisiana. C2C and sponsorship is not supported for this role.Responsibilities Extracts and documents requirements through user stories, use cases, process flow diagrams, etc. Gather, analyze and prioritize requests by collaborating with business units, development teams, and other stakeholders. Verifies that complex requirements are executable, testable, and complete, rather than ambiguous.Create high level technical documentation that conveys clear goals and instructions.Leverage testing software while running test scripts to identify & document bugs and nuancesKeep a close handle on project timelines and expectations, managing an Agile EnvironmentRequirementsQualifications:3+ years with Agile Methodologies, navigating the SDLC in a Business Analyst, Product Manager, or another functional roleProficiency in Technical writing, at least 3 years drafting and publishing technical documents2+ years communicating with Stakeholders and managing expectations3+ years managing & collaborating with cross-functional teams, creating user stories, and product roadmaps3+ years of experience with testing software, manual and automated testing solutions1+ year leveraging Jira or other Atlassian products in a Project based capacityPreferred Bachelor's Degree in Computer Science, Management Information Systems, Business Administration or equivalent work experienceSaFe, CSM or Product Management certificationsExperience with Cactus Testing SoftwareCall Mike White for immediate consideration!Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.Questions? Call your local office at 1.888.490.3195. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals.© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use.Technology Doesn't Change the World, People Do.®Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go.All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit© 2024 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to
        ","
          38 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
"Senior Analyst, Demand Planning - SH","GLOVIS America, Inc.","Shreveport, LA",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/senior-analyst-demand-planning-sh-at-glovis-america-inc-3911906651?position=10&pageNum=0&refId=DNT9JCnjJAQ4lgAwNNbCPg%3D%3D&trackingId=FKummAc1sQX8pdm1tCwKpA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DetailsJob LocationVPC Shreveport - Shreveport, LAPosition TypeFull TimeJob Shift1stDescriptionAbout Hyundai GLOVIS America Inc.GLOVIS America, Inc. is a third-party logistics provider headquartered in Irvine, CA. Since our inception in 2002, we are committed to delivering our customers products via truck, rail, or ocean vessel throughout the U.S., Canada, and Mexico. Glovis America makes every effort to exceed standards by providing quality service to our customers and vendors of the automotive, freight forwarding, parts distribution, used car, and fuel industries. We cater logistics strategies and processes to our customers' needs by utilizing the latest information systems and advanced technologies.SummaryThe Demand Planning Senior Analyst will be responsible for coordinating with various departments such as operations, warranty, body shop, and campaign, as well as National Headquarters, to facilitate the creation of a production plan. This plan will be entered into our custom web-based Transportation Management System (TMS) software to provide accurate Estimated Time of Arrivals (ETAs) to our finished vehicle customers.PrimaryResponsibilities & Essential FunctionsCoordinate with local departments (operations, yard management, warranty, body shop, and campaign) and National Headquarters to gather necessary information for creating a production plan.Analyze historical data and current trends to develop accurate production plans.Confirm that production plan fits within capacity constraints at the department level.Develop and provide input on medium and long-term production goals (tender targets).Communicate effectively with our customers and HQ Logistics Planning to ensure all input and feedback is considered in the production planning process.Enter production plans into our custom web-based TMS software accurately and in a timely manner.SecondaryMonitor and track the progress of production plans, identify any issues or delays, and proactively communicate updates to relevant parties.Identify areas for process improvement within the vehicle inventory control function and work collaboratively to identify countermeasures.Cross-train on Vehicle Inventory Control duties (out gating, vessel reconciliation, hot car escalation) and backfill as necessary.TertiaryTrain and mentor junior analysts, providing guidance and support as needed.Benefits Medical Insurance  Vision Insurance  Dental Insurance  Health Care & Dependent Care Flexible Spending Accounts (FSA)  Basic Life and AD&D as well as Short and Long Term Disability  Paid Vacation, Holidays, and Sick leave  Pet Insurance  Hospital and Critical Illness Insurance  Wellness Program and Gym Reimbursement*  401(k) with Generous Matching  Referral Bonuses*  Auto Allowance*  Quarterly Employee Lunches, Summer Refreshments, and Monthly Team Building Activities*  Discretionary Bonuses*  Tuition Reimbursement* Benefits may vary by location. All benefits pursuant to Company policyQualificationsSkills Strong analytical and problem-solving skills  Excellent written and verbal communication skills  Ability to work independently and in a team  Proficient with PC skills: Excel, Word, PowerPoint, Outlook, and database management systems  Knowledge of finished vehicle logistics processes and regulations is preferred Education & Experience HS Diploma/G.E.D. required; Bachelors degree preferred  3-5 Years of experience in business, analytics, logistics, warehousing, automotive required; 4-7 years preferred Physical RequirementsSit/Stand/WalkWorking and Environmental ConditionsThis position works in a plant manufacturing/warehouse setting. Exposure to loud noises from vehicles and heavy machinery  Exposure to indoor and outdoor weather conditions  Exposure to chemicals/fumes The information contained herein is not intended to be an all-inclusive list of duties and responsibilities of the job, nor is it intended to be an all-inclusive list of skills and abilities required to do the job. Glovis America, Inc. reserves the right to alter and change this job description at any time without notice based on business needs.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Management and Manufacturing,Truck Transportation
