title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Zivahh LLC,"Baltimore, MD",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-zivahh-llc-3878905776?position=1&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=d99QVsGIUxHdWEYWpMX5vQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Skills RequiredDemonstrated prior experience successfully eliciting and documenting business processesDemonstrated prior experience analyzing business processes and recommending improvementsStrong verbal and written communication skills with experience preparing presentations forexecutives and othersenior stakeholdersStrong skills in preparing meaningful and easily understood process diagrams using standarddiagramming softwaresuch as Microsoft VisioBasic project management skills and experience preferredFamiliarity with Google Workspace (formerly G-Suite) collaborative productivity tools preferredEducationBachelor's degree in a relevant fieldA minimum of five years’ experience working as a business analyst at an organization where ITwas the main product/service
        ","
          171 applicants
        ",Associate,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst,Corestaff Services,"Bowie, MD",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-corestaff-services-3885936333?position=2&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=p4Xf2%2Batg6UHTa%2FKZaDtmQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Corestaff Services is seeking a Business Analyst for a client in Bowie, MD.The Business Analyst role serves as a liaison between multiple business units and technology teams to define processes, identify process improvement opportunities, and implement new functionality The University's Provost Office. This position will document stakeholder requirements, measure/monitor process efficiency, and develop and manage projects. They will coordinate implementation, testing, training, and communication efforts with vendors and multiple business groups. This is a business-facing and technology-facing role, requiring excellent communication and organizational skills to create alignment amongst multiple sponsors. ResponsibilitiesPartner effectively with business stakeholders and subject matter experts in a collaborative manner, building constructive and effective relationships. Partner with the business and technology delivery teams to ensure business processes are understood, documented, and fit the needs of the organization. Map processes from current to future state, define business and tech requirements and scope, and proactively champion change to business stakeholders and development teams. Ensure process documentation is created, stored in a shared environment and remains current. Support technology teams in translating business requirements to detailed stories/tasks for development teams to deliver business functionality. Assist business stakeholders with testing of system changes and analyze data flows for process improvement opportunities. Partner with Product Owner on product vision, requirements definition, and capability mapping to ensure requirements align with business unit processes and needs. Partner with business stakeholders in the development of business cases and project charters. Advocate process changes to improve and support business activities in designing future state of new products and platforms. Provide leadership for the implementation of process improvement opportunities by mapping out process changes, refining requirements and scope, and proactively communicating project capabilities to business leaders, stakeholders, and users.  REQUIRED KNOWLEDGE, SKILLS & ABILITIES: Bachelor's or Master's degree in IT or Computer Science or related field. MUST be able to demonstrate strong problem-solving skills.MINIMUM TRAINING & EXPERIENCE: 2-4 years of related experience and college degree. Proven experience in an analytics and systems development capacity.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Analyst, Information Technology, and Research",IT Services and IT Consulting
Business Analyst,swipejobs,"Bowie, MD",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-swipejobs-3901372777?position=3&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=iTzsh%2BzgZzmU3yLheuYpaQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
The Business Analyst role is pivotal in bridging the gap between business operations and technological enhancements. This position focuses on analyzing and enhancing business processes, documenting requirements, and overseeing the development and implementation of new solutions. The role demands a blend of business acumen and technical proficiency, ensuring that all solutions meet the operational needs while facilitating seamless communication and coordination among various stakeholders. Key responsibilities include documenting processes, identifying improvement opportunities, and managing projects from inception to deployment.Responsibilities:Build and maintain effective relationships with business stakeholders and subject matter experts to foster a collaborative work environment.Collaborate with both business and technology teams to ensure that business processes are clearly understood, documented, and aligned with organizational goals.Map current business processes to future state visions, detailing business and technological requirements and project scope, while championing necessary changes.Maintain up-to-date process documentation within a commonly accessible environment.Support technology teams by translating business needs into detailed tasks and user stories for development execution.Assist in the testing of system modifications, analyzing data flows to pinpoint opportunities for process enhancements.Work closely with Product Owners to align product vision and requirements with business processes and needs.Engage with business stakeholders to help develop business cases and project charters that support strategic initiatives.Advocate and lead the implementation of process changes to improve business operations and the integration of new technologies and platforms.Provide leadership in the execution of process improvements, refining project scope and requirements, and communicating progress to all stakeholders.Basic Qualifications:Bachelor’s or Master’s degree in Information Technology, Computer Science, or a related field.Demonstrable strong problem-solving skills are essential.A minimum of 2-4 years of experience in a related analytics or systems development role is required.
","
            Over 200 applicants
          ",Associate,Contract,"Analyst, Education, and Strategy/Planning",Higher Education
Business Analyst,Infojini Inc,"Maryland, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-infojini-inc-3911345086?position=4&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=6RuSRaSCFOVTUOz1GDl8dg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Title- IT Business AnalystLocation- Largo, MD, 20774Client- MD - Prince Georges County Health Department   IT BUSINESS ANALYST SAMPLE RESPONSIBILITIES:• Collaborate with high-level executives or leaders to understand the business’ needs and priorities.• Collect business data and perform analysis to discover areas for improvement.• Evaluate business processes or conduct other research, such as surveys, to identify potential issues.• Give presentations to senior managers or executives to explain their analysis and make recommendations.• Produce written reports detailing their data analysis.• Provide guidance or training as needed to help businesses implement their recommended changes.• Gather data to evaluate the impact of those changes. IT BUSINESS ANALYST MINIMUM QUALIFICATIONS:• Bachelor's degree or equivalent experience for a bachelor’s degree in business, finance, operations management, or a related field.• Relevant certifications (e.g., Certified Business Analysis Professional (CBAP), Certified Management Consultant (CMC), Project Management• Institute Professional in Business Analysis (PMI-PBA)) are highly desirable.• Excellent communication skills with the ability to explain technical concepts to non-technical stakeholders.• Strong analytical, problem-solving, and decision-making skills.• Must have demonstrable good judgement and integrity.• Ability to work independently, prioritize tasks, and manage multiple projects simultaneously.
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology,Staffing and Recruiting
Business Operations Analyst,University of Maryland Medical System,"Bel Air, MD",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-operations-analyst-at-university-of-maryland-medical-system-3912076871?position=5&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=r44VXDHwLCcJ4JVHaCOf8g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company DescriptionUniversity of Maryland Upper Chesapeake Health (UM UCH) offers the residents of northeastern Maryland an unparalleled combination of clinical expertise, leading-edge technology, and an exceptional patient experience.A community-based, integrated, non-profit health system, our vision is to become the preferred, integrated health system creating the healthiest community in Maryland. We are dedicated to maintaining and improving the health of the people in our community through an integrated health delivery system that provides high quality care to all. Our commitment to service excellence is evident through a broad range of health care services, technologies and facilities. We work collaboratively with our community and other health organizations to serve as a resource for health promotion and education.Today, UM UCH is the leading health care system and second largest private employer in Harford County. Our 3,500 team members and over 650 medical staff physicians serve residents of Harford County, eastern Baltimore County, and western Cecil County.University of Maryland Upper Chesapeake Health owns and operates:University of Maryland Harford Memorial Hospital (UM HMH), Havre de Grace, MDUniversity of Maryland Upper Chesapeake Medical Center (UM UCMC), Bel Air, MDThe Upper Chesapeake Health Foundation, Bel Air, MDThe Patricia D. and M. Scot Kaufman Cancer Center, Bel Air, MDThe Senator Bob Hooper House, Forest Hill, MDJob DescriptionBusiness Operations AnalystProvides operational, programmatic and project specific support to clinical, operations and financial leadership in support of clinical activities in the hospital and/or ambulatory care networks. Works with leadership to design, build and maintain operational data and tools for performance improvement and outcomes management within functional domain.Provides program oversight, operational programs, data collection, data analysis, dashboard creation and maintenance, KPI reporting, and supports development and execution of annual operating plan, annual budgets, service productivity, and performance improvement plans.Analyzes requests for information, and identify existing data sources and/or develops data collection tools. Supports management team in working to achieve optimal hospital and ambulatory practice operations. Provides specific programmatic and operational implementation and operations performance where required.This position will work collaboratively with a variety of disciplines and stakeholders including clinical, administrative and finance leadership working constructively with groups to engage in performance improvement efforts. The appropriate organizational resources will be utilized to analyze and interpret data including but not limited to inpatient, service line, operational, revenue, billing, receivable, and statistical reports as required.When required provides reporting, presentations and outcomes metrics to be shared with UM UCH leadership and UMMS cross functional teams.QualificationsMINIMUM KNOWLEDGE, SKILLS AND ABILITIES:Education & Training: Bachelor’s degree in Business Administration, Health Administration, Finance or health-care related field required. Master degree preferred.Work Orientation & Experience: Minimum three (3) years of previous experience in health care operations required. Previous work experience may be substituted for Master’s degree. One (1) year of previous project management experience required. Previous EPIC experience and demonstrated proficiency in data analytics and synthesis preferred. Demonstrated experience in preparation and delivery of data and operational performance metrics.Skills & Abilities: Demonstrated skill in: a) report generation; b) effective critical thinking; c) written and oral communications; d) analysis methodology; e) project and work planning; f) interpersonal g) presentation of data
        ","
            Be among the first 25 applicants
          ",Associate,Full-time,Analyst,Hospitals and Health Care
Business Analyst,Themesoft Inc.,"Bethesda, MD",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-themesoft-inc-3885002574?position=6&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=PuOPNvalRbzSqv%2FahlNP1Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business Analyst with clinical data background, good client management skills.Location: Bethesda, MD (On-Site)Duration: Full Time Job Responsibilities:Assist in translation of clinical study requirements into trial Casebook.Develop and maintain Data Management Plans in areas such as data workflow and data transfers.Develop edit check specifications for the automated cleaning of data management practices and procedures (SOPs, Work Instructions), including identifying and recommending solutions for technology issues.Conduct user acceptance testing of study databases, reports, study notifications and database customizations. Resolve problems with databases.Develop study specific data listings.Identify opportunities for improvement and proposed solutions, develop procedures and train to new processes.Experience utilizing Electronic Data Capture systems (OpenClinica), Veeva Vault eTMF, and SAS.Mentor junior team members in the roles and responsibilities of the Clinical Data Management Analyst. Train participating staff on technical procedures and software usage. Required QualificationsMinimum 5 years in a clinical or medical or research setting.Bachelors degree required- Education and work experience in computer science, life sciences or technical field.Expert in data collection best practices for clinical trials.Expert knowledge of global clinical operations.Expert in the use of SQL to query data sets based on defined parameters.Certified Clinical Data Manager (CCDM) or equivalent would be great but not requiredGood Customer Handling skills.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Sr. Business Analyst/Lead Business Analyst,Lumen Solutions Group Inc.,"Baltimore, MD",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/sr-business-analyst-lead-business-analyst-at-lumen-solutions-group-inc-3905981794?position=7&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=%2F9L1QxjsXs07kkYuivF2Ow%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Senior Business AnalystLocation: Washington, DC-Remote for nowJob type: Long term contract Job Description:• Strong demonstrated analytical skills applied to business software solutions maintenance and/or development.• Knowledge of the software development standards and practices.• Understanding of claims adjudication, benefits, particularly in a health care environment• Understanding of health industry diagnosis, procedure and revenue codes and their application• Strong business analytical skills.• Strong process analysis skills• Strong process documentation skills
","
            Be among the first 25 applicants
          ",Entry level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,Ampcus Inc,"Washington Highlands, MD",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-ampcus-inc-3906083489?position=8&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=qVPwv6Juwj3jGJNe3bSSPQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Business Analyst Hybrid 1 Day Per Week in Washington, DCMust be a US CitizenSeeking a Senior Business Analyst to serve as the primary interface to business users, to assist the IT development team in understanding the business processes, workflows, and general project management. The Senior Business Analyst will primarily serve in the support of existing applications and configuration of new functionality on an enterprise-wide platform. The candidate must have strong project management skills, including the ability to create and manage project plans, status tracking and reporting, and the creation of communication and training guides. In addition, the candidate must be able to effectively communicate with stakeholders to define requirements and resolve issues.The General Skill Sets Required AreExcellent verbal and written communication skills.An analytical mind with strong planning, organizational, and problem-solving skills.Experience managing project plans and project status reporting.Experience With Gathering And Documenting User Requirements.Experience working within a team environment, as well as independently.Experience with leading/managing projects in accordance with the Agile methodology.Experience with Visio and Microsoft Project, Microsoft PowerPoint, and Microsoft Excel a plus.Ability to write test scripts/plans for web applications when needed.Ability to perform test script execution and quality assurance testing when needed.Please send your resume to (url removed)
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Accounting and Business Consulting and Services
Business Analyst,AstraZeneca,"Frederick, MD",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-astrazeneca-3864431507?position=9&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=uXmvjKgRv5w46k%2B6NNztnQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business AnalystIntroduction to Role:At AstraZeneca, we are committed to making a positive impact on patients' lives by channeling our scientific capabilities. As a Business Analyst in our IT department, you will play a pivotal role in this mission. You will be part of a team that provides support and solutions globally, solves complex operational and business challenges, and enables innovation and growth by bridging Information Technology and science with outstanding technical expertise.Accountabilities:In this role, you will join the Customer Facing IT (CFIT) Team at the AstraZeneca Frederick Manufacturing Center, the largest biologics manufacturing facility within our global network. You will be encouraged to understand and prioritize business requirements from multiple collaborators, interpret these requirements for easy analysis and decision making, and provide insight & innovation to projects within your specialist area. You will also facilitate and lead design sessions with the business and implementation team to identify functional and technical requirements. Additionally, you will be responsible for defining project scope and goals for small projects that deliver or support delivery of effective solutions.Essential Skills/Experience: Bachelor's Degree 5+ years of demonstrable experienceDemonstrated experience of working with ERP Software (e.g. SAP) Previous experience working with global partners Demonstrable experience of successfully managing IT projects end to end, both waterfall and agile Demonstrable experience of working with complex coordinated systems Strong engagement, communication and customer management skills Experience of working in a regulated environment Experience of virtual teamwork to lead, shape and develop innovative solutions Experience of mentoring, coaching or developing others Experience of working with and managing third party suppliers/vendorsWhen we put unexpected teams in the same room, we unleash bold thinking with the power to inspire life-changing medicines. In-person working gives us the platform we need to connect, work at pace and challenge perceptions. That’s why we work, on average, a minimum of three days per week from the office. But that doesn't mean we’re not flexible. We balance the expectation of being in the office while respecting individual flexibility. Join us in our unique and ambitious world.Why AstraZeneca?At AstraZeneca, our work has a direct impact on patients. We combine cutting-edge science with leading digital technology platforms and data to develop life-changing medicines. We dare to lead, applying our problem-solving mindset to identify and tackle opportunities across the whole enterprise. We optimise and revolutionise AstraZeneca by improving efficiencies and finding new ways to drive productivity. We're part of a global company that's investing in a bold digital strategy; to become a truly data-led enterprise that disrupts the entire industry.Join us at a crucial stage of our journey in becoming a digital and data-led enterprise. Make the impossible possible by building partnerships and ecosystems, crafting new ways of working and driving scale and speed to deliver exponential growth. Focused and committed, and backed with the investment to succeed, we're driving cross-company change to disrupt the entire industry.Ready to make an impact? Apply now!
        ","
            Over 200 applicants
          ",Associate,Full-time,Information Technology,Pharmaceutical Manufacturing
Business Analyst,"TechnoGen, Inc.","Rockville, MD",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-technogen-inc-3891137486?position=10&pageNum=0&refId=cTy32Wch7B8K8u2OU7lmIw%3D%3D&trackingId=SpxIWTZWTtaSxBk1AoCUKw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Title: Business Analyst contract: Long term Location: Rockville, MD- RemoteResponsibilitiesFederal experience is strongly preferred.Business Process Analysis: Evaluate existing business processes within HRSA to identify inefficiencies, redundancies, and areas for improvement.Requirements Gathering: Collaborate with stakeholders to gather and document business requirements for new initiatives, system enhancements, and process improvements.Data Analysis: Analyze data related to HRSA programs, services, and operations to extract valuable insights and inform decision-making processes.System Integration: Work closely with IT teams to ensure seamless integration of business processes with existing systems and applications.Change Management: Assist in the development and implementation of change management strategies to facilitate the adoption of new processes and technologies.Documentation: Create and maintain documentation such as business process maps, requirements documents, and user manuals.Stakeholder Engagement: Collaborate with various stakeholders, including HRSA leadership, program managers, and IT professionals, to ensure alignment of business objectives and technical solutions.RequirementsBachelor's degree in Business Administration, Information Systems, or related field. Advanced degree preferred.Proven experience as a Business Analyst, preferably in HRSA, or a healthcare or government agency setting.Strong analytical skills with the ability to translate complex business requirements into actionable solutions.Proficiency in business process modeling techniques and tools.Experience with data analysis and visualization tools (e.g., SQL, Tableau, Power BI).Excellent communication and interpersonal skills, with the ability to effectively engage with stakeholders at all levels.Demonstrated ability to work independently and collaboratively in a fast-paced environment.Knowledge of healthcare regulations and policies, particularly in relation to HRSA programs, is a plus.Best Regards,Tajuddin MTalent Acquisition SpecialistPhone: 703-439-1031Email: tajuddin.m@technogeninc.com Web: www.technogeninc.com4229 Lafayette Center Dr, Suite 1880, Chantilly, VA 20151
        ","
          47 applicants
        ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
