title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,"ShiftCode Analytics, Inc.","Cambridge, MA",2024-04-28,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-shiftcode-analytics-inc-3913080052?position=1&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=YIozNAGkDEsNzdiAjTaY4A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Interview : VideoVisa : All apart from h1b and cptThis is hybrid from day-1DescriptionMy pharmaceutical client is looking for 2 Business Analysts to come into Cambridge, MA 2-3 times per week10 plus years of GXP BA experienceTechnical Business AnalystWork with data management and set up processes toward policies on how they manage and move data from one environment to anotherLab Business AnalystSupporting lab systems or lab equipment
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Information Technology & Services
BUSINESS ANALYST II,IDEMIA,"Bedford, MA",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/business-analyst-ii-at-idemia-3887472931?position=2&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=MKhKHKfoZq9LvDVHk2hokA%3D%3D&trk=public_jobs_jserp-result_search-card,"
RESPONSIBILITIES:PLEASE NOTE: **YOU MUST HAVE EXPERIENCE WITH MICROSOFT GP & LIVE IN THE BEDFORD, MA AREA**Collaborate with stakeholders to gather requirements for system enhancements and customizations.Ensure data integrity within the ERP system.Analyze existing business processes and workflows to identify areas for improvement.Recommend and implement process enhancements to maximize efficiency and productivity.Work closely with end-users to understand their needs and translate them into ERP system solutions.Provide technical support to end-users, troubleshooting issues, and resolving system-related problems.Develop and deliver training programs and materials to educate employees on ERP system usage and best practices.Create and maintain reports and dashboards to support data-driven decision-making.Perform data analysis to identify trends, anomalies, and opportunities for improvement.Collaborate with IT and other departments to integrate the ERP system with other business applications.Work with external vendors and consultants as needed for system integrations or specialized projects.Maintain comprehensive documentation of ERP system configurations, customizations, and processes.Ensure compliance with industry standards, regulations, and best practices in ERP system management.QUALIFICATIONS:Bachelor's degree in Computer Science, Information Technology, Business Administration, or a related field.Proven experience as an ERP Analyst or in a similar role, with a strong track record of successful ERP system implementations and support.Proficiency in Microsoft Dynamics GP ERP software and related modules.Proficiency with integration tools including SmartConnect and Integration Manager.Strong analytical and problem-solving skills, with the ability to analyze complex business processes and data.Excellent communication and interpersonal skills, with the ability to work collaboratively across teams.Experience with data analysis tools and reporting software Microsoft SQL and Power BI.Work with external vendors and consultants as needed for system integrations or specialized projects.Maintain comprehensive documentation of ERP system configurations, customizations, and processes.Ensure compliance with industry standards, regulations, and best practices in ERP system management.
","
            Over 200 applicants
          ",Associate,Full-time,Information Technology,Computer and Network Security
Business Analyst,Randstad Digital,"Boston, MA",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-randstad-digital-3892988282?position=3&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=gqWJv%2B1ocfffDJo7BFEwTQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Analyst - Property & Casualty Insurance (onsite in Boston MA)*Must be currently in New England***Must have 7+ years of Business Analysis experience in the Property & Casualty Insurance domain and be able to work onsite in Boston 4-5 days a week starting week 1 and interview onsite for final round**GENERAL DESCRIPTIONThe Senior Business Analyst is responsible for establishing and maintaining standards for systems analysis, requirements gathering, and project artifact development, standards for vendor management and responsible for the analysis of new business system development and improvement of existing business processes. The Senior Business Analyst is expected to work towards the goal of maximizing business value delivery through application development. The Senior Business Analyst is also in charge of partnering with senior business and IT leadership groups to assist in the prioritization of projects.ResponsibilitiesPerforming workflow analysis, creating workflow diagrams and making recommendations for procedural improvements – understanding and articulating “current state” and “future state” of various systemsPerforming and preparing Impact Analysis documentation with the help of the project teams for new systems or enhancements to existing systems·Working with various groups like Development, QA, UAT, Infrastructure support. etc., for a resource allocation plan for the IT Projects working with manager.
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology and Analyst,"Insurance and Technology, Information and Media"
Business Analyst 24-02965,Genesis10,"Wellesley, MA",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-analyst-24-02965-at-genesis10-3911223768?position=4&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=C7e5RoX3mY5R9ehHZbK5dQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Genesis10 is currently seeking a Business Analyst with our corporate investment banking company client in the Wellesley, MA location New York, NY location. This is a 6 month + contract position.Summary:Seeking a Business Analyst.Responsibilities:Support for client implementation programs related to Middle Office outsourcing, including cash reconciliation, portfolio accounting, trade support, corporate actions, develop and maintain project documents and/or product documentation related to these programs and complete research and analysis for management.Process analysis, creation and maintenance of documentation, continuous implementation planning statistics, and operations planning process, as well as any ad-hoc analyses.Facilitate technology projects from start to finish, including gathering/documenting requirements, communicating with development team, and overseeing/assisting with testing, implementation, and ongoing maintenance.Participate in daily stand-ups and scrum sessions with the development teams.Requirements:Bachelor's degree in related field and a minimum of 3-5 years' experience required.Past working experience in Investment Operations domain.Should be proficient in at least one Investment Operations domain (Data management, Trade management, Derivatives, IBOR, Data Delivery/Reporting)Experience with client onboarding projects for Investment Operations outsourcing.Ability to quickly learn and map business process to systems & capabilities.Perform business analysis activities such as requirements gathering, detailed data analysis, data mapping and testing while collaborating with business teams.Only candidates available and ready to work directly as Genesis10 employees will be considered for this position.Preferred skills:Oracle/SQL Skills.Pay rate range: $35.00 - $37.00 hourlyIf you have the described qualifications and are interested in this exciting opportunity, please apply!
","
            Over 200 applicants
          ",Associate,Contract,Analyst,Investment Banking
Business Analyst,Plymouth Rock Assurance,"Boston, MA",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-plymouth-rock-assurance-3904310973?position=5&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=6pY2rJl0aoOcwoE7deOkUg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Analyst The Business Analyst possesses a strong working knowledge of a SDM (System Development Methodology) process and is able to analyze systems and processes within the Personal/Commercial insurance environment. They develop detailed Functional Requirements and work directly with the development team to implement the requirements, system test with the development team, support QA team and User Acceptance testing and production deployments. They provide recommendations for enhancing system functionality and work flows to improve processes and identify and correct system issues.  Essential Functions and Responsibilities: functional requirements to include all information needed by the developers by translating business requirements into detailed system/IT requirements. Gather via interview, business requirement review and working sessions with business users the functional requirements needed. Assist in the development of business solutions in accordance with System Development Methodologyinput to the Development team managers in the creation of project plans, estimates and schedules.Assist the Project Manager in the preparation of the estimates needed for new systems or enhancements to existing systems.Adhere to the project’s time line and keep the Project Manager apprised of status, issues and progress.Work with business areas and QA team to prepare Use Cases and Test Cases, scheduling and facilitating walkthrough’s as needed. Obtain final sign off of the functional requirements by the business.Work with technical areas, Developers and QA to interpret Functional Requirements, scheduling and facilitating walk-throughs as needed.Participate in the preparation of Test Plans and as needed participate in the execution of Systems Testing in conjunction with the QA Testing Team to ensure Test Cases cover all functionality described in the Business Requirements and Use Cases.Triage and address systems Testing Results (as needed) to obtain Sign Off from the QA and UAT testing teams.Assist the QA and Business Team during System testing and User Acceptance Testing (UAT) by answering any questions, reviewing test director defects and determining if it is a true defect, or whether a change control is needed before assigning to development team. Communicate and resolve questions from QA about functional requirements and AI system changes. Prepare meeting agendas and minutes for Agency Interface hosted meetings.Keep all deliverables updated as changes occur using standard documentation rules.Develop reports and analyses using various query and/or other tools as needed.Monitor quality of production systems and resolve production related issues during check out and Post Deployment (as needed).Work with the Development Team in preparation of the Master Release Plan and post production testing.Perform research and analysis activities regarding production system issues including, but not limited to:Investigate and recommend system, policy and or procedural improvements.Perform systems analysis – understand and articulate full system flow processing for policy writing, billing, claims and financial systems.Performs ad hoc research projects.Research, coordinate and track problems to resolution. Qualifications & Education: 5+ years of experience as a Business Analyst within the Property/Casualty insurance industry.Bachelor's Degree.Experience in Microsoft applications. Knowledge of Full Story and Google Analytics is a plus.Ability to formulate a concept by documenting in systematic terms the needs/request of the business.Ability to effectively communicate technical information (both verbal and written) to a non-technical audience.Ability to successfully negotiate with all customers to obtain the most favorable outcome for all.Experience identifying options for potential solutions and assessing them for both technical and business suitability.Ability to create logical and innovative solutions to existing problems.Evaluate all project and stakeholder characteristics before deciding on appropriate deliverables and producing a time estimate.About the CompanyThe Plymouth Rock Company and its affiliated group of companies write and manage over $2 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,900 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.
","
            Over 200 applicants
          ",Not Applicable,Full-time,Information Technology,Insurance
Business Analyst,Tata Consultancy Services,"Boston, MA",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-tata-consultancy-services-3902789257?position=6&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=5tPjFW0tZf9%2BiftMGlKr5A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Skill: Business Analyst (Capital Markets)Experience in Business Analysis.Experience in Investment Banking Domain expertise.Experience in creating Test case scripts for regression/functional testing.Requirement Gathering, PPT, Project Plan, Diagrams, Documents: requirements/Tech spec/BSD).Experience documenting complex requirements in a BSD.Experience in Agile and JIRA story writing.Should have knowledge on SQL.
","
          148 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,Tata Consultancy Services,"Boston, MA",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-tata-consultancy-services-3902715328?position=7&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=lmghBy3wQrpnYp0sMzaZWg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Skill: Business Analyst (Capital Markets)Experience in Business Analysis.Experience in Investment Banking Domain expertise.Experience in creating Test case scripts for regression/functional testing.Requirement Gathering, PPT, Project Plan, Diagrams, Documents: requirements/Tech spec/BSD).Experience documenting complex requirements in a BSD.Development/AWS/UNIX skills.Development/Design experience.JIRA story writing.Should have knowledge on SQL.
","
          159 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,"RIT Solutions, Inc.","Reading, MA",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-rit-solutions-inc-3905926099?position=10&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=uhWRZlcn%2F1fGNP%2B13%2B1OVQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Remote.Rate: $55Client: Healthcare Domain.Visa: USC/ GC/ GC EAD.Our major Healthcare Solutions client is searching for a Business Analyst to join their team. This is a contract to hire opportunity.Top Skills/RequirementsUnderstand FACETSHealthcare domain knowledgeDocument requirements.Elicit for information from business.Communicate and document well.Strong collaboratorsResponsible for performing research and analysis to support business operations. Elicits, documents, develops, and tracks business and functional requirements to solve intermediate level business problems through enabling technology and/or improved business processes. Work completed would be focused on a specific business unit, process, or other focused solution context (domain) but may also involve working with technical partners to communicate business requirements.
        ","
          25 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst with Tableau,Info Way Solutions,"Boston, MA",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/business-analyst-with-tableau-at-info-way-solutions-3905169601?position=13&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=0aloKczaO531%2FwTRZSuK4w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Location: Austin, TX - HybridClient : State of TexasThe worker will work hybrid. Mon, Tues, Fri (Remote) and Wed, Thurs (On-Site)Job Description Reviews, analyzes, and evaluates business systems and user needs. Formulates systems to parallel overall business strategies. Experienced with business process reengineering and identifying new applications of technology to business problems to make business more effective. Familiar with industry standard business process mapping, and reengineering. Prepares solution options, risk identification, and financial analyses such as cost/benefit, ROI, buy/build, etc. Writes detailed description of user needs, program functions, and steps required to develop or modify computer programs. Additional job details and special considerations Must be able to work hybrid environment in-office and remote. Must be able to work in Agile environment. II. CANDIDATE SKILLS AND QUALIFICATIONS Minimum Requirements: Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity. Years Required/Preferred Experience 8 Required Strong experience developing Tableau dashboards and reports
        ","
          63 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Medical Equipment Manufacturing and Staffing and Recruiting
Business Analyst,KYYBA Inc,"Quincy, MA",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-kyyba-inc-3897765283?position=14&pageNum=0&refId=BBjjANdqlaRS4Ebf2xdRDg%3D%3D&trackingId=Vhfv0IiNNClqh3%2FSZggomQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
NA
","
          65 applicants
        ",Entry level,Other,"Research, Analyst, and Information Technology",Staffing and Recruiting
