title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst (Enrollment),AccumTech,"Ann Arbor, MI",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/business-analyst-enrollment-at-accumtech-3886079763?position=1&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=D5Mpdf4PZie5ZDaywAWGcA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          As a Business Analyst at AccumTech you will join a cross functional team in managing a sophisticated healthcare data integration system. You will work directly with customers and partners to become a subject matter expert on their processes, needs, and capabilities. You will help investigate and resolve issues in complex data processing systems, perform data analysis and quality assurance reviews, and collaborate with our internal software development, project, and operational teams to help design and implement system enhancements and features. You will also monitor and manage day to day system operations to help ensure that the system is running smoothly. The ideal candidate is an excellent communicator who has a love for taking on new challenges and working closely with teammates to solve complicated problems in an agile environment.ResponsibilitiesBecome a subject matter expert on customer requirements, data needs, and capabilitiesPerform in depth analysis on data files of varying formatsPerform research on ad hoc data being leveraged in current systemsDesign specifications for internal software tools and processes that will used to support customersPerform quality assurance and testing of new software and processesCreate system guidelines and manuals for the organizationQuickly and clearly share your knowledge and analysis with your teamRequirementsBachelor’s degree2+ years of experience in an IT related analyst roleAbility to think criticallyDemonstrated problem-solving capabilityExcellent written and verbal communication skillsDemonstrated capability to quickly learn custom software and business processesAbility to work under pressure and to tight deadlinesProficiency with Microsoft Office suiteDesire to work in a fast-paced environment and take on direct responsibility with a growing companyAbout AccumtechAccumTech is a small, but growing, software service company that is annually voted one of Crain’s Detroit Business Coolest Places to Work by our employees since 2019. Joining AccumTech will give you an opportunity to take on challenging projects in a fast-paced agile environment, take responsibility for the growth of your team, and play a key role in the success and growth of the company.AccumTech was founded in 2014 by experts in data management, pharmacy benefits, healthcare consulting and federal health regulations to assist key stakeholders in the integration of claims data between different consumers. We are based in Ann Arbor, Michigan and offer a competitive benefits package that includes health benefits, a competitive salary, paid time off, a 401K with employer match, and flexible scheduling.AccumTech does not provide Visa sponsorship.Powered by JazzHRiPdQXpVm78
        ","
          145 applicants
        ",Entry level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
Business Analyst,Beacon Hill,"Troy, MI",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-beacon-hill-3888074917?position=2&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=qNUb%2BRO0d5CcBLlk8Dw%2BBg%3D%3D&trk=public_jobs_jserp-result_search-card,"
As a Business Analyst working on software development projects, you will play a crucial role in bridging the gap between business needs and technical solutions. Your responsibilities will include:Requirements Gathering and AnalysisCollaborate with stakeholders (business users, product owners, developers) to understand their needs and translate them into clear and concise requirements.Conduct interviews, workshops, and document analysis to elicit detailed functional and non-functional requirements.Create user stories, use cases, process flows, and wireframes.DocumentationPrepare detailed requirement specifications, including business rules, data models, and acceptance criteria.Maintain accurate and up-to-date documentation throughout the project lifecycle.Project Planning:Assist in project planning by estimating effort, defining scope, and identifying risks.Work closely with project managers to ensure timely delivery of requirements.Communication:Act as a liaison between business stakeholders and development teams.Facilitate communication and collaboration among cross-functional teams.Quality Assurance:Validate that the delivered solution meets the specified requirements.Participate in user acceptance testing (UAT) and provide feedback.Process Improvement:Identify opportunities for process improvement within the software development lifecycle.Suggest enhancements to existing systems or processes.Qualifications:Bachelor's degree in Business Administration, Computer Science, or related field.Strong analytical skills with attention to detail.Excellent communication skills (both written and verbal).Familiarity with Agile methodologies (Scrum or Kanban).Experience with tools like JIRA, Confluence, or similar.Desired Skills:Experience working on software development projects (web applications, mobile apps, etc.).Knowledge of SQL databases and data modeling.Knowledge of mockup/prototype design tools such as FigmaBeacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.If you would like to complete our voluntary self-identification form, please click here or copy and paste the following link into an open window in your browser: https://jobs.beaconhillstaffing.com/eeoc/Completion of this form is voluntary and will not affect your opportunity for employment, or the terms or conditions of your employment. This form will be used for reporting purposes only and will be kept separate from all other records.Company Profile:Beacon Hill Technologies, a premier National Information Technology Staffing Group, provides world class technology talent across all industries utilizing a complete suite of staffing services.  Beacon Hill Technologies' dedicated team of recruiting and staffing experts consistently delivers quality IT professionals to solve our customers' technical and business needs. Beacon Hill Technologies covers a broad spectrum of IT positions, including Project Management and Business Analysis, Programming/Development, Database, Infrastructure, Quality Assurance, Production/Support and ERP roles.Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Life Sciences and Beacon Hill Technologies by visiting www.beaconhillstaffing.com. We look forward to working with you.Beacon Hill. Employing the Future™
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Business Analyst 5,"V-Soft Consulting Group, Inc.","Michigan, United States",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/business-analyst-5-at-v-soft-consulting-group-inc-3904257478?position=3&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=K4yrebCUZGRXKf1%2BRSojLg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Primary Location: Lansing, MichiganV-Soft Consulting is currently hiring for a Business Analyst 5 for our premier client in Lansing, Michigan.Education And Experience »BA candidates who have done business process re-engineering and assisted with requirements collections for RFPs.Experienced with business process reengineering and identifying new applications of technology to business problems to make business more effective. - 3 years of experienceFamiliar with industry standard (including Legacy, Core, and Emerging technologies), business process mapping, and reengineering. - 3 years of experienceExperience documenting requirements for RFP - 2 years of experience.Knowledge, Skills And Abilities »Has knowledge of commonly used concepts, practices, and procedures within a particular field.Familiar with relational database concepts, and client-server concepts.Ability to organize, evaluate, and present information effectively.Ability to analyze, synthesize, and evaluate a variety of data for use in program development and analysis.Experienced with business process reengineering and identifying new applications of technology to business problems to make business more effective.Familiar with industry standard (including Legacy, Core, and Emerging technologies), business process mapping, and reengineering.A certain degree of creativity and latitude is required.Other required skills are technologically savvy; strong training and technical assistance skills; excellent oral and written communication skills; and highly organized and detail oriented.Required skills in the use of all necessary software necessary to execute stated duties and responsibilities (includes the suite of Microsoft Office applications such as Word, Excel, PowerPoint, Outlook).Ability to meet competing deadlines.Strong data management skills.Experience in process improvement, project management, and data managementWhat You’ll DoJob Responsibilities:Work with IT and business project teams to understand reporting and data warehousing requirements and propose solutions.Document and provide knowledge transfer to the rest of the Enterprise Reporting Team for all solutions.Reviews, analyzes, and evaluates business systems and user needs.Formulates systems to parallel overall business strategies.Relies on limited experience and judgment to plan and accomplish goals.Performs a variety of tasks.Works under general supervision; typically reports to a project manager.Attends all BH CRM meetings as appropriate and assigned.Interested?Qualified candidates should send their resumes to ssoni@vsoftconsulting.comV-Soft Consulting Group is recognized among the top 100 fastest growing staffing companies in North America, V-Soft Consulting Group is headquartered in Louisville, KY with strategic locations in India, Canada and the U.S. V-Soft is known as an agile, innovative technology services company holding several awards and distinctions and has a wide variety of partnerships across diverse technology stacks.As a valued V-Soft Consultant, you’re eligible for full benefits (Medical, Dental, Vision), a 401(k) plan, competitive compensation and more. V-Soft is partnered with numerous Fortune 500 companies, exceptionally positioned to advance your career growth.V-Soft Consulting provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.For more information or to view all our open jobs, please visit www.vsoftconsulting.com or call (844) 425-8425.
","
          132 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Implementation Specialist/Business Analyst,Campfire Interactive,"Ann Arbor, MI",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/implementation-specialist-business-analyst-at-campfire-interactive-3893743772?position=4&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=yFQh6hEsW0oLKAXDUrFd8g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company DescriptionWhy Campfire? Campfire Interactive is a leader in cloud-based Opportunity Management & Sales Forecasting, Quote Lifecycle Management, and Program, Project & Issues Management. We work with many of the world’s largest automotive suppliers, an exciting industry facing big changes from electrification of vehicles to globally distributed supply chains. Rapid adoption of Campfire software has resulted in our company being named to the Inc. 5000 as one of America’s fastest growing companies.This is where YOU will impact the future of our business. Campfire’s unique, powerful, and cost-effective solution suite has kindled a growing base of happy customers around the world by bringing future and current revenues and costs under a single roof, with advanced functionality to create, analyze, and modify plans, optimize portfolios, and manage long-term profitability. Campfire’s technology sparks unprecedented insight into a company’s bottom line, which can unleash the freedom to focus on the decisions that matter most. Join our visionary tech company and talented and passionate team as we continue to develop such valuable systems.Job DescriptionAs a Program, Project and Issues Management (PPM) Implementation Specialist/Business Analyst you will be responsible for the design, development, maintenance, and enhancement of the configuration of Campfire’s PPM modules. This includes the following:Implementation, testing and training of Campfire productPrepare and demonstrate Campfire productGather and document customer requirements and help the technical team write technical specificationsSupport Campfire customers through phone and e-mailWork with the programming staff to come up with new ideas to enhance the productSuccessful Candidates Will DemonstrateAbility to work in a collaborative team environment while also being able to execute work independentlyAbility to problem-solve complex issues independently and with a teamAbility to meet project timelines and deadlines while producing high-quality workAbility to identify the big picture in all components of decision making using the top-down thinking approach.Eagerness to learn and the ability to adapt to company culture.Ability to establish and maintain effective working relationships with peers, project team members, and customersExcellent verbal and written communication abilityAbility to work in a fast-paced, start-up environmentAbility to perform mathematical tasks and to effectively solve given mathematical problemsQualificationsTechnical SkillsExpert knowledge in Microsoft Excel and PowerPoint and WordSupport development of business cases with the customer team, including solutions estimatesAssist the team with customer relationships as well as the project team and internal subject matter expertsCoordinate with internal team to input customer data into the application and train clients on how to use the softwareKnowledge of corporate accounting and financial reportingWork ExperienceAt least 2 years of experience in Financial Forecasting/Analysis or Cost Analysis roleExperience with automotive or general manufacturing processes and best practices (preferred)Educational ExperienceBachelor’s degree in information technology OR economics OR business OR accounting OR equivalentMaster’s degree in Applied Statistics, Business Analytics, or any Informatics field (preferred)Additional InformationCurrently, Campfire is working remotely to keep our employees safe and healthy! This individual might need to be in the office and able to meet with our customers if necessary.All your information will be kept confidential according to EEO guidelines.We do not accept unsolicited 3rd party resumes.Contact person: Daniel Meyer, Campfire Interactive, Inc., 2211 Old Earhart Road, Suite 175, Ann Arbor, MI 48105
        ","
          147 applicants
        ",Not Applicable,Full-time,Information Technology,Software Development
Associate Business Analyst,Streamline Healthcare Solutions,"Kalamazoo, MI",2024-03-30,On-site,,https://www.linkedin.com/jobs/view/associate-business-analyst-at-streamline-healthcare-solutions-3908671289?position=5&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=dMm%2FijHriBsV5hV1Z2ZK%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          JOB TITLE: Associate Business AnalystSUMMARY: The Associate Business Analyst is responsible for day to day interactions with the customer and the project team during software implementations.ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.Setup of customer environmentTracking customer issuesSystem TestingWorking with technical team to resolve any issuesAssist with customer trainingQUALIFICATION REQUIREMENTS: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Bachelor's degree (B.A.) from four-year college or university in a related field; or two to four years related experience and/or training; or equivalent combination of education and experienceExperience with Electronic Health RecordsSense of urgencyAbility to prioritize work and daily tasksOutstanding work ethic, drive, motivation and commitment to quality resultsIf interested in this opening - Apply through Clear Company using the Jobs Portal link on the Streamline Careers page https://streamlinehealthcare.com/careers/
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Strategy/Planning and Information Technology,Software Development
Business Analyst,Pan Asia Resources,"Lansing, MI",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-pan-asia-resources-3905167732?position=6&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=ErUfgBxTgNlPCGE62WwiDg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Role: Business AnalystInterviews: MS Teams video interview with camera ON.Duration: 1 year with possible extensionLocation: Lansing, MI. Hybrid Role with 2 days onsite from day 1 - Flexible days on site.Top Skills & Years Of Experience RequiredClear and concise communication skills required.Experienced with business process reengineering and identifying new applications of technology to business problems to make business more effective. - 3 years of experienceFamiliar with industry standard (including Legacy, Core, and Emerging technologies), business process mapping, and reengineering. - 3 years of experienceExperience documenting requirements for RFP - 2 years of experience.BA candidates who have done business process re-engineering and assisted with requirements collections for RFPs.
        ","
          54 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst 3,"V-Soft Consulting Group, Inc.","Dimondale, MI",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/business-analyst-3-at-v-soft-consulting-group-inc-3897731786?position=7&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=xk2u7aWN3Wd5mNMAwhhYVA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Primary Location: Dimondale, MichiganHybrid positionV-Soft Consulting is currently hiring for a Business Analyst 3 for our premier client in Dimondale, Michigan.Education And Experience »Top Skills & Years of Experience:3+ Years recent professional Business Analyst experience.Experience developing and managing documentation including workflow charts, system capabilities, specifications, etc.Experience with MS SharePoint, SharePoint Administration, Visio, Azure DevOps.Experience with Power BI strongly desired.What You’ll DoJob Responsibilities:Create informative, actionable, and repeatable technical and business reporting that highlights relevant trends and opportunities for improvement. Make recommendations and design modification. Develops and maintains working knowledge of the Work Area business needs, priorities, supporting IT systems, and data management so their role as the liaison with partners can provide analysis considering the needs of the Work Area, as well as to provide guidance related to competing priorities and cross-agency impacts.Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats. Reviews, analyzes, and evaluates business systems and user needs. Has knowledge of commonly used concepts, practices, and procedures within the field of IT and Security. Relies on experience and judgment to plan and accomplish goals. Performs a variety of tasks. Works under general supervision. A certain degree of creativity and latitude is required.Construct workflow charts and diagrams; studying system capabilities; writing specifications. Develop and manage documentation. Conduct and coordinate financial, product, market, operational and related research to support strategic and business planning within the various departments and programs within DTMB-CIP.Define project requirements by identifying project milestones, phases, and elements, establishing project budget. Monitor project progress by tracking activity; resolving problems; publishing progress reports; recommending actions.Interested?Qualified candidates should send their resumes to ssoni@vsoftconsulting.comV-Soft Consulting Group is recognized among the top 100 fastest growing staffing companies in North America, V-Soft Consulting Group is headquartered in Louisville, KY with strategic locations in India, Canada and the U.S. V-Soft is known as an agile, innovative technology services company holding several awards and distinctions and has a wide variety of partnerships across diverse technology stacks.As a valued V-Soft Consultant, you’re eligible for full benefits (Medical, Dental, Vision), a 401(k) plan, competitive compensation and more. V-Soft is partnered with numerous Fortune 500 companies, exceptionally positioned to advance your career growth.V-Soft Consulting provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.For more information or to view all our open jobs, please visit www.vsoftconsulting.com or call (844) 425-8425.
","
          135 applicants
        ",Executive,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst II,ICONMA,"Detroit, MI",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/business-analyst-ii-at-iconma-3889599614?position=8&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=QOgXPoh0O29IH4RaAFqp6A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Analyst II  Location: Detroit, MI/HybridDuration: 7 monthsDescription: The Analyst will assist with overseeing the expense report process, as well as support the Customer Service team with Travel & Entertainment inquiries, work collaboratively with our offshore team and assist with monthly reporting. This role will also be responsible for identifying and recommending expense and travel system enhancements for an improved employee experience. Support the T&E programs for Client - US & CanadaAssist with level two escalation issues related to travel & expense, travel arrangements and meetings & eventsAssist Customer Service with expense delinquency and escalations processEscalate policy concerns and violations as necessaryAudits compliance with policies & ongoing integrity of corporate card programsGenerate business line management reports & provide program data as neededAssist Customer Service with Accounts Payable and other Payment Services related questions Performs other related duties as assignedSkill/Experience/Education Mandatory Skills Bachelor’s Degree or equivalent work experience required. Advanced experience with Microsoft Office Suite required. Ability to organize data, perform independent analysis and exercise effective problem-solving skillsDesired Skills 1+ years of Travel and Entertainment or AP experience strongly preferred. Knowledge of the Coupa Expense Reporting system or Concur Accounting knowledge and use of a general ledger system. Strong written and verbal communication skills with an ability to communicate effectively across business levels (both vertically and horizontally)Skill Name Level Years Mandatory(Yes/No) Exceptional Microsoft Excel skills 4 4-5 Years YesJob Description VLOOKUP, formulas, metricsEmployee expense reporting 4 4-5 Years YesJob Description understanding policy and procedureSalesforce 3 4-5 Years YesJob Description basic understanding as end userBA -Shared Services Weekly reporting - MS Office Excel - VLOOKUPS; Excellent communication and customer service skills - able to interpret corporate policy, resolve disputes and come up with create solutions within the guidelines; Assist in overseeing corporate credit cards - issuance and reporting; Self-motivated - independent worker - own issues and see them through to conclusion, organized and detail oriented; take initiative and work well collaboratively.As an equal opportunity employer, ICONMA prides itself on creating an employment environment that supports and encourages the abilities of all persons regardless of race, color, gender, age, sexual orientation, citizenship, or disability.
","
          106 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst,Clarivate,"Ann Arbor, MI",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-clarivate-3895553983?position=9&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=1CD77bpbIQQXEY0%2FPTKH1g%3D%3D&trk=public_jobs_jserp-result_search-card,"
          We are excited to bring on a new Business Analyst to join our growing team at Clarivate / ProQuest! This is an opportunity to work in a client facing role. You will get you help our client out from a data perspective. We are looking for someone who is an advanced expert in Excel. You should be able to manipulate data, create charts, and generate meaningful insight, and capable of generating reports. If this sounds like an opportunity you are interested in, then we would love to talk to you!About You – Experience, Education, Skills, And AccomplishmentsBachelor’s degree or equivalent, relevant work experience2 years of Finance, Accounting or similar experienceWhat will you be doing in this role?...Gather and analyze cross functional data elementsCreate a structure for data elements to support large complex projectsWork with stakeholders to ensure requirements are metDevelop and execute regular reporting including pricing analysisRapidly respond to ad hoc reportingTroubleshoot and resolve issuesAbout The TeamYou’ll be working with a great group of internal and external partners working on small company pace with big company backing. You’ll work with industry leaders and experts who know the customers and advocate for them relentlessly. You’ll jump into an inclusive environment keen to hear your ideas and help move them to completion, coordinating both creativity and speed to make results happen. This team is people you’ll find easy to respect and who will respect your contributions.Hours of WorkFull time, permanent Although duties are typically performed during normal business hours, occasional off-hours may be required Hybrid position in Ann Arbor (2-3 days a week in the office) Clarivate is an Equal Opportunity Employer Vets/Minorities/Women/Disabled
        ","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","IT Services and IT Consulting, Pharmaceutical Manufacturing, and Information Services"
eCommerce Business Analyst,CQL,"Ann Arbor, MI",2024-04-28,On-site,,https://www.linkedin.com/jobs/view/ecommerce-business-analyst-at-cql-3911101915?position=10&pageNum=0&refId=ow0LfO0ROlY3SKZUVgmSKA%3D%3D&trackingId=lrYaAx1%2BeXv0n3cEowG%2BQw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          We are only hiring individuals within the US.Our Code CQL connects some of the most well-known brands with the people who love them. We are a group of authentic individuals that value forward thinking, learning, and a strong dedication to craft. Our individual passions range from scuba diving to DnD but our goal has never changed, to help make technology simple and the commerce experience compelling. We embrace diversity and equity in a serious way. We are proud and committed to building a culture with a variety of backgrounds, skills, and views. Differences are valued. Be yourself. We like it that way.Salary $80,000 - $130,000About the job The eCommerce Business Analyst is a key player in the Discovery, Design, and Build phases of our projects. This role acts as a lead on projects with responsibilities that include the following: Facilitating the project discovery process through workshops and defining client requirements and scope Assisting in project scope estimation. Working closely with the design team to determine best practices and project scope for the various eCommerce platforms Outlining the work necessary to fulfill the client’s requirements and expectations through the use of User Stories and Tasks Driving projects forward through continuous engagement with both internal and client-facing teams As an integral component in the planning and execution of platform requirements, integrations, migrations, and data planning, the BA will create documentation, define roadmaps, and assist with project planning, prior to working with the development team on the expectations of new builds. Qualifications 3+ years of experience in major eCommerce projects, writing User Stories and Technical and Functional Specification Documents at the feature level is required Working knowledge of Cloud Platforms such as Version Control Systems (Git), CI/CD (GitHub Actions, Azure DevOps, Jenkins, Bamboo), Gulp, Jira, GitHub, and Bitbucket Experience working with eCommerce platforms and knowledge of the workflows associated with eCommerce as a whole, specifically Salesforce Commerce Cloud, Shopify, or BigCommerce. Experience working in Agile development environments; utilizing Scrum principles to execute projects. Agency experience - Experience working in a digital agency serving retail and/or other brands Previous experience working with enterprise-level clients in a Pre-Sales, Business Analyst or Solution Engineering capacity Excellent speaking and presentations skills and experience both in-person and over-the-web Superb writing skills and confidence with both internal and external communications Strong time management skills, allowing for multiple projects and sales cycles to run in parallel Creative attitude and the ability to think “outside of the box” with a desire to develop solutions for enterprise-level customers Business acumen with experience transforming business process to attain business goals of our customers You Will Partner with the sales team during the discovery process to align with business goals and determine what areas need further review and additional understanding Outline missing requirements and expectations from the client and run workshops that assist in closing these gaps for a more robust understanding of the project as a whole Assist in creating additional documentation that outline the technical approach of the project and any estimates that may have been modified via output of the discovery sessions Establishing technical credibility and professional rapport with Client and Client account partners through product demonstrations and technical discovery calls Determining the optimal and most cost-effective solutions Providing cost and timeline estimates to clients and stakeholders Validate and verify that requirements have been properly mapped to actual business needs, have been approved by relevant stakeholders, and meet quality standards Create new solutions using out-of-the-box thinking to enable Client's business initiatives to be realized Routinely engage with sales and development teams to provide product and Client feedback and find opportunities to further improve our products, sales/implementation processes, and overall customer experience Identify and apply internal resources (Account Executives, Solutions Engineers, etc.) to build roadmaps, assist in sales cycles, and close business dealsWhat we bring Medical, dental, and vision benefits as well as an HSA Simple IRA with 3% matching Maternal and paternal leave, including leave for fostering and adoption Flexible work schedule and paid time off so you can live your life Recognition - it’s routine and encouraged Shop Talks - peers present on their passions to teach and grow others Mentorships Certification trainings and conferences Remote Happy Hour, Coffee Chats, and the occasional cooking class Offices are dog-friendly (and occasionally cat-friendly, too)ThirdParty ResumesCQL does not accept unsolicited resumes from third-party recruiters unless they arecontractually engaged by CQL to provide candidates for a specified opening. Any such employment agency, person or entity that submits an unsolicited resume does so with the acknowledgement and agreement that CQL will have the right to hire that applicant at its discretion without any fee owed to the submitting employment agency, person or entity. Powered by JazzHR
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet"
