title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Senior Business Analyst,HatchPros,"St Cloud, MN",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-hatchpros-3902754087?position=1&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=m5jn%2B3T9EwCyECqr03Og%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Onsite five days a weekneed local profiles need Linkedin need W2 candidates USC and GC only Onsite in St CloudTRUE BA, someone who has a “tech” background/knowledge and mindset ( think BSA)Someone who gets into the weeds, questions the data, thinks outside the box, finds alternative ways to achieve a positive outcomeThis person would need to Lead a conversation, be methodical, get into the weeks, not only understand the role but how to work through the problems, someone who can align between software development and business requirements.Helping to direct the stakeholders, building a trusting relationship, simplifying the process so they understand.Be able to interpret accurate results.Culture is very important, race doesn’t matter, communication, kindness and someone who really wants to be part of a “family”.Work In office in St CloudTo understand business requirements from multiple stakeholders and prioritize them.Interpret business requirements and simplify them for easy analysis of top management to make strategic business decisions. Create solutions based on the requirements identified, create change management proposals, and work towards achieving the organization's long-term goals. Review specifications for required change management, while efficiently organizing business needs.Work in close collaboration with the Technical Architect and Development team to ensure the team understands the requirements. Facilitating the right design sessions with the project implementation team. Delivering the correct elements of system design, business rules, and other relevant deliverables. Pull information from multiple sources from within the organization while analyzing and reporting the relevant data trends for informed decision making. Breaking down the technical and architectural requirements so that the entire team understands the infrastructure and technical requirements. Actively involved in capturing new business requirements and communicating them with the development team. Directly communicates with the relevant stakeholders and is responsible for transferring this knowledge to the project development teams. Helping management envision future needs among changing business processes and models. Prashant RaghuvanshiPrincipal Recruitment Executive655 Mohican Dr. Easton, PA 18040LinkedIn
","
          65 applicants
        ",Associate,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,Nmble,"St Paul, MN",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-nmble-3842333177?position=2&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=zq0aalhc0vIg94E3RsYxcQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our client is looking for a Business Analyst to support their team and conduct profitability research and market trends. The ideal candidate will have experience in competitive analysis, market research and strong analytical skills. Key Requirements: Experience as a BA or similar working within competitive analysis and market researchData Focused: Ability to learn from data and advise accordingly Bachelor degree requiredTravel: This is an onsite position
","
            Over 200 applicants
          ",Associate,Full-time,"Finance, Project Management, and Analyst","Appliances, Electrical, and Electronics Manufacturing and Manufacturing"
Business Operations Analyst,Red Bull,"Minneapolis, MN",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-operations-analyst-at-red-bull-3907955959?position=3&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=thNGGanq%2BlEGIYcTxvNloA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Business Operations Analyst (Defensive Line) will provide strategic analysis and mission-critical project management at a regional leadership level. You will require leadership in the development and implementation of high impact projects across all departments, ensuring alignment of deliverables and allocation of resources. You will develop relationships across all levels and local geographies to monitor and maintain the cultural pulse of the region. We ask that you have both strategic framing and project execution..Areas that play to your strengthsAll the responsibilities we'll trust you with:STRATEGIC PLANNING & ANALYSISDevelop and improve KPI tracking and business metric dashboards. Evaluate proper utilization and allocation of resources across business segments and functions and provide solutions. Engage & secure leadership partnerships both internally and externally. Provide thorough analyses of business goals; identify helpful and harmful factors contributing to their success. Develop scorecards, trackers, tools, and reports that assist the regional leadership team (Marketing, On Premise, and Distribution) in assessing regional performance. Evaluate proper utilization and allocation of resources across business segments and recommend solutions to increase efficiency. Identify and coordinate critical, innovative projects with functional teams to close opportunity gaps and execute trial programs to test strategic direction quickly. Provide qualitative analytic support on projects requiring financial or data analysis. Support the General Manager in building and driving the regional Talent plan.BUSINESS PROCESS IMPROVEMENTDrive collaboration and support high performance at the regional leadership level. Work collaboratively with department leads to evaluate & optimize current business & role processes and provide recommendations to leadership on improvements, automation, or new capability opportunities. Develop improvements to regional projects and annual business planning process to increase focus, efficiency, accountability and empowerment in the field and ensure alignment across all levels of the region. Assist in identifying performance gaps across the regional business and provide solutions to close gaps that increase efficiency and business impact. Provide strategic analysis and mission critical project management at leadership level.PROJECT MANAGEMENTProvide leadership and support from project development to implementation including business case proposals, budgeting, scheduling, forecasting, executing, and reporting results. Partner with project leaders to effectively manage documentation and tracking of project milestones, schedules, and resource needs. Develop, enhance, and monitor project management methodologies ensuring that a streamlined process exists, and ensure that projects are implemented and successfully delivered to meet standards and requirements. Build relationships across all levels and geographies to monitor the cultural health and pulse of the business unit and make recommendations based on those assessments.Your areas of knowledge and expertisethat matter most for this role:1-3 years experience in an analytical and/or project management role (recent grads considered)Bachelor’s Degree in Business, Marketing, Finance, or related field strongly preferredStrong project management skillsUnderstanding of P&L, business drivers, and interactionsAnalytic and business acumen – reflected in successful project completionFast learner – ability to quickly learn new skills integrate various approachesUnderstanding of business insights and category management principlesAdept at facilitating meetings and communicationsHighly collaborative with ability to work with executives across multiple functionsAdvanced skills with Microsoft Office Suite (Excel, Word, PowerPoint)Our current Benefits include:Comprehensive Medical, Dental and Vision Plans, 401k Match, Family Leave, PTO & Paid Holiday Schedule, Pet, Legal, and Life Insurance, Tuition Reimbursement (Benefits listed may vary depending on the nature of your employment and/or work location)Red Bull North America, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, age, or any other classification protected by Federal, state, or local law.
        ","
          109 applicants
        ",Associate,Full-time,Administrative,Food and Beverage Services
Business Analyst/ Technical Product Owner,Concord,"Minneapolis, MN",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/business-analyst-technical-product-owner-at-concord-3822595287?position=4&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=BDnU%2Boy3o7TbqV%2FQSoZQEw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Concord isn't your typical consulting firm; we are an execution company with a passion for making things happen. Our mission is to help clients enhance customer experiences, optimize operations, and revolutionize their product offerings through seamless integration, optimization, and activation of technology and data. We are looking to add a Business Analyst/ Technical Product Owner to our team.This Business Analyst/TPO role will be focused on analyzing business operations and working with business stakeholders and application developers to define, document and communicate application requirements, functional development strategy, and priority. The Business Analyst will have excellent written and verbal communication skills and be able to understand and describe complex business processes.Responsibilities Work with Business Stakeholders to understand business processes and procedures Become a subject matter expert in how existing software applications support current business processes Lead reviews of existing business processes and develop strategies for improvement Conducting meetings and presentations to share ideas and findings Effectively document and communicate the results of your efforts Work with internal development team and vendor-based application teams to define application enhancementsSkills And Qualifications Strong communication skills and proficiency in working with technical stakeholders, end users and business stakeholders Experience using tools and techniques to visualize data in easy-to-understand formats, such as diagrams and graphs Hybrid role on-site in AtlantaMore than just a consulting firm, Concord is an execution company helping clients enhance customer experience, optimize operations, and differentiate product offerings. From digital transformation and legacy modernization to domain-driven design, we deliver real solutions for the problems our clients face. Join one of the fastest growing consulting firms in the Midwest!Our core capabilities work together to help companies untangle their toughest business and technology challenges: Business Strategy & Alignment, Digital & User Experience, Cloud Applications & Integration, Data Solutions & Analytics, Quality Engineering, and Information Security.
        ","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,Lucas James Talent Partners,"Eagan, MN",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-lucas-james-talent-partners-3878191769?position=5&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=E2fA8Xu7UvWZ4pwnefWTCw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Summary:TempWorks Software, an industry leader in integrated front and back office software solutions for staffing agencies is seeking an experienced Business Analyst to help deliver valuable software to our clients and end-users while aligning to the company’s strategic business objectives. The Business Analyst is responsible for research, analysis, refining and prioritizing scope, and writing detailed requirements for new products and product improvements throughout the TempWorks’ suite of products.General Responsibilities:Refine and prioritize high level business scope for strategic software development projects.Perform research and analysis and engage with internal and external stakeholders to elicit business requirements.Create features that align to the project scope, documenting detailed requirements and acceptance criteria on user stories.Develop and maintain process models, workflow diagrams, and other visual representations to illustrate current and proposed business processes.Collaborate with cross-functional teams across disciplines including Product, UX, Architecture, Engineering, and Quality Assurance.Manage and prioritize the development team’s product backlog and work with the team to refine user stories through backlog refinement.Participate in team sprint ceremonies including planning, daily stand-ups, and sprint reviews.Act as the liaison between development and internal/external stakeholders.Perform internal knowledge transfers and product demonstrations to internal company trainers.During active development, review completed work to validate business requirements have been met.Maintain an understanding of our products, client business processes, and industry standards.Other related duties as assigned.Required Skills and Abilities:Effective research and analysis skills.Ability to translate technical information to a non-technical audience.Succinct verbal and written communication skills.Interpersonal skills and the ability to work collaboratively with various cross-functional roles.Organized with a high attention to detail.Ability to work independently in a fast-paced, agile environment.Demonstrated knowledge of scrum and business analyst best practices.Self-starter and creative problem solver with strategic thinking skills.Education and Experience:Bachelor's degree within a related field preferred or remarkable experience in lieu of a degree.3+ years of experience as a Business Analyst, Product Analyst, or similar role within an enterprise software company.Experience in documenting user stories, use cases, and business requirements for B2B applications.Knowledge of the Software Development Life Cycle within a Software as a Service (SaaS) organization.Physical Requirements:Prolonged periods sitting at desk and working on a computer.Must be able to lift up to 10 pounds at times.
","
            Over 200 applicants
          ",Associate,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Senior Business Analyst,"ShiftCode Analytics, Inc.","Minneapolis, MN",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-shiftcode-analytics-inc-3910131119?position=6&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=YidFohKsUL6NflO38OPaSw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          SENIOR BUSINESS ANALYST12 MONTHS CONTRACT + 24 MONTHS EXTMINNEAPOLIS, MINNESOTANEED LOCAL PROFILES ONLYHYBRID (2 DAYS/WEEK)VISA- NO CPT/H1BIntroClient is currently seeking highly skilled and experienced Senior Business Analysts for their Wealth Management Technology Solutions department. The ideal candidate will have a strong background in Wealth Management and Banking/Financial sectors, with a particularly desired skill in Client.Job DetailsThe successful candidates will be responsible for a variety of roles, including planning and executing UAT projects, managing and supporting requirement changes throughout the project lifecycle, and facilitating sessions to identify possible solutions. In addition, they will also handle test preparation, write test scripts for UAT testing, and walk stakeholders through the process. This role also includes a hybrid BA/BSA role, a BA Process Analyst role, and a Combo BA/Conversion Analyst role.Mandatory Skills 10+ years Business Analyst experience 5+ years Banking/Financial Business Analyst experience Strong background in Wealth Management Strong communication skills, both written and spoken Ability to manage and support requirement changes throughout the course of the project Experience in test preparation and executionDesired Skills Background in Client Experience in planning and executing UAT projects Experience in a hybrid BA/BSA role, a BA Process Analyst role, and a Combo BA/Conversion Analyst role Strong problem-solving skills Ability to work well in a team
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Accounting and Business Consulting and Services
ETIPS - Business Analyst,Futran Solutions,"Minneapolis, MN",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/etips-business-analyst-at-futran-solutions-3888420938?position=7&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=aLN%2BXI4RcNkxJVzA3dCBjA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Primary ResponsibilitiesCollaborate with business and technical stakeholders (e.g., business owners, process owners, domain experts) to identify specific business requirements. Perform reviews with all stakeholders to obtain approval/signoff of project requirements documents (e.g., demos & walkthroughs).Write technical specifications based on conceptual design and stated business requirementsParticipate in software design meetings and analyze user needs to determine technical requirementsDesign, document, test, and debug new and existing software products (cloud and/or in-house)Play a key role in the futures of products by working closely with product management and other stakeholders to aid solution developmentConsult with business users to prototype, refine, test, and debug programs to meet needsIdentify opportunities for process improvement and effectively present them to decision makersUpdate progress to project schedule to track/measure fulfillment of aligned tasks.Perform other duties and responsibilities as required, assigned, or requestedDemonstrate excellent time management skills and the ability to prioritize work in a highly dynamic environmentRequired (Must Haves) QualificationsAbility to communicate between business customers, business analysts, systems analysts, and IT software engineersCustomer facing experience (Including, but not limited to, status updates and navigating complex/sensitive scenarios)Experience capturing requirements, documenting system/process changes, and/or design/thinkingGood at problem solving, critical thinking, and outside the box solutioningSolid oral and written communication and presentation skillsExperience managing/delivering performant, scalable, and flexible software solutionsPrior experience with Agile practices such as Kanban or Scrum Self-starter and self-managed, with eagerness to learn new technologiesQualificationsAdditional (Nice to have) Qualifications in order of preference:Experience with SQL and/or Oracle queriesExperience with user personas, journey mapping as it relates to developing system UI designExperience in Financial/Payment Services domainExperience with vended solutions, such as SAP Concur platformWorking with and integrating APIs (SOAP / REST)Experience in Healthcare industry
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,Information Technology & Services
Business Analyst II,RiverSource,"Minneapolis, MN",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/business-analyst-ii-at-riversource-3909590136?position=8&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=08%2BMANt8zcpK2F00ISEsyA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Provide support by performing analysis and reporting, to provide recommendations for the business. Identify process improvements, adjustments, and opportunities using machine learning (ML) and data analysis. Provide data engineering expertise for projects, which may involve developing solutions for problems within the business. Resolve problems or issues through methods of trouble shooting and separate analysis. Using sound information and theory, provide management with recommended actions to resolve issues or build value for the business. Capture documentation of ML model development and use.Key ResponsibilitiesUsing data from a variety of sources, analyze complex business issues, incorporating mathematical and technological expertise, and sound analytical processes. Statistical analysis, modeling, & other quantitative techniques are used to answer business questions, identify issues and/or recommend courses of action in the course of analysis.Use data lake to build actionable insights through intuitive visualizations, redefining data analytics to drive innovative solutions, tell the story, and guide leaders in making data-driven decisions.This position will craft reporting solutions to meet business objectives, including auditing tools and automations by working with internal and external partners.Lead multiple relationships across the organization, and at times with external partners. Be the main point of contact to answer questions within business analyst area of expertise. Act as liaison among business leaders, staff, and utility functions to gather information and share standard methodologies, and to ensure initiatives are implemented appropriately.Provide and review reports of quantitative and qualitative data produced both internally and externally to the company. Ensure accuracy and appropriate report design. Be responsible for resolution to reporting issues as they arise. Reports may be of a routine nature or may be requested or run on an ad-hoc basis as part of a larger project or special business concern.Present results of analysis and/or recommendations to business managers, and partners. Communicate action plans and priorities to appropriate partners. Required QualificationsBachelor’s degree or equivalent experience3 - 5 years of relevant experience Positive relationship and communication skills in working with colleagues and influencing others on recommendations and analysis.Ability to synthesize large quantities of information, build linkages, and express complex concepts in a concise and audience-relevant manner.Experience in visualization tools such as Power BI, Tableau, AWS QuickSight.Ability to thrive in rapidly changing environment - proactive, flexible and able to handle and prioritize multiple projects simultaneously.Strong analytical, quantitative, and problem-solving skills and ability to use statistical analysis and modeling, with associated technology applications.Develop solutions for complex problems for the business unit. Identify and recommend changes to policies, procedures, and models.Experience with data engineering and ML model creationPreferred QualificationsBachelor’s degree in MIS, Business, Mathematics, Economics, Data Science, or computer programming.Ability to build PowerPoint presentations and dashboards for senior leadership.Experience with one or more Business Intelligence and Data Mining Tools desired (e, g, SQL, python etc.)Experience with Dataiku, Azure, AWS Data Lake, AWS Quicksight, and/or SageMaker, or other ML tools.Strong focus on qualitative and quantitative data analysis including statistical techniques, general data analysis, and trend analysis among others.Ability to quickly grasp and articulate the essence of complex issues/data; adept at operating with both high-level concepts and detailed analysis.Excellent storytelling, facilitation, communication, and presentation skills.Ability to build content for presentation to senior and executive level leadership.Ability to effectively lead organizational change activities in customer and employee behavior.Shown ability to successfully collaborate with others, initiate action, and adapt to change.About Our CompanyWe’re a diversified financial services leader with more than $1 trillion in assets under management and administration. Our team of 20,000 people in more than 20 countries advise, manage and protect the assets and income of more than 2 million individual, small business and institutional clients. We are a long-standing leader in financial planning and advice, a global asset manager and an insurer. Our unwavering focus on our clients and strong financial foundation connects each of our unique businesses - Ameriprise Financial Services, Columbia Threadneedle Investments and RiverSource Insurance and Annuities. Here, we foster meaningful careers, invest in the future, and make a difference for clients, institutions and communities around the world.Ameriprise Financial is an equal opportunity employer. We consider all qualified applicants without regard to race, color, religion, sex, national origin, genetic information, age, sexual orientation, citizenship, gender identity, disability, veteran status, marital status, family status or any other basis prohibited by law.Full-Time/Part-TimeFull timeExempt/Non-ExemptExemptJob Family GroupBusiness Support & OperationsLine of BusinessINSUR Insurance
        ","
          50 applicants
        ",Mid-Senior level,Full-time,General Business,Financial Services
RPA Business Analyst,IT Minds LLC,"Minneapolis, MN",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/rpa-business-analyst-at-it-minds-llc-3888447882?position=9&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=CrmGSjeJF%2FzBX2rH8gvSZg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          My name is Saikiran, Talent Acquisition Specialist with IT Minds LLCRole: Business Analyst with RPAJob Location: Minneapolis, MA REMOTEJob Specs10-12 years of experience with minimum 6 years of Business Analysis experienceQualification: Bachelor in Engineering/ B.E /B. Tech or required equivalent. Master's degree is preferred but not mandatoryGeneralWork closely with client SMEs to drive the automation process discovery including guiding business team, identification of automation opportunities, process analysis, benefit analysis, providing walk through to the development team and provide clarifications on need basis.Experience In Handling RPA Projects Is MandatoryServe as a project driver and executer for various initiatives, working with program lead, technology, support, and customers of the platform as appropriateAssist in ensuring that Automation CoE team meets deliverables and makes decisions on timeSound knowledge of technology in terms of databases, API's, client server architecture, software design tools and business process models.Working with Program Management teams to build and maintain feature-level product roadmap/pipelineMitigating impediments that may impact successful team completion of release/sprint goals.Communicates with internal stakeholders to ensure teams are driving toward the necessary tactical and/or strategic solution to meet customer needs, communication status and buffers team from potential distractionsRepresent Automation CoE interests and perspective in cross-company project teamsBuild positive relationships at multiple levels with key business partners, act as advocate for Automation CoE throughout the organizationCreation of product backlog according to business valueCrafting drafts of epics and stories to seed product backlog to begin the refinement processExperience with Automation Platform and RPA tools like AA, UiPath, Blue prism, Python, scripting based or other source control and defect tracking tools.DeliveryFacilitate Program Increment (PI), sprint planning and daily stand-ups.Actively participate in Business Process Improvement workshops conducted by customers to identify process issues and standardize process prior to automationDrive requirements definition, lead solutions discussion and planning best practices to solve tough problemsPerform deliverable reviews against acceptance criteriaEnsure CoE standards, best practices, stage gates and controls are automated, implemented and followed using platform capabilitiesTo design and review To-Be processes based on knowledge of Automation tool capabilities, working with the technical team to arrive at optimal solutions.Oversee the implementation team and solution, which is managing E2E delivery and be the client SPOCPrimary SkillsExcellent consultative, listening, communication, and analytical skills; you can optimally and regularly lead, facilitate, and drive individual and group meetingsStrong analytical, technical, and problem-solving skills are detail-oriented, and able to understand complex customer needs and translate them into user stories with measurable acceptance criteriaStrong interpersonal skills, including the ability to work across the organization and interact, influence, and negotiate effectively with all levels of management and peersCustomer-obsessed and have demonstrated a commitment to delivering frequent, high business value featuresAbility and desire to lead, direct, and empower team members without formal management authorityLook for opportunities to innovate and take thoughtful risks to get the work done better and fasterAbility to blend business analysis with technical skillset to develop efficient processesMust have enough technical background to be able to create proper functional requirements and detail specifications.Must be able to take direction well but work independently, have the ability to learn and assimilate information quickly.Ability to prepare standard and ad-hoc presentation decks in a timely manner on required topics, from high level functional overview to detailed technical overview of key data flowsExperiencePrior Business Analysis experience in systems development, product development and/or product/project management.Expertise in various business analysis methodologies and techniques, including data analysis, use case development, story writing, user acceptance testing, and product documentationExpertise in prioritizing processes for automation by applying the right automation criteria and calculate ROIStrong agile / scrum background with a proven track record of working across multiple cross-functional global teamsProficient in MS PowerPoint, Visio, Word, Excel, Quadrant MappingStrong knowledge on documentation of BRD, PDD etc.Experience with Jira or similar Agile backlog management tool such as Azure DevOpsCharacterExcellent communication and relationship skills, especially the ability to articulate advanced technical topics; both verbal and writtenStrong technical leadership skills and ability to command respect at all levels of the organizationSincere passion for building great software and taking pride in the quality of your work.Time Management Skills - ability to prioritize tasks across multiple projects and work effectively under pressureAbility to come up-to-speed quickly on new technologiesSelf-motivated and self-disciplinedAbility to craft solutions that address client's business drivers and constraints.Ability to work effectively in both a team environment and independently, both with internal and external (partner) resources.Best Regards,Saikiran | IT Minds LLC Email: saik@itminds.net |
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Analyst,Reuters News Agency,"Eagan, MN",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-reuters-news-agency-3903059528?position=10&pageNum=0&refId=%2Blb5qgryCw4pHdCRpq9BTg%3D%3D&trackingId=0gCfYhOkdxuvOP8IfR1J%2Bw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionThis role requires the individual to be based in either PST or MST time zone.Do you have an interest in becoming a member of our Client Satisfaction team as a Client Service Analyst, serving our case management solution customers? Thomson Reuters Court Management Solutions is the leading provider of enterprise software for trial and appellate courts nationwide. Our C-Track solutions enable courts to efficiently manage caseloads and improve collaboration across justice platforms and transforms courts into modern examples of efficiency and effectiveness. Judges, clerks and IT personnel depend on C-Track for managing their complex workflows; enabling staff to manage increased caseloads with fewer resources. The suite of C-Track products includes case management, electronic filing and document management solutions.About The RoleIn this opportunity as Business Analyst, you will:Provide direct telephone support to customers when required and develop/maintain positive customer relationshipsAnalyze and use judgment in recommending methods and techniques for obtaining solutionsDemonstrate the ability to work independently as well as in a team environmentMaintain existing content to ensure it is up to date and maintained in a timely mannerServe, along with the Client Satisfaction Manager, as a conduit between the operations community (internal customers) and the software development teamComplete tasks with the input from Client Satisfaction ManagerWork is project-oriented and day-to-day tasks must be defined by the employee with guidance from the Client Satisfaction Manager.Understand corporate goals and practices and apply them when resolving a variety ofproblems.Ensure the company is represented in every customer contact in a manner consistent with the Thomson Reuters brand.About YouYou’re a fit for the role of Business Analyst if you:Are based in ether PST or MST time zoneBachelor’s Degree in a related field is preferred2-3+ years’ experience in a related fieldExperience with or understanding of judicial/court process a plus.Strong working knowledge of the Microsoft Office Product SuiteStrong Customer service skillsMust have excellent written and verbal communication skillsProvide feedback to Client Satisfaction Manager on common customer concerns and ideas for resolutionAnalytical, troubleshooting and decision-making skills.Basic project management skillsProven experience with the full software development lifecycle from planning to implementation and maintenance.Must be quality focused, organized and deadline oriented.Must possess the ability to understand, articulate technical requirements, processes and translate that information into technical documentation.Flexible working hours within the boundaries of an 8 hour work dayTravel may be required (10%)What's in it For You?You will join our inclusive culture of world-class talent, where we are committed to your personal and professional growth through:Hybrid Work Model: We’ve adopted a flexible hybrid working environment (2-3 days a week in the office depending on the role) for our office-based roles while delivering a seamless experience that is digitally and physically connectedWellbeing: Comprehensive benefit plans; flexible and supportive benefits for work-life balance: flexible vacation, two company-wide Mental Health Days Off; work from another location for up to a total of 8 weeks in a year, 4 of those weeks can be out of the country and the remaining in the country, Headspace app subscription; retirement, savings, tuition reimbursement, and employee incentive programs; resources for mental, physical, and financial wellbeing.Culture:  Globally recognized and award-winning reputation for equality, diversity and inclusion, flexibility, work-life balance, and more.Learning & Development: LinkedIn Learning access; internal Talent Marketplace with opportunities to work on projects cross-company; Ten Thousand Coffees Thomson Reuters café networking.Social Impact: Ten employee-driven Business Resource Groups; two paid volunteer days annually; Environmental, Social and Governance (ESG) initiatives for local and global impact.Purpose Driven Work: We have a superpower that we’ve never talked about with as much pride as we should – we are one of the only companies on the planet that helps its customers pursue justice, truth and transparency. Together, with the professionals and institutions we serve, we help uphold the rule of law, turn the wheels of commerce, catch bad actors, report the facts, and provide trusted, unbiased information to people all over the world.In the United States, Thomson Reuters offers a comprehensive benefits package to our employees. Our benefit package includes market competitive health, dental, vision, disability, and life insurance programs, as well as a competitive 401k plan with company match. In addition, Thomson Reuters offers market leading work life benefits with competitive vacation, sick and safe paid time off, paid holidays (including two company mental health days off), parental leave, sabbatical leave. These benefits meet or exceeds the requirements of paid time off in accordance with any applicable state or municipal laws. Finally, Thomson Reuters offers the following additional benefits: optional hospital, accident and sickness insurance paid 100% by the employee; optional life and AD&D insurance paid 100% by the employee; Flexible Spending and Health Savings Accounts; fitness reimbursement; access to Employee Assistance Program; Group Legal Identity Theft Protection benefit paid 100% by employee; access to 529 Plan; commuter benefits; Adoption & Surrogacy Assistance; Tuition Reimbursement; and access to Employee Stock Purchase Plan.Thomson Reuters complies with local laws that require upfront disclosure of the expected pay range for a position. The location(s) for this role include one or more of the following states: CA, CO, CT, IL, NV, TX, WA and/or remote. The base compensation range for the role in any of those locations is $71,400 - $132,600. The base compensation range in other locations may vary. This role may also be eligible for an Annual Bonus based on a combination of enterprise and individual performance. Base pay is positioned within the range based on several factors including an individual’s knowledge, skills and experience with consideration given to internal equity. Base pay is one part of a comprehensive Total Reward program which also includes flexible and supportive benefits and other wellbeing programs.This job posting will close .Do you want to be part of a team helping re-invent the way knowledge professionals work? How about a team that works every day to create a more transparent, just and inclusive future? At Thomson Reuters, we’ve been doing just that for almost 160 years. Our industry-leading products and services include highly specialized information-enabled software and tools for legal, tax, accounting and compliance professionals combined with the world’s most global news services – Reuters. We help these professionals do their jobs better, creating more time for them to focus on the things that matter most: advising, advocating, negotiating, governing and informing.We are powered by the talents of 26,000 employees across more than 70 countries, where everyone has a chance to contribute and grow professionally in flexible work environments that celebrate diversity and inclusion. At a time when objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them. Sound exciting? Join us and help shape the industries that move society forward.Accessibility As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.Protect yourself from fraudulent job postings click here to know more.More information about Thomson Reuters can be found on https://thomsonreuters.com .
","
          34 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Media Production
