title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Strategy Analyst (NO RELO),The Sotland Group,"Las Vegas, NV",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/strategy-analyst-no-relo-at-the-sotland-group-3883521969?position=1&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=5RSpLnmLREhuxuh%2Bdm0HMw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our mission is to act as consultants and leaders for the organization by identifying strategic opportunities, analyzing available possibilities, and delivering efficient solutions. Develop analytic solutions that address business questions across sales, underwriting, marketing, and operationsExecute key reporting that provides visibility and actionable insightsConduct in-depth analyses and build statistical models to identify trends and key drivers to inform strategic decisionsBuild and maintain KPI dashboards and other reporting to track performanceProvide ad-hoc analytics and query support to internal teamsEffectively communicate findings to stakeholdersThoughtfully provide recommendations and creative alternatives to drive business growthDesired skills and experience2-4 years of experience in an analytics roleExcellent analytical, statistical modeling, problem solving, and conceptual thinking abilitiesComfortable handling sometimes ambiguously defined problems, developing creative solutions and delivering meaningful resultsCapable of managing multiple project timelines in a fast-paced environmentBachelor’s Degree in a quantitative field such as Statistics, Mathematics, Finance, or EngineeringExperience and strong skills with SQL and ExcelExperience with PowerBI, SAS, Python, or R will also be valuedMUST BE A US CITIZEN OR PERMANENT RESIDENT
","
          113 applicants
        ",Associate,Full-time,Analyst,Financial Services
Strategy Analyst,Libra Solutions,"Las Vegas, NV",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/strategy-analyst-at-libra-solutions-3912307159?position=2&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=prJWPz7w0fjAlwCkKMVc4w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Libra’s future success and growth is dependent on harnessing business intelligence derived from its proprietary data. The Strategy Analyst will serve as an internal consultant, providing analysis and strategic recommendations to the business across sales, underwriting, marketing, and operations. This individual will play a pivotal role in improving operational execution and accelerating Libra’s growth trajectory. They will be hands-on leveraging in our data assets while working closely with leadership to empower data informed business decisions.This position will be based out of MoveDocs’ Las Vegas office.The analytics team at LibraOur mission is to act as consultants and leaders for the organization by identifying strategic opportunities, analyzing available possibilities, and delivering efficient solutions. Success is measured by our ability to produce results that do at least one of the following: 1) Add additional revenue, 2) Improve operational efficiency, or 3) Create actionable visibility.Position ResponsibilitiesDevelop analytic solutions that address business questions across sales, underwriting, marketing, and operationsExecute key reporting that provides visibility and actionable insightsConduct in-depth analyses and build statistical models to identify trends and key drivers to inform strategic decisionsBuild and maintain KPI dashboards and other reporting to track performanceProvide ad-hoc analytics and query support to internal teamsEffectively communicate findings to stakeholdersThoughtfully provide recommendations and creative alternatives to drive business growthDesired Skills And Experience2-4 years of experience in an analytics roleExcellent analytical, statistical modeling, problem solving, and conceptual thinking abilitiesComfortable handling sometimes ambiguously defined problems, developing creative solutions and delivering meaningful resultsAnalytically curious with the ability to proactively recognize insights and opportunities beyond the original project scopeCapable of managing multiple project timelines in a fast-paced environmentBachelor’s Degree in a quantitative field such as Statistics, Mathematics, Finance, or EngineeringExperience and comfort with SQL and ExcelExperience with PowerBI, SAS, Python, or R will also be valuedBenefitsLibra Solutions offers competitive compensation (salary and bonus eligibility), and benefits that include health, dental and vision plans, 401(k) with company match, flexible spending account and paid time off.About UsWhen life gets hard, we make it easier! Libra Solutions helps overcome the burdens created by slow-moving legal processes. Combining technical innovation and financial strength, we help speed cumbersome workflows and ease financial barriers for our customers. And our companies are leaders in their industries! Oasis Financial is the largest and most recognized national brand in consumer legal funding. Oasis helps consumers awaiting legal settlements to move forward with their lives. We also provide medical lien funding through MoveDocs – a cloud-based fintech company designed to be an end-to-end solution for personal injury law firms to help uninsured and under-insured patients gain access to healthcare they need but cannot afford. We are proud of our mission and passionate about applying technology to the challenge of making healthcare more accessible.We also are the leading inheritance funding provider through Probate Advance, helping heirs access their inheritance immediately, without the lengthy process of probate.Together, under the Libra Solutions banner, we have relationships with over 40,000 attorneys and over 7,000 healthcare providers nationwide which gives us an amazing platform to service our customers. The combination of our footprints, relationships, technology, and funding power solidifies our combined companies as the premier leaders in medical lien, inheritance and pre-settlement funding and servicing.Powered by JazzHReTFx3lYP4y
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Business Development and Sales,Internet Publishing
Business Analyst 2,INSPYR Solutions,"Carson City, NV",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/business-analyst-2-at-inspyr-solutions-3900480311?position=3&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=R2F13oD3Fyhxr0x5eCE%2FLg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Title: Business Analyst 2Location: Carson City 100% on-site work requiredCompensation: $30-32 /hrDuration:12+ month contract. Likely extension.Work Requirements: US Citizen, GC Holder, or Authorized to work in the USPlease apply directly or email resume to JHinkle@inspyrsolutions.comThe Position Will Be Responsible For The FollowingEvaluating the documentation created for a UTS Modernization project and rebranding relevant documentation for Project MYNT using a team branding template.Understanding the AS-IS business platform and the processes that support the systems within the Department of Taxation.Analyzing those processes and write Business Requirements that support the modernization of those process.Writing the documentation that will support the business and project team that ultimately become the supporting documentation for the project once it is fully deployed. TASKS Modernization Project Deliverables/TasksStandard Operating Procedures for the Modernization Project (MYNT Modernize Your Nevada Tax)Process Maps of current and future (AS-IS/TO-BE) processesBusiness RequirementsRequirements MatricesUse Cases & Use Case MappingTesting Outlines & Test Cases Required Skills/Experience: MS Office, Visio, Outlook.A strong understanding and ability to draw process maps.Experience writing Standard Operating Procedures Desired Skills/Experience: Sharepoint knowledge and experience a major plus.TEAMS experience also a plus.Understanding and knowledge of business best practices and organizational management a plus. OTHER Percentage of Time Worked On-site/Off-site-100% onsiteRequired Travel/Expenses-N/AType of Interview-Teams panel interviewSelected candidate must be able to pass criminal background check before starting workOur Benefits Package IncludesComprehensive medical benefitsCompetitive pay, 401(k)Retirement planand much more!About INSPYR SolutionsTechnology is our focus and quality is our commitment. As a national expert in delivering flexible technology and talent solutions, we strategically align industry and technical expertise with our clients' business objectives and cultural needs. Our solutions are tailored to each client and include a wide variety of professional services, project, and talent solutions. By always striving for excellence and focusing on the human aspect of our business, we work seamlessly with our talent and clients to match the right solutions to the right opportunities. Learn more about us at inspyrsolutions.com.INSPYR Solutions provides Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, INSPYR Solutions complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.
","
          165 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Strategy Analyst,Oasis Financial,"Las Vegas, NV",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/strategy-analyst-at-oasis-financial-3912008836?position=4&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=QWJAybdHsjYUojwrtibwRA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Libra’s future success and growth is dependent on harnessing business intelligence derived from its proprietary data. The Strategy Analyst will serve as an internal consultant, providing analysis and strategic recommendations to the business across sales, underwriting, marketing, and operations. This individual will play a pivotal role in improving operational execution and accelerating Libra’s growth trajectory. They will be hands-on leveraging in our data assets while working closely with leadership to empower data informed business decisions.This position will be based out of MoveDocs’ Las Vegas office.The analytics team at LibraOur mission is to act as consultants and leaders for the organization by identifying strategic opportunities, analyzing available possibilities, and delivering efficient solutions. Success is measured by our ability to produce results that do at least one of the following: 1) Add additional revenue, 2) Improve operational efficiency, or 3) Create actionable visibility.Position ResponsibilitiesDevelop analytic solutions that address business questions across sales, underwriting, marketing, and operationsExecute key reporting that provides visibility and actionable insightsConduct in-depth analyses and build statistical models to identify trends and key drivers to inform strategic decisionsBuild and maintain KPI dashboards and other reporting to track performanceProvide ad-hoc analytics and query support to internal teamsEffectively communicate findings to stakeholdersThoughtfully provide recommendations and creative alternatives to drive business growthDesired Skills And Experience2-4 years of experience in an analytics roleExcellent analytical, statistical modeling, problem solving, and conceptual thinking abilitiesComfortable handling sometimes ambiguously defined problems, developing creative solutions and delivering meaningful resultsAnalytically curious with the ability to proactively recognize insights and opportunities beyond the original project scopeCapable of managing multiple project timelines in a fast-paced environmentBachelor’s Degree in a quantitative field such as Statistics, Mathematics, Finance, or EngineeringExperience and comfort with SQL and ExcelExperience with PowerBI, SAS, Python, or R will also be valuedBenefitsLibra Solutions offers competitive compensation (salary and bonus eligibility), and benefits that include health, dental and vision plans, 401(k) with company match, flexible spending account and paid time off.About UsWhen life gets hard, we make it easier! Libra Solutions helps overcome the burdens created by slow-moving legal processes. Combining technical innovation and financial strength, we help speed cumbersome workflows and ease financial barriers for our customers. And our companies are leaders in their industries! Oasis Financial is the largest and most recognized national brand in consumer legal funding. Oasis helps consumers awaiting legal settlements to move forward with their lives. We also provide medical lien funding through MoveDocs – a cloud-based fintech company designed to be an end-to-end solution for personal injury law firms to help uninsured and under-insured patients gain access to healthcare they need but cannot afford. We are proud of our mission and passionate about applying technology to the challenge of making healthcare more accessible.We also are the leading inheritance funding provider through Probate Advance, helping heirs access their inheritance immediately, without the lengthy process of probate.Together, under the Libra Solutions banner, we have relationships with over 40,000 attorneys and over 7,000 healthcare providers nationwide which gives us an amazing platform to service our customers. The combination of our footprints, relationships, technology, and funding power solidifies our combined companies as the premier leaders in medical lien, inheritance and pre-settlement funding and servicing.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Business Development and Sales,Financial Services
Business Analyst,CRI Advantage,"Carson City, NV",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-cri-advantage-3900584225?position=5&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=lF7iG0F1WuZc0dBouzhV0A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          CRI Advantage is looking for a Business Analyst to work onsite in Carson City, NV with our state governmental client.The Position Will Be Responsible For The FollowingEvaluating the documentation created for a UTS Modernization project and rebranding relevant documentation for Project MYNT using a team branding template.Understanding the AS-IS business platform and the processes that support the systems within the Department of Taxation.Analyzing those processes and write Business Requirements that support the modernization of those process.Writing the documentation that will support the business and project team that ultimately become the supporting documentation for the project once it is fully deployed.Modernization Project DeliverablesStandard Operating Procedures for the Modernization Project (MYNT Modernize Your Nevada Tax)Process Maps of current and future (AS-IS/TO-BE) processesBusiness RequirementsRequirements MatricesUse Cases & Use Case MappingTesting Outlines & Test CasesPreferred ExperienceA strong understanding and ability to draw process maps.Experience writing Standard Operating ProceduresSharepoint knowledge and experience a major plus.TEAMS experience also a plus.Understanding and knowledge of business best practices and organizational management a plus.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Sr. Business Analyst,UHS,"Reno, NV",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/sr-business-analyst-at-uhs-3903636781?position=6&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=35rle7LrC8E%2FUKU%2BRgffQA%3D%3D&trk=public_jobs_jserp-result_search-card,"
ResponsibilitiesProminence Health is a value-based care organization bridging the gap between affiliated health systems and independent providers, building trust and collaboration between the two. Prominence Health creates value for populations and providers to strengthen integrated partnership, advance market opportunities, and improve outcomes for our patients and members. Founded in 1993, Prominence Health started as a health maintenance organization (HMO) and was acquired by a subsidiary of Universal Health Services, Inc. (UHS) in 2014. Prominence Health serves members, physicians, and health systems across Medicare, Medicare Advantage, Accountable Care Organizations, and commercial payer partnerships. Prominence Health is committed to transforming healthcare delivery by improving health outcomes while controlling costs and enhancing the patient experience.Learn more at: https://prominence-health.com/Job Summary: The Sr. Business Analyst’s primary focus will be providing analytical expertise across various departments as well as directly to Senior Leadership. The incumbent will be relied upon to apply business knowledge to Analytics projects and provide value-added insights to impact business outcomes. The Analyst will work cooperatively with various internal Prominence departments and will interact with peers at UHS facilities and third-party vendors. The Analyst is expected to exhibit independent decision-making and critical thinking skills. The application of sophisticated analytical capabilities and tools is required. The incumbent must be comfortable to work with tight deadlines, minimal direction, and shifting priorities. The Analyst’s role will be extracting data from multiple data sources, analyzing and preparing detailed reporting and insights. This will require the ability to interpret the internal customer’s needs or situation and create an applicable solution. The Analyst will work across multiple business units and will be tasked with duties which bridge the gap between Information Technology and business objectives, by partnering with various stakeholders to develop requested data and reports. This position will also be responsible for providing analytics, recommendations and business support.Benefit HighlightsLoan Forgiveness Program Challenging and rewarding work environmentCompetitive Compensation & Generous Paid Time OffExcellent Medical, Dental, Vision and Prescription Drug Plans401(K) with company match and discounted stock planSoFi Student Loan Refinancing ProgramCareer development opportunities within UHS and its 300+ Subsidiaries! More information is available on our Benefits Guest Website: benefits.uhsguest.comAbout Universal Health ServicesOne of the nation’s largest and most respected providers of hospital and healthcare services, Universal Health Services, Inc. (UHS) has built an impressive record of achievement and performance. During the year, UHS was again recognized as one of the World’s Most Admired Companies by Fortune; and listed in Forbes ranking of America’s Largest Public Companies. Operating acute care hospitals, behavioral health facilities, outpatient facilities and ambulatory care access points, an insurance offering, a physician network and various related services located all over the U.S. States, Washington, D.C., Puerto Rico and the United Kingdom. www.uhs.comQualificationsQualifications and Requirements:Bachelor’s degree in Economics/Mathematics/Statistics, Finance/Accounting or related field; Master’s Degree preferred5-8 years of experience in Analytics preferably within the Healthcare fieldWorking experience and understanding of the Medicare Advantage Health plans including revenue optimization, STARS/Quality, and medical cost managementAbility to effectively communicate in English, both verbally and in writing.Advanced knowledge of SQL for data retrieval purposes Excellent report writing ability and analytical mindset. Experience with SQL/SSRS is strongly preferred Familiarity with relational databases Experience analyzing health plans claims data Experience with data warehouse platforms and tools Enjoys working in both individual and team settings Must be able to work independently, providing management with status updates Multi-task; establish priorities Self-starter, Resourceful and able to execute projects in a fluid and fast paced environment Good organization, management, and reporting skills Good communication and relationship skills Strong analytical skills and attention to detailExperience with working data visualization tools such Power BI is preferredExcellent Microsoft Office skills (Excel, Word, Power-point, etc.EEO StatementAll UHS subsidiaries are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates. UHS subsidiaries are equal opportunity employers and as such, openly support and fully commit to recruitment, selection, placement, promotion and compensation of individuals without regard to race, color, religion, age, sex (including pregnancy, gender identity, and sexual orientation), genetic information, national origin, disability status, protected veteran status or any other characteristic protected by federal, state or local laws.We believe that diversity and inclusion among our teammates is critical to our success.Avoid and Report Recruitment ScamsAt UHS and all our subsidiaries, our Human Resources departments and recruiters are here to help prospective candidates by matching skill set and experience with the best possible career path at UHSand our subsidiaries. During the recruitment process, no recruiter or employee will request financial or personal information (e.g., Social Security Number, credit card or bank information, etc.) from you via email. Our recruiters will not email you from a public webmail client like Hotmail, Gmail, Yahoo Mail, etc.If you suspect a fraudulent job posting or job-related email mentioning UHS or its subsidiaries, we encourage you to report such concerns to appropriate law enforcement. We encourage you to refer to legitimate UHS and UHS subsidiary career websites to verify job opportunities and not rely on unsolicited calls from recruiters.If you would like to learn more about the opportunity, please contact Bridget Gomez at: bridget.gomez@uhsinc.com
        ","
          46 applicants
        ",Not Applicable,Full-time,Other,Hospitals and Health Care and Mental Health Care
Senior Manager of Business Analysis,Las Vegas Convention and Visitors Authority - LVCVA,"Las Vegas, NV",2024-03-30,On-site,,https://www.linkedin.com/jobs/view/senior-manager-of-business-analysis-at-las-vegas-convention-and-visitors-authority-lvcva-3873764653?position=7&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=fRc25TpL9%2BP9ZgPJAMsXyA%3D%3D&trk=public_jobs_jserp-result_search-card,"
The Role:Under the direction of the Chief Strategy Officer, the Senior Manager of Business Analysis will provide strategic analysis for the various operating departments of the Las Vegas Convention and Visitors Authority and the Las Vegas Stadium Authority. This position will work closely with internal and external business partners to gain in-depth understanding of business strategies and operations and develop improvement recommendations. The Senior Manager of Business Analysis requires practical business experience, knowledge and a strong analytical mindset focused on driving improved business outcomes.What You’ll Accomplish:Keep in mind that this list is not all inclusive.Turn Data Into Information And Insight:Research industry best practices, emerging trends, and other relevant data sets. Acquire data from primary and secondary internal and external data sources.Perform complex organizational and destination data analyses, identifying and interpreting trends and patterns in complex data sets, including pricing analyses. o Present information in meaningful, understandable, efficient, and visually appealing formats.Improve Business Processes And Outcomes:Perform complex analyses of organizational processes.Identify and recommend process improvement opportunities.Identify benchmarks, develop performance measurements, and design databases and reporting systems for ongoing performance measurement.Lead An Extraordinary Team:Oversee the work of other analysts and support staff.Set measurable goals, evaluate performance, and provide constant feedback for success.What We’re Looking ForBachelor&#39;s degree in economics, finance, mathematics, or a similar concentration is preferredProven results as a business consultant, analyst, or researcherStrong analytical and critical thinking skillsDemonstrated performance in collecting, organizing, analyzing, and disseminating significant amounts of information with attention to detail and accuracyAdept at report writing and presenting findingsDemonstrated experience handling and maintaining confidential dataDemonstrated performance in successfully leading a teamDemonstrate commitment to valuing differences among individuals and being inclusiveAdvanced ability to listen and communicate effectively with clients, vendors, management, and other ambassadors in a variety of formatsThe Las Vegas Convention and Visitors Authority (LVCVA) provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, the LVCVA will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at peopleconnect@lvcva.com
","
          34 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Accounting/Auditing","Leisure, Travel & Tourism, Government Administration, and Government Relations Services"
Business Operations Analyst III,Boost Mobile,"Las Vegas, NV",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/business-operations-analyst-iii-at-boost-mobile-3909253351?position=8&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=DpILd0jka3G2XaM%2B1pSZUg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company SummaryDISH, an EchoStar Company, has been reimagining the future of connectivity for more than 40 years. Our business reach spans satellite television service, live-streaming and on-demand programming, smart home installation services, mobile plans and products, and now we are building America’s First Smart Network™.Today, our brands include EchoStar, Hughes, DISH TV, Sling TV, Boost Infinite, Boost Mobile, DISH Wireless, OnTech and GenMobile.Department SummaryOur Retail Wireless team, serving our Boost Infinite, Boost Mobile and Gen Mobile Brands, is redefining consumer expectations through new platforms, new business models and new ways of thinking. Equipped with a first-of-its-kind 5G network, a passion for change and the power to drive it, we’ll emerge as the nation’s fourth facilities-based wireless carrier and a disruptive force in the market at large.Job Duties And Responsibilities Key Responsibilities:  Responsible for daily/weekly/monthly/ad-hoc reporting for supported orgs  Handles key operational support functions and special ad-hoc projects from the Ops manager  Develops best practices that can be implemented throughout the organization  Develops relationships with assigned orgs hierarchy and provides functional operations assistance at all levels, including personnel changes, fleet, and system access requests  Oversee all regional indirect prepaid distribution change requests, including onboarding & offboarding  Responsible for the assigned organization(s) meeting content orchestration and dissemination of assigned org(s) hot topics  Partner with assigned org(s) to identify sales metric opportunities within the scope of the hierarchy  Maintain and develop organizational intranet content  Boost Dealer Policy point of contact for all issues and escalations within supported org(s) Location:Must Be Located In One Of The Following CitiesLas Vegas, NVLittleton, COPortland, ORTravelMay be required to include major markets such as: CA, CO, NV, OR, or WA Please note, this role is not eligible for visa sponsorship.  Not eligible for relocation assistance Skills, Experience And Requirements Education and Experience:  5+ years supporting a sales organization to provide sales analytics  Degree or 5+ years of related experience Skills And Qualifications Advanced in GSuite and MS Office  Ability to travel and work with local leadership to identify operational shortfalls and develop and execute fixes  Ability to quickly ingest data and turn it into actionable reporting for assigned org(s)  Relationship management across large geographies to ensure tasks are communicated and completed efficiently  Desired skills/experience  Developer experience desired but not required (Google App Scripts, Python, SQL, Javascript, etc.)  Efficiency through automation  Business Intelligence software experience (Tableau, Looker, Power BI, etc.)  Familiarity with Adobe software with a specific focus on AdobeSign agreement creation, processing, and tracking  Ability to present sales analysis to assigned org(s) as well as dealer partners (in person/virtual)  Demonstrates the ability to multi-task, prioritize org(s) work, and drive positive change consistent with overarching organizational goals  Champions key projects to completion with enthusiasm and confidence  Demonstrates excellent escalation and conflict resolution skills  Proactively recognizes and defines opportunities/problems, determines solutions to address them, and independently oversees solutions through to completion  Ability to motivate action through communication; oral, written, and interpersonal relationships  Demonstrates strong negotiation skills at all levels of the organization, striving for win-win solutions  Regularly recommends changes that improve existing business processes and overall enterprise performance, let your voice be heard  Demonstrates exceptional skills in judgment, listening, and decision making  Strong project management skills including a demonstrated ability to plan, schedule, organize, coordinate, manage, & evaluate project efficiency  Regularly collaborates with management to ensure organizational consistency  Ability to deliver popular and unpopular messages with the appropriate level of transparency Salary RangesCompensation: $63,150.00/Year - $90,200.00/YearBenefitsWe offer versatile health perks, including flexible spending accounts, HSA, a 401(k) Plan with company match, ESPP, career opportunities and a flexible time away plan; all benefits can be viewed here: DISH Benefits .The base pay range shown is a guideline. Individual total compensation will vary based on factors such as qualifications, skill level and competencies; compensation is based on the role's location and is subject to change based on work location. Candidates need to successfully complete a pre-employment screen, which may include a drug test and DMV check.This will be posted for a minimum of 3 days or until the position is filled.
        ","
          37 applicants
        ",Entry level,Full-time,Business Development and Sales,Telecommunications
Senior Business Analyst,Uline,"Reno, NV",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-uline-3904938526?position=9&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=G9x%2B3FEbhrpiuGfEezt79A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Nevada Branch8800 Military Road, Reno, NV 895061Identify. Interpret. Innovate. Are you a numbers expert who enjoys digging into data to pinpoint trends? Join Uline as a Senior Business Analyst to translate data into actionable recommendations to Uline leadership as our company continues to grow.Better together! This position is on-site, and we are looking for people who share our passion.Position ResponsibilitiesReview, audit and summarize operational data to create clear, concise executive summaries and presentations.Translate data findings into actionable recommendations to management.Conduct thorough and accurate data analysis to identify areas for process improvement and operational efficiency.Review large data sets to find the root cause of performance trends and indicators.Collaborate with business units to gain an in-depth understanding of processes, challenges and strategies to explain issues and recommend solutions.Develop and manage reporting and data visualization tools to assist leadership with managing KPIs and making informed decisions.Manage analysis and data projects and provide status updates.Minimum RequirementsBachelor's degree.At least 5 years of relevant experience.Prior experience leading a small team preferred.Strong Excel, SQL, and Power BI skills a must.Excellent communication and organizational skills with impeccable attention to detail.BenefitsComplete medical, dental, vision and life insurance coverage, Flexible Spending Accounts and wellness programs.401(k) with 6% employer match.Paid holidays and generous paid time off.Tuition Assistance Program that covers professional continuing education.Bonus programs that include annual performance, sales goals and profit sharing.Employee PerksBest-in-class, clean, modern facilities.First-class fitness center.Beautifully maintained walking path.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, quality products and same-day shipping of our huge in-stock inventory. With over 9,000 employees across 13 locations, it's time you joined Uline.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.EEO/AA Employer/Vet/Disabled(#IN-NVOF)Our employees make the difference and we are committed to offering exceptional benefits and perks! Explore Uline.jobs to learn more!
","
          36 applicants
        ",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Retail Office Equipment, Advertising Services, and Packaging and Containers Manufacturing"
Senior Business Analyst,Uline,"Carson City, NV",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-uline-3904936789?position=10&pageNum=0&refId=4OdGD8LxSUC%2Bnq8U88T%2BVA%3D%3D&trackingId=5Y4sjRgImK6IyRntLsO4wA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Nevada Branch8800 Military Road, Reno, NV 895061Identify. Interpret. Innovate. Are you a numbers expert who enjoys digging into data to pinpoint trends? Join Uline as a Senior Business Analyst to translate data into actionable recommendations to Uline leadership as our company continues to grow.Better together! This position is on-site, and we are looking for people who share our passion.Position ResponsibilitiesReview, audit and summarize operational data to create clear, concise executive summaries and presentations.Translate data findings into actionable recommendations to management.Conduct thorough and accurate data analysis to identify areas for process improvement and operational efficiency.Review large data sets to find the root cause of performance trends and indicators.Collaborate with business units to gain an in-depth understanding of processes, challenges and strategies to explain issues and recommend solutions.Develop and manage reporting and data visualization tools to assist leadership with managing KPIs and making informed decisions.Manage analysis and data projects and provide status updates.Minimum RequirementsBachelor's degree.At least 5 years of relevant experience.Prior experience leading a small team preferred.Strong Excel, SQL, and Power BI skills a must.Excellent communication and organizational skills with impeccable attention to detail.BenefitsComplete medical, dental, vision and life insurance coverage, Flexible Spending Accounts and wellness programs.401(k) with 6% employer match.Paid holidays and generous paid time off.Tuition Assistance Program that covers professional continuing education.Bonus programs that include annual performance, sales goals and profit sharing.Employee PerksBest-in-class, clean, modern facilities.First-class fitness center.Beautifully maintained walking path.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, quality products and same-day shipping of our huge in-stock inventory. With over 9,000 employees across 13 locations, it's time you joined Uline.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.EEO/AA Employer/Vet/Disabled(#IN-NVOF)Our employees make the difference and we are committed to offering exceptional benefits and perks! Explore Uline.jobs to learn more!
","
          34 applicants
        ",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Retail Office Equipment, Advertising Services, and Packaging and Containers Manufacturing"
