title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Capgemini,"New Jersey, United States",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-capgemini-3907956001?position=1&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=y2oncwQjeo9kzuB10luiPw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Technical Business Analyst Compliance and commercial BankingJob Location: New JerseyJob Description:Capgemini is seeking strong Technical Business Analyst for applications support & maintenance of the following domains: Finance, Counterparty & Credit Risk, Commercial Back Office, Financial security, Payments and SWIFT messaging as well as the related compliance applications, reference systems, as well as non-business applications (IT for IT, Administration, HR ...).Responsibilities: Project management and coordination for small/medium size projects,Work with stakeholders to document user requirements in User Functional Specifications / Business Requirements Document, Data mapping specifications, Data flow, Workflow diagrams, etc.Analyze and verify requirements for completeness, consistency, comprehensibility, feasibility, and conformity to standards.Review designs and solutions to ensure they are in-line with architecture goals.Write functional and technical specification documentations as per defined user requirements and standards defined by organizational processes.Define testing approach and strategy. Create test scenarios and test cases. Execute application tests, UAT preparation and coordination.Continuous improvement of the functional and technical environmentWrite and review documentation.Establish IT procedures: data quality control, software controlsRequired Skills :least 6+ years of total work experiencetechnical background to be able to read programs and procedures, interact with developers, review technical documentation, define functional architecture, coordinate integration testing,& Finance industry experience with preference given to candidates with Commercial Banking, Financial Accounting, Payment Systems, Compliance and/or Credit Risk experience.Technical Skills:SQL.project lifecycle knowledge and program testing methodologies.MS suite of products including Project, Visio, PowerPoint, Excel, etc.platform with Oracle and Sybase databases. Business objects and Essbase as reporting toolsskills are a plus: PL/SQL, C#, DevOps and understanding of object-oriented programming.LIFE AT CAPGEMINI:Capgemini supports all aspects of your well-being throughout the changing stages of your life and career. For eligible employees, we offer: workincluding dental, vision, mental health, and well-being programswell-being programs such as 401(k) and Employee Share Ownership Plantime off and paid holidaysparental leavebuilding benefits like adoption assistance, surrogacy, and cryopreservationwell-being benefits like subsidized back-up child/elder care and tutoringcoaching and learning programsResource GroupsReliefAbout Capgemini:Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.Get the future you want | www.capgemini.com (http://www.capgemini.com/#_blank)Disclaimer:Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.Capgemini is committed to providing reasonable accommodations during our recruitment process. If you need assistance or accommodation, please reach out to your recruiting contact.Click the following link for more information on your rights as an Applicant http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law (http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law)
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Analyst,Investment Banking
Business Analyst,LTIMindtree,"Jersey City, NJ",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-ltimindtree-3848519458?position=2&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=aCI1e7Cn%2FhOIM92z8ycH5A%3D%3D&trk=public_jobs_jserp-result_search-card,"
About US:LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 750 clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.Job Title: Business AnalystWork LocationJersey City, NJJob Description:Experience in banking domain in areas like (Credit Risk part, Asset classes, Derivates, put and call, Margins, Prime brokerage, CUSIP’s, Derivatives)Experience in Data Migration Projects using ETL tools (preferably Informatica) - with ability to support analysis of AS-IS and TO- BE data flow and data mapping activity .Able to understand long and complex SQL queries and modify it to suite the business needsAdvance level of MS Excel expertise e.g. with vlookups, hlookups, Index/matchExposure to Power BI is a plusWork on multiple and diverse projects across the Risk and Data services team, delivering technical specifications and working together with other teams.Requirement Gathering , collaborating with different application teams.Ability to work in Agile model, updating the Epic with the details and supporting team in story breakdown.Supporting business users during User acceptance testingBenefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):Benefits and Perks:Comprehensive Medical Plan Covering Medical, Dental, VisionShort Term and Long-Term Disability Coverage401(k) Plan with Company matchLife InsuranceVacation Time, Sick Leave, Paid HolidaysPaid Paternity and Maternity LeaveThe range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.Safe return to office:In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Analyst,IT Services and IT Consulting
Business Analyst,Brillio,"Plainsboro, NJ",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-brillio-3898158434?position=3&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=o4ZTWFp5kiRD%2BzL%2Fez2oOQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job description:Requirement Gathering: Collaborate with business stakeholders to elicit and document business requirements, ensuring a clear understanding of business needs and objectives.Domain Expertise: Should have a deep understanding of the pharma (lifescience) domain, including business processes, regulations, and trends, to provide valuable insights and recommendations.Analysis and Documentation: Analyze complex business problems and processes, and document detailed business requirements, functional specifications, and use cases.Communication: Serve as a liaison between business stakeholders and technical teams, translating business requirements into technical specifications and ensuring alignment between business needs and IT solutions.Should have a knowledge or know how of data catalog (or should have worked on Data catalog project)Should have strong written communicationSolution Evaluation: Evaluate proposed solutions or changes to existing systems, assessing their impact on business processes, usability, and efficiency.Change Management: Support change management activities by facilitating user training, providing user support, and assisting with the implementation of new systems or processes.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Business Development,Pharmaceutical Manufacturing
Senior Business Analyst,Wipro,"Pennington, NJ",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-wipro-3901578401?position=4&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=XuI2f22p8%2Bfn%2FubDUeQA4A%3D%3D&trk=public_jobs_jserp-result_search-card,"
About Wipro: Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries. We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world. A PROUD HISTORY OF OVER 75 YEARSFY22 REVENUE 10.4 BN USDWE’RE PRESENT IN 66 COUNTRIESOVER 1,400 ACTIVE GLOBAL CLIENTS Role : Business AnalystLocation : Pennington, NJ or Newark, DE  Position SummaryThis is a Business Analyst position in Bank of America’s Desktop Synergy Web team within the Erica, Chat and Voice Technology Organization. The Business Analyst will work closely with Business units, subject matter experts and technical resources to define and deliver solutions that meet business objectives. Responsible for combining business and technology skills with strong leadership, communication, negotiation, facilitation, adaptation and presentation skills. Serves as the ultimate facilitator between Business and IT in truly understanding the business's needs and plays a key role in the overall management and success of a project through the entire project lifecycle. Using proven methods and tools, this position leads the planning, eliciting, analyzing, validating and managing of requirements, business processes, high-level solution design, test case design, and implementation planning & support - in partnership with Project Managers, Business Stakeholders, and IT interfacing groups. This position may also be called upon to lead other IT project work based on changing project demandsFIELD OF EXPERTISE: Ability to write quality stories and collaborate across the board. Good team player, communicates effectively and clearly, able to articulate complex solutions to business and technology audience alike.• Documents detailed functional and technical requirements for business requirements. • Documents Impact Assessment for proposed projects.• Provides estimates for systems analysis work.• Primary contact through which requirements flow between business and tech and responsible for ensuring those requirements are delivered.• Collaborates with UX/Wireframes Design teams.• Partners with architecture and tech solution owner to ensure project efforts are aligned to enterprise standards and tech strategy.• Designs a solution that can be leveraged by other platforms/LOBs.• Identifies external service providers/interfaces needed on a project.• Becomes a Subject Matter Expert on the functionality and the logic behind the design decisions. • Ensures traceability of the software requirements to the business requirements. • Documents system requirements as user stories/HLD ensuring the requirements are comprehensive, clear, actionable and testable, collaborating with architecture and dev. The design may include assumptions/constraints, business rules, external interfaces, data attributes, data mappings, use cases and non-functional requirements (performance, stability)• Experienced in Agile methodologies, Epic grooming, story grooming and sprint planning.• Required to participate at all requirements reviews including but not limited to BRD, HLD, Test Plan and test script reviews.• Provides support to developers to ensure requirements are understood. • Provides support to UAT and SIT testers to clarify requirements and determine whether a defect is a new requirement, or truly a defect. • Engages with dev team to review and analyze production issues to determine root cause. • Agile scrum master proficient in JIRA, Dashboard Setup and managing scrum routines. Desired Skills• Help define Roadmap Strategy for existing and new products. • Partners with LOB to define the business problem/opportunity and solution objective for a given project effort. • Ensures alignment with the desktop strategy. • Works with the business during the design/development phase as the first point of contact to identify changes to requirements, then works with the PM to invoke a change control. • Exposure to telephony, IVR and call routing workflows and technologyWipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Analyst and Business Development,Banking
Business Analyst Servicenow,Zealogics Inc,"The College of New Jersey, NJ",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/business-analyst-servicenow-at-zealogics-inc-3888753918?position=5&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=vP7uB%2BHlAaRZmPfEkjNi9w%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Systems Analyst IIIFully Remote and who can support during US business hours and for daily calls early ESTWork with SMEMust be worked on Agile functionalityWork exclusively with Developers, Architects, and Product Owner about the document and story format. Product Owner should be able to do the service functionalityShould be involved in testing scenarios, Life cycle deploymentSkills Required:6-8 years of hands-on Business Analysis experience in a complex regulated environmentExperienced in implementing projects using Application ServiceNow, SharePoint, Teams, GRC experienceService Manager Skills And Global Client Experience.Agile methodologiesStrong communication skillsWell worse with Service Now platform,More on BA skills like creating stories, etc.Process modeling tools : Vision. EXCEL, PowerpointMajor on Microsoft suite application tools such as Excel, Project, Visio, ServiceNow, SharePoint, Teams, and PowerPoint,Preferred exposure to Azure DevOps and Agile DevelopmentStrong software design skills and usabilityStrong analytical and organizational skillsStrong critical thinking and problem-solving skillsStrong communication skills, both verbal and writtenStrong interpersonal skills, with the ability to work with many levels of management, and interface between technical team and business owners% of TimeAccountability:85Business analysis and creating details specifications10Involvement with test preparation and execution5Business Analysis team continuous improvementPowered by JazzHRkO5CX14jzw
        ","
          88 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Internet Publishing
Jr. ERP Business Analyst,Gellert Global Group,"Elizabeth, NJ",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/jr-erp-business-analyst-at-gellert-global-group-3891693064?position=6&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=HVtJMsuVwafdd2m1y1m2YA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Summary/Objective: This position is primarily responsible for application support on Enterprise Resource Planning (ERP) and local ancillary systems with interfaces included. Its main goal is to support business operations running smoothly and effectively. This position is responsible to manage ERP and related tickets and change requests with prioritization, tracking, and escalation. The position delivers these objectives by collaborating with internal, external, local and global resources.Essential Functions and projects: Collaborates with internal, external, local resources on ERP and related support.Actively participates in ERP implementation or Change Request (CRs).Collaborates with business to fully understand business processes, identify business issues, and recommend opportunities for improvement.Understands business processes and ERP core functions to troubleshoot.Responsible for documentations and knowledge transfers.Responsible for change management and communication.Works flexible hours and weekends to meet business/customer needs.Skills and Qualifications:Strong understanding of business systems and processes. Will get trained and support Procurement to Pay (P2P) functions:Master Data (Items and Suppliers)Purchase Agreements (PAs)Purchase Orders (POs)Inbound and Outbound LogisticsInventory ManagementSupply PlanningInventory Costing and MarginTransaction and Integration with WMSSupplier EDINEXUSImport ComplianceAbility to prioritize tasks in a fast-paced environmentAbility to explorer fast and creative workarounds under urgent and pressure situationsBachelor’s Degree or equivalent in information technology or business or related fieldExcellent team player and communicatorBuild Quality into all aspects of work. Internal and External Contacts/RelationshipsInternal: Develop and maintain positive professional relationships team members (including contractors), colleagues including office and field personnel, executive team, customers and vendorsExternal: Develop and maintain positive professional relationships with contractors, vendors, 3rd party providers, customers via sales contactsTreat all interactions with a “Customer Service” focus, striving to provide a high level of customer satisfactionPhysical Requirements:The individual must occasionally lift and/or move up to 25 lbs. Ability to perform computer responsibilitiesWhile performing the duties of this job, the employee is frequently required to stand, walk and sitThe employee must have use of hands to finger, handle or feel objects, tools, or controls; reach with hands and arms; speak and hearSpecific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception and the ability to adjust focusAbility to travel by car or public transportation as needed. The Gellert Global Group of companies is an equal opportunity employer and considers qualified applicants for employment without regard to sex, race, color, religion, ethnic or national origin, gender, sexual orientation, gender identity or expression, age, pregnancy, leave status, disability, veteran status, genetic information and/or any other characteristic or status protected by national, federal, state, or local law. Gellert Global Group is committed to providing access, equal opportunity, and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Accordingly, if reasonable accommodation is required to fully participate in the job application or interview process, to perform the essential functions of the position, and/or to receive all other benefits and privileges of employment, please contact .Powered by JazzHR2kvzbiX4WH
        ","
          117 applicants
        ",Entry level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
Business Analyst,People Tech Group Inc,"New Jersey, United States",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-people-tech-group-inc-3888219692?position=7&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=tVEyc7MT42OQpwJ21d61Pw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Business AnalystLocation: New Jersey Duration: FullJob descriptions:8-10 years of Business Analyst role in Kronos Time and Attendance applicationsHands on experience with Kronos WFC and DimensionsExperience with at least one migration project from UKG WFC to UKG Dimensions (or WFM)Have managed requirements gathering sessions for international organizations. Experience with Mexico, Japan etc. is added advantage.Local in New Jersey or ready to relocate.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Analyst,Information Services
Business Analyst,LG Electronics North America,"Englewood Cliffs, NJ",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-lg-electronics-north-america-3886048427?position=8&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=Z3Dfvx2INaUPpTJqFKGe8Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          LG's Mission is to be #1 by creating a better life for our customers. At LG we make products and services that make lives better, easier, and happier through increased functionality and fun. Put simply, we offer the latest innovations to make “Life Good”! As a global leader, we strive for greatness not only in the products we make but in our people. That is why we are currently seeking the newest innovator to join our dynamic team as a Business Analyst located in Englewood Cliffs, NJ, or Toronto, ON. This role is onsite.What We Can Offer Culture for Growth | Top Notch Employee Health & Well Being Benefits | Every Voice Matters | Global Reach The North America Content and Services team manages LG’s webOS platform in the U.S. and Canada, working across multiple touchpoints, engaging consumers, and connecting them with breakthrough experiences with our ecosystem of streaming and media partners. We are seeking a talented Business Analyst to join the Partner Engagement team and contribute to the success of our webOS Smart TV platform.Job SummaryAs a Business Analyst, you will play a pivotal role in contributing to the strategic direction of our Smart TV platform. You will work closely with local and international cross-functional teams including product management, engineering, marketing, and content partnerships to gather and analyze data. As well as identify business opportunities and translate insights into actionable recommendations. The ideal candidate for this role is analytical, detail-oriented, and passionate about the intersection of technology and entertainment.Responsibilities Generate reports and presentations to communicate findings, insights, and recommendations to partner stakeholders, internal teams, and senior leadership. Conduct market research and competitive analysis to identify industry trends, consumer preferences, and emerging technologies. Analyze user behavior, platform performance, and content consumption metrics to identify opportunities for optimization and growth Develop models and forecasts to support business decision-making and strategic planning. Support team KPIs by evaluating potential partnerships, licensing opportunities, and revenue models.Qualifications Bachelor’s degree in Business Administration, Economics, Computer Science, or equivalent professional experience in this field. Proven experience as a Business Analyst, Data Analyst, or similar role in the technology or media industry. Strong analytical skills with proficiency in data analysis tools and techniques (e.g., Splunk, SQL, Excel, Python, and Tableau) and an ability to present and develop dashboards and using these tools. Familiarity with Smart TV platforms, streaming media services, and digital content ecosystems. Excellent communication skills with the ability to present complex information in a clear and concise manner. Ability to work independently and collaboratively in a fast-paced, cross functional environment. Proactive problem-solver with a results-oriented mindset and a passion for innovation.At LG, we aspire to empower people and celebrate differences because we believe diversity will create the unexpected. We provide equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. Consistent with our commitment to providing equal opportunity and embracing diversity, LG has implemented affirmative action to ensure applicants are employed and employees are treated without regard to these characteristics.In addition to the above, LG believes that pay transparency is a key part of diversity, equity, and inclusion. Our salary ranges take in account many factors in making compensation decisions including but not limited to skillset, experience, licensure, certifications, internal equity, and other business needs. While we consider geographic pay differentials in final offers, because we operate in many geographies, where applicable, the salary range listed may not reflect all geographic differentials applied.Pay Transparency Range (Low)Pay Transparency Range (High):CompanyLG Electronics U.S. (LGEUS)Job FunctionFinance
","
            Over 200 applicants
          ",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Computers and Electronics Manufacturing and Wireless Services
Business Analyst,Johnson & Johnson,"Raritan, NJ",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-johnson-johnson-3908969842?position=10&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=eeQPO8CI3nCSiNlzZP5ihA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Description:Johnson & Johnson Services, Inc. is recruiting for a Business Analyst remote anywhere within the United States!At Johnson & Johnson, we believe health is everything. Our strength in healthcare innovation empowers us to build a world where complex diseases are prevented, treated, and cured, where treatments are smarter and less invasive, and solutions are personal. Through our expertise in Innovative Medicine and MedTech, we are uniquely positioned to innovate across the full spectrum of healthcare solutions today to deliver the breakthroughs of tomorrow, and profoundly impact health for humanity. Learn more at https://www.jnj.com/.The Business Analyst will provide comprehensive support across multiple disciplines across the SC Standards and Solutions organization which is a part of the Global Sites & SC Services Organization. This candidate will enjoy being an integral part of a multifaceted, fast-paced and exciting team environment where multiple ambitious demands are the norm and the standards of performance are high.Essential Job Duties And ResponsibilitiesClosely partner with internal stakeholder throughout the Strategic Business Life-Cycle enabling robust business planning (i.e. BP, JU, LRFP, NU)Assist with the governance, monitoring, and training of J&J Standards ProgramSupport the development and implementation of a Service Performance and Measures across a multitude of J&J GS&SCS Services Areas on a monthly/quarterly cycle.Actively participate in the development and implementation of an overall Service Maturity Model and measurement process to continuously monitor overall customer satisfaction.Provide comprehensive and proactive business analytics in support of risk trends, driving business insights through active data mining of supply chain operations.Continuously strive for service excellence through continuous improvement opportunitiesActively participate in driving efficiency, operational capability, and other sources of Global Site and Supply Chain improvements across the broader organization.Collaborate with cross functional business partners to highlight areas of potential opportunity or value.Qualifications:Education:A minimum of a Bachelor Degree strongly preferred with a focus in Business Administration, Supply Chain Management or similar from an accredited college/university.Experience and Skills:Required: A minimum of 2 years of general business experienceExperience in a global and matrixed team environment, interfacing with a diverse group of people and situations while supporting executives and their teams, is required.Experience developing and deploying standard guidelines, training, tools and best practices.Experience maintaining monthly and quarterly financial, portfolio, and performance metric reporting is required.This position requires outstanding customer service skills, ability to balance multiple tasks and priorities simultaneously, and the ability to work with independence and minimal direction.Able to demonstrate strong analytical and quantitative skills, excellent communication and presentation skills are required.Experiencing querying data from internal systems and translating the results into useful analysis.Ability to collaborated with business partners to drive improvements.Strong proficiency with the Microsoft Office (Word, Excel and PowerPoint) is requireOther:This position may require travel up to 10%The salary for this position is anticipated to be between $75,000 to $110,000Employees and/or eligible dependents may be eligible to participate in the following Company sponsored employee benefit programs: medical, dental, vision, life insurance, short- and long-term disability, business accident insurance, and group legal insurance.Employees may be eligible to participate in the Company’s consolidated retirement plan (pension) and savings plan (401(k)).This position is eligible to participate in the Company’s long-term incentive program.Employees are eligible for the following time off benefits:Vacation – up to 120 hours per calendar yearSick time - up to 40 hours per calendar year; for employees who reside in the State of Washington – up to 56 hours per calendar yearHoliday pay, including Floating Holidays – up to 13 days per calendar yearWork, Personal and Family Time - up to 40 hours per calendar yearThe Company maintains highly competitive, performance-based compensation programs. Under current guidelines, this position is eligible for an annual performance bonus in accordance with the terms of the applicable plan. The annual performance bonus is a cash bonus intended to provide an incentive to achieve annual targeted results by rewarding for individual and the corporation’s performance over a calendar/performance year. Bonuses are awarded at the Company’s discretion on an individual basis.Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.For more information on how we support the whole health of our employees throughout their wellness, career and life journey, please visit www.careers.jnj.com.
","
            Over 200 applicants
          ",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care
kronos Business Analyst,People Tech Group Inc,"New Jersey, United States",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/kronos-business-analyst-at-people-tech-group-inc-3908017037?position=11&pageNum=0&refId=fEwOFDwS190klwt1PH1Fpg%3D%3D&trackingId=qaKzQRm5qpUP807v6fWveA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Business Analyst (Kronos)Duration: Long termLocation: New Jersey, United States - Onsite 5 days a week.Client: PTG InternalW2, Fulltime (No c2c or c2h)8-10 years of Business Analyst role in Kronos Time and Attendance applicationsHands on experience with Kronos WFC and DimensionsExperience with at least one migration project from UKG WFC to UKG Dimensions (or WFM)Have managed requirements gathering sessions for international organizations. Experience with Mexico, Japan etc. is added advantage.Local in New Jersey or ready to relocate.Female candidate, diversity is preferred.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Engineering, Information Technology, and Business Development",IT Services and IT Consulting
