title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,LTIMindtree,"Charlotte, NC",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-ltimindtree-3882012879?position=1&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=ZzyVfHcXSXIaNE06u%2Bohsg%3D%3D&trk=public_jobs_jserp-result_search-card,"
About US:LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 750 clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.Job Title: Business AnalystWork Location:Charlotte, NCJob Description:Experience in banking domain in areas like (Credit Risk part, Asset classes, Derivates, put and call, Margins, Prime brokerage, CUSIP’s, Derivatives)Experience in Data Migration Projects using ETL tools (preferably Informatica) - with ability to support analysis of AS-IS and TO- BE data flow and data mapping activity .Able to understand long and complex SQL queries and modify it to suite the business needsAdvance level of MS Excel expertise e.g. with vlookups, hlookups, Index/matchExposure to Power BI is a plusWork on multiple and diverse projects across the Risk and Data services team, delivering technical specifications and working together with other teams.Requirement Gathering , collaborating with different application teams.Ability to work in Agile model, updating the Epic with the details and supporting team in story breakdown.Supporting business users during User acceptance testingBenefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):Benefits and Perks:Comprehensive Medical Plan Covering Medical, Dental, VisionShort Term and Long-Term Disability Coverage401(k) Plan with Company matchLife InsuranceVacation Time, Sick Leave, Paid HolidaysPaid Paternity and Maternity LeaveThe range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.Safe return to office:In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Analyst,IT Services and IT Consulting
Business Analyst - Mid Level (Remote),Serigor Inc,"Raleigh, NC",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/business-analyst-mid-level-remote-at-serigor-inc-3891190643?position=2&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=0nRmj4UeHfqrGCFVHhiIHA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business Analyst - Mid Level (Remote)Location: Raleigh, NCDuration: 12+ MonthsJob Description:The client is seeking a Business Analyst (BA) with Medicaid policy, client eligibility and/or Health and Human Services experience to join the Advance Planning Office. The Advance Planning Office is responsible for coordination across NC Medicaid, client and other Divisions and Vendors to ensure accurate development, and timely submission of Advance Planning Document (APD) requests to the Centers for Medicare & Medicaid Services (CMS).The primary role and responsibility of the BA is to work alongside the Budget Manager and APD Manager to provide support in the development of APD budget and documentation. The BA will collaborate with internal and external stakeholders, project teams, technical teams, vendors, contract and budget offices, and other key stakeholders to develop APD budgets required by Centers of Medicaid and Medicare Services (CMS). The BA must be able to take complex concepts and convert them into easily understood written documentation such that the content ensures successful system certification and compliance consistent with program management guidelines and processes and CMS expectations.Essential Responsibilities:Work closely with business stakeholders to understand their needs, objectives, and challenges.Elicit, document, and analyze business requirements, processes, and workflows. Translate business requirements into clear and concise functional specifications for technical teams.Coordinate and meet with various teams, suppliers legal, and key stakeholders to support the gathering, analysis, and finalization of information to obtain final sign-off for the Medicaid Detailed Budget Summary Tables (MDBT).Work alongside the DHB business units, Medicaid Enterprise System (MES) project teams, technology teams, and subject matter experts to gain an understanding of project and related requirements to develop an appropriate MDBTs.Facilitate the Medicaid Detail Budget Summary (MDBT)review meetings with key stakeholders.Communicate complex technical concepts to non-technical stakeholders.Present findings, recommendations, and project updates to various audiences.Collaborate with project managers to define project scope, objectives, and deliverablesUtilize tools, templates, and developed methods to keep abreast of project activities across the program.Ability to exercise communication skills in both written and verbal means to take complex concepts and convert into easily understood written documentation.Organize material and complete writing assignments according to agency standards regarding order, clarity, conciseness, style, and terminology.Attend client meetings to stay informed of current activities in NC Medicaid.Skills:SkillRequired / DesiredAmountof ExperiencePrior state government/public sector experience with health and human services programs (such as Medicaid)Required3YearsProficient use of project collaboration and tracking tools (Microsoft Project Suite, MS Teams, Zoom, etc.)Required5YearsStrong analytical, problem-solving, and critical-thinking skills.Required5YearsProven experience as a Business Analyst or in a related role with experience executing against multiple priorities/projects.Required5YearsDemonstrated stakeholder engagement and collaboration experience. Ability to collaborate effectively with cross-functional teams.Required4YearsPrior APD, Budget, and/or Medicaid Detailed Budget Summary Table (MDBT) experience.Highly desired2YearsProven experience as a Business Analyst or in a related role.Required5YearsExcellent communication and interpersonal abilities.Required5Years
        ","
          76 applicants
        ",Associate,Full-time,"Research, Analyst, and Information Technology",Information Technology & Services
Business Analyst- Mid Level,"V-Soft Consulting Group, Inc.","Raleigh, NC",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/business-analyst-mid-level-at-v-soft-consulting-group-inc-3888141279?position=3&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=F%2FfMbzbDDshsdHKoEsIKnQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Analyst - Mid Level (Remote)Primary Location: Raleigh, North CarolinaV-Soft Consulting is currently hiring for a Business Analyst - Mid Level (Remote) for our premier client.Education And Experience »Prior state government/public sector experience with health and human services programs (such as Medicaid): 3 Years.Proficient use of project collaboration and tracking tools (Microsoft Project Suite, MS Teams, Zoom, etc.): 5 Years.Strong analytical, problem-solving, and critical-thinking skills.: 5 Years.Proven experience as a Business Analyst or in a related role with experience executing against multiple priorities/projects.: 5 Years.Demonstrated stakeholder engagement and collaboration experience. Ability to collaborate effectively with cross-functional teams.: 4 Years.Proven experience as a Business Analyst or in a related role.: 5 Years.Excellent communication and interpersonal abilities.: 5 YearsHighly DesirablePrior APD, Budget, and/or Medicaid Detailed Budget Summary Table (MDBT) experience.: 2 Years.What You’ll DoJob Responsibilities:Elicit, document, and analyze business requirements, processes, and workflows. Translate business requirements into clear and concise functional specifications for technical teams.Coordinate and meet with various teams, suppliers legal, and key stakeholders to support the gathering, analysis, and finalization of information to obtain final sign-off for the Medicaid Detailed Budget Summary Tables (MDBT).Organize material and complete writing assignments according to agency standards regarding order, clarity, conciseness, style, and terminology.Work alongside the DHB business units, Medicaid Enterprise System (MES) project teams, technology teams, and subject matter experts to gain an understanding of project and related requirements to develop an appropriate MDBTs.Facilitate the Medicaid Detail Budget Summary (MDBT)review meetings with key stakeholders.Communicate complex technical concepts to non-technical stakeholders.Present findings, recommendations, and project updates to various audiences.Collaborate with project managers to define project scope, objectives, and deliverables.Utilize tools, templates, and developed methods to keep abreast of project activities across the program.Ability to exercise communication skills in both written and verbal means to take complex concepts and convert into easily understood written documentation.Work closely with business stakeholders to understand their needs, objectives, and challenges.Interested?Qualified candidates should send their resumes to amamidala@vsoftconsulting.comV-Soft Consulting Group is recognized among the top 100 fastest growing staffing companies in North America, V-Soft Consulting Group is headquartered in Louisville, KY with strategic locations in India, Canada and the U.S. V-Soft is known as an agile, innovative technology services company holding several awards and distinctions and has a wide variety of partnerships across diverse technology stacks.As a valued V-Soft Consultant, you’re eligible for full benefits (Medical, Dental, Vision), a 401(k) plan, competitive compensation and more. V-Soft is partnered with numerous Fortune 500 companies, exceptionally positioned to advance your career growth.V-Soft Consulting provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.For more information or to view all our open jobs, please visit www.vsoftconsulting.com or call (844) 425-8425.#INDSP
","
            Over 200 applicants
          ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,ICONMA,"Charlotte, NC",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-iconma-3884482167?position=4&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=69ds7Ksqzf%2F7XGnQogC58A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Location: Charlotte, NC/HybridDuration: 7-8 monthsDescription: The main function of the Collateral Operations group is to mitigate counterparty risk on bi-lateral fixed income REPO and TBA trades governed by an MRA/GMRA and MSFTA agreements, as well as OTC Business governed by CSA agreements.Responsibilities:  ""The candidate will be expected to perform various margin functions for security transactions. Candidate will be heavily involved in maintaining accurate customer and security information on outstanding financing trades, making margin calls to customers by stated deadlines, entering margin trades, re-pricing existing trades, and monitoring their settlement. The candidate will track, report and resolve trade/price discrepancies between our customers/trading/sales desks. The process is very time sensitive and requires an extreme attention to detail.The Collateral Unit interacts with a variety of different groups within the bank:Back Office/Middle Office OperationsCash Management to send/receive cash collateralSales & TradingCredit/Risk ManagementCapital Markets DocumentationDue to the amount of interaction with our counterparts and other groups, excellent communication skills are necessary. An open flow of communication, specifically relating to new issues or problems, is necessary between team members.Requirements: ""Skills Required: Strong Excel SkillsKnowledge of Fixed Income Securities including Repo and Collateral ManagementUnderstanding of relational databases and/or process flowsStrong Communication SkillsAbility to Meet DeadlinesAbility to Handle High Pressure SituationsAbility to Perform Multiple TasksOrganizational Skills with Special Emphasis on the Ability to Prioritize ResponsibilitiesDetail Orientation - specifically the ability to recognize unusual flows/triggers for collateral in agreements and new trade structuresStrives to bring new thoughts and ideas to teams in order to drive innovation and unique solutions.Excels in working among diverse viewpoints to determine the best path forward.Experience in connecting with a diverse set of clients to understand future business needs : is a continuous learner.Commitment to challenging the status quo and promoting positive change.Participate in and drive collaborative efforts to advance tools, technology, and ways of working to better serve an evolving client base.Believes in value of diversity so we can reflect, connect and meet the diverse needs of our clients and employees around the world.As an equal opportunity employer, ICONMA provides an employment environment that supports and encourages the abilities of all persons without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. 
        ","
          115 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Senior Business Analyst (Hybrid),Serigor Inc,"Raleigh, NC",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-hybrid-at-serigor-inc-3878625526?position=5&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=JX7okhc0NAj%2BEr6urpq3bA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Location: Raleigh, NCDuration: 12+ MonthsJob Description:The client is seeking a senior Business Analyst to support the business process and requirements analysis and implementation of a statewide IT project for clientThe client is seeking to replace the current Laboratory Information Management System (LIMS) for their Newborn Screening program with a new Newborn Screening Program Laboratory and Follow-up Information Management system and requires the services of a senior Business Analyst role to work with the business and other stakeholders to support the business process analysis.This senior Business Analyst role will work with multiple internal and external stakeholders to capture requirements, business process workflows and develop other BA artifacts using client Business Analysis Team tools and templates. The client’ preference is to use the agile methodology for the project.Responsibilities:Develop a strong understanding of the functions, uses and requirements for the Lab Information Management System (LIMS)Identifying and documenting current and future state process workflowsDeveloping documents such as: Business objects inventory list Reports, email notifications and Forms List, Email Notifications/Letters Inventory List, User Stories, Permission Matrix, WireframesAdditional development of documents may include but is not limited to entity relationship diagrams, data dictionaries, system context diagramsAssisting in performing functional and integrated testingPreparing and maintaining project documentation and artifacts including analysis, reports and user documentationWorking with project manager, developers, and end-users to ensure LIMS designs meet business requirementsProviding UAT support, including developing test scenarios and cases using client methodologySupporting required system go-live activitiesDocumenting gap analysisTrack delivery and review/approval progress of each deliverable in accordance with approved Project Work Plan and RACIAttending PMO meetingsKNOWLEDGE, SKILLS AND ABILITIES / COMPETENCIES:Demonstrated experience participating in the documentation of functional requirements and technical specifications for existing and new applicationsStrong writing and communication skillsCollaboration and relationship-building with their team members and clientsResults-oriented individual with a very strong work ethic and must be able to demonstrate excellent negotiation, communication and problem-solving skillsAbility to work with customers as a member of cross-divisional work groups and maintain positive and productive relationships with customers, peers, and superiorsAbility to act independently with sound business judgment and thrive in environment with diverse communication stylesAbility to prepare and present oral and written documents clearly and conciselyAbility to manage complex assignments with multiple work streams and aggressive (and sometimes competing) timelinesUnderstanding of Software Development Lifecycle (SDLC) concepts and processKnowledge of and experience with IT Service Management best practices and principlesExperience with Microsoft Office Suite (MS Word, EXCEL, PowerPoint, Visio) and Microsoft ProjectExtensive understanding of SharePoint end user experience, sites, libraries, lists and groupsLab Information Management System (LIMS) or other health systems experience is desiredMust have familiarity with agile methodology, tools and frameworks, i.e. scrum, kanbanSkills:SkillRequired / DesiredAmountof ExperienceExtensive knowledge of business system analysis techniques and testing methodologiesRequired7YearsDemonstrated experience in gathering business requirements and development of business rules and process flow.Required7YearsProven experience with business process design, definition and/or re-design.Required7YearsExperience with Business Analysis methodologies and problem solvingRequired7YearsAbility to utilize Microsoft Office Suite (MS Word, EXCEL, PowerPoint, Visio) Microsoft ProjectRequired7YearsExcellent communication skills (both verbal and written)RequiredExperience in development of procurement related documents including RFP and evaluation criteria.Required5YearsDemonstrable analytical skills and an attention to detail.RequiredExcellent creative thinking and problem solving skills Proactive, quality oriented, with demonstrated leadership and team building skills.RequiredExperience working for State governmentHighly desiredHealthcare related experienceHighly desired3YearsKnowledge Creating Context Diagram and Functional decompositionRequired5YearsExperience with DPH public health lab system and programsHighly desired3YearsFamiliarity with agile methodology, tools and frameworks, i.e. scrum, kanbanHighly desired3YearsPowered by JazzHR9RiXHYOcO6
        ","
          95 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Internet Publishing
Business Analyst,LendingTree,"Charlotte, NC",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-lendingtree-3883809081?position=6&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=gqoO4Mx1pgavsX2B6OdFTg%3D%3D&trk=public_jobs_jserp-result_search-card,"
This position is based in the Charlotte, NC area with a hybrid work schedule of three days per week in office (Tues, Wed, Thurs) and two days WFH.Applicants must be authorized to work for ANY employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa at this time.THE POSITIONYou absolutely love data (unstructured and structured), testing hypotheses, and arriving at data-driven recommendations that have an immediate impact on the business. You are passionate about communicating insights as much as you are about discovering them in the first place. You constantly ask questions about how to use analytics to improve the business. Is there a better way to identify responsive customers? Who is the best lender we should match to a customer? Are there new data sources out there that would help us make better decisions?You will partner with the general managers and functional leaders of our businesses to convert ambiguous business problems into analytical frameworks. The goal will be to identify meaningful solutions. You will accomplish this via manipulation of large datasets, identification of key variables and development of a narrative. You will need to be able to challenge the status quo and influence the organization through clear communication of your recommendations with linear, logical arguments and supporting data.This role is integral to the day-to-day operations of our business. You will have a close relationship with your business partners and help them understand the data that drives the business. You will be responsible for the testing, construction and optimization of our strategies for your line of business. You will closely supervise performance and be the first to alert the business of any issues with a robust explanation of the driving factors. You will drill into data to find the pockets of opportunity.We are a learning culture. People who do well here:Are proactive – they own their developmentFind ways to stretch themselves and contributeAsk for feedback from people they work withRESPONSIBILITIESManipulate datasets to identify patterns and translate the resulting insights to your partnersTrack results of strategic business initiatives to resolve whether the outcome was a success; support development and conclusion of A/B testingDefine and track critical metrics to ensure targets are met including volume, staffing, quality and margin goalsPerform industry research by combining internal and external data sources into concise, actionable summariesQUALIFICATIONSBachelor's Degree in Engineering, Statistics, Business, or similar quantitative field.Ability to convert abstract business problems into frameworks and solutionsPragmatic: you know the 80/20 rule, and know when to boil the ocean and when not to. The solutions you develop are understandable and implementable.Proficiency in software required to manipulate large data sets such as SQL, Python, R, ExcelStrong organizational and communication skillsClose coordination and knowledge/data sharing with counterparts who share goals and responsibilitiesAbility to work independentlyCOMPANYLendingTree is the nation's largest online lending marketplace. That means we connect customers with multiple lenders so they find the best deals on loans, credit cards, savings accounts and insurance. Our goal is to help people save money, and we believe the best way to do that is by giving them a way to shop for loans and compare lenders so they make their best financial choices.Our CEO Doug Lebda founded the company in 1996 after a frustrating house-hunting experience. In those days, we mostly helped people find good mortgage deals. Now, we help consumers find their best in personal loans, auto loans, business loans, student loans, credit cards, savings accounts, home equity loans and more.What else you should know: We're a publicly-traded company (TREE).We've welcomed several other companies into the LendingTree family to augment our efforts at helping borrowers make their most sensible financial choices.We've built the LendingTree app and My LendingTree dashboard to give consumers tools to manage and monitor their financial health.We still make funny commercials.The pay range for this position in Colorado/New York is $70,000-100,000 however, base pay offered may vary depending on job-related knowledge, skills, and experienceIncentive Compensation: Eligible for annual performance bonusBenefits: Medical, dental, vision insurance and 401(k) matchingCULTUREWe're a fast-paced company with an entrepreneurial bend. We work hard and test our products often. We're collaborative, ambitious, candid and high-energy. Our teammates are some of the brightest, most talented people you'll ever work with. We care more about your smarts than we do about the kinds of clothes you wear (but please, do wear clothes to work!), and we're pretty good about rewarding innovation, creativity and the knack for just getting stuff done (we even have an award for employees called the GSD, ""Get Stuff Done"").Come work with us!LendingTree is the kind of company that not only promotes diversity and inclusion; we thrive because of these values. We do not discriminate based on race, color, religion (or creed), gender, gender expression, age, national origin, disability, marital status, sexual orientation or military status.
","
            Over 200 applicants
          ",Entry level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet"
Business Analyst,"Datasoft Technologies, Inc.","Raleigh, NC",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-datasoft-technologies-inc-3889029401?position=7&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=H1XQ7Kjq41RNVWSisFnn5A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Business AnalystRemoteAbout the JobDuration: 12 Month contract w. possible extension Location: Raleigh, NC Pay rate: HourlyJob ID: 733341Responsibilities: Identify and document stakeholders, data flows, and current and future state process flows.Gather, document, validate, and maintain business, functional, and technical/non-functional solution requirements needed as input to market analysis, software procurement, and solution development process.Translate client's business needs into agile themes/features, personas, epics, user stories and product backlogs or detailed business requirement documents and use cases depending on development approach.Work with Product Owner, business SMEs and Vendor to groom user stories and define acceptance criteria to ensure that stories meet the team-defined definition of ready.Work with vendor or internal developers and testers to confirm the functionality meets the story's acceptance criteria.Participate in vendor discovery/gap analysis and detailed requirement development efforts.Assist the Business/Product Owner in planning, preparing for and conducting user acceptance testing, including developing test scenarios and test cases.Perform requirements traceability throughout the project lifecycle to support user acceptance testing and production rollout.Develop procurement documents such as Requests for Proposals, Requests for Quotes, and Requests for Information.Develop federal Advanced Planning Documents and Advanced Planning Document Updates as needed to secure federal funding. Support vendor proposal evaluation efforts and assist in documenting/consolidating evaluation results.Support process improvement initiatives.Perform market research for proposed automation projects.Support options analysis and business case development for proposed automation projects.Document meeting agendas and notes.Facilitate requirements gathering meetings.Provide technical writing support including developing project document templates, proofing and/or authoring documents, drafting formal communications, and disseminating project documents. Support project manager in maintaining project artifacts and developing status reports.Support the development of surveys, assessment tools, project methodologies, policies and procedures.Maintain SharePoint site for each assigned projectPerform other analysis and technical writing assignments as assignedQualifications:Demonstrable analytical skills and attention to detailExcellent communication skills (both verbal and written)Demonstrable analytical skills and an attention to detailExcellent creative thinking and problem-solving skillsWorking knowledge of Jira and Confluence7 Years of experience: Knowledge creating Context, Data Flow, and Functional Decomposition Diagrams5 Years of experience: Knowledge of business system techniques and testing methodologies for software developmentDemonstrated experience in gathering business requirements and development of business rules and process flow.Proven experience with business process design, definition and/or re-design.Solid understanding of software development lifecycle and Agile, Waterfall and Hybrid development frameworks, including BA roleHigh proficiency in Microsoft Office products (MS Word, Excel, PowerPoint) and SharePointExperience in planning & coordinating user acceptance testiing including developing and executing test scenarios and test casesExperience facilitating small to large meetingsAbout our CompanyDataSoft Technologies is a highly recognized provider of professional IT Consulting services in the US. Founded in 1994, DataSoft Technologies, Inc. provides staff augmentation services for Information Technology and Automotive Services. Our team member benefits include:Paid Holidays/Paid Time Off (PTO)Medical/Dental InsuranceVision InsuranceShort Term/Long Term DisabilityLife Insurance401 (K)
","
          121 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Banking Business Analyst,Infosys,"Charlotte, NC",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/banking-business-analyst-at-infosys-3909336493?position=8&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=ouj7M9TqvV1I3EFHGqP8vA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Infosys is seeking a Banking Business Analyst with good experiences working in Digital Banking (Corporate, Community banking and Investment Banking) subdomains. As a Consultant, you will be a key player in the consulting team that helps discover and define the problem statement, evaluates the solution options and makes recommendations. You will create detailed design, architecture and process artifacts and implement the deployment plan. You will also support knowledge transfer with the objective of providing value-adding consulting solutions that enable our clients to meet the changing needs of the global landscape.Location for this position is Charlotte, NC. Candidate must be located within commuting distance or be willing to relocate to the area. This position may require travel to project locations.Required Qualifications:• Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education.• At least 4 years of experience with Information Technology.• Experience in Transaction Banking, Fraud etc.Preferred Qualifications:Atleast 8 years experience as Product Owner in the Banking / Digital application.At least 5 years of experience in Business Analysis tools like HP ALM and MS Visio.At least 3 years of experience in Development/ Configuration/solutions evaluation/ Validation and deployment.At least 5 years of experience in capturing requirements related to internal/external consulting, documenting, and mapping current business process.Strong understanding of Open banking architecture and reusable API’s which shall be used across digital channels.Understand the technical mapping elements and mapping of request and responsesStrong Product Owner with ability to communicate at leadership level.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Consulting,Banking and Investment Banking
Business Analyst,"American Honda Motor Company, Inc.","Greensboro, NC",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-american-honda-motor-company-inc-3905300500?position=9&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=2ZcbKTZzBIF78w%2B4RvUVHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
General SummaryThe Business Analyst will contribute to product planning & development operations that enable company to make expeditious and sound business decisions. Communication and collaboration with other business departments are essential in achieving the objectives of this position.Duties And ResponsibilitiesSupport manager(s), Program Management Office to complete the following duties & responsibilities: Data collection & analysis that contribute to R&D planning and budgeting as part of the Program Management Office. Research & analyze the company’s business and that of other companies, including financial data. Coordinate with internal & external contacts (consulting firms, prospective business partners, etc.) to drive projects. Create data sets and presentations related to the above research, analysis, and project promotion. Support company-wide projects.
","
          56 applicants
        ",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Motor Vehicle Manufacturing
Business Analyst,Stellent IT,"Raleigh, NC",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-stellent-it-3888430266?position=10&pageNum=0&refId=Kl3U0rOs%2B%2FnxpcLsFqcR0Q%3D%3D&trackingId=Q2Z1V%2FBLtPFB2niTyedbrA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Raleigh, North Carolina (2-3 day on-site in week)GC or USC OnlyThe Senior Business Analyst will act as a consultant to:Elicit, document, and prioritize business needsLead requirements-gathering sessions to define business and process requirementsGain consensus with stakeholder's new process designsGather, scope, and document requirementsIdentify and document use cases or usage scenariosIdentify business line dependencies and conduct impact analysisAdvise IT and business stakeholders on pros and cons for different solutionsPerform other duties as assigned to complete project tasks and requirementsResponsibilitiesGathering, refining and documenting detailed business requirementsCapturing business workflows, business rules and user rolesUse Case documentationUser Story documentationBusiness Rules and Functional Requirement documentationDefining Acceptance Criteria for each requirementAbility to review Functional Design to ensure it meets requirementsProvide limited support for new applications during implementationConsult with clients to prototype, refine, test, and debug applications to meet needsProvide operational support for clients and the Dynamics solutions that support their business processes
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
