title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Process Business Analyst,"ADVICS North America, Inc.","Lebanon, OH",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/process-business-analyst-at-advics-north-america-inc-3902683271?position=1&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=NhACVKUfXqyBQuHmv%2BLmAg%3D%3D&trk=public_jobs_jserp-result_search-card,"
SummaryJob DescriptionThis role plays a crucial part in leading digital transformation within the organization by leveraging innovative solutions, optimizing processes, and delivering business value through exceptional user experiences and product quality. The primary function of this position is to transform the Purchasing group from paper-based processes to digitally managed. The goal of this position is to bring visibility, control, and efficiency while driving innovation.Essential Job Responsibilities And Duties Create and execute the process digitalization roadmap for ADVICS North America Purchasing Team.  Identify specific business opportunities and ways to capitalize on them.  Influence stakeholders to support business projects.  Lead project management for selected projects.  Assist in developing workflows by discussing, analyzing, and documenting processes.  Evaluate and implement changes and improvements to optimize efficiency and productivity.  Explore the integration of artificial intelligence (AI) and machine learning algorithms to identify patterns and predictive insights for process optimization and automation.  Develop dashboards and reports to visualize process performance metrics and trends, enabling informed decision-making.  Present ongoing reports to stakeholders, acting as a liaison for communication and performance needs.  Facilitate testing criteria, test plans, and implementation with end users.  Collaborate with IT and developers to ensure optimal user experience and product quality.  Communicate with other teams and stakeholders to identify, monitor, and resolve issues. Other Responsibilities And Duties Business Value Creation: Develop strategies that align with organizational goals and add measurable value.  User Experience Optimization: Ensure digital products meet user expectations and deliver an exceptional experience.  Product Quality Assurance: Create testing scenarios, conduct user tests, and document support manuals for high-quality products.  Change Management: Drive and facilitate change within the organization to support digital transformation initiatives.  Data Analysis and Insights: Extract, analyze, and interpret data to inform decision-making and propose system enhancements.  Cross-Functional Collaboration: Work effectively with IT, developers, stakeholders, and other teams to achieve project objectives.  Self Directed: Proven ability to work autonomously. Work Environment and Physical DemandsThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The work is performed in a typical office setting. The work is mostly sedentary.  The noise level in the work environment is usually moderate. Open office environment exists.  This position requires extensive communication with others internally to the company and with external IT sources both verbal and written.  Required to work additional hours to meet deadlines, as necessary. Minimal travel is required to meeting sites. Equipment and Supporting Services Basic Equipment needed is PC/Laptop, Cell Phone, Business Cards and Security Badge. QualificationsEducation and Experience:Desired Qualifications: Bachelor's degree in Management, Finance, Computer Science, Technology, Engineering, or Supply Chain Management.  2-5 years of experience as a Business Analyst, Process Owner, or Process Manager.  Experience in digital product or services development, particularly in the automotive industry and purchasing, is advantageous.  Familiarity with testing and quality assurance processes.  Proficiency in using tools such as Nintex K2, Microsoft Power BI -- SharePoint - Office and Oracle.  Knowledge of data extraction, validation, and analysis techniques.  Experience with electronic procurement and analytical software is preferred. Special Skills: Strong analytical abilities and problem-solving skills.  Excellent communication and presentation skills.  Ability to work collaboratively in a cross-functional team environment.  Adaptability and flexibility to navigate change and evolving project requirements.  Detail-oriented with a focus on delivering high-quality results.  Leadership qualities to facilitate ideation sessions and drive change initiatives effectively.  Strategic thinking and ability to align digital strategies with organizational goals.  Sound knowledge of and ability to apply business and purchasing principals.  Prior experience in a team-based management culture. Company DescriptionAbout Us:ADVICS has a global network for the development, production, and sales of our products, with facilities in North America, Central America, Asia, and Europe. We can supply the very best systems for our customers' needs, anywhere in the world.As an integrated supplier, we develop all components of our brake systems, including the brake pads, and utilize all resources of the ADVICS group to provide the world's best brake systems. By exceeding customer expectations and providing local service, we strive to promote safety on all of the world's roads.About Us: ADVICS has a global network for the development, production, and sales of our products, with facilities in North America, Central America, Asia, and Europe. We can supply the very best systems for our customers' needs, anywhere in the world. As an integrated supplier, we develop all components of our brake systems, including the brake pads, and utilize all resources of the ADVICS group to provide the world's best brake systems. By exceeding customer expectations and providing local service, we strive to promote safety on all of the world's roads.
        ","
          57 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Motor Vehicle Manufacturing
Business Analyst,Masis Professional Group,"Wadsworth, OH",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-masis-professional-group-3908660078?position=2&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=a6YeYcFbKbgfCYH%2FgnmlmA%3D%3D&trk=public_jobs_jserp-result_search-card,"
ESSENTIAL JOB TASKS:Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.· User-Centric Collaboration: Work closely with business staff to gain a deep understanding of the information systems and technology needs.· Impact Assessment: Determine the implications of project changes on both the business and existing systems.· Process Mapping: Analyze existing business processes to identify areas for improvement. Develop and maintain process map and workflow including automation opportunities.· Recommendation: Provide informed recommendations for process and system changes and enhancements.· Planning and Communication: Negotiate project plans and timeframes, ensuring clear comprehension among stakeholders and business teams.· Specification Development: Create and communicate detailed implementation specifications to developers, documenting those using tools like Jira.· Testing and Verification: Satisfy project analysis, testing verification, and address user IT requests related to system modifications.· Client Satisfaction: Collaborate with Project Managers to ensure client requirements are met.· Documentation: Work with Project Managers to maintain accurate and up-to-date project documentation.· Problem Analysis: Research and analyze system defects or challenges, leveraging tools to understand their nature and impact.· Continuous Improvement: Stay up to date with industry trends and best practices. Proactively identify areas for continuous improvement in both the business and IT.QUALIFICATIONS AND EDUCATION REQUIREMENTS:· College Degree in Operations or Information Technology preferred· Minimum of 5 years of print experience KNOWLEDGE, SKILLS AND ABILITIES:· Core Values: Exemplify the core values of the company, including Partnership, Integrity, Drive, and Initiative, fostering relationships, trust, and proactive engagement in continuous improvement.· Communication: Possess excellent communication skill and demonstrate strong leadership qualities. Be highly organized with impeccable personal organization and computer skills.· Industry Knowledge: Showcase deep experience and knowledge within the industry.· Technology Proficiency: Proficient in Microsoft Office 365, including Teams.· Problem Solving: Demonstrate strong creative and problem-solving skills.· Attention to Detail: Be extremely organized with great attention to detail.· Leadership: Exhibit excellent management skills with the ability to lead, facilitate, motivate, and organize.· Teamwork: Successfully collaborate with others in a team environment.
","
          150 applicants
        ",Mid-Senior level,Full-time,Information Technology,Manufacturing
Senior Business Analyst,Tata Consultancy Services,"Cincinnati, OH",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-tata-consultancy-services-3902394436?position=3&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=X5xaroaAM9qnY2rEqGikcA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Technical/Functional Skills · Experience in workforce/employment domain: o Wagner-Peyser (WP), Workforce Innovation and Opportunity Act (WIOA), grant management, Veterans Employment and Training Service (VETS), programs, eligible training provider list (ETPL), reporting, program and participant outcomes, and customer service o Familiarity with Federal Labor Laws and Regulations and how they affect states laws, regulations, and policy o Familiarity with interpretation of federal directives and issuances such as TEGL, UIPL, and TEN series · Proficient in requirements gathering, application capability demonstration, gap analysis and documentation, functional designing, and customer communication · Moderate to high proficiency using MS Office Suite of tools, especially Word, Excel, and PowerPoint · Scheduling meetings, participating in meetings, and moderating meetings using MS Teams, WebEx, and other similar virtual meeting/communications tools · Excellent team skills; ablity to work independently, as a team member, or as a team leader · Good comprehension and delivery of written and oral communication · Proficient in problem solving and conflict resolution · Excellent leadership capabilities to drive the functional team
","
          164 applicants
        ",Mid-Senior level,Full-time,Analyst,Business Consulting and Services
Junior Business Analyst,Emerald Resource Group,"Cleveland, OH",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/junior-business-analyst-at-emerald-resource-group-3908942064?position=4&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=qeYp0g%2BIYa44c9Q5MV3J%2FA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business AnalystProcess Analyst: RPA SolutionsNO H1 or C2CMust live currently in NE Ohio. Local candidates only considered Company OverviewOur client is a systems integrator and RPA solutions company dedicated to delivering the Fully Automated System, where companies use automation, combined with analytics, as a force multiplier, accelerating growth and reducing compliance risk. Our client offers a variety of process optimization services and end-to-end systems integration, combining the leading Robotic Process Automation (RPA) solutions with a full suite of capabilities such as Process Mining, Task Automation and managed services to enable businesses to scale and achieve their digital transformation goals rapidly. Process Analyst / Business Analyst - Envision joining a company where you...with amazing co-workers dedicated to delivering innovative technology solutions to our clients.be part of a team whose contributions will have a major impact on the company and be instrumental in achieving unbelievable outcomes for our clients.and build solution-based relationships with the leading financial services companies.your path to exceptional professional growth and development by defining objectives that meet your individual goals Process Analyst / Business Analyst - You'll have the opportunity to...Requirments gathering to identify process key performance improvement areas.Meet with customers to discuss areas of focus and improvement within the business.Work with external customer to analyze currently established processes.Interview staff and management to determine the requirments, goals, KPIs, and opportunities for improvement.Design workflow and process strategies to improve business performance.Create and present process mapping, designs and proposals.Implementation of revised company processes and workflows.Monitor and test the automated workflows and advanced analytic reporting.Stay up to date with the latest business practices and technologies.Build trusted relationships with customers, leading to greater satisfaction and customer loyaltyProvide market feedback to the organization around customer trends, market development, and competitive activities Process Analyst / Business Analyst - What you will bring to the team...Bachelor's degree in degree in business, economics, accounting, or similar.3 years experience as a business process analyst or equivalent.Hand-On experience with workflow and process discovery software:Proven portfolio of completed proejcts which delivered quantifiable workflow.Advanced understanding of integrated business functions, workflows, and processes.Excellent written and verbal communication skills.Analytical and problem-solving skills.Good interpersonal and interviewing skills.Experience with team and project managementEmail resume to: mark@emeraldresourcegroup.comMark Krusinski, CPC 440.627.6904check out all our jobs at: https://www.emeraldresourcegroup.com/for-candidates/career-search/search-jobs/#businessanalyst #hiring #processanalyst #requirmentgathering #careers
","
          193 applicants
        ",Associate,Full-time,"Writing/Editing, Information Technology, and Analyst","IT System Custom Software Development, IT Services and IT Consulting, and Professional Services"
Manufacturing Business Analyst,INSPYR Solutions,"Fairfield, OH",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/manufacturing-business-analyst-at-inspyr-solutions-3840945536?position=5&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=O2%2BMZa%2BdO%2BZoMTaI7QxCfA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Title: Manufacturing Business AnalystLocation: Fairfiled, OHDuration: Direct-HireWork Requirements: US Citizen, Green Card Holder, or Authorized to Work in the USQualified candidates should send their resume (Word format) to Nick Castiglia at NCastiglia@INSPYRsolutions.com.OverviewThis will serve as a lead role working with the company to improve, streamline, and analyze processes and data that support business information systems and provide solutions across multiple departments in a Manufacturing context. This role will develop technical solutions and create business value by defining, documenting and analyzing requirements and assisting with problem-solving and root-cause analysis through data analysis. You will work closely with Manufacturing users to develop solutions to improve business processes and utilization of ERP. This role also ensures that solutions are documented, tested, and accepted before being implemented into the production environment. Will build relationships with the users by communicating regularly with them regarding daily or ongoing issues. Manages user expectations by informing them of project status and changes to their working environment. The ideal candidate will have knowledge of NetSuite Advanced Manufacturing.Duties/ResponsibilitiesUnderstand and document business requirements; communicate and validate with relevant stakeholders; identify business process improvement opportunities.Gathers and analyzes data and process issues to evaluate and identify areas of improvement in the business and recommend automation improvements.Create and maintain saved searches, saved reports, and analytics per departmental requests.Assist the NetSuite Administrator with large implementations and development projects to add new modules and integrations.Collaborate with the NetSuite Administrator to develop, test, and deploy new system modules and functionality.Develop written training and procedural documentation to aid users in the proper use of the system.Identify the root cause of system errors by performing data discovery, analysis, and modeling before recommending and applying solutions.Champion adopting best practices, policies, project management, and change management.Required Skills/ AbilitiesKnowledge of Advanced Manufacturing, Bills of Materials, and Manufacturing Routings.Knowledge of Order to Case, Procure to Pay, and Record to Report processes.Some knowledge of basic accounting and business principles.Excellent communication skills and professionalism, and a desire to help at all times while maintaining an approachable business posture and exhibiting a positive attitude toward users.Ability to prioritize and complete complex projects in an accurate and timely manner.Evidence of excellent project management, organization, and time-management skills.Analytical skills to determine root causes and determine the best course of action for effective solutions.Ability to understand and develop ""best practices” based on the company's mission and vision. Education & Experience Four-year college degree or equivalent combination of education, training, and experience3-5 years of experience with business analysis and developing business processes and solutions2+ of related work experience with NetSuiteItems considered a plus:RF Smart WMSNetSuite MRP About INSPYR Solutions:Technology is our focus and quality is our commitment. As a national expert in delivering flexible technology and talent solutions, we strategically align industry and technical expertise with our clients' business objectives and cultural needs. Our solutions are tailored to each client and include a wide variety of professional services, project, and talent solutions. By always striving for excellence and focusing on the human aspect of our business, we work seamlessly with our talent and clients to match the right solutions to the right opportunities. Learn more about us at inspyrsolutions.com.INSPYR Solutions provides Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, INSPYR complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst (2 Positions),Blue Star Partners,"Columbus, OH",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/business-analyst-2-positions-at-blue-star-partners-3888617879?position=6&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=bqYbbNQW2aC7pU0BN%2FE53A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business Analyst (2 Positions)Location: Remote with some travel to Columbus, OhioPeriod: Now to 07/31/2024 with possibility of extensionHours/Week: 40 hoursRate: Up to $112/hr depending upon experienceScope Of ServicesThe Business Analyst will focus on supporting functional design and build activities within the Construction domain, while the other Business Analyst will focus on the Customer domain. They will collaborate with cross-functional teams to gather and analyze business requirements, develop detailed functional specifications, and facilitate stakeholder meetings and workshops. The Business Analysts will play a key role in translating business needs into technical requirements and supporting the testing and validation of domain-specific systems. Both resources must have experience with SAP.Role, Responsibilities, And DeliverablesCollaborate with cross-functional teams to gather and analyze business requirements related to construction projects (Construction Business Analyst) or customer-related initiatives (Customer Business Analyst). Develop detailed functional specifications, business process models, and workflow diagrams to support domain-specific initiatives. Facilitate stakeholder meetings, workshops, and interviews to elicit requirements and gather feedback on proposed solutions. Act as a liaison between business stakeholders and technical teams to translate domain-specific business needs into technical requirements and vice versa. Support the testing and validation of domain-specific systems, ensuring accuracy and compliance with business requirements. Provide ongoing support and guidance to end-users during the implementation and post-implementation phases of domain-specific projects. Utilize SAP experience to integrate SAP functionalities into the domain-specific projects and ensure alignment with SAP standards and practices. QualificationsBachelor's degree in Business Administration, Engineering, Construction Management, or a related field. Proven experience as a Business Analyst in the construction industry (for the Construction Business Analyst) or in customer-facing roles (for the Customer Business Analyst), with a strong understanding of domain-specific processes and best practices. Proficiency in business analysis techniques, including requirements elicitation, process modeling, and stakeholder management. Excellent analytical skills with the ability to interpret complex data and make informed recommendations. Strong communication and interpersonal skills, with the ability to effectively collaborate with stakeholders at all levels of the organization. Experience working with SAP and familiarity with SAP modules relevant to the respective domain. Experience working in an agile environment and familiarity with agile methodologies is preferred. Knowledge of industry regulations and standards relevant to the respective domain is a plus.
","
          45 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Business Consulting and Services
Sr. Business Analyst,Jurgensen Companies,"Cincinnati, OH",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/sr-business-analyst-at-jurgensen-companies-3905119065?position=7&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=cz5LuOifeiaSMmqNwCLMrA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business analysts identify, define and document business processes and software requirements to be developed as software or implementation of software. They serve as a liaison between business and IT teams by facilitating communication and determining software objectives that align with stated and unstated business needs. Key Responsibilities Obtain a deep understanding of relevant business area(s) to be able to recommend solutions and build high-quality requirements.Use a variety of techniques to understand business requirements, such as interviews, workshops, surveys, site visits, and storyboards.Shape business requirements by making recommendations and suggesting alternatives to proposed solutions.Understand technical options, limitations, costs, and risks. Communicate tradeoffs to business partners and work with them to shape requirements accordingly.Translate conceptual user requirements into clear, detailed functional requirements.Work with business and delivery teams to prioritize requirements.Help resolve competing priorities between stakeholder groups by facilitating stakeholder discussions and escalate issues where appropriate.Manage requirements scoping throughout the delivery process.Create artifacts as appropriate, including business case documentation, scope documentation, and process flows.Support delivery teams as they develop, test, and deploy solutions.Review delivery team output to ensure requirements are correctly interpreted; define and execute test cases.Document current processes and models to understand inefficiencies or gaps.Identify and assist in prioritizing opportunities to streamline business processes.Promote a collaborative team environment and provide mentorship to junior-level analysts.Skills and CompetenciesExperience determining the explicit and implicit needs and requirements of various stakeholders.Ability to quickly learn the objectives, structures, operations, and policies of a new business area.Strong problem resolution, negotiation, and influencing skills.Demonstrated ability to engage both developers and business partners to achieve target outcomes.Proven interpersonal skills and an ability to influence senior leaders and peers.Demonstrated ability to communicate complex technical information in a condensed manner to various stakeholders verbally and in writing.Experience creating documentation such as business case documentation or business requirements summaries.Adaptability and a willingness to learn new skills.Qualifications for Sr. Business AnalystBachelor’s degree (or equivalent years of experience).4-8 years of experience in business analysis.Background in construction or manufacturing or similar industries is preferred.Business analysis certification (e.g., CBAP) is preferred.EOE/M/F/Disabled/Veteran/DFSP
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Construction
Business Strategy Optimization Analyst,Fifth Third Bank,"Cincinnati, OH",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-strategy-optimization-analyst-at-fifth-third-bank-3911236156?position=8&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=DYYgsJUf09sFcgagdXlbHQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Make banking a Fifth Third better®We connect great people to great opportunities. Are you ready to take the next step? Discover a career in banking at Fifth Third Bank.JOB DETAILS: Perform strategic analysis of credit and business portfolios using analytical frameworks and modeling techniques (including decision trees, logistic and linear regression, machine learning, etc.) to generate insights and strategies to drive profitability. Gather and prepare complex data for modeling and analysis. Code with SAS and SQL to perform data cleaning and processing of multi-million records. Conduct root cause analysis for discrepancies by using data. Perform statistical computing; do data wrangling and data visualization.REQUIREMENTS: Bachelor’s degree in mathematics, statistics, data science or related quantitative field of study. At least 1 year of experience or post-bachelor’s education in analytics or risk management domain including some coursework or experience with statistical computing, data wrangling and data visualization.Business Strategy Optimization AnalystLOCATION -- Cincinnati, Ohio 45227Fifth Third Bank, National Association is proud to have an engaged and inclusive culture and to promote and ensure equal employment opportunity in all employment decisions regardless of race, color, gender, national origin, religion, age, disability, sexual orientation, gender identity, military status, veteran status or any other legally protected status.
        ","
          84 applicants
        ",Mid-Senior level,Full-time,Business Development and Sales,Financial Services
Business Operations Analyst,Staffing Solutions Enterprises,"Richfield, OH",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/business-operations-analyst-at-staffing-solutions-enterprises-3885729116?position=9&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=UreLsWS499RGQUFYSBGDCw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job SummaryWe are looking for a confident Business Systems Analyst for our great client in Richfield, OH. The ideal candidate will have strong problem-solving skills and the ability to communicate effectively with team members and stakeholders. The Business Systems Analyst will be responsible for analyzing business requirements and designing solutions to meet those requirements.Salary: $95-115KM – F, 8:30am – 5pm, 100% OnsiteDescription of Responsibilities:Standardize and enhance workflows in ERP and/or novel systems -Quoting process -Item setup and maintenance -Vendor and Customer setup and maintenance -Sales Rep setup and maintenance -Repair service process -Shipping and receiving processSystematize auditing of above processes and maintain data integrityObserve and assess processes through regular interaction with all functional teamsMaintain staff competency on processes through documentation and trainingPartner with Sales Managers on defining and monitoring Sales Rep KPIs -Output metrics (Results) -Input metrics (Effort)Partner with Business Leadership on Sales team and Operations level KPIsTravel Requirements:Occasional travel to company branchLimited overnight travel for conferences or vendor meetingsKnowledge / Skills / Experience:Bachelor’s degree in Information Systems, Business, Accounting, Finance, Supply Chain, Operations, or a related fieldStrong business acumen and problem-solving capabilitiesProject management experienceData analysis and manipulation experienceDirect experience with some form of database and/or reporting softwareAbility to understand and orient solutions around concerns of diverse functional departmentsProficient in Microsoft Excel
","
          189 applicants
        ",Mid-Senior level,Full-time,"Analyst, Information Technology, and General Business","Electric Power Transmission, Control, and Distribution"
Business Analyst - Governance & Reporting,Western & Southern Financial Group,"Cincinnati, OH",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/business-analyst-governance-reporting-at-western-southern-financial-group-3898161500?position=10&pageNum=0&refId=VsI5rXU%2BMrj5KO4yJMyAHw%3D%3D&trackingId=cg06p8DAwauUMgsu6pX7CA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Western & Southern is looking for a dynamic candidate who has both business analysis and project management experience to actively participate in the development and maturation of our Program Management Office (PMO). The PMO Governance & Reporting team partners across the W&S enterprise to provide services and support with all aspects of the PMO’s portfolio, program, and project management governance practices. This role provides with collaboration opportunities across the enterprise while bringing your BA and PM expertise into solutioning and developing best practices. You will coach and collaborate with others to drive results. You will be a change agent and an advocate for Centers of Excellence (COEs) and Communities of Practice (COPs) to provide leadership and support others in their career growth and development.Are you self-initiating? Do you build and maintain strong working relationships with multiple stakeholders? Do you enjoy being part of a team as well as a contributing individually? This may be the role for you.Duties and Responsibilities:Delivery of PMO governance and reportingExecution on visions, goals, priorities and values across the enterprise, IT, and the PMODevelop and maintain strong relationships to drive results and deliver services as neededMonitor, track, and develop meaningful measures and metric in support of portfolios, programs, and projectsDevelop, document, and train new and existing procedures and processesLeverage business analysis and project management expertise to define and enhance best practicesDrive results while holding self and others accountable for high-quality delivery and rapid execution across the enterpriseRequirements:At least 10 years of experience assisting with the execution of program and project management and/or PMO governance and reporting.Demonstrated ability to define, track, and report on metrics used to identify process outcomes and improve performance.Proven ability to develop training materials and to train both business and IT associates in new processes.Proven experience in mentoring and coaching in program and portfolio management governance, quality control tracking, process training, and metrics development and reporting.Demonstrated use of strong listening, communication and presentation techniques. Verbal and written communications are to conform to proper rules of punctuation, grammar, diction and style.Demonstrated experience leading and completing assigned tasks accurately and in a timely manner.Proven analytical/problem-solving/critical-thinking skills.Demonstrated adaptability when required to adjust to multiple demands/deadlines, shifting priorities, ambiguity and rapid change.Excellent attention to detail
","
          141 applicants
        ",Mid-Senior level,Full-time,Information Technology and Project Management,Insurance and Financial Services
