title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Inceed,"Oklahoma City, OK",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-inceed-3887498770?position=1&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=pUkCJwRlBFLrmAoQI0DqZA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Compensation: $75,000 to $80,000Location: Oklahoma City, OklahomaBusiness AnalystInceed has partnered with a great company to help find a skilled Business Analyst to join their team!As a Business Analyst, will assist as the team by understanding business needs, defining requirements, and facilitating solutions to improve processes and drive organizational success.Required Qualifications & Experience:3+ years relevant and professional experience as a Business Analyst. Proven experience supporting software development and data warehousing/analytics projects. Analytical skills and the proven ability to evaluate information, identify patterns, and propose effective solutions for the business. Data analysis experience/exposure using tools such as SQL, Excel, and/or similar platforms. Excellent communication, organization, and a commitment to being detail-oriented. Perks & Benefits: 3 different medical health insurance plans, dental, and vision insurance Voluntary and Long-term disability insurance Paid Time Off, 401k, and Holiday Pay* Weekly direct deposit or pay card deposit If you are interested in learning more about the Business Analyst opportunity, please submit your resume for consideration. We are unable to provide sponsorship at this time.We are Inceed, a staffing and direct placement firm who believes in the possibility of something better. Our mission is simple: We’re here to help every person, whether client, candidate, or employee, find and secure what’s better for them. Inceed is an equal opportunity employer. Inceed prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.
","
            Over 200 applicants
          ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Infrastructure Business Analyst,Tech Mahindra,"Oklahoma County, OK",2024-04-14,On-site,,https://www.linkedin.com/jobs/view/infrastructure-business-analyst-at-tech-mahindra-3896227129?position=2&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=YNk0sv%2BJWYqebJ5bDQv9ug%3D%3D&trk=public_jobs_jserp-result_search-card,"
10+ years of solid experience as a Business AnalystShould have good experience in IT Infrastructure and construction for new Hospitals. Experience of having the end to end management of all phases of project like Planning, Budgeting, design, procurement and Vendor management. Should have solid knowledge of Healthcare/Hospital domain, and managing the projects in Waterfall and Agile delivery environment. Preferred to have healthcare domain certification.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,Hospitals and Health Care and IT Services and IT Consulting
Business Analyst,MidFirst Bank,"Oklahoma City, OK",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-midfirst-bank-3911909808?position=3&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=%2B%2Blq0Yigyj4FP7E7czYCSA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Bank Operations Business Analyst will be a part of our Deposit Operations team and engaged across several departments to conduct process reviews, identify efficiency opportunities, build and maintain management reporting, mine and analyze data, and perform research to assist with ongoing projects to support the bank’s objectives. The individual will work closely with peer analysts, members of management, and operational personnel.Responsibilities include the following:Perform a variety of tasks related to creating, managing, and maintaining standard and ad-hoc reports used within Bank Operations and requested by outside groups.Support management decision making through data mining, analytics, and reporting.Design and run queries related to data used within the department.Prepare management and other department reports using exported data from several applications with analyzed results.Evaluate departmental processes to identify automation opportunities, process efficiencies, and control improvements.Develop cost-benefit analysis and evaluate proposed automation solutions.Develop and maintain Robotics Process Automation (RPA) solutions.Design, document, communicate, and train personnel and management on process improvements.Other responsibilities as assigned.Position Requirements:Candidates must have a Bachelor’s degree, preferably in a Finance, Accounting, Economics, Statistics, Engineering, or Business related field with a minimum GPA of 3.0.1-3 years banking experience preferred, with an understanding of financial services and deposit best practices.Strong work ethic, attention to detail, ability to think critically, solve problems, and propose solutions.Superior analytical skills with attention to data integrity.Ability to research complex issues, mine detailed data, create usable reports, and effectively communicate findings and solutions to management.Ability to establish and maintain productive relationships with management, co-workers and external contacts, and to work effectively in a professional team environment.Must be able to independently and successfully manage tasks, plan progress on projects, and deliver reporting while adhering to deadlines.Strong desire to learn.Proficiency with Microsoft Applications (Excel, Word, Access, Visio, and Outlook).Advanced MS Excel skills including VBA and macros is a plus.Experience with SAP Business Objects Web Intelligence is a plus.Experience with UiPath Robotics Process Automations is a plus.
","
          25 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Banking
Business Process Analyst,Williams,"Tulsa, OK",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/business-process-analyst-at-williams-3902150282?position=4&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=qt6asUFOJO7jaOrjVnVXMQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Do something that means something at Williams. This isn’t just a job - it’s an opportunity to explore and discover your passion with coworkers who become friends and mentors who push you to be your best self in and out of the office. At Williams, we make clean energy happen. And you can too, so bring your energy to ours.As a Business Process Analyst III, you will identify and analyze processes and develop short and long term solutions for business needs to improve performance and lead organizational change activities. You will aide in testing and implement new software applications, provide technology and process consultation while using data analytics tools and applications to meet business needs. The ability to coordinate and collaborate with all levels of the organization are keys to success!Your work will challenge you, and with our Core Values to guide you, you’ll quickly learn and grow with us.Responsibilities/Expectations:Analyzes existing business processes; assists with developing sustainable, repeatable and quantifiable business process improvementsAssists with process improvement opportunities, researches and develops operational standards and procedures that focus on enhanced safety, increased efficiency and reduced costsApplies data analysis and technological skills to fulfil data analysis requests, produce metric reports, and support business decisions using dataCollaborates with multiple company partners to ensure organizational alignment and project successAssists in development of change management activitiesOther duties as assignedEducation/Years of Experience:Required: Bachelor’s degree in Business, Engineering or related major and five (5) years of experience OR High School Diploma/GED and seven (7) years’ experience in data analysis, project management, process improvement, or other related experienceOther Requirements:Demonstrates excellent organizational/interpersonal skills and safety as the utmost priorityProficiency in Microsoft Office Applications and PC skillsPreferred: Proficiency with analytics languages (i.e. SQL, Python, etc.) and platforms (i.e. Power BI, Microsoft Access, Oracle, and etc.)Preferred: Proficiency with process mapping and value stream mapping
","
          115 applicants
        ",Entry level,Full-time,"Quality Assurance, Production, and Manufacturing",Oil and Gas
Business Analyst II - Bank Operations (Lending Systems Support),BOK Financial,"Tulsa, OK",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/business-analyst-ii-bank-operations-lending-systems-support-at-bok-financial-3905204682?position=5&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=bRbzg2KA02Sa6pVNho5jJw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Req ID: 74950Location: Tulsa -TULAreas of Interest: Bank Operations; Business DevelopmentPay Transparency Salary Range: Not AvailableApplication Deadline: 05/16/2024BOK Financial Corporation Group includes BOKF, NA; BOK Financial Securities, Inc. and BOK Financial Private Wealth, Inc. BOKF, NA operates TransFund and Cavanal Hill Investment Management, Inc. BOKF, NA operates banking divisions: Bank of Albuquerque; Bank of Oklahoma; Bank of Texas and BOK Financial®.Bonus TypeDiscretionarySummaryAt BOK Financial, our success starts with our incredible talent. Our Operations department currently has an opening for a talented Business Analyst with a desire to be a system expert. This is a unique opportunity to get a glimpse into all sides of our diverse bank. You will be in a fast-paced environment that will provide challenges, excitement, and gratification. If you’re ready to grow your career with a leading provider of sophisticated financial solutions, you’ve come to the right place.Job DescriptionPrimarily responsible for defining and performing analysis, design, documentation, planning, and deployment of systems software and procedures which require moderate technical and systems knowledge. Uses knowledge of Project Management Methodology to perform testing for moderate projects and provides day-to-day support, change control, and severity notification for applications systems. The analyst plays a vital role in all system related projects, supporting management sponsors, business leads, design teams and stakeholders. The analyst determines daily work priorities, scheduling and allocates resources, and provides day-to-day operation support for applications/systems.Team CultureWe strive to keep our goals in line with that of the business we support to ensure that our customers and the bank are safe. We’ve created a fun, safe space where we can brainstorm, ask questions, and find solutions together. Collaboration and partnership are crucial to our success, so we take the time to build relationships, train together, and celebrate our successes, regardless of where we office.How You'll Spend Your TimeYou will manage relationships between Bank Operations, line of business leaders, IT partners, and vendors.You will use your project management skills to complete projects on time with minimal impact on the line of business you support. You will participate in mapping, testing, root cause analysis, and assist with production deployments.You will search for efficiencies while you continue to move items forward and overcome difficulties that arise. Education & Experience RequirementsThis level of knowledge is normally acquired through completion of a Bachelor’s Degree in Management Information Systems or Computer Science and a minimum of 5 years of directly related experience in bank operations with emphasis on business application support, project management, or development or equivalent combination of education and experience.Working Conditions & Physical RequirementsOffice - 20 lbsBOK Financial Corporation Group is a stable and financially strong organization that provides excellent training and development to support building the long term careers of employees. With passion, skill and partnership you can make an impact on the success of the bank, customers and your own career!Apply today and take the first step towards your next career opportunity!The companies in BOK Financial Corporation Group are equal opportunity employers. We are committed to providing equal employment opportunities for training, compensation, transfer, promotion and other aspects of employment for all qualified applicants and employees without regard to sex, race, color, religion, national origin, age, disability, pregnancy status, sexual orientation, genetic information or veteran status.Please contact recruiting_coordinators@bokf.com with any questions.
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Banking, Financial Services, and IT Services and IT Consulting"
Senior Business Analyst,Addison Group,"Oklahoma City, OK",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-addison-group-3895436465?position=6&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=hgX%2BG4ZlOqKP0KpV3WU7sA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Oklahoma CitySalary- Up to $115,000 depending on experienceJob SummaryAs a business analyst, you will collaborate with stakeholders across various departments to understand business needs, gather requirements, and analyze data to support decision-making and improve processes. You will be responsible for identifying opportunities for optimization, defining project scope, and translating business requirements into technical specifications for implementation.Key Responsibilities Collaborate with stakeholders to understand business objectives, processes, and requirements. Conduct thorough analysis of current business processes and systems to identify areas for improvement. Gather and document detailed requirements through interviews, workshops, and research. Analyze data to uncover insights and trends that inform strategic decision-making. Develop business cases, feasibility studies, and cost-benefit analyses to support project proposals. Work closely with cross-functional teams to translate business requirements into technical specifications. Facilitate communication and collaboration between business stakeholders and technical teams throughout the project lifecycle. Monitor project progress, identify risks and issues, and recommend corrective actions as needed. Conduct user acceptance testing to ensure deliverables meet business requirements and quality standards. Provide training and support to end users to facilitate adoption of new processes and systems. Continuously assess and improve business processes to drive efficiency and effectiveness.Qualifications Bachelor's degree in Business Administration, Information Technology, or related field. Proven experience as a business analyst or in a similar role. Strong analytical skills with the ability to interpret data and generate actionable insights. Excellent communication and interpersonal skills, with the ability to effectively engage with stakeholders at all levels. Solid understanding of business processes, project management methodologies, and software development lifecycle. Proficiency in business analysis tools and techniques, such as process modeling, requirements elicitation, and stakeholder management. Certifications such as Certified Business Analysis Professional (CBAP) or Project Management Professional (PMP) are a plus. Typically works in an office environment. May require occasional travel to meet with stakeholders or attend conferences.Why choose Addison IT?Pay: We negotiate high salaries using US Bureau of Labor StatisticsBenefits & Bonuses: You are eligible for medical, dental, vision insurance benefits, 401K, and monetary bonusesPermanent Employment: Many of Addison’s Finance & Accounting job openings lead to potential permanent employmentConnections: You connect directly with hiring managers from renowned organizationsOptions: You are presented multiple employment options near your homeProfessional Development: You are provided hiring process advice, resume revision, and employment term negotiationIND 005-010Addison Group is an Equal Opportunity Employer. Addison Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state, and local laws. Addison Group complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. Reasonable accommodation is available for qualified individuals with disabilities, upon request.
","
          35 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Product Analyst,Heartland,"Oklahoma City, OK",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/product-analyst-at-heartland-3892977963?position=7&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=zuDhuk%2BNfxhT8bOWOFXjeg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Every day, Heartland, a Global Payments Company, makes it possible for millions of people to move money between buyers and sellers using our products and unmatched services. Simply, we create meaningful technology centered experiences that enable our customers to prosper. If you want to work like an entrepreneur, support and serve entrepreneurs and bring your expertise to a dynamic team, then Heartland is for you. If it's in your nature to work with a passion to provide tangible solutions for everyone you interact with, then join us and let's see what we can do together.SummaryAs a Product Analyst at Heartland, you will be the functional Subject Matter Expert/go to person to manage requirements and user stories for an Agile scrum team, working with project stakeholders to deliver high-quality solutions that are aligned with the Strategic Roadmap.Job Details:Serve as the product owner on an Agile development team with co-located and/or remote developers & QA resources. Define and prioritize the solution delivery roadmap and IT backlog to implement the product management vision and strategy, maintaining alignment between product and solution delivery teams. Managing requirements, and collaboratively planning, prioritizing, and tracking work. Evaluate input from multiple stakeholders, both internal and external, to develop detailed functional & non-functional requirements through Agile user stories and other requirements documentation. Translate business requirements into functional requirements, communicate any technical challenges to implementation, and collaborate with the delivery team to recommend acceptable solutions & delivery timelines for stakeholders. Determine the impact of changes to other systems for upcoming projects and releases. Maintain current knowledge of various payment methods & processing flows, card brand regulations, technology and competitive trends in the electronic payment industry. Maintain current industry knowledge and upcoming new technology that could be utilized when developing solutionsIdentify & mitigate gaps with existing systems/processes such as, but not limited to, manual processes that should be automated, security risks and vulnerabilities. Validate application functionality by engaging in design reviews and test case reviews and completing acceptance testing. Determine & manage dependencies between the solution delivery team and other groups including operations and servicing to facilitate the deployment of completed solutions. Collaborate with the Agile team to regularly inspect and adapt the software development processes, evolving procedures and driving continuous improvement. Assist in promoting a positive team culture Other Duties:Will collaborate with outside vendors as a company liaison as needed to ensure company standards are maintained in processes Will assist with other teams to maintain compliance with various organizations to include PCI, SOX, etc. as neededValidate and coordinate release processesUtilize data analysis tools to assist in all duties Minimum Qualifications:Bachelor's degree - MIS - Computer Science - Engineering - Business Technology1-2 years in a Business Analyst role, Product Owner, or similar roles in card processing industryProficient and have demonstrable Leadership and Teamwork skills1-2 years of agile methodologies and (LEAN, AGILE (SCRUM and SAFE) with Waterfall project management methodologyDemonstrated ability to present and facilitate  Preferred:Certified Business Analyst Professional certificationProject Management Professional certificationCertified Scrum Product OwnerSalesforce Certifications Heartland is an equal opportunity employer. Heartland, a Global Payments Company, provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex (including pregnancy), national origin, ancestry, age, marital status, sexual orientation, gender identity or expression, disability, veteran status, genetic information or any other basis protected by law. Those applicants requiring reasonable accommodation to the application and/or interview process should notify a representative of the Human Resources Department.
","
          79 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services
Business Analyst with Security Clearance,ClearanceJobs,"Oklahoma City, OK",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/business-analyst-with-security-clearance-at-clearancejobs-3910570720?position=8&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=2kXh3lgWUtktFwHdPrKU%2BA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Are you a process-oriented business analyst (BA) with great communication skills, looking for a leadership position in a great team environment? Look no further! Diligent Consulting is immediately hiring for critical BA position at Tinker Air Force Base. Join a highly qualified team of IT professionals who support the Software Development Lifecycle and broad customer requirements in a team-driven and Agile environment. As a Business Analyst, you are the liaison between our Air Force stakeholders and our internal development teams. You are responsible for identifying stakeholder requirements, translating requirements into functional requirements, and ensuring the functional requirements are understood and implemented as defined. The Business Analyst is responsible for conducting User Acceptance Testing and maintaining documentation associated with production releases. Minimum Position Requirements Secret Clearance US Citizenship Possess a minimum of two (2) years experience working as a business analyst, preferably in an Agile environment, working with software development teams Have experience performing analysis and design as well as maintaining documentation across all phases of a software development life cycle Demonstrate the ability to elicit requirements using a variety of techniques including SME interviews, document analysis, system analysis, etc. Demonstrate superior communication skills with a variety of persons in a variety of situations Possess critical thinking and analytical thinking traits Possess a Bachelor's degree or equivalent experience Possess intermediate to advanced experience in Microsoft Office especially MS Word and MS Excel Knowledge of and experience with using Team Foundation Server and SharePoint is a plus
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Defense and Space Manufacturing
Entry Level Healthcare Analyst,Optimum Healthcare IT,"Oklahoma City, OK",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/entry-level-healthcare-analyst-at-optimum-healthcare-it-3906628080?position=9&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=ckqN%2Be8jN66F4lqfasdzwQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Start Your Career in Healthcare Information Technology Today!Getting your ﬁrst job can be difﬁcult when employers want experience, but to gain that experience, you need your ﬁrst job. We bridge the gap between your education and professional career by helping you gain the experience, training, and certifications you need within the Healthcare Information Technology Industry.Optimum Healthcare IT is looking for recent college graduates with an interest in moving into the Healthcare IT Industry. Our Optimum CareerPath training program will equip you with the tools needed for your success as an Entry-level Workday Analyst.We are a Workday Partner, one of the leading cloud-based software solutions for human resources (HR), finance, payroll, and other business-related functions, to provide paid training on in-demand Workday applications.Entry-level Workday Analyst Responsibilities:· Workday Analysts work with various stakeholders to understand business processes, gather requirements, and ensure that the Workday system meets the organization's needs.· Participate in data migration activities, ensuring accurate and timely transfer of data to the new system.· Collaborate with testing efforts to validate the functionality and integrity of the ERP system.· Provide first-level support to end-users, addressing inquiries, and troubleshooting issues related to the ERP system.· Work on data cleansing, validation, and quality assurance to maintain accurate data within the ERP system.· Assist in creating and maintaining data entry processes and standards.· Learn and assist in configuring the ERP system based on business requirements.· Support customization efforts to adapt the ERP system to the organization's specific needs.· Maintain detailed documentation of system configurations, processes, and procedures.· Work closely with various departments to understand business processes and identify opportunities for improvement within the ERP system.· Participate in meetings with stakeholders to gather requirements and communicate system updates.· Contribute to the development and modification of reports to meet evolving business needs.Requirements:Bachelor’s Degree requiredProficiency in Microsoft Office SuiteBasic knowledge/know-how in manipulating data within Microsoft Excel using functions and/or macrosThe ability to create and deliver slide presentations using Microsoft PowerPoint to deliver complex information.Experience with data analysis and reporting tools a plusBasic knowledge of HR, supply chain, and/or finance processes and conceptsExcellent communication skills (verbal and written); ability to translate between business processes and technologyAbility to exercise tact and good interpersonal skillsTeam-oriented individual who demonstrates initiative and leadership skillsSuperb analytical and time management skills requiredResult-focused, ability to solve complex problems and resolve conflicts in a timely mannerAbility to travel
","
            Over 200 applicants
          ",Entry level,Full-time,"Analyst, Administrative, and Information Technology","Human Resources Services, IT Services and IT Consulting, and Hospitals and Health Care"
(Global Petrochemical Oil) Downstream Business Development Lead,MatchaTalent,"Oklahoma City, OK",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/global-petrochemical-oil-downstream-business-development-lead-at-matchatalent-3907265287?position=10&pageNum=0&refId=1T3tvFUo%2Bt7M7AEEAki6ug%3D%3D&trackingId=PAKDTDbgClpyIWq3m64esg%3D%3D&trk=public_jobs_jserp-result_search-card,"
This role required candidate to permanently relocate at Dhahran, Saudi Arabia. About the CompanyThis company engages in the exploration, production, transportation, and sale of crude oil and natural gas. It operates through the following segments: Upstream, Downstream, and Corporate. The Upstream segment includes crude oil, natural gas and natural gas liquids exploration, field development, and production. The Downstream segment focuses on refining, logistics, power generation, and the marketing of crude oil, petroleum and petrochemical products, and related services to international and domestic customers. The Corporate segment offers supporting services including human resources, finance, and information technology. The company was founded on May 29, 1933 and is headquartered in Dhahran, Saudi Arabia. Job Summary Downstream Growth and Development (DG&D) implements the Company's downstream growth strategy through the development of profitable investment opportunities, mergers & acquisitions (M&A) and joint venture partnerships in the areas of integrated refining and petrochemicals, marketing, retail, lubricants and other areas of the downstream business. DG&D identifies, evaluates, screens, reviews and recommends global business development opportunities such as mergers and acquisitions, and JV development projects, in line with the downstream strategy and in coordination with other Admin areas within the Downstream business. The Downstream Business Development Lead will be responsible for: (i) screening and origination of potential investment opportunities in the areas of refining, petrochemicals, trading, retail business, logistics, storage and lubricants segments; (ii) executing approved transactions including initiation and management of due diligence, valuation, structuring and negotiations of proposed deals; and (iii) engaging and working constructively with internal corporate stakeholders, external advisors and prospective partners during the origination, transaction development and post-transaction setup & readiness phases. The candidate is expected to possess relevant technical and commercial experience to successfully execute investments with a strong strategic fit with the endorsed downstream growth strategy. The candidate will report to the This Company DG&D Management and Business Development Consultants/Specialists on the status of individual projects as part of the organization's project portfolio. Responsibilities: Assist Business Development Specialist/Consultant in analyzing markets and evaluating opportunitiesManage due diligence, risk assessments, and negotiation processesHelp prioritize investment proposals and align with corporate strategiesSupport downstream activities like partnership development and risk identificationAssist in optimizing business portfolios and negotiating agreementsGuide junior analysts in reviewing legal documents and agreementsExplore opportunities for product marketing and technology licensingParticipate in financial analysis and valuation of assetsDevelop negotiation strategies and project execution plansUtilize market data for proactive opportunity identificationPrepare presentations and reports for management and board meetings Requirements: This role required candidate to permanently relocate at Dhahran, Saudi Arabia.Bachelor's degree required, preferably in Engineering (Chemical), Business, Finance, or EconomicsMBA or relevant advanced degree strongly preferredPreferred professional certifications: Project Management Professional (PMP), Certified Financial Analyst (CFA), Certified Management Accountant (CMA)Minimum 9 years of professional experience in downstream business developmentStrong track record in technical, economic, and commercial aspects of downstream businessesExperience in refining, petrochemicals, marketing (wholesale & retail), lubricant, logistics, and storageDeep understanding of associated operations, optimization, and value-chain integrationExcellent communication skills, both verbal and writtenDemonstrated ability to navigate complex internal stakeholder groups and negotiate with partners and service providersKnowledge of international business and cross-cultural professional practicesExperience in executing term sheets and definitive agreements in downstream transactionsProficiency in managing post-transaction integrations, setup, and readiness
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Other,Staffing and Recruiting
