title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,InfoVision Inc.,"Oregon, United States",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-infovision-inc-3891001081?position=1&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=QgjLfgFRxcjt9IpQN2BiTA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job title: Business Analyst ConsultantLocation: California, Oregon, ColoradoDuration: Long Term Responsibilities:Collaborate closely with business stakeholders, including underwriters, actuaries, and line of business managers, to understand their challenges, objectives, and key performance indicators (KPIs) related to healthcare insurance lines of business.Gather and document detailed business requirements, processes, and workflows to inform data science projects and initiatives.Work with data engineers and data scientists to identify relevant data sources, define data requirements, and ensure data quality and completeness.Assist in the development of data models, machine learning models, and analytical solutions to address business problems and support decision-making processes.Interpret and communicate complex data analysis and modeling results to non-technical stakeholders, highlighting key insights and recommendations.Facilitate the implementation of data-driven solutions and ensure their successful adoption within the business units.Continuously monitor and evaluate the performance and impact of implemented solutions, providing feedback for improvement and further optimization.Stay up-to-date with industry trends, regulations, and best practices related to healthcare insurance and data science applications.Collaborate with cross-functional teams, including IT, legal, and compliance, to ensure adherence to relevant policies and regulatory requirements.Requirements:Bachelors degree in Business Administration, Economics, Healthcare Administration, or a related field.3 +years of experience as a Business Analyst or a similar role in the healthcare insurance industry.Strong understanding of healthcare insurance operations, products, and processes, including underwriting, claims management, and risk assessment.Experience working with data science teams and familiarity with data analysis, modeling, and machine learning concepts.Proficiency in data visualization tools (e.g., Tableau, Power BI) and ability to effectively communicate complex data insights.Excellent analytical, problem-solving, and critical thinking skills.Strong communication and interpersonal skills, with the ability to effectively collaborate with technical and non-technical teams.Attention to detail and commitment to delivering high-quality solutions.Preferred Qualifications:Knowledge of data engineering and data governance practices.Familiarity with agile development methodologies and project management frameworks.Understanding of healthcare regulations, compliance, and data privacy requirements (e.g., HIPAA).Relevant certifications in healthcare, business analysis, or data science domains.
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology,Hospitals and Health Care
"Analyst, Business",Vestas,"Portland, OR",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/analyst-business-at-vestas-3906883265?position=2&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=bejlt%2BtFijcrZAWSzfB41w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Business Analyst provides prevailing wage reporting for Service Operations, sets time registration process and tool improvements to facilitate prevailing wage reporting, and augments Service and Construction billing activities. This position is backed by an experienced, collaborative team and has growth opportunities in Data and Systems in the Renewable Energy sector.Responsibilities Develop and maintain reports and dashboards relating to prevailing wage activities in Service Operations Liaise with payroll team to ensure they have the data needed to support payment of wages to technicians performing work Support bookkeeping efforts of technician activities Facilitate time entry process and tool adherence and improvements Develop processes or procedures that improve the accounting practices of the department Cross-train on Service and Construction billing activities performed by other Business Analysts Communicate both externally and internally with customers and internal stakeholders Perform other tasks as assigned by managementQualifications Bachelor's degree preferred or 2+ years equivalent professional experience in accounting, auditing, finance or data science Strong Microsoft Office skill, with emphasis on MS Excel Experience with data management and reporting tools, e.g. SharePoint, SQL, Power BI, Power Automate Experience with SAP and Salesforce are a strong plusCompetencies  Accounting, Auditing, Finance or Data Science background preferred Detail-oriented, analytical, methodical, persistent Self-motivated and able to work with little supervision Ability to implement processes to efficiently conduct required administrative duties Ability to complete weekly or monthly reports timely and accurately Good written and verbal communication Ability to interact frequently with others in a professional, courteous mannerWhat We OfferA great introduction to the renewable energy sector, backed by an inclusive, experienced, process-oriented team with a wide variety of technical and institutional knowledge. This team interacts with all areas of the business, allowing the opportunity to further refine your skills and develop toward both local and global career prospects. Vestas is the world leader in wind energy, offering a progressive and innovative environment, underlined by a solid safety culture.CCPA Notice for California ApplicantsBEWARE – RECRUITMENT FRAUDIt has come to our attention that there are a number of fraudulent emails from people pretending to work for Vestas. Read more via this link, https://www.vestas.com/en/careers/our-recruitment-processDEIB StatementAt Vestas, we recognize the value of diversity, equity, and inclusion in driving innovation and success. We strongly encourage individuals from all backgrounds to apply, particularly those who may hesitate due to their identity or feel they do not meet every criterion. As our CEO states, ""Expertise and talent come in many forms, and a diverse workforce enhances our ability to think differently and solve the complex challenges of our industry"". Your unique perspective is what will help us powering the solution for a sustainable, green energy future.About VestasVestas is the energy industry’s global partner on sustainable energy solutions. We specialize in designing, manufacturing, installing, and servicing wind turbines, both onshore and offshore.Across the globe, we have installed more wind power than our competitors in the renewable energy arena. We consider ourselves forerunners within the industry, as Vestas continuously aims to design new solutions and technologies to create a more sustainable future for all of us. With more than 173 GW of wind power installed worldwide and 40+ years of experience in wind energy, Vestas has an unmatched history demonstrating our expertise within the field.With 29,000 employees globally, Vestas is a diverse team united by a common goal: to power the solution – today, tomorrow, and far into the future.Vestas promotes a diverse workforce which embraces all social identities and is free of any discrimination. We commit to create and sustain an environment that acknowledges and harvests different experiences, skills, and perspectives, and gives everyone equal access to opportunity.To learn more about our company and life at Vestas, we invite you to visit our website at www.vestas.com and follow us on our social media channels. We also encourage you to join our Talent Universe to receive notifications on new and relevant postings.
        ","
          92 applicants
        ",Not Applicable,Full-time,Information Technology,Renewable Energy Semiconductor Manufacturing
Business Analyst,Mavensoft Technologies,"Tualatin, OR",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-mavensoft-technologies-3911277493?position=3&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=iom0BZ3Ad%2Fzyj2cdQBDbHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title:  Business AnalystDuration:   6 months(Contract)Location:  Tualatin, Oregon (Hybrid)Business Analyst support for client’s Digital Channels. Including Mobile, the Public Facing portion of our Website. Support includes both project and production support work.Key Skills: Business analyst with 5+ years of experience and Very good at understanding IT Very good at communication and documentation Organizational SkillsResponsibilitiesSpecialization Typically serves as the subject matter expert for multiple complex systems or applications. Client Consultation Proactively anticipates and analyzes client needs and collaborates with internal teams to develop and implement initiatives to enhance system to further business strategy and meet client needs. Balances needs of various clients, internal teams and system and resource constraints and makes decisions to optimize system use. Collaboration Leads internal teams or collaborates with other internal teams to develop, prioritize, and implement initiatives. Manages communications to multiple stakeholders adapting to individual needs. Presents status reports and recommendations to sponsors. Communicates with IT and business. Proactively recommends and implements system-based solutions in response to business issues. Planning and Prioritization Develops overall product strategy to meet business needs leveraging available resources. Develops and implements detailed project plans, including cross-functional project plans. Defines work requirements, value criteria and cost/benefit ratios. Proactively identifies emerging business needs and adapts plans to meet them. Prioritizes initiatives in a way that balances new functionality with maintenance and reliability. Product Releases Negotiates with business on timing of implementation. Prioritizes releases and determines when functionality is ready for release. Manages issues log and product backlog. Collaborates with others to define acceptance criteria and ensures deliverables are met. Manages issues log and product backlog.  Work with a PM, team ad business to gather all the requirements for project. Education And Other SkillsUtilities experience would be helpful.Education Requirements (Experience In Lieu Of Degree)Degree in Computer Science, Business, Engineering or related field or equivalent experience. Experience Typically eight or more years of combined experience in business analysis, operational process improvement, project management or equivalent combination of technical and operational experience.Email your resume to: usjobs@mavensoft.comTo learn more about Mavensoft visit us online at http://www.mavensoft.com/
        ","
          34 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Teamcenter Business Analyst,HCLTech,"Hillsboro, OR",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/teamcenter-business-analyst-at-hcltech-3891116563?position=4&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=THgKsOM0VFL9UbbjNVKJhQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
HCLTech is a global technology company, home to 211,000+ people across 52 countries, delivering industry-leading capabilities centered around digital, engineering and cloud, powered by a broad portfolio of technology services and products. We work with clients across all major verticals including Financial Services, Manufacturing, Technology and Services, Telecom and Media, Retail and CPG, Life Sciences and Healthcare and Public Services. Consolidated revenues as of 12 months ending June 20, 2022 totaled $11.8 billion. To learn how we can supercharge progress for you, visit hcltech.com.HCLTech is looking to hire a PLM Team Center Business Analyst with must have experience in Semiconductor domain. This position requires the selected candidate to work from Hillsboro, OR with no provision for Hybrid working options.Detailed description/responsibilities:As a PLM (Product Lifecycle Management) Teamcenter BA in the semiconductor industry, you will be managing overall Project requirement, resourcing, tracking and delivery.Number of years of experience = 12-15 Years in TeamcenterDomain : Hi-tech or semiconductor industry Requirements Translation and Solution Design: Bridge Requirements - You’ll translate business needs into technical capabilities within the Teamcenter PLM system.Application Capability Options - Provide options for implementing PLM solutions that align with business goals.Estimation and Prioritization - Generate estimates for development efforts and sequence delivery priorities.Testing Facilitation - Ensure successful testing to achieve desired outcomes.Collaboration and Troubleshooting:Business and Technology Alignment - Work closely with product, business, and technology leaders.Design and Troubleshooting - Collaborate with architects and development teams on system design, troubleshooting, and user acceptance testing (UAT). Technical Skills and Knowledge:Teamcenter Expertise - Solid background knowledge of Teamcenter.PLM Process Understanding - Familiarity with PLM processes.Additional Skills - Experience with change management, requirements management, bill of materials (BOM),application integrations and workflows.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Engineering,Engineering Services
Teamcenter Business Analyst,Smart Bot Systems LLC,"Hillsboro, OR",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/teamcenter-business-analyst-at-smart-bot-systems-llc-3910029977?position=5&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=3SFbUyqMiD4tvcaFEXCqxg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Title : Teamcenter Business AnalystLocation : Hillsboro, OR ( Day 1 onsite)Note : We need very strong TC experience candidate with mandate Semiconductor domainJdAs a PLM (Product Lifecycle Management) Teamcenter BA in the semiconductor industry, you will be managing overall Project requirement, resourcing, tracking and delivery.Number of years of experience = 12-15 Years in TeamcenterDomain : Hi-tech or semiconductor industryRequirements Translation And Solution DesignBridge Requirements - You’ll translate business needs into technical capabilities within the Siemens Teamcenter PLM system.Application Capability Options - Provide options for implementing PLM solutions that align with business goals.Estimation and Prioritization - Generate estimates for development efforts and sequence delivery priorities.Testing Facilitation - Ensure successful testing to achieve desired outcomes.Collaboration And TroubleshootingBusiness and Technology Alignment - Work closely with product, business, and technology leaders.Design and Troubleshooting - Collaborate with architects and development teams on system design, troubleshooting, and user acceptance testing (UAT).Technical Skills And KnowledgeTeamcenter Expertise - Solid background knowledge of Siemens Teamcenter.PLM Process Understanding - Familiarity with PLM processes.Additional Skills - Experience with change management, requirements management, bill of materials (BOM),application integrations and workflows
        ","
            Be among the first 25 applicants
          ",Associate,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Team Centre Business analyst,Sharpedge Solutions Inc,"Hillsboro, OR",2024-04-27,On-site,,https://www.linkedin.com/jobs/view/team-centre-business-analyst-at-sharpedge-solutions-inc-3908334149?position=6&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=4uPuLQmeKTOuvCBNZcvE9g%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello,Here Is The JDAs a PLM (Product Lifecycle Management) Teamcenter BA in the semiconductor industry, you will be managing overall Project requirement, resourcing, tracking and delivery.Number of years of experience = 12-15 Years in TeamcenterDomain : Hi-tech or semiconductor industryRequirements Translation And Solution DesignBridge Requirements - You ll translate business needs into technical capabilities within the Siemens Teamcenter PLM system.Application Capability Options - Provide options for implementing PLM solutions that align with business goals.Estimation and Prioritization - Generate estimates for development efforts and sequence delivery priorities.Testing Facilitation - Ensure successful testing to achieve desired outcomes.Collaboration And TroubleshootingBusiness and Technology Alignment - Work closely with product, business, and technology leaders.Design and Troubleshooting - Collaborate with architects and development teams on system design, troubleshooting, and user acceptance testing (UAT).Technical Skills And KnowledgeTeamcenter Expertise - Solid background knowledge of Siemens Teamcenter.PLM Process Understanding - Familiarity with PLM processes.Additional Skills - Experience with change management, requirements management, bill of materials (BOM),application integrations and workflowsRegards,
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Teamcenter Business Analyst,Raas Infotek,"Hillsboro, OR",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/teamcenter-business-analyst-at-raas-infotek-3911787734?position=7&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=MXNwKVm7E1zYzL4a22AqDw%3D%3D&trk=public_jobs_jserp-result_search-card,"
As a PLM (Product Lifecycle Management) Teamcenter BA in the semiconductor industry, you will be managing overall Project requirement, resourcing, tracking and delivery.Number of years of experience = 12-15 Years in TeamcenterDomain : Hi-tech or semiconductor industry Requirements Translation and Solution Design: Bridge Requirements - You’ll translate business needs into technical capabilities within the Siemens Teamcenter PLM system.Application Capability Options - Provide options for implementing PLM solutions that align with business goals.Estimation and Prioritization - Generate estimates for development efforts and sequence delivery priorities.Testing Facilitation - Ensure successful testing to achieve desired outcomes.Collaboration and Troubleshooting:Business and Technology Alignment - Work closely with product, business, and technology leaders.Design and Troubleshooting - Collaborate with architects and development teams on system design, troubleshooting, and user acceptance testing (UAT). Technical Skills and Knowledge:Teamcenter Expertise - Solid background knowledge of Siemens Teamcenter.PLM Process Understanding - Familiarity with PLM processes.Additional Skills - Experience with change management, requirements management, bill of materials (BOM),application integrations and workflows
","
          71 applicants
        ",Mid-Senior level,Contract,Information Technology,Information Services
Technical Business Analyst (7650),ACS Professional Staffing,"Portland, OR",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/technical-business-analyst-7650-at-acs-professional-staffing-3905912010?position=8&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=c4VWnrYv9tyF30Nhv2UJbA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Overview: ACS Professional Staffing is looking for an employee to work on-site with our client. This Technical Business Analyst 2 will provide business analysis and system administration support for the project management office, working on small to medium projects across the company’s business lines. This position will collaborate with various stakeholders to keep IT systems and tools updated, with guidance from senior analysts on projects of intermediate complexity. This full-time position is located in Portland, OR.Responsibilities: Provide business analysis support and assistance, eliciting documents and managing requirements, to support the implementation of IT systems for a variety of internal clients implementing small to medium -sized projects, as per org’s established System Life Cycle (SLC) process. Provide IT PMO SLC site support using the RoboHelp tool. Maintain the IT PMO site up to date. Enhance the IT PMO site as needed. Work with business partners, IT technical teams and IT PMO Leadership team to understand their needs and identify their goals and objectives. Take ambiguous, high-level requirements and synthesize it into a clear, concise scope statement. Work closely with internal teams to provide technical business analysis assistance, which may include: Coordinate and facilitate planning and working sessions to elicit requirements. Guide and assist client teams through defining business requirements. Conduct user/stakeholder interviews, potentially including job shadowing and “day in the life” exercises. Review documentation on existing business processes and systems. Review regulations and policies to understand relevant compliance requirements and make recommendations. Review and validate requirements with appropriate business and technology stakeholders. Analyze the gathered information to present an organized, coherent understanding of the business problem and the proposed solution. Analyze business processes and create current-state/“as is” and future-state/“to be” models, including conducting gap analyses. Elicit objective criteria from business users for the evaluation and acceptance of requirements. Collaborate with IT technical representative(s) in the development of test plans and acceptance criteria traced to business and functional requirements. This work may include coordinating and facilitating test scenarios, User testing, etc. Update requirements as they evolve throughout the system implementation. Provide System Administrator Support Project and Portfolio Management (PPM) Jama IT PMO SharePoint site PMO system administration and processes: Provide user administration support; monitor and respond to all user/system requests; escalate to the System Owner / Information Owner (SO/IO) or vendor as needed. Maintain the backlog of defects and enhancement requests. Coordinate reporting and changes with the ISO/IO change control board. Analyze data gaps and assist with development of processes to address those gaps. Provide application system security support by adding, removing, or deleting users from systems, based on established access control policies. Complete and present monthly reports on system status. Regularly analyze system contents to maintain accuracy; work with appropriate project/portfolio managers to validate current data and perform system clean-up activities. Work with vendor to identify and implement O&M and enhancement work, including requirements gathering and user acceptance testing, and change management. Provide training and guidance on system for users internal and external to IT. Support, coordinate, and help facilitate PMO governance processes, meetings, and workshops. Participate in and provide input to governance board process improvement activities. Organize and help develop methods to track upcoming deadlines, priority actions, and overdue deliverables. Track work deliverables/milestones, provide status updates to appropriate staff, and identify any expected delays or risks. Review operating practices and procedures to recommend whether improvements can be made in areas such as workflow, reporting procedures, and/or expenditures. Recommend and develop process solutions to increase the efficiency and effectiveness of PMO operations, leveraging industry knowledge and best practices (e.g. PMI, P3M3). Assist with the development of process tools, promoting effective coordination of the records, process maps and operating procedures that are shared or exchanged between work teams and functions. Facilitate efforts to research and resolve identified process gaps/issues within the PMO or between PMO and other organizations; recommend potential solutions. Work with IT Staff and Supervisors to establish and update PMO (e.g. PPM, Jama, SharePoint, CRM) system and processes. Work with subject matter experts to gather, organize, and analyze detailed information and present it in a variety of formats for business and technical audiences.Assist PMO property custodian in tracking PMO assets in Sunflower and in performing annual inventory. Requirements: A bachelor’s degree in information technology/systems, business administration, or a closely-related technical discipline is preferred. 5 years of experience is required with an applicable bachelor’s degree. 9 years of experience is required without a degree or applicable degree. Experience should be consistent with the specific requirements of system support and coordination and progressively more technical in nature. Requires a working knowledge of automated data systems. Proficiency with the RoboHelp tool. Proficiency with Microsoft Office Suite of products, including Word, PowerPoint, Excel, and Outlook. Technical interviewing skills that include: Functional/process interviewing in the business environment. The ability to facilitate groups through process design and requirements gathering sessions. Ability to communicate effectively with business and technical teams. Ability to develop and maintain effective client and stakeholder relationships. Strong technical writing skills and the ability to present information in various forms (verbally, in writing, visually/graphically). Proficiency with requirements modeling tools such as Jama. Experience with System Life Cycle (SLC) processes. Experience with Visio flowcharts. Experience with Microsoft Project. Experience with Excel PowerQuery.Valid U.S. Driver’s License is required.Work sponsorship is not available at this time. Third-party candidates will not be considered for this position.Because we are a federal government contractor, we have special restrictions placed on us for hiring foreign nationals into certain key positions within the company. This particular position requires U.S. citizenship. ACS Professional Staffing will provide equal employment opportunities to all applicants without regard to the applicant’s race, color, religion, sex, gender, genetic information, national origin, age, veteran status, disability status, or any other status protected by federal or state law. The company will provide reasonable accommodations to allow an applicant to participate in the hiring process if so requested. If you have any questions about the job posting, please contact recruiting@acsprostaffing.comIf you have any questions about our Reasonable Accommodation Policy, please feel free to email hr@acsprostaffing.com
","
          35 applicants
        ",Mid-Senior level,Full-time,Information Technology and Analyst,Utilities
Business Analyst,HHS Technology Group,"Salem, OR",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-hhs-technology-group-3908759897?position=11&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=7NIfiXR%2B2lodxSQUN3ZGjQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Who We AreAt HHS Tech Group (HTG), our work matters, and each of us makes a difference in the lives of people every day.HTG is a leader in the development and delivery of innovative, purpose-built modular software and technology solutions to clients in the commercial and government sectors.What We DoHHS Tech Group creates innovative, purpose-built technology products and solutions, resulting in value and positive, quantifiable impact for our clients and the people they serve.Our people bring our software to life through collaborative relationships with our clients, working as a team, helping to solve complex problems that create positive personal and community impact for the people our clients serve.Each day, our software products and our people are making a difference.Our People Matter MostImproving the lives of others and making an impact daily is no simple task. We are dedicated to our team’s professional and personal growth and well-being. Some key rewards and benefits include: Generously sponsored Medical Insurance  Fully paid premiums on dental, vision, life, and disability insurance.  Generous 401k matching program (100% match up to 6%)  Tuition and Certification reimbursement  Open PTO policy JOIN US!What You Will DoThe Business Analyst is responsible for understanding project goals, making a plan to achieve those goals, managing changes, and promoting the alignment of established goals with business decisions throughout the life of a project.ResponsibilitiesCritically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needsProactively communicate and collaborate with external and internal customers to analyze information needs and functional requirements and deliver the following artifacts as needed: (functional requirements, business requirements, use cases, Graphical User Interface (GUI) screens and interface designs)Elicit requirements using interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, task and workflow analysis.Work independently with users to define concepts with guidance from project managersDrive and challenge business units on their assumptions of how they will successfully execute their plansServe as the conduit between the customer community (internal and external) and the software development team through which requirements flowDevelop requirements specifications according to standard templates, using natural languageCollaborate with developers and subject matter experts to establish the technical vision and analyze tradeoffs between usability and performance needsLiaise between the business units, technology teams and support teamsMaintain industry/technical knowledge base and facilitate/maintain industry relationshipsMaintain understanding of the business mission and technology environmentDemonstrate commitment to providing customer-focused quality servicePerform other duties as deemed relevant based upon experience to fulfill customer needsRequired ExperienceFive (5) or more years of demonstrated Business Analyst experience.3+ years of State Government experience with Health and Human Services and have a strong level of domain expertise in Medicaid and MMIS (Medicaid Management Information System) initiatives, specifically Provider Enrollment.Two (2) or more years of hands-on Systems/Software Development Life Cycle (SDLC) experience5+ years of experience capturing, documenting, and refining requirements in Agile, and Hybrid Agile environment (blended Waterfall/Agile approach). Experience in using enterprise-wide requirements definition and management systems and methodologies.Demonstrated successful engagement in multiple simultaneous initiatives/projects.Strong analytical and product management skills required, including a thorough understanding of how to interpret customer business needs and translate them into application and operational requirementsExcellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts.Experience in producing deliverable quality documents.Experience with supporting system testing and user acceptance testingExperience training end users and providing business user supportExperience with Microsoft Word, Excel, SQL, Visio, Lucid Charts, Jira, ConfluencePreferred ExperienceExperience working in an SOA frameworkModerate to high level expertise with T-SQL DB, DS software such as R or Python, and MS Office (Excel, Word, PPT)Health Care knowledge around Health care Billing and coding (CPT/HCPCS, ICD, NDC) is a plus.SAFe Agilist certification preferredBusiness Analysis Body of Knowledge Certification preferredCritical SkillsDetail oriented, analytical, and inquisitiveAbility to work independently and with others.Extremely organized with strong time-management skillsRequirements Elicitation and AnalysisNegotiationAbility to build rapport with internal and external stakeholders quicklyAble to produce requirements traceability matrix and work with technical staff to understand requirementsExcellent communication and organizational skillsEducation and CertificationBS/BA or equivalent in Computer Science, Information Systems, Engineering, Business, Mathematics, or other related scientific or technical discipline with five (5) or more years of experience related to this positionIndustry-recognized Business Analyst Certification preferred
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Information Services
Business Analyst,VanderHouwen,"Tualatin, OR",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-vanderhouwen-3911530513?position=12&pageNum=0&refId=dzh81anJh8BWNeQd%2F1htDA%3D%3D&trackingId=n1OWVAV3%2BH0h%2BMWz1rHVvQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job ID: 65149Business AnalystOur client is seeking a Business Analyst to support their organization's digital channels which include mobile and the public-facing portion of their website. Support will include both project and production support work.This role can be fully remote or a hybrid model in Tualatin, Oregon.Business Analyst QualificationsBachelor’s degree in computer science, information technology, business administration, management information systems, or a related field is typically required.5 or more years of relevant experience.Web Site BSA experience.Ability to self-direct once onboarded.Utilities experience.Preferred:Jira experience.Confluence experience.Certified Business Analysis Professional (CBAP), Agile Analysis Certification (IIBA-AAC), Project Management Professional (PMP).Compensation: $55.07-$65.07/hr. (DOE) BenefitsBenefits are available to eligible VanderHouwen contractors and include coverage for medical, dental, vision, life insurance, short and long term disability, and matching 401k.About VanderHouwenVanderHouwen is an award-winning, Women-Owned, WBENC certified professional staffing firm. Founded in 1987, VanderHouwen has been successfully placing experienced professionals throughout the Pacific Northwest and nationwide. Our recruitment teams are highly specialized in either Technology and IT, Engineering, or Accounting and Finance career markets. Our recruiters value building meaningful, professional relationships with each candidate as well as developing honed knowledge of companies' staffing needs and workplaces. Partner with us to land your next exciting career.VanderHouwen is an Equal Opportunity Employer and participates in E-Verify. VanderHouwen does not discriminate on the basis of race, color, religion, sex, national origin, age, disability, or any other characteristic protected by applicable local, state or federal civil rights laws.
        ","
          46 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
