title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst,Donegal Insurance Group,"Marietta, PA",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-donegal-insurance-group-3888760224?position=1&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=vYh5hdJ4XlE7I9iZ9kP3Cw%3D%3D&trk=public_jobs_jserp-result_search-card,"
About The RoleDonegal Insurance Group has an opening for a Business Analyst. As a member of our Commercial Lines team, this position collaborates with business users and the technical team to translate user requirements into system specifications, develops and coordinates user testing, and assists in the training and implementation of new systems and/or system enhancements.The Business Analyst will act as a liaison between Commercial Lines, Programming and Product Development departments for their assigned Line of Business. Ideal candidate must possess commercial insurance knowledge with an emphasis on rates, underwriting, technology, and coverage forms.Responsibilities And DutiesAct as the primary interface between the business unit and IT DevelopmentWell versed in state specific laws, making sure the program is up to date on compliance with those lawsGathers, analyzes and documents user needs and requirements and assists technical staff in translating the requirements into systems specificationsAssists with the project in facilitating and formulating a solutions pathAnalyst will elicit actual needs of the stakeholders and align the needs of the business units with the technological capabilitiesParticipates in project status meetings including documenting and distributing meeting minutesCoordinates and assists all aspects of implementation including user training as well as producing user procedures and documentationDesign and develop test cases, test scripts and validation processes based upon system requirements and functional specifications in an agile software development environmentConducts and coordinates post-implementation testing and routine proactive follow-up with business units to ensure a quality product and high level of functionality is achievedProvides daily support for Underwriting business unit including providing technical guidance, troubleshooting software issues, and working with the Underwriting Staff to ensure the business goals and needs are met for the business unitsAssist in some project management responsibilitiesAssist in the troubleshooting of technical and functional issues with various business initiativesQualifications And SkillsBachelor’s Degree in Risk Management, Insurance, Business Administration, Project Management or related fieldMinimum five years’ P&C insurance experienceAbility to write business rules pertaining to Donegal productAbility to learn Donegal’s systems by understanding the coverage and the entry fields when developing programsStrong underwriting background on both the business and technical sideStrong verbal and written communication skillsTo apply, please submit your resume and online applicationCompetitive Benefits PackageDonegal Insurance Group offers a comprehensive benefits package for all full-time, permanent positions including:Medical, Dental, and Vision Coverage: Available to you and your dependents. Coverage begins the first of the month after start date401(k) with the first 3% matched at 100%: the next 6% is matched at 50%Paid Time Off: Paid vacation, sick days, paid holidays, & bereavement daysCareer Development: Including college partnership discounts and industry designation(s) reimbursementsAdditional benefits include company-paid basic life insurance; short & long-term disability insurance; employee stock purchase plan; and employee assistance program (EAP). Learn more about our full benefit offerings by visiting ourWho We AreDonegal Insurance Group provides commercial and personal insurance products through a network of independent agents in 23 states and across several regions of the U.S. In Texas, Colorado, Utah, New Mexico and Arizona, business is conducted under the Mountain States Insurance Group name; and in Michigan, business is conducted under the Michigan Insurance name.Headquartered in Lancaster County, Pennsylvania, along with four (4) regional offices located in: Athens, GA, Grand Rapids, MI, Albuquerque, NM, and Glen Allen, VA, our steady growth and successes have allowed us to establish a culture of which we're proud. Check out our Glassdoor profile where our rating speaks for itself:By joining the Donegal family, you would be joining a team of dedicated, hard-working employees, all with a common goal of providing peace of mind to our policyholders and being There when it matters most.™.Work ArrangementDonegal Insurance Group has a variety of positions that are either onsite, hybrid, or remote. With each department and position being different, the work arrangement for a specific position will be reviewed with candidates during a initial phone screening. For a fully remote position, the ideal candidate must live within our Donegal footprint (Current approved states for remote work are: AL, AZ, CT, DE, FL, GA, IA, IL, IN, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NY, OH, PA, SC, SD, TN, TX, UT, VA, WI, and, WV. Please note, this list is subject to change without notice.)E-VerifyDonegal Insurance Group participates in E-Verify in the following states: Alabama, Arizona, Florida, Georgia, Louisiana, Mississippi, Nebraska, North Carolina, South Carolina, Tennessee, and Utah. If you reside in one of the listed states, please review the ""Notice of E-Verify Participation"" and the ""Right to Work Poster"" on the links below:Powered by JazzHRfvxOuyRg2n
        ","
          65 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
Jr Business Analyst,Asta Crs Inc,"Malvern, PA",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/jr-business-analyst-at-asta-crs-inc-3909632756?position=2&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=a6ulRNYx9BLJ4Ost4SuSVQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionWe are seeking a Jr Business Analyst to become an integral part of our team! You will analyze data to understand business and market trends in order to increase company revenue and efficiency.Responsibilities:Use data to understand business patterns and trendsAnalyze internal and external data through quantitative researchCommunicate findings to company through standard and ad hoc reportsPromote best practices in data analysis and reportingCollaborate with cross-functional teamsQualifications:Previous experience in business intelligence, analysis, or other related fieldKnowledge of statistical tools and business reportingStrong problem solving and critical thinking skillsStrong attention to detailAbility to prioritize and multitaskCompany DescriptionASTA Corporate Resource Solutions Inc is one of the Fastest Growing IT Companies in Northern America and the DC Metro Area with its headquarters in Ashburn, Virginia. ASTA CRS is an Information Technology Provider delivering superior quality software development, consulting, and staffing solutions to our client partners. We are 19 Years in this Industry.ASTA CRS services are uniquely positioned to support clients in achieving profound efficiencies and relentlessly delivering results. ASTA CRS is a long-time and trusted resource for its clients and partners.Asta CRS, Inc. is an Equal Opportunity Employer M/F/V/D. ASTA CRS is proud to state that we are enrolled with the USCIS for the E-Verification Program.ASTA Corporate Resource Solutions Inc is one of the Fastest Growing IT Companies in Northern America and the DC Metro Area with its headquarters in Ashburn, Virginia. ASTA CRS is an Information Technology Provider delivering superior quality software development, consulting, and staffing solutions to our client partners. We are 19 Years in this Industry. ASTA CRS services are uniquely positioned to support clients in achieving profound efficiencies and relentlessly delivering results. ASTA CRS is a long-time and trusted resource for its clients and partners. Asta CRS, Inc. is an Equal Opportunity Employer M/F/V/D. ASTA CRS is proud to state that we are enrolled with the USCIS for the E-Verification Program.
        ","
          189 applicants
        ",Entry level,Full-time,"Research, Analyst, and Information Technology",Information Technology & Services
Business Analyst,Fort Point LLC,"Pittsburgh, PA",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-fort-point-llc-3878805438?position=3&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=xLN%2FpPaKUoVhSw3bzPq0wg%3D%3D&trk=public_jobs_jserp-result_search-card,"
BUSINESS ANALYST (NO C2C)Seeking a Business Analyst with experience performing business process analysis and documentation for onboarding, training and reference purposes.The Business Analyst works as part of a cross-functional team to identify process improvements and document current business processes.Essential Job FunctionsDevelop and revise existing process and training documentation according to standard templates, using natural language simply, clearly, unambiguously, and concisely.Collaborate with teammates to understand existing process in order to develop complete and accurate training and reference documentation.Assist with the development of training documentation to support an effective onboarding program.Complete process reviews, model business process, and develop process maps and ensure processes and system solutions work across lines of business.Ensure that system and tools are adequate and properly utilized. Propose and develop enhancements as necessary and develop supporting business cases to justify change.Manage assigned projects to completion, ensuring that all activities are coordinated and completed on time and within budget.Track and report project progress, developing methods and procedures to monitor critical project issues.Ensure proper and effective communication regarding process changes. Develop and deliver training as necessary.Education/CertificationsHigh school diploma or equivalentBachelor’s Degree in Business or related field preferredExperience/Minimum RequirementsMinimum of 1-3 years of experience in business process analysis and writing process documentationPossess a thorough understanding of established process development and improvementStrong Microsoft Office skills. Experience with SharePoint and Visio a plus.Other Skills/AbilitiesExcellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter expertsStrong analytical skills required, including a thorough understanding of how to interpret business needs and processAbility to build and maintain relationships across cross-functional teams and to work effectively in a matrix organizationkeywords: document process, process documentation, onboarding, training, business analyst, business analysis
","
            Over 200 applicants
          ",Associate,Contract,Analyst,Telecommunications
Business Analyst,Keystone Collections Group,"Irwin, PA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-keystone-collections-group-3890213491?position=4&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=9ZsnVbJSgv2XYIHrZwUPtA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Business Analyst acts as a domain expert for internal business systems, client-facing applications, and end user solutions. The BA identifies and creates business cases for new systems or improvements to existing systems; defines the project’s objectives, scope, and detailed requirements. During development, the BA provides a user-based perspective to design, development, and user experience concerns. The BA is responsible for the smooth rollout of the system providing the necessary training and support to internal and external users. Hybrid work location schedule.This position provides vision, direction, and motivation to the project team. The BA works closely with the Business Process team interacting frequently with key IT leadership. Additionally, the BA spends significant time with operational and business groups understanding their problems and improvement opportunities.Primary Responsibilities:Identifies new opportunities to grow business or make operational improvements by reviewing existing processes, interviewing current users and staying current with industry changes. Conducts initial investigation into new or enhanced solutions building a solid business case and advocating for initiating the project. Defines the scope and detailed requirements for new or enhanced business processes. Works with operational teams to document business process workflows used to train team members and identify potential bottlenecks. Serves as a liaison between development team and end-usersDevelops appropriate application training and delivers audience-appropriate training. Conducts regular reviews and analysis of current business processes using operational metrics and reportsPerforms User Acceptance Testing evaluating functional and non-functional performance of the system prior to launchActs as point of contact for internal staff on specific business processes and the systems that support those processesWith the Business Analyst and SW Development Manager, provides the project team a concise vision and creates a positive team environment. Job Qualifications:Education: Bachelor’s degree in a Computer Science, Engineering, or related field; or MBAExperience: 3 + years of professional experience as a Business Analyst or related role producing software solutionsKnowledge, Skills, and Abilities:Expertise with testing web and internal business applicationsExperience using software testing tools such as Selenium; scripting languages such as JavaScript or Python; and non-functional test tools such as LoadRunnerExperience with continuous integration tooling in a MS environment. Experience testing relational databases such as MS SQL in a high transaction environmentExperience working with cross-functional project teams using agile practices. Willingness to learn from mistakes, take feedback from others, and independently develop technical and behavioral skills. Collaborative working style that values team success of individual success. Powered by JazzHRx4oa6YNJaQ
        ","
          69 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
Senior Business Analyst,Antal International,"Philadelphia, PA",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-antal-international-3909132000?position=5&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=yGFk8CPXk9DiJITnkiKC9w%3D%3D&trk=public_jobs_jserp-result_search-card,"
I am currently working with a software company based in Philadelphia who create technology solutions for a diverse range of clients. They are currently seeking a business Analyst to drive operational and financial strategies in electrical distribution and GRID systems. Responsibilities include overseeing major capital projects, analysing systems, developing financial models, and engaging stakeholders.RequirementsUS Citizenship Required5+ years' of experience in related industry/Masters degreeExperience with Electrical EngineeringStrong written and verbal communication skills
","
          108 applicants
        ",Director,Full-time,"Analyst, Consulting, and Engineering","Oil and Gas, Engineering Services, and Technology, Information and Media"
Senior Business Analyst,West Shore Home,"Harrisburg, PA",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-at-west-shore-home-3887751499?position=6&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=LsdF%2BW8blIEBiLlCufJgvA%3D%3D&trk=public_jobs_jserp-result_search-card,"
As our nationwide growth accelerates, our Project Management Office (PMO) at our Corporate HQ in Mechanicsburg, PA plays a key role in driving forward our mission of Bringing Happiness to Every Home® by critically analyzing business situations, developing solutions, and driving forward projects and programs.As a Senior Business Analyst at West Shore Home®, you will contribute to this mission by strategically supporting requirements collection, process mapping, and some project management for successful on-time delivery across multiple projects. You will report directly to the Manager, Enterprise PMO and work closely with department heads across the company.What You’ll ContributeCreate business/functional requirement documents and process maps with as-is and to-be states with a focus on enterprise scalability while leveraging automationBuild forecast models / ad-hoc analyses to support capital allocation decisionsConduct interviews, focus groups and issue surveys in support of business process analysisAssess business performance across multiple attributes, such as cost, quality, service, and complianceCritically analyze business situations and partner with process owners to develop solutions, re-engineer existing business processes, and support the automation of multiple manual business processesIdentify, support resolution of, escalate and report problems and issues, and work closely with department leaders, teams, and internal customers to highlight factors that affect the work plans / processes of the selected projectsWhat It Takes To SucceedExtensive knowledge and expertise in business process documentation, analysis and/or re-engineering experience, creating process and system maps, requirements documentation, and other project artifactsProven track record of working with executive leadership (managing project risks, tracking KPIs, providing updates and reports, etc.)Experience implementing a wide range of change management and process improvement activities, based on broader organizational goalsAbility to build and manage under short timelines and sometimes ambiguous circumstances in a complex, fast-growing work environmentRelevant Business Analysis certifications (IIBA CBAP, PMI PBA) or Lean Six Sigma belts (preferred)We’ve Got You Covered WithMultiple health insurance options (medical, dental, vision, accident, life, critical illness, and short- and long-term disability)401K retirement plan with company matchPaid holidays and paid time off (PTO)Continued training & leadership development opportunitiesUnlimited professional and personal growth potentialMore to KnowSchedule: Exempt role with standard hours 8:00AM to 5:00PMLocation: Mechanicsburg, PASeniority Level: Mid-Senior Level
","
          141 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Construction
Medicaid Business Analyst,Alivia Analytics,"Newtown Square, PA",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/medicaid-business-analyst-at-alivia-analytics-3910945723?position=7&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=0R7cLlVG3v7Zbx4CO4cggA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionAbout role:We are seeking a highly motivated and experienced Business Analyst to join our dynamic technology team. The ideal candidate will possess a strong understanding of Medicaid operations, healthcare systems, and business processes. You will play a pivotal role in bridging the gap between business requirements and technological solutions, contributing to the enhancement and optimization of our platform. Your analytical skills, attention to detail, and collaborative nature will be critical in ensuring the successful execution of various projects and initiatives.You will be assisting a high-energy team in implementing an end-to-end cloud-based, integrated solution for our clients in a role with very high potential for career growth. Primary responsibilities will include gaining business user consensus via sessions to define functional requirements as part of an implementation of a COTS application used to manage healthcare claims payment integrity.Candidate needs to have experience in the Medicaid Enterprise Certification Lifecycle (MECT) and Medicaid Policy and Operations as well as experience in working with healthcare payers.., andCandidate is expected to have experience in technical aspects of the Business Analyst role, and will work with other team members, Medicaid state agency to facilitate the requirements elaboration and the requirements traceability aspects of the project.Your Future Duties And ResponsibilitiesCollaborate with stakeholders, including program managers, policy experts, and technical teams, to elicit, document, and analyze business requirements related to healthcare operations. Lead Joint Application Design (JAD) sessions to gain consensus among multiple stakeholder groupsEvaluate and assess current processes, identifying opportunities for improvement, automation, and increased efficiencyWork closely with the business and technology development teams to translate business requirements into technical specifications, ensuring seamless integration of technology solutionsDocument business requirements by developing use cases and maintaining requirements traceability across the SDLCPrepare comprehensive documentation, including business requirements, functional specifications, use cases, process flows, and user guidesWork with the team to create meeting agendas, meeting minutes, project plans, contingency plans, disaster recovery plans and other documentation required by the MECT lifecycle process. Required Qualifications To Be Successful In This RoleMinimum 10 years in Information Technology as a Business Analyst on large-scale, healthcare system implementationsA minimum of 5 years Medicaid (MMIS) or Healthcare payer background is requiredStrong understanding of Medicaid policies, regulations, and healthcare operationsDetail-oriented mindset with the ability to translate complex requirements into clear and concise documentationDemonstrated experience in conducting Joint Application Design (JAD) sessions and gaining consensus among multiple vendors and customer stakeholder groupsDemonstrated experience in developing use cases, managing requirements traceability, and a working knowledge of requirements management repository toolsStrong interpersonal and communication skills, including the ability to gain consensus among multiple stakeholder groupsStrong verbal and written communication skills, with the ability to communicate abstract technical concepts to a business layperson audienceAdaptability to work in a fast-paced environment and manage multiple projects simultaneouslyDesired Qualifications:Working familiarity with CMS (Center for Medicare and Medicaid Services) MITA framework and the MECT (Medicaid Enterprise Certification Toolkit)Familiarity with HIPPA-compliant messaging formats such as HL7, X12, NCPDP and NIEMEducation:Bachelor’s Degree in a relevant field such as Healthcare Administration, Business Administration, Information Technology, or a related discipline or equivalent experienceA Master's Degree or relevant certifications, such as Certified Business Analyst Professional (CBAP) or Certified Healthcare Business Analyst (CHBA), are preferred but not mandatoryCollaborate with testing teams to develop test cases, execute testing, and validate system changes against business requirementsFacilitate communication between technical teams and non-technical stakeholders, ensuring a clear understanding of project objectives, progress, and outcomesAnalyze data to identify trends, patterns, and insights that can inform strategic decisions and system enhancementsCompany DescriptionAlivia Analytics is helping customers Achieve Healthcare Payment Integrity, Finally. By turning mountains of data into actionable answers, Alivia Analytics does the heavy lifting – delivering the accuracy, confidence and speed our customers need to solve their healthcare payment integrity challenges. Through the Alivia Analytics Healthcare Payment Integrity Suite TM we help private and public healthcare payers achieve payment integrity globally. In the US alone, up to 10% of every dollar spent is attributed to Fraud, Waste or Abuse that amounts to up to 370 Billion dollars lost annually. If your ambition is to grow your responsibilities and career while building world class analytic SaaS systems and fixing a huge problem for social good, please come and join us.Alivia Analytics is helping customers Achieve Healthcare Payment Integrity, Finally. By turning mountains of data into actionable answers, Alivia Analytics does the heavy lifting – delivering the accuracy, confidence and speed our customers need to solve their healthcare payment integrity challenges. Through the Alivia Analytics Healthcare Payment Integrity Suite TM we help private and public healthcare payers achieve payment integrity globally. In the US alone, up to 10% of every dollar spent is attributed to Fraud, Waste or Abuse that amounts to up to 370 Billion dollars lost annually. If your ambition is to grow your responsibilities and career while building world class analytic SaaS systems and fixing a huge problem for social good, please come and join us.
        ","
          65 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care
Lead Business Analyst,SID Global Solutions,"Exton, PA",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/lead-business-analyst-at-sid-global-solutions-3876927763?position=8&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=VrWdkN5zHlTr10bzF4%2BTMg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Lead Business Analyst Location: Exton, Pennsylvania Company: SID Global Solutions Job Description: We are seeking an experienced and motivated Lead Business Analyst to join our team. The Lead Business Analyst will play a key role in driving business analysis activities, managing a team of business analysts, and collaborating with stakeholders to gather and analyze requirements for various projects. Responsibilities: Lead a team of business analysts in gathering, documenting, and analyzing business requirements for projects. Collaborate with cross-functional teams to understand business needs and translate them into clear and actionable requirements. Develop and maintain project documentation, including business requirements documents, use cases, user stories, and process flows. Facilitate workshops and meetings with stakeholders to elicit requirements, gather feedback, and resolve issues. Prioritize and manage the backlog of requirements, ensuring alignment with project objectives and stakeholder priorities. Provide guidance and support to business analysts throughout the project lifecycle, including requirements validation, solution design, and user acceptance testing. Coordinate with technical teams to ensure that requirements are understood and implemented correctly. Conduct stakeholder interviews and workshops to identify business problems and opportunities for process improvement. Analyze data and metrics to identify trends, patterns, and insights that drive business decisions. Monitor project progress and report on key metrics, risks, and issues to project stakeholders. Requirements: Bachelor&#39;s degree in Business Administration, Information Systems, or related field. (Master&#39;s degree preferred) At least 10+ years of experience in business analysis, with at least 3+ years in a lead or senior role. Strong understanding of business analysis principles, methodologies, and best practices. Proven experience in leading and managing a team of business analysts. Excellent communication and interpersonal skills, with the ability to effectively collaborate with stakeholders at all levels. Demonstrated ability to translate business needs into clear and actionable requirements. Experience working in Agile environments and familiarity with Agile methodologies such as Scrum or Kanban, and Agile tools such as Jira and Confluence. Proficiency in business analysis tools and techniques, such as requirements elicitation, stakeholder management, and process modeling. Strong problem-solving skills and attention to detail. Relevant certifications such as CBAP (Certified Business Analysis Professional) or PMI-PBA (PMI Professional in Business Analysis) are a plus
","
          176 applicants
        ",Mid-Senior level,Full-time,Information Technology,Information Services
Business Analyst,ICONMA,"Kennett Square, PA",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-iconma-3902351905?position=9&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=%2B3Y0asfeA7lZJs%2BTsClZbg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business AnalystLocation: Kennett Square, PAJob Description:Position will assist external suppliers and/or internal business partners with enrolling vendors in Oracle Supplier Portal, including delivering training and answering questions from suppliers and business partners. Provide business function support in various power delivery settings in addition, develop processes to satisfy the needs and requirements of a diverse financial group that utilize a variety of O&M, Capital and/or balance sheet and clearing accounts.Utilize PC and mainframe applications, such as Microsoft Office, People Soft, Time, EERS, and Passport proficiently.Develop customized reports.Qualifications:Minimum of either a Bachelor’s degree or an Associate’s Degree and 5 years’ experience in preparing project estimates in the electric and gas utility industry using software and or estimating manuals to expedite estimating preparation process.Strong organizational skillsBe able to explain process and guide suppliers through the entire onboarding processAn understanding of entire Accounts Payable function, from onboarding through paymentKnowledge of Oracle/Supplier Portals a plusExperience in Supplier/Vendor Maintenance a plus. As an equal opportunity employer, ICONMA provides an employment environment that supports and encourages the abilities of all persons without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.        
","
          85 applicants
        ",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting
Business Analyst,Precision Recruiting Solutions Group®,"Butler County, PA",2024-04-28,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-precision-recruiting-solutions-group%C2%AE-3913202380?position=10&pageNum=0&refId=vV3t%2FdEJ2yVomcmaPDVMpA%3D%3D&trackingId=%2FLSYV2TK6L3i9HDHLLEJhg%3D%3D&trk=public_jobs_jserp-result_search-card,"
BUSINESS ANALYSTDirect Hire Role in Butler County Workplace Type: On-SiteRESPONSIBILITIES:Leading data-driven decisions with insightful analysisOwnership of existing and new Key Performance Indicators (KPI's) and analytical reportingPartnering with internal business leaders across multiple departments, providing strategic, analytical and decision supportLeading recurring strategic meetings to help identify and analyze opportunities for improvement and collaborate on resolutionsGenerating new ways of viewing and monitoring data to add value and reduce riskManaging multiple strategic initiatives with competing deadlinesBudgeting, forecasting, analysis and financial modelingPreparing reoccurring reporting and ad hoc analysisSKILLS, EXPERIENCE AND DESIRED QUALIFICATIONS:B.S. in Business, Finance or related field with 2+ years of relevant analytical experienceExperience with SQL and advanced Excel skills, including designing and creating modelsExperience working with large data sets, including defining query logic, querying, validating, cleansing and analyzingEffective communication skills to work with various internal business leaders and customer groupsAbout Precision Recruiting Solutions Group® – PRSG® puts precision first in identifying and placing the right talent in various functional areas on a consulting, temporary-to-hire, and direct-hire basis. PRSG® goes deeper, drawing on years of first-hand experience to see that every placement succeeds the first time. Our proven process takes into account your personal and professional objectives to ensure that you are matched with the appropriate opportunities that enable you to grow in your career.
","
          61 applicants
        ",Associate,Full-time,Accounting/Auditing and Analyst,Utilities
