title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Business Analyst Consultant -IV (Remote),Serigor Inc,"Madison, WI",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-consultant-iv-remote-at-serigor-inc-3911993178?position=1&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=mohukQbAfXEb7685UXXWVw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Location: Madison, WIDuration: 1+ MonthsJob Description:The client is focused on public safety through the custody and supervision of those in our care. Corrections employees have the opportunity to positively impact the lives of others through careers in a variety of fields. Using cutting-edge research and evidence-based approaches, employees implement lasting change that positively impacts the people of Wisconsin.The client of Management Services is recruiting for an EHR Business Analyst/Consultant IV position. This position will be located at our central office at 3099 E. Washington Ave., Madison, WI (Dane County), and will only allow 100% remote for in-state resident applicants.Position Summary:This position is 100% remote, except on the first day they should report to the office for onboarding. The person is responsible for implementing, maintaining, and configuring projects related to the support of the client’s Health and Behavior Solutions team. EHR platform is a vendor solution from Oracle Cerner, the State of Wisconsin’s Corrections Support Bureau of Health Services. This position serves as a member of the EHR core team staff, which includes Department employees from the Bureau of Technology Management, the medical staff from the other program divisions, and the EHR private vendors. This position works closely with the working group to help identify areas of optimization and improved business processes for workflows within EHR. This position will also execute the build and test required for effective EHR optimizations, reporting using Discern analytics and SAP Business Objects (BO), and upgrades in Provider, Nursing and Pharmacy workflow, Dentrix and Dragon Medical One, etc.Additional Details:Reviews, analyzes, and evaluates business systems and user needs for client’s application software. Formulates systems to parallel overall business strategies. Experienced with EMR workflows and their configuration, business process reengineering and identifying new applications of technology to business problems to make business more effective. Familiar with clinical needs in the Corrections environment, industry standards, current and emerging technologies, and business process mapping.Total Hours: The positions are 40 hrs. per week till 06/30/2025 and are subject to fiscal year renewals based on performance and budget.Job Details:Applicants must be legally entitled to work in the United States (i.e., a citizen or national of the U.S., a lawful permanent resident, or an alien authorized to work in the U.S. without client sponsorship) at the time of application. The client will conduct criminal background checks on applicants before selection to determine whether the conviction circumstances may be related to the job being filled. Upon hire, all new client employees are subject to fingerprinting.The client may conduct pre-employment drug screens. Any applicant offered employment in a position requiring a pre-employment drug screen must pass the screen as a contingency to employment. Applicants who fail or refuse the drug screen will not be given further consideration for employment.Minimally qualified applicants will have experience:Existing Knowledge of SAP Business Objects SolutionsMaintaining and vendor-managed software, performing maintenance, testing, upgrades, and configurationsCommunicating software configuration with external and internal stakeholdersWorking with external stakeholders to identify process improvements and optimizationsExperience engaging with users to troubleshoot and resolve application-related issuesExisting knowledge of EHR / EMR Systems. In addition to the above, well-qualified applicants will have experience: Experience in Agile environment and System Development Life CycleTest script maintenance and Test automationWorking in a government or correctional environmentB.A. shall have experience with the ability to understand and document Business requirements. Experience in change management systemsKnowledge of vendor-based application release cycle and ticket managementGood business process mapping and process capture through Visio flow diagrams. Ability to identify integration points. Knowledge of reporting and dashboard maintenance. Experience in process improvements and I.T. systems integrationAbility to work with cross-functional teamsAbility to work with business teams and good communication and presentation skills. Experience in User Acceptance Testing (UAT), running regression tests on systems, and identifying, designing, and optimizing new and existing test casesJIRA tool experience. (nice to have)Experience with SQL and PL SQLFollow Good Documentation Practice. Top Required Skills & 5 Years of Experience: Experience implementing, supporting, and/or configuring EMR/ softwareExisting Knowledge of SAP Business Objects SolutionsMaintaining and vendor-managed software, performing maintenance, testing, upgrades, and configurationsCommunicating software configuration with external and internal stakeholdersWorking with external stakeholders to identify process improvements and optimizationsExperience engaging with users to troubleshoot and resolve application-related issuesExisting knowledge of EHR / EMR SystemsNice to Have Skills: Experience in Agile environment and System Development Life CycleTest script maintenance and Test automationFamiliarity with clinical needs in the Corrections environmentExperience with the Cerner Electronic Medical RecordPowered by JazzHRSWKPIEny5h
        ","
          29 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Internet Publishing
Business Analyst/Consultant IV - 1729,"Certec, Inc.","Madison, WI",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-consultant-iv-1729-at-certec-inc-3910026596?position=2&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=NYIPE3Ejw31UvVkITysTAQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Location:- Madison, WIThis position is 100% remote within the state of Wisconsin. However, please note that candidates MUST come on-site their first day for onboarding.Candidates must be a WI resident or willing to relocate to WI at the candidate's expense prior to starting the role.Rate:- $ 48/hr on W2 - $53/hr on 1099Easy Submission Procedure DO NOT EMAIL Step 1 DOWNLOAD Step 2 COMPLETE SKILLS MATRIX Skills Matrix (link)https://docs.google.com/document/d/17qxuyNrrf2JvLFQaAwr4m99uwAuVjbp-/edit?usp=sharing&ouid=116800367808649467210&rtpof=true&sd=trueStep 3 DO NOT SUBMIT VIA LINKEDIN, INDEED OR DICE USE THE EASY APPLY BUTTON AT: https://certecinc.com/certec-open-positions/ DO NOT SUBMIT VIA EMAIL, it will not be processed ******Job DetailsApplicants must be legally entitled to work in the United States (i.e., a citizen or national of the U.S., a lawful permanent resident, or an alien authorized to work in the U.S. without DOC sponsorship) at the time of application. The Department of Corrections will conduct criminal background checks on applicants before selection to determine whether the conviction circumstances may be related to the job being filled. Upon hire, all new DOC employees are subject to fingerprinting.The Department of Corrections may conduct pre-employment drug screens. Any applicant offered employment in a position requiring a pre-employment drug screen must pass the screen as a contingency to employment. Applicants who fail or refuse the drug screen will not be given further consideration for employment.Minimally Qualified Applicants Will Have ExperienceExisting Knowledge of SAP Business Objects Solutions.Maintaining and vendor-managed software, performing maintenance, testing, upgrades, and configurations.Communicating software configuration with external and internal stakeholders.Working with external stakeholders to identify process improvements and optimizations.Experience engaging with users to troubleshoot and resolve application-related issues.Existing knowledge of EHR / EMR Systems. In addition to the above, well-qualified applicants will have experience: Experience in Agile environment and System Development Life CycleTest script maintenance and Test automation.Working in a government or correctional environment.B.A. shall have experience with the ability to understand and document Business requirements. Experience in change management systems.Knowledge of vendor-based application release cycle and ticket management.Good business process mapping and process capture through Visio flow diagrams. Ability to identify integration points. Knowledge of reporting and dashboard maintenance. Experience in process improvements and I.T. systems integration.Ability to work with cross-functional teams.Ability to work with business teams and good communication and presentation skills. Experience in User Acceptance Testing (UAT), running regression tests on systems, and identifying, designing, and optimizing new and existing test cases.JIRA tool experience. (nice to have)Experience with SQL and PL SQL.Follow Good Documentation Practice. Top Required Skills & 5 Years Of ExperienceExperience implementing, supporting, and/or configuring EMR/ software.Existing Knowledge of SAP Business Objects Solutions.Maintaining and vendor-managed software, performing maintenance, testing, upgrades, and configurations.Communicating software configuration with external and internal stakeholders.Working with external stakeholders to identify process improvements and optimizations.Experience engaging with users to troubleshoot and resolve application-related issues.Existing knowledge of EHR / EMR Systems.Nice To Have SkillsExperience in Agile environment and System Development Life CycleTest script maintenance and Test automation.Familiarity with clinical needs in the Corrections environmentExperience with the Cerner Electronic Medical Record
","
          41 applicants
        ",Associate,Contract,"Research, Analyst, and Information Technology",Information Services
Business Analyst,Agile Tech Labs,"Green Bay, WI",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-agile-tech-labs-3888431338?position=3&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=qIZksl5s%2FgY4ntnxhCisrw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Business AnalystJob Location: Green Bay, WIJob Type: Full TimeJob DescriptionPlans and prepares reports and instruction documentation as requiredReviews technology capabilities and workflows to determine if program or system changes are possibleModels, simulates and enhances business process diagrams (for example, using a graphic-oriented business process analysis/modeling tools)Assists the Technology Group team with the preparation of time and cost estimates for completing projectsDetermines the value of a change and assists with ROI analysis. Reviews ROI estimates after implementation to validate solution effectivenessLeads internal teamsSearches internal and external resources for pre-built models, templates and services to meet process needsShows process stakeholders how to identify and solve process challenges through simulation of different scenarios, analysis of performance metrics and advanced optimization techniquesQualificationsProcess improvement experience; especially experience that leverages technologyExperience with the Agile development processAbove average analytical skillsInnovative and detail orientedProject management experienceKnowledge of business practicesKnowledgeable in designing and constructing business processes and their links to technologyInterested candidates can send their updated resumes at anupam.pal@agile-techlabs.com
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Analyst/Consultant IV,"V-Soft Consulting Group, Inc.","Madison, WI",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/business-analyst-consultant-iv-at-v-soft-consulting-group-inc-3907941797?position=4&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=CuDqB8zOgYFbt5PpQ84%2BzA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Business Analyst/Consultant IV (100% remote)Primary Location: 100% remoteV-Soft Consulting is currently hiring for a Business Analyst/Consultant IV (100% remote) for our premier client.Education And Experience »Top Required Skills & Years of Experience: 5 years' experience implementing, supporting, and/or configuring EMR software.Existing Knowledge of SAP Business Objects Solutions.Maintaining and vendor-managed software, performing maintenance, testing, upgrades, and configurations.Communicating software configuration with external and internal stakeholders.Working with external stakeholders to identify process improvements and optimizations.Experience engaging with users to troubleshoot and resolve application-related issues.Existing knowledge of EHR / EMR Systems. Nice To Have SkillsExperience in Agile environment and System Development Life Cycle.Test script maintenance and Test automation.Familiarity with clinical needs in the Corrections environment.Experience with the Cerner Electronic Medical Record.In addition to the above, well-qualified applicants will have experience:B.A. shall have experience with the ability to understand and document Business requirements. Experience in change management systems.Knowledge of vendor-based application release cycle and ticket management.Good business process mapping and process capture through Visio flow diagrams. Ability to identify integration points. Knowledge of reporting and dashboard maintenance. Experience in process improvements and I.T. systems integration.Ability to work with cross-functional teams.Ability to work with business teams and good communication and presentation skills. Experience in User Acceptance Testing (UAT), running regression tests on systems, and identifying, designing, and optimizing new and existing test cases.JIRA tool experience. (nice to have)Experience with SQL and PL SQL.Follow Good Documentation Practice.Interested?Qualified candidates should send their resumes to pvamshi@vsoftconsulting.comV-Soft Consulting Group is recognized among the top 100 fastest growing staffing companies in North America, V-Soft Consulting Group is headquartered in Louisville, KY with strategic locations in India, Canada and the U.S. V-Soft is known as an agile, innovative technology services company holding several awards and distinctions and has a wide variety of partnerships across diverse technology stacks.As a valued V-Soft Consultant, you’re eligible for full benefits (Medical, Dental, Vision), a 401(k) plan, competitive compensation and more. V-Soft is partnered with numerous Fortune 500 companies, exceptionally positioned to advance your career growth.V-Soft Consulting provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.For more information or to view all our open jobs, please visit www.vsoftconsulting.com or call (844) 425-8425.#INDSP
","
          37 applicants
        ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Early Career Business Analyst,Gainwell Technologies,"Wisconsin, United States",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/early-career-business-analyst-at-gainwell-technologies-3907416244?position=5&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=htx1kSHfqwMqPvUKbvN3Zw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Great companies need great teams to propel their operations. Join the group that solves business challenges and enhances the way we work and grow. Working at Gainwell carries its rewards. You’ll have an incredible opportunity to grow your career in a company that values your contributions and puts a premium on work flexibility, learning, and career development.SummaryAs an Early Career Business Analyst at Gainwell, you can contribute your skills as we harness the power of technology to help our clients improve the health and well-being of the members they serve — a community’s most vulnerable. Connect your passion with purpose, teaming with people who thrive on finding innovative solutions to some of healthcare’s biggest challenges. Here are the details on this position.Your role in our mission“Analyze this” and help create innovative, purpose-built technologies and solutions to deliver better health and human services outcomes. Collaborate with a team of business analysts making client recommendations that can improve business processes  Translate your client’s business needs from the requirements generated for our technical teams into simpler non-tech language  Help your team analyze and document systems requirements and business processes  Build basic conceptual data and process models to quantify the potential impact of changes to the system  Verify that client requirements are built into the system design by executing and analyzing basic test case scenarios from existing test plans  Be part of technical reviews and inspections with senior leaders to ensure the final product meets client expectations  Expand your technical skills in software applications such as Microsoft Excel, SQL or Visio to enhance your expertise in this role What we're looking for Basic understanding of the software development life cycle and software such as Microsoft Office  Basic analytical and problem-solving skills to assess business needs and triage bugs and defects  Clear and effective oral and written communication skills in a professional work environment  Interest in working at the intersection of the ‘technical’ and ‘non-technical’ and learning more about business processes and re-engineering  Knowledge of claims is preferred, but not required.  Ability to work in a team environment with other professionals What you should expect in this role Fully remote opportunity within the Continental US. The pay range for this position is $44,500.00 - $63,500.00 per year, however, the base pay offered may vary depending on geographic region, internal equity, job-related knowledge, skills, and experience among other factors. Put your passion to work at Gainwell. You’ll have the opportunity to grow your career in a company that values work flexibility, learning, and career development. All salaried, full-time candidates are eligible for our generous, flexible vacation policy, a 401(k) employer match, comprehensive health benefits , and educational assistance. We also have a variety of leadership and technical development academies to help build your skills and capabilities.We believe nothing is impossible when you bring together people who care deeply about making healthcare work better for everyone. Build your career with Gainwell, an industry leader. You’ll be joining a company where collaboration, innovation, and inclusion fuel our growth. Learn more about Gainwell at our company website and visit our Careers site for all available job role openings.Gainwell Technologies is committed to a diverse, equitable, and inclusive workplace. We are proud to be an Equal Opportunity Employer, where all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We celebrate diversity and are dedicated to creating an inclusive environment for all employees.
","
          121 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Senior Business Analyst - Banking,Jobs for Humanity,"Brown Deer, WI",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/senior-business-analyst-banking-at-jobs-for-humanity-3909792604?position=6&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=noXLGEFLyQCgWMl3XUcgVQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company DescriptionJobs for Humanity is collaborating with FIS Global to build an inclusive and just employment ecosystem. We support individuals coming from all walks of life.Company Name: FIS GlobalJob Description Position Type : Full time Type Of Hire : Experienced (relevant combo of work and education) Education Desired : Bachelor of Business Administration Travel Percentage : 1 - 5%Job DescriptionThe world of finance moves fast. At FIS, we’re faster. Our teams are empowered to learn, grow, and make an impact–in their careers and communities. We deliver innovation that advances the way the world pays, banks and invests. If you want to grow personally and professionally, we’d like to know: Are you FIS?About the team:Join our team today! We're looking for a passionate and highly-skilled Senior Business Analyst to perform competitive analysis, in depth research across our community and regional banks and large financial institutions, and identifyg new market opportunities and trends. The ability to communicate and present insights and opportunities is also a critical aspect of this role as you will be sharing information at all levels of the organization. You will work with senior level management to identify product level opportunities gathering/analyzing data on client preferences as it relates to our products. This role will provide important unifications across the division in shaping our strategic product roadmaps and equipping external facing teams to drive awareness of those changes. For example, for the product team, this role will help them understand customer needs and preferences, leading to the development of more successful products. And for sales and marketing teams, this role will help them target their efforts more effectively, leading to increased sales and revenue.What you will be doing:Drive growth by identifying new market opportunities and trends, conducting competitor analysis at the product and business level, and gathering/analyzing data on client preferences as it relates to our products Support senior/executive leadership in improving the Banking products and services, optimize go to market approach, and supporting market share expansion for our products Provide important unifications across the division in shaping our strategic product roadmaps and equipping teams to drive awareness of those changes Complete financial analysis across various tools to understand the financial competitive landscapeListen to company earnings calls and complete analysis around earnings reportProvide coaching and/or guidance to less experienced Business AnalystsPerforms analysis of the business goals, objectives and needs of the business environment for appropriate segment, division, group or line of businessWhat you will need:5+ years experience with business analysis in the financial services industry, specifically with banks and large financial institutions (LFIs)Business analysis experience of banking and technological industry trendsKnowledge of financial analysis principles and ratiosAbility to perform detailed analysis of competitors, provide high-level commentary and insights as a resultExperience with Power BI & KPI analysisProficiency in industry-standard process methodologiesBachelor’s in business administration, finance, computer science or information systems or the equivalent experienceAbility to review quarterly earnings reports and compare/contract with FIS reporting to glean areas of opportunityWhat we offer you:At FIS, we are as committed to growing our employees’ careers as our own business. We offer:Opportunities to innovate in fintechInclusive and diverse team atmosphereProfessional and personal developmentResources to contribute to your communityCompetitive salary and benefitsPrivacy StatementFIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice.EEOC StatementFIS is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, marital status, genetic information, national origin, disability, veteran status, and other protected characteristics. The EEO is the Law poster is available here supplement document available hereFor positions located in the US, the following conditions apply. If you are made a conditional offer of employment, you will be required to undergo a drug test. ADA Disclaimer: In developing this job description care was taken to include all competencies needed to successfully perform in this position. However, for Americans with Disabilities Act (ADA) purposes, the essential functions of the job may or may not have been described for purposes of ADA reasonable accommodation. All reasonable accommodation requests will be reviewed and evaluated on a case-by-case basis.Sourcing ModelRecruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.#pridepass
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Non-profit Organizations
Business Analyst,Codeworks IT Careers,"Milwaukee, WI",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-codeworks-it-careers-3883446195?position=7&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=kHxC8cfYfaMoZohp6avcAA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          We are seeking a talented technical business analyst to assist in our efforts to redefine our contract and licensing processes, through workflow automation and other enabling technologies. This role will be working with a talented group of product managers, business stakeholders, engineering partners and design to redefine the way in which our technology streamlines our CLR processes through automation of workflow and integration of services with 3rd party vendors such as FINRA.Primary Duties & ResponsibilitiesCollaborate with peer groups, business partners and product managers to learn and document business area/domain processes. Current State, Future State and Gap Analysis: Assess and document (process maps) multiple current state processes, in a single business area / domain (Contract License & Registration). Assist with task-based work items in more complex situations. Gather Requirements: Gather complex product requirements with a general understanding/knowledge of products in remit. Review and validate requirements gathered from business partners. Author User Stories and/or Features: Author user stories and/or features independently with low to medium complexity while participating in some task-based work in higher complexity situations. Co-facilitate with product manager, the daily Scrums, Sprint Planning Meetings and Sprint ReviewsTest Plan Review: Assist with coordinating and build of test plans. Independently execute test plan & scenariosProject Management: Use project management principles to successfully complete and advance work. QualificationsBachelor's degree preferred. Minimum 3-5 years prior experience as technical business analyst or similar role. Ability to lean on strong communication skills to influence outcomes while approaching conflict with organizational savviness. Knowledge Preferred: knowledge of the financial services industry, familiar with workflow automation tools (highly desired), experience with technical business analyst role, product owner or Scrum Master role, and working in a highly complex business domain. Certifications demonstrating mastery of role specific competencies. Deep familiarity of agile & scrum development environments. Solves problems in straightforward situations; analyzes possible solutions using technical experience, judgement, and precedents.
","
          168 applicants
        ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst,Genesis10,"Milwaukee, WI",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-genesis10-3887115407?position=8&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=VRp66l3rjdB9tBFXNn5djQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Genesis10 is currently seeking a Business Analyst for a contract lasting through December 2024 working with an insurance company in Milwaukee, WI. Summary: Our client is a leading financial services company dedicated to innovation and excellence.  We are committed to delivering high-quality products and services to our customers while continuously striving for improvement and growth. As we accelerate our efforts to modernize, we are seeking a talented technical business analyst to assist in our efforts to redefine our contract and licensing processes, through workflow automation and other enabling technologies. This role will be working with a talented group of product managers, business stakeholders, engineering partners and design to redefine the way in which our technology streamlines our CLR processes through automation of workflow and integration of services with 3rd party vendors such as Client.  Responsibilities: Collaborate with peer groups, business partners and product managers to learn and document business area/domain processes.Current State, Future State and Gap Analysis: Assess and document (process maps) multiple current state processes, in a single business area / domain (Contract License & Registration).Assist with task-based work items in more complex situations.Gather Requirements: Gather complex product requirements with a general understanding/knowledge of products in remit.Review and validate requirements gathered from business partners.Author User Stories and/or Features: Author user stories and/or features independently with low to medium complexity while participating in some task-based work in higher complexity situations.Co-facilitate with product manager, the daily Scrums, Sprint Planning Meetings and Sprint ReviewsTest Plan Review: Assist with coordinating and build of test plans.Independently execute test plan & scenariosProject Management: Use project management principles to successfully complete and advance work.Qualifications: Bachelor's degree preferred.Minimum 3-5 years prior experience as technical business analyst or similar role.Ability to lean on strong communication skills to influence outcomes while approaching conflict with organizational savviness.Knowledge Preferred: knowledge of the financial services industry, familiar with workflow automation tools (highly desired), experience with technical business analyst role, product owner or Scrum Master role, and working in a highly complex business domain.Certifications demonstrating mastery of role specific competencies.Deep familiarity of agile & scrum development environments.Solves problems in straightforward situations; analyzes possible solutions using technical experience, judgement, and precedentsIf you have the described qualifications and are interested in this exciting opportunity, apply today!Ranked a Top Staffing Firm in the U.S. by Staffing Industry Analysts for six consecutive years, Genesis10 puts thousands of consultants and employees to work across the United States every year in contract, contract-for-hire, and permanent placement roles. With more than 300 active clients, Genesis10 provides access to many of the Fortune 100 firms and a variety of mid-market organizations across the full spectrum of industry verticals.For contract roles, Genesis10 offers the benefits listed below. If this is a perm-placement opportunity, our recruiter can talk you through the unique benefits offered for that particular client.Benefits of Working with Genesis10:• Access to hundreds of clients, most who have been working with Genesis10 for 5-20+ years.• The opportunity to have a career-home in Genesis10; many of our consultants have been working exclusively with Genesis10 for years.• Access to an experienced, caring recruiting team (more than 7 years of experience, on average.)• Behavioral Health Platform• Medical, Dental, Vision• Health Savings Account• Voluntary Hospital Indemnity (Critical Illness & Accident)• Voluntary Term Life Insurance• 401K• Sick Pay (for applicable states/municipalities)• Commuter Benefits (Dallas, NYC, SF)• Remote opportunities availableFor multiple years running, Genesis10 has been recognized as a Top Staffing Firm in the U.S., as a Best Company for Work-Life Balance, as a Best Company for Career Growth, for Diversity, and for Leadership, amongst others. To learn more and to view all our available career opportunities, please visit us at our website.Genesis10 is an Equal Opportunity Employer. Candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. 
        ","
            Be among the first 25 applicants
          ",Entry level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Analyst  - Portable Power,Generac,"Pewaukee, WI",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/business-analyst-portable-power-at-generac-3884074500?position=9&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=lOWlXEZslNY4n4v9O8HecQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          It’s a challenge and an invitation. Most importantly, it’s an opportunity to join an industry leader that’s shaping the market and investing in its people, along with new growth and technologies. Our rapid growth equals rapid career advancement opportunities for those who want to be challenged and enjoy a fast-paced, high-performance culture. We focus on personal and professional development; encourage learning on the job and being a supportive team member; and hope each day of work brings purpose and pride.	The Business Analyst will analyze and interpret complex data sets to provide insights and recommendations that will help stakeholders deliver on key goals which include increasing sales, enhancing margins, and gaining market share for our product line of portable generators.  To achieve these results, the Business Analyst will leverage automation and visualize tools to deliver proactive insights, utilize advanced statistical methods to uncover patterns and trends in data, and track team performance relative to stated KPIs/OKRs. Additionally, the Business Analyst will be responsible for scoping data infrastructure and systems that will support the team's ongoing analysis and reporting needs.Given this role will support multiple functional areas, the Business Analyst must be adept at delivering diverse requirements with unique timelines and comfortable managing the expectations of multiple stakeholders. The ability to become intimately familiar with our products, processes, and the overall marketplace for backup power will be essential for this role - so highly passionate and curious individuals are encouraged to apply.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Electric Power Generation
Business Analyst,Codeworks IT Careers,"Madison, WI",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-analyst-at-codeworks-it-careers-3865270581?position=10&pageNum=0&refId=qx0o9%2Bc43PmZW%2BlDPjrLdw%3D%3D&trackingId=hDiiRvWA2xc58ztKWD9l4A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          BUSINESS ANALYST POSITION FOR WISCONSIN RESIDENT ONLYContract to June 30 with 12 month renewalPOSITION SUMMARY:Under the supervision of the Project Management Office (PMO) Manager, this position provides business analysis support to top priority initiatives and enterprise-wide projects. This includes, but is not limited to, facilitating requirements sessions, documenting business needs and business processes, analyzing business processes, and applying and implementing both technology and non-technology focused solutions to business problems.In addition, this position partners with our Lead Business Analsyt and the Project Management Office Leadership as we develop business analysis standards, best practices, collaboration, education, and business analysis maturity.Top Skills & Years of Experience: 8 or more years of experience in the Business Analysis field Experience with business process reengineering and identifying new applications or technology that address business problems to make business more effective.  Experience creating process workflows Exceptional communication skills (written/verbal) with team members and executives High emotional intelligence Familiar with change management processes Familiar with industry standards, current and emerging technologies, and business process mapping, and re-engineering.  Ability to work independently with directions given by the Customer.  Experience with cross-functional work teams.  Ability to multitask. Nice to have skills: Experience using Visio, SharePoint and MS Teams.  Knowledge of project management, conflict resolution, and incident escalation.  Knowledge of government organization and hierarchy.  Knowledge of governmental regulations around identity management.  Familiar with adaptative methodologies. This position will assist and partner with project leadership to identify and prioritize opportunities that achieve the goals set for the enterprise. Ideal candidates follow standard business analysis industry practices, rely on experience and judgment to plan and accomplish goals, and can independently perform a variety of complicated tasks. A wide degree of creativity and latitude is expected. The Business Analyst must have excellent communication skills and a high degree of emotional intelligence (EQ) in order to effectively work with a broad spectrum of business and IT leaders and subject matter experts throughout the enterprise.Candidates considered will have experience in the following areas: Review, analysis, and evaluation of business systems and user needs.  Understanding, representing, and documenting business areas/units and their needs.  Business process mapping, and reengineering, and identifying new applications of technology to business problems to make business more effective.  Process flow development.  Developing business requirements.  Documenting current and future states.  Identifying gaps and deficiencies.  Creating business and technical documentation, and user guides.  Preparing solution options, risk identification, and financial analyses such as cost/benefit, ROI, buy/build, etc.  Facilitating business and technical group discussions.  Communicating with technical and non-technical audience (presentations, briefings, broadcasting, etc.).  Experience collaborating with people of diverse background.  Familiar with industry standards and current and emerging technologies.  Familiar with adaptative methodologies. Codeworks L.L.C. is a full-service IT Consulting and Staffing Services company. Headquartered in Milwaukee, WI—Codeworks has more than 25 years of experience connecting great people to great companies. Codeworks services companies nationwide ranging from start-ups to Fortune 100 corporations. Our Recruiting team consists of highly skilled Talent Specialists who excel at evaluating, advising, and connecting IT professionals with new career opportunities that facilitate career growth.At Codeworks, we're committed to diversity, equity, and inclusion in our workforce and beyond. We believe in equal opportunities and value the unique perspectives that every individual brings to our team. Join us in creating an inclusive, innovative, and collaborative workplace where your talents can thrive.
","
            Over 200 applicants
          ",Mid-Senior level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
