title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Analyst,Tarter Farm and Ranch Equipment,"Dunnville, KY",2024-03-19,,,https://www.linkedin.com/jobs/view/data-analyst-at-tarter-farm-and-ranch-equipment-3860315039?position=1&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=ppnC4rxFfmYQ5XquRp5Olg%3D%3D&trk=public_jobs_jserp-result_search-card,"
🌟 Join the Tarter Team as a Data Analyst!!Position Overview:Tarter, a leading manufacturer in the farm and ranch industry, is seeking a dynamic and skilled Data Analyst to join our team. This critical role will leverage data to develop and track key performance indicators, driving actionable insights across our manufacturing sites and enabling functional leadership to make informed, data-driven decisions. Reporting directly to the Data Analytics Manager, the successful candidate will play a pivotal role in supporting key business functions including Finance, Sales, Operations, and Human Resources.Key Responsibilities:Data Analysis and Insight Generation: Design and build comprehensive KPI dashboards to monitor performance and identify improvement opportunities. Develop a framework for data validation and process documentation to ensure data integrity and usability.Cross-Functional Support: Work closely with various departments to provide analytical support and insights that guide strategic decisions.Data Management: Efficiently manage the data request queue, ensuring timely tracking, reporting, and completion of requests.Primary Qualifications:Bachelor’s degree in Business Analytics, Data Science, Business Administration, Economics, Finance, Accounting, or a related discipline.Proficient in SQL and relational databases.Skilled in Microsoft Office Suite (Word, Excel, PowerPoint).Experience with visualization tools such as Power BI, Tableau, etc.Basic understanding of financial statements.Preferred Qualifications:Master’s degree in Business Analytics, Data Science, Business Administration, or related discipline.Familiarity with open-source tools (R, Python, etc.), Databricks, and APIs for data extraction.Knowledge of regression and forecasting models.Experience with Epicor or another ERP system.About Tarter:Tarter is a renowned leader in the manufacturing of farm and ranch products. With a commitment to quality and innovation, we serve a global customer base, providing reliable and effective solutions for the agricultural sector. Joining Tarter means becoming part of a team dedicated to excellence and continuous improvement.How to Apply:If you are passionate about data analytics and looking for an opportunity to make a significant impact in a dynamic industry, we encourage you to apply. Please submit your resume at www.tarterusa.com/jobsTarter is an equal opportunity employer committed to diversity and inclusion. We look forward to welcoming you to our team.Work Environment:This job operates in a professional office environment and routinely uses standard office equipment. Open to hybrid schedule with 3 days in office.Physical Requirements:  This is largely a sedentary role; however, some mobility is required.
","
            Over 200 applicants
          ",Associate,Full-time,Sales and Analyst,"Manufacturing and Farming, Ranching, Forestry"
Data Analyst,Sedgwick,"Kentucky, United States",2024-04-11,,,https://www.linkedin.com/jobs/view/data-analyst-at-sedgwick-3894408254?position=3&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=MObVpdcftTB7F5qq1dNa7Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Taking care of people is at the heart of everything we do, and we start by taking care of you, our valued colleague. A career at Sedgwick means experiencing our culture of caring. It means having flexibility and time for all the things that are important to you. It’s an opportunity to do something meaningful, each and every day. It’s having support for your mental, physical, financial and professional needs. It means sharpening your skills and growing your career. And it means working in an environment that celebrates diversity and is fair and inclusive.A career at Sedgwick is where passion meets purpose to make a positive impact on the world through the people and organizations we serve. If you are someone who is driven to make a difference, who enjoys a challenge and above all, if you’re someone who cares, there’s a place for you here. Join us and contribute to Sedgwick being a great place to work.Great Place to Work®Most Loved Workplace®Forbes Best-in-State EmployerData AnalystPrimary Purpose Of The RoleYou will join a growing Data Engineering & Analytics team that is focused on global data initiatives leveraging Snowflake for Sedgwick’s data cloud. The team supports a mix of strategic initiatives and business projects that can vary widely in scope and the technologies involved. The ideal candidate would possess excellent interpersonal skills, enjoy learning new technologies, have business aptitude, and be skilled in storytelling with data.As a Data Analyst, you will be responsible for applying cutting-edge analytic approaches and leveraging new technologies to enhance our analytics capabilities to improve business agility. You will work with business partners to understand and define requirements, identify the data assets needed, work with various cloud-based data and visualization technologies, perform exploratory analysis, and provide insight through explanatory analysis using visualizations. You should be comfortable switching between multiple projects and working with both business teams and technology teams.This position reports to the Data & Reporting Manager.ARE YOU AN IDEAL CANDIDATE? We are looking for enthusiastic candidates who thrive in a collaborative environment, who are driven to deliver great work, are customer-oriented and are naturally empathetic.Essential Responsiblities May IncludeProvide excellent customer service to external customers and internal support to an assigned teamAct as a liaison between customers and team members; direct calls to appropriate escalation path as neededProvide detailed notes on phone calls, and track and code documentation according to standard processesEducate and inform customers about processes, timelines and status of inquiries via multiple communication channelsInvestigate customer feedbackAssist with developing corrective/preventative actionsPerform administrative tasksQualifications1-3 years of data analytics experienceProficiency in SQL and/or PythonProficiency in visualization tools and developing intuitive reports (i.e., Hex, Power BI, Tableau)Experience with databases and related technologiesExperience with Snowflake data cloud preferredInsurance or claims-related experience preferredTAKING CARE OF YOU Career development and promotional growth opportunitiesA diverse and comprehensive benefits offering including medical, dental vision, 401K, PTO and moreWork environment requirements for entry-level opportunities include –Physical: Computer keyboardingAuditory/visual: Hearing, vision and talkingMental: Clear and conceptual thinking ability; excellent judgement and discretion; ability to meet deadlinesNEXT STEPS If your application is selected to advance to the next round, you will receive an e-mail notification with instructions and a link to complete a recorded video interview. Upon completion and submission of the video interview, a recruiter will be in touch.Sedgwick is an Equal Opportunity Employer and a Drug-Free Workplace.If you're excited about this role but your experience doesn't align perfectly with every qualification in the job description, consider applying for it anyway! Sedgwick is building a diverse, equitable, and inclusive workplace and recognizes that each person possesses a unique combination of skills, knowledge, and experience. You may be just the right candidate for this or other roles.
        ","
          55 applicants
        ",Entry level,Full-time,Information Technology,Insurance
Data Analyst,CareRing Health,"Louisville, KY",2024-04-04,,,https://www.linkedin.com/jobs/view/data-analyst-at-carering-health-3883224317?position=4&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=jfWQQuXWZ3HmrB0lbfFkFg%3D%3D&trk=public_jobs_jserp-result_search-card,"
OverviewCareRing Health is the healthcare-at-home leader, dedicated to bringing a comprehensive and coordinated ring of care – including home health, home-based primary care, homecare, and hospice care – to the chronically-ill, Medicaid/Medicare-eligible population. Our innovative healthcare delivery model will result in better patient outcomes and bring health equity to this underserved population.We are seeking talented, passionate individuals to join our mission and help our patients live happier and healthier lives where they want to be…in their homes.What We Offer:*We Know That, To Be The Best Place For Our Patients, We Must Be The Best Place To Work For Our Employees. We Offer The Following To Our EmployeesBe part of a unique healthcare company where we can help those who need our help the mostCompetitive payPaid on a weekly basisMedical/dental/vision/life insurancePaid holidays/PTO/401(k) matchCareer growth opportunitiesGreat and collaborative work environmentResponsibilitiesWhat You Will Do:Proactively and independently obtain/analyze data to gather insights/identify opportunities and communicate findings to leadership to optimize business operationsTransform and organize data into recurring dashboards, reports, and tools (using Power BI) that will drive action across various business functionsConduct in-depth data analysis using advanced Excel functions, pivot tables, and macros to identify patterns, anomalies, and opportunities for improvement.Collaborate with cross-functional teams, including operations, clinical, human resources, and finance, to understand data requirements and provide analytical support for various initiativesQualifications Qualifications Strong sense of intellectual and operational curiosityHigh attention to detailProblem-solverStrong written and verbal communication skillsBachelor’s degreeTwo or more years of experience in data intelligence/optimization roleProficiency in Microsoft suite, including Microsoft AccessProficiency in PowerBI, data modeling, and data visualization techniquesEligibility for certain benefits may depend on employment statusCareRing Health is an equal opportunity employer committed to providing equal employment opportunities without regard to race, color, religion, sex (including pregnancy), sexual orientation, age, national origin, disability, genetic information, veteran status, or any other classification protected by applicable law.
        ","
          89 applicants
        ",Entry level,Full-time,Information Technology,Home Health Care Services
Data Analyst,Galen College of Nursing,"Louisville, KY",2024-03-21,,,https://www.linkedin.com/jobs/view/data-analyst-at-galen-college-of-nursing-3866104823?position=5&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=%2Fw3IMOyEjs8XqOJNtJ8apA%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionThis position is incentive eligible.This is a hybrid position. Candidates must live near a Galen campus in Florida, Texas, Kentucky, Tennessee, Nevada, Kansas, North Carolina, South Carolina, Ohio, Utah, Colorado or Virginia.IntroductionAre you passionate about delivering superior work outcomes? At Galen College of Nursing, we are committed to a single purpose: offering excellence in nursing education. Our staff and administration live out our vision! We change the life of one to care for the lives of many. Jump-start your career as a Data Analyst today with Galen College of Nursing.BenefitsAt Galen College of Nursing, we want to ensure your needs are met. We offer a comprehensive package of medical, dental, and vision plans along with unique benefits, including:Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation. Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more. Free counseling services and resources for emotional, physical and financial wellbeing 401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service) Employee Stock Purchase Plan with 10% off HCA Healthcare stock Family support through fertility and family building benefits with Progyny and adoption assistance. Referral services for child, elder and pet care, home and auto repair, event planning and more Consumer discounts through Abenity and Consumer Discounts Retirement readiness, rollover assistance services and preferred banking partnerships Education assistance (tuition, student loan, certification support, dependent scholarships) Colleague recognition program Time Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income. Learn More About Employee BenefitsNote: Eligibility for benefits may vary by location.The Data Analyst is responsible for performing statistical analyses, developing reports, and overseeing data collection and research, as it relates to courses, campus operations, faculty evaluations, student services, surveys, and other aspects of the student and faculty experience, as needed to support Galen 's institutional effectiveness and research activities.Position ResponsibilitiesPerform statistical analyses for the College on data related to courses, campus operations, faculty evaluations, student services, surveys, and other aspects of the student and faculty experience as needed. Create and compile reports based on survey results and program outcome data. Assist with the selection and/or development of appropriate instruments for the assessment of program and student learning outcomes. Gather, validate, and analyze data to help College leaders make informed decisions. Serve as a resource for academic units in developing, measuring, and analyzing learning outcomes. Serve as a resource for administrative units in developing, measuring, and analyzing performance outcomes. Create and implement effective ways to process data. Build advanced statistical models for predicting academically-related outcomes e.g., predicting first-time pass rates for students taking the National Council Licensure Examination (NCLEX).Perform statistical analyses and research. Communicate with College leaders and other individuals to gather requirements to perform analysesPrepare reports that show trends, patterns, and predictions using relevant data. Work with the Data Engineers team to identify process improvement opportunities, propose system modifications, and devise data governance strategies. Prepare final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to make important decisions based on various facts and trends. Collecting and analyzing data for publishing. Other duties as needed to support the institutional effectiveness activities of the College. Position RequirementsEducation: A graduate degree in Psychology, Statistics, or a related field. Doctorate degree preferred.Experience: Minimum of three (3) to five (5) years of research experience. Experience with survey research is a plus. Experience in developing and reviewing IRB applications is a plus.Special Qualifications: Ability to conduct analyses using inferential statistics, as well as more advanced techniques e.g., Random Forest, Cluster Analysis. Proficiency using Microsoft Excel (including pivot tables) and the rest of the Microsoft Office suite. Experience with SPSS, SAS, or Stata. Proficiency programming in R for statistical calculations. Great attention to detail.Excellent oral and written communication skills. Must be able to communicate the results of statistical analyses to audiences in written and graphical form. The ability to learn quickly and shift priorities as needed in a fast-paced environment.Physical/Mental Demands & Work Environment: The ability to sit at a desk for up to eight (8) hours per day.Degree of Supervision: MinimalBe a part of an organization that invests in you. We are actively reviewing applications for our Data Analyst opening. Highly qualified candidates will be promptly contacted for interviews. Submit your application and help us raise the bar in nursing education!We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
","
            Over 200 applicants
          ",Entry level,Full-time,Other and Health Care Provider,Hospitals and Health Care
Analytics Analyst,St. Claire HealthCare,"Morehead, KY",2024-04-12,,,https://www.linkedin.com/jobs/view/analytics-analyst-at-st-claire-healthcare-3895082072?position=6&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=4VeII6d%2Fr0LAcryglM4fqA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position SummaryThe Analytics Analyst participates in the design, implementation, testing, and support of analytic and business intelligence tools used by leaders to achieve strategic goals and objectives.Duties/ResponsibilitiesPerforms complex analysis of data from multiple sources using various statistical techniques and tools.Identifies, analyzes, and interprets trends and patterns in complex data that may provide answers to business and clinical questions.Provides technical and administrative support for complex enterprise wide analytics systems.Develops reports, dashboards, and visualizations that deliver actionable insights to leaders in a timely fashion.Presents data and analysis in a clear and concise manner allowing leaders to quickly understand the results and draw conclusions necessary to enable data driven decisions.Ensures all data acquisition and sharing is compliant with company standards and HIPAA.PI238352589
        ","
          110 applicants
        ",Entry level,Full-time,Business Development and Sales,Hospitals and Health Care
Business Intelligence (BI) Analyst 6424,TCI Technology Consulting Inc,"Georgetown, KY",2024-04-11,,,https://www.linkedin.com/jobs/view/business-intelligence-bi-analyst-6424-at-tci-technology-consulting-inc-3890832072?position=7&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=fOudZ2NW9iRkcZB4fwiniQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
TCI has an immediate need for a Business Intelligence (BI) Analyst in Georgetown, KY (No Remote). This is not a Corp2Corp opportunity. This is a contract-to-hire opportunity.NOTE: This position requires US Citizenship.SUMMARYThe BI Analyst will be part of a team that provides supply chain solutions to clients. If you are someone with extensive SQL Coding experience (writing and executing SQL queries), SSRS report building experience and data analysis (manipulating raw data to isolate and extract relevant information to summarize data, study relationships between variables, and make predictions) we’d love to hear from you.RESPONSIBILITIESWork collaboratively with inbound operation to support providing BI reporting and solutions.Ability to perform linking and flow routing of data.75% Developing and maintaining new and existing BI solutions: Data Marts/Cubes, Power platform, SQL data analysis and scripting, Report Design, Date Engineering and SSIS data integration.20% Providing in-house technical support and consultation on the use and features.5% Providing on-call support for production applications.REQUIREMENTS Bachelor's degree in business analytics, business intelligence AND 1-3 years of experience in business reporting, analytics. IF no degree 4-6 years of experience is required.Strong solid experience with: SSRS, SSIS, SQL queries in large data sets.Minimum 1 year of experience with forecasting and predictive modeling.Solid knowledge and extensive use of Microsoft's business intelligence platform (Power Platform: Power BI, Power Apps, Power Automate, Power Pages), SSRS, Semantic Model.Additionally knowing Business Modeling, Route Linking and Flowing.Knowledge with VS.Net, DAX, JSON, M.Dimensional Modeling (Kimball Methodology).Someone who has basic programming skills and wants to take initiative to learn more.Work is performed on-site in Georgetown, KY (no remote).
","
          60 applicants
        ",Associate,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage"
DATA & REPORTING ANALYST,PharMerica,"Louisville, KY",2024-04-10,,,https://www.linkedin.com/jobs/view/data-reporting-analyst-at-pharmerica-3892237150?position=8&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=2JHtFepMn8LUfn82%2Bs2deQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our CompanyPharMericaOverviewThe  Data & Reporting Analyst  position is responsible for leveraging data and analytics to support client strategy and partnership department operations in order to facilitate conversation on how best to support and report on various performance of the account management teams.Responsibilities Works with the Client Strategy and Partnership teams to provide key monthly performance metrics on various measures aligned to Company priorities on a recurring and adhoc basis.  Develops monthly process(es) to create performance reports in timely manner in conjunction with data availability  Effectively coordinates and communicates reporting activities and documents all processes; and helps maintain procedures for organization  Helps design reports, dashboards, and scorecards using tools such as Microsoft Excel or Power BI  Establishes KPIs to measure the effectiveness of business decisions  Performs data analysis on retention and renewal performance, group purchasing partner pipeline management and rebate preparation, quarterly AM team retention performance and other client performance metrics  Reviews strategic account portfolio and identifies ways to represent business portfolio and opportunity focus Generates Excel Reports from Microsoft Dynamics CRM to Optimize KPI information on Renewal/Retention and Loss Data as part of Monthly CadencePrepares AM Team’s Quarterly Bonuses IncentiveEnsures membership list accuracy and GPO reporting process milestones achieved quarterlyTracks overall progress of Strategic Account plan execution for growthCreates presentations and reports based on recommendations and findingsMaintains department headcount report and roster changes for leadershipCommunicates directly with Director, Client Strategy and SVP, Client Strategy and Partnerships in development of reports, as well as testing for data accuracy and reliabilityResponds to data requests in a timely and efficient manner with the highest level of qualitySeeks customer satisfaction on all endeavorsAdditional responsibilities may be required Conducts job responsibilities in accordance with the standards set out in the Company’s Code of Business Conduct and Ethics, its policies and procedures, the Corporate Compliance Agreement, applicable federal and state laws, and applicable professional standards Qualifications Bachelor’s Degree in Business Administration, Computer Science/CIS, or related fields. A combination of education and work experience will be taken into consideration  Experience in data analysis (Education will be consideration). Strong analytical and critical thinking skill  Excellent verbal and written communication skills  Strong interpersonal skills to work effectively with internal and external customers  Demonstrated ability to handle multiple tasks simultaneously and to prioritize accordingly  Proven ability to work with a high degree of accuracy and attention to detail  Proficient in all Microsoft office products including Excel, PowerBI, Access, PowerPoint, and Word  Experience working with SAS, COGNOS, SQL, Server Manager, or other database management software is plus  Self-starter with a commitment to continuous process improvements and improved service levels About Our Line Of BusinessPharMerica is a full-service pharmacy solution providing value beyond medication. PharMerica is the long-term care pharmacy services provider of choice for senior living communities, skilled nursing facilities, public health organizations and post-acute care organizations. PharMerica is one of the nation's largest pharmacy companies. PharMerica offers unmatched employee development, exceptional company culture, seemingly endless opportunities for advancement and the highest hiring goals in decades. For more information about PharMerica, please visit www.pharmerica.com . Follow us on Facebook , Twitter , and LinkedIn . Salary Range USD $40,000.00 - $45,000.00 / Year
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Pharmaceutical Manufacturing
Competitive Intelligence Analyst - Life Sciences,Sedulo Group,"Louisville, KY",2024-04-11,,,https://www.linkedin.com/jobs/view/competitive-intelligence-analyst-life-sciences-at-sedulo-group-3895478747?position=9&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=Ye2Gl0OtGlCzoHAUx%2FR2tA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Sedulo Group is currently recruiting for a Competitive Intelligence Analyst – Life Sciences to join our team. This is a REMOTE position and can be based anywhere in the continental USA!Who We Are:Imagine the opportunity to work with some of today’s top pharmaceutical, biotech, and medical device companies. Imagine working in a fast-growth environment designed to ensure your success. Imagine a career where every day is something different, something new, something challenging. This is what it is like to work at Sedulo Group. To learn more about us, please visit us at . Sedulo Group named the fastest growing privately held consulting firm in America by Inc Magazine, is a thought leader in the integration of competitive strategy, competitive intelligence, and market research. Sedulo Group works on behalf of its clients to understand their competitive environment and outmaneuver their competition.About the Role:The Analyst position is intended for qualified candidates interested in a career in Life Sciences consulting and competitive intelligence. Responsibilities of the Analyst include project research and administrative support duties.What you’ll do:Core duties and responsibilities include the following: Assist Client Engagement Management team in supporting Sedulo Life Sciences clients in their competitive and strategic intelligence needs Build and maintain spreadsheets / Excel tablesSecondary / open-source research (online)Source discovery and lead generationDraft, format and proofread reports in PowerPoint and WordProvide coverage support of events such as medical conferences, earnings calls, podcasts, blogs, as well as monitoring of media channelsOther duties as assigned by managementOur Perfect CandidateExperience and education:1-2 years of relevant Life Sciences Competitive Intelligence experience with either a Competitive Intelligence consultancy or a Life Sciences company is requiredBA/BS degree Academic or professional background in Life SciencesWhat is needed to succeed: Keen business acumenExcellent written and verbal communication skillsAbility to organize data from multiple sources into a coherent pictureAbility to multi-task; managing simultaneous projects and other management responsibilitiesAbility to effectively work with, and across, internal teamsSuperb organization skills, ability to plan, and work in a fast paced, flexible, environmentProficient with Microsoft productivity applications (Excel, Word, Outlook, PowerPoint)Highest level of integrity and commitment to qualityCompany Offers: Full-time salaried position, $55,000 - $60,000 annually, with a performance-based bonus opportunityComprehensive benefits package: (healthcare, vision, dental, life & short-term disability insurances; 401k plan, paid time off, holidays, and professional development)Powered by JazzHRdWOR6LcVQr
        ","
          53 applicants
        ",Mid-Senior level,Full-time,Marketing and Sales,Internet Publishing
Sr. Data Analyst,OSIS,"Lexington, KY",2024-04-03,,,https://www.linkedin.com/jobs/view/sr-data-analyst-at-osis-3873566759?position=10&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=COJmZM7RWSy08k49ssA6Zw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Senior Data Analyst is responsible for gathering and analyzing primarily healthcare data from multiple sources to identify trends and troubleshoot data inconsistencies. The individual(s) in this role must be analytical and resourceful and have excellent communication skills. The Senior Data Analyst will provide oversight to less senior analyst roles. They will be responsible for designing data pipelines and infrastructure, developing reports and dashboards, interpreting data, and communicating to technical and non-technical audiences. They will also monitor performance and quality control plans to identify improvements while providing status reports and updates to HRSA grant participating health centers (PHC) or OSIS Members.Essential Job FunctionsGather and integrate data from disparate sources, interpret data, analyze results using statistical techniques, and assemble large, complex data sets that meet functional business requirementsGather reporting requirements and design, develop, and maintain ongoing reports as requested for the HRSA HCCN Grant or other assignments.Sustain and expand a growing data warehouse, including monitoring hardware resources, adding new service lines of data, and ensuring data pipelines are efficiently and successfully completed within the required timeframe.Identify, design, and implement internal process improvements, such as automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.Troubleshoot data inconsistencies found in reports utilizing an understanding of multiple database structures and workflow best practices, including but not limited to the NextGen EHR system. Maintain knowledge related to pertinent content areas, new developments and industry trends related to regulatory reporting programs including but not limited to: UDS, CMS and state MU/PI reporting, payment reform, relevant specialty reporting, as well as accountable care or other value-based performance metrics. Work with grant PHCs and other analytic teams across the organization to perform research and analysis to outline specific data needs as part of the design process.Utilize reporting tools to obtain, gather and compile at individual PHC and whole population levels.Design, develop, and maintain complex dashboards utilizing Microsoft Power BI for use by both internal and external users.Builds and maintains external and internal relationships to drive mutually beneficial solutions and drive positive Member and Client experiences.Serve as a mentor to coach and provide guidance to other less senior clinical quality data analyst roles. Act as a project lead for specified project-based deliverables, which may involve cross-team collaboration and/or activities.Communicate clearly and effectively with stakeholders about data changes or requirements.Training end users on new reports and dashboards, with the ability to translate data into non-technical, lay terms.Be a resource and advocate for data by teaching and empowering others to use data.Required Education And ExperienceBachelor's degree in Mathematics, Statistics, Healthcare Administration, or related field or 4+ years of related field experience2+ years’ experience in a HealthCare settingHighly proficient with database programming languages such as SQLNextGen electronic health record software experienceAdvanced knowledge of and experience with reporting packages/data visualization tools.Preferred ExperienceExperience with healthcare regulatory reporting, such as UDS or Meaningful Use/Promoting Interoperability. Basic understanding of clinical operations, medical terminologyPrevious FQHC or non-profit experience.Telecommuting And Technical RequirementsThis position can telecommute on an as-needed basis.Must Have Cable or Fiber Internet Service  Download speed of 20Mbps or higher  Upload speed of 5Mbps or higher
","
          81 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
"Cancer Data Analyst-Certified, Norton Cancer Registry, Days",Norton Healthcare,"Louisville, KY",2024-04-11,,,https://www.linkedin.com/jobs/view/cancer-data-analyst-certified-norton-cancer-registry-days-at-norton-healthcare-3894336403?position=11&pageNum=0&refId=yiH49qy5uO3UjzOminBsqA%3D%3D&trackingId=Nq9QJxL0eFr2REJ8e0Q0Wg%3D%3D&trk=public_jobs_jserp-result_search-card,"
ResponsibilitiesThis incumbent’s responsibilities include accessioning and abstracting all required malignancies and non-malignancies into the merged NHC cancer data repository; assisting with life-time follow-up of all NHC cancer patients; assisting with data analysis requests and outcome studies; assisting managers with cancer committee development projects; helping with training and assisting new registry employees with department operations; provides coordination of tumor conferences as necessary; and assures operation and performance remain in accordance with the requirements of the American College of Surgeons, Commission on Cancer (ACoS, CoC), the Kentucky Cancer Registry (KCR), and the mission of the Norton Cancer Institute.QualificationsRequired:Associate DegreeCertified Tumor Registrar - Must obtain Certified Tumor Registrar (CTR) credential within three years of hire.DesiredOne year in the KY Cancer systemRegistered Health Information Administrator OR Registered Health Information Technician
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Hospitals and Health Care
