title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
ICQA Data Analyst,Amazon,"Baton Rouge, LA",2024-04-01,,,https://www.linkedin.com/jobs/view/icqa-data-analyst-at-amazon-3877271835?position=1&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=2m2GDK1HNSGSR1oLAxcFdA%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionAt Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history. This role requires an individual with excellent analytical abilities, outstanding business acumen and exceptional written and oral communication skills. The successful candidate will have a strong understanding of different business models and the underlying analytics, and the ability to assimilate new methodologies and data sources. They will be a self-starter comfortable with ambiguity, with strong attention to detail, be vocally self-critical, and with an ability to work in a fast-paced and ever-changing environment. They recognize that the true measure of the work product is the business impact it has.Key job responsibilitiesPartner with the program team to create key performance indicators and new methodologies for measurement.Understand drivers, impacts on key influences on business dynamics and productivity.Translate data into actionable insights for the stakeholders.Automate reporting for weekly business metrics; identify areas of opportunity to automate and scale ad-hoc analyses.We are open to hiring candidates to work out of one of the following locations:Baton Rouge, LA, USABasic Qualifications 2+ years of experience in a business analyst/data analyst/statistical analyst role and conducting analysis and data mining using Excel. 1+ years experience extracting and processing data using SQL. 1+ years project management experiencePreferred Qualifications Bachelor's degree in Business, Engineering, Statistics, Computer Science, Mathematics, Supply Chain or related field. 3+ years of relevant experience in a business analyst/data analyst/statistical analysis role. Understanding of data warehousing and data modeling. Experience conducting advanced statistical analysis (skilled in using one or more of R/SPSS/SAS/Python and etc.). Excellent communication (verbal, written, and data presentation) and interpersonal skills to effectively communicate with both business and technical teams. Ability to deal with ambiguity and competing objectives in a fast paced environment. Software development experience / Coding knowledgeAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Company - Amazon.com Services LLCJob ID: A2591080
        ","
          177 applicants
        ",Not Applicable,Full-time,"Management, Distribution, and Supply Chain",Software Development
Data Analyst I,LEMOINE,"Baton Rouge, LA",2024-03-26,,,https://www.linkedin.com/jobs/view/data-analyst-i-at-lemoine-3887953391?position=2&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=DDGzOEQorDjGilKMF0BHeg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Data Analyst I will work directly with the ERP manager and be assigned tasks as needed. These tasks will include but not limited to, interpreting data, use statistical techniques, assist with writing and delivering reports, maintaining database and manage support requests related to our ERP system.ResponsibilitiesSupport and coordinate with ERP Manager to set priorities and expectations on a weekly basisProvide support in developing better workflows as it relates to business applications. This includes interviewing end users, taking detailed notation, and developing new workflows by adjusting/creating reports and effecting change to applications.Assist with development of Business Intelligence Dashboards utilizing PowerBIDevelop SQL queries utilizing SSMS/SSRS to support workflows and develop reporting.Manage ERP (Vista) System access.Manage and support end-user issues by utilizing support ticketing system. This includes troubleshooting errors and following up with users via email and phone. Provide front line support for office personnel when necessary.Utilize reporting tools such as PowerBI, SSRS, and Crystal Report to provide end users with necessary data.Develop and maintain application and end-user technical instructional materials and documentation.Automate, translate, and develop KPI and Ad Hoc analysis to enhance and align with business needs. RequirementsBe familiar with SQL language or have experience with other coding languages with the ability to learn SQL.Experience and familiar with building PowerBI reports & dashboards. (Minimum 1-3 years)Working knowledge of basic IT: networking, Windows, mobile devices, cloud based (SaaS) solutions.Strong problem-solving skills and understanding logistical workflows.The ability to communicate with others and breakdown problems/solutions in a way that non-technical users can understand.The ability to work in a team environment and collaborate to solve abstract issues.Be able to utilize Microsoft suite of applications (Excel, Word, Outlook, etc.Ability to work independently when assigned a task and follow it through to completion. Excellent overall time-management, task-management, teamwork, communication (written and verbal), and interpersonal skills.Highly proficient at shaping data into reporting and analytical solutions, including creating automated reporting and dashboarding. Education And Experience GuidelinesBachelor's degree from accredited university in related fields (Information Systems, Computer Science, Data Analytics, Mathematics) or equivalent work experience or certifications.Experience with PowerBI, SSRS, and/or Crystal Reports (Minimum 1-3 years)Experience with large data from an ERP system such as Vista is preferred but not required.Construction industry experience is preferred but not required. Equal Opportunity EmployerThe Lemoine Company, L.L.C. is an Equal Opportunity Employer. All applications are considered without regard to race, color, sex, age, religion, national origin, sexual orientation, or disability. Only job-related factors will be considered in deciding applicants' qualifications for positions.Job Posted by ApplicantPro
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Professional Services
Data Analyst H/F,Groupe Merling Torréfacteur,"Rochelle, LA",2024-03-19,,,https://www.linkedin.com/jobs/view/data-analyst-h-f-at-groupe-merling-torr%C3%A9facteur-3860384367?position=3&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=W40zmkJSSNAwe6ZfkDTh%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          De la pause travail, au café entre amis à la sortie du lycée, en passant par le rituel familial, l'instant café est au centre de nos vies. Torréfacteur et distributeur de café depuis 1979, Le Groupe Merling accompagne tous ces moments en proposant à ses clients, un café de qualité fraîchement torréfié. Grâce à nos différentes agences réparties sur l’arc Atlantique et le centre de la France, nos 600 collaborateurs assurent quotidiennement un service de proximité pour une satisfaction client optimale. Bienveillance, Solidarité, Engagement : nous rejoindre, c’est intégrer une entreprise familiale et française fondée sur l’esprit d’équipe et la convivialité.Nous recherchons pour notre Siège Social à Périgny (17), un Data Analyst H/F Si vous aimez fouiller, creuser et chercher les incohérences ce poste est fait pour vous ! Nous recherchons la personne qui saura mettre le doigt sur des dysfonctionnements et qui aura la volonté d’apporter des solutions.En Quoi Ça Consiste ? Votre Principale Mission Sera De Contrôler, Traiter Et Analyser Les Données. Vous Serez Également Amené(e) àEffectuer des analyses approfondies et fournir des solutions à la résolution d’incohérences trouvées grâce à votre travail de recherche et d’analyse.Vous serez également amené(e) à échanger avec nos agences et certaines fonctions du siège (service traitement des données, facturation, informatique, comptage etc) afin d’avoir une vision globale de l’activité.Paramétrer l’ETL dans le cadre des reprises des données.Construire et administrer la base de données (SQL)Outils utilisés : Excel (très bon niveau exigé), My Report, Logiciel Interne, SQL Serveur Oracle et ETL.A vous de nous convaincre : L’informatique et les chiffres vous passionnent !Vous êtes diplômé(e) d’un Bac+3 avec une spécialisation en informatique. Vous disposez idéalement d’une première expérience réussie sur un poste similaire. Autonome et force de proposition, vous maitrisez les nouvelles technologies ! La connaissance de My Report est un avantage. Sachez que 2 entretiens seront à prévoir ainsi qu'un test de Logique et de Personnalité.Et enfin les conditions du poste : Poste à pourvoir en CDI 35h du Lundi au Vendredi au siège du Groupe Merling basé à Périgny (17) Ref : C127O75429
        ","
          61 applicants
        ",Entry level,Full-time,Information Technology,Food and Beverage Manufacturing
Data Analyst,University of Louisiana at Lafayette,"Lafayette, LA",2024-04-09,,,https://www.linkedin.com/jobs/view/data-analyst-at-university-of-louisiana-at-lafayette-3887675806?position=4&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=bjddXh8QXxzlJcrrKug7qw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position Title: Data Analyst Department : 9261|Kathleen B Blanco Public Policy CtrResponsibilitiesThe Kathleen Blanco Public Policy Center at the University of Louisiana at Lafayette is an independent, interdisciplinary research center and archive engaged in research across a range of topics in public policy. Our core policy areas of focus include education, poverty and economic opportunity, criminal justice reform, health and healthcare, the coast and environment, and governmental ethics.ResponsibilitiesThe Data Analyst is a staff researcher who is expected to support research efforts at the intersection of data analysis and public policy. A successful Data Analyst will provide leadership for data-intensive research projects and contribute to other projects that need advanced data analysis. The Data Analyst will help support grant and other funding opportunities that will help expand the Center's capacity for research. In their work at the center, the Data Analyst will collaborate with other members of the Blanco Center team as well as researchers across campus and beyond.Essential Functions Adept at project management and demonstrated the ability to provide technical support across a range of research projects Able to manage research tasks including timelines to complete interim steps and contribute toward overall project completion, ensuring timely completion of major milestones and project deliverables Ability to manage, organize, and interpret data, write reports, and prepare data both for public consumption and for use in the Blanco Center’s research and publications Excellent writing skills and ability to draft narrative material for incorporation into research reports Skilled at providing constructive recommendations on design and implementation of research projects to senior members of the Blanco Center staff Supportive of efforts to secure new research Capable of participating in virtual and in-person meetings with external partners and research sponsorsQualifications Required Qualifications: Bachelor’s degree in Statistics, Economics, Political Science, Sociology, Urban Planning, Quantitative Social Sciences, Biostatistics, or a related field and 3-5 years of related work experienceOR a graduate degree in a related field will substitute for 3-5 years of experiencePreferred QualificationsMaster’s degree in Statistics, Economics, Political Science, Sociology, Urban Planning, Quantitative Social Sciences, Biostatistics, or a related fieldPrevious coursework and research experience in at least one Blanco Center priority policy areaExperience working with statistical software packages such as R, Python, STATA, SAS, and/or SPSS as well as prior experience working in ArcGIS and/or Tableau are preferredDemonstrated creativity in problem solving, self-motivation, and ability to work collaboratively in teams.Exceptional written and oral communication skills, analytical skills, and familiarity with a range of computer software (including by not limited to Microsoft Office).Candidate must demonstrate creativity in problem solving, must be self-motivated, and able to work collaboratively in teamsJob Ad# (req3792)
        ","
          198 applicants
        ",Entry level,Full-time,Information Technology,Higher Education
Data Analyst,Robert Half,"New Orleans, LA",2024-04-08,,,https://www.linkedin.com/jobs/view/data-analyst-at-robert-half-3887009268?position=5&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=pOn%2FSeRz0tg9r4JHrxGA4A%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionRobert Half is working with an exciting, growing New Orleans-based company that needs an Data Analyst to join their team. This position requires knowledge of Microsoft SQL, Tableau, Power BI and more. This permanent, salaried role with benefits is perfect for someone looking to rise the ranks in data analysis and work closely with engineers. If interested, please apply today! -Jack Irvin, RHTRequirementsSQL, Power BI, TableauTechnology Doesn't Change the World, People Do.®Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go.All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit© 2024 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to
        ","
          51 applicants
        ",Entry level,Full-time,Information Technology,Staffing and Recruiting
ICQA Data Analyst,myGwork - LGBTQ+ Business Community,"Baton Rouge, LA",2024-03-20,,,https://www.linkedin.com/jobs/view/icqa-data-analyst-at-mygwork-lgbtq%2B-business-community-3861281875?position=6&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=h61%2F%2BzfJBOOEayt%2B%2Bdlgvg%3D%3D&trk=public_jobs_jserp-result_search-card,"
This inclusive employer is a member of myGwork – the largest global platform for the LGBTQ+ business community.  DescriptionAt Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history. This role requires an individual with excellent analytical abilities, outstanding business acumen and exceptional written and oral communication skills. The successful candidate will have a strong understanding of different business models and the underlying analytics, and the ability to assimilate new methodologies and data sources. They will be a self-starter comfortable with ambiguity, with strong attention to detail, be vocally self-critical, and with an ability to work in a fast-paced and ever-changing environment. They recognize that the true measure of the work product is the business impact it has.Key job responsibilitiesPartner with the program team to create key performance indicators and new methodologies for measurement.Understand drivers, impacts on key influences on business dynamics and productivity.Translate data into actionable insights for the stakeholders.Automate reporting for weekly business metrics; identify areas of opportunity to automate and scale ad-hoc analyses.We are open to hiring candidates to work out of one of the following locations:Baton Rouge, LA, USABasic Qualifications 2+ years of experience in a business analyst/data analyst/statistical analyst role and conducting analysis and data mining using Excel. 1+ years experience extracting and processing data using SQL. 1+ years project management experiencePreferred Qualifications Bachelor's degree in Business, Engineering, Statistics, Computer Science, Mathematics, Supply Chain or related field. 3+ years of relevant experience in a business analyst/data analyst/statistical analysis role. Understanding of data warehousing and data modeling. Experience conducting advanced statistical analysis (skilled in using one or more of R/SPSS/SAS/Python and etc.). Excellent communication (verbal, written, and data presentation) and interpersonal skills to effectively communicate with both business and technical teams. Ability to deal with ambiguity and competing objectives in a fast paced environment. Software development experience / Coding knowledgeAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.
        ","
          25 applicants
        ",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Data Quality Analyst,The Times-Picayune | Nola.com,"New Orleans, LA",2024-03-18,,,https://www.linkedin.com/jobs/view/data-quality-analyst-at-the-times-picayune-nola-com-3860134869?position=7&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=Pe0awpfWMa98uEO90TAu6Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Data Quality Analyst for the School of Public Health and Tropical Medicine (SPHTM) maintains a comprehensive data management system and ensures consistency, quality, and integrity of the data. This position manages and optimizes processes for data collection, validation, modeling, analytics, visualization, and communication.This position oversees collection and reporting of complex data from admissions, academic and student services, and administrative operations systems.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Broadcast Media Production and Distribution
Data Analyst (Innovation),Spektrum,"Cut Off, LA",2024-04-11,,,https://www.linkedin.com/jobs/view/data-analyst-innovation-at-spektrum-3889555218?position=8&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=LpFJtWs5GW988dWSO1H2bA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Spektrum have a wide range of exciting opportunities in several global locations.We are always looking to add great new talent to our team and look forward to hearing from you.Spektrum supports apex purchasers (NATO, UN, EU, and National Government and Defence) and their Tier 1 supplier ecosystem with a wide range of specialist services. We provide our clients with professional services, specialised aerospace and defence sales, delivery, and operational subject matter expertise. We are looking for personnel to join our team and support key client projects.Who We Are SupportingThe NATO Communication and Information Agency (NCIA) is responsible for providing secure and effective communications and information technology (IT) services to NATO's member countries and its partners. The agency was established in 2012 and is headquartered in Brussels, Belgium.The NCIA provides a wide range of services, including:Cyber Security: The NCIA provides advanced cybersecurity solutions to protect NATO's communication networks and information systems against cyber threats.Command and Control Systems: The NCIA develops and maintains the systems used by NATO's military commanders to plan and execute operations.Satellite Communications: The NCIA provides satellite communications services to enable secure and reliable communications between NATO forces.Electronic Warfare: The NCIA provides electronic warfare services to support NATO's mission to detect, deny, and defeat threats to its communication networks.Information Management: The NCIA manages NATO's information technology infrastructure, including its databases, applications, and servers.Overall, the NCIA plays a critical role in ensuring the security and effectiveness of NATO's communication and information technology capabilities.The program Assistance and Advisory Service (AAS)The NATO Communications and Information Agency (NCI Agency) is NATO’s principal C3 capability deliverer and CIS service provider. It provides, maintains and defends the NATO enterprise-wide information technology infrastructure to enable Allies to consult together under Article IV, and, when required, stand together in the face of attack under Article V.To provide these critical services, in the modern evolving dynamic environment the NCI Agency needs to build and maintain high performance-engaged workforce. The NCI Agency workforce strategically consists of three major categorise's: NATO International Civilians (NIC)'s, Military (Mil), and Interim Workforce Consultants (IWC)'s. The IWCs are a critical part of the overall NCI Agency workforce and make up approximately 15 percent of the total workforce.Role Duties And ResponsibilitiesSupport NCI Agency in the NATO Programmes of Work with ACT and NDS in the area of Digital Transformation.Gather and analyze vast amounts of data from diverse sources, including scientific publications, news articles, social media, and market reports.Perform horizon scanning and trend-scouting activities in the area of emerging and disruptive technologies by detecting promising technologies as well as potential applicationsDesign and implement data models, repositories, and ETL pipelines to capture and record signals from diverse sources as a structured dataset to enable ad-hoc analysis and reporting.Develop clear, concise, and actionable reports to communicate your findings to stakeholders across the organization.Develop dashboards to enable monitoring of the analysis results.Utilize natural language processing (NLP) and other AI techniques to analyze vast amounts of data from diverse sources.Essential Skills And ExperienceAt least five years of experience in a mid-level data analytics roleStrong understanding of AI and its potential applications in data analysis – particularly Natural language processing (NLP) techniques, language models and multilingual technologies.Strong programming, data modelling, and data visualization skills, including Python, SQL, PowerBI, R, TensorFlow and NoSQL DBs.Experience with Extract, Transform, Load tools and techniques integrating with REST APIs and document management systems.Experience with horizon scanning techniques and identification of technology trends and high potential use-cases.Experience with media monitoring, media data analysis, threat analysis in text and text classification.Excellent analytical and critical thinking skills particularly as applied to trend scouting and innovation management.EducationBachelor's degree in a relevant field (computer science, data science, software engineering, machine learning, etc.) or equivalent experienceWorking LocationOff-siteWorking PolicyOff-SiteTravelSome travel to other NATO sites may be requiredContract DurationMay 2024 – Dec 2024Security ClearanceNo Security Clearance RequiredWe never know what new opportunities might be just over the horizon. If this opportunity isn't for you please feel free to send us your resume anyway and be the first to know if something suitable for your skills and experience comes up.
        ","
          99 applicants
        ",Entry level,Full-time,Information Technology,Business Consulting and Services
Junior/Entry Level Data Scientist/Analyst,SynergisticIT,"Ruston, LA",2024-03-23,,,https://www.linkedin.com/jobs/view/junior-entry-level-data-scientist-analyst-at-synergisticit-3869144076?position=9&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=eh9i9UO0hE6KdfUbivqR%2BA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Since 2010 Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a Job we make careers.All Positions are open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like apple, google, Paypal, western union, Client, visa, walmart lab s etc to name a few.We have an excellent reputation with the clients. Currently, We are looking for entry-level software programmers, Java Full stack developers, Python/Java developers, Data analysts/ Data Scientists, Machine Learning engineers for full time positions with clients.Who Should Apply Recent Computer science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in the Tech Industry.We assist in filing for STEM extension and also for H1b and Green card filing to CandidatesIf you applied for a job and got emails from our Job Placement Program team please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team.please check the below links to see success outcomes of our candidates and our participation at different Tech industry events and how we are different from other organizations in helping Jobseekers secure Tech careers(url removed)We regularly interact with the Top Tech companies to give our candidates a competitive advantage-Please see us exhibiting at Oracle Cloud world /Oracle Java one (Las vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023(url removed)(url removed)For preparing for interviews please visit (url removed)We are looking for the right matching candidates for our clientsPlease apply via the job postingREQUIRED SKILLS For Java /Full Stack/Software ProgrammerBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleProject work on the skillsKnowledge of Core Java , javascript , C++ or software programmingSpring boot, Microservices, Docker, Jenkins and REST API's experienceExcellent written and verbal communication skillsFor data Science/Machine learning PositionsRequired SkillsBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITProject work on the technologies neededHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleKnowledge of Statistics, SAS, Python, Computer Vision, data visualization toolsExcellent written and verbal communication skillsPreferred skills: NLP, Text mining, Tableau, PowerBI, SAS, TensorflowIf you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team who only connect with candidates who are matching client requirements.No phone calls please. Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates
        ","
          26 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research and IT Services and IT Consulting
Data Analyst (Innovation),Vector Synergy,"Cut Off, LA",2024-04-11,,,https://www.linkedin.com/jobs/view/data-analyst-innovation-at-vector-synergy-3889922230?position=10&pageNum=0&refId=hHg%2BjEJP5PzXYfARwYjuHw%3D%3D&trackingId=q0VmO6HlwN36xqiTeJQ4cA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Location :Off-SiteSecurity ClearanceNo Security ClearanceReference NoSC2024/003507 / Off-SiteSkills, Knowledge, Experience Required Bachelor's degree in a relevant field (computer science, data science, software engineering, machine learning, etc.) or equivalent experience ;  At least five years of experience in a mid-level data analytics role ;  Strong understanding of AI and its potential applications in data analysis – particularly Natural language processing (NLP) techniques, language models and multilingual technologies ;  Strong programming, data modelling, and data visualization skills, including Python, SQL, MS PowerBI , R, TensorFlow and NoSQL DBs ;  Experience with Extract, Transform, Load tools and technique integrating with REST APIs and document management systems ;  Experience with horizon scanning techniques and identification of technology trends and high potential use-cases ;  Experience with media monitoring, media data analysis, threat analysis in text and text classification ;  Excellent analytical and critical thinking skills particularly as applied to trend scouting and innovation management . D Uties/role Supporting NCI Agency in the NATO Programmes of Work with ACT and NDS in the area of Digital Transformation ;  Gathering and analyzing vast amounts of data from diverse sources, including scientific publications, news articles, social media, and market reports ;  Performing horizon scanning and trend-scouting activities in the area of emerging and disruptive technologies by detecting promising technologies as well as potential applications;  Designing and implementing data models, repositories, and ETL pipelines to capture and record signals from diverse sources as a structured dataset to enable ad-hoc analysis and reporting;  Developing clear, concise, and actionable reports to communicate findings to stakeholders across the organization;  Developing dashboards to enable monitoring of the analysis results;  Utilizing natural language processing (NLP) and other AI techniques to analyze vast amounts of data from diverse sources. VECTOR SYNERGY sp. z o.o., ul. Marcelińska 90, 60-324 Poznań, NIP PL7811857270, REGON 301575740, KRS: 0000369575Rejestr Przedsiębiorców KRS prowadzony przez Sąd Rejonowy Poznań – Nowe Miasto i Wilda w Poznaniu, VIII Wydział Gospodarczy KRS,kapitał zakładowy wynosi: 73.852,8 0 złotych wpłacony w całości, TEL +48 616684500, FAX +48 616684501, www.vectorsynergy.com , info@vectorsynergy.com
        ","
          71 applicants
        ",Entry level,Contract,Information Technology,IT Services and IT Consulting
