title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
System Engineer,Howard Industries,"Ellisville, MS",2024-03-25,,,https://www.linkedin.com/jobs/view/system-engineer-at-howard-industries-3871354037?position=1&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=YIrthJwTc3vjUTTtbu2Jcg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Howard Industries  Job Position: Systems Engineer  About Howard:Howard Industries is the leading manufacturer of liquid-filled power and distribution transformers and dry-type transformers for the utility and commercial/industrial markets with over 4,000 employees (the 2nd largest private employer in Mississippi) and over $1 billion in revenue. The corporation consists of 5 main divisions: Howard Transformers, which is the largest producer of distribution transformers in the U.S., Howard Lighting, Howard Transportation, Howard Technology Solutions, and Howard Medical. Howard Industries offers an excellent compensation and benefits package and is located in Laurel, Mississippi, a charming and historic city located thirty minutes from Hattiesburg, one hour from the Gulf Coast, and two hours from New Orleans. Job Description:Electrical or Computer Engineering position involving hardware design and programming of industrial automation systems and transformer testing systems.The position includes a wide variety of control system design and software development. Most systems are based on industrial PCs programmed using VB.Net. Programming of Allen Bradley PLCs may also be involved at times. Some applications involve industrial robots and/or servo positioning systems. Transformer test system design includes computer control of high voltage and high current switches and measurement devices, I/O devices, control of variable voltage and current sources, communication with and control of smart metering systems, and interfacing with databases. Job Responsibilities:· Strong Programming skills. Microsoft VB.net or C++, real-world programming experience· Power systems concentration in school or power systems design experience.· Control systems concentration in school, or experience with production plant equipment and associated control systems· Knowledge or experience with motors and motor drives, servo systems, and PLCs  Education and Experience:· Bachelor’s Degree in Electrical Engineering Degree or a Computer EngineeringAt least two years of experience  BENEFITS:Medical InsuranceDental InsuranceDisability InsuranceLife Insurance401K RetirementEducation ReimbursementPaid HolidaysPaid Vacations Equal Opportunity Employer Vet/Disabled Howard Industries is an affirmative action/equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, status as a protected veteran, among other things, or status as a qualified individual with disability.
","
            Over 200 applicants
          ",Entry level,Full-time,Engineering,Engineering Services
Configuration Data Analyst,Serco,"Pascagoula, MS",2024-04-15,,,https://www.linkedin.com/jobs/view/configuration-data-analyst-at-serco-3901833250?position=2&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=OdQuOiZFTXQEXQDUX%2FVERQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          If you are interested in supporting the US Navy to deliver state of the art craft in a role that involves meaningful and challenging projects–Serco has a great opportunity for you!This position is contingent upon your ability to obtain and maintain a DoD Secret level clearance post-employment.Serco supports the Navy as prime for their Amphibious Assault & Connectors Program Office Professional Support Services contract. The Planning Yard team supports the Landing Craft Division in the maintenance of the Landing Craft Air Cushion (LCAC), the configuration and engineering management of the new Landing Craft Utility (LCU) 1700, and the new Ship to Shore Connector (SSC).In this role, you will support the Configuration Data Manager (CDM) in maintaining Model Based Product Support (MBPS) in ensuring historical accuracy of the craft configuration. You will be part of a stellar 3-person Configuration Data Management Database (CDMD) team that works closely with the customer in delivering quality products and services to the fleet.In this role you will: Provide program support to the CDM for LCAC, SSC, and LCU 1700 programs.  Prepare Configuration, Overhaul, and Planning (COP) data for LCAC and SSC for all availabilities per the Availability Planning Matrix (APM). Follow-up on/resolve inconsistencies between planning documents and APM.  Ensure equipment, configuration, and logistics data is accurately reflected in the MBPS including adds/removals, changes of configuration data and logistics as well as availability/planning status.  Ensure added Craft Change Documents (CCDs) are scheduled appropriately.  Review availability packages, drawings, and configuration discrepancies/errors to ensure accuracy of data and resolve inaccuracies as required.  Track all completions documents in Configuration Data Management Database – Open Architecture (CDMD-OA) or MBPS and various spreadsheets per information from the Fleet. Follow-up on/resolve errors and inconsistencies.  Report completion tracking data and other configuration-related data to CDM/Government personnel.  Brief CDM and Government personnel on CDM-related updates, information, and tasking progress.  Create and update existing graphics per technical writer via AutoCAD files, PDF files, Paint Shop files, sketch existing graphics from printed page through scanning and converting e-mail attachments.  Provide electronic files for all graphics in AutoCAD, TIF, GIF or CGM format as required by customer.  Maintain applicable CDM data in the Integrated Data Environment (IDE) to provide a paperless and efficient environment for the interchange of information and data for the program.  Travel to shipyards in support of Craft Configuration Audits.  Perform additional duties as assigned. QualificationsTo be successful in this role you will have:  A Bachelor’s degree and at least 2 years of relevant experience. In some cases, educational requirements may be adjusted or waived for more than 5 years of applicable work experience. Work experience may be adjusted based on education, or highly specialized knowledge or uniquely applicable experience.  Must be able to obtain an active DoD Secret clearance post-employment.  Recent use and proficiency of MS Excel and other MS programs such as Outlook, Word, and PowerPoint are required.  Familiarity or prior experience with how the Navy plans configuration and logistics data and how it is tracked and maintained will shorten the learning curve and is essential in being successful in this position.  This position requires travel to shipyards 2-4 times per year to conduct craft inspections. Must be able to climb ladders, stairs, and work in small spaces when conducting inspections on the craft.  10% of travel required. Additional desired experience and skills: Prior Navy experience, while not required is desired.  Military Logistics or Supply experience is strongly desired.  Prior database experience such as MS Access or CDMD-Open Architecture (CDMD-OA) or Model Based Product Support (MBPS) is strongly recommended to shorten the learning curve. Company OverviewSerco Inc. (Serco) is the Americas division of Serco Group, plc. In North America, Serco’s 9,000+ employees strive to make an impact every day across 100+ sites in the areas of Defense, Citizen Services, and Transportation. We help our clients deliver vital services more efficiently while increasing the satisfaction of their end customers. Serco serves every branch of the U.S. military, numerous U.S. Federal civilian agencies, the Intelligence Community, the Canadian government, state, provincial and local governments, and commercial clients. While your place may look a little different depending on your role, we know you will find yours here. Wherever you work and whatever you do, we invite you to discover your place in our world. Serco is a place you can count on and where you can make an impact because every contribution matters.To review Serco benefits please visit: https://www.serco.com/na/careers/benefits-of-choosing-serco . If you require an accommodation with the application process please email: careers@serco-na.com or call the HR Service Desk at 800-628-6458, option 1. Please note, due to EEOC/OFCCP compliance, Serco is unable to accept resumes by email.Candidates may be asked to present proof of identify during the selection process. If requested, this will require presentation of a government-issued I.D. (with photo) with name and address that match the information entered on the application. Serco will not take possession of or retain/store the information provided as proof of identity. For more information on how Serco uses your information, please see our Applicant Privacy Policy and Notice .Serco does not accept unsolicited resumes through or from search firms or staffing agencies without being a contracted approved vendor. All unsolicited resumes will be considered the property of Serco and will not be obligated to pay a placement or contract fee. If you are interested in becoming an approved vendor at Serco, please email Agencies@serco-na.com .Serco is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Microsoft Systems Engineer,TeamSoft,"Flowood, MS",2024-04-09,,,https://www.linkedin.com/jobs/view/microsoft-systems-engineer-at-teamsoft-3887126130?position=3&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=JJRaJE1BodcGaMyHJt1gig%3D%3D&trk=public_jobs_jserp-result_search-card,"
Join Our Team as a Microsoft Systems Engineer in Flowood, MS!Are you passionate about ensuring the stability, integrity, and efficiency of Microsoft-based information systems? We are seeking a skilled Microsoft Systems Engineer to play a pivotal role in designing, implementing, and optimizing our IT systems infrastructure both on-premises and in the cloud.Responsibilities:Technical Implementation: Design and execute technical solutions for Microsoft infrastructure and cloud computing services, tailored to meet our customer's business needs.Customer Collaboration: Develop and maintain strong relationships with key technical contacts within customer accounts, serving as a trusted advisor on IT solutions.Project Management: Independently run projects and collaborate with project coordinators to ensure successful project completion.Configuration Assistance: Provide configuration recommendations and support to other solution deployment team members.Compliance and Auditing: Ensure that all implemented solutions meet or exceed in-house and customer auditing and compliance requirements.Qualifications:Experience: Minimum 5 years in a Microsoft enterprise environment.Proficiency in cloud architectures, Windows Client/Server deployment, Group Policy, PowerShell, and TCP/IP fundamentals.Experience with Microsoft Enterprise Mobility Suite (EM+S) is a plus.Active Directory Expertise: 3+ years in AD DS upgrade, consolidation, and migration projects.Microsoft 365 Mastery: 2+ years with Office/Microsoft 365, including mailbox migration experience.Identity and Access Management: 1+ year in ADFS or Azure Active Directory, and understanding of SAML 2.0 and cloud SSO providers.Personality Requirements:Customer-Focused: Dedication to customer satisfaction and delivering exceptional results.Continuous Learner: Strong learning aptitude and ability to adapt to new technologies.Project Management: Skilled in managing multiple priorities, commitments, and projects.Self-Motivated: Passionate and driven to excel in your work.Adaptable: Embrace change with a positive attitude and flexibility.Collaborative: Excellent interpersonal skills and ability to work effectively in a team environment.Working Conditions:Location: Onsite in Flowood, MS.Join us in a dynamic environment where you can leverage your technical expertise, collaborate with customers, and make a meaningful impact on IT solutions. Apply now to be part of our innovative team driving technology forward!
","
          33 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Migration Specialist,Software People Inc.,"Jackson, MS",2024-04-09,,,https://www.linkedin.com/jobs/view/data-migration-specialist-at-software-people-inc-3888428765?position=5&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=XxNgtCrwvdCjFGcNVjosHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Hello,Please let me know your interest for the position below. Also share your Updated resumePhone/Skype Hire. Onsite from day 1 Location: Jackson, MSDuration: 12+ monthsWe are currently seeking a Data Migration Analyst to will be responsible for planning, executing, and managing the migration of data from one system or platform to another. Your role is critical in ensuring data integrity, accuracy, and successful transfer of data during organizational transitions or technology upgrades.ResponsibilitiesAssessment and Analysis:Assess existing data structures, formats, and quality to determine migration requirements and potential challenges.Analyze source and target systems to identify mapping requirements, data transformation needs, and ensure alignment with business objectives.Data Mapping And TransformationDefine data mapping strategies to effectively translate data from the source to the target system, considering data types, formats, and business rules.Develop and execute data transformation processes to cleanse, convert, and validate data for migration, ensuring data consistency and accuracy.Migration Planning And ExecutionDevelop comprehensive migration plans, including timelines, resource allocation, and risk assessment, to achieve successful data migration.Execute data migration tasks according to the established plan, monitor progress, and address any issues ordiscrepancies that arise during the migration process.Collaboration And CommunicationCollaborate with cross-functional teams, including IT, business stakeholders, and data owners, to ensure smooth migration processes and minimize disruption to operations.Communicate progress, challenges, and resolution strategies to stakeholders, ensuring transparency and alignment with project objectives.Data Verification And ValidationConduct thorough data verification and validation post-migration to ensure data integrity, completeness, and accuracy in the target system.Address any discrepancies and perform necessary adjustments to ensure the migrated data meets the defined quality standards.Documentation And ReportingMaintain detailed documentation of the entire data migration process, including mapping, transformation rules, migration steps, and issue resolution.Generate comprehensive reports summarizing the migration process, outcomes, and any lessons learned for future improvements.Skills NeededBachelor's degree in Computer Science, Information Technology, or related field.Five years proven experience in data migration, data analysis, or database management.Proficiency in data mapping and transformation tools and technologies.Strong analytical and problem-solving skills.Excellent communication and interpersonal skills.Ability to work independently and collaboratively in a team environment.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
"Sr. Analyst, Health Information Exchange - 100% remote",Healthfirst,"Mississippi, United States",2024-04-12,,,https://www.linkedin.com/jobs/view/sr-analyst-health-information-exchange-100%25-remote-at-healthfirst-3892978568?position=6&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=1El3CpwowX02lWAjdHgXmQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Senior Analyst, Health Information Exchange (HIE) will support the ongoing implementation of the Healthfirst HIE initiative. The Sr Analyst leads the underlying analysis required for evaluation of initial data source connections and ongoing HIE support and maintenance, management and execution of test scenarios and test cases. In addition, the Analyst will be responsible to lead and support multiple business processes within the Healthfirst that utilizes the HIE data. The Analyst will work in tandem with the HIE Leadership, IT, Clinical Quality, and other stakeholders to ensure new implementations and updates to the HIE are implemented on time and without defects.Job DescriptionSupports the implementation and adoption of the HIE with our provider partners and internal constituents.Designs data tables, displays, and presentations to normalize collected clinical data for use by the HIE end users and connected systems.Analyzes incoming data streams and work in conjunction with technical staff to map and validate new or existing connections (i.e. Admission, Discharge and Transfers Notifications (ADT), Visit and Result data) using appropriate analytics tools such as, Healthshare, SQL, Excel, and/or AccessLeads technical solution discussions with connected hospital implementation and business teams to increase the utilization of HIE data in provider processesCreates and manages a library of test cases consistent with organizational protocols and tools related to testing new implementations as well as regression testing of existing feature setsAdditional duties as assigned.Minimum QualificationsAssociate’s degreePreferred QualificationsPrior HIE, electronic medical record, and/or Intersystem’s Healthshare application experienceUnderstanding of the various project management methods such as: Waterfall, Agile, etcAdvanced skills in MS Office including Excel, PowerPoint, and WordIn depth understanding of provider data structures (i.e., HL7, CDA) with particular focus on clinical data and clinical data aggregation, database structures, tables, and querying functions.Experience leading cross functional teams for the purpose of designing new process, process improvement, or problem solving.Ability to work independently with limited direction.Solid experience of HL7 interface, electronic health records, clinical document architecture (CDA), and healthcare data.Well versed in data interoperability workflows between provider and payer systemsProficient in using microsoft suite and analyzing large set of data using excelUnderstanding of SQL and ability to query relational databases.Detailed-oriented, self-starter with strong interpersonal and problem-solving skills.Proficient in giving presentation and facilitating meetings with large group of stakeholders.Ability to coordinate application and workflow analysis sessions, joint design sessions, and requirement gathering sessions.Ability to work in a diverse, fast paced environment and effectively collaborate across teams.Ability to juggle multiple projects and initiatives simultaneously.Agile (SAFE) ExperienceWE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, age, genetic information, military or veteran status, marital status, mental or physical disability or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.If you have a disability under the Americans with Disability Act or a similar law and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.EEO Law Poster and SupplementAll hiring and recruitment at Healthfirst is transacted with a valid “@healthfirst.org” email address only or from a recruitment firm representing our Company. Any recruitment firm representing Healthfirst will readily provide you with the name and contact information of the recruiting professional representing the opportunity you are inquiring about. If you receive a communication from a sender whose domain is not @healthfirst.org, or not one of our recruitment partners, please be aware that those communications are not coming from or authorized by Healthfirst. Healthfirst will never ask you for money during the recruitment or onboarding process.Hiring Range*:Greater New York City Area (NY, NJ, CT residents): $67,200 - $97,155All Other Locations (within approved locations): $59,800 - $88,910As a candidate for this position, your salary and related elements of compensation will be contingent upon your work experience, education, licenses and certifications, and any other factors Healthfirst deems pertinent to the hiring decision.In addition to your salary, Healthfirst offers employees a full range of benefits such as, medical, dental and vision coverage, incentive and recognition programs, life insurance, and 401k contributions (all benefits are subject to eligibility requirements). Healthfirst believes in providing a competitive compensation and benefits package wherever its employees work and live.The hiring range is defined as the lowest and highest salaries that Healthfirst in “good faith” would pay to a new hire, or for a job promotion, or transfer into this role.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Health Care Provider,Hospitals and Health Care
Management/Data Analyst with Security Clearance,ClearanceJobs,"Pascagoula, MS",2024-04-11,,,https://www.linkedin.com/jobs/view/management-data-analyst-with-security-clearance-at-clearancejobs-3895931848?position=7&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=C72R%2B9RRBxyOdhtGStybXQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Overview R&P is looking for a motivated individual who wants to join our team. We are a small-sized defense contractor providing Engineering, Logistics, Program Management and Technical Services to government clients. We need a Management/Data Analyst ready to join a fast-paced and exciting work environment. Responsibilities * Supports the Configuration Change Manager in processing change paperwork. Manages and monitors the change budget Provides regular reports on the current change status Proactively identifies issues or potential shortfalls for management resolutionQualifications * Associates Degree or a high school diploma with over 5 years of experience performing change management or data analysis in support of Navy ships Demonstrated fluency with Microsoft Office Suite * Ability to work independently and communicate with a broad range of poeple Secret clearance or the ability to obtain a Secret clearanceEEO Statement R&P Technologies provides equal opportunity for all persons and prohibits discrimination in employment because of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability (including pregnancy, childbirth or related medical conditions), veteran or marital status, or any other factor prohibited by law. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leave, compensation, and training. R&P maintains an Affirmative Action Plan to establish fair access to employment opportunities and to create a work community that is an accurate reflection of the qualified workforce. Due to security clearance requirements, U.S. citizenship is required for most positions Salary R&P offers a highly competitive compensation package that includes contributions towards health insurance, 401(k) matching, and other non-salary benefits. Exact salary will be commensurate with experience and qualifications.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Defense and Space Manufacturing
35F Intelligence Analyst,Army National Guard,"Philadelphia, MS",2024-04-03,,,https://www.linkedin.com/jobs/view/35f-intelligence-analyst-at-army-national-guard-3881976427?position=8&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=Pc3RiFIhasLFCK4eABgEIA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          On the battlefield, success depends on accurate and timely intel. As an Army National Guard Intelligence Analyst, you will play a key role in the interpretation and exploitation of information gathered from or about the threat. Intelligence Analysts provide Guard personnel with information about enemy forces and potential battle areas, and use information derived from all intelligence disciplines to determine changes in enemy capabilities, vulnerabilities, and probable courses of action. You’ll gain Military Intelligence training, education, and a security clearance that could open doors to rewarding career opportunities with other intelligence agencies.Specific duties of the Intelligence Analyst may include: preparing all-source intelligence products; providing Intelligence, Surveillance, and Reconnaissance (ISR) Synchronization support; processing incoming reports and messages; determining the significance and reliability of incoming information; establishing and maintaining systematic, cross-referencing intelligence records and files; integrating incoming information with current intelligence holdings; and preparing and maintaining enemy situational graphics.Job DutiesPreparing all-source intelligence products to support the combat commanderAssessing the significance and reliability of incoming intelligence collectionEstablishing and maintaining systematic, cross-reference intelligence records and filesSome Of The Skills You’ll LearnCritical thinkingThe ability to use sophisticated mapping tools, intelligence networks, and systems to identify the evolving threat on the battlefieldGather information utilizing premier digital and analytical tools to create products for the CommanderHelpful SkillsAnalytical thinking; gathering information, and understanding of relevancyInterest in reading maps and chartsMore than any other branch of service, the Army National Guard offers a wide range of intelligence-related positions. Through your training, you will develop skills and experience to create opportunities for a civilian career with federal agencies like the National Security Agency.Earn While You LearnInstead of paying to learn these skills, get paid to learn. In the Army National Guard, you will learn these valuable job skills while earning a regular paycheck and qualifying for tuition assistance and certifications. Job training for an Intelligence Analyst consists of 10 weeks of Basic Training, where you'll learn basic Soldiering skills, and 13 weeks of Advanced Individual Training (AIT) and on-the-job instruction, including practice in intelligence gathering. You’ll learn in the classroom and gain experience in the field. Completion of your initial entry training in the Army National Guard could also lead to additional college credit.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Part-time,"Strategy/Planning, Analyst, and Information Technology","Government Relations Services, International Affairs, and Security and Investigations"
Junior Windows Engineer,Epic,"Gulfport, MS",2024-03-20,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3864454577?position=9&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=05ffSBgsiF5D4DQeVWj%2Feg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Information Systems Engineer,American Cruise Lines,"Jackson, MS",2024-04-10,,,https://www.linkedin.com/jobs/view/information-systems-engineer-at-american-cruise-lines-3891172600?position=10&pageNum=1&refId=el5j7L7l7Crj94yPXJ5o1w%3D%3D&trackingId=rgNfrFL%2BLP2%2BBDHtTdM0kw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          We are looking for an Information Systems Engineer to join our team preferably in New Orleans, LA. The Information Systems Engineer is responsible for ensuring continual operation and support of shipboard technology systems. You will report to the Information Systems Manager. You will assist with all aspects of Information Technology as it relates both to vessel construction and the shipyard infrastructure.The Information Systems Engineer will be responsible for ensuring the success of CSC through a commitment to safety and quality, while exceeding company and client expectations. You will be responsible for driving efficiencies in production and procurement to minimize costs and maximize profits. Duties will include soliciting bids, scheduling, monitoring, and coordinating all subcontractors’ work to ensure deadlines are met. This will require coordination with multiple trades at the shipyard and other companies to ensure efficient production.This position will also require frequent travel to vessels after delivery, as directed, to perform repair and/or replacement of installed information systems to support fleet operations. The Information Systems Engineer may be the first on scene to troubleshoot or repair equipment. The systems with which the Information Systems Engineer will be familiar include, but are not limited to:Onboard internet.Onboard Wi-Fi.Shipboard telephone (satellite and mobile phones).Radios (UHF & VHF).Vessel navigation electronics.Audio Visual / Public address.Shipboard sound.IPTV.CCTV.Network equipment.Laptops.Printers (including mapping).Responsibilities:Manages and solves technical problems quickly.Fixes equipment and troubleshoots maintenance requests.Installs new equipment.Directly supervise employees and contractors as directed.Write specifications, seek competitive bids, and oversee contractor installation and testing of IT systems aboard new construction vessels.Administer network and data security, including directory, group policy, firewalls, virus protection, and email security of CSC IT network.Perform data backups to ensure all company-owned work is saved.Install and update network system improvements.Install and configure wireless networking equipment.Completes basic low voltage electrical wiring, networking, programming, and A/V equipment rack installation.Monitor servers, LAN/WAN, and Wi-Fi to ensure full coverage.Assist with the design, implementation, and support of new software and features.Evaluate connectivity issues, equipment, and software and hardware.Respond to IT issues, hardware maintenance, software, networking, etc.Oversee troubleshooting for system errors.Set up equipment for new users and employees.Consult with vendors and clients to integrate and update company technology.Ensure system optimization for all technology resources.Preferred Experience:2 years of experience as information system technician.CCTV installation & access control.Audio Visual / Public Address System background.A+, Network+ and Security+ is preferred.Microsoft OS proficient.Knowledge of Windows operating systems, computer and peripheral hardware and software.Knowledge of UHF and VHF radios.Strong customer service orientation and ability to interact well with diverse end-users and technical staff are required.Detail-oriented and able to independently resolve technology problems.License and Registration Requirements:Valid driver’s license.Possess or obtains a valid TWIC (Transportation Worker Identification Card) prior to beginning position.Additional Requirements:Ability to frequently traverse stairs, fixed ladders, and ladder-wells while walking ships daily.Capable of sitting for long periods of time, standing, walking, crouching, and kneeling.Reaching, handling, using equipment, keyboards, and mobile devices.Lifting and installing technological equipment.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,"Leisure, Travel & Tourism"
Junior Windows Engineer,Epic,"Hattiesburg, MS",2024-03-20,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3864458055?position=1&pageNum=2&refId=JSLn2SQq1Q6wYm3q6aQ6DA%3D%3D&trackingId=ca5MfLiw29rkwUkaHwwCkg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
