title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Sr. Data Analyst,TOPPAN Edge Inc.,"Portsmouth, NH",2024-03-28,,,https://www.linkedin.com/jobs/view/sr-data-analyst-at-toppan-edge-inc-3873575455?position=1&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=I9ZuMyYiOmAA30RVbpE%2Fkw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Who Are We?Bottomline is on a mission to be the world's leading business payments company, aligning our team to the common purpose of transforming the way businesses pay and get paid. It is a journey that goes around the world serving financial institutions and companies in more than 90 countries. Our Portsmouth office is the central strategic hub in the US as well as one of the go-to market global centers of excellence, conveniently positioned to enable a fulfilling and flexible, hybrid work-life balance. A place to collaborate and share knowledge share across multidisciplinary teams, it also provides the perfect space to meet virtually with our colleagues across time zones.Culture and ValuesWe are one global team, who work with and for each other in a drive to delight customers through excellent execution, which fuels how we create and grow sustained business value for our customers, our team and all who partner with us. Our culture encourages people to be brave and curious, to drive to closure and to ensure our values and principles are lived out daily. We excel at Bottomline because we are positive and passionate about building a Role: Senior Data AnalystWe are looking for an experienced Senior Data Analyst who is passionate about leveraging data to enhance our business intelligence capabilities within our Customer Success, Support, and Professional Services teams. In this role, you will collaborate directly with our leadership team to design key performance indicators (KPIs), build reports and dashboards, and generate insightful analytics to support strategic decision-making. The ideal candidate will excel at transforming data into actionable insights and recommendations.The Skills That Will Make You Successful:5-7 years' experience in data analyticsExperience with Power BI or a similar tool business intelligence tool such as Tableau or other.Proficiency in Excel, including advanced functions and data manipulation.Professional experience working with SQL is RequiredProven ability to drive data-driven insights and actions in an ambiguous, evolving environment.Ability to clearly and concisely articulate complex data analyses to non-technical stakeholdersStrong written and verbal communication skillsExperience with financial reporting.Advanced knowledge of Business Intelligence tools, with experience effectively defining data requirements and designing effective interactive dashboardsAbility to quickly learn and apply new analytical technologies.Developing with PowerBI is a PLUSExperience with Salesforce.com or Snowflake a PLUSHow you'll contribute:Define, build, and track key performance indicators and metrics for Customer Operations team including finance/revenue, product adoption, customer support, and customer success.Support leadership and end users with KPIs, activity tracking, and dashboards in Salesforce.com, Snowflake and PowerBI.Work closely with data engineers and internal systems to define data requirements, build analyses, and develop a single source of truth for reporting.Own delivery of analytic projects, ensuring that projects are delivered on-time with high quality.Utilize statistical techniques and analytical skills to collect, organize, analyze, and visualize data.Convert quantitative analysis into recommendations to business stakeholders.Develop dashboards and frameworks to monitor business performance and KPIs.Mentor and train internal team members on reporting, analysis, and business intelligence tools.Locate, define, and recommend process improvement opportunities to improve data quality.Understand the concepts of machine learning and advance analytics to collaborate with Data Scientists to complete new projects.You'll love Botttomline because in everything we do we seek to delight our customers and we are passionate about building a company of which we can all be proud, and this starts with building amazing teams filled with team members that challenge you every day.We welcome talent at all phases of their career through understanding and supporting additional needs (where applicable) as we look to innovate, win, and grow together.Bottomline is proud to be an equal opportunity employer. We are committed to treating all individuals in a fair and equal manner by creating an inclusive and open environment.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Data Analyst,University of New Hampshire,"Durham, NH",2024-04-04,,,https://www.linkedin.com/jobs/view/data-analyst-at-university-of-new-hampshire-3883403910?position=2&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=rhXsaQOZMu5wp5wgtmI3Mw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Summary Of PositionWe are seeking an acoustics data analyst to support the processing of passive acoustic recordings and echosounder data from the Gulf of Maine. The analyst would be supervised by Dr. Jennifer Miksis-Olds (Center for Acoustics Research and Education within the Institute for the Study of Earth, Oceans, and Space) at the University of New Hampshire. The analyst will also engage with collaborators and students to support ongoing lab programs and projects. The analyst will 1) characterize broad metrics of marine soundscapes, 2) participate in manual analysis of marine mammal and fish sounds from passive recordings, and 3) be involved with the processing of acoustic backscatter from echograms of fish and zooplankton.Additional Job InformationSalary Information$20 per hour at a maximum of 20 hours per week.EEO StatementThe University System of New Hampshire is an Equal Opportunity/Equal Access/Affirmative Action employer. The University System is committed to creating an environment that values and supports diversity and inclusiveness across our campus communities and encourages applications from qualified individuals who will help us achieve this mission. The University System prohibits discrimination on the basis of race, color, religion, sex, age, national origin, sexual orientation, gender identity or expression, disability, genetic information, veteran status, or marital status.
        ","
            Over 200 applicants
          ",Entry level,Part-time,Information Technology,Higher Education
Data Analyst and Report Developer,Professional Diversity Network,"Portsmouth, NH",2024-04-11,,,https://www.linkedin.com/jobs/view/data-analyst-and-report-developer-at-professional-diversity-network-3894832453?position=3&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=0%2Fxb6jXStIY0aYUWMZh4mw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          WIN Waste Innovations is a waste management company committed to delivering essential waste management solutions to customers and communities supported by our team of 2,100 employees. We believe in preserving our environment for future generations while providing for today's needs. WIN Waste Innovations is a vertically integrated business with a platform of 50 strategically located collection, transfer, and disposal assets. These include waste-to-energy facilities, transfer stations, ash monofills, landfills, and fleets of rail cars and collection vehicles. We process more than 11 million tons of waste annually, converting 6.7 million tons of waste into clean, renewable energy that powers 340,000 homes. We recycle more than 234,000 tons of plastic, paper, and metals from the waste stream.The OpportunityAs a Data Analyst/Report Developer at WIN, you'll join a team of data professionals designing and building the future state Power BI report ecosystem. WIN is a building a best-in-class Business Intelligence environment from the ground up. In the role, the candidate will be a key point of contact defining and documenting report requirements, building reports iteratively with our internal clients to ensure delivery of value early.We believe diverse, inclusive teams are better teams. The ideal candidate for this position will be a self-directed, curious self-starter with a passion for data quality.Essential Functions And Responsibilities Support all phases report development from inception to prod deployment Manage project from requirements to production deployment for Power BI report development Act as a trusted advisor to Business Stakeholders Communicate timelines and deliverables clearly Analyze and evaluate current reports (SSRS and Power BI) for consolidation Support and drive reporting standards and data best practices Implement analytic solutions operating in an Agile Framework Drive data best practices in the organization Train end-users and power users on Power BI, report usage and data best practices Accelerate Power BI adoption across the organizationWhat You'll Bring to The Table Bachelor's degree in computer science, mathematics, business or other relevant field 3-5 years of experience using SQL to solve business problems 3-5 years of progressive experience in business intelligence and/or information management 3+ years of experience with data visualization and implementing high-value solutions; experience performing administrative activities across multi-environment infrastructures 3+ years of experience working in a client-facing technical role 3+ years' professional experience in a Power BI Development / Analytics Engineer role Proven experience building enterprise level reports using Power BI and SSRS Experience in Agile methodologies defining User Stories, Features and Epics Knowledgeable in data handling methods, report/scorecard development and visualization techniques to tell a clear contextual story Working knowledge of Data Governance principles and master/reference data management Ability to define, capture and document business requirements Financial reporting experience a plus Ability to define relevant metrics that can guide and influence stakeholders to appropriate and accurate insights Strong collaboration skills to partner effectively across various levels of the organization Ability to effectively manage and successfully deliver in a dynamic environment with competing priorities Experience in testing and data validation as part of the implementation process Highly motivated, flexible, and organizedAt WIN Waste Innovations, each eligible employee receives a competitive total compensation package including Medical, Dental, Vision, Life Insurance and Short-Term Disability. As well as Company match on 401K, and more! Our employees also receive Paid Vacation, Holidays, and Personal Days. Please note that benefits may vary by site. Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled.Equal Opportunity Employer Minorities/Women/Protected Veterans/DisabledPDN-9b72f48d-3e9d-4fd0-973d-768afa118892
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Staffing and Recruiting
PL/SQL Developer,Mastech Digital,"Merrimack, NH",2024-03-28,,,https://www.linkedin.com/jobs/view/pl-sql-developer-at-mastech-digital-3873226715?position=4&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=IU7MNeiwQS%2FVT3JmEwlc7g%3D%3D&trk=public_jobs_jserp-result_search-card,"
The Expertise You Have 5+ years of recent experience as an Oracle Data Engineer, and ETL DeveloperB.S. degree in Computer Science or equivalent technical/engineering fieldHands on and in-depth working experience in SQL tuning and Oracle PL/SQL developmentWorking experience with Informatica for ETL, Linux shell scripts, and Autosys is a big plusInterest in writing clean, testable, readable, and easily maintainable codeProven ability in developing Data APIs to support varied application requirementsExposure to GitHub, Jenkins, and uDeploy is desirableDemonstrable experience with data analysis and database design.Experience in native AWS services, Snowflake, and Python is preferableExperience working in agile methodology, providing production (L3) support, and working as part of geographically distributed teams is desirableFinance and Investing domain experience will be a plusKnowledgeable about modern data pipelines, data streaming, and messaging technologiesThe Skills You BringExcellent oral and written communication skills as you will present to everyone from entry-level employees to executives.An ability to explain complicated or technical information in a simple way to non-technical audiences.Able to set realistic expectations, prioritize within a dynamic and shifting environments, sensitivity to clients' needs and a competence at developing relationships and engaging users.A curiosity and passion about data, visualization and solving problems.Willingness to question the validity, accuracy of data and assumptions.You are eager to learn and deliver in a fast-paced environment and thrill the users.The Value You DeliverWorking closely with the analysts/business partners to understand the business problemDesigning, developing, and supporting quality solutions that aligns with the technology blueprint and standard methodologies to solve business problemsActively participating in activities like innovation days, code, and design reviews, exploring emerging technologies etc.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Data Center Engineer,The Hollister Group,"Salem, NH",2024-03-27,,,https://www.linkedin.com/jobs/view/data-center-engineer-at-the-hollister-group-3874237706?position=6&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=HK6v%2FGYlYuNBbxt8DmiLuw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Data Center Network Engineer Our Technology Services client in Salem, NH is looking to hire a passionate Data Center Network Engineer who is fascinated by the technologies behind modern data centers and hybrid cloud connectivity. The individual in this role will design, configure, and implement modern data center networks. Applicants must be able to work onsite in Salem, NH 3 days per week to be eligible for this position.  If you are interested and meet the qualifications below, apply with your resume for more information!  Responsibilities:Participate in the design and implementation of data center networks, of varying sizes, locations and across many customer verticalsConfigure, deploy, troubleshoot, and upgrade network infrastructure (data center) with Arista, Juniper, and Cisco hardware/productsDeliver documentation of network systems to include Visio drawings, High/Low-level design documents, Knowledge articles, implementation plans, and handoff documentationWork alongside Project Management and Integration teams to implement and support complex network deployments while providing operational considerations and constructive feedbackOversee firmware upgrades following planned network maintenance and network system update windows Qualifications:Bachelor’s degree in Computer Science, Engineering, or related field2+ years of Network Engineering experience with focus on configuration, implementation, deployment, and upgradingExperience working on multiple projects simultaneouslyMust have thorough knowledge of Ethernet VPN-Virtual Extensible LAN (EVPN-VXLAN) architectureExperience with BGP and OSPF required Experience with Cisco, Juniper, Arista or other comparable technologiesExperience with network diagnostic, monitoring and analysis toolsCloud knowledge in Azure, AWS or GCPKeen attention to detail and strong commitment to delivering work of a consistently high caliber is essentialMust have strong communication skills and be comfortable working directly with customers  Our Commitment to Diversity, Equity & Inclusion  The Hollister Group is an equal opportunity employer. We welcome and encourage applications from people who are under-represented in their respective occupation or position.
","
          193 applicants
        ",Associate,Full-time,Information Technology and Engineering,IT Services and IT Consulting
SolutionHealth - Data Analyst III - IT - Full Time,SolutionHealth,"Concord, NH",2024-04-12,,,https://www.linkedin.com/jobs/view/solutionhealth-data-analyst-iii-it-full-time-at-solutionhealth-3896031563?position=7&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=gu9IsNB%2BdZY1g1QIP8eLdg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Come work at the best place to give and receive care!Job DescriptionWho We Are:SolutionHealth is an integrated health system uniquely focused on providing access to high-value, primary, and specialty care that meets the growing needs of the communities we serve. Our IT department is diverse, strategic, and innovative focusing on patients, community, clinicians, outcome, safety, and quality. It's an exciting time at SolutionHealth as we continue to advance our technology platforms.About The JobResponsible for the coordination of projects focused on data use and reporting. Sets deadlines, assigns responsibilities, and monitors and summarizes progress of projects. Identifies and coordinates improvement opportunities, enhancements, and redesign to accomplish greater efficiency.What You’ll DoSet deadlines, assign responsibilities, coordinate, monitor, test processes and communicate status of data projects. May supervise work on project tasks.Increase operational efficiency by leveraging new technologies through automation.Develop and maintain working relationships to enhance ability to meet goals and users’ objectives.Recommend appropriate maintenance strategies to ensure uninterrupted systems usage.Harmonize codes across datasets where possible for and resolve comparability issues so to improve designs in report collection.Build and monitor data quality rules for use in data warehouses and other data assets to increase amount of data usable for reporting.Apply database system rules in order to import non-conformed data for new use.Assist business owners with a root cause analysis process for issues discovered during data quality assessment.Develop web application presentation and security for web-based data entry and self-service reporting.Participate in on-call rotation, as required, for ITS support of computing users.Who You AreEducation: High School Diploma required. Bachelor’s Degree preferred.Licensure/Certification: Vendor required certification in good standing (or proficiency if vendor accepts) for applications/modules employee is assigned to support. If not currently certified (or proficient) employee will have 6 months from their DOH (Date of Hire) or DOT (Date of Transfer) into a position that requires certification (proficiency) required.Experience: 5 years using computer-based systems in a healthcare setting, data or analyst related role or equivalent solid experience as a data analyst having performed data analysis including use of statistical methods, experience in information display, experience with database management systems, word processors and spreadsheet applications, and project coordination required.Why You’ll Love UsHealth, dental, prescription, and vision coverage for full-time & part-time employeesShort-term disability, long-term disability, and life insurance coverageCompetitive payTuition Reimbursement403(b) Retirement Savings PlanAnd more !#ACRWork ShiftDays | 8:00am - 5:00pm SolutionHealth is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, disability status, veteran status, or any other characteristic protected by law.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,"Renewable Energy Semiconductor Manufacturing, Oil and Gas, and Construction"
Data Engineer,SimplyApply,"Manchester, NH",2024-04-15,,,https://www.linkedin.com/jobs/view/data-engineer-at-simplyapply-3900866241?position=9&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=h3C7B8bQG0YRZJ3XuOjHbw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Center 1 (19052), United States of America, McLean, VirginiaData EngineerDo you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. Capital One's Finance Tech team is seeking a Senior Associate, Data Engineer who is passionate about marrying data with emerging technologies. As a Capital One Senior Associate, Data Engineer, you'll have the opportunity to be on the forefront of driving a major transformation within Capital One.What You'll DoProactively seeks out opportunities to address customer needs and influences stakeholders so that we are building the best solutions for the most important problemsSupport the design and development of scalable data architectures and systems that extract, store, and process large amounts of dataBuild and optimize data pipelines for efficient data ingestion, transformation, and loading from various sources while ensuring data quality and integrityCollaborate with Data Scientists, Machine Learning Engineers, Business Analysts and/or Product Owners to understand their requirements and provide efficient solutions for data exploration, analysis, and modelingImplement testing, validation and pipeline observability to ensure data pipelines are meeting customer SLAsBasic QualificationsBachelor's DegreeAt least 2 years of experience in application development (Internship experience does not apply)At least 1 year of experience in big data technologiesPreferred Qualifications3+ years of experience developing data pipelines using Python or Scala2+ years of experience with distributed computing tools (Spark, EMR, Hadoop)2+ years of experience with UNIX/Linux including basic commands and shell scripting1+ years of experience with a public cloud (AWS, Microsoft Azure, Google Cloud)1+ years of data warehousing experience (Redshift or Snowflake)1+ years of experience with Agile engineering practicesAt this time, Capital One will not sponsor a new applicant for employment authorization for this position.Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at theCapital One Careers website. Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level.This role is expected to accept applications for a minimum of 5 business days.No agencies please. Capital One is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex (including pregnancy, childbirth or related medical conditions), race, color, age, national origin, religion, disability, genetic information, marital status, sexual orientation, gender identity, gender reassignment, citizenship, immigration status, protected veteran status, or any other basis prohibited under applicable federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City's Fair Chance Act; Philadelphia's Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.comCapital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).SimplyApply
        ","
            Be among the first 25 applicants
          ",Entry level,Part-time,Information Technology,Human Resources Services
Sr. SQL Developer,USPRO,"Portsmouth, NH",2024-04-12,,,https://www.linkedin.com/jobs/view/sr-sql-developer-at-uspro-3850863939?position=10&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=jxcmuOiWdDMpLLHqTYsAzg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Sr. SQL DeveloperPortsmouth, NH (Onsite)Direct HireJob Description:Key development team member who functions as technical expert in MSSQL, data modeling, development, while implementing standardized methods to improve data reliability and quality for multiple SaaS application products and services.The primary responsibility of the Senior MSSQL Developer in this position will be to lead the development and deployment of detailed conceptual, logical, physical data models for on premises, hybrid and cloud-based databases, data warehouse, and operational data stores.This will require paying attention to performance issues and performance versus functionality tradeoffs, including impact on query and reporting performance for production workloads. The incumbent will also be responsible for supporting data naming, and metadata standardization, data transformation, and data API interoperability.The position will require transitioning between projects, as work is completed on one and new work arises in another. The position requires a core expertise in MS Azure SQL, data standards, schema design, and modeling tool management. Must also have excellent verbal and written communications skills, strong initiative, and the ability to manage multiple and varied tasks simultaneously in a dynamic, fast paced team environment.Key Qualifications:Proven track record utilizing modern database modeling technologies, database tools within a Azure cloud-based database and data warehouse production and development environment.Hands on experience in MS Azure cloud technologies and practices, building data applications that leverage services such as Azure SQL, Cosmos, DevOps, Azure Pipelines, Azure SQL Managed Instance, Azure Data Migration, Azure SQL Server.Proven leadership skills, demonstrated ability to mentor, influence and partner with other domain architects, SQL developers, application development, QA and product teams to deliver scalable robust data solutions.Passionate about technology and delivering solutions in integrated data environments. Current on event driven processing, Data API and recent data-oriented developments.Senior level experience with MSSQL development including stored procedures, SSMS, SSIS, MS SQL Data Modeling tools. Advance technical knowledge and background in the areas of Data modeling, EDW, Data Mart, data management, Data Quality, Data Governance, Data integration (ETL) and Data Security. Responsibilities:MS Azure SQL DevelopmentMS Azure SQL Data ModelingEvaluate business data needs and objectivesExplore ways to enhance data quality and reliabilityCollaborate with data architects and provide some DBA support tasksCollaborate with the team to identify, prioritize, and execute on key data delivery milestonesSupport and adhere to the strategic data architecture roadmap.Proactively analyze data modeling results, departmental, customer and investor satisfaction to determine trends and assist the team in implementing corrective plans and actionsEnsure compliance with all conceptual, logical and physical, data model standards, policies and proceduresServe as a central point of contact for data modeling issuesCreation of Data Dictionaries and assist in metadata managementRequired Education & Experience:BS CS or CIS, Data Analytics or equivalent educationSenior Level Data Modeling experience in a MS SQL development environmentData Modeling experience Operational Databases, Data Warehouses and Data MartsSenior Level experience in MSSQL DevelopmentExperience in data acquisition, extraction, transformation and load of data (ETL)
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,Financial Services and Staffing and Recruiting
Business System Analyst II,Concord Group Insurance,"Bedford, NH",2024-03-21,,,https://www.linkedin.com/jobs/view/business-system-analyst-ii-at-concord-group-insurance-3865203192?position=11&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=FRl%2B%2FZdX8vazpRVazWfjyw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Responsibilities include providing effective and efficient computer applications specifications and documentation supporting the various business units within the enterprise. This function requires high-level analytical and documentation skills in business analysis, training, implementation and project management. Includes involvement in each phase of project life cycle, need analysis; acquisition or development; implementation; and maintenance.This position is considered ‘primarily remote', meaning you will work from home most of the time; however, you must be able to work on-site and attend in-person group meetings occasionally.ResponsibilitiesForm detailed documentation to show processing logic for simple and moderately complex business processesInterfaces in all aspects of user consulting, business analysis, general systems design, vendor contracts and detailed business specification development; learns user functions, organization and role in the enterprise to the extent required; Acts as a liaison between the IT organization and internal customers using IT servicesConduct various studies, prepare reports and related information for decision making purposes Creates and Executes test plans, records result and prepares quality assurance sign offAssist in training users in utilization of business applications and of generalized applications Interact with external software vendors as required to support acquired business applicationsMentor junior Analysts in understanding general system interactions and requirementsMay act as project lead as neededRequirementsBachelor's degree or equivalent combination of education and related work experienceTwo to five years of experience in a similar environment Experience in working with XML Data highly desirableProperty & Casualty Insurance experience strongly desired but not requiredKnowledge of various business application systems, hardware and familiar with current programming technologiesAbility to interface and communicate effectively with both IT and non-technical colleagues; must possess analytical skills, good oral and written communication skills, and good telephone technique, be a quick learner, self-motivated, patient, and able to work in stressful situations, and at times, be available to work flexible hours; initiative, creativity and sound decision-making skills are requiredAbility to express complex technical concepts effectively, both verbally and in writing; troubleshoot and maintain assigned programs and systems; establish and maintain effective working relationships with subordinates, peers and supervisors; exercise sound judgment in evaluating situations and in making decisions; and follow or give verbal and written instructions as applicableBenefitsConcord Group employees are eligible for a comprehensive total compensation package including but not limited to medical, vison, dental, life, and disability insurance. We offer a generous Paid Time Off Program that includes vacation, personal, sick time and holiday pay. Invest in your future with our competitive 401(k) plan with company match!About UsAs a leading regional provider of property and casualty insurance, The Concord Group helps protect the families and small businesses that enable our communities to thrive. Our positive work environment, competitive benefits, and rapid growth make The Concord Group a great place to build your career.The Concord Group is an Equal Opportunity Employer. The Concord Group participates in E-Verify.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Analyst,Non-profit Organizations and Primary and Secondary Education
Data Engineer,SimplyApply,"Keene, NH",2024-04-15,,,https://www.linkedin.com/jobs/view/data-engineer-at-simplyapply-3901283756?position=12&pageNum=0&refId=mbSFe%2B3JKK3T6M5k9yfvvA%3D%3D&trackingId=Ntceq5P3vR1mlHTrYVOQsw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Center 1 (19052), United States of America, McLean, VirginiaData EngineerDo you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. Capital One's Finance Tech team is seeking a Senior Associate, Data Engineer who is passionate about marrying data with emerging technologies. As a Capital One Senior Associate, Data Engineer, you'll have the opportunity to be on the forefront of driving a major transformation within Capital One.What You'll DoProactively seeks out opportunities to address customer needs and influences stakeholders so that we are building the best solutions for the most important problemsSupport the design and development of scalable data architectures and systems that extract, store, and process large amounts of dataBuild and optimize data pipelines for efficient data ingestion, transformation, and loading from various sources while ensuring data quality and integrityCollaborate with Data Scientists, Machine Learning Engineers, Business Analysts and/or Product Owners to understand their requirements and provide efficient solutions for data exploration, analysis, and modelingImplement testing, validation and pipeline observability to ensure data pipelines are meeting customer SLAsBasic QualificationsBachelor's DegreeAt least 2 years of experience in application development (Internship experience does not apply)At least 1 year of experience in big data technologiesPreferred Qualifications3+ years of experience developing data pipelines using Python or Scala2+ years of experience with distributed computing tools (Spark, EMR, Hadoop)2+ years of experience with UNIX/Linux including basic commands and shell scripting1+ years of experience with a public cloud (AWS, Microsoft Azure, Google Cloud)1+ years of data warehousing experience (Redshift or Snowflake)1+ years of experience with Agile engineering practicesAt this time, Capital One will not sponsor a new applicant for employment authorization for this position.Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at theCapital One Careers website. Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level.This role is expected to accept applications for a minimum of 5 business days.No agencies please. Capital One is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex (including pregnancy, childbirth or related medical conditions), race, color, age, national origin, religion, disability, genetic information, marital status, sexual orientation, gender identity, gender reassignment, citizenship, immigration status, protected veteran status, or any other basis prohibited under applicable federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City's Fair Chance Act; Philadelphia's Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.comCapital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).SimplyApply
        ","
          30 applicants
        ",Entry level,Part-time,Information Technology,Human Resources Services
