title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Revenue Cycle Data Analyst,Brattleboro Retreat,"Brattleboro, VT",2024-04-05,,,https://www.linkedin.com/jobs/view/revenue-cycle-data-analyst-at-brattleboro-retreat-3884448148?position=1&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=CaAeqCJO%2B7WzcHqKLrCRXA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Summary: Under the direction of the Director of Revenue Cycle, the Revenue Cycle Analyst will analyze, interpret, and transform financial and operational data into actionable insights that drive informed decision-making, while utilizing analytical tools and methodologies to enhance revenue cycle processes, identify trends, and contribute to the overall financial success of the organization.Qualifications1.2-5 years of experience supporting Finance and Revenue Cycle Services systems in a hospital environmentAdvanced experience with Data Visualization software, i.e., Tableau, Power BI, etc. required.Advanced data-modeling and financial analysis skills required.Advanced knowledge of Microsoft Excel required with an emphasis on pivot tables.Knowledge of healthcare financial organizations (HFMA, MGMA) benchmarking and KPI’sExcellent verbal and written communication skills with the ability to communicate technical concepts to various audiences including leaders, medical providers, and support staff.Strong organizational skills with the ability to multi-task.Must be able to meet established deadlines and handle multiple customer service demands from internal and external customers, within set expectations for service excellence.Education RequirementsAssociate degree with concentration in business, accounting, finance, or equivalent experience.Project management certification a plus.Essential Duties And ResponsibilitiesCore CompetenciesUtilize data analytics tools to extract, transform, and analyze large datasets related to revenue cycle processes; including billing, collections, and reimbursement.Performs analysis of revenue cycle data, including development and usage of ad hoc queries, to identify opportunities to optimize billing accuracy and maximize reimbursement.Work closely with finance, billing, coding, and IT teams to gather and validate data, ensuring accuracy and completeness.Collaborate with stakeholders to understand business requirements and translate them into meaningful analytics.Generate regular reports and dashboards that provide actionable insights to enhance financial performance.Designs, develops, reviews, updates, and ensures accuracy of Revenue Cycle Dashboards and key performance indicators (KPIs) to assess the effectiveness of revenue cycle operations.Identify trends, anomalies, and opportunities for improvement based on performance metrics.Collaborate with revenue cycle teams to understand existing processes and identify areas for improvement.Recommend and implement data-driven process optimizations to streamline workflows and enhance efficiency.Utilize predictive modeling techniques to forecast revenue, identify potential bottlenecks, and support strategic decision-making.Evaluate the impact of proposed changes on revenue outcomes.Configures, updates, and customizes Revenue Cycle Services applications per change management process.Create and update reporting related procedures and required documentation, such as workflow and technical documentation as neededPossesses excellent communication skills along with the ability to prepare and present data and analysis to various audiences.Performs other duties as defined by the Director of Revenue Cycle.DayFTE 1/40 Hours
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Mental Health Care
Public Health Data Analyst,Lantana Consulting Group,"East Thetford, VT",2024-03-23,,,https://www.linkedin.com/jobs/view/public-health-data-analyst-at-lantana-consulting-group-3867629449?position=2&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=P81Uut6Ld0HQQAkEWHtUHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionCompany: Lantana Consulting Group provides services and software for standards-based health information exchange. We have built our expertise through nearly two decades of development and deployment of technical specifications and interoperability solutions. As a distributed company with no single brick-and-mortar office, Lantana can hire the best available talent and offer a flexible work schedule. We are a rapidly growing Employee-Owned organization who takes pride in improving public health, quality of care, and research.Primary purpose: Provide analytic support on client projects and develop SAS code to perform data management and statistical tasks.A Successful Candidate WillAnalyze complex antimicrobial-use and antimicrobial-resistance data reported to the National Healthcare Safety Network from acute care hospitals. Assess and understand client needs; create analytic plans with input from subject matter experts. Manipulate datasets, conduct analyses using SAS, and perform quality checks on analytic deliverables based on clients’ standard operating procedures. Interpret and summarize analytic results and present findings to relevant stakeholders. Use advanced statistical techniques such as generalized linear models to develop risk-adjusted antimicrobial-use and antimicrobial-resistance metrics for end users. Communicate analytic advice and statistical methodology effectively with clients, management, and staff. Provide results verbally and in writing to the project team and clients, for audiences that range from non-technical to highly technical. Help to maintain and update data for public-facing webpages such as the Antimicrobial Resistance and Patient Safety Portal. Exhibit attention to detail when performing data-quality checks, developing materials, reviewing documentation, troubleshooting issues, and reporting results. Identify areas for improvement, including methods to increase efficiency and innovation (e.g., automating SAS analyses and output and identifying new programming techniques). Collaborate and coordinate effectively with multidisciplinary team members (e.g., physicians, antimicrobial stewardship teams, statisticians, infection preventionists, and other public health professionals) to achieve analytic and programmatic goals. Assist end users by answering questions related to analytic methods, output, and end products. RequirementsRequired Qualifications:Master’s degree and at least seven (7) years of related experience in Public Health, Epidemiology, Statistics, Data Science, or related disciplineExperience using SAS to import data, manipulate data/datasets, and conduct analyses relating to evaluation of data quality and accuracy Experience managing large datasets: moving and merging data files from different platforms, cleaning and aggregating data, and performing quality control Experience in statistical analysis and methodology, including regression analysis Ability to work in a challenging environment across multiple, diverse teams Ability to successfully complete a federal Position of Public Trust background investigation Competency with MS Office Suite, including Word, PowerPoint, Excel, Outlook, and SharePoint Preferred QualificationsExperience reading a variety of data types into SAS, including XML, JSON, CSV, and XSLX with national contracts/datasets Knowledge of and/or experience with the Centers for Disease Control and Prevention’s (CDC) National Healthcare Safety Network (NHSN) Additional Job InformationThis position is 100% work-from-home/remote apart from the annual company meeting, held as conditions allow. Lantana is an equal opportunity employer. All qualified applicants for current openings will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin, veteran status or on the basis of disability. For this position, we are not accepting applicants outside of the United States.
","
          41 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Healthcare Data Standards Analyst II,Lantana Consulting Group,"Thetford, VT",2024-04-04,,,https://www.linkedin.com/jobs/view/healthcare-data-standards-analyst-ii-at-lantana-consulting-group-3882866832?position=4&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=1p9hlDXwBQbG0bVI3XuWFA%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionCompany: Lantana Consulting Group provides services and software for standards-based health information exchange. We have built our expertise through nearly two decades of development and deployment of technical specifications and interoperability solutions. As a distributed company with no single brick and mortar office, Lantana can hire the best available talent and offer a flexible work schedule. We are a rapidly growing Employee-Owned organization who takes pride in improving public health, quality of care, and research.Primary purpose: Responsible for designing and implementing standards-based solutions to exchange data between systems including EHRs, HIEs, public health agencies and other parties to accelerate public health data modernization activities. Lead stakeholder requirements gathering and collaborate with technical, clinical, and public health experts to ensure that projects align with client expectations.A Successful Candidate WillExhibit methodical, organized analytical skills to evaluate data requirements and translate them into formal requirementsFacilitate and lead requirements and design meetings with diverse stakeholdersIdentify and develop use cases to represent client needsOversee solution design and implementation using existing APIs and other existing data exchange solutions from Electronic Health Record (EHR) vendors, public health systems and intermediariesMap client requirements to relevant CDA and FHIR artifacts published within implementation guidesCreate artifacts in XML and JSON conformant to XML/JSON schemasSurvey existing standards’ value sets and identify the need for novel value set creationContribute to the development of standards-based papers, presentations, blogs, and memosSupport internal business development activities as a subject matter expert, as neededRequirementsBachelor’s degree or higher in health informatics, computer science, engineering, information technology, or related field9 years’ relevant experience in Healthcare IT or related fieldExperience in implementation of health IT solutionsProficiency with HL7 standards including CDA and FHIRPreferred QualificationsHL7 certification in CDA or FHIRExperience working with EHR Vendor APIsProficient in the application of XML Schema, XSLT transforms, and Schematron knowledgeExperience with XML editing tools (such as OxygenXML or XMLSpy)Experience working in a Health IT vendor setting (EHRs, Medical Devices, Healthcare Interface engines, etc.)Experience with STLTSExperience with Trusted Exchange Framework and Common Agreement (TEFCA)Additional Job InformationThis position is 100% work-from-home/remote apart from the annual company meeting, held as conditions allow. Lantana is an equal opportunity employer. All qualified applicants for current openings will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin, veteran status or on the basis of disability. For this position, we are not accepting applicants outside of the United States.Titles are subject to change when aligned to internal structure.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Warehouse Engineer,"Casella Waste Systems, Inc.","Rutland, VT",2024-03-25,,,https://www.linkedin.com/jobs/view/data-warehouse-engineer-at-casella-waste-systems-inc-3871393011?position=5&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=4I%2Fwv01wiEI4TVkl6tHG%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position SummaryAs a Data Warehouse Engineer in our Data Warehouse Team, you will play a crucial role in shaping the backbone of our data-driven decision-making process. Your focus will be on developing, maintaining, and optimizing our data warehouse solutions, ensuring they are scalable, efficient, and aligned with our business needs.Your primary responsibility will be constructing and maintaining robust data warehouse architectures that can handle large-scale data in an efficient manner. This includes the development of ETL processes and data pipelines in Synapse, ensuring high data quality and process efficiency. You will also be responsible for implementing and managing data storage solutions in Snowflake, focusing on optimization and cost-effectiveness to support our dynamic data needs.Key Responsibilities Designs the architecture of enterprise data warehouse following the dimensional data modeling methodology.  Develops the architecture to perform data management activities that Extract, Transform, and Load (ETL) data into data warehouse to meet stakeholder specifications.  Works with product stakeholders to implement, maintain, and enhance data models and solutions used to define and measure quality of data domains.  Develops data models to meet business requirements and ensure data acquisition, access analysis, archive, recovery, load design and implementation.  Employs best practices for development new releases and coordinate the new releases to ensure consistency with existing warehouse structure.  Collaborates with IT peers and internal customers to identify data project requirements and ensure the successful design, documentation, and fulfillment of data requests for new and on-going reports, dashboards, and scorecards.  Provides direction and guidance in the development, implementation, and maintenance of front-end presentation (dashboards), automated report solutions and other BI solutions to support tactical and strategic reporting needs of the organization.  Understands business requirements and priorities to shape the scope and specifications of the data warehouse solution, including the identification and resolution of data integrity problems.  Provides guidance in the architecture, design and evolution of enterprise warehouse and information delivery solutions, including tool selection, migration strategies, and risk mitigation.  Participates in training and other learning opportunities to expand knowledge of the company, products, sales, and services and performs any other duties needed to help drive our vision, fulfill our mission, and/or abide by our core values. Education, Experience & QualificationsThe successful candidate will have a bachelor’s degree in computer science, business or management information systems, electronic engineering, or other engineering discipline (8 years of additional revlevant experience may be subsitituted for degree) with a Master’s degree in Database Management or Data Science is preferred.A s trong knowledge of data analysis, data modeling, and statistical techniques. Proficiency in programming languages such as Python, R, SQL, Spark SQL or similar. The a bility to design and build data pipelines and workflows. Experience with data visualization tools such as Tableau, Power BI, or similar. Familiarity with AI and machine learning concepts and frameworks. Excellent problem-solving and critical-thinking skills. Strong communication and presentation skills. Ability to work collaboratively in a team environment. Experience with cloud platforms such as Azure, AWS Understanding of SQL and NoSQL databases (e.g., PostgreSQL, MySQL, MongoDB) and data warehousing solutions (Synapse, Amazon Redshift, Snowflake). Working knowledge Version Control and Collaboration Tools such as DevOps using Git Strong analytical abilities and problem-solving skills. Effective communication skills and a continuous learning mindset for adapting to new technologies. Attributes Collaborative, curious, and results-driven individual who is self-motivated with the ability to define problems, design solutions and implement the best solutions while managing multiple projects and priorities and building multi-disciplinary groups and all organizational levels to fulfill enterprise data requirements.BenefitsMedical, Dental, Vision, Life & Disability Insurance, Maternity & Parental Leave, Flexible Spending Accounts, Discounted Stock Program, 401K, Employee Awards, Employee Assistance Plan, Wellness Incentive, Tuition Assistance, Career Pathways, and More.
        ","
          67 applicants
        ",Entry level,Full-time,Information Technology,Environmental Services
Junior Windows Engineer,Epic,"South Burlington, VT",2024-03-20,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3864452983?position=7&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=SswxzFxKmQToPVTYyAQDKA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Junior Windows Engineer,Epic,"Colchester, VT",2024-04-08,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3886279306?position=8&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=F8yvwFyrsn%2Bl2EEXmoJZ2w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Junior Windows Engineer,Epic,"Rutland, VT",2024-03-20,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3864451977?position=9&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=dLchRekh4wr%2B%2BHhaiDazlg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Windows Engineer,Epic,"South Burlington, VT",2024-03-20,,,https://www.linkedin.com/jobs/view/windows-engineer-at-epic-3864452452?position=10&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=l%2FHfPt04vHC55xq4P8uOcg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.As a Windows Server Engineer you'll install, configure, and support a variety of Microsoft technologies in Epic's infrastructure. Epic's Windows Server team is responsible for day-to-day operations, as well as ongoing architecture for Active Directory, SQL Server, Office 365, Azure, Citrix, Splunk, Exchange, Windows Containers, Hyper-V, and much more. You'll have the opportunity to explore new versions of operating systems, provisioning systems, and developing creative and clever solutions to meet internal and external infrastructure needs.Using automation tools, you will create utility and automation scripts for Windows fleet management for both on-prem and cloud resources. You will work with Epic's development teams to improve and maintain their deployment processes. You will improve monitoring of Epic's Microsoft infrastructure using Splunk, SentryOne, Prometheus, and other monitoring systems.More than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.Relocation to the Madison, WI area (reimbursed)Proficiency with current versions of Windows ServerExposure to Scripting or programmingStrong troubleshooting skills and excellent customer serviceEligibility to work in the U.S. without visa sponsorshipCOVID-19 vaccination
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Systems Engineer,Vermont Electric Cooperative,"Johnson, VT",2024-04-12,,,https://www.linkedin.com/jobs/view/systems-engineer-at-vermont-electric-cooperative-3891831201?position=12&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=jMTEjIOM0UP7gxN4hpD2kw%3D%3D&trk=public_jobs_jserp-result_search-card,"
About UsWe are a member-owned cooperative distribution utility with 33,000 members in northern Vermont. We lead and innovate with people, moving toward an energy future that is safe, reliable, environmentally responsible, and equitable for our members. We offer competitive pay and benefits and a collaborative, supportive work environment. This position is locally based but hybrid home/office.About JohnsonA few minutes north of Stowe, VT, Johnson is near world-class skiing and riding along with some of the most scenic hiking, biking, and watersports you can find.About YouThe Systems Engineer plays a vital role in the success of the organization. You are responsible to plan, design, monitor and report the status of large construction and system improvement projects. Additionally, you will provide technical support and assistance with the design and logistics of engineering projects including generation connection and system protection projects.Job Posted by ApplicantPro
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Utilities
Business Support Analyst,State of Vermont,"Montpelier, VT",2024-04-04,,,https://www.linkedin.com/jobs/view/business-support-analyst-at-state-of-vermont-3883214339?position=13&pageNum=0&refId=qasqADhCLEu0j2k615NICQ%3D%3D&trackingId=EjE5NKq4RzBqRSzUUduHMQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
OverviewAre you interested in coordinating large IT projects with multiple stakeholders? Do you have a passion for improving the user experience of government services? We are seeking candidates with strong communication skills and a commitment to process improvement to join our team. If you want to support a team aimed at providing exceptional work, the Vermont Department of Taxes' VTax Team wants to hear from you!The successful candidate for this position will serve as a liaison between multiple divisions at the Department and the software development teams. This position has an emphasis on implementing software changes, including defining requirements for and the testing of development work. Examples of work being implemented includes legislative changes, annual revisions to a variety of tax forms, and process improvements related to return and refund review processes. In this role, you will review requests for, and proactively identify opportunities for user experience, business process, and software improvements.This Position Requires a High Degree Of Independence, Balancing Of Competing Priorities, And The Ability To Adapt To Change. The Ideal Candidate Will HaveExperience in business process improvement, project management, and improving government services through modern technology.Experience in developing detailed knowledge of complex practices and processes, specifically tax administration and technical software processes, and data analysis.Ability to communicate complex and technical topics to non-experts.Excitement about contributing to and building on our existing system practices. Demonstrated experience with iterative processes, including incorporating different types of feedback, launching quickly, and testing hypotheses.Experience with SQL is preferred but not required.The Responsibilities Of This Position IncludeDaily testing of changes made by software developers to verify that the changes meet business requirements, function correctly, and are the optimal solution for users. Collaborate with Division staff to prioritize requests for bug fixes and enhancements and troubleshoot issues for internal and external users. Evaluate and analyze ongoing user needs. Review business processes and develop a strong degree of familiarity with taxes and programs. Quantify, recommend, and implement upgrades and enhancements to software.Identify risks involved with making process changes while analyzing the benefits of implementing the changes. Conduct requirement gathering for system changes.Support and coach staff through recommended changes and transitionsCommunicating project status, developments, and outstanding issues to the Department.This is a full-time position located in Montpelier, Vermont with opportunities for hybrid telework. Learn more about the technical and professional requirements of the Business Support Analyst or contact Jennifer.McNall@vermont.gov. For additional information about employee satisfaction and benefits, please visit our website.What Is VTax?The VTax Team is a premier continuous improvement team in Vermont State government. The team is responsible for managing and implementing changes and improvements to VTax, the Department's primary tax software system. Over the past three years, this team has implemented three new tax types, implemented a $200 million business grant program, and made many other process improvements that have transformed the work of the Department and the experience for taxpayers.Additional Information Telework: Our Department embraces the benefits of telework and most employees are eligible to telework up to four days per week. Department employees are currently required to participate in one weekly “core day” and must plan to report for work at 133 State Street, Montpelier, on designated core days (currently Wednesdays). Working from home requires approval and must be in accordance with Department and State of Vermont teleworking policies. Based on business needs, there may be additional days when employees with telework approval are expected to report to the Tax Department's central offices. Background Checks: This position will primarily support the Department of Taxes. Candidates must agree to be fingerprinted and pass a background check to be eligible for this position, which will involve access to sensitive federal tax information. Background checks are required by the Internal Revenue Service and are authorized under Vermont law. 3 V.S.A.241. In accordance with VDT Standard Operating Procedure 2018-01, Background Investigations, Vermont, and national criminal record checks will be conducted on all candidates. Candidates will have the right to withdraw their application before fingerprinting or a background check is conducted.We value diverse teams and are committed to creating a community of inclusion.Who May ApplyThis position, Business Support Analyst (Job Requisition #49839), is open to all State employees and external applicants.If you would like more information about this position, please contact Jennifer.McNall@vermont.gov.Resumes will not be accepted via e-mail. You must apply online to be considered.Please note that multiple positions in the same work location may be filled from this job posting.Environmental FactorsDuties are generally performed in a standard office setting. Incumbents must be able to concentrate on details and perform accurate work in the face of frequent interruptions. Human relations skills may be needed to deal with the internal stakeholders. Workload will vary but remain heavy. Pressure from work deadlines is predictable.Minimum QualificationsBachelor's degree in accounting, statistics, business administration, project management, information technology management, or related field.ORAssociate's degree in accounting, statistics, business administration, project management, information technology management, or related field AND two (2) years or more of experience in business analysis, business process creation or improvement, in project management, in information technology design, development, and implementation, in tax administration, or in a related fieldORFour (4) years or more of experience in business analysis, business process creation or improvement, in project management, in information technology design, development, and implementation, in tax administration, or in a related field.Preferred QualificationsBasic understanding of SQL.Total CompensationAs a State employee you are offered a great career opportunity, but it's more than a paycheck. The State's total compensation package features an outstanding set of employee benefits that are worth about 30% of your total compensation, including:80% State paid medical premium and a dental plan at no cost for employees and their familiesWork/Life balance: 11 paid holidays each year and a generous leave planState Paid Family and Medical Leave Insurance (FMLI)Two ways to save for your retirement: A State defined benefit pension plan and a deferred compensation 457(b) planTuition ReimbursementFlexible spending healthcare and childcare reimbursement accountsLow cost group life insuranceIncentive-based Wellness ProgramQualified Employer for Public Service Student Loan Forgiveness Program Want the specifics? Explore the Benefits of State Employment on our website.Equal Opportunity EmployerThe State of Vermont celebrates diversity, and is committed to providing an environment of mutual respect and meaningful inclusion that represents a variety of backgrounds, perspectives, and skills. The State does not discriminate in employment on the basis of race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, membership in an employee organization, family medical history or genetic information, or family or parental status. The State's employment decisions are merit-based. Retaliatory adverse employment actions by the State are forbidden.
        ","
            Be among the first 25 applicants
          ",Associate,Full-time,Information Technology,Government Administration
