title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
GIS Analyst,Ardurra,"Cody, WY",2024-03-27,,,https://www.linkedin.com/jobs/view/gis-analyst-at-ardurra-3873040987?position=1&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=cZyFq7O3YNRZUfoA5aX61Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Ardurra is seeking a GIS Analyst to join our Cody, WY team!This is an entry-to-mid level position that, with minimal direction, provides support for the creation, modification, and production of maps and databases through the use of GIS, Photogrammetry, and CAD softwares.Ideally, the right candidate will report to the Cody, WY office but open to considering the right fit candidate reporting to one of our NW offices.Education & Experience RequirementsBachelor’s or advanced degree in Geography, Remote Sensing, Surveying, or a related field, or 2+ years of relevant experienceProficient in ArcGIS Pro and/or ArcMapStrong technical writing and communication skillsKnowledge of concepts and procedures of cartographyUnderstanding of coordinate systems and projectionsFinding and working with publicly available datasetsAbility to maintain effective working relationships with other employees, the public, and clientsKey ResponsibilitiesExperience with ArcGIS Online desktop and mobile applications including Map Viewer, Dashboard, Experience builder, Field Maps, and Survey 123Knowledge of ESRI extensions including 3D Analyst and Spatial AnalystFamiliarity with drafting software, including Civil 3DAbility to process imagery and classify point clouds from UAV, UAS data using Pix4D and ESRI toolsExperience working with python, arcade, and model builder in desktop and online GIS environmentsFamiliarity with database design and managementExperience working with Airport Information and Data Portal / Airport GISPhysical Requirements For GIS AnalystProlonged periods sitting at a desk and working on a computerAbility to navigate various locations and settings of the companyOccasionally lift and/or move up to 25 poundsMust possess a valid driver’s license and be able to safely operate a vehicleWhy Ardurra?While Ardurra offers competitive compensation and rich benefits programs, it is our culture that truly sets us apart from our peers. We nurture a family-like culture, striving to create a work environment that is enjoyable, challenging and rewarding but also fun. We are acutely focused on developing our staff, whether through our internal Ardurra Academy or through our industry-leading Leadership program. We have made a deliberate and focused commitment to nurture a people-centric culture where people are: valued as individuals; supported in their professional and career development with multiple, varied career paths; provided the tools and resources to be successful, engaged, and satisfied in their work; and positive benefits, time-off programs, and flexibility to help maintain a healthy balance between work and home.Ardurra is an Equal Opportunity/ Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, gender identity or sexual orientation.NOTICE TO THIRD PARTY AGENCIES:Ardurra does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Agency Agreement, Ardurra will not consider or agree to payment of any referral compensation or recruiter fee. If a resume or candidate is submitted to any hiring manager without a previously signed agreement, Ardurra reserves the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency. These candidates will be considered property of Ardurra. We’re not currently looking to add any more agencies to our list of approved vendors, so please do not contact any of our managers or recruitment team with sales calls or details of your candidates.
","
          46 applicants
        ",Entry level,Full-time,Information Technology,Civil Engineering
Business System Analyst,BillEase,"Guernsey, WY",2024-04-17,,,https://www.linkedin.com/jobs/view/business-system-analyst-at-billease-3902052411?position=3&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=bhi5q5V%2Bkima4o3boDJ34Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          First Digital Finance Corporation (FDFC) is a fin-tech company building disruptive and innovative products in retail credit for Southeast Asia.The company operates BillEase, the top-rated, buy now pay later (BNPL) platform for merchants and their customers in the Philippines with more than 1m downloads.Vision: Build financial services that delight and enable consumersMission: Use software and AI and to build financial products that are at least 10x better than status quo for our customersThe RoleYou Will Be Responsible ForConduct analysis of current business processes and systems to identify areas for improvement.Work with cross-functional teams to understand business requirements and translate them into functional system specifications.Develop and maintain a deep understanding of our business operations, systems, and processes.Collaborate with IT teams to ensure that system designs align with business requirements.Conduct user acceptance testing to ensure system designs meet business requirements.Develop and maintain detailed documentation of business requirements, system designs, and testing results.Communicate effectively with stakeholders across the organization, including senior management, to ensure project objectives are met.Proactively identify opportunities for process improvement and provide recommendations to the business.Monitor system performance and identify areas for improvement.Examine current and new business procedures.Identify effective solutions for business software system issues.Report common patterns, questions, and other issues to management.Recommend solutions for improving and restructuring company procedures.Assess company performance, information, and plans by conducting regular tests and analysis.Monitor company systems status and report any progress or changes.Research and estimate the costs of upgrades and improvements.Establish specifications for new projects by developing project goals, phases, and budgets.Determines operational objectives by studying business functions; gathering information; evaluating output requirements and formats.Designs new computer programs by analyzing requirements; constructing workflow charts and diagrams; studying system capabilities; writing specifications.Improves systems by studying current practices; designing modifications.Recommends controls by identifying problems; writing improved procedures.Defines project requirements by identifying project milestones, phases, and elements; forming project team; establishing project budget.Monitors project progress by tracking activity; resolving problems; publishing progress reports; recommending actions.Maintains system protocols by writing and updating procedures.Provides references for users by writing and maintaining user documentation; providing help desk support; training users.Maintains user confidence and protects operations by keeping information confidential.Prepares technical reports by collecting, analyzing, and summarizing information and trends.Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.Contributes to team effort by accomplishing related results as needed.Ideal ProfileYou have a Bachelor's degree in Business, Information Technology or related field.You have 2+ years of experience in business analysis or system analysis.You have experience working with cross-functional teams to translate business requirements into system specifications.You have understanding of software development lifecycle methodologies.Experience in the fintech industry is a plus.You have strong analytical and problem-solving skills.You have ability to communicate effectively with technical and non-technical stakeholders.You have strong attention to detail and ability to work independently.You have technical skills. Undestending of SQL, API, OpenAPI (swagger), BPMN, Microservice architecture is a plus.What's on Offer?Join a well known brand within the Financial Services IndustryFlexible working optionsExcellent career development opportunities
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Financial Services
Junior Windows Engineer,Epic,"Casper, WY",2024-03-20,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3864452926?position=4&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=eG3JAUIO6kQQlyTFTGYYqA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Junior Windows Engineer,Epic,"Rock Springs, WY",2024-03-20,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3864454653?position=5&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=xYFbtLQp8JMHMfJKSXQXdw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Junior Windows Engineer,Epic,"Cheyenne, WY",2024-03-20,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3864453795?position=6&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=AKxp66CCjYTvfQzdiGqy2Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Junior Windows Engineer,Epic,"Laramie, WY",2024-03-20,,,https://www.linkedin.com/jobs/view/junior-windows-engineer-at-epic-3864455515?position=8&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=0aCJM0ETH65GkxpGv3TYlA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Windows Engineer,Epic,"Rock Springs, WY",2024-03-20,,,https://www.linkedin.com/jobs/view/windows-engineer-at-epic-3864451813?position=9&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=RcsfV4D8IqFNoprB%2FMsfKQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Business System Analyst,BillEase,"Guernsey, WY",2024-04-09,,,https://www.linkedin.com/jobs/view/business-system-analyst-at-billease-3887943488?position=10&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=eoJNbbUhvl2V%2BcbGMlRZ0Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          First Digital Finance Corporation (FDFC) is a fin-tech company building disruptive and innovative products in retail credit for Southeast Asia.The company operates BillEase, the top-rated, buy now pay later (BNPL) platform for merchants and their customers in the Philippines with more than 1m downloads.Vision: Build financial services that delight and enable consumersMission: Use software and AI and to build financial products that are at least 10x better than status quo for our customersThe RoleYou Will Be Responsible ForConduct analysis of current business processes and systems to identify areas for improvement.Work with cross-functional teams to understand business requirements and translate them into functional system specifications.Develop and maintain a deep understanding of our business operations, systems, and processes.Collaborate with IT teams to ensure that system designs align with business requirements.Conduct user acceptance testing to ensure system designs meet business requirements.Develop and maintain detailed documentation of business requirements, system designs, and testing results.Communicate effectively with stakeholders across the organization, including senior management, to ensure project objectives are met.Proactively identify opportunities for process improvement and provide recommendations to the business.Monitor system performance and identify areas for improvement.Examine current and new business procedures.Identify effective solutions for business software system issues.Report common patterns, questions, and other issues to management.Recommend solutions for improving and restructuring company procedures.Assess company performance, information, and plans by conducting regular tests and analysis.Monitor company systems status and report any progress or changes.Research and estimate the costs of upgrades and improvements.Establish specifications for new projects by developing project goals, phases, and budgets.Determines operational objectives by studying business functions; gathering information; evaluating output requirements and formats.Designs new computer programs by analyzing requirements; constructing workflow charts and diagrams; studying system capabilities; writing specifications.Improves systems by studying current practices; designing modifications.Recommends controls by identifying problems; writing improved procedures.Defines project requirements by identifying project milestones, phases, and elements; forming project team; establishing project budget.Monitors project progress by tracking activity; resolving problems; publishing progress reports; recommending actions.Maintains system protocols by writing and updating procedures.Provides references for users by writing and maintaining user documentation; providing help desk support; training users.Maintains user confidence and protects operations by keeping information confidential.Prepares technical reports by collecting, analyzing, and summarizing information and trends.Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.Contributes to team effort by accomplishing related results as needed.Ideal ProfileYou have a Bachelor's degree in Business, Information Technology or related field.You have 2+ years of experience in business analysis or system analysis.You have experience working with cross-functional teams to translate business requirements into system specifications.You have understanding of software development lifecycle methodologies.Experience in the fintech industry is a plus.You have strong analytical and problem-solving skills.You have ability to communicate effectively with technical and non-technical stakeholders.You have strong attention to detail and ability to work independently.You have technical skills. Undestending of SQL, API, OpenAPI (swagger), BPMN, Microservice architecture is a plus.What's on Offer?Join a well known brand within the Financial Services IndustryFlexible working optionsExcellent career development opportunities
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Financial Services
Windows Engineer,Epic,"Casper, WY",2024-03-20,,,https://www.linkedin.com/jobs/view/windows-engineer-at-epic-3864448755?position=11&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=SEfy5Pz4xo9UB1Iv0EZVyA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Windows Engineer,Epic,"Cheyenne, WY",2024-03-20,,,https://www.linkedin.com/jobs/view/windows-engineer-at-epic-3864452430?position=12&pageNum=0&refId=Si3aQOJ3YuRQgJHJRw5uZA%3D%3D&trackingId=Zcp05Zr7PearkN%2BJWuw2Ig%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.We are looking for a Windows Engineer to join our multi-tenant hosting team. You’ll be responsible for the design, implementation, and health of our domain architecture including but not limited to Active Directory, authentication technologies, and DNS. As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to ensure a robust and secure environment that forms the foundation of our hosting service. Learn more about the team at https //careers.epic.com/Jobs/Hosting.Desired Skills And Knowledge Areas Expertise in Active Directory design and maintenance Expertise in automation using scripting tools like Powershell Experience with AD trusts and replication Experience administering Azure Active Directory and Azure Active Directory Connect Experience with deployment and troubleshooting of DNS & DHCP Knowledge of configuration management tools like Puppet, Chef, or Ansible Knowledge of Active Directory Federation Services Knowledge of authentication technologies Kerberos, LDAP, SAMLMore than just important work.Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.This position features three different starting points, based upon prior experience.Junior Windows Engineer requires 0-2 years prior experienceWindows Engineer requires 2-5 years prior experienceSenior Windows Engineer requires 5+ years prior experienceAdditional RequirementsA history of academic and professional successEligibility to work in the U.S. without visa sponsorship.Troubleshooting skills and good customer service are requiredRelocation to the Madison, WI, area (reimbursed)Available to work 1st, 2nd, or 3rd shiftCOVID-19 vaccinationAs a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:Following policies and procedures and escalating when policies or procedures are not followedEscalating potential security incidents and providing relevant informationMeeting all security responsibilities defined in policies and procedures
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
