title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer (Entry-Level),HireMeFast LLC,"Phoenix, AZ",2024-04-28,On-site,,https://www.linkedin.com/jobs/view/data-engineer-entry-level-at-hiremefast-llc-3913083221?position=1&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=c%2FbI81RURtaj0eceHzmBkw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          This is a remote position.DISCLAIMER: This job posting is intended for active pooling of candidates who will become part of our talent pool. Your qualifications will be assessed against both current and future job openings. Should your application align with a role that corresponds to your skills and experience, and an opportunity arises, our recruitment team will reach out to you immediately. Please note that this does not guarantee immediate placement or contact. Additionally, we exclusively consider applications from individuals who are currently reside in the US/Canada during their application process.Salary: $62,000 - $72,000 per annumExperience Required:  Minimum 1 year of project experiencePosition SummaryJoin the fast-paced, innovative, and collaborative environment focused on providing an AIOps platform that enhances the intelligence of the CVS Health infrastructure. Work closely with subject matter experts and colleagues to build and scale out machine learning and AI solutions that will detect, predict, and recommend solutions to correct issues before system impact and enhance the efficiency, reliability, and performance of CVS Health’s IT operations.Key Responsibilities include:Data pipeline development: Designed, implemented, and managed data pipelines for extracting, transforming, and loading data from various sources into data lakes for processing, analytics, and correlation. Data modeling: Create and maintain data models ensuring data quality, scalability, and efficiency Develop and automate processes to clean, transform, and prepare data for analytics, ensuring data accuracy and consistency Data Integration: Integrate data from disparate sources, both structured and unstructured to provide a unified view of key infrastructure platform and application data Utilize big data technologies such as Kafka to process and analyze large volumes of data efficiently Implement data security measures to protect sensitive information and ensure compliance with data and privacy regulation Create/maintain documentation for data processes, data flows, and system configurations Performance Optimization- Monitor and optimize data pipelines and systems for performance, scalability and cost-effectiveness Characteristics of this role:Team Player: Willing to teach, share knowledge, and work with others to make the team successful. Communication: Exceptional verbal, written, organizational, presentation, and communication skills. Creativity: Ability to take written and verbal requirements and come up with other innovative ideas. Attention to detail: Systematically and accurately research future solutions and current problems. Strong work ethic: The innate drive to do work extremely well. Passion: A drive to deliver better products and services than expected to customers. Required Qualifications2+ years of programming experience in languages such as Python, Java, SQL 2+ years of experience with ETL tools and database management (relational, non-relational) 2+ years of experience in data modeling techniques and tools to design efficient scalable data structures Skills in data quality assessment, data cleansing, and data validation Preferred QualificationsKnowledge of big data technologies and cloud platforms Experience with technologies like PySpark, Databricks, and Azure Synapse. EducationBachelor’s degree in Computer Science, Information Technology, or related field, or equivalent working experience
","
          34 applicants
        ",Entry level,Full-time,Information Technology,Software Development
Senior BI Engineer,Circle K,"Tempe, AZ",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/senior-bi-engineer-at-circle-k-3897014290?position=2&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=W6x8aqApQQmOYkG%2BWZltAg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Title: Senior BI EngineerPosition OverviewWe are seeking a highly skilled and experienced senior BI Engineer with expertise in Microsoft technology to join our dynamic team. The ideal candidate will be responsible for designing, developing, and maintaining business intelligence solutions using Microsoft tools and technologies. This role will involve collaborating with cross-functional teams to gather requirements, design data models, and implement scalable BI solutions to support business objectives.Key ResponsibilitiesDesign and Development of BI Solutions:Architect, design, and develop end-to-end business intelligence solutions using Microsoft BI stack.Design, develop, and maintain end-to-end business intelligence solutions.Define data models, metrics, and KPIs for reporting and analytics.Leading efforts to design and optimize scalable multidimensional and tabular data models using SSAS to support interactive analytics and reporting.Proficient in DAX, Power Query, SQL, and graphical design of Power BI presentation layer to create and design intuitive and interactive reports and dashboards using Power BI to enable data-driven decisions.Project Management and Collaboration:Manage the design of project deadlines, priorities, and deliverables using expertise.Collaborate with other departments and teams to complete cross-departmental projects.Excellent communication skills; must discuss requirements effectively with stakeholders.Serve as a Best Practices resource for BI initiatives in the organization.Conduct training and user-group sessions on modern BI tools and methodologies.Mentoring and guiding junior team members on BI development best practices.Administration and Documentation:Monitor and administrate the Power BI service capacities.Troubleshoot, debug, and tune BI solutions (reports, cubes, and semantic models) to ensure optimal performance and reliability.Experience defining BI framework models, semantic layers, and Metadata repositories to support Data governance and administration.Responsible for documenting contents in a data warehouse and metadata storage.Acts as the escalation point for Power BI-related issues.Creating technical documentation for BI tools.QualificationsBachelor’s degree in computer science, Engineering, or related field.5-7 years of experience designing and developing business intelligence solutions using Microsoft BI stack.Strong proficiency in SQL, SSAS/AAS tabular modeling, DAX, Power BI, Paginated Reports, Power BI Gateway, Service, and Security.Experience working with Azure-based BI solutions, including Azure SQL, Azure Synapse, Data Factory, Blob Storages & Data Lakes.Experience with Power BI Services, Admin Portal, and capacity governance.Excellent problem-solving and analytical skills.Strong communication and collaboration skills.Hands-on experience with ETL development and data integration.Strong understanding of multidimensional and tabular data modeling concepts using SSAS.Experience in developing interactive reports and dashboards using Power BI.Excellent analytical and problem-solving skills, with a keen attention to detail.Strong communication and collaboration skills, with the ability to work effectively in a team environment.The Following Skills Are PreferredRelevant certifications (e.g., Microsoft Certified: Data Analyst Associate, Microsoft Certified: Azure Data Engineer Associate, Microsoft Certified: Power BI, etc.)Experience working with PowerShell.Experience using Git for version control and deployment.Knowledge of Microsoft Fabric.Experience coding in Python.Experience working with Databricks and Snowflake.Behavioral CompetenciesSelf-motivated to solve problems and able to work collaboratively with other team members.Ability to deal with all levels of management.First-rate analytical skills: accuracy, thoroughness, and high-quality workAbility to act quickly in situations that involve uncertainty and/or significant risk, a sense of urgency to accomplish tasks on time.Ability to accomplish the most with the available time and resources.Capacity for focusing on the task and the desired results.Ability to work effectively with others to achieve common objectives.BenefitsHealth, dental, and vision insuranceRetirement savings planPaid time offProfessional development opportunitiesCircle K is an Equal Opportunity Employer.The Company complies with the Americans with Disabilities Act (the ADA) and all state and local disability laws. Applicants with disabilities may be entitled to a reasonable accommodation under the terms of the ADA and certain state or local laws as long as it does not impose an undue hardship on the Company. Please inform the Company’s Human Resources Representative if you need assistance completing any forms or to otherwise participate in the application process.Click below to review information about our company's use of the federal E-Verify program to check work eligibility:In EnglishIn SpanishR420069
","
          110 applicants
        ",Mid-Senior level,Full-time,Business Development and Sales,Retail
Senior Data Engineer,Cardone Ventures,"Scottsdale, AZ",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-cardone-ventures-3891519688?position=3&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=oVKeEBcdntJcdQbjwyvA3A%3D%3D&trk=public_jobs_jserp-result_search-card,"
POSITION SUMMARYThe Senior Data Engineer will play a vital role in designing, developing, and maintaining the data pipelines and infrastructure that ingests, transforms, and stores massive datasets from various sources to support our evolving business needs. You'll be at the forefront of implementing a cutting-edge lake house architecture, ensuring efficient data storage, retrieval, and analytics.ABOUT CARDONE VENTURESOur mission is to help business owners achieve their personal, professional, and financial goals through the growth of their businesses. We work in dozens of verticals and provide strategic business guidance through courses, live events, partnerships, and investments. Our core values are the backbone of our business and guide our hiring process: we are inspirational, disciplined, accountable, transparent, aligned, and results oriented. This company operates nationally and is growing by the day.OBJECTIVESCollaborate with other team members on scoping solutions and project decision pointsDesign and implement data products (pipelines, visualizations) that add value Interact with developers, business teams, and other stakeholders to determine requirements Assist in the development of the data pipelines that serve as the basis for our customer’s financial reporting solutionsFurther the buildout of our internal data lake, ultimately providing better data-analysis platforms to internal teamsForecasting and reporting of transformed data Design ETL flows independently COMPETENCIESUnderstanding of datastore and data mart design Possess strong proficiency in SQLKnowledge of Object-Oriented Language (C#, Java, Python) Basic understanding of distributed database systemExperience with statistical analysis and modeling techniquesFamiliarity with cloud services (Azure, AWS, or GCP)Strong technical writing skillsFamiliarity with reporting tools (Power BI, Tableau, etc.)Basic understanding and implementation of REST API toolsBasic understanding of data securityUnderstanding of both structured and unstructured data to improve traditional processesEDUCATION AND EXPERIENCEBachelor's/Master's degree in STEM fieldPHYSICAL REQUIREMENTSProlonged periods of time sitting at a desk or computer COMMITMENT TO DIVERSITYAs an equal opportunity employer committed to meeting the needs of a multigenerational and multicultural workforce, Cardone Ventures recognizes that a diverse staff, reflective of our community, is an integral and welcome part of a successful and ethical business. We hire local talent at all levels regardless of race, color, religion, age, national origin, gender, gender identity, sexual orientation, or disability, and actively foster inclusion in all forms both within our company and across interactions with clients, candidates, and partners.If this position caught your eye, send us your resume! For best consideration, include the job title and source where you found this position in the subject line of your email to careers@cardoneventures.com. Already a Cardone Ventures candidate? Please connect directly with your recruiter to discuss this opportunity.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Engineering, Information Technology, and Business Development",Business Consulting and Services
Data Engineer,The IT Gigs,"Phoenix, AZ",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-the-it-gigs-3899572644?position=4&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=teFHy6xyxap13Ws3wMRIww%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job title: Data EngineerLocation: Phoenix, AZ (Onsite)Job type: W2 OnlyVISA: USC and GCJD:Mandatory Skill Set: Apache Spark, Hive, Hadoop, BigQuery, BigTable, Cloud Composure, Dataflow, Google Cloud Storage, Python, SQL, Shell Scripting, Git.Good to have Skill Set: CI/CD, Jenkins, Security and Networking, Scala, GCP Identity and Access Management (IAM).Responsibilities:Data Processing: Design, develop, and maintain scalable and efficient data processing pipelines using technologies such as Apache Spark, Hive, and Hadoop.Programming Languages: Proficient in Python, Scala, SQL, and Shell Scripting for data processing, transformation, and automation.Cloud Platform Expertise: Hands-on experience with Google Cloud Platform (GCP) services, including but not limited to BigQuery, BigTable, Cloud Composer, Dataflow, Google Cloud Storage, and Identity and Access Management (IAM).Version Control and CI/CD: Implement and maintain version control using Git and establish continuous integration/continuous deployment (CI/CD) pipelines for data processing workflows.Jenkins Integration: Experience with Jenkins for automating the building, testing, and deployment of data pipelines.Data Modeling: Work on data modeling and database design to ensure optimal storage and retrieval of data.Performance Optimization: Identify and implement performance optimization techniques for large-scale data processing.Collaboration: Collaborate with cross-functional teams, including data scientists, analysts, and other engineers, to understand data requirements and deliver solutions.Security and Networking: Possess basic knowledge of GCP Networking and GCP IAM to ensure secure and compliant data processing.Documentation: Create and maintain comprehensive documentation for data engineering processes, workflows, and infrastructure.Qualifications:Proven experience with Apache Spark, Hive, and Hadoop.Strong programming skills in Python, Scala, SQL, and Shell Scripting.Hands-on experience with GCP services, including BigQuery, BigTable, Cloud Composer, Dataflow, Google Cloud Storage, and Identity and Access Management (IAM)Familiarity with version control using Git and experience in implementing CI/CD pipelines.Experience with Jenkins for automating data pipeline processes.Basic understanding of GCP Networking.Excellent problem-solving and analytical skills.Strong communication and collaboration skills.Please share your resume over shikha@theitgigs.com
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Business Development, Consulting, and Human Resources",Business Consulting and Services and Human Resources Services
Senior Analytics Engineer,"Sunstate Equipment Co., LLC","Phoenix, AZ",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/senior-analytics-engineer-at-sunstate-equipment-co-llc-3892754725?position=5&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=rwpdM5c916mVTlBG7QtZUw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Sunstate Equipment Co.: Where Safety and People are Core Values!We take care of our People and it shows!Sunstate is a proud Second Chance employer that evaluates every candidate on a case-by-case basis.Hiring Immediately; Pay dependent on experience; PAID WEEKLY!Sunstate Advantages100% Remote Role within Sunstate's Operating States (See website to view eligible states). Annual discretionary, performance-based bonusesRent ANY of our equipment for FREE“My Holiday” time off benefit pays you to celebrate any holiday without taking personal time!DescriptionThe Analytics Engineer is pivotal in enhancing the interface between raw data infrastructure and data analytics. This individual is focused on the transformation and preparation of data to ensure it is primed for analysis and business intelligence applications. By crafting and overseeing a centralized repository of metrics and definitions, the Analytics Engineer empowers the organization with data that is not only accessible but also meaningful for business insights. This position develops a variety of technology solutions and writes, tests, implements and documents source code based on business needs.Duties And ResponsibilitiesBuild and maintain effective data management solutions to transform, store, and integrate company data to support reporting and analytics needs.Build, maintain, and document a centralized repository of organizational metrics and definitions to promote consistency and clarity in data usage.Collaborate with business units to refine data, ensuring it is ready for analysis by business intelligence and analytics teams.Develop documentation throughout the software development life cycle (SDLC).Engage in new technology research to augment skills and contribute to the organization's data strategy.RequiredStrong analytical skills with an ability to translate business needs into data solutions.Experience with various data technologies and tools including dbt, Python, Airflow and other similar toolsExperience with source control and documentation tools such as Git and Atlassian to produce repeatable, documented, tested, and reviewed data productsExperience with a variety of database technologies such as Snowflake or RDSUnderstanding of development best practices, database structures, analytics and data miningExperience with analytical and BI data transformation processes and data design patterns around operation data stores and data warehouses.Understanding of data architecture and modeling practices and concepts including entity-relationship diagrams, normalization, abstraction, denormalization, dimensional modeling, and metadata modeling practicesWillingness to learn new technologyExcellent communication skills, with the capacity to articulate complex data concepts to a non-technical audience.Commitment to delivering exceptional customer service.Must be able to meet performance, productivity and efficiency standardsPreferredBS/BA degree in Data Analytics, Computer Science, Engineering, Mathematics or a related fieldWorking knowledge of machine learning practices and next generation data platforms including data lakes, NoSQL databases, Graph, Data Virtualization, and in-memory datastoresFamiliarity with next generation data platforms on major cloud providers such as AWSExperience with Agile methodologies including Scrum and KanbanQuestions? Give our recruiting team a call at 844-899-8066 and #AskLindsayInterested? Apply now!Why Choose Us?At Sunstate, every employee is valued, respected, and fairly compensated. More importantly, every employee has a voice that deserves to be heard. We are working hard to challenge the typical ways of business and develop an environment where our employees feel safe, comfortable, and look forward to coming to work. No matter which location you visit, you can’t help but feel the close-knit work-family environment.We have strategically and organically grown our company from within, promoting from the ground up and providing employees with opportunities to explore their different passions within our own walls. This culture allows our people to develop valuable, marketable skills they can use throughout their career. Plus, with benefits like Baby Bonding, My Holiday vacation time, and discounts on everything from movie tickets to cell phone bills, we’re constantly evolving our resources to provide our people with tools to make their lives easier!Be YOU at SunstateAt Sunstate Equipment, we are actively fostering a workplace culture where individuals of all identities and life experiences feel genuinely valued, respected, and appreciated. As a proud equal-opportunity employer, we wholeheartedly welcome candidates from diverse backgrounds and cultures. We recognize and celebrate the unique perspectives they bring, with the understanding that they are the fuel for the innovative ideas that drive the evolution of our industrySunstate Equipment Co. is an Equal Opportunity EmployerA Drug Free Workplace and Participates in E-Verify
","
          85 applicants
        ",Mid-Senior level,Full-time,Information Technology,Construction
Data Engineer,TalentAmp,Greater Phoenix Area,2024-04-15,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-talentamp-3901077859?position=6&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=J1Z5U0m9TaK%2BylLcxsC3Qg%3D%3D&trk=public_jobs_jserp-result_search-card,"
TalentAmp is currently looking for Data Engineer II for one of our clients in Phoenix area. You will work in close collaboration with operations, subject matter experts, data scientists, and software engineers to develop advanced, highly automated data products. You will be a champion of DataOps, and agile practices; actively participating in project teams to drive value.Lead cross-functional teams for innovative analytic solutions.Design and review diverse data pipelines, mentoring junior members.Provide thought leadership and actively engage in R&D initiatives.Utilize cloud technologies and DevOps/DataOps best practices for high-quality code.Identify and implement code optimization opportunities, leveraging external expertise.Seek new opportunities for skill enhancement and research latest technologies.Requirements:Bachelor’s degree in engineering, computer science, analytical field (Statistics, Mathematics, etc.) or related discipline with five (5) years of relevant work experience, orMaster’s in engineering, computer science, analytical field (Statistics, Mathematics, etc.) or related discipline with three (3) years of relevant work experience, orPh.D. in engineering, computer science, analytical field (Statistics, Mathematics, etc.) or related discipline with one (1) year of relevant work experience.Strong experience in at least three areas:Knowledgeable Practitioner of SQL development with experience designing high-quality, production SQL codebases.Knowledgeable Practitioner of Python development with experience designing high-quality, production Python codebases.Knowledgeable Practitioner in data engineering, software engineering, and ML systems architecture.Knowledgeable Practitioner of data modeling.Experience applying software development best practices in data engineering projects, including Version Control, P.R. Based Development, Schema Change Control, CI/CD, Deployment Automation, Test-Driven Development/Test Automation, Shift left on Security, Loosely Coupled Architectures, Monitoring, Proactive Notifications using Python and SQL.Data science experience wrangling data, model selection, model training, modeling validation, e.g., Operational Readiness Evaluator and Model Development and Assessment Framework, and deployment at scale.If you meet these qualifications and are interested in this opportunity, please apply with your updated resume.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,"Oil, Gas, and Mining"
Data Engineer with SQL,"Triunity Software, Inc.","Phoenix, AZ",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/data-engineer-with-sql-at-triunity-software-inc-3904931119?position=7&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=V2QSeYcGgr%2B4mdA4TDLKQA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Location: Phoenix, AZDuration: 18 monthsExperience: 8 to 9 yearsJob Skills:Advanced SQL Proficiency: They should have a strong command of SQL to query, manipulate, and join datasets efficiently. This skill is crucial for unifying the current contact data with 3rd party vendor data.Data Validation: Ability to clean and standardize data, identify duplicates, and resolve inconsistencies is crucial for maintaining data quality.Problem-Solving Skills: Strong problem-solving skills are necessary for optimizing processes and resolving technical challenges encountered during the project.Data Skills: Investigate data problems and perform deep-dive analyses. Ability to identify trends and interpret data. Should be able to summarize their findings in simple yet consumable structure (via slides/tables).Additional skills required for the technical data analyst:Database Management: Understanding of database management principles, including indexing, performance optimization, and data security, is essential for managing the unified dataset efficiently.Data Integration and ETL (Extract, Transform, Load): Experience with ETL processes is necessary for merging and transforming datasets from various sources. The consultant should be capable of designing and implementing data integration pipelines to enrich existing contact data. (most relevant for TAU expansion)Python Programming: Proficiency in Python is essential for developing scripts and automation tools to streamline the data enrichment process. Knowledge of Regular Expression (Regex) to identify and manipulate text strings such as Job titles, names, and email domains is advantageous.Job Responsibilities:Data Integration and Enrichment: Collaborate with the project team to integrate vendor data with existing contact data using SQL and Python scripts, ensuring accuracy and consistency.Automation Mindset: Partner closely with the Data Engineering team to design an automated solution to refresh data and validate contacts. Integrate error handling, data quality checks, and monitoring mechanisms to ensure accuracy and reliability.Performance Monitoring and Optimization: Monitor the performance of data integration and enrichment processes, identify bottlenecks and drops in coverage.Analysis: Investigate data problems and perform deep-dive analyses to help guide recommendations. This includes having the ability to analyze third-party data against internal data to determine the potential success of data enhancement projects. You must be able to identify areas where data is helpful vs not and be able to summarize trends and the root cause of any issues. Documentation and Reporting: Document processes, methodologies, and solutions. Provide knowledge transfer to enable internal teams to consume data for their analysis & data science models.
","
          38 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer (DE) - US,Zortech Solutions,"Fountain Hills, AZ",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-de-us-at-zortech-solutions-3895339871?position=8&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=46L6xA5u5AJwRAzx1sm1cw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Data Engineer (DE)Location: Scottsdale AZ (day 1 onsite)Duration: FulltimeMust have skill set: Java , Scala , Python, Spark, S3, Glue, RedshiftYou have 6-8 years of relevant software development experience.You have hands-on experience in Java/Scala/Python, Spark, S3, Glue, Redshift. This is critical.Highly analytical and data oriented.Experience in SQL, NoSql DatabaseData masking of on prem PII data.Develop API calls with using secure data transfer.Take standard output data to lower environments for pre prod testing!Enable secured channels for data models and data science activities.Need a solution that can scale to handle millions of data. i.e., masking 10 million records in 15 minsYou have experience with development tools and agile methodologies.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
Data Modeler / Data Engineer,LTIMindtree,"Scottsdale, AZ",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/data-modeler-data-engineer-at-ltimindtree-3910242257?position=9&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=ohSngnTcGLqaYWqyp%2FjLcA%3D%3D&trk=public_jobs_jserp-result_search-card,"
About Us:LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com. Job Title: Senior BI Solution ArchitectWork LocationAustin, TX Job Description:Data Architecture Design: Collaborate with cross-functional teams, including data engineers, data scientists, and business stakeholders, to design and develop a scalable and robust data architecture that meets the organization's analytical needs.Data Modeling: Develop and maintain conceptual, logical, and physical data models that support the integration, transformation, and delivery of data across different systems and platforms.Data Integration: Identify and implement data integration strategies to bring together data from diverse sources, ensuring data consistency, accuracy, and integrity.ETL/ELT Development: Design and develop efficient Extract, Transform, Load (ETL) or Extract, Load, Transform (ELT) processes to transform raw data into meaningful insights. Collaborate with data engineering teams to optimize data pipelines for performance and scalability.Data Visualization: Work closely with business stakeholders to understand their reporting and analytics requirements. Design and develop interactive dashboards, reports, and visualizations using BI tools such as Tableau, Power BI, or QlikView to provide actionable insights.Data Governance: Establish and enforce data governance principles, policies, and standards to ensure data quality, security, and compliance. Define and implement data access controls, data lineage, and data privacy measures.Performance Optimization: Continuously monitor and optimize data processes and performance to ensure efficient data delivery and improved user experience. Identify and resolve bottlenecks or data quality issues.Team Leadership: Provide technical leadership and mentorship to a team of data engineers and analysts. Collaborate with stakeholders to define the team's roadmap, prioritize projects, and ensure timely delivery of high-quality solutions.Self driven and team leaderRequirements:- Bachelor's or Master's degree in Computer Science, Information Systems, or a related field.- Proven experience as a BI Architect or similar role, with a strong background in data analysis, data modeling, data integration, and data visualization.- Solid understanding of data warehousing concepts, including dimensional modeling, vault modeling, star schemas, and data normalization.- Proficiency in SQL, ETL/ELT processes, and data integration tools.- Experience with BI tools such as Tableau and Power BI- Strong analytical and problem-solving skills, with the ability to translate complex business requirements into scalable data solutions.- Knowledge of data governance principles and best practices.- Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) and big data technologies (e.g., Hadoop, Spark) is a plus.- Excellent communication and interpersonal skills, with the ability to collaborate effectively with cross-functional teams and present complex ideas to non-technical stakeholders.Benefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):Benefits and Perks:Medical Plan Covering Medical, Dental, VisionTerm and Long-Term Disability CoveragePlan with Company matchInsuranceTime, Sick Leave, Paid HolidaysPaternity and Maternity LeaveThe range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law. Safe return to office:In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes.
","
            Over 200 applicants
          ",Associate,Full-time,Information Technology,Banking
Data Engineer,FinTech LLC,"Phoenix, AZ",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-fintech-llc-3890825236?position=10&pageNum=0&refId=UmmGsbE%2BfrYqP%2FhwZA7RyQ%3D%3D&trackingId=S30Xj03QbY%2FZLhZIlbiz1g%3D%3D&trk=public_jobs_jserp-result_search-card,"
About Client:The Client is a leading global IT services and consulting company, providing a wide range of services to clients in various industries, including banking, financial services, retail, manufacturing, healthcare, and more. It is one of the largest employers in the IT industry and has a vast and diverse workforce. The company places a strong emphasis on employee training and development. Client is known for its commitment to innovation and invests in research and development to stay at the forefront of technological advancements.It offers a comprehensive set of services, including:IT Services: Application development, maintenance, and testing.Consulting: Business consulting, IT strategy, and digital transformation.Business Process Outsourcing (BPO): Outsourcing of business processes to improve efficiency.Enterprise Solutions: Implementation and support of enterprise-level software solutions. Digital Services: Services related to digital technologies, such as analytics, cloud, and IoT.Salary Range: $125k-$140k per annum + benefitsJob Description:Big Data: Spark , Scala, Pyspark , HDFSMicrosoft Stack: MS-SQL with strong knowledge in RDBMS conceptsScripting Languages: Batch Script, Shell Script, PythonAdditional Skills: Cloudera Data platform (CDP)Agile, Scrum, Jira, Git, SVN, LiquibaseAbout ApTask:ApTask is a leading global provider of workforce solutions and talent acquisition services, dedicated to shaping the future of work. As an African American-owned and Veteran-certified company, ApTask offers a comprehensive suite of services, including staffing and recruitment solutions, managed services, IT consulting, and project management. With a focus on excellence, collaboration, and innovation, ApTask provides unparalleled opportunities for professional growth and development. As a member of the ApTask team, you will have the chance to connect businesses with top-tier professionals, optimize workforce performance, and drive success across diverse industries. Join us at ApTask and be part of our mission to empower organizations to thrive while fostering a diverse and inclusive work environment.Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.Candidate Data Collection Disclaimer:At ApTask, we prioritize safeguarding your privacy. As part of our recruitment process, certain Personally Identifiable Information (PII) may be requested by our clients for verification and application purposes. Rest assured, we strictly adhere to confidentiality standards and comply with all relevant data protection laws. Please note that we only collect the necessary information as specified by each client and do not request sensitive details during the initial stages of recruitment.If you have any concerns or queries about your personal information, please feel free to contact our compliance team at businessexcellence@aptask.com . 
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
