title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Analyst,Ecclesiastes Inc,"Newark, DE",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-ecclesiastes-inc-3909625962?position=1&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=FOo1m%2FuedQLuc8ZIjNDgoA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionPOSITION DUTIES:Analyze user’s data processing needs, manipulate or process large amounts of data using software applications, and convey the results of the data analysis to stakeholders. Position is based out of headquarters in Newark, DE but may be assigned to various unanticipated worksites throughout the US as determined by management.POSITION REQUIREMENTS: Master’s degree (or equivalent) in Computer Science, Math, any Engineering or a related field.HOURS: 40 hours/week; 9:00 a.m. – 5:30 p.m.LOCATION OF EMPLOYMENT: Position is based out of headquarters located at 200 Continental Dr., Suite 401, Newark, DE 19713 but may be assigned to various unanticipated worksites throughout the US as determined by management.CONTACT: To apply, please mail resume and cover letter referencing the ‘Data Analyst’ position to Venkat Manda, HR Coordinator, Ecclesiastes, Inc., 200 Continental Dr., Suite 401, Newark, DE 19713.
        ","
            Over 200 applicants
          ",Entry level,Part-time,Information Technology,IT Services and IT Consulting
Big Data Developer,LTIMindtree,"New Castle, DE",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/big-data-developer-at-ltimindtree-3876200293?position=2&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=xxbHOVx%2FN25x1WxJcNvjNg%3D%3D&trk=public_jobs_jserp-result_search-card,"
About Us:LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree a Larsen & Toubro Group company combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit .Job Title: Big data DeveloperLocation: New Castle,DEEmployment Types: Only FulltimePrimary Skill : Scala and Spark (no need of python)Skill - Big Data, Spark, SQL, parkStreaming-Kafka-Python / Scala / JavaMandatory Certification (any one from below list):Cloudera - CCA Spark and Hadoop Developer (CCA175)Databricks Certified Developer: Apache Spark 2.XHortonworks - HDP Certified Apache Spark Developer Job Description :Experience in Scala programming languagesExperience in Big Data technologies including Spark, Scala and KafkaYou have a good understanding of organizational strategy, architecture patterns (Microservices, Event Driven) and technology choices and coaching the team in execution in alignment to these guidelines.You can apply organizational technology patterns effectively in projects and make recommendations on alternate options.You have hands-on experience working with large volumes of data including different patterns of data ingestion, processing (batch & real-time), movement, storage and access (for both internal and external to BU) and ability to make independent decisions within scope of project.You have a good understanding of data structures and algorithms.You can test, debug, and fix issues within established SLAs.You can design software that is easily testable and observable.You understand how team&#39;s goals fit a business need.You can identify business problems at the project level and provide solutions.You understand data access patterns, streaming technology, data validation, data performance, cost optimization.Strong SQL skillsETL - TalenD preferred / Any other ETL toolExperience with Linux OS (user level)Python or R programming skills - good to have but not mandatoryBenefits/perks listed below may vary depending on the nature of your employment with LTIMindtree ( LTIM ):Benefits and Perks:Comprehensive Medical Plan Covering Medical, Dental, VisionShort Term and Long-Term Disability Coverage401(k) Plan with Company matchLife InsuranceVacation Time, Sick Leave, Paid HolidaysPaid Paternity and Maternity LeaveThe range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting
","
          199 applicants
        ",Mid-Senior level,Full-time,Business Development,IT Services and IT Consulting
Data Engineer,FinTech LLC,"Wilmington, DE",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-fintech-llc-3901963498?position=3&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=xZmXISDAU9mAJdNMDJbQSA%3D%3D&trk=public_jobs_jserp-result_search-card,"
About Client:The client provides information technology (IT) services, including business outsourcing, infrastructure technology, and application services. The application service offered by the company includes application development, maintenance, and support. The markets served by the company are financial services and insurance, healthcare, manufacturing, government, transportation, communications, and consumer and retail industries.Rate Range: $70-$75/HrJob Description:ResponsibilitiesExecutes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build solutions or break down technical problemsDevelops secure high-quality production code, and reviews and debugs code written by othersIdentifies opportunities to eliminate or automate remediation of recurring issues to improve overall operational stability of software applications and systemsProduces architecture and design artifacts for complex applications while being accountable for ensuring design constraints are met by software code developmentGathers, analyzes, synthesizes, and develops visualizations and reporting from large, diverse data sets in service of continuous improvement of software applications and systems.Design and develop data pipelines to ingest, store, and process data from multiple sourcesProactively identifies hidden problems and patterns in data and uses these insights to drive improvements to coding hygiene and system architecture.Contributes to software engineering communities of practice and events that explore new and emerging technologiesAdds to team culture of diversity, equity, inclusion, and respectRequired qualifications, capabilities, and skills:Formal training or certification on data engineering concepts and 3+ years of applied experiencePractical Experience in one or more programming language(s), such as Python, JavaExperience with SQL-based technologies (e.g., MySQL/ Oracle DB)Hands-on practical experience delivering data pipelinesProficient in all aspects of the Software Development Life CycleUnderstanding of agile methodologies such as CI/CD, Applicant Resiliency, and SecurityDemonstrated proficiency and experience with cloud-native distributed systemsAbility to develop reports, dashboards, and processes to continuously monitor data quality and integrityExperience in developing, debugging, and maintaining code in a large corporate environment with one or more modern programming languages and database querying languagesExperience with statistical data analysis and ability to determine appropriate tools and data patterns to perform analysisDemonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning, mobile, etc.)Working knowledge of bitbucket and JIRAAbout ApTask:ApTask is a leading global provider of workforce solutions and talent acquisition services, dedicated to shaping the future of work. As an African American-owned and Veteran-certified company, ApTask offers a comprehensive suite of services, including staffing and recruitment solutions, managed services, IT consulting, and project management. With a focus on excellence, collaboration, and innovation, ApTask provides unparalleled opportunities for professional growth and development. As a member of the ApTask team, you will have the chance to connect businesses with top-tier professionals, optimize workforce performance, and drive success across diverse industries. Join us at ApTask and be part of our mission to empower organizations to thrive while fostering a diverse and inclusive work environment.Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.Candidate Data Collection Disclaimer:At ApTask, we prioritize safeguarding your privacy. As part of our recruitment process, certain Personally Identifiable Information (PII) may be requested by our clients for verification and application purposes. Rest assured, we strictly adhere to confidentiality standards and comply with all relevant data protection laws. Please note that we only collect the necessary information as specified by each client and do not request sensitive details during the initial stages of recruitment.If you have any concerns or queries about your personal information, please feel free to contact our compliance team at businessexcellence@aptask.com . 
","
            Over 200 applicants
          ",Entry level,Contract,Information Technology,IT Services and IT Consulting
Sr Big Data Developer,LTIMindtree,"New Castle, DE",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/sr-big-data-developer-at-ltimindtree-3907688181?position=4&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=n6lM93py%2BshBB5lyZXmRaA%3D%3D&trk=public_jobs_jserp-result_search-card,"
About Us:LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.Big Data Developer Location: New Castle, Delaware  Job Description :Experience in Scala programming languagesExperience in Big Data technologies including Spark, Scala and KafkaYou have a good understanding of organizational strategy, architecture patterns (Microservices, Event Driven) and technology choices and coaching the team in execution in alignment to these guidelines.You can apply organizational technology patterns effectively in projects and make recommendations on alternate options.You have hands-on experience working with large volumes of data including different patterns of data ingestion, processing (batch & real-time), movement, storage and access (for both internal and external to BU) and ability to make independent decisions within scope of project.You have a good understanding of data structures and algorithms.You can test, debug, and fix issues within established SLAs.You can design software that is easily testable and observable.You understand how team's goals fit a business need.You can identify business problems at the project level and provide solutions.You understand data access patterns, streaming technology, data validation, data performance, cost optimization.Strong SQL skillsETL - TalenD preferred / Any other ETL toolExperience with Linux OS (user level)Python or R programming skills - good to have but not mandatoryBenefits/perks listed below may vary depending on the nature of your employment with LTIMindtree Canada (“LTIMC”):Benefits and Perks:Comprehensive Medical Plan Covering Medical, Dental, VisionHealth Care Spending AccountShort Term and Long-Term Disability CoverageLife InsuranceAnnual vacation and other Paid LeavesMaternity Leave Top Up PayThe range displayed on each job posting reflects the minimum and maximum salary target for the position across all Canada locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law. Safe return to office:In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes.
","
          113 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Software Engineer,Randstad Digital,"Newark, DE",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-randstad-digital-3905564829?position=5&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=AB8QP1ybRkzhaNd2XEZv%2Fg%3D%3D&trk=public_jobs_jserp-result_search-card,"
2 Interviews- 1st is a webex.2nd a mandatory in-person. The ideal candidate will have Fullstack experience, but especially strong Backend expertise. A small portion of the job will require UI knowledge.Primary Skill:Core JavaSecondary Skill:Spring bootTertiary Skill:JavaScriptRequired Skills:Java/J2EEObject Oriented design and ProgrammingSpring (Spring batch or Spring integration and Spring boot is a plus)At least one ORM/Persistence Framework: iBatis/MyBatis, Hibernate, JPASOA, REST/SOAP Web Services, Micro Services CXF, JAXWS/JAXRS, JSON, XMLSource Control: Bit Bucket, Subversion (SVN), Perforce, or similarMaven, test Driven development (TDD) and continuous integration (CI), JUnit, MockitoIDE: Eclipse, RAD, or otherAt least one RDMS and SQL: Oracle, Sybase, SQL ServerAgile/Iterative development and full SDLC developmentAt least one RIA Framework: jQuery, Angular, YUI, Ext JS, DOJO, Vue.jsFront-end web development with JavaScript, HTML/HTML5, CSS, Ajax, SASSDesired Skills:Cassandra, Cockroach DB, Hadoop, Kafka, MQ
","
          168 applicants
        ",Mid-Senior level,Contract,Engineering,Financial Services
Analytics Engineer,Biden for President,"Wilmington, DE",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/analytics-engineer-at-biden-for-president-3884468383?position=6&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=bfmBnGeIDU2fGuhGJmzzIg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Biden For President Campaign is seeking an Analytics Engineer to join the Analytics team. The Analytics Engineer will develop and maintain infrastructure to support the campaign's fundraising programs, and work collaboratively with data practitioners and engineers. We are looking for folks with a variety of backgrounds and experience, and are dedicated to building a team that looks like America.Key ResponsibilitesActively develop and maintain data pipelines and workflows to deliver analysis and program guidance, and to intake campaign fundraising data for analysis. Manage ETL/data cleaning, data movement, and data infrastructure for data from a variety of external sources. Work closely with analysts to build and optimize data structures for targeting, analysis and reporting. Other engineering tasks in support of the analytics teamPreferred Skills & Qualifications1-2+ years of experience as a data engineer, engineering-focused analyst, or database administrator1-2+ years using SQL, Python, and other scripting languages professionally Experience deploying or monitoring data pipelines Strong organizational skills and attention to detailA desire to thrive in a fast-paced work environment and implement creative solutions to unique problemsAdditional Useful Skills & QualificationsExperience using dbt GCP experience (in particular BigQuery, Google Cloud Storage)Experience with marketing, political fundraising, digital analytics, or business analyticsExperience volunteering or working on a political campaign data team or with the Voter FileBiden for President requires all employees to be ""up to date"" on COVID-19 vaccination status as prescribed by the CDC as a condition of employment, unless otherwise prohibited by applicable law. If you seek a reasonable accommodation in relation to the campaign's COVID-19 policy, you should speak to the HR Department prior to reporting to an office location.Biden for President is committed to diversity among its staff, and recognizes that its continued success requires the highest commitment to obtaining and retaining a diverse staff that provides the best quality services to supporters and constituents. The campaign is an equal opportunity employer and it is our policy to recruit, hire, train, promote and administer any and all personnel actions without regard to sex, race, age, color, creed, national origin, religion, economic status, sexual orientation, veteran status, gender identity or expression, ethnic identity or disability, or any other legally protected basis. The campaign is committed to providing reasonable accommodations to individuals with disabilities in the hiring process and on the job, as required by applicable law. The campaign will not tolerate any unlawful discrimination and any such conduct is strictly prohibited.All information provided to Biden for President must be accurate and truthful. In the event that any information on your resume or related materials are found to be untruthful, the campaign reserves the right to disregard applications or take immediate disciplinary action, up to and including termination, and also reserves the right to take legal action for related damages.Accessibility Note: We invite all interested and qualified candidates to apply for employment opportunities. If you require any accommodation in the application process, you may request a reasonable accommodation.
        ","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Information Technology,Political Organizations
Paid Media Data Engineer,Biden for President,"Wilmington, DE",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/paid-media-data-engineer-at-biden-for-president-3898191575?position=7&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=j8vRNR9L0vlH%2BOK8IqgK9A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Biden For President Campaign is seeking a Data Engineer to join the Analytics team. The Data Engineer will develop and maintain infrastructure to support the campaign's digital media buying efforts and program, and work collaboratively with data practitioners, engineers, and the Paid Digital team. We are looking for folks with a variety of backgrounds and experience, and are dedicated to building a team that looks like America.Key ResponsibilitesActively develop and maintain data pipelines and workflows to deliver universes and targeting guidance, and to intake campaign and paid media competitive data for analysis. Manage ETL/data cleaning, data movement, and data infrastructure for data from a variety of paid digital external sources. Work closely with analysts to build and optimize data structures for targeting, analysis and reporting including unified naming conventions across platforms, placements, creatives, and agencies. Build and maintain a central data model for paid media reservations, ad buys, and returnsPreferred Skills & Qualifications1-2+ years of experience as a data engineer, engineering-focused analyst, or database administrator1-2+ years using SQL, Python, and other scripting languages professionally Experience deploying or monitoring data pipelines Strong organizational skills and attention to detailA desire to thrive in a fast-paced work environment and implement creative solutions to unique problemsGeneral understanding of paid media program, digital platforms, and audiencesBiden for President requires all employees to be ""up to date"" on COVID-19 vaccination status as prescribed by the CDC as a condition of employment, unless otherwise prohibited by applicable law. If you seek a reasonable accommodation in relation to the campaign's COVID-19 policy, you should speak to the HR Department prior to reporting to an office location.Biden for President is committed to diversity among its staff, and recognizes that its continued success requires the highest commitment to obtaining and retaining a diverse staff that provides the best quality services to supporters and constituents. The campaign is an equal opportunity employer and it is our policy to recruit, hire, train, promote and administer any and all personnel actions without regard to sex, race, age, color, creed, national origin, religion, economic status, sexual orientation, veteran status, gender identity or expression, ethnic identity or disability, or any other legally protected basis. The campaign is committed to providing reasonable accommodations to individuals with disabilities in the hiring process and on the job, as required by applicable law. The campaign will not tolerate any unlawful discrimination and any such conduct is strictly prohibited.All information provided to Biden for President must be accurate and truthful. In the event that any information on your resume or related materials are found to be untruthful, the campaign reserves the right to disregard applications or take immediate disciplinary action, up to and including termination, and also reserves the right to take legal action for related damages.Accessibility Note: We invite all interested and qualified candidates to apply for employment opportunities. If you require any accommodation in the application process, you may request a reasonable accommodation.Biden for President believes in the importance of privacy for all individuals and is committed to handling personal data responsibly and securely. This means being thoughtful about the data you share with us, how we use it, and how we protect it.
        ","
          25 applicants
        ",Not Applicable,Full-time,Information Technology,Political Organizations
Associate Data Engineer,Harris Computer,"Delaware, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909358103?position=8&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=vDYrcXW9C2TBmxzRibeuuA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Data Engineer II - Automation & Analytics,Bank of America,"Wilmington, DE",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/data-engineer-ii-automation-analytics-at-bank-of-america-3906891884?position=9&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=n81nJ9vx2KphhY54bwDPkQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description:ResponsibilitiesIndependently develop automated testing solutions using a variety of technologies (SQL, Alteryx, SAS, Python, Tableau, etc.) Responsible for multiple projects simultaneously.Utilizes sound, seasoned analytical skills and possesses product, business, and technical expertise to execute assigned responsibilities.Coordinates, schedules, scopes, and leads automation activities on audits (incl. large, cross-functional reviews).Leads data analysis of control deficiencies to drive actionable business impact, influences management on sufficiency of correctives actions, recommends audit rating.Implements risk-based audit strategy. Exercises judgment and critical thinking to influence business partners.Identifies control trends through data analysis in assigned business areas as well as assessing impact to the business and to the Bank overall by applying deep and broad business acumen.Coaches/trains team in execution of automation activities to support the audit plan. Follow the lifecycle of our internal system for automation activities and ensure its data accuracy and completeness.Ensure timely delivery of automation activities as per the point-in-time audit and issue validation timelines.Required Skills And ExperienceBachelor’s degree in Computer Science, Information Systems (IS), Accounting, Finance or similar3 years minimum experience with Data Analytics, Audit, Risk or other relevant experienceAbility to analyze and interpret data through SQL queries.Skilled in the use of data wrangling and visualization tools such as Toad, Alteryx and Tableau. Proven experience coordinating multiple projects/assignments simultaneously under minimal supervision and completing assigned tasks accurately and on a timely basis.Must demonstrate strong attention to detail with excellent organization skills.Excellent Communication skills (verbal and written)Desired Skills And ExperienceAdvance SQL writing abilitiesExperience with PythonUnderstanding of Data Integration/ETL tools. Familiarity with DataRobot, Instabase, and UIPath are a plus.AML Audit experienceShift:1st shift (United States of America)Hours Per Week: 40
        ","
          79 applicants
        ",Entry level,Full-time,Information Technology,Banking
"Full Time Job Opportuity - Sr Python Developer / Data Engineer - Wilmington, DE (Onsite)","Donato Technologies, Inc.","Wilmington, DE",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/full-time-job-opportuity-sr-python-developer-data-engineer-wilmington-de-onsite-at-donato-technologies-inc-3888440400?position=10&pageNum=0&refId=TBWoaptK3vNr8kflPf%2B1YA%3D%3D&trackingId=%2BX5gRqJY1jjOaqN7N60OXQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Title: Sr. Python Developer / Data EngineerLocation: Wilmington, DE Only Local and nearby candidate as this is Onsite from Day 1Duration: Long Term (Full Time or contract W2, anything is fine)Experience Level 10+ yearsJob Description5+ years of professional work experience designing and implementing data pipelines in a cloud environment is required.2+ years of experience migrating/developing data solutions in the AWS cloud is required.1+ years of experience building/implementing data pipelines using Databricks or similar cloud database.Expert level knowledge of using SQL to write complex, highly optimized queries across large volumes of data.Hands-on object-oriented programming experience using Python is required.Professional work experience building real-time data streams using Spark and Experience in Spark.Knowledge or experience in architectural best practices in building data lakesSubmission DetailsCandidate Full NamePhoneEmail IDRateYears of experienceTotal experience in USEducation ( list both master's & bachelor's with year of passing & university name)Visa StatusCurrent employer name (who holds H1)LinkedIn Profile: MustCurrent LocationLast project locationWilling to relocateAvailability to start on the projectNext 3 days availability for Technical Screening (WebEx/Skype)If Visa candidate, when did she/he came to USIf Visa candidate What was visa on arrival
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
