title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,Micron Technology,"Boise, ID",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-micron-technology-3891954438?position=1&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=u29D1StCCWwQWrzYTHzaug%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our vision is to transform how the world uses information to enrich life for all. Micron Technology is a world leader in innovating memory and storage solutions that accelerate the transformation of information into intelligence, inspiring the world to learn, communicate and advance faster than ever.Our Opportunity SummaryAs a Data Engineer at Micron Technology Inc., you will be a key member of a multi-functional team responsible for developing and growing Micron’s methods and systems for extracting new insight for our expanding data streams. You will be collaborating with data scientists, engineers, technicians and data mining teams to design and implement systems to extract data from Micron’s business systems, transforming it into an actionable format, and as needed, creating multifaceted presentation layers for use by high-level engineers and managers throughout the company. You will be creating new solutions, as well as, supporting, configuring, and improving existing solutions.What’s Encouraged DailyBuild and maintain data/solution pipelines. Work in a technical team through development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics using machine learning and artificial intelligence. Design and optimize data structures in data management systems (Snowflake, GCP, HANA) to enable reporting analytics using Tableau/Power BI as well as AI/ML solutions. Determine transformation requirements and develop processes to bring structured and unstructured data from the source to a new physical Data Model Build custom software components and analytics applications. Work with Data Scientists to implement strategies for cleaning and preparing data for analysis, to develop data imputation algorithms, and optimize performance of big data and machine learning systems. How To QualifyTechnical Degree required. B.S or M.S in Computer Science, Business Analytics, Engineering Understanding of Data Engineering/processing, Business Intelligence and Advanced analytics 8+ years of strong working knowledge of databases (Snowflake, BigQuery, MS-SQL, SAP HANA)    5+ years building scalable ETL pipelines with big data processing and/or developing applications and data sources (Apache Ni-Fi, Airflow, SSIS) Familiarity with SAP, Blue Yonder, Rapid Response or Teamcenter strongly encouraged. Familiarity with software architecture (data structures, data schemas, etc.) Software development skills and knowledge in Cloud based data engineering. Strong scripting and programming skills (SQL, Python, Java) Knowledge in building APIs for application integration Experience with various frameworks and processes, such as Agile Outstanding analytical thinking, interpersonal, oral, and written communication skills.  Proficiency in the Microsoft Office suite   Ability to prioritize and meet critical project timelines in a fast-paced environment. Self-motivated and team-oriented What Sets You ApartExperience with continuous integration/continuous delivery (CI/CD) tools (Jenkins, Git, Docker, Kubernetes Deep knowledge of math, probability, statistics, and algorithms. Strong business domain knowledge in the areas of Sales, Finance, Supply Chain or Product Lifecycle Management. As a world leader in the semiconductor industry, Micron is dedicated to your personal wellbeing and professional growth. Micron benefits are designed to help you stay well, provide peace of mind and help you prepare for the future. We offer a choice of medical, dental and vision plans in all locations enabling team members to select the plans that best meet their family healthcare needs and budget. Micron also provides benefit programs that help protect your income if you are unable to work due to illness or injury, and paid family leave. Additionally, Micron benefits include a robust paid time-off program and paid holidays. For additional information regarding the Benefit programs available, please see the Benefits Guide posted on micron.com/careers/benefits.Micron is proud to be an equal opportunity workplace and is an affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, national origin, citizenship status, disability, protected veteran status, gender identity or any other factor protected by applicable federal, state, or local laws.To learn about your right to work click here.To learn more about Micron, please visit micron.com/careersFor US Sites Only: To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s People Organization at hrsupport_na@micron.com or 1-800-336-8918 (select option #3)Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.
","
            Over 200 applicants
          ",Entry level,Full-time,Other,"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing"
Associate Data Engineer,Harris Computer,"Idaho, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909357266?position=2&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=eOG47Db%2B7kP6eYsxwmB5QA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Data Analyst,Software Technology Inc.,"Garden City, ID",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-software-technology-inc-3888425425?position=3&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=vwaZzMDSpSznnf0DsIjxxw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title:ID - DOPL - Data AnalystLocation: Boise, ID Fully ONSITE Position***DescriptionDOPL needs a Data Analyst to assist with the validation of data in the migration of legacy transaction and documentation data from eleven (11) existing systems into one. In addition, the new consolidated data will form a new historical data set for DOPL in the event not all data is migrated into the new license system.DOPL is implementing an enterprise Licensing Information System (LIS) and is required to migrate both application transaction data (OLTP) and business document content from 11 legacy systems. DOPL is seeking a qualified Data Analyst to work within a cross-functional team that includes IT Staff, a Data Architect, Project Coordinators, and Business Users. This individual will play a key role in the identification, transformation, loading and testing of legacy data during the LIS system implementation phase. The ideal candidate will have experience in data validation, data analysis, business systems analysis, requirement documentation, testing, and effectively working with business stakeholders.ResponsibilitiesValidation of all data being moved from original systems into new systemWorking with business stakeholders to observe processing and capture data requirements.Analyzing legacy databases and identifying application data for migration.Documenting key data entities and attributes in legacy database systems.Working with data migration team to test ETL software and loads.Working with system integrator to ensure data loads are complete and accurate.Thanks,N.TEJASWINI NAIDUTechnical recruiterDirect:404-777-9838 | Fax: 866-608-6686Email: tejaswini.n@stiorg.com | Web: www.stiorg.com100 Overlook Center, Suite 200Princeton, NJ 08540.
        ","
          114 applicants
        ",Entry level,Full-time,Other,IT Services and IT Consulting
System Engineer,Cypress HCM,"Nampa, ID",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/system-engineer-at-cypress-hcm-3868023753?position=4&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=pEHMGVtKAQIOU0kWSyzv5A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Robotic Systems Engineer This exciting role will be responsible for programming robotic systems, PLCs, cameras, and HMI efficiently and safely. A solid understanding of robotics programming and system integration will be needed to be successful in this role. They are headquartered in the Nampa, ID area. The company is a leading designer of automated solutions in the building component industry. If you are an individual who is extremely passionate about robotics, enjoys programming, and loves solving engineering problems, this role could be for you! Responsibilities:Integrate hardware and control systems to create comprehensive robotic automation solutions.Develop and test scalable PLC and robot code for automation systems.Develop offline simulations of robotic systems, including robot reach studies.Create and update HMI screens.Support and update programming templates.Collaborate with other engineering teams to ensure the entire system functions properly together.Provide technical support for systems, both remote and in-person.Stay aware of industry trends and contribute to innovation within the company solutions.Ability to travel to customer sites up to 25% of the time.Qualifications:Bachelor's degree in engineering or equivalent industry experience.3+ years of experience in a systems engineering position with robot, PLC, and vision programming.Experience with automation and manufacturing preferred.Experience with industrial machines including the integration of electro-mechanical or pneumatic motion and robotics.Detailed understanding of ABB RobotStudio, B&R Automation Studio, Beckhoff TwinCAT, and Cognex in-Sight software is strongly preferred.Experience programming PLCs with Structured Text and ABB robots with RAPID is strongly preferred,Experience using industrial communication protocols, preferably EtherNet/IP, Powerlink, EtherCAT, TCP/IP, and OPC UA.Proficiency with git or similar version controls systems is preferred.Knowledge of industrial robotics, controls, and safety standards (ANSI, RIA, ISO) preferred.Strong analytical and problem-solving skills.Ability to problem-solve and troubleshoot industrial equipment.Salary Range:$85,000-115,000 depending on experience.
","
          79 applicants
        ",Mid-Senior level,Full-time,"Engineering, Manufacturing, and Human Resources","Industrial Machinery Manufacturing, Automation Machinery Manufacturing, and Robotics Engineering"
System & infrastructure engineer,Software Technology Inc.,"Boise, ID",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/system-infrastructure-engineer-at-software-technology-inc-3888424739?position=5&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=eNqcH49au5YkH6F2iojMYw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello,This is Tejaswini from Software Technologies Inc. We have a job opening with our client for position of IT SYSTEMS AND INFRASTRUCTURE ENGINEER if you are available and looking for any new opportunities, please send me your updated resume for below position ASAP.Job Title: IT Systems & Infrastructure EngineerLocation:317 W Main St Boise, ID 83735 ONSITE POSITIONDescriptionFull-time professional work experience in Network Communication, Network Design and/or Configuration Management. This is an ONSITE position.Important Notes About This Position1 - This is an ONSITE position. Candidates should be local to the Boise location as they will be required to be onsite for the role.2 - The initial duration budgeted for the position is 6-months, with high likelihood of longer-term extension for a strong resource.Core Areas of ResponsibilitiesJuniper switches and routersMust have deep technical ability to configure and maintain Junos OS in a LAN/WAN environment. Additional experience with Juniper Mist for wireless operations would be a huge plusCisco Identity Service Engine (ISE)Must have deep technical knowledge of configuring and maintaining Cisco ISE.Must have experience with 802.1x authenticationMust have experience troubleshooting policy configuration between Cisco ISE and Junos OSPalo Alto FirewallMust have advanced working knowledge of configuring and maintaining PAN-OS.Must have experience with Global Protect VPN.F5 load balancer experience, while not required, is very highly desired in this role, as well.Example of DutiesConducts complete diagnosis of most technology problems, factoring in an understanding of the technical architecture;Planning, installing, and maintaining IDOL's high-availability (HA) network infrastructure. Working with the core infrastructure components such as: Firewalls, Load Balancers, Switches, and Routers, Wireless, and VPN.Anticipates implementation obstacles and develops plans to address them;Analyzes cross-technology and cross-platform issues;Provides input into the technology plan for the organization and ensures that plans are integrated effectively with other aspects of the technical infrastructure;Assist in developing and implementing standards for network traffic monitoring and alerting.Minimum QualificationsConsiderable knowledge of current information technology trends and capabilities.Experience planning, installing, maintaining, troubleshooting network, server or storage systems;Experience resolving network or server problems;Experience as a technical lead implementing or supporting network, server or storage systems.Thanks,N.TEJASWINI NAIDUTechnical recruiterDirect:404-777-9838 | Fax: 866-608-6686Email: tejaswini.n@stiorg.com | Web: www.stiorg.com100 Overlook Center, Suite 200Princeton, NJ 08540.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
IT Software Engineer III,State of Idaho,"Boise, ID",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/it-software-engineer-iii-at-state-of-idaho-3910356334?position=6&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=4rJ%2FJlEo4cV7aLNlk3ZkDA%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionIdaho Department of Fish and Game OpportunityPlease Note: This job announcement will remain open until the position has been filled. Applications will be periodically reviewed as they are received. Applicants are encouraged to apply and submit their applications as soon as possible.The Idaho Department of Fish and Game (IDFG) seeks a Software Engineer III to join the Idaho Fish and Wildlife Information System (IFWIS) team at the headquarters office in Boise, Idaho. The IFWIS team is an interdisciplinary group of developers, GIS analysts, and data coordinators that work behind the scenes to turn data into information and create digital solutions to further IDFG's mission to protect, preserve, perpetuate, and manage Idaho's wildlife resources.The successful Software Engineer III will be an accomplished information technology professional actively contributing to product delivery and support of enterprise solutions at one of the premier natural resource agencies in the country. Primary responsibilities include providing technical leadership in the design, development, and installation of enterprise-class information systems; participating in an agile product delivery framework focused on delivering business value for stakeholders; and ensuring robust operational support mechanisms are developed and maintained to ensure organizational success. IDFG provides staff with unique opportunities for in-the-field collaboration with Fish & Game professionals to solve complex conservation and research challenges to preserve natural resource opportunities for future generations.Why IDFG?We are a premier natural resource agency dedicated to preserving, protecting, perpetuating, and managing Idaho's fish and wildlife for this great state. We are committed to creativity, innovation, and excellence as we cultivate opportunities for our customers to engage with our natural resources and become resource stewards for future generations. We are highly dedicated to our mission, committed to our team, and we know how to balance work/life commitments while loving the work we do.What We OfferExcellentmedical, dental, and vision insurance-employee only coverage for PPO $65/month for medical and vision & $11.80/month for dentalParticipation in one of theNation's best state retirement systemsGenerous vacation and sick leave accrual that begins as soon as you startEleven paid holidays in a yearEight weeks of Paid Parental LeaveMultiple saving plans-optional 401k and 457 plansGroup Life Insurance/Disability Insurance/Supplemental Life Insurance- state provided basic life insurance coverage and affordable supplemental plansPublic Sector Student Loan Forgiveness(eligibility requirements may apply)Employee Assistance Program- confidential support, information, and resources for all of life's challengesStateand Department Wellness ProgramsOngoing training opportunitiesPotential flexible work scheduleResponsibilitiesThe successful candidate will be an active participant in both product delivery and operational support functions within the IFWIS team. Responsibilities include the analysis, design, development, testing, installation, and maintenance of information systems. The incumbent will be a member of the Idaho Fish and Wildlife Information System (IFWIS) Program at our Headquarters office in Boise and work closely with all business units locally and across the state. There will be opportunities to accompany IDFG biologists into the field on a variety of conservation and research tasks to learn first-hand how data is collected and used to inform management decisions.Product Delivery – Incumbents are required to utilize agile development practices to translate business and technical requirements into well-engineered, tested, and deployed databases, applications, and services. Incumbents interface with customers and other developers to determine the most efficient and cost-effective approach to meet business requirements while adhering to enterprise policies, procedures, and standards. The candidate will be expected to design and develop intuitive applications, databases, and RESTful services consistent with the IFWIS environment.Operational Support – Incumbents are required to support and maintain current and future IFWIS systems in accordance with industry standards to maximize operational effectiveness, minimize institutional risks, and maintain information integrity. IFWIS service requests from IDFG staff will be prioritized and resolved based on agency goals and objectives. Software design issues, bugs and data errors of operational systems will be addressed parallel to product delivery activities for projects.Minimum Qualifications: (These qualifications are required.)Considerable knowledge of data architecture, software architecture, common software design patterns, development and testing practices (Typically gained by Bachelor's degree in an information technology discipline or equivalent from an accredited college AND at least two years of work experience using data architecture, software architecture, common software design patterns, development, and testing practices OR a master's degree in an information technology discipline or equivalent from an accredited college OR at least five years of work experience using data architecture, software architecture, common software design patterns, development, and testing practices.)Considerable knowledge of programming languages and software development tool suites. (Typically gained by at least one course of classroom instruction at an accredited college or vocational-tech level directly related to least one programming language and software development tool suites and at least 18 months of work experience using programming languages and software development tools OR at least two years of work experience using programming languages and software development tools.)Experience creating, interpreting and documenting user requirements (Typically gained by at least two years of work experience on more than one development project.Experience analyzing development solutions to show costs and benefits. (Typically gained by at least two years of work experience analyzing development solutions to show costs and benefits.) Experience coding, testing and deploying production systems. (Typically gained by at least two years of work experience testing and deploying production systems.)Experience establishing and defining architecture and development standards. (Typically gained by at least two years of work experience establishing and defining architecture and development standards.)The ideal candidate will be:(Note: These qualifications are not required, however if you have relevant education or experience in the areas listed under the ideal candidate, please be sure to included it within your application material that you submit. Candidates with this education or experience may be given additional consideration during the interview process.)An effective communicator that focuses on providing business value through information systems.An adaptable team player that brings complimentary knowledge and experience to a group committed to continuous improvement.A capable software developer with considerable experience in web technologies supporting data-driven user experiences.A solution designer that is well-versed in the development of intuitive, data-intensive display and collection systems.Proficient with HTML, CSS, JavaScript, Node.js with Express, React, Containers, Docker, Kubernetes, Linux OS, Windows Server OS, MS SQL Server, Azure DevOps (boards, repos, pipelines, test plans, etc.) and related technologies.Have experience with content management systems.Have experience with identity and access management systems.Have experience with Geographic Information Systems.To learn more about the Idaho Department of Fish and Game, please see the following:(Video) Idaho Fish and Game - We Make It Happen Thank you for applying with us!Contact InformationIdaho Department of Fish and GameP.O. Box 25 Boise, Idaho83707Websitehttps://idfg.idaho.gov/If you have questions,Emailplease contact us at:idfgjob@idfg.idaho.govPhone(208) 334-3773EEO/ADA/VeteranThe State of Idaho is committed to providing equal employment opportunities and prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities and prohibit discrimination against all individuals based on their race, color, religion, political affiliation or belief, sex, national origin, genetics, or any other status protected under applicable federal, state, or local laws.The State of Idaho is committed to access and reasonable accommodations for individuals with disabilities, auxiliary aids and services are available upon request. If you require an accommodation at any step in our recruitment process, you are encouraged to contact (208) 334-2263 (TTY/TTD: 711), or email ada.coordinator@dhr.idaho.gov.Preference may be given to veterans who qualify under state and federal laws and regulations.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Other,Engineering and Information Technology,Government Administration
Software Development Engineer in Test (SDET),PSRTEK,"Idaho, United States",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-sdet-at-psrtek-3888444291?position=7&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=DlZ8jkJ%2Fw5XekBtsqX2Ukw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: SDETLocation: Portland, OR/Burlington, WA/Lewsiton, ID/ SLC, UT (Need onsite or based on these locations)Duration: Long TermJob RequirementsExperience in API testing and automation using Ready API. Strong SQL skills. Ability to write SQL statements in MySQL/Oracle.Test Driven Development- 6 YearsKnowledge of backend services and integrations (REST & SOAP).AWS Agile Health Insurance Domain.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
(Fully Onsite) Data Analyst,"VSV WINS, INC","Garden City, ID",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/fully-onsite-data-analyst-at-vsv-wins-inc-3888430932?position=8&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=ne7K4nC4ijcgZKqHmRM5hg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Seeking a Data Analyst to assist with the validation of data in the migration of legacy transaction and documentation data from eleven (11) existing systems into one.LOCAL candidates strongly preferred due to onsite requirement. Required/Desired Skills Skill Required /Desired Amount of Experience Experience as Data Analyst responsible for data validation in relation to enterprise system(s) migrations Required 2 Years Experience working with business stakeholders to observe processing and capture data requirements. Required 2 Years Experience documenting key data entities and attributes in legacy database systems. Required 2 Years Experience analyzing legacy databases and identifying application data for migration. Required 2 Years Experience working w/data migration teams to test ETL software and loads (Unit, Component, Integration, Functional, Smoke, Sanity & System testing) Required 2 Years Experience working with system integrators to ensure data loads are complete and accurate Required 2 Years Computer skills, including MS Excel, MS Word, and MS Visio Required 2 Years Microsoft SQL Server Management Studio or similar tool Desired 0 Knowledge of Automated Testing Tools Nice to have 0 Python experience Nice to have 0 EXCELLENT verbal and written communication is required as resource will be working with various stakeholders, teams, and system integrators daily Required 0
        ","
          87 applicants
        ",Entry level,Full-time,Other,Staffing and Recruiting
Software Engineer,J.R. Simplot Company,"Boise, ID",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-j-r-simplot-company-3880273951?position=9&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=yptNT29bobFYYpYrdPEqQw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Location:Boise, ID, US, 83702-6924The J.R. Simplot Company is a diverse, privately held organization, with roots firmly planted in agriculture and agriculture-related businesses. The J.R. Simplot Company is a true farm-to-table company with operations that touch every aspect of agriculture, including seed production, farming and ranching, plant sciences, fertilizer manufacturing, food processing, commercial product development, and distribution.SummaryThis role has unique mastery and recognized authority on relevant subject matter knowledge including technologies, theories, or techniques. Contributes to the development of innovative principles and ideas. Successfully operates in the most complex disciplines in which the company must operate to be successful. Provides highly innovative solutions. Routinely exercises independent judgment in developing methods, techniques and criteria for achieving objectives. Develops strategy and sets functional policy and direction. Acts as a functional manager within area of expertise but does not manage other employees as a primary job function. Leads large, cross division functional teams or projects that affect the organizations long-term goals and objectives. May participate in cross-division, multi-function teams. Provides mentoring and guidance to junior engineers. This person in this role will work a hybrid schedule of 3 days in the office and 2 days remotely.Key ResponsibilitiesParticipates as a member of and leads cross-functional development teams.Performs analysis of cross-functional and complex business requirements. Designs complex cross-functional solutions that are scalable, reliable, and secure.Designs, prepares and executes Unit tests. Considers unit testing to be a core component of successful software developmentDevelops innovative multi-team solutions to complex problems. A majority of time is spent in strategic and creative problem solving.Demonstrates broad technical leadership, impacting significant technical direction.Applies in-depth or broad technical knowledge to manage global maintenance services across various technology areas or functions.Performs solution design. Applies appropriate technologies and leads design of highly complex infrastructure and software solutions, while driving innovation.Independently implements end-user or enterprise infrastructure or services of significant complexity.Integrates technical expertise and business understanding to create superior solutions for company and customers. Consults with team members and other organizations, customer and vendors on complex issues.Lead technical discussions with cross-functional teams to identify solutions and ensure alignment with business needs.Stay up-to-date with emerging industry trends and technologies to support the evolution of our software solutions.Typical EducationBachelor's Degree (B.A. or B.S.) from 4 year college or universityRelevant Experience5+ years related experience and/or trainingMicroservices/Event Based ArchitectureC#/.NET CoreSQL + an ORM like Entity Framework or DapperChange Data Capture tables and their nuancesAzure Event HubAzure Serverless Functions/Eternal OrchestrationsTerraformCI/CD and Azure DevOps YAML pipelinesOther InformationTesting tools experience of multiple full release cycles. Advanced understanding of modern software development methodologies. Advanced understanding of modern software development tools and SCM. Advanced understanding of Software Test methodologies, and an expert in testing tools. General Project Management. Customer/Vendor Management. Business Analysis. Advanced Web technologies. Good verbal and written communication skills; influencing skills and ability to work effectively in a geographically dispersed team. Demonstrated technical leadership skills.Job Requisition ID: 17814Travel Required: NoneLocation(s): Simplot Headquarters - BoiseCountry: United StatesThe J.R. Simplot Company is proud to be an Equal Opportunity Employer and will consider all qualified applicants for employment without regard to race, color, religion, national origin, ancestry, age, sex, gender, gender identity, gender expression, genetic information, physical or mental disability, medical condition, sexual orientation, military or veteran status, marital status, or any other protected status. **
","
          114 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Food and Beverage Manufacturing
IT Software Engineer III,State of Idaho,"Boise, ID",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/it-software-engineer-iii-at-state-of-idaho-3902158240?position=10&pageNum=0&refId=0VHQ%2FD031gu%2BSxHzx9iwzQ%3D%3D&trackingId=CNo%2BciHd3SAoeclFhVZHJQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionApplications will be accepted through 4:59 PM MST on the posting end date.Do you want to make a difference and be part of an award-winning agency, dedicated to enhancing the quality of life in Idaho through transportation? At the Idaho Transportation Department, every employee is critical to the mission and we strive to foster an innovative, collaborative workplace where employees can grow and do their best work.This Software developer position may be your opportunity to put your IT knowledge, skills, and experience to work for the Idaho Transportation Department (ITD).We require a full stack .Net Developer to help design, build, test and maintain the custom web applications to support the business needs of the Idaho Transportation Department. The Developer is part of an agile development team. The focus of this position will be development of custom web applications, automated workflows, and integration to existing applications.This position will require a fingerprint criminal background investigation before a final job offer is made.Example Of Duties Participate as a developer and on an agile scrum team. Work with the team to define, estimate and execute tasks in a sprint backlog.Communicate actively and consistently with technical and non-technical staff to share information and ideas necessary to further the team’s work.Understand and implement best practice solutions per ETS development standards.Analyze project requirements and determine and communicate the best technical design for an application.Create a breakdown of work to be done to complete a project, define tasks and their outcomes and estimate hours necessary to complete tasks.Write code that takes advantage of established design patterns to optimize security, maintainability, testability, and performance of your code.Lead the development team’s work with developers, stakeholders, Project Managers and Business Analysts to support User Acceptance Testing. Analyze problem reports that result from UAT. Design and code fixes to issues raised during UAT.Own production support tickets as assigned. Take responsibility for investigating and clarifying the issue and communicating the status of this work up to and including resolution.Use source code management tools and techniques to facilitate development, release and maintenance of web and mobile applications.Minimum QualificationsConsiderable knowledge of data architecture, software architecture, common software design patterns, development and testing practices; programming languages and software development tool suites.Experience creating, interpreting and documenting user requirements; analyzing development solutions to show costs and benefits; coding, testing and deploying production systems; establishing and defining architecture and development standards.Desired QualificationsAbility to communicate clearly with all levels of management and company personnel.Ability to prioritize and organize effectively.Ability to work with others to resolve problems, handle requests or situations.Ability to perform detailed business analysis and design.4+ Years as professional software developer..Net programming, ASP.Net MVC, C#, Blazor, Advanced SQLIn-depth experience building REST web services with JSONExperience with Object relational mapping engines (NHibernate and Entity Framework)Knowledge of working in Azure desirableMicrosoft PowerApps experience desirableBenefits:The State of Idaho offers a robust total compensation package, including medical, vision, and dental insurance; PERSI retirement benefits; paid sick, vacation, and parental leave; and 11 paid holidays per year. For additional information related to benefits and/or State programs, please visit https://dhr.idaho.gov/StateEmployees/Benefits.html.*EEO/ADA/VeteranThe State of Idaho is committed to providing equal employment opportunities and prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities and prohibit discrimination against all individuals based on their race, color, religion, political affiliation or belief, sex, national origin, genetics, or any other status protected under applicable federal, state, or local laws.The State of Idaho is committed to access and reasonable accommodations for individuals with disabilities, auxiliary aids and services are available upon request. If you require an accommodation at any step in our recruitment process, you are encouraged to contact (208) 334-2263 (TTY/TTD: 711), or email ada.coordinator@dhr.idaho.gov.Preference may be given to veterans who qualify under state and federal laws and regulations.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Other,Engineering and Information Technology,Government Administration
