title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,Compunnel Inc.,"Indianapolis, IN",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-compunnel-inc-3909682845?position=1&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=aATe0GGOVyhNWpztY0Rvow%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionKey Responsibilities:Designs and automates deployment of our distributed system for ingesting and transforming data from various types of sources (relational, event-based, unstructured).Designs and implements framework to continuously monitor and troubleshoot data quality and data integrity issues.Implements data governance processes and methods for managing metadata, access, retention to data for internal and external users.Designs and provide guidance on building reliable, efficient, scalable and quality data pipelines with monitoring and alert mechanisms that combine a variety of sources using ETL/ELT tools or scripting languages.Designs and implements physical data models to define the database structure.Optimizing database performance through efficient indexing and table relationships.Participates in optimizing, testing, and troubleshooting of data pipelines.Designs, develops and operates large scale data storage and processing solutions using different distributed and cloud based platforms for storing data (e.g. Data Lakes, Hadoop, Hbase, Cassandra, MongoDB, Accumulo, DynamoDB, others).Uses innovative and modern tools, techniques and architectures to partially or completely automate the most-common, repeatable and tedious data preparation and integration tasks in order to minimize manual and error-prone processes and improve productivity.Assists with renovating the data management infrastructure to drive automation in data integration and management.Ensures the timeliness and success of critical analytics initiatives by using agile development technologies such as DevOps, Scrum, Kanban Coaches and develops less experienced team membersSkillsetHands-on Azure Data experienceTools to have: Databricks, Synapse, Data Factory, etc.High functional knowledge of Big DataHands-on experience automating the ETL processNo specific tool is required: Jenkins preferredScala or PySpark knowledge (Scala preferred)Primary Skills: This candidate must possess skills in the Azure Data platform. This client is looking for a mid-level Data Engineer. They must be skilled in Azure Data Bricks, Data Factory, and Data Lake. This candidate should also have an exposure to Big Data.Education: Bachelors Degree
        ","
          28 applicants
        ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,CMP.jobs,"Indianapolis, IN",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-cmp-jobs-3892937620?position=2&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=ilnDfZ6MHI4CvPMFKCWyog%3D%3D&trk=public_jobs_jserp-result_search-card,"
          100% Remote PositionThe company has built a cloud-based policy administration platform over the past three years, and we are looking for an exceptional candidate to join our team and help with our day-to-day efforts. Data analytics will be a key component to enabling users of the platform, providing insights to improve their operational capabilities and driving new revenue outcomes. We are in the process of rebuilding our data platform and rethinking what it means to leverage data going forward. Come join us to be part of the change.ResponsibilitiesDesign and develop frameworks, tools, and processes to reliably ingest and process data into our data platformOptimize data ingestion, storage and processing architecture to meet business and product needsDevelop solutions to build and continuously improve monitoring and observability for data pipelinesBuild and maintain robust data engineering processes to implement self-service data solutionsCollaborate with other product owners, business users, and analysts to drive implementation of data solutions and insightsImplementation automation of infrastructure, security, and CICD processes for optimal execution of data pipelinesRequirements5+ years of experience working in data engineering, business intelligence or related fields delivering data solutions and servicesExpertise in Python, SQL, and system architectureExperienced in implementing and optimizing cloud data platforms (Snowflake or BigQuery)Experienced in building complex ETL / ELT data pipelinesExperienced in deploying and operating orchestrators like Airflow, Prefect, or DagsterIntermediate knowledge of BI best practices, relational structures, dimensional data modeling, structured query language (SQL) skills, data warehouse and reporting techniquesKnowledge of automation and CICD best practicesby Jobble
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Human Resources Services
Junior Data Analyst/Engineer,SynergisticIT,"Indianapolis, IN",2024-04-14,On-site,,https://www.linkedin.com/jobs/view/junior-data-analyst-engineer-at-synergisticit-3899801383?position=3&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=fMafdQ3O%2BKKIY%2BmdpKfPCw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Since 2010 Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a Job we make careers.All Positions are open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like apple, google, Paypal, western union, Client, visa, walmart lab s etc to name a few.We have an excellent reputation with the clients. Currently, We are looking for entry-level software programmers, Java Full stack developers, Python/Java developers, Data analysts/ Data Scientists, Machine Learning engineers for full time positions with clients.Who Should Apply Recent Computer science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in the Tech Industry.We assist in filing for STEM extension and also for H1b and Green card filing to CandidatesIf you applied for a job and got emails from our Job Placement Program team please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team.please check the below links to see success outcomes of our candidates and our participation at different Tech industry events and how we are different from other organizations in helping Jobseekers secure Tech careers(url removed)We regularly interact with the Top Tech companies to give our candidates a competitive advantage-Please see us exhibiting at Oracle Cloud world /Oracle Java one (Las vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023(url removed)(url removed)For preparing for interviews please visit (url removed)We are looking for the right matching candidates for our clientsPlease apply via the job postingREQUIRED SKILLS For Java /Full Stack/Software ProgrammerBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleProject work on the skillsKnowledge of Core Java , javascript , C++ or software programmingSpring boot, Microservices, Docker, Jenkins and REST API's experienceExcellent written and verbal communication skillsFor data Science/Machine learning PositionsRequired SkillsBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITProject work on the technologies neededHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleKnowledge of Statistics, SAS, Python, Computer Vision, data visualization toolsExcellent written and verbal communication skillsPreferred skills: NLP, Text mining, Tableau, PowerBI, SAS, TensorflowIf you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team who only connect with candidates who are matching client requirements.No phone calls please. Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates
        ","
          154 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering
Data Engineer,Randstad Digital,"Indianapolis, IN",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-randstad-digital-3892379075?position=4&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=mknpcXlq2%2BVQenkqWAMOxA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job SummaryAre you passionate about leveraging data to drive business insights and decisions? We're seeking a skilled Data Warehouse and Business Intelligence Specialist to join our dynamic team. In this role, you'll play a pivotal part in supporting the provisioning of data management across our company, ensuring timely and accurate access to critical business intelligence.Role OverviewAs a Data Warehouse and Business Intelligence Specialist, you'll be instrumental in the development and maintenance of our MS SQL server enterprise data warehouse environment. Your responsibilities will include assisting in the lifecycle development of data warehouse and business intelligence systems, monitoring performance and integrity, troubleshooting and tuning applications, and utilizing various business intelligence tools to analyze company data.location: Indianapolis, Indianajob type: Contractsalary: $50 - 55 per hourwork hours: 8am to 5pmeducation: BachelorsResponsibilitiesSupports the provisioning of data management across the company. Assists in the development and maintenance of the MS SQL server enterprise data warehouse environment and provide business analytics functionality (using tools in the Business Objects and Microsoft SQL server BI Stack such as SSIS, SSAS, PowerBI) as well as working with data feeder systems to ensure timely trustworthy access to the required Business Intelligence.Role & ResponbilitiesSupports the development and validation required through the lifecycle of the data warehouse (DWH) and Business Intelligence (BI) systems, maintain user connectivity, and provide adequate security for data warehouse. Works in a data warehouse environment which includes data design, database architecture, metadata and repository creation.Monitors the DWH and BI systems performance and integrity providing corrective and preventative maintenance as required.Ensures data loaded into the data warehouse is timely and accurate.Troubleshoots and tunes existing data warehouse applications.Utilizes various Business Intelligence tools to develop data analytics across company data repositories for all lines of business.Conducts research into new data warehouse applications and determines viability for adoption.Incorporates and evaluates existing subject areas into the enterprise data warehouse models.Assists data warehouse and analytics leaders in establishing development standards.Able to manage multiple projects at once.Provides direction and guidance to less experienced team members.Performs other duties as assigned by management.QualificationsExperience level: Minimum 5 years of experienceEducation: BachelorsSkillsData WarehouseData AnalysisEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.At Randstad Digital, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contactPay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc. In addition, Randstad Digital offers a comprehensive benefits package, including health, an incentive and recognition program, and 401K contribution (all benefits are based on eligibility).Applications accepted on ongoing basis until filled.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,"RIT Solutions, Inc.","Fort Wayne, IN",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-rit-solutions-inc-3893514403?position=5&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=XKE099vIlxsC8IZKfLBllA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Must be local - HybridFinal F2F interviewSubmit candidtes with LOCAL DL.Qualifications6+ years of experienceDBA experience is a plusAzure Data Factory + Azure Data Bricks + Data Lakehouse + Microsoft SQL Server T-SQLMS Fabric HUGE BONUS skillGood communicationSomeone who asks questions
","
          41 applicants
        ",Entry level,Contract,Information Technology,Staffing and Recruiting
"2 x Data Engineers (SQL, Snowflake) - Daily Rate Contract",The Recruitment Company Pty Ltd,"Indiana, United States",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/2-x-data-engineers-sql-snowflake-daily-rate-contract-at-the-recruitment-company-pty-ltd-3900564848?position=6&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=QfBjK%2FUzsHtgbynEQWnFOg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Our Australian health organization seeks 2 x Senior Data Engineers to join a key project on a daily rate contract. 3-month contracts initially - very strong possibility of extensionBe supported by a friendly team of Engineers & AnalystsYou must be based in Sydney and be PR or an Australian Citizen.Please do not apply if you are not able to work in Sydney.As a Senior Data Engineer, you will play a key role on a huge transformation project.You will create and implement data solutions and your experience will include developing data integrations, managing complex data migrations, and code development. You will be adept at working with people, data systems, datasets, and data integrations within organizations.Skills And ExperienceStrong SQL and data modelling skillsAzure experienceHands-on experience in SQL Data Warehousing and Engineering.DevOps and automation skills.Collaboration with non-technical staff.Quick adaptation to new data tools.Programming/scripting proficiency.Experience with Git or similar tools.Problem-solving ability.Bonus ExperienceSnowflake - Huge bonus!Power BIInterviews next weekPlease APPLY today to avoid missing out!!Or for more information please text Anna-Maria on 0426 503 822
        ","
          156 applicants
        ",Mid-Senior level,Contract,Information Technology,Wellness and Fitness Services
Senior Data Manager (Data Engineer),Indiana University Indianapolis,"Indianapolis, IN",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/senior-data-manager-data-engineer-at-indiana-university-indianapolis-3901961602?position=7&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=K%2BfUIvm5KGWFz3uen8WebQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          DEPT BIOSTATISTICS & HEALTH DA (IN-BSAT-IUINA)Performs data management tasks, including experienced data modeling, conversion, de-duplication, migration, and identification and repair of data quality issues.Designs, develops, and implements custom data systems and reconciliation tools, processes, rules, solutions etc. to validate data, match/merge, and upload batch lists.Creates and tunes complex stored procedures and queries for data management and extraction.Designs and builds out technical software mechanisms to accommodate multiple integrations accurately based on complex rules and custom solutions.Ensures documentation and security standards/protocols are recognized and followed.Provides experienced troubleshooting and problem analysis/resolution for data related issues; performs experienced scripting and modifications of application and products for corrective action.Researches and stays up-to-date with data engineering best practices and approaches; stays abreast of latest security threats and risks to proactively address potential exposures.Combinations of related education and experience may be considered. Education beyond the minimum required may be substituted for work experience. Work experience beyond the minimum required may be substituted for education.EDUCATIONRequiredBachelor's degree preferably in computer science, information science, or related field. RequiredWORK EXPERIENCE2 years of data management, engineering, or related experience. SkillsRequiredProficient communication skills.Maintains a high degree of professionalism.Demonstrated time management and priority setting skills.Demonstrates a high commitment to quality.Possesses flexibility to work in a fast paced, dynamic environment.Seeks to acquire knowledge in area of specialty.Highly thorough and dependable.Demonstrates a high level of accuracy, even under pressure.This role requires the ability to effectively communicate and to operate a computer and other standard office productivity equipment. The position involves sedentary work as well as periods of time moving around an office environment and the campus. The person in this role must be able to perform the essential functions with or without an accommodation.For full-time staff employees, Indiana University offers a wide array of benefits including:Multiple plan options for medical insuranceDental insuranceHealth Savings Account with generous IU contributionLife insurance, LTD, and AD&D optionsBase retirement plan contribution from IU, subject to vestingAdditional supplemental retirement plan optionsTuition benefit for IU classes10 paid holidays per yearGenerous Paid Time OffPaid Parental LeaveEmployee Assistance Program (EAP)Learn more about our benefits by reviewing our online Benefits Brochure.Career Level: CareerFLSA: ExemptJob Function: Information TechnologyJob Family: Data Analysis & EngineeringClick here to learn more about Indiana University's Job Framework.This posting is scheduled to close at 11:59 pm EST on the advertised Close Date. This posting may be closed at any time at the discretion of the University, but will remain open for a minimum of 5 business days. To guarantee full consideration, please submit your application within 5 business days of the Posted Date.If you wish to include a cover letter, you may include it with your resume when uploading attachments.Indiana University is an equal employment and affirmative action employer and a provider of ADA services. All qualified applicants will receive consideration for employment based on individual qualifications. Indiana University prohibits discrimination based on age, ethnicity, color, race, religion, sex, sexual orientation, gender identity or expression, genetic information, marital status, national origin, disability status or protected veteran status. Indiana University does not discriminate on the basis of sex in its educational programs and activities, including employment and admission, as required by Title IX. Questions or complaints regarding Title IX may be referred to the U.S. Department of Education Office for Civil Rights or the university Title IX Coordinator. See Indiana University’s Notice of Non-Discrimination here which includes contact information.The Annual Security and Fire Safety Report, containing policy statements, crime and fire statistics for all Indiana University campuses, is available online. You may also request a physical copy by emailing IU Public Safety at iups@iu.edu or by visiting IUPD.Request SupportTelephone: 812-856-1234
        ","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Information Technology,Higher Education
Associate Data Engineer,Harris Computer,"Indiana, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909358113?position=8&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=vK%2BiGF%2BcMePeZBUYBc%2BxsQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Data Analyst,FLANDERS,"Evansville, IN",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-flanders-3891391318?position=9&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=nG8xL9R1kcYgYm0lVnAL7g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our IT team is hiring a Data Systems Analyst role! The Data Systems Analyst will ensure proper functionality of current data applications and programs. This position will support data analysis and mining by cleansing and normalizing data. This role will build dashboards that give stakeholders visibility into the current state of our business and finances using business intelligence, reporting, and visualization tools such as Cognos, SQL Server Reporting Services (SSRS), Tableau, and Power BI.Primary ResponsibilitiesQuery and extract data from ERP databases such as Microsoft Dynamics NAV / Dynamics365 Business Central and Infor SyteLine and other data sources such as SQL Servers(various), Access, and Excel.Clean, prepare, and normalize data.Build a new database to store the updated data.Lead requirements gathering sessions and work with stakeholders to gather and documentrequirements. Develop recommendations to meet common goals.Implement new technologies.Develop and publish reports using reporting tools such as Cognos, SQL Server ReportingServices (SSRS), Tableau, and Power BI.Minimum RequirementsEducation or training in business, finance, economics, relevant discipline, and or equivalentrelated work experienceSkilled and familiar with SQL and VBAExperience with data cleansing, data conversion, and extract, transform and load (ETL)initiativesRelevant data analysis, validation, testing, and impact analysis experienceExperience managing and interpreting large amounts of data and the ability to explain theoutcomes of the information, including data systems development, data mining, and datacleansingProficiency with SQL Server Reporting Services (SSRS)Self-starter with a strong work ethic and ability to see tasks to completionGeneral knowledge of statistical modeling and forecastingProficient in Microsoft O??ice Suite and advanced experience with Microsoft ExcelAbility to multi-task and work independentlyStrong written and verbal communication skillsPreferred QualificationsBachelor of Science (BS) in computer science, mathematics, other science, technology,engineering, and math (STEM) degrees or higherThree years of proficient experience with Cognos, Tableau, or Power BIExperience with SnowflakeExperience with insightsoftware Jet ReportsDemonstrated excellence in data manipulation and data visualization skillsExcellent communication, time management, and teamwork skillsProficient with scripting languages, including JavaScript and PythonAPI and workflow automation development
","
            Over 200 applicants
          ",Associate,Full-time,Information Technology,"Industrial Machinery Manufacturing, Oil, Gas, and Mining, and Manufacturing"
"AWS Data Engineer with AI/ML Project experience @Indianapolis, IN (Onsite) -6 Months-EXT",CBase Inc,"Indianapolis, IN",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/aws-data-engineer-with-ai-ml-project-experience-%40indianapolis-in-onsite-6-months-ext-at-cbase-inc-3907944770?position=10&pageNum=0&refId=ndFz0YhBvCqV92ap6guDmQ%3D%3D&trackingId=YOUygsxs%2BKnhTBgaZQ%2FQNg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: AWS Data Engineer with AI/ML Project experienceLocation: Indianapolis, IN (Onsite)Duration: 6+ months with possible extensionVisa: AnyEXPERIENCE: 5-7 YEARS ONLYMUST HAVE: AWS, AI, ML
","
          120 applicants
        ",Mid-Senior level,Contract,Information Technology,Airlines and Aviation
