title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Sr. Data Developer,Steneral Consulting,"Des Moines, IA",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/sr-data-developer-at-steneral-consulting-3882853668?position=1&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=hsK5kJxwifk1MED%2BcDwnBA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Last round should be onsiteNeed local candidates Submit only only 2-3 profilesLinkedin is must Submit someone who is ready for full time after 6 month.Candidate have to interview on the phone with my client & be willing to the account manager in person for Farm Bureau, ideally for a quick meet & greet or on lunch or in the afternoon.With the client – it’s usually 2 rounds (1 on video) & sometimes the 2nd is in person but sometimes on video. Just depends on what Farm Bureau wants to do – they will make that decision. Sr. Data DeveloperTeam: Data EngineeringLocation: Onsite in W. Des Moines, Hybrid option after 90 days. LOCATION – ONSITE in West Des Moines – onsite 5 days a week for the first 90 days of employment.Type: 6 month C2H or PermSummaryFarm Bureau Financial Services is looking for a Sr. Data Developer to join the Predictive Modeling team and utilize Informatica and SQL to store data. This individual will analyze, design, develop, and administer informatica code for the Predictive Modeling team. As the Sr. Data Developer, you will create and support best practices in the design, development, and deployment of ETL code. Also, you will maintain adequate documentation to support team processes and ensure we have completed the appropriate steps.Experience WithInformatica IDMC (formerly IICS) (cloud) experience (that are moving to IDMC in June/July)Informatica PowerCenter 5-7 YearsMigration from PowerCenter to IDMC strongly preferredStrong SQL skillsAzure Data FactoryPowerBIExcellent Communication skills- will be working with stakeholdersCan complete tasks with limited requirementsWhat You'll DoEvaluate system applications and affect solutions through application maintenance or by new systems applications development and inform system consultant on project status.Develop new and maintain existing data pipeline and assets of medium- to- high complexity including development, testing, and maintains / develop required documentation as defined by SDLC standards.Maintain strict adherence to standards for documentation, development techniques, testing and other related development activities.Keep up to date on data pipeline, warehousing, and business intelligence development techniques and apply those techniques when analyzing and developing solutions for the organization.Keep data engineering manager, project managers and team members informed on statuses of deliverables.Build relationships with business and IT partners outside of data management team to ensure alignment with corporate goals and strategy.Participate in on call rotation as needed to ensure 24-hour support of production systems. Assist in determining root cause of system problems by conferring with technical, business, and infrastructure personnel.Verify application logic by preparing test data and test plan. Test and debug solutions, verify test results and provide guidance to others.Demonstrate solid understanding of technical and business processes across FBFS footprint.What It Takes To Join Our TeamCollege degree or equivalent required.3 + years of experience in financial services preferred.3 + years of data handling methods, development techniques, and one or more of the following language tools or other ETL tools (Informatica / Azure Data Factory) SQL, Power BI.Experience in data testing and establishing automated testing practices preferred.2 + years’ experience with agile SDLC methodology.Experience working with business and technical partners across multiple organizational levels.Experience leading small scale data projects.Oral and written communication skills appropriate to this position.
","
          112 applicants
        ",Mid-Senior level,Contract,Information Technology,Software Development
Data Engineer,Palmer College of Chiropractic,"Davenport, IA",2024-04-28,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-palmer-college-of-chiropractic-3913083201?position=2&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=3Ienz2tDUgEi4FG6ewgDSA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Palmer College of Chiropractic is looking for a Data Engineer!The Data Engineer's role is to plan, build, and manage data pipelines, systems, and applications that help the college achieve its data-driven objectives and targets. The Data Engineer collaborates with the Data Governance team, data analysts, software engineers, and other relevant parties to guarantee the quality, dependability, and accessibility of data throughout the organization. The Data Engineer also uses the most advanced technologies and methods to develop data solutions that are scalable, secure, and effective, and that suit the college's requirements and standards.ORGANIZATIONAL RELATIONSHIPS Responsible to the Director of Applications and has a support responsibility to all other departments and college personnel as necessary. Specific Duties And Responsibilities Use SQL, NoSQL, Python, Snowflake, and other tools and technologies to build and maintain data pipelines, systems, and applications that collect, transform, and integrate data from various sources.  Ensure the data solutions meet the standards and policies for data quality, data governance, and data management, and are performant, reliable, secure, and compliant.  Work with the data engineer, data analysts, software engineers, and other stakeholders to understand data needs, design data models, and provide data solutions that support the college's data-driven goals and initiatives.  Research and evaluate new data technologies, tools, and methodologies, and provide recommendations and guidance for data innovation and improvement.  Monitor, troubleshoot, and resolve data issues, and provide technical support and documentation for data solutions.  Create and maintain documentation related to Data configuration, mapping, processes, and solutions.  Develop and implement policies, procedures, and training plans for Data usage and Data governance.  Ensure compliance and regulatory requirements (e.g., PCI, HIPAA, FERPA, etc.) are adhered to for all technology implemented and supported by Palmer College.  Perform all responsibilities in a way that fully complies with Palmer’s Equal Employment Opportunity/Affirmative Action policy.  Perform other duties as assigned. SkillsADDITIONAL SKILLS AND QUALIFICATIONS A keen interest in data and in finding data solutions for complex data challenges.  A flexible and creative method that can deliver data solutions at different levels of accuracy and complexity.  Strong skills in technical documentation and communication.  Highly self-driven and focused.  Highly skilled in analysis, organization, and time management to work in a cooperative, team-based environment.  Well-developed skills in public speaking and conflict resolution.  Strong orientation towards customer service. Ability To Quickly learn the organization's goals and objectives.  Design, build, and maintain data pipelines, systems, and applications that meet the college's data requirements and standards.  Manage storage, optimize data schemas, and ensure data quality and integrity.  Effectively prioritize and complete tasks in a stressful environment and perform multiple assigned duties with time pressures and frequent interruptions. Education And ExperienceMinimum Qualifications: Bachelor's degree or equivalent combination of relevant work experience and education.  Excellent customer service skills and effective communication abilities with individuals at all levels, including external vendors and support.  Proven team-player with strong organizational and time management skills.  Must demonstrate organization, accuracy, thoroughness, and the ability to ensure work quality.  Regular and reliable attendance is required for success in this position. Availability to work evenings and weekends as required. Desired Qualifications  3 years of direct experience in data engineering, data warehousing, data integration, or related field.  Evidence of knowledge and skills in, and experience with: The principles and practices of data engineering, data warehousing, data integration, and data analytics.  The methodologies and standards of data modeling, data quality, data governance, and data management.  SQL, NoSQL, Python, Snowflake, and other data tools and technologies.  Data analytics, cloud computing, and big data platforms and tools.  Machine learning, data mining, and statistical analysis techniques and tools.  Proficiency in programming languages, such as Python and Java, for creating ETL tools, processes, and automation.  ETL process, creating pipelines for data transformation, data cleaning, aggregation, and enrichment for data analysis.  Integrations, API, and external data connections to enable data ingestion, extraction, and exchange.  Project management and the relevant data privacy laws and practices. Physical Requirements And Work Environment Perform sedentary to light work in a ventilated, lighted, and temperature-controlled office setting.  Frequent need to stand, stoop, walk, sit, lift light objects (up to 10 pounds) and perform other similar actions during the workday.
","
          90 applicants
        ",Entry level,Full-time,Information Technology,Higher Education
Aws Data Engineer,Software Technology Inc.,"Des Moines, IA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/aws-data-engineer-at-software-technology-inc-3888423862?position=3&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=IfYfNt8iYWCzFsKMc0jntw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hii ,This is Vamshi ,from Software Technologies We have a job opening with our client for position Aws Data Engineer If you are available and looking for any new opportunities, please send me your updated resume for below position ASAP.Job Title: Aws Data EngineerLocation: Des Moines, IADuration: Long termDescriptionThis position is for an AWS Data Engineer with ETL and Analytical Reporting experience. This position requires in-depth knowledge of AWS Data Integration Services.This position is for an AWS Data Engineer with ETL and Analytical Reporting experience. This position requires in-depth knowledge of AWS Data Integration Services, such as Glue, as well as experience with Microsoft SQL Server, Microsoft SQL Server Integration Services, and MySQL. Please read through the skills section and entire description for more detail.The successful candidate will spend a good portion of their time in transitioning already developed AWS data pipelines and procedures that are built for Department of Health and Human Services. The candidate is also expected to work in concert with resident Data Engineers, Data Analysts and Report Developers to enhance, develop and automate recurring data requests and troubleshooting related issues.This role will be primarily focused on backend development with AWS Data Integration and Storage Services tech stack (AWS Glue, AWS Lambda, AWS Spark, AWS Data Migration Services, AWS RDS, Amazon S3, Amazon Redshift, Amazon Dynamo).The successful candidate will be required to follow standard practices for migrating changes to the test and production environments and provide postproduction support. When not working on enhancement requests or problem reports, the candidate would concentrate on performance tuning.Individual should work well in a team and independently as needed.ResponsibilitiesDesign and implement scalable and efficient data pipelines and ETL processes using AWS services such as AWS Glue, AWS Lambda, and Apache Spark.Develop and maintain data models, schemas, and data transformation logic to support data integration, data warehousing, and analytics needs.Collaborate with stakeholders to understand business requirements and translate them into technical data solutions.Implement data ingestion processes from various data sources such as databases, APIs, and streaming platforms into AWS data storage services like Amazon S3 or Amazon Redshift.Optimize data pipelines for performance, scalability, and cost-efficiency, utilizing AWS services like Amazon EMR, AWS Glue, and AWS Athena.Ensure data quality, integrity, and security by implementing appropriate data governance practices, data validation rules, and access controls.Monitor and troubleshoot data pipelines, identifying and resolving issues related to data processing, data consistency, and performance bottlenecks.Collaborate with data scientists, analysts, and other stakeholders to support data-driven initiatives and provide them with the necessary datasets and infrastructure.Stay updated with the latest AWS data engineering trends, best practices, and technologies, and proactively identify opportunities for improvement.Mentor and provide guidance to junior members of the data engineering team, fostering a culture of knowledge sharing and continuous learning.RequirementsBachelor's or master's degree in computer science, Data Engineering, or a related field.Minimum of 5 years of professional experience as a Data Engineer, with a focus on AWS data services and technologies.Strong expertise in designing and implementing ETL processes using AWS Glue, AWS Lambda, Apache Spark, or similar technologies.Proficient in programming languages such as Python, Scala, or Java, with experience in writing efficient and maintainable code for data processing and transformation.Hands-on experience with AWS data storage services like Amazon S3, Amazon Redshift, or Amazon DynamoDB.In-depth understanding of data modeling, data warehousing, and data integration concepts and best practices.Familiarity with big data technologies such as Hadoop, Hive, or Presto is a plus.Solid understanding of SQL and experience with database technologies like PostgreSQL, MySQL, or Oracle.Excellent problem-solving skills, with the ability to analyze complex data requirements and design appropriate solutions.Strong communication and collaboration skills, with the ability to work effectively in a team-oriented environment.Thanks,Vamshi ThangadpalliTechnical RecruiterDirect: 404-777-9837 | Fax: 866-608-6686Email: vamshi.t@stiorg.com | Web: www.stiorg.comhttps://www.linkedin.com/in/vamshi-thangadpalli-3a0415251/100 Overlook Center, Suite 200Princeton, NJ 08540.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
Associate Data Engineer,Harris Computer,"Iowa, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909354546?position=4&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=3DUb0VqFLUgZkCFes8BNQg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
GCP Data Engineer,Qinshift,"Cloud, IA",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/gcp-data-engineer-at-qinshift-3902369056?position=5&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=1T%2B6g5RtdKUNpvpJ2AGOxw%3D%3D&trk=public_jobs_jserp-result_search-card,"
This is usAt Qinshift we’re committed to making real impact. With us you’re working with teams of tech focused peers who thrive with creative thinking and dedication to learning and improvement. Here, you’ll be an important part of our community, where we actively encourage you to bring thoughts and ideas to the table. If this resonates with you and you're interested in GCP Data Engineer position we would be delighted to talk to you.This is the jobIn Qinshift within the Telecommunication industry, we are actively seeking a professional to strengthen our team dedicated to Data engineering.This is you IT/Business/Science Degree in a quantitative area and/or experience in Data Engineering and IT.  Experience with a commercial cloud provider (GCP, AWS, Azure).  In depth experience with MPP systems (at minimum 3 years), managing large data sets for analytical purposes.  Comfortable writing code in either Python, Java or Scala.  Knowledge of SQL and data modelling, following best practices for designing applications with commercial databases.  Experience working with Agile/Scrum methodologies.  Excellent written and spoken English Nice-to-have Skills Experience in Telecommunications, Consumer Goods or Finance  Understanding of software development practices and CI/CD tool chains (e.g. GitHub, Jenkins, etc) and container orchestration systems (e.g, Docker, Kubernetes, etc).   Understanding of machine learning concepts and machine learning pipelines.  German is an advantage. This is your role Cloud development for projects and CR’s requests assessed by the project user feedback.  Internal customer satisfaction assessed via the BI/Digital user feedback. Working together with other DWH, Cloud and IT-Specialists to deliver solutions to our internal customers. Contribution to and management of the design and deliverables of cloud-based data services.  Run and maintain Artificial Intelligence / Machine Learning workflows in the cloud.  Develop and automate Data pipelines for Analytics and Reporting solutions that drive business value.  Contribution to and management of 2nd/3rd Level support.  Ensure alignment and close collaboration with other relevant units/key-users/requestors  Contribute to the next phase of client`s ERP and Enterprise Big Data strategy together with stakeholders based on business needs and priorities. What awaits you at Qinshift?Through our values, Better Minds, Bolder Ideas and Bigger Hearts, we strive to provide you with the tools, the autonomy, the trust, and assistance you need to excel. Enjoy benefits like private health insurance, well-being programs, flexible and hybrid work models, laptops and gear, trainings, language classes, social events, great offices, and more.We take pride in the diverse skills and character of our teams, welcoming everyone to apply and contribute to our collective strength .
        ","
          32 applicants
        ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer II - Data Delivery Team,GreatAmerica Financial Services,"Cedar Rapids, IA",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/data-engineer-ii-data-delivery-team-at-greatamerica-financial-services-3885777405?position=6&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=sT9eijGKq8ARcqDmPr16sw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          GreatAmerica Financial Services is a highly successful entrepreneurial company providing equipment financing to businesses across the United States. Our exemplary customer service, our principle-centered business philosophy and our team-based operating approach are key to our success and growth.We Are Looking to Add a Key Member to Our Data Team! The Data Engineer II will facilitate the design, documentation, and delivery of data ingestion pipelines and data structures within the data platform in support of business intelligence, business analytics and data sharing at GreatAmerica. The ideal candidate will have a passion for driving business value via data by making high quality data readily accessible for data champions throughout the enterprise as well as externally to GreatAmerica customers. This position will work closely with other members of the data delivery team in the development and implementation of data management strategies at the enterprise level that deliver consistent business definitions and data quality.As a Data Engineer II You WillArchitect, implement and operate stable, scalable and highly performant data pipelines that cleanse, structure and integrate data sets from source systems and third party data structures into a consumable and accessible format for end user analyses and reporting. Migrate legacy reporting data structures to new data platformConsult with product engineering resources regarding source system data structures and changes to those structures to ensure consistent business definitions and data qualityDiagnose and resolve database access and performance issuesSupport infrastructure related to analytic toolset such as TableauDemonstrate and promote the use of data engineering and data management best practices across the enterprisePromote a data driven culture throughout GreatAmerica via active participation in a data champion community utilized for knowledge and best practice sharing.ExperienceTo be successful in this role you will need:3 – 7 years of database development experience with strong understanding of creating a data pipeline for analytics required. Experience working in agile development methodologies is a plus.Experience ensuring data quality across multiple datasets used for analytical purposes.Exposure and experience with a diverse set of modern data architectures is a plus.Skills And AbilitiesStrong experience with SQL and be ability to write efficient codeHands on experience supporting ETL processes. Familiarity with Informatica or SSIS a plusExperience with data visualization tools such as Tableau, Power BI etc.Excellent communication (oral and written) and interpersonal skills with a keen sense of customer serviceEnthusiastic attention to detailAbility to acquire new skills quickly and thrive in a collaborative team environmentMust be able to establish and maintain professional working relationships with all levels of GreatAmerica personnel and external contactsFinancial BenefitsSharing rewards is an integral part of our culture. We believe in the value of hard work and reward our employees beyond the paycheck. Our total rewards package is based on eligibility and includes:Competitive CompensationMonthly Bonuses for Eligible Employees401(k) and Company MatchAnnual Profit SharingPaid Time OffHealth, Wellbeing, And Family Planning BenefitsPaid Vacation - starting at 80 hours annually for employees in their first year of service.Paid Sick Days - Ten (10) per year with a conversation option for unused time.Ten (10) Paid Holidays per yearGym ReimbursementHealth InsuranceDental InsuranceVision InsuranceShort-Term and Long Term DisabilityCompany Paid Life InsuranceFlexible Spending Accounts (FSA)Health Savings Accounts (HSA)Employee Assistance ProgramParental LeaveEducation And Career Planning BenefitsTuition AssistanceNetworking OpportunitiesLeadership Development OpportunitiesPerksPaid ParkingService AwardsHybrid work arrangementsBusiness casual environmentA strong organizational culture focused on our greatest asset: you!If your experience aligns closely, please apply. We value diverse backgrounds and adding new perspectives. We encourage you to apply if you can make a strong impact in this role at www.greatamerica.com/careers.Please note, applicants must be authorized to work for any employer in the U.S. We are unable to sponsor or take over sponsorship of an employment visa.
        ","
          64 applicants
        ",Entry level,Full-time,Information Technology,Financial Services
Software Engineer,Metalcraft Inc,"Mason City, IA",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-metalcraft-inc-3905818578?position=7&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=YXGZPY2TbPaZto9ECQAbbw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionSoftware Engineer – Mason City, IAOur software engineering team is growing! We are looking for an on-site Software Engineer to work in Mason City, IA. Our software team is responsible for advancing Metalcraft forward by leveraging innovative tools and the innovations of our members. We embrace an understanding culture to better empower our internal customers and implement better solutions.What You Will DoAs a Metalcraft Software Engineer, you will have the opportunity to:Design, develop, and work on many automation and technology projects. Collaborate with engineers, IT professionals, and other technical positions in a manufacturing environment to create the best solutions to make the complex simple. Serve as a subject matter expert to provide technical solutions to other members of the internal team. Explore, evaluate, and recommend innovative technologies and techniques to improve productivity. Dive deep into existing software systems to understand processes, flow, and areas for process improvement on site in a manufacturing and customer service environment. Pursue knowledge and professional development through offsite training or conferences. Current Tech Stack we use: Experience is wonderful; however, training is available to the right candidate.CloudAWSAzureLanguagesVB.NETC#SQLTypescriptYAMLPythonPHP ToolsVisual StudioAzure DevOpsGitHub CopilotPostmanJIRA Service DeskConfluenceTerraformDatabasesMicrosoft SQL ServerMySQLMongoDBEducation: Bachelor’s degree, or equivalent work experiencePreferred skills and Experience:1-3 years in software development related position or internshipWe currently do not sponsor visas; However, we encourage candidates authorized to work in the U.S. to apply.Why Work for Metalcraft? At Metalcraft, we strive to understand. We help customers and businesses by understanding their complex processes and offering the best solutions. Our ID solutions include offering world-class products across multiple applications for various industries. Metalcraft delivers the most effective ID technology, as promised, to unleash the power of their data.We are a 73 year old company that acts like a startup. Our ESOP, established in 2006, empowers members to think and act like owners. Member-owners are encouraged, and supported, in their personal development. With a safe work environment, we have developed teams and programs that help members live healthy lifestyles and benefit from their healthy choices.The Metalcraft IT team takes pride in the ownership and accountability of all technology used throughout the company. Metalcraft leverages large enterprise software that is managed and extended by the IT team to make sure our company continues to achieve their sales and manufacturing goals. Metalcraft Software Engineers develop the best solutions for complex problems. Metalcraft has an environment that thrives on innovation to help improve processes and increase the quality of the products that are being shipped all over the world.Come grow with us!To learn more about what makes Metalcraft special, visit our website: www.idplate.com.Metalcraft is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.
        ","
          47 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Printing Services
Software Engineer I/II or III - Reporting Support and Development,BHE GT&S,"Des Moines, IA",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/software-engineer-i-ii-or-iii-reporting-support-and-development-at-bhe-gt-s-3904384297?position=8&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=ixwXrXrWfhysiy3qicurcw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionThis is a multi-level posting. Candidates may be considered for any of the posted levels, depending on their level of experience and depth of expertise.﻿The software engineer participates in the design, programming, testing, documentation and implementation of complex computer applications and systems. Evaluates software packages, provides recommendations to management and business clients, and identifies best technology solutions. Identifies future needs for key technologies and techniques and develops plans for adoption.About UsMidAmerican Energy Company, a Midwest utility, provides regulated electric and natural gas service to more than 1.6 million customers in Illinois, Iowa, Nebraska and South Dakota. The company owns and operates a portfolio of power-generating assets, approximately 61% of which is wind generation.OrganizationAt MidAmerican Energy Company, we celebrate diversity, equity and inclusion. MidAmerican Energy Company is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion or religious creed, age, national origin, ancestry, citizenship status (except as required by law), gender (including gender identity and expression), sex (including pregnancy), sexual orientation, genetic information, physical or mental disability, veteran or military status, familial or parental status, marital status or any other category protected by applicable local, state or U.S. federal law.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Oil and Gas
Data Engineer II (Hybrid),Principal Financial Group,"Des Moines, IA",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/data-engineer-ii-hybrid-at-principal-financial-group-3879312487?position=9&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=Qpta1gH4iPCFt%2B0jwkspvQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
What You'll DoPrincipal is looking for an experienced Data Engineer to join our Benefits and Protection Data Analytics Technology organization. In this role, you will aid in providing services and solutions that enable a cohesive experience for data producers to contribute easily and data consumers to find, request, and access consistent, governed, high quality, and secured data to meet analytical, business intelligence, and aligned operational needs.We use an agile practice, striving for fully managed regular deployments. This role presents the unique opportunity to influence the process and end product, while working with an existing skilled data engineering and analytics community.Understand business context and transfer that knowledge to build solutions around data products while keeping an enterprise and engineering mindset.Build out our curated data products in our cloud environment leveraging a wide range of native AWS Services and Snowflake.Develop strategies for data acquisition and influence others within the business area through explanation of policies, patterns, and practices. Work with teammates to build efficient, repeatable data pipelines to both serve and monitor models. Understand the trade-offs between technical, analytical, and product needs and lead to solutions that take all the needs into account.Continue maintenance, support, divestment initiatives of legacy platforms.Who You AreWe are looking for someone with:Bachelor's degree plus 2+ years related work experience or a Master's in a related field.2+ years of experience working with Python is required.2+ years of experience working with Cloud Platforms is required (prefer AWS but open to others).Planning, organizational, problem-solving, analytical, and decision-making skills.Strong communication (Verbal and Written).Additional Technical Experience: Building data products incrementally and integrating and managing datasets from multiple sources.Data Management practices (data profiling, data quality management, Master Data Management).Knowledge of modern data modeling techniques and data structures preferred.Understanding of ETL/ELT concepts.Ability to work directly with data and datastores through programming language such as SQL, Python, etc.DevOps practices (TDD, CI/CD, etc.)Salary Range InformationSalary ranges below reflect targeted base salaries. Non-sales positions have the opportunity to participate in a bonus program. Sales positions are eligible for sales incentives, and in some instances a bonus plan, whereby total compensation may far exceed base salary depending on individual performance. Actual compensation for all roles will be based upon geographic location, work experience, education, licensure requirements and/or skill level and will be finalized at the time of offer.Salary Range (Non-Exempt expressed as hourly; Exempt expressed as yearly)$75000 - $123000 / yearTime Off ProgramFlexible Time Off (FTO) is provided to salaried (exempt) employees and provides the opportunity to take time away from the office with pay for vacation, personal or short-term illness. Employees don’t accrue a bank of time off under FTO and there is no set number of days provided.Pension EligibleYesAdditional InformationJob LevelWe’ll consider talent at the next level with the right experiences and skills.Work EnvironmentsThis role offers in-office, hybrid (blending at least three office days in a typical workweek). You’ll work with your leader to figure out which option may align best based on several factors.Work Authorization/Sponsorship At this time, we're not considering candidates that need any type of immigration sponsorship (additional work authorization or permanent work authorization) now or in the future to work in the United States. This includes, but IS NOT LIMITED TO: F1-OPT, F1-CPT, H-1B, TN, L-1, J-1, etc. For additional information around work authorization needs please use the following links.Nonimmigrant Workers and Green Card for Employment-Based ImmigrantsInvestment Code of Ethics For Principal Global Investors positions, you’ll need to follow an Investment Code of Ethics related to personal and business conduct as well as personal trading activities for you and members of your household. These same requirements may also apply to other positions across the organization.Experience PrincipalWhile our expertise spans the globe, we're bound by one common purpose: to foster a world where financial security is accessible to all. And our success depends on the unique experiences, backgrounds, and talents of our employees – individually and all of us together. Explore our core values, benefits and why we’re an exceptional place to grow your career.Principal is an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.Posting WindowWe will accept applications for 3 full days following the Original Posting Date, after which the posting may remain open or be removed based upon applications received. If we choose to post the job again, we will accept additional applications for at least 1 full day following the Most Recently Posted Date. Please submit applications in a timely manner as there is no guarantee the posting will be available beyond the applicable deadline.Original Posting Date3/5/2024Most Recently Posted Date4/15/2024LinkedIn Hashtag
","
          121 applicants
        ",Entry level,Full-time,Information Technology,Financial Services
Data Link Products - Software Engineer,HCLTech,"Cedar Rapids, IA",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/data-link-products-software-engineer-at-hcltech-3886789164?position=11&pageNum=0&refId=TWNLTTeoazGvT272y5TjPw%3D%3D&trackingId=rZmhqHzEh2FQXSPfzN6O%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Skills you must have: Working knowledge of Assembly C, C++, Python/Perl Scripting Language knowledgeKnowledge of designing Device drivers and hardware-software integration software systems using object-oriented design principlesPrior experience as a software architect for a real-time embedded system. Demonstrated technical leadership capability for working with internal organizations and external customersExperience with design, development, and maintaining of flight-critical embedded software.Skills we value: Network protocol knowledge and Real Time Operating System knowledge .Knowledge of aircraft systems (Data Link, RTSA EICAS, CDU, FDSA , FMS, , etc.) and their function in the aircraft . Knowledge of air/ground messaging and related data link protocols (ARINC 619, ARINC 618) . Knowledge of A661 and A739 HMI display standardsKnowledge of D0-178B/C, DO-200, and DO-330 certification processesAerospace knowledge and experience. Basic Qualifications:BA/BS in Science, Technology, Engineering or MathematicsMA/MS in Science, Technology, Engineering or Mathematics.Bachelor’s in Science, Technology, Engineering or Mathematics with 8 years of prior relevant experience ORAn Advanced Degree in Science, Technology, Engineering or Mathematics with 5 years of relevant experience is required.In absence of a degree, 12 years of relevant experience is requiredMust be a Foreign National
","
          103 applicants
        ",Associate,Full-time,Information Technology,Aviation and Aerospace Component Manufacturing
