title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Junior Software Engineer/Remote,SynergisticIT,"Louisville, KY",2024-04-27,On-site,,https://www.linkedin.com/jobs/view/junior-software-engineer-remote-at-synergisticit-3907981974?position=1&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=0wPZ97r%2F6xf24Fs2QofP9w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Since 2010 Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a tech Job we make careers.In this market also we have been able to help our candidates get multiple job offers and $100k + salaries. please check the below links to see the success outcomes of our candidates  our participation at different Tech industry events and how we are different from other organizations in helping Jobseekers secure Tech careers https://www.synergisticit.com/candidate-outcomes/ https://reg.rf.oracle.com/flow/oracle/cwoh23/OCWExhibitorCatalog/page/OCWexhibitorcatalog We regularly interact with the Top Tech companies to give our candidates a competitive advantage see us exhibiting at Oracle Cloud World/Oracle Java One (Las Vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023 All Positions are open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like  Apple, Google, Paypal, Western Union, Client, visa, Walmart lab s etc to name a few.We have an excellent reputation with the clients. Currently, We are looking for  entry-level software programmers, Java full-stack developers, Python/Java developers, Data analysts/ Data Scientists, and Machine Learning engineers for full-time positions with clients.Who Should Apply Recent Computer Science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in the Tech Industry? We assist in filing for STEM extension and also for H1b and Green card filing to Candidates  https://www.youtube.com/watch?v=OFoqPTNORew  https://www.youtube.com/watch?v=-HkNN1ag6Zk  https://www.youtube.com/watch?v=OAFOhcGy9Z8  https://youtu.be/bJJl27D8bh0  We are looking for the right matching candidates for our clients Required Skills REQUIRED SKILLS For Java /Full stack/Software Programmer  Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT  Highly motivated, self-learner, and technically inquisitive  Experience in programming language Java and understanding of the software development life cycle  Project work on the skills  Knowledge of Core Java , javascript, C++, or software programming  Spring boot, Microservices, Docker, Jenkins, and REST API experience  Excellent written and verbal communication skills  For data Science/Machine learning Positions Required Skills Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT  Project work on the technologies needed  Highly motivated, self-learner, and technically inquisitive  Experience in programming language Java and understanding of the software development life cycle  Knowledge of Statistics, SAS, Python, Computer Vision, and data visualization tools  Excellent written and verbal communication skills  Preferred skills: NLP, Text mining, Tableau, PowerBI, SAS, Tensorflow  If you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team and only connect with candidates who are matching client requirements.  No phone calls please.  Shortlisted candidates would be reached out. No third-party or agency candidates or c2c candidates
        ","
            Be among the first 25 applicants
          ",Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Developer,Cynet Systems,"Frankfort, KY",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/data-developer-at-cynet-systems-3907407909?position=2&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=6I0%2FnnQRrKzB54sTloMxNA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description:  Responsibilities:      Developing, maintaining, and managing advanced reporting, analytics, dashboards, and other BI solutions.     Performing and documenting data analysis, data validation, and data mapping/design.     Reviewing and improving existing systems and collaborating with teams to integrate new systems.     Conducting unit tests and developing database queries to analyze the effects and troubleshoot any issues.     Creating tools to store data within the organization.     Create and manage the site's users and groups, create projects to organize content on the site, and assign permissions to allow users (groups) to access the content     Act as a Tableau developer and Subject Matter Expert (SME) as well as work closely with Master Data Management (MDM) professionals to ensure data sources are accurate, available, and analyzable.     Create and edit SQL queries within Tableau to build calculated fields.     Create interactive filters, parameters, and calculations for preparing dashboards and worksheets in Tableau.      Requirements:     Certified Tableau Site Admin (preferred).     Degree in Mathematics, Computer Science, Information Systems, or a related field.     Relevant work experience.     A solid understanding of SQL, rational databases, and normalization.     Proficiency in the use of query and reporting analysis tools.     Competency in Excel (macros, pivot tables, etc.)     5+ years experience in developing, maintaining, and managing Tableau-driven dashboards & analytics and working knowledge of Tableau administration/architecture.     Outstanding oral, written, and listening skills.     Understanding of Agile/Scrum methodologies and their interaction with business processes.     Experience working with collaborative teams in a fast-paced, dynamic environment and the flexibility to change priorities when needed.
","
            Be among the first 25 applicants
          ",Entry level,Contract,Information Technology,Information Technology & Services
Data Engineer,Diverse Lynx,"Erlanger, KY",2024-04-27,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-diverse-lynx-3907988521?position=3&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=NmWv6tpgdUN3%2BDocWcfUvw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description Qlik Replicate  Azure ADF  Azure Data Engineering  Regard Rajiv Ranjan Rai Diverse Lynx LLC |300 Alexander Park|Suite #200|Princeton , NJ 08540 Office : +1732-452-1006 ext:458 Email:   rajiv.rai@diverselynx.com   | URL:   http://www.diverselynx.com  Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Software Development
Associate Data Engineer,Harris Computer,"Kentucky, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909358106?position=4&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=5mdL2D%2BEI1G28%2FksOor96Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Data Analyst,Motherson Technology Services USA,"Louisville, KY",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-motherson-technology-services-usa-3903356104?position=5&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=htkICd2eQk%2BoJO%2BIgStYOg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Technical Data Steward/ Data analyst Contract/Fulltime Louisville, KentuckyPosition Overview:This position functions as a technical data steward within the organization, managing incoming data feeds and data quality.Essential FunctionsOperational responsibility for monitoring incoming and outgoing data feeds and data quality.Working with functional business data stewards, research data quality issues to resolution, and work with data engineers to continuously improve data quality processes.Analyze data, identifying trends to fine-tune business rules for data quality monitoring.Ad-hoc processing of jobs to load data.Works with Data Engineer to build/enhance data monitoring solutions.Follow up with data trading partners to resolve incoming data issues. Research issue and provide guidance to trading partner as to how to correct issues.Education, Experience and SkillsBachelor’s degree required in computer science, information technology, or business administration.Minimum of 3 years of experience as a data analyst.Strong communication skills.Strong analytical and problem-solving skills.Prefer supply chain experience.Prefer experience in an environment that processes data feeds from dozens/hundreds of trading partners.Technical skills required: MS SQL Server, T-SQL, and SSMS• Prefer experience in SSIS, SSRS, PowerBI, scripting language such as PowerShell, Python, etc., and Data Modeling.Strong desire to become SME in distributor and supplier data.Excellent written and verbal communication skills.Proficient with Microsoft Office Programs (i.e., Word, PowerPoint, and Outlook).
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Analyst and Supply Chain,"Transportation, Logistics, Supply Chain and Storage"
Data Analyst,Synchrony Health Services,"Louisville, KY",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-synchrony-health-services-3903394608?position=6&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=qqNHmkXj0CPc9huwB7SVsA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Careers close to home and your heart Since our founding in 1997, we’ve been making long-term care better for our residents and more rewarding for our team members. We’re a Fortune Best Places to Work in Aging Services, a certified Great Place to Work, and one of Glassdoor’s Top 100 Best Companies to Work. If you’re looking for a place that embraces you for who you are, helps you achieve your full potential, and makes working hard feel less like hard work, then look no further than Trilogy.The Data Analyst position requires a strong background in SQL programming and scripting. The Data Analyst is responsible for developing SQL queries for updating databases, migrating data, transforming data, importing, and exporting data, creating and deploying reports, and integrating applications. This individual will need experience utilizing Microsoft SQL Server, SQL Server Reporting Services (SSRS), SQL Server Integration Services (SSIS), Microsoft Power BI, and Microsoft Visual Studio.Roles and Responsibilities Gathers and analyzes data to produce dashboards, metrics, or insights and identify trends or anomalies in systems including but not limited to PowerBI, and SQL Server Reporting Services (SSRS). Uses standard or ad hoc queries or reports to extract data from disparate databases or data sources. Consults and collaborates with teams or decision makers to identify data sources, required data elements, or data validation standards. Collaborates with development teams to design business intelligence solutions to facilitate data gathering, storage, and retrieval. Aggregates data from multiple sources into centralized data repository. Creates integration packages to import and export data from multiple sources in SQL Server Integration Services (SSIS). Creates stored procedures, triggers, and views. Builds SQL server jobs and automation for aggregating and deploying data. Other duties as assigned.Physical RequirementsSitting, standing, bending, reaching, stretching, stooping, walking, and moving intermittently during working hours. Must be able to lift at least 50lbs. Must be able to maintain verbal and written communication with co-workers, supervisors, residents, family members, visitors, vendors, and all business associates outside of the health campus.QualificationsEducation Associate DegreeExperience 1-3 yearsLicenses and CertificationsBachelor's Degree preferredBryce (502) 771-8090
        ","
          141 applicants
        ",Entry level,Full-time,Information Technology,Hospitals and Health Care
Energy Systems Data Analyst,CLEAResult,"Kentucky, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/energy-systems-data-analyst-at-clearesult-3908294442?position=7&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=rsOj%2F2QEPEIyEVLJs8eUOw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryAt CLEAResult, we lead the transition to a sustainable, equitable, and carbon-neutral energy-efficient future for our communities and our planet. We do that by creating a people-first culture built on trust, accountability, and transparency; where every employee – regardless of position, role, or identity is treated with respect and given an equal chance to thrive.Additionally, You Will Enjoy Medical, Dental, and Vision Insurance; we also offer a company-paid health care concierge service to help navigate our health plan to make the best decisions for you and yours 401(k) with company match Paid vacation, sick, personal and parental leave time Paid Volunteer Time: giving back to our communities is important to us Employee Recognition Program – convert your recognition points into gift cards Employee Assistance Program – offers benefits to help you manage daily responsibilities Access to on-demand training courses to advance further in your careerJob DescriptionWe are looking for a talented individual…To join our team! CLEAResult’s Strategic Energy Management (SEM) team is expanding and has a new opportunity for the position of Data Analyst. As a Data Analyst, you will help support talented teams of SEM experts across the US and Canada; this position helps facilitate energy modeling and data processing for all SEM teams across North America. This role is focused on data analysis and is primarily internally facing; there will occasionally be interactions with clients and end use customers to acquire data and answer questions. The scope of this position will be the primary supporting function for the Statistical Analyst and process standardization for the international SEM program teams. Data Analysts will perform the pre- and post-modeling data review and manipulation for the Statistical Analysts, benchmarking reporting, and assisting in the development of our digital infrastructures.For this exciting career opportunity, you’re a great fit if you can… Production data manipulation and formattingAnalyzing large data sets for consistency and errorsIntegration of data into statistical software templatesCollaborate with internal and external teams to maintain database filesCollaborate with all program teams to create and maintain standardized templates for energy modeling and program dataCreate work instructions for newly created templatesFinal model and report tracking, drafting, editing, and QCData processing automationVisual basic and excel formula troubleshooting, modification, and creationSmartsheet data manipulationSharePoint experienceEnergy systems experienceEngineering background preferredSponsorship not available at this timeTarget Compensation$60,000 - $65,000 / annuallySponsorship is not available for this position.Compensation RangeCurrency Type SalaryAny offered salary is determined based on internal equity, internal salary ranges, market data/ranges, applicant’s skills and prior relevant experience, certain degrees and certifications (e.g. JD/technology), for example.Additional Job DescriptionEqual Opportunity EmployerAs an Equal Opportunity Employer, we are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant’s race, color, religion, national origin, marital status, age, sex, gender identity, sexual orientation, status as a qualified individual with a disability or protected veteran, or any other protected status.The above job description and job requirements are not intended to be all inclusive. CLEAResult retains the right to make changes or adjustments to job descriptions and/or requirements at any time without notice.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Utilities
System Engineer (User operation support),Cinter Career,"Louisville, KY",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/system-engineer-user-operation-support-at-cinter-career-3887833281?position=8&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=RfMd4TYLOiMhoQ0dyBvA2w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          We are seeking an System EngineerClient : Japanese ManufacturerWorking Location Louisville, KY (Client office Onsite)Employment Type : Full-Time Salary : 55-60K per yearJob OverviewProvide support services during designated service operation hours, as directed by the client and/or company management Have a proactive communication with both client and company managementUnderstand the requirements and instructions from company management, delivering services in alignment with these directives, including adherence to Bring Your Own Device (BYOD) policiesEngage with all relevant company-provided documents and training materialsSubmit company requited report, attendance for requested meeting, training courseMentor and train new team members if necessaryFollow team manager’s request/instruction to operate IT operation support teamKey ResponsibilitiesProvide technical support to client users as an IT Support memberProvide and manage client IT support operation related documentUnderstand and follow client’s request and instructionExpand the business with existing and new clientRequirement And SkillsVery flexible adaptable mindset and embraces challenges, particularly in response to sudden changes in requests, work-flow, rules, responsibility range, and environmentStrong drive to handle heavy workloads with determination and motivationShows a strong determination to reach set goalsPossesses a minimum of 3 years of experience of user operation supportStrong attention to details with the ability to troubleshoot issues and provide resolutionsTeam-oriented personalityExcellent communication skillsMicrosoft Office (Outlook/Word/Excel/PowerPoint)English (speaking and writing) skill Capable of lifting and carrying items weighing up to 20 lbsAdditional InformationsEnsure readiness at the client's operational site prior to the commencement of service operations. Adhere to attire guidelines provided by the client and/or company management while on-siteWork Environment Client’s site (Remote / Locations where computers and phones can connect to the Internet, in case client requests for special occasions such as Covid-19 outbreak)Travel:Candidates may be required to travel for both domestic and international assignments. Additionally, they should be prepared to work outside of regular business hours, including weekends and national holidays, if necessary.Powered by JazzHR8i0V60swXe
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Internet Publishing
Data Analyst,CareRing Health,"Louisville, KY",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-carering-health-3883224317?position=9&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=oSorOQwMtA8WcAfHYM%2F6lQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
OverviewCareRing Health is the healthcare-at-home leader, dedicated to bringing a comprehensive and coordinated ring of care – including home health, home-based primary care, homecare, and hospice care – to the chronically-ill, Medicaid/Medicare-eligible population. Our innovative healthcare delivery model will result in better patient outcomes and bring health equity to this underserved population.We are seeking talented, passionate individuals to join our mission and help our patients live happier and healthier lives where they want to be…in their homes.What We Offer:*We Know That, To Be The Best Place For Our Patients, We Must Be The Best Place To Work For Our Employees. We Offer The Following To Our EmployeesBe part of a unique healthcare company where we can help those who need our help the mostCompetitive payPaid on a weekly basisMedical/dental/vision/life insurancePaid holidays/PTO/401(k) matchCareer growth opportunitiesGreat and collaborative work environmentResponsibilitiesWhat You Will Do:Proactively and independently obtain/analyze data to gather insights/identify opportunities and communicate findings to leadership to optimize business operationsTransform and organize data into recurring dashboards, reports, and tools (using Power BI) that will drive action across various business functionsConduct in-depth data analysis using advanced Excel functions, pivot tables, and macros to identify patterns, anomalies, and opportunities for improvement.Collaborate with cross-functional teams, including operations, clinical, human resources, and finance, to understand data requirements and provide analytical support for various initiativesQualifications Qualifications Strong sense of intellectual and operational curiosityHigh attention to detailProblem-solverStrong written and verbal communication skillsBachelor’s degreeTwo or more years of experience in data intelligence/optimization roleProficiency in Microsoft suite, including Microsoft AccessProficiency in PowerBI, data modeling, and data visualization techniquesEligibility for certain benefits may depend on employment statusCareRing Health is an equal opportunity employer committed to providing equal employment opportunities without regard to race, color, religion, sex (including pregnancy), sexual orientation, age, national origin, disability, genetic information, veteran status, or any other classification protected by applicable law.
        ","
          118 applicants
        ",Entry level,Full-time,Information Technology,Home Health Care Services
Software Engineer,Epic,"Covington, KY",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-epic-3909190205?position=10&pageNum=0&refId=pQXWUq6Q%2B1zeNRJVx4KSKg%3D%3D&trackingId=EORXwh9sYxMCLhAGU%2BGjFg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.Code that saves lives. As a software developer at Epic, you’ll write software that impacts the lives of 75% of Americans and 300 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you’ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.Write software for the most innovative health systems on the planet.The top-ranked health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.Experience our state-of-the-art campus, eat delicious food, and travel the world.We don’t believe in cubicles. (Well, we believe they exist, but…) Our uniquely themed campus was designed to heighten your ability to get stuff done in your office, a conference room, or by the fireplace in a comfy chair. For lunch, visit King’s Cross or Cassiopeia for a wide array of meal options, or go to one of our smaller, themed bistros, featuring wood-rotisserie, pan-Asian, and Latin-inspired cuisine. All meals are restaurant-quality but cost only a few dollars, and they’re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you’ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyoncé concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.Live affordably in a city known for its rising tech talent.Epic is located just outside Madison, Wisconsin, which is the second fastest growing market for tech talent in the United States, home to the state capital, and the University of Wisconsin. Madison has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), fittest city in America (Fitbit), and, for the gamers, is one of a handful of US cities to have a Killer Queen arcade game, located at Madison’s first arcade bar.More than just important work.We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.Relocation to Madison, WI area (reimbursed)BS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related fieldA history of academic excellence or professional successEligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)COVID-19 vaccination
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Software Development
