title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer III,The Times-Picayune | Nola.com,"New Orleans, LA",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/data-engineer-iii-at-the-times-picayune-nola-com-3887942234?position=1&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=HP0LrCU9wamkRvlrkwherQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Data Engineer III is responsible for the installation, testing, maintenance, and development of scalable data-management systems.The Data Engineer III is responsible for the design, execution and monitoring of Extract, Transform, Load (ETL) operations. As a senior member of the Business Intelligence team, the Data Engineer will design solutions independently and with the Data Architects.The Data Engineer is able to perform complex data modelling.Additional responsibilities of the position include conducting data analysis, data integrity, and quality assurance testing; creating reports and dashboards for data consumption by the user community; assisting the Data Architect Team with evaluating data-management technologies, and performs other related tasks as assigned.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Broadcast Media Production and Distribution
Associate Data Engineer,Harris Computer,"Louisiana, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909357252?position=3&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=7NyrJpZnnvJ1qB%2B64K14AA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Clinical Data Analyst,The Times-Picayune | Nola.com,"New Orleans, LA",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/clinical-data-analyst-at-the-times-picayune-nola-com-3899315090?position=4&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=gBKgvbIBdj3K2nn7Oecgnw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Clinical Data Analyst pulls information from multiple data sources across departments and creates accurate, comprehensive data sets for end-users. He/she must be adept at combining data sets from multiple systems and presenting the aggregate data using a variety of industry standards. He/she will provide oversight and day to day monitoring of clinical activities including reviewing and managing professional billing activities, RVU reports and coding benchmarking. The Clinical Data Analyst will also work with other university partners to fulfill data requests as needed. The Clinical Data Analyst assists with data collection, conducts data analysis, and develops reports, and works closely with department leadership to evaluate clinical activity compared to budget and project.
        ","
          26 applicants
        ",Mid-Senior level,Full-time,Information Technology,Broadcast Media Production and Distribution
Data Engineer III,Tulane University,"New Orleans, LA",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/data-engineer-iii-at-tulane-university-3885943492?position=5&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=1oKegkqQukhpzKc1iaHI9A%3D%3D&trk=public_jobs_jserp-result_search-card,"
SummaryThe Data Engineer III is responsible for the installation, testing, maintenance, and development of scalable data-management systems.The Data Engineer III is responsible for the design, execution and monitoring of Extract, Transform, Load (ETL) operations. As a senior member of the Business Intelligence team, the Data Engineer will design solutions independently and with the Data Architects.The Data Engineer is able to perform complex data modelling.Additional responsibilities of the position include conducting data analysis, data integrity, and quality assurance testing; creating reports and dashboards for data consumption by the user community; assisting the Data Architect Team with evaluating data-management technologies, and performs other related tasks as assigned.Required Knowledge, Skills, And Abilities Excellent oral and written communication skills.  Excellent analytical and problem solving skills. Ability to effectively identify and troubleshoot issues, as well as provide viable solutions and/or recommendations. Highly proficient data analysis and data management skills.  Working knowledge of Agile Practices. Familiarity with multiple programming languages and frameworks. Working knowledge of SDLC Methodologies and Practices. Sound knowledge of SQLServer, Oracle, NoSQL and Graph databases. Demonstrated proficiency in the utilization of Data Visualization tools (Cognos, Power BI, MicroStrategy, or similar tools. Proficient use of Informatica or similar ETL tools. Ability to efficiently install and support data management systems, including databases, data design software, and ETL software. Required Education and/or Experience Bachelor's Degree in Computer Science or a related field and six(6) years' IT experience, including SQL, Data Modeling tools, ETL, Data Warehousing, Data Visualization, Linux and Windows OS experience, plus one (1) year Agile Project Management experience. Preferred Qualifications Business Intelligence experience in Higher Education
","
          29 applicants
        ",Mid-Senior level,Full-time,Information Technology,Higher Education
ETL Analyst,Lorven Technologies Inc.,"Baton Rouge, LA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/etl-analyst-at-lorven-technologies-inc-3888430636?position=7&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=X6IIBf%2BuYU64OKM4xtiRZQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: ETL AnalystLocation: Baton Rouge, LA/Remote till covid. Contract PositionJob DescriptionRoleData Analysis, Data Mapping, ETL Experience, Building SSIS packages from scratch, knowledge about Child welfare services, sharp comm skills, knowledge of agile methodology, problem solver mentality.cooperative and prepared to work remotely for now for CST 0800-1700 HRS.High proficiency with SQL - DML and DDL scripts on MS SQLSERVEREducationBachelor's degree5+ years' experience3+ in the database, ETL, SQL ServerRemote till Covid
","
            Be among the first 25 applicants
          ",Entry level,Contract,Other,IT Services and IT Consulting
Energy Systems Data Analyst,CLEAResult,"Louisiana, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/energy-systems-data-analyst-at-clearesult-3908292746?position=8&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=ye3sxjIbIzoeW4MD%2BN7J3w%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryAt CLEAResult, we lead the transition to a sustainable, equitable, and carbon-neutral energy-efficient future for our communities and our planet. We do that by creating a people-first culture built on trust, accountability, and transparency; where every employee – regardless of position, role, or identity is treated with respect and given an equal chance to thrive.Additionally, You Will Enjoy Medical, Dental, and Vision Insurance; we also offer a company-paid health care concierge service to help navigate our health plan to make the best decisions for you and yours 401(k) with company match Paid vacation, sick, personal and parental leave time Paid Volunteer Time: giving back to our communities is important to us Employee Recognition Program – convert your recognition points into gift cards Employee Assistance Program – offers benefits to help you manage daily responsibilities Access to on-demand training courses to advance further in your careerJob DescriptionWe are looking for a talented individual…To join our team! CLEAResult’s Strategic Energy Management (SEM) team is expanding and has a new opportunity for the position of Data Analyst. As a Data Analyst, you will help support talented teams of SEM experts across the US and Canada; this position helps facilitate energy modeling and data processing for all SEM teams across North America. This role is focused on data analysis and is primarily internally facing; there will occasionally be interactions with clients and end use customers to acquire data and answer questions. The scope of this position will be the primary supporting function for the Statistical Analyst and process standardization for the international SEM program teams. Data Analysts will perform the pre- and post-modeling data review and manipulation for the Statistical Analysts, benchmarking reporting, and assisting in the development of our digital infrastructures.For this exciting career opportunity, you’re a great fit if you can… Production data manipulation and formattingAnalyzing large data sets for consistency and errorsIntegration of data into statistical software templatesCollaborate with internal and external teams to maintain database filesCollaborate with all program teams to create and maintain standardized templates for energy modeling and program dataCreate work instructions for newly created templatesFinal model and report tracking, drafting, editing, and QCData processing automationVisual basic and excel formula troubleshooting, modification, and creationSmartsheet data manipulationSharePoint experienceEnergy systems experienceEngineering background preferredSponsorship not available at this timeTarget Compensation$60,000 - $65,000 / annuallySponsorship is not available for this position.Compensation RangeCurrency Type SalaryAny offered salary is determined based on internal equity, internal salary ranges, market data/ranges, applicant’s skills and prior relevant experience, certain degrees and certifications (e.g. JD/technology), for example.Additional Job DescriptionEqual Opportunity EmployerAs an Equal Opportunity Employer, we are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant’s race, color, religion, national origin, marital status, age, sex, gender identity, sexual orientation, status as a qualified individual with a disability or protected veteran, or any other protected status.The above job description and job requirements are not intended to be all inclusive. CLEAResult retains the right to make changes or adjustments to job descriptions and/or requirements at any time without notice.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Utilities
Data Analyst,University of Louisiana at Lafayette,"Lafayette, LA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-university-of-louisiana-at-lafayette-3887675806?position=9&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=J4m40JQI1VgvvM4uGtckHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position Title: Data Analyst Department : 9261|Kathleen B Blanco Public Policy CtrResponsibilitiesThe Kathleen Blanco Public Policy Center at the University of Louisiana at Lafayette is an independent, interdisciplinary research center and archive engaged in research across a range of topics in public policy. Our core policy areas of focus include education, poverty and economic opportunity, criminal justice reform, health and healthcare, the coast and environment, and governmental ethics.ResponsibilitiesThe Data Analyst is a staff researcher who is expected to support research efforts at the intersection of data analysis and public policy. A successful Data Analyst will provide leadership for data-intensive research projects and contribute to other projects that need advanced data analysis. The Data Analyst will help support grant and other funding opportunities that will help expand the Center's capacity for research. In their work at the center, the Data Analyst will collaborate with other members of the Blanco Center team as well as researchers across campus and beyond.Essential Functions Adept at project management and demonstrated the ability to provide technical support across a range of research projects Able to manage research tasks including timelines to complete interim steps and contribute toward overall project completion, ensuring timely completion of major milestones and project deliverables Ability to manage, organize, and interpret data, write reports, and prepare data both for public consumption and for use in the Blanco Center’s research and publications Excellent writing skills and ability to draft narrative material for incorporation into research reports Skilled at providing constructive recommendations on design and implementation of research projects to senior members of the Blanco Center staff Supportive of efforts to secure new research Capable of participating in virtual and in-person meetings with external partners and research sponsorsQualifications Required Qualifications: Bachelor’s degree in Statistics, Economics, Political Science, Sociology, Urban Planning, Quantitative Social Sciences, Biostatistics, or a related field and 3-5 years of related work experienceOR a graduate degree in a related field will substitute for 3-5 years of experiencePreferred QualificationsMaster’s degree in Statistics, Economics, Political Science, Sociology, Urban Planning, Quantitative Social Sciences, Biostatistics, or a related fieldPrevious coursework and research experience in at least one Blanco Center priority policy areaExperience working with statistical software packages such as R, Python, STATA, SAS, and/or SPSS as well as prior experience working in ArcGIS and/or Tableau are preferredDemonstrated creativity in problem solving, self-motivation, and ability to work collaboratively in teams.Exceptional written and oral communication skills, analytical skills, and familiarity with a range of computer software (including by not limited to Microsoft Office).Candidate must demonstrate creativity in problem solving, must be self-motivated, and able to work collaboratively in teamsJob Ad# (req3792)
        ","
            Over 200 applicants
          ",Entry level,Full-time,Information Technology,Higher Education
Senior Software Engineer,Coteva,Shreveport-Bossier City Area,2024-04-25,On-site,,https://www.linkedin.com/jobs/view/senior-software-engineer-at-coteva-3911348578?position=10&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=LNqkKdsi%2FSRngASk6zlPQA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Supporting the automation of the business is critically important. The successful candidate will have an understanding of the healthcare insurance industry and be willing to learn the details of the industry. The majority of the programming is in SQL, but C# is also important.An ability to work through the development of requirements with operations personnel is a necessary skill.Software development is critically important to the continued success of the company, as such software developers are highly valued team members.IndustryInsuranceEmployment TypeFull-timeQualificationsBachelor's degree in Computer Science (or related field)3+ years of relevant work experienceExpertise in Object Oriented Design, Database Design, and XML SchemaExperience with Agile or Scrum software development methodologiesAbility to multi-task, organize, and prioritize work
","
          71 applicants
        ",Mid-Senior level,Full-time,Engineering and Information Technology,Insurance
IS Business Intelligence Developer,Ochsner Health,"New Orleans, LA",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/is-business-intelligence-developer-at-ochsner-health-3889841855?position=11&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=YRpR6dR8DmOczy3Bm0UeRw%3D%3D&trk=public_jobs_jserp-result_search-card,"
We've made a lot of progress since opening the doors in 1942, but one thing has never changed - our commitment to serve, heal, lead, educate, and innovate. We believe that every award earned, every record broken and every patient helped is because of the dedicated employees who fill our hallways. At Ochsner, whether you work with patients every day or support those who do, you are making a difference and that matters. Come make a difference at Ochsner Health and discover your future today! This job oversees all stages of the business intelligence cycle including understanding business objective, collecting business requirements and translating them into data requirements, designing and developing reports or dashboards (code and visualization), scheduling and deployment of business intelligence components in accordance with supplied standards and best practices, and completing accurate and timely documentation. Collaborates with business and technology departments to understand system data and its use, data analysis and validation, and providing support around the data and how it is integrated. Monitors production systems for issues and resolves issues or elevate them for resolution when necessary.To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential duties.This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at the company’s discretion.Job Duties: This job is responsible for all stages of the business intelligence cycle: understanding business objective, collecting business requirements and translating them into data requirements, designing and developing reports or dashboards (code and visualization), scheduling and deployment of business intelligence components in accordance with supplied standards and best practices, and completing accurate and timely documentation. Collaborates with business and technology departments to understand system data and its use, data analysis and validation, and provides support around the data and how it is integrated. Monitors production systems and servers for issues and resolves issues or elevates them for resolution. Assists in data modeling, data warehouse design and in defining business intelligence processes. Mentors and assists BI Developers to develop a deep understanding of the data, its use, and the structure of reports and dashboards. Works with business stakeholders to understand their business objectives and develop analytical solutions to improve business operations. Provides expertise in all facets of logical modeling and presentation solutions including prototyping and proof of concept, using best practices within the business intelligence environments. Maintains and develops documentation to identify and define processes or procedures. Manages data by following best practices. Supports and monitors business intelligence systems and processes. Administers business intelligence server(s) and/or processes. Serves as a technical resource and support to multiple teams. Other related duties as required. Travel to New Orleans at least quarterly.Employer: Ochsner Clinic FoundationGeographic area of employment: New Orleans, LA. May work remotely in U.S. but must meet physically in New Orleans 1-2 days per week.Education Required:Bachelor’s degree in computer science, computer engineering, or related field.Experience Required:12 months as a software engineer, computer programmer, or related IT occupation.Other Requirements: 1 year of experience within a healthcare organization programming in SQL, performing data analysis and profiling, utilizing relational database systems, and building reports and business intelligence systems.  1 year of experience as a software engineer or software developer collaborating with end users to define metrics and business requirements in a healthcare setting. Applicants must reference REQ_00200658 and apply online at www.ochsner.org/careersThe above statements describe the general nature and level of work only. They are not an exhaustive list of all required responsibilities, duties, and skills. Other duties may be added, or this description amended at any time.Remains knowledgeable on current federal, state and local laws, accreditation standards or regulatory agency requirements that apply to the assigned area of responsibility and ensures compliance with all such laws, regulations and standards.This employer maintains and complies with its Compliance & Privacy Program and Standards of Conduct, including the immediate reporting of any known or suspected unethical or questionable behaviors or conduct; patient/employee safety, patient privacy, and/or other compliance-related concerns.The employer is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.Physical and Environmental DemandsThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Medium Work - Exerting 20 to 50 pounds of force occasionally, and/or 10 to 25 pounds of force frequently, and/or greater than negligible up to 10 pounds of force constantly to move objects. (Constantly: activity or condition exists 2/3 or more of the time) to move objects. Physical demand requirements are in excess of those for Sedentary Work. Even though the weight lifted may be only a negligible amount, a job should be rated Light Work: (1) when it requires walking or standing to a significant degree; or (2) when it requires sitting most of the time but entails pushing and/or pulling of arm or leg controls; and/or (3) when the job requires working at a production rate pace entailing the constant pushing and/or pulling of materials even though the weight of those materials is negligible. NOTE: The constant stress and strain of maintaining a production rate pace, especially in an industrial setting, can be and is physically demanding of a worker even though the amount of force exerted is negligible.Normal routine involves no exposure to blood, body fluid or tissue and as part of their employment, incumbents are not called upon to perform or assist in emergency care or first aid.The incumbent has no occupational risk for exposure to communicable diseases.Because the incumbent works within a healthcare setting, there may be occupational risk for exposure to hazardous medications or hazardous waste within the environment through receipt, transport, storage, preparation, dispensing, administration, cleaning and/or disposal of contaminated waste. The risk level of exposure may increase depending on the essential job duties of the role.Are you ready to make a difference? Apply Today!Ochsner Health does not consider an individual an applicant until they have formally applied to the open position on this careers website.Individuals who reside in and will work from the following areas are not eligible for remote work position: Colorado, California, Washington, and New York.Ochsner Health endeavors to make our site accessible to all users. If you would like to contact us regarding the accessibility of our website, or if you need an accommodation to complete the application process, please contact our HR Employee Solution Center at 504-842-4748 (select option 1) or careers@ochsner.org. This contact information is for accommodation requests only and cannot be used to inquire about the status of applications.We are proud to be an Equal Employment Opportunity and Affirmative Action employer. We are committed to the principles of equal employment opportunity and providing a workplace that is free from discrimination based on race, color, creed, religion, pregnancy status, pregnancy-related conditions, national origin, ancestry, mental or physical disability, medical condition, age, veteran status, military status, citizenship status, marital status, familial status, sexual orientation, gender, gender identity or expression, genetic information, political affiliation, unemployment status, or any other characteristic protected under applicable federal, state or local law. These protections extend to applicants and all employment related decisions. View the EEO is the Law poster and its supplement, as well as the pay transparency policy for more information.Affirmative Action Policy Statement
","
          46 applicants
        ",Mid-Senior level,Full-time,Information Technology,Hospitals and Health Care
IS Data Consultants #REQ_00200636,The Times-Picayune | Nola.com,"New Orleans, LA",2024-04-20,On-site,,https://www.linkedin.com/jobs/view/is-data-consultants-%23req-00200636-at-the-times-picayune-nola-com-3907325662?position=12&pageNum=0&refId=KvCigtc9HqAdIsUelSBbVQ%3D%3D&trackingId=Uyy6UJqqmttgV8InnKUA0A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Ochsner Clinic Foundation seeks IS Data Consultants to interpret and document business needs to support the development of analytics solutions and to perform other duties. The worksite is in New Orleans with travel as needed to New Orleans worksite 1 or 2 times per month. Remote work available, but must meet physically in New Orleans 1-2 days per week.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Broadcast Media Production and Distribution
