title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Senior Data Engineer,IDEXX,"Westbrook, ME",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-idexx-3895286733?position=1&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=De%2BBeRMnTAiPo4N8uam%2F1w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          As a Senior Data Engineer in the Corporate Strategy Advanced Analytics team, you will partner with others across the organization to enable access to enriched data for analysis and visualization for internal and external stakeholders. You will be responsible for helping define processes that allow consumers (both individual and software) to efficiently utilize appropriate data assets while ensuring compliance with defined standards.DepartmentThe Corporate Strategy Advanced Analytics is a high-visibility team that plays a vital role in identifying growth opportunities. The group supports essential business strategy projects and performs critical analyses for internal and external partners using a wide range of data assets.Our Tech StackAWS, Snowflake, Hadoop, DataBricks, Spark, R, Python, SQLIn this roleYou will design and implement scalable, reliable distributed data processing frameworks and analytical infrastructure using multiple technologies, including data sets or data warehouses, data virtualization and services, and repositories of semi-structured data sets.You will define, design, and implement data management, storage, backup, and recovery solutions that ensure the high performance of the organization's enterprise data.You will design automated software deployment functionality that efficiently manages applications across distributed platforms.You will monitor structural performance and utilization, identify problems, and implement solutions.You will lead the creation of standards, best practices, and new processes for the operational integration of new technology solutions.You will ensure environments are compliant with defined standards and operational procedures.You will implement measures to ensure data accuracy and accessibility, constantly monitoring and refining the performance of data management systems.What do you need to succeed?5+ years of related work experience in a business environment.You have experience owning a technology product and assuming a technical lead role.You understand structural requirements and can define standards for storing, consuming, integrating, and managing data.You are proficient in coding and programming languages such as Structured Query Language (SQL) and Python. Familiarity with R will be an advantage.You are familiar with cloud platforms such as Amazon Web Services (AWS).You have experience or a good understanding of: Hadoop-based technologies like MapReduce, Spark, Hive, Presto and Pig SQL-based technologies like Oracle, PostgreSQL and MySQL NoSQL technologies like Cassandra and MongoDB data warehousing solutions and relational database theory industry-standard software APIs.You have good verbal and written communication skills and can translate technical subject matter to non-technical audiences.You take the initiative in resolving problems and can balance conflicting requirements in partnership with others.You excel at customer service and building relationships.You have experience building distributed and cloud-based data pipelines.Why IDEXXWe’re proud of the work we do because our work matters. An innovation leader in every industry we serve, we follow our Purpose and Guiding Principles to help pet owners worldwide keep their companion animals healthy and happy, to ensure safe drinking water for billions, and to help farmers protect livestock and poultry from diseases. We have customers in over 175 countries and a global workforce of over 9,000 talented people.So, what does that mean for you? We enrich the livelihoods of our employees with a positive and respectful work culture that embraces challenges and encourages learning and discovery.   At IDEXX, you will be supported by competitive compensation, incentives, and benefits while enjoying purposeful work that drives improvement.Let’s pursue what matters together.IDEXX values a diverse workforce and workplace and strongly encourages women, people of color, LGBT individuals, people with disabilities, members of ethnic minorities, foreign-born residents, and veterans to apply.IDEXX is an equal opportunity employer. Applicants will not be discriminated against because of race, color, creed, sex, sexual orientation, gender identity or expression, age, religion, national origin, citizenship status, disability, ancestry, marital status, veteran status, medical condition, or any protected category prohibited by local, state, or federal laws.
","
          79 applicants
        ",Not Applicable,Full-time,Information Technology,"Biotechnology Research, IT Services and IT Consulting, and Veterinary Services"
Associate Data Engineer,Harris Computer,"Maine, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909356475?position=2&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=SUnWKZQEQvjSLd%2FT5WsMFg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Senior Data Engineer,Extend Information Systems Inc.,"New Boston, ME",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-extend-information-systems-inc-3888438701?position=3&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=aaXwkzJnPZYhiknacH8Tdg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello,Greetings!!We are actively hiring Senior Data Engineer. It's a Contract/ Full Time Position. Please have a look of below job description and let me know if you are interested. Zeenat@extendinfosys.com.Role: Senior Data EngineerLocation: Boston MA, Durham North Carolina, Westlake TexasFull-time/Contract(Day 1 Onsite)Must Have SkillsExpertise in designing and developing analytics / operational insights and real time dashboards using Python, Java both on-premise and cloud (AWS EC2/RDS & Azure SQL MI).Strong Database experience on one or more DBMS such as Oracle, DB2, Netezza, SQL server, PostgreSQL, Mongo etc.). SQL Queries, Joins and performance monitoring/tuning.Excellent communication skills and experience in Agile methodologies Kanban/Scrum.Good To Have SkillsKnowledge on DevSecOps, CI/CD, Automation, & AI OPS/ML OPS.Knowledge on Informatica powercenter Admin support, Snowflake SysDBA.Knowledge on Nifi for Database Operations, Optim for Data Masking, Kubernetes for cluster management on AWS and Real Time platform such Aerospike for ATIM & UID.Thank You,Zeenat Nayer | Technical Recruiter | Extend Information Systems Cell: 571-800-0882Email: zeenat@extendinfosys.comAddress: 44355 Premier Plaza UNIT 220, Ashburn, VA, USA - 20147Web: WWW.extendinfosys.com
        ","
            Over 200 applicants
          ",Mid-Senior level,Contract,Other,IT Services and IT Consulting
Senior Data Engineer,WEX,"Portland, ME",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-wex-3901811731?position=4&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=PfSrPPETiK3H9xWMQpwWVw%3D%3D&trk=public_jobs_jserp-result_search-card,"
(*) This is a remote position; however, the candidate must reside within 30 miles of one of the following locations: Boston, MA; Dallas, TX; San Francisco Bay Area, CA; Portland, ME; and Washington, D.C.About The Team/RoleOur team consists of small, agile development teams focused on building state of the art solutions from the ground up using the best technology available. We focus on cloud-based microservice solutions to help achieve fast, scalable results that allow our business partners the flexibility they need to compete in our competitive market.Our team of professionals works hard, covers for one another, and maintains a work-life balance. We own our results and we take pride in ownership in everything we do.Changing the world isn’t easy, and we have a lot of work ahead of us. From new product features to automation, to supporting microservices, we’ve got more work than we can handle and we’re looking for great people to come along for the ride.How you’ll make an impactDesign and Implement data driven strategies that transform processes to enable efficiency and scaleArchitect new process flows to implement Artificial Intelligence and Machine LearningTranslate data transformation strategies into implementation plans, then execute on those plans to deliver requirementsRespond to changing business requirements by adapting data stores to address current business conditionsCollaborate on, and implement solutions that enable Analysts to leverage Data Science tools and applications to drive improvementsExperience you’ll bringHave a BS or MS in a relevant field OR can make us feel intensely confident that you don’t need oneHave solid experience with Data Analytics & Engineering experience, including Data Management, ArchitectureA demonstrable working understanding of at least one modern programming framework (i.e. Python, Pyspark, Spark) and at least one modern API framework (i.e. REST)The base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.Salary Pay Range: $100.000,00 - $133.000,00
        ","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
JUNIOR Software Engineer (Java / React.JS),TechTammina LLC,"Augusta, ME",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/junior-software-engineer-java-react-js-at-techtammina-llc-3888444829?position=5&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=n6TQdU3bXw%2FgAFWeh%2FJgug%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Role: JUNIOR Software Engineer (Java / React.JS)Location: Augusta, Maine (100% onsite)Duration: 12 monthsRate: MarketCurrently looking for a Software Engineer to provide additional experience developers to augment the in-house development staff as we refactor two major application systems to a REST based SOA architecture paired with a WCAG 2.0 compliant modern browser-based UI.These additional contract programmers will bring experience coding Java for the target system architecture, working closely with existing programmers which have extensive knowledge of the existing system and necessary business logic. State staff cannot dedicate sufficient time to the refactoring and UI improvements to the application to complete them in a reasonable time, while providing day-to-day maintenance of our in-house applications. The longer the development process takes, the more the end functionality becomes a moving target, causing double the maintenance changes to be coded - in both new and old application code. Additional resources are necessary to achieve completion of major areas of the application within a matter of months, and a rolling schedule of REST and GUI designcompleted for further areas.DutiesDevelop and implement user interfaces and UI components using React.js, calling upon REST API services.Refactor business logic and DB I/O java code from servlets implementing complete MVC to SOA.Write Java Code for a Service Oriented Architecture utilizing JSON/REST via Spring and CXF.QA/TestingMaven and test Mock class implementations to enable unit testing and instrument the tested code paths.Automated security analysis of Java code
        ","
          56 applicants
        ",Entry level,Full-time,Other,IT Services and IT Consulting
Senior System Engineer,Enercon Technologies,"Portland, Maine Metropolitan Area",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/senior-system-engineer-at-enercon-technologies-3703000951?position=6&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=2gr3R3dXzhODWRam5z1JEQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Summary:As a Senior Systems Engineer -Technical Lead you will serve as the technical lead on our most complex new product development projects. You will perform design activities at the system level and will coordinate cross-functional teams in the design and development of custom electromechanical and electronics-based products for Enercon and its customers. In the role of Senior Systems Engineer:You will work closely with the Program Manager to coordinate development activities and to make cross-functional technical decisions in the context of a project. You will be responsible for the technical success of a project team in the design and development of complex electromechanical, electronics-based, and embedded systems-based products.You will provide technical leadership within projects - identifying required development activities and directing other design team members in completing those activities.You will collaborate with project team members to identify product requirements and develop design strategies using the best approach based on performance, cost, and resources.You will architect products – selecting technologies to be used as well as identifying how functionality will be distributed across hardware and software.You will contribute directly to product designs – supplementing electrical, mechanical, and firmware design resources on the team.You will lead bring-up, debugging, and system integration activities for new products.You will lead the project team in the completion of DHF deliverables including design documentation, risk management, and compliance requirements.You will support cross-functional team members on design transfer activities including the development of assembly processes and production test solutions.You will work with Program Managers to quote development work and plan/maintain the project schedule for development programs.You will document ideas, designs, specifications, and instructions to Enercon’s standards.The skills you need to succeed:You must demonstrate experience and expertise in the design and development of electromechanical, electronics-based, and/or embedded system-based products.You must have a working understanding of the technical aspects associated with electronics systems design, including electronics design, firmware development, and mechanical design.You must have communication and technical leadership skills needed to interface with the with the customer and direct a technical team through a development project.You should be familiar with tools commonly used in product development projects – Jira, Git, MS Project, Visio, etc.You should have knowledge of regulatory requirements that may affect a design such as ISO, UL, and IEC. Experience in medical device development specifically is a strong plus.You must be able to identify and execute design tasks as well as provide technical direction to others with a minimum of supervisionYou must possess good interpersonal skills and have the ability to work between multiple departments in carrying out this position’s duties.Education and experience of a successful candidate:A 4-year degree or equivalent experience in Systems Engineering, Electrical Engineering, Computer Engineering or a related engineering discipline.A minimum of 8 years of electronics product development or equivalent experience.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Engineering, Manufacturing, and Design","Appliances, Electrical, and Electronics Manufacturing"
"Senior Data Engineer, Full Stack",WEX,"Portland, ME",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-full-stack-at-wex-3901814467?position=7&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=B%2B0y3CBzh0i%2B4mU%2F4a7N0Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
About The Team/RoleWe are seeking an experienced Data Engineer to play a critical role in the development of WEX's data & analytics capabilities. You will be part of an organization focusing on the development and delivery of data solutions and capabilities for WEX’s data platform. You’ll be part of a team that is responsible for:Creating optimized data pipelines using Qlik Replicate, Fivetran, custom code using Python, and SnowpipesWorking with stakeholders to understand business requirements and then implement SQL-first transformation workflows to deploy analytics code using dbt (data build tool)Designing efficient data marts that are catered towards the needs of very specific business units, functions, or departmentsYou’ll be part of a collaborative scrum team that consists of an Agility Engineer, Technical Program Manager, Data Engineers, QA, and DevOps. You’ll also be supported by a manager that is here to listen and help you grow.The successful candidate is motivated by thinking big data, is technically proficient, and enjoys working in a fast-paced environment. You care deeply about the veracity (i.e. consistency, accuracy, quality, and trustworthiness) of data. You enjoy designing, maintaining, and optimizing data pipelines & infrastructure, for data collection, management, transformation, and access. You also enjoy understanding complex business requirements and translating them into data models for the end users.How you’ll make an impactAre a strong critical thinker with analytical and problem-solving abilitiesAre self motivated and able to work independently with minimum supervisionBring thought leadership to your area of responsibility and enjoy staying ahead in your fieldSkillsOur core stack for this position consists of dbt, Snowflake, Python, Airflow, Docker, Qlik Replicate, Fivetran, and several AWS services. You possess the following skills and experiences:Solid understanding of dbt to perform data transformation tasks (3+ years)Strong understanding of data design principles and dimensional data modeling (2+ years)Advanced SQL skills (3+ years) and understanding of query optimization strategies in SnowflakeFundamental understanding of DAGs and operators in Airflow, with 1+ years of hands-on experience with action and sensor operatorsFundamental understanding of Docker and deploying code as a containerSolid understanding of basic programming concepts in Python or similar modern languages (2+ years)Solid understanding of Qlik Replicate and Enterprise Manager with 1+ years of experience managing endpoints and streaming CDC (change data capture) tasksSolid understanding of Fivetran with 1+ years of experience ingesting files and SaaS (e.g. Salesforce, Workday) data sourcesFundamental understanding of the following AWS services:Elastic Compute Cloud (EC2) - performance monitoring & optimization and knowledge of instance typesVirtual Private Cloud (VPC) - provisioning of virtual networks and all its basic components (security group, network access control list, route tables, subnet, etc.)Elastic Container Registry (ECR) - deploying of application images and artifactsElastic Map Reduce (EMR) - managing and running PySpark code in a distributed processing framework; including troubleshooting and cluster optimizationS3, IAM, Secrets Manager, AWS CLINote: Qlik Replicate and Fivetran experiences can be substituted with ETL/ELT data pipeline development experience using Python (or similar tools).Bonus: You have successfully implemented CI/CD using Jenkins or Github Actions in a production environment.Experience you’ll bringAt least 5 years of experience as a Data Engineer creating data pipelines using tools and custom codeAt least 3 years of experience with dbt (or similar tool) developing complex data models using macros and JinjaBS in a technical or quantitative field; or you can make us feel intensely confident that you don’t need oneThe base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.Salary Pay Range: $100.000,00 - $133.000,00
        ","
          59 applicants
        ",Mid-Senior level,Full-time,Information Technology,Software Development
Senior Data Engineer,Capital One,"Portland, ME",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-capital-one-3909341211?position=8&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=gUTmLHK49bGAN2Hb7faMqA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          77 West Wacker Dr (35012), United States of America, Chicago, IllinoisSenior Data EngineerDo you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Data Engineers who are passionate about marrying data with emerging technologies. As a Capital One Data Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.What You’ll Do: Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions.  Work with a team of developers, distributed microservices, and full stack systems  Utilize programming languages like DataBricks, SQL, Python, and RDBMS and NoSQL databases and Cloud based data warehousing services such and Snowflake  Share your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, and mentoring other members of the engineering community  Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences for business to business credit transactions.  Perform unit tests and conduct reviews with other team members to make sure your code is rigorously designed, elegantly coded, and effectively tuned for performance Team: As a member of the Data Badgers team at Capital One Trade Credit, you’ll work across dev teams providing horizontal support for all database issues. We are working to break up a large shared monolith datastore into smaller domain focused datastores.This team manages RDS instances, Lambda, Bogie Files, DMS endpoints and tasks, and is available to support any data related challenges the org faces. All our applications are cloud native in AWS and leveraging Capital One enterprise tools and best practices. This role will participate in these activities as well as build new automation using databricks, tableau, and enterprise tools. Our team is also the seat of Data Stewardship within Trade Credit and you will be involved in supporting Trade Credit’s well managed posture.Basic Qualifications:  Bachelor’s Degree  At least 4 years of experience in application development (Internship experience does not apply)  At least 1 year experience in big data technologies Preferred Qualifications:  5+ years of experience in application development including Python, SQL, Scala, or Java  2+ years of experience with a public cloud (AWS, Microsoft Azure, Google Cloud)  3+ years experience with Distributed data/computing tools (MapReduce, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, or MySQL)  2+ year experience working on real-time data and streaming applications  2+ years of experience with NoSQL implementation (Mongo, Cassandra)  2+ years of data warehousing experience (Redshift or Snowflake)  3+ years of experience with UNIX/Linux including basic commands and shell scripting  2+ years of experience with Agile engineering practices At this time, Capital One will not sponsor a new applicant for employment authorization for this position.Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at the Capital One Careers website . Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level.This role is expected to accept applications for a minimum of 5 business days.No agencies please. Capital One is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex (including pregnancy, childbirth or related medical conditions), race, color, age, national origin, religion, disability, genetic information, marital status, sexual orientation, gender identity, gender reassignment, citizenship, immigration status, protected veteran status, or any other basis prohibited under applicable federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com . All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.comCapital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Financial Services
Embedded Software Engineer (with C++ & Linux),eSense Incorporated,"Portland, ME",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/embedded-software-engineer-with-c%2B%2B-linux-at-esense-incorporated-3909172428?position=9&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=ONgkm2xPw75EqyfVa%2Fl0ig%3D%3D&trk=public_jobs_jserp-result_search-card,"
Must have at least 7 years of recent experience as an Embedded Software EngineerMust have at least 7 years of recent experience coding in C++Must have at leasts 7 years of recent experience with Linux
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Business Consulting and Services
DevOps Engineer\ SQL Server Database Administrator,WEX,"Portland, ME",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/devops-engineer-sql-server-database-administrator-at-wex-3895548424?position=10&pageNum=0&refId=bhbYp6cz5cIgr4z96NE6VQ%3D%3D&trackingId=%2BQA3N58OLGt0pwWn3CX%2BrQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
About The Team/RoleThe WEX DevOps Engineer\ SQL Server Database Administrator will be responsible for all Infrastructure-as-Code for the SQL database environments, as well as automation of tasks to allow for self-service and standardized operations. This role will be part of a team which is responsible for the health and stability of the SQL Server Database platform.How you’ll make an impactUse of Terraform, YAML, and Powershell to create needed pipelinesUse of Pipelines to create IAAS and PAAS solutions, including SQL Server, Postgres, MySQLExtensive knowledge of Visual Studio Code and GitBuilding of pipelines to accommodate new operations.Changes to existing pipelines to update or upgrade existing SQL ServersWork within the Azure environment to improve upon current SQL landscape Automation of SQL Server patching processesMentor the DBA team in DevOps strategies and processParticipate in DBA activities as needed Experience you’ll bring5+ years of overall IT experience working with SaaS or web development5+ years of hands-on DevOps experience3-5 years experience with SQL Server database experienceExpert in using Terraform, YAML, and Powershell3+ years of IAAS and PAAS experience in AzureExperience with Azure monitoring and insight servicesExperience with Azure DevOps Desired Additional QualificationsExperience in SQL Server Installation and configurationExperience with Windows ClusteringExperience with SQL Server Always On Availability GroupsExperience with SQL 2016+Knowledge of SSDT projects and experience with Source Control especially TFS and GitHub in Azure DevOpsKnowledge and experience with industry-standard change and incident management proceduresSelf-starter capable of working independently or in groupsThe base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.Salary Pay Range: $103,000.00 - $137,000.00
        ","
          56 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Software Development
