title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,ICONMA,"Grand Rapids, MI",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-iconma-3902344708?position=1&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=6vapPnD9SmbhDzmg5iTzCg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Data Engineer               Location: Grand Rapids, MI/ Hybrid             Duration: 7 months               Description:              What You'll be Doing (Responsibilities):             Designs, codes, tests, and implements data movement, dashboarding and analytical assets; develops system documentation according to SAFe Agile principles and industry standards.             Evaluates architectural options and defines overall architecture of enterprise Data Lake and Data Warehouse.             Providing subject matter expertise and technical consulting support on either vendor or internal applications and interfaces including Azure Data Factory, Log Analytics, Databricks, Synapse, Power BI, ADLS Gen2.             Defines functional and non-functional requirements including performance monitoring, alerting and code management and ensuring alignment with technology best practices and SLAs.             Partnering with all areas of the business to gather requirements for Data and Analytics and designing solutions.             Determines major elements and subsystems and defines interfaces as well as architectural runway.             Mentoring and coaching other members of the agile and\or Run team.             Driving engagement with ITS Security and Infrastructure teams to ensure secure development and deployment of solutions.             Interfaces with the Product Manager and IT partners at the Program level and within other Release Trains to define and estimate features for agile teams.             Conducting industry research, facilitates new product and vendor evaluations, and assists in vendor selection.               What You Bring with You (Qualifications):             6+ years industry experience (business application design, development, implementation, and/or solution architecture)             Understanding of architecture practices and execution for large projects / programs.             Experience building and designing data and analytics on enterprise solutions such as Azure - Data Factory, Log Analytics, Databricks, Synapse, Power BI, ADLS Gen2.             Databricks experience is required.             Experience designing data pipelines, ingestion, storage, prep-train, model and serve using above technologies, Automating Azure Workloads, Data quality, Governance/standards, Security and legal compliance in the Azure architecture             Bachelor’s degree in Computer Science, Computer Information Systems, Business Information Systems, Engineering or related discipline or equivalent work experience and technical training is required.             Excellent written and oral communications skills.             Previous experience in Power BI, Data Modeling, Data Classification and zones, data movement, Data architecture and reporting             In-depth understanding of computer, storage, network components including backup, monitoring and DR environment requirements             Preferred knowledge and experience on Python and API architecture in Azure             Any SAFe certification or training.             Experience with multiple, diverse technical configurations, technologies, and processing environments.             Exceptional interpersonal skills, including teamwork, facilitation, and negotiation
","
          27 applicants
        ",Entry level,Contract,Information Technology,Staffing and Recruiting
Data Engineer,Dort Financial Credit Union,"Grand Blanc, MI",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-dort-financial-credit-union-3912070334?position=2&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=ZeBlCRLSf5GsQwt0bPuzoA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Hybrid position located in Grand Blanc, MI. Dort Financial Credit Union is looking for team members who will execute our mission: Enrich people's lives: members, employees, communities; to help achieve our vision: To be the leader in our industry by providing quality financial services, developing an empowered and diverse team, and making our communities a better place to live. Dort Financial Credit Union upholds a culture of excellence with opportunities of engagement and advancement for our team members. We abide by our core values of Empowerment, Accountability, Transparency, Collaboration, and Volunteerism each day, and have a strong focus in community involvement. We offer a competitive benefits package immediately upon hire including medical, dental, and vision insurance; Life/AD&D and Disability Insurance, Supplemental Life insurance for employee/spouse/dependent; HSA and FSA plans; and tuition reimbursement for full-time team members. LegalShield, Pet Benefits, Employee Assistance Program, Telemedicine. We also offer a matching 401 (k) including a safe harbor, a referral bonus program, and paid time off including holidays.Come join our team. Apply today! Purpose of Position: The Data Engineer will be responsible for supporting Dort Financial Credit Union’s strategic initiatives by building and maintaining a data warehouse and creating pipelines for programs, reports, visualizations, and managing data through knowledge of and use of the core system, MCIF and enterprise-wide data platform.Minimum Formal Education: Bachelor’s Degree in Computer Science, Software Engineering or an equivalent field required. Master’s Degree in Computer Science, Software Engineering or an equivalent field preferred.Experience: Three years of hands-on data management experience including data warehousing, data integration, modeling, optimization, and data quality, and/or other areas directly relevant to data engineering responsibilities and tasks. Experience required specifically focusing on data warehouse engineering and data processes. Engineering and data management experience in a financial institution preferred. Requires proficient, frequent, and ongoing use of database software platforms. Strong fundamental knowledge of financial institution operation and marketing is required.Other Requirements: Position requires bondability of employee. Position also requires ability to work independently with minimal supervision; ability to communicate in a tactful manner; excellent organizational skills; diplomacy; self-motivation and discipline; flexible hours; ability to maintain professional conduct in or out of the office with staff, members, vendors and volunteers; a team player attitude toward Dort Financial Credit Union, and the exhibiting of that team spirit to staff.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Financial Services
Data Engineer,Brooksource,Grand Rapids Metropolitan Area,2024-04-08,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-brooksource-3885144638?position=3&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=Kn%2F5zgkNFhrjn%2FIz9PtNCA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Data EngineerGrand Rapids, MI (Hybrid)Job Description:Responsibilities:Design, code, test, and implement data movement, dashboarding, and analytical assets in alignment with SAFe Agile principles and industry standards.Evaluate architectural options and define the overall architecture of enterprise Data Lake and Data Warehouse.Provide subject matter expertise and technical consulting support for vendor or internal applications and interfaces, including Azure - Data Factory, Log Analytics, Databricks, Synapse, Power BI, and ADLS Gen2.Define functional and non-functional requirements, including performance monitoring, alerting, and code management, ensuring alignment with technology best practices and SLAs.Collaborate with all areas of the business to gather requirements for Data and Analytics solutions.Determine major elements, subsystems, and interfaces, as well as architectural runway.Mentor and coach other members of the agile and Run teams.Engage with ITS Security and Infrastructure teams to ensure secure development and deployment of solutions.Interface with the Product Manager and IT partners at the Program level and within other Release Trains to define and estimate features for agile teams.Conduct industry research, facilitate new product and vendor evaluations, and assist in vendor selection.Qualifications:6+ years of industry experience in business application design, development, implementation, and/or solution architecture.Experience building and designing data and analytics enterprise solutions such as Azure - Data Factory, Log Analytics, Databricks, Synapse, Power BI, and ADLS Gen2. Databricks experience is required.Experience designing data pipelines, ingestion, storage, prep-train, model, and serve using the above technologies, Automating Azure Workloads, Data quality, Governance/standards, Security, and legal compliance in Azure architecture.Previous experience in Power BI, Data Modeling, Data Classification and zones, data movement, Data architecture, and reporting.In-depth understanding of computer, storage, network components, including backup, monitoring, and DR environment requirements.Preferred knowledge and experience in Python and API architecture in Azure.Any SAFe certification or training.
","
            Over 200 applicants
          ",Entry level,Contract,Information Technology and Engineering,Food and Beverage Manufacturing and Food and Beverage Services
Sr. Data Engineer,Procyon Technostructure,"Rhodes, MI",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-procyon-technostructure-3884249428?position=4&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=Qg1xQyNL%2B2dNxJRxWX5HlQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Sr Data EngineerLocation: Michigan, Rhode IslandJob Type: FTEExperience: 8 Years Job DescriptionCandidate must have the min of 10+ years of experience working with DBT core or DBT cloud.Must have relevant experience of min 5 years in Data vault 2.0 implementation experience with automate_dv package.Hands-on keyboard practical experience.Experience of working in Healthcare domain would be a huge plus.
","
          77 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,Stefanini Group,"Dearborn, MI",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-stefanini-group-3908931069?position=5&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=6%2BLMI%2BGglklZKF3vNkYAJg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Details:Job Description Stefanini Group is hiring! Stefanini is looking for a Data Engineer, Location: Dearborn, MI (Hybrid) For quick apply, please reach out Rakesh Singh at 248-936-5005/rakesh.singh@stefanini.com Open to W2 candidates only! We're seeking a Data Engineer who has experience building data products on a cloud analytics platform. You will work on ingesting, transforming, and analyzing large datasets to support the Enterprise in the Data Factory on Google Cloud Platform (GCP). Experience with large scale solution and operationalization of data lakes, data warehouses, and analytics platforms on Google Cloud Platform or other cloud environments is a must. We are looking for candidates who have a broad set of technical skills across these areas.Responsibilities Work in collaborative environment that leverages paired programming.  Work on a small agile team to deliver curated data products.  Work effectively with fellow data engineers, product owners, data champions and other technical experts.  Demonstrate technical knowledge and communication skills with the ability to advocate for well-designed solutions.  Develop exceptional analytical data products using both streaming and batch ingestion patterns on Google Cloud Platform with solid data warehouse principles.  Be the Subject Matter Expert in Data Engineering with a focus on GCP native services and other well integrated third-party technologies. Job RequirementsDetails: Skills Required:  Experience in working in an implementation team from concept to operations, providing deep technical subject matter expertise for successful deployment. Implement methods for automation of all parts of the pipeline to minimize labor in development and production.  Experience in analyzing complex data, organizing raw data, and integrating massive datasets from multiple data sources to build analytical domains and reusable data products.  Experience in working with architects to evaluate and productionalize data pipelines for data ingestion, curation, and consumption.  Experience in working with stakeholders to formulate business problems as technical data requirements, identify and implement technical solutions while ensuring key business drivers are captured in collaboration with product management. Experience Required: 5+ years of SQL development experience  5+ years of analytics/data product development experience required  3+ years of cloud experience (GCP preferred) with solutions designed and implemented at production scale  Experience working in GCP native (or equivalent) services like Big Query, Google Cloud Storage, PubSub, Dataflow, Dataproc, Cloud Build, etc.  Experience working with Airflow for scheduling and orchestration of data pipelines - Experience working with Terraform to provision Infrastructure as Code  2 + years professional development experience in Java or Python Experience Preferred: In-depth understanding of Google's product technology (or other cloud platform) and underlying architectures  Experience in working with DBT/Dataform  Experience with DataPlex or other data catalogs is preferred.  Experience with development eco-system such as Tekton, Git, Jenkins for CI/CD pipelines.  Exceptional problem solving and communication skills.  Experience in working with Agile and Lean methodologies.  Team player and attention to detail  Experience with performance tuning SQL queries. Education Required: Bachelor's degree in computer science or related scientific field Education Preferred: GCP Professional Data Engineer Certified  Master's degree in computer science or related field  2+ years mentoring engineers.  In-depth software engineering knowledge Listed salary ranges may vary based on experience, qualifications, and local market. Also, some positions may include bonuses or other incentives***Stefanini takes pride in hiring top talent and developing relationships with our future employees. Our talent acquisition teams will never make an offer of employment without having a phone conversation with you. Those face-to-face conversations will involve a description of the job for which you have applied. We also speak with you about the process including interviews and job offers.About Stefanini GroupThe Stefanini Group is a global provider of offshore, onshore and near shore outsourcing, IT digital consulting, systems integration, application, and strategic staffing services to Fortune 1000 enterprises around the world. Our presence is in countries like the Americas, Europe, Africa, and Asia, and more than four hundred clients across a broad spectrum of markets, including financial services, manufacturing, telecommunications, chemical services, technology, public sector, and utilities. Stefanini is a CMM level 5, IT consulting company with a global presence. We are CMM Level 5 company.
        ","
          34 applicants
        ",Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Engineer,Stefanini Group,"Dearborn, MI",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-stefanini-group-3911337898?position=6&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=j%2FA5FQfE7btARyX7DO4n2g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Details:Job Description Stefanini Group is hiring! Stefanini is looking for Java Developer -Location: Dearborn, MI (Onsite and Hybrid)For quick apply, please reach out to Anmol Tyagi at 248-263-8628/anmol.tyagi@stefanini.comOpen to W2 candidates only! Position Description: A position is open for a data engineer in the GDI&A Customer 360.The successful candidate will be responsible for designing, developing the transformation and modernization of big data solutions on GCP cloud integrating native GCP services and 3rd party data technologies also build new data products in GCP. We are looking for candidates who have a broad set of technology skills across these areas and who can demonstrate an ability to design and develop right solutions with appropriate combination of GCP and 3rd party technologies for deploying on GCP cloud.Responsibilities: Work as part of an implementation team from concept to operations, providing deep technical subject matter expertise for successfully deployment of Data Platform Implement methods for automation of all parts of the pipeline to minimize labor in development and production.  Identify, develop, evaluate, and summarize Proof of Concepts to prove out solutions.  Test and compare competing solutions and report out a point of view on the best solution.  Experience with large scale solutioning and operationalization of data warehouses, data lakes and analytics platforms on GCP.  Design and build production data engineering solutions to deliver our pipeline patterns using Google Cloud Platform (GCP) services: o Big Query, Dataflow (Apache Beam), Pub/Sub, Bigtable, Data Fusion, Dataproc, Cloud Composer (Apache Airflow), Cloud SQL, Compute Engine, Cloud Functions, and App Engine  Migrate existing Big Data pipelines into Google Cloud Platform. Build new data products in GCP. Job RequirementsDetails: Skills Required:  Minimum 3 Years of Experience in Java/python in-depth Minimum 2 Years of Experience in data engineering pipelines/ building data warehouse systems with ability to understand ETL principles and write complex SQL queries.  Minimum 5 Years of GCP experience working in GCP based Big Data deployments (Batch/Real-Time) leveraging Big Query, Big Table, Google Cloud Storage, Pub Sub, Data Fusion, Dataflow, Datapost  Minimum 2 years of experience in development using Data warehousing, Big Data Eco System Hive (Hal) & Oozie Scheduler, ETL IBM Data Stage, Informatica IICS with Teradata  Year experience of deploying google cloud services using Terraform.  Skills Preferred:  Understands Cloud as being a way to operate and not a place to host systems.  Understands data architectures and design independent of the technology.  Experience with Python, Shell Script preferred Exceptional problem solving and communication skills and management of multiple stakeholders.  Experience in working with Agile and Lean methodologies Experience with Test-Driven Development  Experience Required:  Minimum 3 Years of Experience in Java/python in-depth  Minimum 2 Years of Experience in data engineering pipelines/ building data warehouse systems with ability to understand ETL principles and write complex SQL queries.  Minimum 5 Years of GCP experience working in GCP based Big Data deployments (Batch/Real-Time) leveraging Big Query, Big Table, Google Cloud Storage, Pub Sub, Data Fusion, Dataflow, Datapost  Minimum 2 years of experience in development using Data warehousing, Big Data Eco System Hive (Hql) & Oozie Scheduler, ETL IBM Data Stage, Informatica IICS with Teradata 1 Year experience of deploying google cloud services using Terraform.  Education Required: Bachelors or masters in required field.Listed salary ranges may vary based on experience, qualifications, and local market. Also, some positions may include bonuses or other incentives***Stefanini takes pride in hiring top talent and developing relationships with our future employees. Our talent acquisition teams will never make an offer of employment without having a phone conversation with you. Those face-to-face conversations will involve a description of the job for which you have applied. We also speak with you about the process including interviews and job offers.About Stefanini GroupThe Stefanini Group is a global provider of offshore, onshore and near shore outsourcing, IT digital consulting, systems integration, application, and strategic staffing services to Fortune 1000 enterprises around the world. Our presence is in countries like the Americas, Europe, Africa, and Asia, and more than four hundred clients across a broad spectrum of markets, including financial services, manufacturing, telecommunications, chemical services, technology, public sector, and utilities. Stefanini is a CMM level 5, IT consulting company with a global presence. We are CMM Level 5 company.
        ","
            Be among the first 25 applicants
          ",Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Engineer General,KYYBA Inc,"Dearborn, MI",2024-04-15,On-site,,https://www.linkedin.com/jobs/view/data-engineer-general-at-kyyba-inc-3897189413?position=7&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=uMNAeUGwqV1nJ38D%2F276TA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: (Data Engineer General)Data Factory Engineering and Operations (DFEO) is GDIA’s organization for making data available to the enterprise at scale and delivering on ***’s plan to become a data first company. Leveraging our long-term relationship with Google, ***’s Data Factory can provide near unlimited and unparalleled scale by leveraging the public cloud to capture, ingest, transform, curate, and publish data products for stakeholders. The Data Factory provides centralized access, governance, and discoverability to data consumers looking to build analytical tools, develop new AI/Client models, create data dependent software offerings, and turn data into actionable insights and customer value. ***’s data first plan, including the Data Factory, remains a strategic priority for leadership and the company. Position Responsibilities We are seeking a talented UI Design Engineer to play a key role in developing a comprehensive Design System that includes a UI component library utilizing Angular, Material, and NGZorro, as well as data visualization templates for Dash, React, and Qlik Sense enterprise products. The primary focus of this role will be to create a user-friendly marketplace for all UI components, allowing users to easily browse and select the components they require. The successful candidate will be responsible for providing code snippets, detailed instructions, and other necessary resources to facilitate seamless integration. In addition to front-end and back-end development, this individual will be expected to contribute to the design process, gather requirements, and introduce innovative solutions to enhance the overall user experience.About KyybaFounded in 1998 and headquartered in Farmington Hills, MI, Kyyba has a global presence delivering high-quality resources and top-notch recruiting services, enabling businesses to effectively respond to organizational changes and technological advances.At Kyyba, the overall well-being of our employees and their families is important to us. We are proud of our work culture which embodies our core values; incorporating value, passion, excellence, empowerment, and happiness, creates a vibrant and productive atmosphere. We empower our employees with the resources, incentives, and flexibility that they need to support a healthy, balanced, and fulfilling career by providing many valuable benefits and a balanced compensation structure combined with career development.DisclaimerKyyba is an Equal Opportunity Employer. Kyyba does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. Minorities / Females / Protected Veterans /Veteran Spouses/ Individuals with Disabilities are encouraged to apply. All employment is decided on the basis of qualifications, merit, and business need.”RewardsMedical, dental, vision401kTerm lifeVoluntary life and disability insuranceOptional Pre-paid legal planOptional Identity theft planOptional Medical and dependent FSAWork-visa sponsorshipOpportunity for advancementLong-term assignment with opportunity for hire by clientSELECT AWARDSAn INC 5000 company for 10 yearsCorp! Michigan Economic Bright Spots Crain’s Detroit Business Top Staffing Service Companies in DetroitTechServe Alliance Excellence Award- IT and Engineering Staffing & SolutionsBest of MichBusiness winner in HR Wizards & PartnershipsMetro Detroit Elite Category: Recruitment, Selection & Orientation for 101 Best & Brightest101 Best & Brightest Companies to Work for in Michigan
","
          136 applicants
        ",Entry level,Full-time,Information Technology,Staffing and Recruiting
Data Engineer General,V2Soft,"Dearborn, MI",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/data-engineer-general-at-v2soft-3879285904?position=8&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=7HK7oS9gQukK5Yk%2FiX7kvQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
V2Soft (www.v2soft.com) is a global company, headquartered out of Bloomfield Hills, Michigan, with locations in Mexico, Italy, India, China and Germany. At V2Soft, our mission is to provide high performance technology solutions to solve real business problems. We become our customer’s true partner, enabling both parties to enjoy success. We are committed to promoting diversity in the workplace, and believe it has a positive effect on our company and the customers we serve.DescriptionThe Data Engineer will be a critical part of our team, focusing on developing, implementing, and optimizing cloud data storage solutions. You will collaborate with various teams and external partners to ensure the delivery of high-quality data solutions that align with Client's business objectives. This role requires a blend of technical expertise, collaboration, and innovation to support near real-time analytics, build data products, and ensure data quality and availability.Collaborate with the Manufacturing & Quality Analytics Team, IT, Data Tech, and external solution partners to develop and deliver the Data Factory.Contribute to data standards, interoperability, quality, and availability to support GDI&A goals.Design and implement data engineering and streaming solutions for real-time analytics.Build analytical model objects and data products to support scalable growth and accelerate business value delivery.Develop data pipelines for cloud solutions, focusing on IIOT & Quality projects.Master various data sources and contribute to the creation of the Data Discovery Hub.Perform ETL activities and assist with customer inquiries and incident resolution.Lead integration projects and liaise with business customers on status updates.Optimize code design within/across teams for improved performance. Skills Required:Google Cloud Platform - Data Engineering - Data Warehousing - Data Modeling - RDBMS - SQL - Python - ETL Skills Preferred:PubSub - Data Form - Data Flow - DBT - Airflow - Astronomer - Kafka Experience Required:3+ Years of experience with Data Engineering3+ years of experience with data warehousing.3+ years of experience with Google Cloud Platform, RDBMS, SQL, Hadoop Ecosystem.2+ years of experience with Python, Apache Spark.2+ years of experience in tuning and query optimization. Experience Preferred:Familiarity with GCP tools (Big Query, Cloud Storage, PubSub, DataFlow, etc.).Experience with Alteryx, Tableau, Looker.Excellent critical thinking, proactive decision-making, and communication skills.Experience in coordinating data landing activities.Strong collaboration and team leadership abilities.Knowledge of machine learning concepts and models. Education Required:Bachelor’s degree in Computer Science, Computer Engineering, Analytics, or a related field. Education Preferred:Master's degree inin Computer Science, Computer Engineering, Analytics, or a related field.V2Soft is an Equal Opportunity Employer ( EOE).https://www.v2soft.com/careers - to view all of our open opportunities and to learn more about our benefits.
","
            Over 200 applicants
          ",Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Engineer General,KYYBA Inc,"Dearborn, MI",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/data-engineer-general-at-kyyba-inc-3880189510?position=9&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=u1eY14znkqCJCkqckRthEw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionThe Data Engineer will be a critical part of our team, focusing on developing, implementing, and optimizing cloud data storage solutions. You will collaborate with various teams and external partners to ensure the delivery of high-quality data solutions that align with ***'s business objectives. This role requires a blend of technical expertise, collaboration, and innovation to support near real-time analytics, build data products, and ensure data quality and availability. • Collaborate with the Manufacturing & Quality Analytics Team, IT, Data Tech, and external solution partners to develop and deliver the Data Factory. • Contribute to data standards, interoperability, quality, and availability to support GDI&A goals. • Design and implement data engineering and streaming solutions for real-time analytics. • Build analytical model objects and data products to support scalable growth and accelerate business value delivery. • Develop data pipelines for cloud solutions, focusing on IIOT & Quality projects. • Master various data sources and contribute to the creation of the Data Discovery Hub. • Perform ETL activities and assist with customer inquiries and incident resolution. • Lead integration projects and liaise with business customers on status updates. • Optimize code design within/across teams for improved performance.About Kyyba:Founded in 1998 and headquartered in Farmington Hills, MI, Kyyba has a global presence delivering high-quality resources and top-notch recruiting services, enabling businesses to effectively respond to organizational changes and technological advances.At Kyyba, the overall well-being of our employees and their families is important to us. We are proud of our work culture which embodies our core values; incorporating value, passion, excellence, empowerment, and happiness, creates a vibrant and productive atmosphere. We empower our employees with the resources, incentives, and flexibility that they need to support a healthy, balanced, and fulfilling career by providing many valuable benefits and a balanced compensation structure combined with career development. Disclaimer: Kyyba is an Equal Opportunity Employer. Kyyba does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. Minorities / Females / Protected Veterans /Veteran Spouses/ Individuals with Disabilities are encouraged to apply. All employment is decided on the basis of qualifications, merit, and business need.” Rewards:Medical, dental, vision401k Term lifeVoluntary life and disability insuranceOptional Pre-paid legal planOptional Identity theft planOptional Medical and dependent FSAWork-visa sponsorshipOpportunity for advancementLong-term assignment with opportunity for hire by client  SELECT AWARDSAn INC 5000 company for 10 yearsCorp! Michigan Economic Bright Spots Crain’s Detroit Business Top Staffing Service Companies in DetroitTechServe Alliance Excellence Award- IT and Engineering Staffing & SolutionsBest of MichBusiness winner in HR Wizards & PartnershipsMetro Detroit Elite Category: Recruitment, Selection & Orientation for 101 Best & Brightest101 Best & Brightest Companies to Work for in Michigan 
        ","
            Be among the first 25 applicants
          ",Entry level,Other,Information Technology,Staffing and Recruiting
Junior Software Engineer - Remote,SynergisticIT,"Ann Arbor, MI",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/junior-software-engineer-remote-at-synergisticit-3889957847?position=10&pageNum=0&refId=qwzI6BB8nzPpHJ%2B5Ajfz5g%3D%3D&trackingId=k6fMg5SlNJWCfz7qY%2BLJNA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Since 2010 Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a tech Job we make careers.In this market also we have been able to help our candidates get multiple job offers and $100k + salaries. please check the below links to see the success outcomes of our candidates  our participation at different Tech industry events and how we are different from other organizations in helping Jobseekers secure Tech careers https://www.synergisticit.com/candidate-outcomes/ https://reg.rf.oracle.com/flow/oracle/cwoh23/OCWExhibitorCatalog/page/OCWexhibitorcatalog We regularly interact with the Top Tech companies to give our candidates a competitive advantage see us exhibiting at Oracle Cloud World/Oracle Java One (Las Vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023 All Positions are open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like  Apple, Google, Paypal, Western Union, Client, visa, Walmart lab s etc to name a few.We have an excellent reputation with the clients. Currently, We are looking for  entry-level software programmers, Java full-stack developers, Python/Java developers, Data analysts/ Data Scientists, and Machine Learning engineers for full-time positions with clients.Who Should Apply Recent Computer Science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in the Tech Industry? We assist in filing for STEM extension and also for H1b and Green card filing to Candidates  https://www.youtube.com/watch?v=OFoqPTNORew  https://www.youtube.com/watch?v=-HkNN1ag6Zk  https://www.youtube.com/watch?v=OAFOhcGy9Z8  https://youtu.be/bJJl27D8bh0  We are looking for the right matching candidates for our clients Required Skills REQUIRED SKILLS For Java /Full stack/Software Programmer  Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT  Highly motivated, self-learner, and technically inquisitive  Experience in programming language Java and understanding of the software development life cycle  Project work on the skills  Knowledge of Core Java , javascript, C++, or software programming  Spring boot, Microservices, Docker, Jenkins, and REST API experience  Excellent written and verbal communication skills  For data Science/Machine learning Positions Required Skills Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT  Project work on the technologies needed  Highly motivated, self-learner, and technically inquisitive  Experience in programming language Java and understanding of the software development life cycle  Knowledge of Statistics, SAS, Python, Computer Vision, and data visualization tools  Excellent written and verbal communication skills  Preferred skills: NLP, Text mining, Tableau, PowerBI, SAS, Tensorflow  If you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team and only connect with candidates who are matching client requirements.  No phone calls please.  Shortlisted candidates would be reached out. No third-party or agency candidates or c2c candidates
        ","
          31 applicants
        ",Entry level,Contract,Information Technology,IT Services and IT Consulting
