title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer | Azure (Remote),Trace3,"Minnesota, United States",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/data-engineer-azure-remote-at-trace3-3908979180?position=1&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=waC6yZmm7eP11QsiXvSpXQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Who is Trace3?Trace3 is a leading Transformative IT Authority, providing unique technology solutions and consulting services to our clients. Equipped with elite engineering and dynamic innovation, we empower IT executives and their organizations to achieve competitive advantage through a process of Integrate, Automate, Innovate.Our culture at Trace3 embodies the spirit of a startup with the advantage of a scalable business. Employees can grow their career and have fun while doing it!Trace3 is headquartered in Irvine, California. We employ more than 1,200 people all over the United States. Our major field office locations include Denver, Indianapolis, Grand Rapids, Lexington, Los Angeles, Louisville, Texas, San Francisco.Ready to discover the possibilities that live in technology?Come Join Us!Street-Smart - Thriving in Dynamic TimesWe are flexible and resilient in a fast-changing environment. We continuously innovate and drive constructive change while keeping a focus on the “big picture.” We exercise sound business judgment in making high-quality decisions in a timely and cost-effective manner. We are highly creative and can dig deep within ourselves to find positive solutions to different problems.Juice - The “Stuff” it takes to be a Needle Mover We get things done and drive results. We lead without a title, empowering others through a can-do attitude. We look forward to the goal, mentally mapping out every checkpoint on the pathway to success, and visualizing what the final destination looks and feels like.Teamwork - Humble, Hungry and SmartWe are humble individuals who understand how our job impacts the company's mission. We treat others with respect, admit mistakes, give credit where it’s due and demonstrate transparency. We “bring the weather” by exhibiting positive leadership and solution-focused thinking. We hug people in their trials, struggles, and failures – not just their success. We appreciate the individuality of the people around us.About The RoleAs a Data Engineer at Trace3, you will be responsible for designing, developing, and maintaining data pipelines and systems. You will work closely with cross-functional teams to ensure that data is accurate, accessible, and supports data-driven decision-making. The ideal candidate has hands-on experience with Azure Data Factory, SSIS, SQL, Stored Procedures, Python, Databricks, Snowflake, and Power BI.What You’ll DoDesign, build, and maintain data pipelines and ETL processes using Azure Data Factory.Develop and optimize SQL queries, stored procedures, and scripts for data transformation and extraction.Collaborate with data scientists and analysts to understand data requirements and ensure data availability.Implement data quality checks and data validation processes to ensure data accuracy and consistency.Utilize Databricks for advanced data processing, transformation, and analytics.Manage and optimize data storage.Build and maintain data warehouses and analytics solutions.Create interactive reports and dashboards using Power BI for data visualization and insights.Monitor and troubleshoot data pipelines, addressing any issues in a timely manner.Stay up-to-date with the latest Azure data technologies and best practices.Qualifications & InterestsBachelor's degree in Computer Science, Information Technology, or a related field (or equivalent work experience).2+ years of experience as a Data Engineer with a focus on Microsoft technologies.Strong proficiency in Azure Data Factory, SSIS or related product, for ETL processes and data orchestration.Proficiency in SQL, including the ability to write complex queries and stored procedures.Experience with Python for data manipulation and automation.Prior experience working with Databricks.Proficiency in Power BI for data visualization and reporting.Knowledge of Star and Snowflake Schemas.Strong problem-solving skills and attention to detail.Excellent communication and teamwork abilities.The PerksComprehensive medical, dental and vision plans for you and your dependents401(k) Retirement Plan with Employer Match, 529 College Savings Plan, Health Savings Account, Life Insurance, and Long-Term DisabilityCompetitive CompensationTraining and development programsStocked kitchen with snacks and beveragesCollaborative and cool cultureWork-life balance and generous paid time offTo all recruitment agencies: Trace3 does not accept unsolicited agency resumes/CVs. Please do not forward resumes/CVs to our careers email addresses, Trace3 employees or any other company location. Trace3 is not responsible for any fees related to unsolicited resumes/CVs.Actual salary will be based on a variety of factors, including location, experience, skill set, performance, licensure and certification, and business needs. The range for this position in other geographic locations may differ. Certain positions may also be eligible for variable incentive compensation, such as bonuses or commissions, that is not included in the base salary.Estimated Pay Range$104,100—$140,900 USD
        ","
            Over 200 applicants
          ",Entry level,Full-time,Information Technology,Information Technology & Services
Senior Data Engineer,Concord,"Minneapolis, MN",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-concord-3892331273?position=2&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=dxIjb5hon9ruVpVE8VOdfQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Must be able to…• Proficiency in Python, Spark, Java, SQL, DataOps.live/DBT, Snowflake• Prior experience supporting Data Governance initiatives desired: Data Quality, Metadata Management (Data Cataloging, Data Lineage), Master Data Management, Data Security• Proficiency in other software engineering languages and/or methodologies• Strong knowledge of working Unix Shell scripting• Provide ongoing support for the existing ETL processes, procedures, as well as the ability to design, code and deploy new ETL packages to support application and business needs.• Develop an effective working relationship with Data Analysts, Business Analysts, Database Administrators, and others in designing, developing, and implementing robust data movement solutions.• Demonstrate the ability to translate business rules into ETL code while adhering to best ETL development and design practices.• Demonstrate proficiency in SQL language, as well as working knowledge of common transformation methodologies, techniques, and tools.• Must be able to remain in a stationary position at least 50% of the time.Nothing in this job description restricts management’s right to assign or reassign duties and responsibilities to this job at any time.Minimum/Essential Qualifications:• Undergraduate degree with 10+ years of Data Engineering experience with specific ETL Tools (e.g., DBT, Informatica, Data Stage, etc.) or big data stack• Experience in leading, hiring, developing, and building data engineering team and providing them technical direction.• Experience working with cloud technologies like Snowflake on Microsoft Azure, Amazon AWS or Google GCP• Experience in reviewing and building dimensional data models to improve accessibility, efficiency and quality of data.• Experience in building high quality applications, data pipelines and analytics solutions ensuring data privacy and regulatory compliance.• Experience working with Business Stakeholders to understand requirements and ability to translate them into scalable and sustainable solutions.• Should be proficient in writing Advanced SQLs, expertise in performance tuning of SQLs in Snowflake.• Demonstrate good understanding of development processes and agile methodologies.• Demonstrate honesty, integrity, and professionalism at all times.• Excellent communication, customer service, and problem-solving skills• Exercise self-control under trying or tough circumstances, situations, or under any kind of pressure• Actively exchange ideas with others and build on their ideas to identify new solutions.• Outstanding planning & Organizational skills• Able to work independently or collaboratively and maintain a positive attitude.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Engineering,IT Services and IT Consulting
Data Engineer,Dairy Queen,"Bloomington, MN",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-dairy-queen-3907120464?position=3&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=rcQW6sDPDsFqthfmBRAFTw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company DescriptionSince 1940, Dairy Queen® has been one of the world’s best known and loved brands. Based in Minneapolis, MN, International Dairy Queen Inc., (IDQ), is the parent company of American Dairy Queen Corporation. As a leading franchisor, there are more than 7,000 independently owned and operated restaurants in the U.S., Canada and more than 20 countries around the world. IDQ is a subsidiary of Berkshire Hathaway Inc. (Berkshire) which is led by Warren Buffett, the legendary investor and CEO of Berkshire.Here at IDQ, we create extraordinary Fan experiences every day and we do this through our commitment to hiring and retaining only the best in class talent. We firmly believe that our employees are the catalyst to the success of the company where their initiative, strategic thinking, and entrepreneurial spirit are recognized and rewarded. We're looking for motivated, passionate and dedicated individuals with an inherent need and ambition to go after bigger challenges.Job DescriptionWe have an exciting opportunity available for a Data Engineer located at the corporate office in Bloomington, MN. The Data Engineer works with a team of skilled Analysts on the development and support of the Analytics & Reporting Enterprise Data Warehouse (EDW) and PowerBI reporting environments at Dairy Queen. This position will work closely with our Data Analytics team to design, build, and maintain the computational infrastructure to support the business intelligence platform.This position plans, designs, and optimizes for data throughput and query performance issues. This requires constantly updating expertise in areas such as platform, network and storage technologies, bandwidth management, data bus implications, and design.Additionally, this position plays a key role in the configuration and utilization of backend database technology. Drive optimization of the full data pipeline and infrastructure to support the actual content, volume, ETL to support the intended kinds of queries and analysis to match expected responsiveness.This position requires expertise in Python scripting language and experience in API integration.Principal AccountabilitiesDesign, architect, and document the database schema and data pipelinesDesign, implement, and test data collection, storage, and mapping proceduresResearch, design, and test computational environments to support analytical modeling (statistics, machine learning, optimization, and simulation)Develop statistical models for data quality assurance and data imputationCollaboratively troubleshoot technical and performance issues within the data platformWrite, optimize, and automate data processing tasksDeploy and maintain system and database monitoring toolsMaintain central repository/code base for production code (e.g. GitHub)QualificationsB.S. or M.S. in computer science, computer engineering, or a related technical fieldMinimum 7 years of experience in cloud-based ETL architecture/development, implementation and supportAdvanced SQL development skills and an in-depth understanding of database technologiesMinimum of 5 years experience working with Microsoft BI Tools including Azure Data Lake, Azure Data Lake Analytics, Azure SQL Database, Data Bricks and Azure SQL Data warehouse and Azure Data Factory Experience with API integration Experience with Azure cloud infrastructure and distributed computing Familiarity with large-scale analytics systemsExcellent analytical and problem-solving skillsStrong written and oral communication skillsAdditional InformationAll your information will be kept confidential according to EEO guidelines. You must be work authorized in the United States without the need for employer sponsorship.BenefitsOur benefit package supports the well-being of our employees and their families. Our comprehensive benefit package includes, medical, dental, 401K match, paid time off (including volunteer time as well as parental leave) and so much more! To learn more about our great benefit offerings, Click Here.Work EnvironmentMost positions located out of our global headquarters in Bloomington, MN will work a hybrid work schedule where you will work 2 collaboration days a week. Additional in office time may be required to support team/project needs. Positions will be identified as “remote eligible” when consideration will be given to candidates outside of drivable distance to our Bloomington office.Our Commitment to Diversity, Equity and InclusionWe are committed to creating a culture of diversity, equity and inclusion for all who touch DQ. We believe in and commit to fostering a community where employees bring their authentic selves to work; where we recruit, engage and retain employees, franchise owners and suppliers with diverse background and identities; and where everyone feels welcome engaging with our DQ brand.IDQ is an Equal Opportunity Employer that values the strength diversity brings to the workplace. IDQ participates in the US E-Verify program. You must be work authorized in the United States without the need for employer sponsorship.
","
          28 applicants
        ",Mid-Senior level,Full-time,Information Technology,Food and Beverage Services
Data Engineer I,City of Minneapolis,"Minneapolis, MN",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/data-engineer-i-at-city-of-minneapolis-3902474669?position=4&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=YKcr1tYel5QZ687wb4mhRQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Position DescriptionThis position is within the Data Insights and Geospatial Information Team, which is part of the Enterprise Data and Solutions division of IT. This position involves collaborative work with City departments to integrate data from diverse sources. The responsibilities include designing and maintaining databases and data warehouses utilized for self-service ad hoc querying and custom applications. The position will contribute data engineering expertise to analytics initiatives, aiming to bring a positive impact to all individuals working and residing within the city of Minneapolis.Work Location This position may be eligible for flexible work arrangements, including working 3 days remotely with 2 days working in the office.Job Duties And ResponsibilitiesAnalyze, design, develop and maintain production, RDBMS, and data warehouse environments for the City of Minneapolis self-service reporting database.Design and develop complex and large-scale data structures and pipelines to organize, collect and standardize data to generate insights and addresses reporting and analytic needs.Write complex ETL (Extract / Transform / Load) processes, design database systems and develop tools for real-time and offline analytic processing.Develop technical specifications and deliver enterprise application integration to broaden data repository scope and enable deeper analysis of data.Gather and identify business requirements and data sources, working closely with business partners and business analysts to determine quality expectations.Collaborate with project managers and business unit leaders for all projects involving enterprise data.Troubleshoot problems with the City’s applications, databases, and infrastructure, and assist with problem resolution.Integrate data from a variety of sources, assuring that they adhere to data quality and accessibility standards.Participate in the development of frameworks, standards & reference material for architecture and associated products.Collaborate with subject matter experts and data users to enhance information visualization through development of dashboards and user interfaces.Perform analysis of data of and present findings Design trustworthy and usable data sourcesPrepare prototypes of potential solutionsEmploy multiple techniques of analysis in City data analysis projects.Define technical requirements, data governance processes, procedures, and performance standards.Stay abreast of new database trends, technologies, and innovations.Analyze, design, develop, and maintain quality assurance in the solutioning lifecycle.Perform unit testing, and regression testing of database solutions.Utilize data analytics tools to profile data and evaluate data quality.Manage expectations related to completion dates, workload, priorities, and related matters.Required QualificationsMinimum EducationBachelors Degree in Computer Science, a related field or equivalent.Minimum ExperienceSix years of experience in information technology, which have included four years of experience maintaining or troubleshooting enterprise datamarts and ETL Packages.EquivalencyAn equivalent combination of education and experience closely related to the duties of the position MAY be considered.Selection ProcessThe selection process will consist of one or more of the following steps: a rating of relevant education and experience and/or an oral examination (100%). It is important that your application show all the relevant education and experience you possess. This information will be used to determine which candidates will proceed in the selection process. A submitted application is also used to verify the answers to any supplemental questions. Only those candidates who attain a passing score (70%) on each step in the selection process will be placed on the eligible list. The City of Minneapolis Human Resources Department reserves the right to limit the number in any phase of the selection process.Background CheckThe City has determined that a criminal background check and/or qualifications check may be necessary for certain positions with this job title. Applicants may be required to sign an informed consent form allowing the City to obtain their criminal history and/or verify their qualifications in connection with the position sought. Applicants who do not sign the informed consent form will not be further considered for the position.Background Check (Police)The City has determined that a thorough Minneapolis Police Department criminal background check is necessary for positions with this job title. Applicants must sign an informed consent allowing the City to obtain their criminal history information in connection with the position sought. Applicants who do not sign the informed consent form will not be considered for the position.Union RepresentationThis position is represented by a collective bargaining agreement between the City of Minneapolis and the Minneapolis Professional Employees Association (MPEA) .Eligible List StatementThe names of applicants who meet minimum qualification and who pass the screening process shall be placed on the eligible list for employment consideration. This list will be certified to the hiring manager who may use the list to fill a vacancy of the same job title. This eligible list will expire two months after it has been established.Interview SelectionThe hiring authority reserves the right to determine the maximum number of candidates to interview from the established eligible list. If the hiring authority decides to interview other than by exam score order, they may select additional people to interview based on a candidate’s education or experience related to the field, work history, or skills uniquely related to the operational needs of the position.Knowledge, Skills And AbilitiesConsiderable knowledge of network configuration and protocols.Knowledge of Systems Query Language, XML, and Python.Considerable knowledge of data loads and transformations as related to data warehouses.Ability to work with large databases both on premise and in the cloud.Knowledge of spatial processing and GIS principles.Comfort working with messy data.Ability to abstract. Strong problem-solving skills.Database design.Experience with machine learning and artificial intelligence.Strong verbal and written communication skills.The City of Minneapolis does not sponsor applicants for work visas.Benefits SummaryOur employees enjoy competitive salaries and generous benefits. We pride ourselves on a comprehensive benefits program that supports employees' health and financial well-being. Programs, resources, and benefit eligibility varies based on position, average hours worked, location and length of service. For detailed benefits information, pleasevisit the benefits page .New12 weeks of paid parental leaveCity employees are eligible for up to 12 weeks of paid parental leave in the event of a birth or placement for adoption of a child.InsuranceHealth insuranceEligibility for benefits begins the first of the month following employment date. The City of Minneapolis offers eligible employees one plan design with a choice of six provider networks, allowing you to select the best option for you. Available plans include Medica Choice Passport, Medica Elect, VantagePlus with Medica, Park Nicollet and HealthPartners Medical Group First with Medica, Ridgeview Community Network powered by Medica, and Clear Value with Medica.Dental insuranceThe City of Minneapolis offers dental insurance through Delta Dental of Minnesota and pays 100% of the monthly premium for eligible employees.BenefitsPaid time offOur generous leave package includes vacation, holidays and paid sick leave, which gives employees the opportunity to enhance their quality of life outside work. Amounts and accrual rates are based on years of experience and collective bargaining agreements .RetirementCity employees earn a pension and may choose to participate in additional retirement savings programs.Pension:The City of Minneapolis participates in the Public Employees Retirement Association (PERA). Employees and the City both contribute a percentage of your pay to fund future benefits. Deferred compensation: Employees may choose to participate in pre-tax or after-tax savings plans through the Minnesota State Retirement System (MSRS).TransportationEligible City employees may choose to participate in the following transportation programs:Metropass:The Metropass program allows eligible employees to enroll in a pass for unlimited bus or light rail rides at a discounted price. Parking or Van Pool: The City of Minneapolis Transportation Benefits Plan gives you options to pay certain commuting costs, such as qualified parking and van pool expenses, with pre-tax dollars.Learning and developmentTo engage and develop employees, the City of Minneapolis offers classes in leadership, cultural agility, change management and more. Additionally, educational discounts at Augsburg University, Hamline University, St. Catherine’s, and St. Mary's University of Minnesota are available to City employees.Other PerksEmployees can also take advantage of optional life insurance, flexible spending accounts, the Employee Assistance Program , health club discounts and more.Closing Date/Time: 4/28/2024 11:59 PM Central
        ","
          61 applicants
        ",Associate,Full-time,Other,Government Administration
Database/Data Engineer,Polar Semiconductor,"Bloomington, MN",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/database-data-engineer-at-polar-semiconductor-3896915367?position=5&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=UZMJd4JxyPE1yNq6gHfKCw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Database Engineer is a member of the IT Team at Polar Semiconductor LLC (PSL) and is essential to the development, implementation and maintenance of new database objects, data entity relationships and associated documentation.Main responsibility will be to update and enforce/add data integrity constraints and relationship on Manufacturing databases. This position is also responsible to work with developers, business analysts and key business users to evaluate business data and determine the ideal data structures to store, retrieve and present data. Duties include but are not limited to supporting, designing, archiving, tuning and optimizing an internally developed Manufacturing Execution Systems (MES) Microsoft SQL database(s). Assists in data transformations used in integrating PSL’s MES to supporting systems.ResponsibilitiesDesign and implement logical and physical data models and work closely with application developers to create and implement new features.Design and support complex queries used to present meaningful reports to end users.Create stored procedures, functions, views, tables and triggers using SQL, T-SQL.Examine and identify database structural necessities by evaluating client operations, applications, and programming.Monitor the system performance by performing regular tests, troubleshooting and integrating new features.Recommend solutions to improve new and existing database systems (Nice to have)Education And Work Experience RequirementsBachelor’s Degree in Computer Science, Information SystemsEquivalent experience of 3-5 years minimum in information technology with five years minimum of management experience.Experience in a manufacturing environment supporting Manufacturing Systems (Preferred)5+ years’ experience in Microsoft SQL Server database administration and ORACLEPreferred QualificationsKnowledge of data modeling techniques and creating normalized data modelsUpdate existing database structures and objects to a standardized relational model.Write performant SQL/TSQL and/or Oracle PL/SQL code that is easy to understand, analyze, and support.Database design\management\modeling.Improve data\database efficiency, reliability, and quality.Test infrastructure design modifications to mitigate issues and errorsIdentify, design, and implement process improvements, including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes.Work with stakeholders, assisting them with data-related technical issues.Experience with SQL Server Reporting Services and Power BIDesign and maintain data entity diagrams.Problem-solving and Communication skills** Hybrid role requiring 3 days onsite and 2 days remote**At Polar’s discretion, the education and experience prerequisites may be excepted where the candidate can demonstrate, to the satisfaction of Polar, an equivalent combination of education and experience specifically preparing the candidate for success in the position.
        ","
          35 applicants
        ",Entry level,Full-time,Information Technology,Semiconductor Manufacturing
Sr Data Engineer,General Mills,"Minneapolis, MN",2024-04-20,On-site,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-general-mills-3906287855?position=6&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=HkDGjTEgbGIBlc6xPCvgfw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Employer: General Mills, Inc.Job Title: Senior Data Engineer (multiple positions)Job Requisition: #26018 | 20330.287.4Job Location: 1 General Mills Blvd, Minneapolis, MN 55426 | Telecommuting up to 100% of time allowed.Job Type: Full TimeDutiesWork closely with a multidisciplinary agile team to build high quality data pipelines driving analytic solutions that will generate insights from our connected data, enabling General Mills to advance the data-driven decision-making capabilities of our enterprise. Design, develop, optimize, and maintain data architecture and pipelines that adhere to ETL principles and business goals. Solve complex data problems to deliver insights that helps our business to achieve their goals. Create data products for analytics and data scientist team members to improve their productivity. Advise, consult, mentor and coach other data and analytic professionals on data standards and practices. Foster a culture of sharing, re-use, design for scale stability, and operational efficiency of data and analytical solutions. Lead evaluation, implementation and deployment of emerging tools and process for analytic data engineering to improve our productivity as a team. Develop and deliver communication and education plans on analytic data engineering capabilities, standards, and processes. Partner with business analysts and solutions architects to develop technical architectures for strategic enterprise projects and initiatives. Learn about machine learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics.Telecommuting up to 100% of time allowed.RequirementsBachelor’s degree in Computer Science, Computer Information Systems, Engineering or a related field and 5 years of post-baccalaureate, progressively responsible experience in the job offered or 5 years of post-baccalaureate, progressively responsible experience in data engineering or architecture ORMaster’s degree in Computer Science, Computer Information Systems, Engineering or a related field and 1 year of experience in job offered or 1 year of experience in data engineering or architecture.Must have 1 year of experience in each of the following: SQL and data analysis Python or Scala Developing and maintaining data warehouses in big data solutions Big Data development experience using Hadoop At least 2 of the following: Hive, BigQuery, Impala OR Spark Kafka Tableau, Power BI, Looker or ShinyBackground check and drug testing required.Contact: Apply online at https://careers.generalmills.com/careers/ Please refer to job requisition number- #26018 | 20330.287.4.The salary range for this position $140,358-$174,600. At General Mills we strive for each employee’s pay at any point in their career to reflect their experiences, performance and skills for their current role. The salary range for this role represents the numerous factors considered in the hiring decision including, but not limited to, education, skills, work experience, certifications, etc. As such, pay for the successful candidate(s) could fall anywhere within the stated range. Beyond base salary, General Mills offers a competitive Total Rewards package focusing on your overall well-being. We are proud to offer a foundation of health benefits, retirement and financial wellbeing, time off programs, wellbeing support and perks. Benefits may vary by role, country, region, union status, and other employment status factors. You may also be eligible to participate in an annual incentive program. An incentive award, if any, depends on various factors, including, individual and organizational performance.Company OverviewWe exist to make food the world loves. But we do more than that. Our company is a place that prioritizes being a force for good, a place to expand learning, explore new perspectives and reimagine new possibilities, every day. We look for people who want to bring their best — bold thinkers with big hearts who challenge one other and grow together. Because becoming the undisputed leader in food means surrounding ourselves with people who are hungry for what’s next.
        ","
          128 applicants
        ",Mid-Senior level,Full-time,Information Technology,"Manufacturing, Food and Beverage Services, and Food and Beverage Manufacturing"
Sr Data Engineer,General Mills,"Minneapolis, MN",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-general-mills-3906237182?position=7&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=tgahP3yG8IMLr4QA5wq%2FKQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Employer: General Mills, Inc.Job Title: Sr. Data Engineer (multiple positions)Job Requisition: #26017 | 20330.291.8Job Location: 1 General Mills Blvd, Minneapolis, MN 55426 | Telecommuting 100% of the time is permitted.Job Type: Full TimeDutiesWork closely with a multidisciplinary agile team to build high quality data pipelines driving analytic solutions that will generate insights from our connected data, enabling General Mills to advance the data-driven decision-making capabilities of our enterprise. Design, develop, optimize, and maintain data architecture and pipelines that adhere to ETL principles and business goals. Solve complex data problems to deliver insights that helps our business to achieve their goals. Create data products for analytics and data scientist team members to improve their productivity. Advice, consult, mentor and coach other data and analytic professionals on data standards and practices. Foster a culture of sharing, re-use, design for scale stability, and operational efficiency of data and analytical solutions. Lead evaluation, implementation and deployment of emerging tools & process for analytic data engineering to improve our productivity as a team. Develop and deliver communication & education plans on analytic data engineering capabilities, standards, and processes. Partner with business analysts and solutions architects to develop technical architectures for strategic enterprise projects and initiatives. Learn about machine learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics.Telecommuting 100% of the time is permitted.RequirementsBachelor’s Degree in Computer Science, Computer Information Systems, Information Technology and Management, Engineering or related field and 5 years of post-baccalaureate, progressively responsible experience in data engineering or architecture.ORMaster’s degree in Computer Science, Computer Information Systems, Information Technology and Management, Engineering or related field and 1 year of experience in data engineering or architecture.Must have 1 year of experience in each of the following: SQL and data analysis Python, Scala or Java Developing and maintaining data warehouses in cloud or other large scale data platforms Big Data development experience using Hadoop with any of the following: Hive, BigQuery, SQL, Impala OR Spark Designing, creating, coding, and supporting an ETL solution, including at least one of the following: Talend Studio, Kafka, Jira, SAP Data Services, SAP or HANA. Tableau, Power BI, Looker or Shiny Data and analytics including at least one of the following: dimensional modeling, ETL, reporting tools, data governance, data warehousing or structured and unstructured dataBackground check and drug testing required.Contact: Apply online at https://careers.generalmills.com/careers/ Please refer to job requisition number- #26017 | 20330.291.8.The salary range for this position $129,147-174,600. At General Mills we strive for each employee’s pay at any point in their career to reflect their experiences, performance and skills for their current role. The salary range for this role represents the numerous factors considered in the hiring decision including, but not limited to, education, skills, work experience, certifications, etc. As such, pay for the successful candidate(s) could fall anywhere within the stated range. Beyond base salary, General Mills offers a competitive Total Rewards package focusing on your overall well-being. We are proud to offer a foundation of health benefits, retirement and financial wellbeing, time off programs, wellbeing support and perks. Benefits may vary by role, country, region, union status, and other employment status factors. You may also be eligible to participate in an annual incentive program. An incentive award, if any, depends on various factors, including, individual and organizational performance.Company OverviewWe exist to make food the world loves. But we do more than that. Our company is a place that prioritizes being a force for good, a place to expand learning, explore new perspectives and reimagine new possibilities, every day. We look for people who want to bring their best — bold thinkers with big hearts who challenge one other and grow together. Because becoming the undisputed leader in food means surrounding ourselves with people who are hungry for what’s next.
        ","
          122 applicants
        ",Mid-Senior level,Full-time,Information Technology,"Manufacturing, Food and Beverage Services, and Food and Beverage Manufacturing"
Bigdata Developer,Alpha Silicon,"Minneapolis, MN",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/bigdata-developer-at-alpha-silicon-3885192016?position=8&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=YCqGPsqD9PDirD%2BT9DdG2Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Bigdata DeveloperLocation: Minneapolis, Minnesota
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Engineer /Snowflake Admin_ Remote,"RIT Solutions, Inc.","Minneapolis, MN",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-snowflake-admin-remote-at-rit-solutions-inc-3893513452?position=9&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=0QW1sfMKQ7zofwLyTFDYuA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Duration: 12+ monthsMust have a valid LinkedIn profileResponsibilitiesDesign, build, and maintain the data infrastructure that supports an organization's data needs Design and implement data architectures that support business objectivesDevelop data pipelines and ETL processes to move and transform data across systemsBuild and maintain data warehouses and data lakesCreate and maintain data models and schemasEnsure data quality, consistency, and accuracyCollaborate with data scientists, analysts, and other stakeholders to ensure that data is accessible and usableDevelop and maintain documentation and processes for data governance and securityQualifications3-5 Years experience in SnowflakeTechnical skills to help with setup, warehousing, monitoring, user management/securityAbility to help engineering teams/individuals with troubleshooting and triage
","
          60 applicants
        ",Entry level,Contract,Information Technology,Staffing and Recruiting
"Data Engineer-Azure Data Bricks, Java",Zortech Solutions,"Hopkins, MN",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/data-engineer-azure-data-bricks-java-at-zortech-solutions-3888469281?position=10&pageNum=0&refId=kHYke0joFqSY1GWN3BpCtQ%3D%3D&trackingId=oNnGBzAg8r6hUOOaTAsYyQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role: Data Engineer-Azure Data Bricks, JavaLocation: Eden Prairie, MN (Onsite)Duration: 6+ MonthsJob DescriptionAzure Databricks and Java are the mandate skills other scan be secondary8+ years Hands-on experience with - Azure Data Bricks . Must be well versed with the platformDesign and implement scalable and efficient data pipelines to ensure smooth data movement from multiple sources using Azure DatabricksDeveloping scalable and re-usable frameworks for ingesting of data setsEnsure data quality and integrity throughout the entire data pipeline, implementing robust data validation and cleansing mechanismsWorking with event based / streaming technologies to ingest and process data.Develop and maintain data pipelines on Snowflake and Azure platforms. Assist in deploying applications with Kubernetes and Dockers. Contribute to event streaming and processing using KAFKA.Must have 3+ years of relevant experience Java development background with strong Azure knowledge, develop and maintain Java applications using Springboot, Jboss, and other technologies.Azure Cloud Experience hands-on experience with Storage Format, provisioning options and single tenant and multi-tenant concepts.Bigdata Experience : Proficient in ETL development with Talend, Big Data processing and storage, MDM implementation for data consistencyPython/Spark/Scala development > 5+ years coding experience .Lead the design and implementation of cloud-based data solutions.The candidate should be very well versed with Cloud technology and Java is a must.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
