title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Senior Data Dashboard Developer,Swift Strategic Solutions Inc,"Jackson, MS",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/senior-data-dashboard-developer-at-swift-strategic-solutions-inc-3908896622?position=1&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=XUoksYvsBedtKZVJo8AjRw%3D%3D&trk=public_jobs_jserp-result_search-card,"
A Public Sector client of ours is looking for a Senior Data Dashboard Developer to work on their ongoing project in the Jackson, MS office.Below are the additional details of this role: Required Skills:We need a minimum of 7+ years of hands-on experience in the following.Extensive experience with development of front-end reports, dashboards, and data visualizations using tools such as SSRS, SSAS, Power BI or similar toolsExperience with web site programming (ASP.NET, HTML, and XML) and JavaScriptThorough understanding of data warehouse design hierarchies such as star and snowflake schemasUse of ALM tools for work item management, version control, code analysis, and testingBroad and extensive knowledge of the software development process and its technologiesStrong knowledge of computer languages, such as Java, C++, JavaScript, and SQLFamiliarity with continuous integrationUnderstanding of Common Language Runtime (CLR), its limitations, weaknesses, and workaroundsThis role can be W2 or 1099/C2C and is open for anyone with valid work authorization in the US. H1B transfer candidates are more than welcome to apply for this role.
","
          35 applicants
        ",Mid-Senior level,Contract,Information Technology,"Staffing and Recruiting and Technology, Information and Media"
Sr. Data Dashboard Developer,"Datasoft Technologies, Inc.","Jackson, MS",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/sr-data-dashboard-developer-at-datasoft-technologies-inc-3908893424?position=2&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=wolGNV91p19%2FKmTNpVr8fA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Sr. Data Dashboard DeveloperOnsiteAbout the JobDuration: Long-term renewable Contract Location: Jackson, MSPay rate: HourlyJob ID: 129814Qualifications:Rationalizing and mapping data between transactional and dimensional database models/systemsDevelopment and maintenance of data dashboards, reports, and data visualization tools and productsWorking closely with the database and system administrators to optimize stored procedures, views, and the overall performance of the data warehouse systemWorking in collaboration with vendors and other agency staff to design, develop and manage the MDE data portal to publish data both internally to schools and agency staffs, and externally to the publicTranslate application storyboards and use cases into functional applicationsAbility to work independently and cooperatively as part of a team.Ability to work under severe time constraints.Must possess analytical and complex problem-solving skills.7+ Years of experience: Extensive experience with development of front-end reports, dashboards, and data visualizations using tools such asSSRS, SSAS, Power BI or similar toolsExperience with web site programming (ASP.NET, HTML, and XML) and JavaScriptThorough understanding of data warehouse design hierarchies such as star and snowflake schemasUse of ALM tools for work item management, version control, code analysis, and testingBroad and extensive knowledge of the software development process and its technologiesStrong knowledge of computer languages, such as Java, C++, JavaScript and SQLFamiliarity with continuous integrationUnderstanding of Common Language Runtime (CLR), its limitations, weaknesses, and workaroundsPreferred Qualifications: Experience with student information management systems and K-12 data and reporting is a plusSupervising and coordinating a variety of functions.Java and/or JavaScript.NETPL/SQLOracleVersion Control toolsCode analysisTestingAbout our CompanyDataSoft Technologies is a highly recognized provider of professional IT Consulting services in the US. Founded in 1994, DataSoft Technologies, Inc. provides staff augmentation services for Information Technology and Automotive Services. Our team member benefits include:Paid Holidays/Paid Time Off (PTO)Medical/Dental Insurance GroupAccident/Critical Illness InsuranceLife Insurance401 (K)
","
            Be among the first 25 applicants
          ",Entry level,Other,Information Technology,IT Services and IT Consulting
Associate Data Engineer,Harris Computer,"Mississippi, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909357255?position=3&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=HVYk1z5fqYc0ppFxjA0tvA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Sr. Data Dashboard Developer,"Integrated Resources, Inc ( IRI )","Jackson, MS",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/sr-data-dashboard-developer-at-integrated-resources-inc-iri-3909400170?position=4&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=EMI62PgaqQNaSDU5%2B17zYA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title:  Sr. Data Dashboard Developer  Location: Jackson, MS (Remote)  Duration: 4+ Months   Project   Details:                Client has a current goal for every community to effectively use a World-Class Data System to improve student outcomes.     This goal has an outcome to increase the availability of quality data to drive decisions that improve student outcomes.     We are planning to satisfy this goal in part by modernizing our current student information system along with improving the quality of data in connected systems.     This will include web-based application development, and the creation of dashboards and reports that will improve access, accuracy and ease of use for all stakeholders.      Job Description:   This position will require a qualified Developer to take the lead in the following tasks:   Rationalizing and mapping data between transactional and dimensional database models/systems   Development and maintenance of data dashboards, reports, and data visualization tools and products   Working closely with the database and system administrators to optimize stored procedures, views, and the overall performance of the data warehouse system.   Working in collaboration with vendors and other agency staff to design, develop and manage the MDE data portal to publish data both internally to schools and agency staff, and externally to the public.   Translate application storyboards and use cases into functional applications.   Ability to work independently and cooperatively as part of a team.     Ability to work under severe time constraints.      Must possess analytical and complex problem-solving skills.      Required Degree:           Bachelor’s degree      REQUIRED SKILLS/EXPERIENCE        # YEARS   Extensive experience with development of front-end reports, dashboards, and data visualizations using tools such as SSRS, SSAS, Power BI or similar tools           7 years   Experience with web site programming (ASP.NET, HTML, and XML) and JavaScript            7 years   Thorough understanding of data warehouse design hierarchies such as star and snowflake schemas         7 years   Use of ALM tools for work item management, version control, code analysis, and testing  7 years   Broad and extensive knowledge of the software development process and its technologies             7 years   Strong knowledge of computer languages, such as Java, C++, JavaScript and SQL   7 years   Familiarity with continuous integration      7 years   Understanding of Common Language Runtime (CLR), its limitations, weaknesses, and workarounds         7 years
","
            Be among the first 25 applicants
          ",Entry level,Other,Information Technology,Staffing and Recruiting
System Engineer,Howard Industries,"Ellisville, MS",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/system-engineer-at-howard-industries-3911330976?position=5&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=5wnbaynVEbP39f6c6I8hFA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Howard Industries  Job Position: Systems Engineer  About Howard:Howard Industries is the leading manufacturer of liquid-filled power and distribution transformers and dry-type transformers for the utility and commercial/industrial markets with over 4,000 employees (the 2nd largest private employer in Mississippi) and over $1 billion in revenue. The corporation consists of 5 main divisions: Howard Transformers, which is the largest producer of distribution transformers in the U.S., Howard Lighting, Howard Transportation, Howard Technology Solutions, and Howard Medical. Howard Industries offers an excellent compensation and benefits package and is located in Laurel, Mississippi, a charming and historic city located thirty minutes from Hattiesburg, one hour from the Gulf Coast, and two hours from New Orleans. Job Description:Electrical or Computer Engineering position involving hardware design and programming of industrial automation systems and transformer testing systems.The position includes a wide variety of control system design and software development. Most systems are based on industrial PCs programmed using VB.Net. Programming of Allen Bradley PLCs may also be involved at times. Some applications involve industrial robots and/or servo positioning systems. Transformer test system design includes computer control of high voltage and high current switches and measurement devices, I/O devices, control of variable voltage and current sources, communication with and control of smart metering systems, and interfacing with databases. Job Responsibilities:· Strong Programming skills. Microsoft VB.net or C++, real-world programming experience· Power systems concentration in school or power systems design experience.· Control systems concentration in school, or experience with production plant equipment and associated control systems· Knowledge or experience with motors and motor drives, servo systems, and PLCs  Education and Experience:· Bachelor’s Degree in Electrical Engineering Degree or a Computer EngineeringAt least two years of experience  BENEFITS:Medical InsuranceDental InsuranceDisability InsuranceLife Insurance401K RetirementEducation ReimbursementPaid HolidaysPaid Vacations Equal Opportunity Employer Vet/Disabled Howard Industries is an affirmative action/equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, status as a protected veteran, among other things, or status as a qualified individual with disability.
","
          129 applicants
        ",Entry level,Full-time,Engineering,Engineering Services
Software Engineer,System Soft Technologies,"Jackson, MS",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-system-soft-technologies-3882084476?position=6&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=wvTGDw0%2BwHFCAcNohGgOCQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
JOB DESCRIPTION: This position is for an intermediate level Microsoft .Net Developer. This individual will be asked to participate and perform at every level of the development life cycle. Requirements gathering, design, development, testing/ QA, implementation, training, and maintenance. REQUIREMENTS: These are hard requirements. Please do not submit candidates with less than the required years of experience in each section.Years Required Skills/Experience8 IT experienceHands-on application development skills with the following Microsoft software:7 ASP.NET utilizing Web Forms (MVC EXPERIENCE WILL NOT APPLY)7 VB.NET (or) C#7 Visual Studio 2010 or later7 SQL Server 2008 or laterOther development skills:7 JavaScript7 HTML7 CSS5 AJAX3 jQuery2 Bootstrap2 JSON3 XML1 Data conversion/migration 3 Writing complex SQL queries, Functions & Store Procedures2 Writing console and batch applications for data interfaces2 Developing web services using WCF – Windows Communication Foundation1 Team Foundation Server/ GIT Source Code Management Other skills:7 Expertise in designing and implementing web-based applications using a Microsoft platform7 Experience in the full application/systems development life cycle, including analysis, requirements definition, design, technical specifications research, development, testing, implementation, and maintenanceYears Required Skills/Experience Ability to effectively communicate in English verbally and in writing Strong oral and written communication, customer service, and time management skills Expertise in IT project management, including the ability to develop, track, and manage project work plans Ability to work effectively with a team to accomplish team projects and solve technical problems Ability to conceive and/or develop creative solutions and possess strong problem-solving skills Experience working with outlined standards Ability to manage multiple tasks and projects quickly and efficiently in a public-facing environment Ability to mentor other employees Experience developing and maintaining documentation for procedures and processesYears Value-Add Skills (Additional Points)1 Experience Developing and Maintaining Payment Applications1 Experience with Licensing & Permitting Application Development & Maintenance1 Experience with Time & Attendance Applications Development & Maintenance1 Data conversion/migration (excluding DTS & SSIS migration packages)1 Crystal Reports Designer1 Experience with FoxPro Version 9
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology,Government Administration
Software Design Engineer,Mackinnon & Partners,"Columbus, MS",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/software-design-engineer-at-mackinnon-partners-3904157769?position=7&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=geImLO583xmSW9Rmo3RhaA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position: Software Design Engineer Location: Columbus, MS (Onsite)Relocation AvailableShift timing:Monday to Thursday4 days a week with 10 hours shift Friday, Saturday & Sunday off.Duties/ResponsibilitiesDesign and development of software solutions that meet stringent requirements of defense systems. Implement efficient algorithms, data structures, and maintainable code.Develop and execute comprehensive test plans, including unit testing, integration testing, and system testing, to validate the functionality and performance of the software.Ensure that software designs adhere to protocols and standards, including security measures, to safeguard sensitive defense-related information.Create documentation, including design documents, technical specifications, and user manuals, to facilitate the understanding and maintenance of the software.Identify opportunities for performance optimization and implement solutions to ensure the software operates efficiently under demanding conditions.Utilize version control systems to manage and track software changes, ensuring traceability and easy collaboration with team members.Provide ongoing support, troubleshooting, and updates software, addressing issues that may arise.Ensure that designs comply with relevant safety and industry regulations, and MIL standards.Collaborate with cross-functional teams, including program management, and mechanical, electrical and systems engineers, to ensure successful project execution.Identify and resolve technical issues and challenges related to software design, both independently and as part of a team.Stay current with industry trends, emerging technologies, and best practices in software engineering to drive continuous improvement in our designs.Required Skills/AbilitiesStrong knowledge of software development methodologies, design patterns, and best practices.Familiarity with software security and encryption techniques.Experience with version control systems and collaboration tools.Knowledge of defense industry regulations and standards.Education and ExperienceBachelor's degree in Computer Science, Software Engineering, or a related engineering field. Master's degree preferred.Demonstrated experience in software design and development, with a focus on defense systems or similarly complex, safety-critical applications such as missile systems and loitering munitions.Security clearance or eligibility to obtain required.Must be a U.S. person as defined by 22 U.S.C. § 6010
","
          96 applicants
        ",Mid-Senior level,Full-time,Design and Quality Assurance,Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing
Energy Systems Data Analyst,CLEAResult,"Mississippi, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/energy-systems-data-analyst-at-clearesult-3908290829?position=8&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=FEU0ihw6aZXHJWHiNeU2Iw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryAt CLEAResult, we lead the transition to a sustainable, equitable, and carbon-neutral energy-efficient future for our communities and our planet. We do that by creating a people-first culture built on trust, accountability, and transparency; where every employee – regardless of position, role, or identity is treated with respect and given an equal chance to thrive.Additionally, You Will Enjoy Medical, Dental, and Vision Insurance; we also offer a company-paid health care concierge service to help navigate our health plan to make the best decisions for you and yours 401(k) with company match Paid vacation, sick, personal and parental leave time Paid Volunteer Time: giving back to our communities is important to us Employee Recognition Program – convert your recognition points into gift cards Employee Assistance Program – offers benefits to help you manage daily responsibilities Access to on-demand training courses to advance further in your careerJob DescriptionWe are looking for a talented individual…To join our team! CLEAResult’s Strategic Energy Management (SEM) team is expanding and has a new opportunity for the position of Data Analyst. As a Data Analyst, you will help support talented teams of SEM experts across the US and Canada; this position helps facilitate energy modeling and data processing for all SEM teams across North America. This role is focused on data analysis and is primarily internally facing; there will occasionally be interactions with clients and end use customers to acquire data and answer questions. The scope of this position will be the primary supporting function for the Statistical Analyst and process standardization for the international SEM program teams. Data Analysts will perform the pre- and post-modeling data review and manipulation for the Statistical Analysts, benchmarking reporting, and assisting in the development of our digital infrastructures.For this exciting career opportunity, you’re a great fit if you can… Production data manipulation and formattingAnalyzing large data sets for consistency and errorsIntegration of data into statistical software templatesCollaborate with internal and external teams to maintain database filesCollaborate with all program teams to create and maintain standardized templates for energy modeling and program dataCreate work instructions for newly created templatesFinal model and report tracking, drafting, editing, and QCData processing automationVisual basic and excel formula troubleshooting, modification, and creationSmartsheet data manipulationSharePoint experienceEnergy systems experienceEngineering background preferredSponsorship not available at this timeTarget Compensation$60,000 - $65,000 / annuallySponsorship is not available for this position.Compensation RangeCurrency Type SalaryAny offered salary is determined based on internal equity, internal salary ranges, market data/ranges, applicant’s skills and prior relevant experience, certain degrees and certifications (e.g. JD/technology), for example.Additional Job DescriptionEqual Opportunity EmployerAs an Equal Opportunity Employer, we are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant’s race, color, religion, national origin, marital status, age, sex, gender identity, sexual orientation, status as a qualified individual with a disability or protected veteran, or any other protected status.The above job description and job requirements are not intended to be all inclusive. CLEAResult retains the right to make changes or adjustments to job descriptions and/or requirements at any time without notice.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Utilities
Software Design Engineer (Defense Systems),Avant Search,"Mississippi, United States",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/software-design-engineer-defense-systems-at-avant-search-3907132185?position=9&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=CU7JfCRfB4HgJuvD6VlF2g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Responsibilities:Design and develop software solutions for defense systems, meeting stringent requirements. Implement efficient algorithms, data structures, and maintainable code.Develop and execute comprehensive test plans, including unit testing, integration testing, and system testing, to validate software functionality and performance.Ensure software designs adhere to protocols, standards, and security measures to safeguard sensitive defense-related information.Create documentation such as design documents, technical specifications, and user manuals to facilitate software understanding and maintenance.Identify opportunities for performance optimization and implement solutions to ensure efficient software operation under demanding conditions.Utilize version control systems to manage and track software changes, ensuring traceability and collaboration with team members.Provide ongoing support, troubleshooting, and updates to software, addressing issues that may arise.Ensure designs comply with relevant safety regulations, industry standards, and MIL standards.Collaborate with cross-functional teams, including program management, mechanical, electrical, and systems engineers, for successful project execution.Identify and resolve technical issues and challenges related to software design, independently and as part of a team.Stay updated with industry trends, emerging technologies, and best practices in software engineering to drive continuous design improvement.Education and Experience:Bachelor's degree in Computer Science, Software Engineering, or a related engineering field. Master's degree preferred.Demonstrated experience in software design and development, focusing on defense systems or similarly complex, safety-critical applications such as missile systems and loitering munitions.
","
          46 applicants
        ",Associate,Full-time,Engineering,Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing
"Data Center Regional Electrical Engineer (Field Engineering), Data Center Field Engineering",Amazon Web Services (AWS),"Canton, MS",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/data-center-regional-electrical-engineer-field-engineering-data-center-field-engineering-at-amazon-web-services-aws-3878916786?position=10&pageNum=0&refId=%2BnsjHCWtr7DAgfwWCllKXw%3D%3D&trackingId=V%2BXnv8JPTx5uTdqinD5YIA%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionAs an Amazon Field Engineer, you will provide full life-cycle support to AWS Data Centers from design inception through site improvement and maintenance. You will be the ‘go to’ engineering resource for your region when technical advice is needed, and will use your subject matter expertise and engage with diverse teams to: Perform design and equipment submittal review for new Data Centers in your region. Troubleshoot, conduct Root Cause Analysis (RCA) and create Corrective Action (CA) documentation for site/equipment failures. Directly support operational issues with ad-hoc training, complex operating procedure reviews, including critical equipment, and event support. Own the conceptual design for existing data center upgrades and design-solutions, which add capacity, improve availability, increase efficiency and sustainability. Interface with internal data center operations team, data center design engineering team, server hardware team, environmental health and safety team to promote standards that maintain consistency and reliability in services delivered. Develop innovative solutions for AWS’s data centers. Work on concurrent projects, sometimes in multiple geographical regions. Initiate and lead engineering audits including on-site visits within Amazon’s data centers. Produce reports outlining risks with recommended mitigations and remediation. Act as resident engineer during new construction projects. Support construction, commissioning, and turnover.AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running. We support all AWS data centers and all of the servers, storage, networking, power, and cooling equipment that ensure our customers have continual access to the innovation they rely on. We work on the most challenging problems, with thousands of variables impacting the supply chain — and we’re looking for talented people who want to help.You’ll join a diverse team of software, hardware, and network engineers, supply chain specialists, security experts, operations managers, and other vital roles. You’ll collaborate with people across AWS to help us deliver the highest standards for safety and security while providing seemingly infinite capacity at the lowest possible cost for our customers. And you’ll experience an inclusive culture that welcomes bold ideas and empowers you to own them to completion.Key job responsibilitiesRoleAmazon's vision is to be the world's most customer-centric company, and this role is key to that vision. As a Field Engineer, you will be leading projects to fit out our data centers to meet ever-evolving customer needs as we continue expanding our fleet to hyper-scale. As an ideal candidate you: Possess Strong Engineering Judgement and are able to provide recommendations despite uncertainty/ambiguity. Are detail and data oriented. Have experience solving problems with engineered solutions. Have experience managing engineering projects and consultants. Build trust and relationships with different stakeholders (e.g., Operations, Controls, Construction, Design, Commissioning, Product Managers, Technical Program Managers, ). Are adaptable and inclined to get into the field to see things up close. Excited about a mix of office and field work.A day in the lifeEach day you will interact with different teams responsible for all aspects of the data centers. You will prioritize your activities to support data center capacity availability and safety focusing on the actions that are most impactful. You will have the opportunity to work on projects locally and globally. We have an immediate opening for a Field Engineer in, America. If you meet these qualifications, exude passion, and enjoy the challenge of innovative projects at hyper-scale, this job is for you!About The TeamWhy AWSAmazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud platform. We pioneered cloud computing and never stopped innovating — that’s why customers from the most successful startups to Global 500 companies trust our robust suite of products and services to power their businesses.Diverse ExperiencesAmazon values diverse experiences. Even if you do not meet all of the preferred qualifications and skills listed in the job description, we encourage candidates to apply. If your career is just starting, hasn’t followed a traditional path, or includes alternative experiences, don’t let it stop you from applying.Work/Life BalanceWe value work-life harmony. Achieving success at work should never come at the expense of sacrifices at home, which is why we strive for flexibility as part of our working culture. When we feel supported in the workplace and at home, there’s nothing we can’t achieve in the cloud.Inclusive Team CultureHere at AWS, it’s in our nature to learn and be curious. Our employee-led affinity groups foster a culture of inclusion that empower us to be proud of our differences. Ongoing events and learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences, inspire us to never stop embracing our uniqueness.Mentorship and Career GrowthWe’re continuously raising our performance bar as we strive to become Earth’s Best Employer. That’s why you’ll find endless knowledge-sharing, mentorship and other career-advancing resources here to help you develop into a better-rounded professional.We are open to hiring candidates to work out of one of the following locations:Canton, MS, USABasic Qualifications Bachelor’s Degree in Electrical Engineering or equivalent experience. 3+ cumulative years of experience with industrial or commercial engineering in Mission Critical facilities including but not limited to: data centers, power generation, oil/gas facilities. (Experienced Engineer)Preferred Qualifications Organized and have the ability to set priorities and meet deadlines and budget Possess leadership and problem-solving skills Experience using a variety of web based and other software tools for calculation and data processing. Direct experience with the design, construction, operation, or maintenance of mission critical facilities, especially data centers. Experience as resident engineer or hands-on (in the field) design consultant or owner’s engineer. Knowledge of building codes and regulations for your region. Experience reading, interpreting, and creating construction drawings, specifications, and submittal documents. Ability to carry design concepts through exploration, development, and into deployment/mass production Possess excellent communication and writing skills, attention to detail, maintain high quality standards Basic understanding of both mechanical and/or electrical equipment/design related to data centers (Including but not limited to: uninterruptable power sources, diesel generators, electrical switchgear, power distribution units, variable frequency drives, automatic/static transfer switches, chillers [air-cooled and water-cooled], pumps, cooling towers, heat exchangers, CRAHs, fans, air economizers, water treatment, etc) EPMS/SCADA/BMS Controls system experience (software and/or hardware)Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Company - Amazon Data Services, Inc.Job ID: A2600829
        ","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,"Information Technology, Consulting, and Engineering",IT Services and IT Consulting
