title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,"ShiftCode Analytics, Inc.","St Louis, MO",2024-04-13,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-shiftcode-analytics-inc-3898440355?position=1&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=lBjjx4pcBWTc%2BBvcUOML5A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Interview : VideVisa : USC, GC, GC EAD, H4, L2This is hybrid from day-1.Must have strong experience with Scala.DescriptionExperience dealing with large volumes of data, from various sources, both structured and unstructured.Ability to triage and talk through performance / scaling issues of dealing with data at scale.Good understanding of how data will be read (file formats, partitioning, bucketing).Extensive experience writing testable jobs using Spark (or equivalent) framework.Programming & Scripting Languages: Java EE, Scala, Spark, SQL, Bash.Web services & API standards: REST, OAuth, JSON.Software Architectures (micro-services, event driven, peer-to-peer).Application Security.Asynchronous Pub-Sub and Point to Point Messaging Systems.Advantage, if you have experience working in ETL and Hadoop Ecosystem: HBase, Solr, Spark Streaming, Kudu, Spring Boot, Spring Context, Spring Data Rest, General Cloudera experience.Streaming within the Hadoop ecosystem is a plus.
        ","
          31 applicants
        ",Entry level,Full-time,Information Technology,Civil Engineering
Data Engineer,Stifel Financial Corp.,"St Louis, MO",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-stifel-financial-corp-3905335898?position=2&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=iEzHjIzZ9%2Fjletqf6Ezxrg%3D%3D&trk=public_jobs_jserp-result_search-card,"
SummaryThe Data Engineer is responsible for designing, developing, and maintaining data pipelines and infrastructure on the AWS platform. The Data Engineer works with large volumes of data, ensuring its quality, reliability, and accessibility. Tasks may include data ingestion, transformation, storage, data sharing and consumption, and implementing data security and privacy measures. This role is crucial in enabling efficient and effective data-driven decision-making.Essential Duties & ResponsibilitiesBuild and maintain scalable and reliable data pipelines, ensuring the smooth flow of data from various sources to the desired destinations in the AWS cloud environment. Work closely with stakeholders to understand their data requirements and design data solutions that meet their needs, including understanding data models/schemas and implementing ETL (Extract, Transform, and Load) processes to transform raw data into a usable format in the destinationResponsible for monitoring and optimizing the performance of data pipelines, troubleshooting any issues that arise, and ensuring data quality and integrity. QualificationsProficient in programming languages such as Python and SQL for database querying and manipulation. Strong understanding of AWS services related to data engineering, such as Amazon S3, Amazon Redshift, Amazon Aurora Postgres, AWS Glue, AWS Lambda, AWS Step Function, AWS Lake Formation, Amazon Data Zone, Amazon Kinesis, MSK, and Amazon EMR. Knowledge of database design principles and experience with database management systems. Experience with data storage technologies like relational databases (e.g., SQL Server, PostgreSQL) and distributed storage systems (e.g., PySpark). Understanding of Extract, Transform, Load (ETL) processes and experience with ETL tools like AWS Glue and SQL Server Integration Services is essential and should be skilled at integrating disparate data sources and ensuring data quality and consistency. Understanding and experience with orchestration tools like Apache Airflow, AWS Glue Workflows, AWS Step Functions, and notification services. Familiarity with IAC such as Terraform, git, and DevOps pipelines. Strong analytical thinking and problem-solving abilities are essential to identify and resolve data-related issues effectively, with the ability to analyze complex data sets, identify patterns, and derive actionable insights. Awareness of data governance practices, data privacy regulations, and security protocols is crucial, with experience implementing data security measures and ensuring compliance with relevant standards is desirable. Education & ExperienceBachelor's Degree in Computer Science, related field, or equivalent experience. 3+ years of post-Bachelor progressive experience in data engineering. Systems & Technology Proficient in the following computer languages:PythonSQLAWS technologies to include:GlueS3RedshiftLambdaLake FormationDataZoneAbout StifelStifel is a more than 130 years old and still thinking like a start-up. We are a global wealth management and investment banking firm serious about innovation and fresh ideas. Built on a simple premise of safeguarding our clients’ money as if it were our own, coined by our namesake, Herman Stifel, our success is intimately tied to our commitment to helping families, companies, and municipalities find their own success.While our headquarters is in St. Louis, we have offices in New York, San Francisco, Baltimore, London, Frankfurt, Toronto, and more than 400 other locations. Stifel is home to approximately 9,000 individuals who are currently building their careers as financial advisors, research analysts, project managers, marketing specialists, developers, bankers, operations associates, among hundreds more. Let’s talk about how you can find your place here at Stifel, where success meets success.At Stifel we offer an entrepreneurial environment, comprehensive benefits package to include health, dental and vision care, 401k, wellness initiatives, life insurance, and paid time off.Stifel is an Equal Opportunity Employer.
","
            Over 200 applicants
          ",Entry level,Full-time,Information Technology,Financial Services
Data Engineer,Envision,"St Louis, MO",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-envision-3905565049?position=3&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=mF%2BEZpl6CFpt%2BmrxkQfmcw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Data EngineerOnsite in St. Louis, MO, DIRECT HIRE, no C2C, must be a US Citizen.Needs to be a utility player in the data space. Hands on but also able to think, come up with solutions, be self-directed. They are trying to build a new data team so there isn’t a lot of room for people to hide.Qualifications:Heavy on SQL experience5-7 years of experience as a data engineer building core datasets and supporting business verticals as needed. Passionate about analytics use cases, data models, and solving complex data problems.Hands-on experience shipping scalable data solutions in the Azure Cloud (e.g., AWS, GCP, Azure), across multiple data stores (e.g., Snowflake, Redshift, Hive, SQL/NoSQL, columnar storage formats), and methodologies (e.g., dimensional modeling, data marts, star/snowflake schemas).SQL expertise with an understanding of aggregation functions, window functions, UDFs, self-joins, partitioning, and clustering approaches to run correct and highly-performant queries.Highly comfortable with object-oriented programming paradigms (e.g., Python, Java, Scala).Experience working at a fast-growing company, a construction company, or eagerness to contribute in such an environment (Preferred).Hands-on experience in designing and building highly scalable and reliable data pipelines using Big Data stack (e.g., Airflow, Azure Data Pipeline, Spark, Hive, Parquet/ORC, Protobuf/Thrift, etc.) (Preferred).Job Description:Define processes and ETL infrastructure to transform and make data readily available across the company.Build core datasets to serve as unique sources of truth for various business functions including project management, estimating, procurement, finance, operations, and engineering.Partner with project managers, business leaders, and internal stakeholders to understand their needs and design, build, and monitor pipelines that meet current requirements while also scaling gracefully with our growing data size.Implement automated workflows to reduce manual/operational costs for stakeholders, define and uphold SLAs for timely data delivery, and move the company closer to democratizing data and a self-serve model (query exploration, dashboards, data catalog, data discovery).
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,Construction
Data Engineer,Metric5,"All, MO",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-metric5-3889064705?position=4&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=jp%2FNawVNMtCuFHVYdhuxYQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionMetric5 is currently seeking a Data Engineer to work within a team providing Data Warehouse and Business Intelligence services to our government customer using Agile processes. As a Data Engineer, you will work with varying huge data sources with different schemas and data elements to produce an effective and efficient Data Warehouse. You have an eye for spotting data correlations and a desire to dig into large datasets to find technical solutions and deliver business value.Program DetailsThe program you will be supporting has a mission to provide development, security, and operations (DevSecOps) support to U.S. Citizenship and Immigration Services (USCIS) with a focus on development, operations, and modernization of the Agency’s Enterprise Data Warehouse/Data Lake. The team utilizes open-source, AWS Cloud, and Big Data technologies, agile project management practices, and modern DevSecOps delivery to provide the business intelligence support systems to meet the reporting, data analytics, and machine learning/artificial intelligence needs critical to USCIS leadership, data/business analysts, data scientists, and other decision-makers.Requirements Interact with designated product owners, system owners, and source system business owners to understand transactional system data models and elicit requirements and logic for ETLs  Develop ETL workflows/data pipelines to ingest data using AWS Data Migration Service (DMS), Scala, Kafka, Restful APIs, and other technologies as determined by the client from multiple transactional systems to the target (including ODS, data marts, and data lake) according to documented logic and source-to-target mappings  Troubleshoot data discrepancy and missing data issues resulting from daily ETL loads  Work with operations team to deploy ETL jobs in integration and production environment and debug / troubleshoot critical production issues.  Actively participate in Agile release development activities and ceremonies, including sprint planning, sprint grooming, artifact creation, sprint testing, demonstrations and retrospectives and solution releases.  Document ETL logic, mappings, etc. in a concise and traceable manner to be used as a reference for future development and maintenance  Execute other activities related to development work, such as participate in meetings, provide briefings, presentations and other support materials that will promote the program, assist in achieving user buy-in, and explain technical concepts to non-technical audiences. Required Skills 5+ years of experience with ETL development ingesting data from diverse and huge data sources  5+ years of experience with programming languages such as Java, Scala, Python, R, JSON Schema  2+ years of experience producing and consuming Rest APIs.  5+ years of experience with relational databases used to support BI analytics  Experience with Databricks/Apache Spark structured streaming, and/or Kafka experience  Demonstrated experience in a Data Warehouse/Data Lake and Business Intelligence environment  Ability to write complex SQL queries and scripts  Strong teamwork, co-ordination, planning and influencing skills  Self-driven with the ability to adapt quickly, work in a challenging and fast paced environment within cross-functional teams, and to promote creative problem solving within their team  Experience with Agile development practices, including Scrum and Kanban, and management tools (e.g., Jira, Confluence)  Experience with GIT and branching strategies  Experience with engineering/DevOps tools (i.e., Jenkins)  Excellent analytical, communication and organizational skills  Experience working in AWS Cloud environment  Experience with Microsoft Office Suite including Excel, PowerPoint, and Visio Desired Skills Experience with AWS Database Migration Service (DMS)  Experience with Postgres and Oracle  Experience with Scaled Agile Framework SAFe  Education:  Bachelor’s degree in a technical discipline preferred – Computer Science, Mathematics, or equivalent technical degree, or the equivalent combination of education, professional training, and work experience. Location  : Reston, VA – Currently fully remote due to COVID-19. Clearance  : Must be a US Citizen and be able to obtain a government agency Suitability Clearance. USCIS Entry on Duty (EOD) preferred.
        ","
          53 applicants
        ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,TechTammina LLC,"St Louis, MO",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-techtammina-llc-3888447261?position=5&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=sWHaZtTFApRW3HQ9yi7zzQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Role: Data EngineerDuration: 6 months Contract to HireLocation: St. Louis, MO (On-Site)Rate: MarketAdvanced working SQL/PLSQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases structures (Hadoop, MongoDB, dimensional designed solutions, and structures)Experience building and optimizing data pipelines, architectures, and data setsExperience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvementBuild processes supporting data transformation, data structures, metadata, dependency, and workload management""Candidates should also have 5+ years of experience using the following software/tools:Cloud-based data storage and data pipeline solutionsAPI development (specifically to connect to SaaS solutions)Hadoop, Spark, Kafka, Linux scripting, etc.Experience with AWS/Azure cloud services and platformsExperience with Snowflake data platformExperience with Matillion, Databricks, or equivalentExperience with object-oriented/object function scripting languages: Python, Java, etc.
        ","
          35 applicants
        ",Entry level,Full-time,Other,IT Services and IT Consulting
Data Engineer,Precision Solutions,"St Louis, MO",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-precision-solutions-3909062242?position=6&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=XNtyX0LcEk3XCmiGu3dKJw%3D%3D&trk=public_jobs_jserp-result_search-card,"
OverviewData EngineerHybrid | St. Louis, MO | As Needed OnsiteActive Interim Secret Clearance RequiredSummaryOur client is an employee and Service-Disabled, Veteran-owned Small Business focused on providing niche technical services. They are a team of experienced Cyber Security professionals with a track record of success in the Federal, Commercial, and Academic workspaces. Additionally, our client designs, builds, operates, and secures scalable cloud and IT infrastructures to meet their customers’ near-term needs and fulfill their long-term requirements.ResponsibilitiesOur client is seeking an experienced Data Engineer to join their team on the ADVANA initiative. As a Data Engineer, you will play a crucial role in designing, developing, and maintaining ADVANA's data infrastructure and systems. Your expertise in ETL, Databricks, Python, Spark, Scala, JavaScript/JSON, SQL, and Jupyter Notebooks will be essential in ensuring efficient data processing and analysis. Design, develop, and implement end-to-end data pipelines, utilizing ETL processes and technologies such as Databricks, Python, Spark, Scala, JavaScript/JSON, SQL, and Jupyter Notebooks  Create and optimize data pipelines from scratch, ensuring scalability, reliability, and high-performance processing  Perform data cleansing, data integration, and data quality assurance activities to maintain the accuracy and integrity of large datasets  Leverage big data technologies to efficiently process and analyze large datasets, particularly those encountered in a federal agency  Troubleshoot data-related problems and provide innovative solutions to address complex data challenges  Implement and enforce data governance policies and procedures, ensuring compliance with regulatory requirements and industry best practices  Work closely with cross-functional teams to understand data requirements and design optimal data models and architectures  Collaborate with data scientists, analysts, and stakeholders to provide timely and accurate data insights and support decision-making processes  Maintain documentation for software applications, workflows, and processes  Stay updated with emerging trends and advancements in data engineering and recommend suitable tools and technologies for continuous improvement Requirements 3+ years of experience as a Data Engineer, with demonstrated experience creating data pipelines from scratch  Demonstrated experience working with Military Transportation & Cargo Logistical Data  High level of proficiency in ETL processes and demonstrated, hands-on experience with technologies such as Databricks, Python, Spark, Scala, JavaScript/JSON, SQL, and Jupyter Notebooks  Strong problem-solving skills and ability to solve complex data-related issues  Demonstrated experience working with large datasets and leveraging big data technologies to process and analyze data efficiently  Understanding of data modeling/visualization, database design principles, and data governance practices  Excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams  Detail-oriented mindset with a commitment to delivering high-quality results Preferred Requirements Knowledge of Qlik/Qlik Sense, QVD/QlikView, and Qlik Production Application Standards (QPAS) is a significant plus  Recent DoD or IC-related experience  Previous experience with ADVANA is a plus Education/Certification Requirements No requirements Clearance Requirements Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; an active Interim Secret clearance is required. Other DutiesPlease note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.About UsNorthern Virginia-based Precision Solutions is an expert in staffing solutions for companies of any size that open the door to new opportunities and seek outstanding talent. We pride ourselves on being versatile enough to tailor our relationships to the needs of each individual client, being agile in the fast-paced marketplace, and being precise in meeting the needs of any company.Equal Opportunity Employer StatementPrecision Solutions is an equal opportunity employer. We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.
        ","
          44 applicants
        ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,TriCom Technical Services,"Kansas City, MO",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-tricom-technical-services-3894462715?position=7&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=zG8jUh07aOS1sth074fIAw%3D%3D&trk=public_jobs_jserp-result_search-card,"
SummaryOur client is seeking a pair of data engineers, one to work with their financial data and one to work with their market data, but the role and the requirements are the same. This individual will be responsible for supporting all assigned data needs in the Enterprise Data Platform. This will include collaboration with architects, data engineers, data stewards, business owners, project managers, and much more.Requirements3+ years of experience with most or all of the following technical tools/concepts: SQL, PL/SQL, Excel, RDBMS.Experience with some of the following technical tools/concepts: ETL (Informatica or similar), Python, Java, NoSQL databases, self-service BI, Cloud-based data technologies, data APIs.Experience with the entire software development lifecycle, particularly utilizing the SAFe values and methodsBachelor's degree (BA/BS) in Computer Science, Data analytics, Data Science, Mathematics/Statistics, or another related analytical field and 3 years related work experience; or an equivalent combination of education and work experience..Preferred5+ years overall experience in data management, data analytics, data engineering, data science, or similar; utilizing concepts and tools including SQL, PL/SQL, Excel, RDBMS, ETL (Informatica or similar), Python, Java, NoSQL databases, self-service BI, Cloud-based data technologies.Cloud technology experience is strongly preferred, especially Snowflake and AWS tools.Experience with Insurance and Insurance Regulation data.Experience architecting and deploying analytics data warehouses.Master’s degree (MS) in Computer Science, Data Analytics, Data Science, Mathematics/Statistics, or another related analytical field.This is a permanent opportunity with our Kansas City, MO client. Hybrid role as onsite attendance may be required bi-weekly. Excellent Medical/Dental benefits, excellent 401(k) plan. H1-B Visa sponsorship is not available for this position. No third-parties, please.#hybrid
","
            Over 200 applicants
          ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Senior Data Engineer,MFour Mobile Research,"Kansas City, MO",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-mfour-mobile-research-3899963470?position=8&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=xAU9NfzIAMaMWQxPAXw9ew%3D%3D&trk=public_jobs_jserp-result_search-card,"
Welcome to MFour!Our Story: Founded in 2011, MFour is a fast-growing data and analytics technology company “democratizing” consumer insights. Named a 2023, “top 25 L.A. tech companies to watch,” by Built In, we’ve created a SaaS ecosystem, giving businesses access to united shopper behavior + opinion data that uncovers the whos, whats, whys, whens and wheres behind consumers in ways never before possible. We help 25% of the Fortune 100 plus organizations of all sizes make product, brand and advertising decisions.Our Product: Using the nation’s most downloaded, highest-rated, and only Apple-approved app & web data collection and survey app (Surveys On The Go®), MFour has united market research and data science on our platform, Studio. Studio is the only place for real-time app, web, and foot traffic united with validated consumer surveys for unprecedented insights to help capture the modern consumer's attention.Our Goal: To eliminate the unknown (data blind spots) within market research in a way that recognizes a consumer’s right to privacy – so marketers can make better decisions about new and existing products, advertising choices and competitive positioning. MFour is trusted by hundreds of leading brands, including Google, Microsoft, Samsung, Walmart, Disney, Spotify, and Lowe’s.Our Core Values: Simplicity, Humility, Quality, Consistency, and Innovation.Your Journey to Success: We're searching for a passionate collaborator to join our journey in turbocharging our data product capabilities! Partnering with our visionary product owners and dynamic business stakeholders to amplify our data assets and propel our data products to unparalleled heights!Your MissionAble to write complex queries using SQL for data analysis and transformation.Visualize and communicate data observations and data quality.Cross-functional collaboration with product owners and business stakeholders.Administrate ELT and data pipelines by updating, optimizing, and monitoring performance.Work in an Agile environment using sprints, grooming, and other standard SCRUM ceremonies.Become a subject matter expert in our data processing platform to further inform the business on improvements and updates to data processing.Qualifications That Set You ApartDemonstrate strong SQL skills, and ability to write queries involving Windows functions, multiple tables, and subqueries.Experience with disparate data sources and ingestion methods (streaming, batch, microbatch, change-data capture, etc).Demonstrated ability to translate business requirements into specifications and strategies that will be used to map and visualize data sets for various user segments.Experience with tools such as Pyspark, Databricks, and Snowflake (DBT is a plus).Quick learner, detail-oriented, and proactive thinker.Strong problem-solving, quantitative, and analytical abilities.Excellent communication and collaboration skills.In Return For Your Dedication, We OfferCompetitive salary + commission packageTop-tier health benefits: medical, dental, vision, LTD, and life insuranceEmbrace work-life balance with unlimited PTOA dynamic hybrid schedule, fostering connections in the office at least two days a weekAdditional perksfully equipped gym on-site mental health benefits team-focused atmosphere team bonding events and happy hours Please note, that this is not a remote position. Only candidates currently located in the Irvine & Kansas City area will be considered.Base Salary Range - $110,000 - $125,000CHECK US OUT:  https://www.youtube.com/watch?v=cabweOxGias&t=1sOUR APP : https://surveysonthego.com/
        ","
          49 applicants
        ",Mid-Senior level,Full-time,Information Technology,Market Research
Data Engineer,Precision Solutions,"Crystal City, MO",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-precision-solutions-3902753770?position=9&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=K9jcftD5q9p1DJ3LDCPDew%3D%3D&trk=public_jobs_jserp-result_search-card,"
OverviewData EngineerHybrid | Crystal City, VA | 1 Day a Week OnsiteActive Secret Clearance RequiredSummaryOur client is an employee and Service-Disabled, Veteran-owned Small Business focused on providing niche technical services. They are a team of experienced cybersecurity professionals with a track record of success in the Federal, Commercial, and Academic workspaces. Additionally, our client designs, builds, operates, and secures scalable cloud and IT infrastructures to meet their customers’ near-term needs and fulfill their long-term requirements.ResponsibilitiesOur client is looking for a Data Engineer to join their team! As a Data Engineer, you will play a crucial role in designing, developing, and maintaining our client's data infrastructure and systems. Your expertise in ETL, Databricks, Python, Spark, Scala, JavaScript/JSON, SQL, and Jupyter Notebooks will be essential in ensuring efficient data processing and analysis. Design, develop, and implement end-to-end data pipelines, utilizing ETL processes and technologies such as Databricks, Python, Spark, Scala, JavaScript/JSON, SQL, and Jupyter Notebooks  Create and optimize data pipelines from scratch, ensuring scalability, reliability, and high-performance processing  Perform data cleansing, data integration, and data quality assurance activities to maintain the accuracy and integrity of large datasets  Leverage big data technologies to efficiently process and analyze large datasets, particularly those encountered in a federal agency  Troubleshoot data-related problems and provide innovative solutions to address complex data challenges  Implement and enforce data governance policies and procedures, ensuring compliance with regulatory requirements and industry best practices  Work closely with cross-functional teams to understand data requirements and design optimal data models and architectures  Collaborate with data scientists, analysts, and stakeholders to provide timely and accurate data insights and support decision-making processes  Maintain documentation for software applications, workflows, and processes  Stay updated with emerging trends and advancements in data engineering and recommend suitable tools and technologies for continuous improvement Requirements Minimum of 3 years of experience as a Data Engineer, with demonstrated experience creating data pipelines from scratch  High level of proficiency in ETL processes and demonstrated, hands-on experience with technologies such as Databricks, Python, Spark, Scala, JavaScript/JSON, SQL, and Jupyter Notebooks  Strong problem-solving skills and ability to solve complex data-related issues  Demonstrated experience working with large datasets and leveraging big data technologies to process and analyze data efficiently  Understanding of data modeling/visualization, database design principles, and data governance practices  Excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams  Detail-oriented mindset with a commitment to delivering high-quality results Preferred Requirements Knowledge of Qlik/Qlik Sense, QVD/QlikView, and Qlik Production Application Standards (QPAS) is a significant plus  Recent DoD or IC-related experience  Previous experience with Advana is a plus Education/Certification Requirements None Clearance Requirements Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; an active Secret clearance is required. Please be aware that onboarding can take 4-6 weeks for this position. Other DutiesPlease note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.About UsNorthern Virginia-based Precision Solutions is an expert in staffing solutions for companies of any size that open the door to new opportunities and seek outstanding talent. We pride ourselves on being versatile enough to tailor our relationships to the needs of each individual client, being agile in the fast-paced marketplace, and being precise in meeting the needs of any company.Equal Opportunity Employer StatementPrecision Solutions is an equal opportunity employer. We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,"McCarthy Building Companies, Inc.","St Louis, MO",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-mccarthy-building-companies-inc-3879292762?position=10&pageNum=0&refId=%2FQ9SBjo9RQzU%2BS4Dr7AD4w%3D%3D&trackingId=2rutsMCNt0cGJJkHFuHrag%3D%3D&trk=public_jobs_jserp-result_search-card,"
          McCarthy Building Companies, Inc. is America's premier, 100% employee-owned commercial construction company. With offices nationwide, we specialize in a wide range of project types that are as diverse and wide-ranging as the communities in which we build. Our innovative teams collaborate with clients and industry partners throughout the project life cycle, starting in the earliest stages of design, throughout construction and beyond project completion.McCarthy’s reputation for tackling the toughest building challenges starts with our focus on developing high-performing individuals and teams. We do this through our award-winning training programs, a best-in-class Total Rewards benefits program, and a focus on equipping diverse teams of employee owners through a connected and inclusive culture aligned with our values of: Genuine. We, Not I. All In.How do McCarthy partners define our culture?We Live Our Core Values. We do whatever it takes to deliver on our promises with honesty and integrity.We are Employee Owned. We are personally invested in building the things people need in our communities.We Feel Like a Family. We value genuine connections and help each other succeed in an inclusive environment.We are Builders. We respect the work we do and everyone who helps make it happen safely.McCarthy is seeking a full-time Data Engineer located in St. Louis, MO who, as part of the Enterprise Solutions and Analytics team, will play a crucial part in shaping our data infrastructure, supporting our existing systems, and driving innovation through ML and AI solutions. As we expand our capabilities, your expertise will be pivotal in delivering end-to-end data pipelines and repositories.Key ResponsibilitiesProfile source system data and design data warehouse and lake schemasDesign, implement, and support ETL and ELT pipelines Create and run testing protocols for data solutions Collaborate with cross-functional teams to identify ML and AI opportunities within our data ecosystem. Design, implement, and optimize ML models and algorithms. Deploy ML solutions into production, ensuring scalability and reliability. Assure development work accords with best practices including security, quality control, and version control Participate in code and design review to ensure alignment to standards and best practices Research, analyze, recommend, and select technical approaches for solving challenging and complex development and integration problems Skills & Qualifications3+ years of data solution delivery experience (some experience in the azure data environment is preferred) Experience with T-SQL (queries, stored procedures, and DDL) Experience querying API endpoints  Experience with Power Query Solid understanding of data warehouse and data lake concepts and design (including star schemas) Experience with Agile/Scrum methodology preferred Excellent analytical, conceptual, and problem-solving abilities with aptitude for acquiring new technical skillsEntrepreneurial attitude with a passion to deliver value for the organization Highly motivated team player with strong interpersonal skills Constant learner with a passion for continuous growth and improvement Python proficiency for ML and AI development. Nice to HavesExperience on the Microsoft Azure platform including Azure Data Factory (pipelines and mapping & wrangling data flows), Azure SQL, Azure Data Lake Gen2, Azure DevOps Experience developing and promoting work through devops/dataops pipelines and utilizing source control Experience building data pipelines to ingest unstructured and streaming data Experience preparing data for Data Science and Machine Learning use cases Experience with master data management Experience designing reports using Power BI, Power Query, and DAX McCarthy Building Companies is proud to be an equal opportunity and affirmative action employer regardless of race, color, gender, age, sexual orientation, gender identity, gender expression, religious beliefs, marital status, genetic information, national origin, disability, protected veteran status, or any other basis protected by federal, state, or local law.
        ","
          188 applicants
        ",Entry level,Full-time,Information Technology,Construction
