title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,Lutz,"Omaha, NE",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-lutz-3885165442?position=1&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=ffLGXyBoW4V9T2J2mygSuA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Lutz Tech is an information technology firm that partners with local businesses to simplify the complex world of tech. Our team believes in saying it straight, pushing ourselves to be the best, and serving our teammates as well as our clients.Role Summary: We are seeking a highly skilled and versatile Data Engineer to join our team. This individual will be instrumental in connecting to various data sources, understanding and interpreting data structures from a business perspective, and developing efficient data pipelines that feed into our Power BI reports. The ideal candidate will have a strong background in relational databases, experience with cloud and API data integration, and the ability to manage multiple projects across different industries.Responsibilities Include:Design and implement data integration solutions to connect with various source systems, including custom applications and off-the-shelf software.Understand and interpret data structures, mapping source data to common data tables and developing reporting models to support Power BI report development.Work with relational databases (SQL Server, Azure SQL), familiarity with NoSQL environments a plus.Utilize Microsoft Fabric pipelines or individual components such as Synapse and Data Factory for data processing and management.Optionally, administer Power BI environments, including setup, security, and maintenance.Monitor capacity metrics and determine potential efficiency gains on the Power BI data flows or pipelines.Collaborate with teams to understand business requirements and translate them into technical specifications.Manage multiple data engineering projects simultaneously, effectively context-shifting between different industries and client needs.Requirements:Minimum of 3 years of experience in data engineering or a closely related role.Bachelor’s degree in Computer Science, Information Technology, Business Analytics, Engineering, or a related field. Experience in managing multiple projects with the ability to shift contexts effectively between different industries and client needs.Familiarity with Power BI or similar business intelligence tools, including report development and, ideally, administration.Experience in working with NoSQL databases is desirable but not mandatory.Proven experience with SQL Server, Azure SQL, and other relational databases.Demonstrated ability in developing and implementing data integration solutions with various source systems.Hands-on experience with Microsoft Azure Data Services (e.g., Data Factory, Azure Synapse Analytics) or similar cloud data services.Strong understanding of data structures and the ability to map source data to common data tables for analytics purposes.Excellent problem-solving skills and the ability to understand complex business requirements and translate them into technical solutions.Strong communication and collaboration abilities.
","
            Over 200 applicants
          ",Associate,Full-time,Engineering and General Business,Accounting and Business Consulting and Services
Business Intelligence Engineer,Viterra US,"Omaha, NE",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/business-intelligence-engineer-at-viterra-us-3876475268?position=2&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=MnDEOLvaW89cB53qhZXAug%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Overview:As a Tableau Business Intelligence Engineer, you will be a key player in transforming raw data into strategic insights that drive informed decision-making across our organization. This role demands a blend of technical expertise, creative visualization skills, and a deep understanding of business needs. You will collaborate closely with stakeholders, design intuitive Tableau solutions, and contribute to the evolution of our business intelligence capabilities.Responsibilities:Requirement Gathering: Collaborate with business users to understand their BI and reporting requirements. Translate business needs into technical specifications for Tableau development.Tableau Development: Design, develop, and maintain Tableau dashboards and reports to visualize complex data sets. Create interactive and user-friendly interfaces for end-users to explore and analyze data.Data Modeling and Integration: develop data models to support Tableau visualizations, ensuring data accuracy and completeness. Integrate and transform data from various sources to create a unified view for reporting.Performance Optimization: Optimize Tableau dashboards for performance, responsiveness, and efficient data retrieval. Implement best practices for enhancing Tableau workbook performance.Collaboration and Communication: Collaborate with cross-functional teams, including data engineers and analysts, to ensure alignment between data sources and BI requirements. Communicate insights effectively to both technical and non-technical stakeholders.Automation and Scalability: Implement automation processes to streamline data extraction, transformation, and loading (ETL) into Tableau. Design solutions that are scalable to accommodate growing data volumes.Documentation: Maintain documentation for Tableau solutions, including data source definitions, calculations, and dashboard logic. Provide documentation to support knowledge transfer.Support Offer support for Tableau-related inquiries and troubleshoot issues as needed.User Access and Security: Manage user access and permissions within Tableau to ensure data security and compliance.Qualifications:Bachelor’s degree in Computer Science, Data Science, Management Information Systems, or related field.Proven experience as a Tableau Developer or Business Intelligence Engineer.Knowledge of data modeling, ETL processes, and data warehousing concepts.Proficiency in SQL for data manipulation and analysis.Excellent analytical and problem-solving skills.Effective communication and collaboration skills.Preferred Skills:Tableau Desktop certification.Familiarity with other BI tools and technologies.Experience with scripting languages for automation tasks.Knowledge of advanced Tableau features, such as calculated fields, parameters, and sets.Experience with data governance and compliance considerations.Experience with Tableau Server architecture, configurations, and security.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,"Information Services and Transportation, Logistics, Supply Chain and Storage"
Data Warehouse Engineer,Apex Systems,"Omaha, NE",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/data-warehouse-engineer-at-apex-systems-3899517104?position=3&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=WZaDEnbUv04KYV1PxKK%2FKA%3D%3D&trk=public_jobs_jserp-result_search-card,"
#2020001 Data warehouse EngineerOn-Site 100k-130k a yearsData Warehouse and Data Governance Supervisor will, Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases and data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality. In addition, they should have a proven track record of leading and supervising a team to develop and enforce data governance best practices.III. RESPONSIBILITIES AND DUTIESData Warehouse Design and Implementation:Designing and developing data warehouse solutions to support business intelligence and reporting needs.Collaborating with business analysts and stakeholders to understand data requirements and translate them into technical specifications.Extracting, transforming, and loading (ETL) data from various sources into the data warehouse using tools like Informatica, Talend, or SSIS.Building and maintaining data models, schemas, and dimensional structures to optimize data storage and retrieval.Writing complex SQL queries and stored procedures to extract and manipulate data for reporting and analysis purposes.Monitoring and troubleshooting data warehouse performance issues, identifying bottlenecks, and implementing solutions.Collaborating with database administrators to ensure proper configuration, backup, and recovery of the data warehouse.Conducting data profiling and data analysis to identify data quality issues and recommend improvements.Participating in data warehouse architecture design and providing input on technology selection and best practices.Keeping up-to-date with industry trends and advancements in data warehousing technologies and methodologies.Data Governance:Develop and implement data governance policies and procedures to ensure data quality, integrity, and compliance with industry regulations.Define and enforce data standards, metadata management, and data lineage.Collaborate with business stakeholders to establish data ownership and stewardship.Implementing data quality and data governance processes to ensure accuracy, consistency, and integrity of data in the warehouse.Performance tuning and optimization of data warehouse processes and queries to improve overall system efficiency.Monitor data usage and access to ensure compliance with data governance policiesIdentify and address data quality issuesDevelop and implement data governance best practicesProvide training and guidance on data governance policies and proceduresCollaborate with stakeholders to ensure data is used effectivelyMonitor data security and privacy regulationsPerform data audits to ensure compliance with data governance policiesSupervisory and Leadership:Lead a team of data engineers, providing mentorship, guidance, and support.Foster a collaborative and innovative team culture focused on achieving data quality and reliability goals.
","
          157 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Associate Data Engineer,Harris Computer,"Nebraska, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909354536?position=4&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=XK0Ascan3j9Hsby1Ej6BSw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Senior Data Engineer,Qinshift,"Malmo, NE",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-qinshift-3887132007?position=5&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=EWw%2BXRBgEgs1j6wIj2OFjg%3D%3D&trk=public_jobs_jserp-result_search-card,"
This is usAt Qinshift we’re committed to making real impact. With us you’re working with teams of tech focused peers who thrive with creative thinking and dedication to learning and improvement. Here, you’ll be an important part of our community, where we actively encourage you to bring thoughts and ideas to the table. If this resonates with you and you're interested in this position we would be delighted to talk to you.This is the jobIt is our company's ultimate goal to assist our clients in becoming data-driven. With technical skills and a creative mind, we help our clients achieve tangible business results, such as improved products, utilization, less maintenance, and, ultimately, better user experiences.As a Data Engineer, you’ll be a part of a team that creates end-to-end data platform solutions, which includes defining requirements, designing, developing, configuring, and testing the platform. You will work closely with the stakeholders to define and formulate requirements in an agile way. One of your main responsibilities is to translate these requirements into scalable and easy-to-maintain data pipelines using the tools best suited for the task. The solutions you will work with range from traditional data warehouses to more modern architectures such as data lakes and streams.This is youFor this role, we believe you are a creative and analytical person who uses your knowledge and engineering skills to create business value. Your ability to transform data and statistics into a strategic way of thinking is the key.You probably have an educational background, Master, or Bachelor´s degree within a suitable area such as engineering or science. Alternatively, a comparable industry career with significant experience in analytics.Required SkillsExperience from Azure Analytics platforms such as Data Factory, Databricks, and Synapse (or similar experience from other cloud platforms e.g., GCP, AWS)A couple of years of experience with SQL, Python, and/or ScalaBroad knowledge of concepts and architecture within Data Warehouse and more modern solutions such as Delta Lakes/Lakehouse architectureA good understanding of DevOps processes, version control, CI/CD practicesComfortable in Swedish and English, both spoken and writtenNice-to-have SkillsIt’s a plus if you’re experienced in different visualization tools such as Power BI or Qlik but also if you’re used to working with infrastructure as code (IAC) tools such as Terraform or Bicep.What awaits you at Qinshift?Through our values, Better Minds, Bolder Ideas and Bigger Hearts, we strive to provide you with the tools, the autonomy, the trust, and assistance you need to excel. Enjoy benefits like private health insurance, well-being programs, flexible and hybrid work models, laptops and gear, trainings, language classes, social events, great offices, and more.We take pride in the diverse skills and character of our teams, welcoming everyone to apply and contribute to our collective strength .We process the applications on an ongoing basis, which could mean that the process ends before the final application date, so don't wait to apply.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Software Engineer,Aviture,"Omaha, NE",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-aviture-3908851821?position=6&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=VN%2BQ4I8pOZs42kAhcBKOfg%3D%3D&trk=public_jobs_jserp-result_search-card,"
What is Aviture?Aviture is a full-service technology consulting firm with expertise in software solutions for both commercial and government organizations.We believe software doesn’t mean anything unless it solves a problem, so we create technology to enable users, open possibilities, and create meaningful impact.“I wanted to create a company that I would have wanted to work at when I was an engineer.” — Mark Griffis, PresidentWe are headquartered in Omaha, Nebraska, with remote employees across the nation: Las Vegas, Washington D.C., Austin, Dallas, Portland, Green Bay, Kansas City, Madison, Minneapolis, and Orlando, just to name a few.What is Aviture’s Art of the Possible?Along with our mission-driven team’s deep expertise in a wide range of development languages, we employ a disciplined agile approach to define goals upfront, keep organizational value at the forefront, and set the pace for rapid, iterative innovation that transforms organizations. We call this the Art of the Possible.The Solutions We’ve Created HaveSaved lives in the California wildfires and southern U.S. floodingProvided security for the 2020 Presidential Inauguration, Super Bowl, and post-attack Boston MarathonEnabled augmented-reality training environments for surgeonsIncreased transparency and promoted patient wellness in hospitals and senior care facilitiesCombined computer vision and robotics to automate dangerous manual labor tasksAnd much more!Why You’ll Want to Live AviturianAviturians Create Technology That Makes a Meaningful Difference In Someone’s Life. We’re a Team Made Up Of Designers, Engineers, Developers, And Inventors Who Believe Technology’s Purpose Is To Empower Users To Change The World. Here Are The Values That Guide UsEmbody integritySeek ownershipStay hungryRemain groundedCreate impactChallenge with respectWe’ve built our culture around creativity, continuous learning, and our shared values. If that sounds like something you’d like to be a part of, then join us today!Software EngineerAviture is hiring a Software Engineer. Aviturians understand how technology can change the world and have the technical skills to make those visions a reality. Aviturians are always eager to learn, share, collaborate, grow, and innovate. (We also share a good meme or thirty.)We’re looking for a rockstar Software Engineer who will…Work with a cross-functional team to design, develop, test and deploy innovative solutions to a wide range of complex business problems.Actively participate in all aspects of our agile development process.Utilize effective debugging techniques to identify and resolve software defects.Continuously keep themselves up to date on changes in technology, with an emphasis on the tech stacks being used by your team.Sound like you? Apply today:Requirements BS degree in Software Engineering related degree, similar technical field of study or equivalent practical experience.Excellent verbal and written communication skills. Able to respectfully challenge the status quo. Experience developing and maintaining large-scale applications using one or more general purpose programming languages, such as:Python, Java, C#/.NET, Go, JavaScript, TypeScriptExperience with one or more modern frontend technologies is a plus: ReactJS, AngularJS, VueJS, etc.Able to work both autonomously, as well as collaboratively among a team of your peers.Excellent grasp of computer science concepts, proven ability to solve complex technical problems.Experience using common design patterns in the software industry.High personal standards for code quality, maintainability, and performance.BenefitsPPO or a High Deductible Health Plan, HSA eligible plan, Dental, Vision, and Supplemental Life. Generous paid time off that starts accruing on day one.Hybrid work environment with quarterly Castaway Week events in the Omaha HQ Office, all expenses paid, from across the country to participate in team-building, collaboration, and fun events.Company vacations!!! Previous destinations have included Napa Valley, Cancun, Cabo San Lucas and Aspen.Matching 401k with 100% vesting in six months.Pick your preferred workstation! Mac? PC? We’ll support you with the tech you need to do your best work.Get paid to go to national and international conferences and training, so that you can stay up to date with the latest innovations.Flexible work schedules: Work the times that fits your schedule, with all meetings required to be scheduled between 9 am and 3 pm CST.Free lunch every Friday and recurring team events for you and your family to enjoy.Incentive and bonus pay. Opportunities for connection and growth through peer coaching, recurring Lightning Talks to share things we’re passionate about, and a bi-weekly company-wide All Hands.
","
          53 applicants
        ",Entry level,Full-time,Engineering and Information Technology,IT System Custom Software Development
"Software Engineer, Autonomy",ALA Engineering,"Scottsbluff, NE",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/software-engineer-autonomy-at-ala-engineering-3908896024?position=7&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=0xGkXb7vtqR15TAd%2BRBukw%3D%3D&trk=public_jobs_jserp-result_search-card,"
As an Autonomy Software Engineer, you will develop and deploy high-performance software that is responsible for operating our autonomous feed truck that delivers feed to cattle. You will help steer and execute the technical strategy for our perception, planning, and control stacks. You will collaborate closely with our engineering team to ensure safe, reliable, and repeatable operation of our autonomy stack in the real world.Required Skills/Abilities: ·       Experience with Linux, bash commands/terminal and familiar with Ubuntu·       Excellent programming skills in C++ and Python·       Experience in Layers and Components of Autonomy·       Collaboration on large software stacks, and experience in Git·       Experience in ROS1/ROS2 (pubsub, clients, services, actions, parameters, qos, etc.)·       Experience with Perception Sensors (LiDAR, Radar, Camera, GPS, IMU, etc.)·       Solid mathematical skills in linear algebra and matrix operations·       Ability to read, understand, and partially/fully implement research papersPreferred Skills/Abilities: ·       Experience with C++ design patterns and modern C++ toolkits (smart pointers, threading, STL, etc.)·       Fluency with agile software design workflows and project planning·       Familiar with CAN and Automotive Ethernet 100/1000BASE-T1 communication protocols·       Experience with CARLA simulator for autonomous drivingEducation and Experience: ·       Degree in CS, Software Engineering, Math, Physics, or equivalent·       Experience in a Software Engineering role, preference for Autonomy/RoboticsSupervisory Responsibilities: There are no supervisory responsibilities for this role.
","
          31 applicants
        ",Entry level,Full-time,,Software Development
Data Engineer,Dice,"Lincoln, NE",2024-04-27,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-dice-3909801036?position=8&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=Xio%2Bhx%2FjJMK36JvJpy4CAA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Dice is the leading career destination for tech experts at every stage of their careers. Our client, TEKsystems c/o Allegis Group, is seeking the following. Apply via Dice today!Description:Data Engineer that will support cross-functional teams to create consistency across data. Will help with performance enhancements and indexing work.As a Data Engineer at our student loan servicer client, you will work closely with our Data Architects and Software Development teams to develop and maintain data governance standards, ensuring the highest quality of our cloud-based solutions. You will be instrumental in our goal to scale and streamline our data governance practices, reducing time-to-market for delivering product features to improve overall product reliability.JOB RESPONSIBILITIES:Design and implement effective database solutions and models to store and retrieve data.Oversee the migration of data from legacy systems to innovative solutions.Monitor the system performance by performing regular tests, troubleshooting, and integrating new features.Actively seeks to remain technically current and increase expertise and abilities.Recommend solutions to improve new and existing database systems.Educate staff members through training and individual support.Offer support by responding to system problems in a timely manner.Strives to align personal passion and career desires with opportunities and company needs.QUALIFICATIONS: A minimum of 3 years' experience in a similar role.Strong knowledge of structured and non-structured database systems and data mining.Experience building data solutions for Software as a Service (SaaS) offerings.Excellent organizational and analytical abilities.Outstanding problem solver.Good written and verbal communication skills.Willingness to explore and learn new concepts, tools, and processes.Skills:Aws, Big data, Snowflake, Postgres, Agile, data warehouse, sparkAdditional Skills & Qualifications:COMPETENCIES - SKILLS/KNOWLEDGE/ABILITIES:Strong technical competency in the following:Conceptual, Logical, and Physical Data ModelingVariety of database expertise around MS SQL Server, PostgreSQL, DynamoDB, Mongo or CassandraMetadata, data dictionary, repository solutionsSecure Development PracticesCollaboration tools including JIRA, Confluence and/or Microsoft TeamsExperience with Batch/Real-time Data processingData Analytics and Business IntelligenceIn-depth knowledge of the full software development lifecycle; with exposure to agile or iterative approaches to delivery preferred.Strong verbal and written communication skillAbility to quickly learn modern technologies and business functions.Strong analytical skills to determine effective approaches to business solutions.Demonstrated effective performance in a team-oriented environment.Experience Level:Intermediate LevelAbout TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Software Development
Data Analyst,Bayforce,"Kearney, NE",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-bayforce-3912009416?position=9&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=qoRC4%2BfndQZNEyoQapbJmw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role Title: Data AnalystEmployment: PermanentSalary: $85,000 Preferred Location: 5 days a week on-site at Kearney, NE locationRole Description: We are seeking a Data Analyst to play a pivotal role in driving our organization's digital transformation initiatives. In this role, you will be responsible for meticulously analyzing business needs and requirements and leveraging current information technology to address them effectively. Working under direct supervision, you will collaborate with senior IT professionals to coordinate IT projects and initiatives, ensuring alignment with organizational goals.  Key Responsibilities:Conduct comprehensive analysis of business processes, needs, and requirements, and utilize this insight to develop and implement tailored information technology solutions.Apply enterprise data analysis techniques to derive actionable insights and make recommendations aimed at streamlining and simplifying business processes.Design, develop, and deploy appropriate digital and information technology solutions, ensuring they align with organizational objectives and technological best practices.Recommend modifications to digital and IT systems with the aim of enhancing business systems, optimizing operational efficiency, and reducing costs.Evaluate and adapt existing technology to accommodate changes in business requirements or equipment configurations, ensuring seamless integration and functionality.Develop and document procedures for the effective utilization of digital and IT technology, encompassing both on-premise and cloud-based solutions.Collaborate in the development of training materials to support process changes and the introduction of new technologies, ensuring smooth adoption and proficiency among stakeholders.Requirements:  - Bachelor's degree in computer science, information systems, or related area (or international equivalent)2+ years of related IT experienceExperience with Data Analytics & Reporting experience with one of the following tools (SQL, Azure Fabric, Power BI, Alteryx)Experience with Big Data Exposure to EDIPlus:Exposure to ERP Business Systems experience with one of the following tools (MSS, SAP, ManMan)
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Information Technology, Analyst, and Engineering",Industrial Machinery Manufacturing
Software Engineer with Clearance,Aviture,"Omaha, NE",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/software-engineer-with-clearance-at-aviture-3887636235?position=10&pageNum=0&refId=6sQPSOm%2FOz5vvn8kk%2BvYLQ%3D%3D&trackingId=9A5FbWKwRJEfFYuxg94d5w%3D%3D&trk=public_jobs_jserp-result_search-card,"
What is Aviture?Aviture is a full-service technology consulting firm with expertise in software solutions for both commercial and government organizations.We believe software doesn’t mean anything unless it solves a problem, so we create technology to enable users, open possibilities, and create meaningful impact.“I wanted to create a company that I would have wanted to work at when I was an engineer.” — Mark Griffis, PresidentWe are headquartered in Omaha, Nebraska, with remote employees across the nation: Las Vegas, Washington D.C., Austin, Dallas, Portland, Green Bay, Kansas City, Madison, Minneapolis, and Orlando, just to name a few.What is Aviture’s Art of the Possible?Along with our mission-driven team’s deep expertise in a wide range of development languages, we employ a disciplined agile approach to define goals upfront, keep organizational value at the forefront, and set the pace for rapid, iterative innovation that transforms organizations. We call this the Art of the Possible.The solutions we’ve created have:Saved lives in the California wildfires and southern U.S. floodingProvided security for the 2020 Presidential Inauguration, Super Bowl, and post-attack Boston MarathonEnabled augmented-reality training environments for surgeonsIncreased transparency and promoted patient wellness in hospitals and senior care facilitiesCombined computer vision and robotics to automate dangerous manual labor tasksAnd much more!Why You’ll Want to Live AviturianAviturians create technology that makes a meaningful difference in someone’s life. We’re a team made up of designers, engineers, developers, and inventors who believe technology’s purpose is to empower users to change the world. Here are the values that guide us:Embody integritySeek ownershipStay hungryRemain groundedCreate impactChallenge with respectWe’ve built our culture around creativity, continuous learning, and our shared values. If that sounds like something you’d like to be a part of, then join us today!Software EngineerAviture is hiring a Software Engineer. Aviturians understand how technology can change the world and have the technical skills to make those visions a reality. Aviturians are always eager to learn, share, collaborate, grow, and innovate. (We also share a good meme or thirty.)We’re looking for a rockstar Software Engineer who will…Work with a cross-functional team to design, develop, test and deploy innovative solutions to a wide range of complex business problemsActively participate in all aspects of our agile development processUtilize effective debugging techniques to identify and resolve software defectsContinuously keep themselves up to date on changes in technology, with an emphasis on the tech stacks being used by your teamSound like you? Apply today:Requirements BS degree in Software Engineering related degree, similar technical field of study or equivalent practical experienceExcellent verbal and written communication skills. Able to respectfully challenge the status quoExperience developing and maintaining large-scale applications using one or more general purpose programming languages, such as:Python, Java, C#/.NET, Go, JavaScript, TypeScriptExperience with one or more modern frontend technologies is a plus: ReactJS, AngularJS, VueJS, etcAble to work both autonomously, as well as collaboratively among a team of your peersExcellent grasp of computer science concepts, proven ability to solve complex technical problemsExperience using common design patterns in the software industryHigh personal standards for code quality, maintainability, and performanceThis position will require the employee to have a Secret level Government clearance or the ability to obtain one. This position will require the employee to work in person at an off-site location. BenefitsPPO or a High Deductible Health Plan, HSA eligible plan, Dental, Vision, and Supplemental LifeGenerous paid time off that starts accruing on day oneHybrid work environment with quarterly Castaway Week events in the Omaha HQ Office, all expenses paid, from across the country to participate in team-building, collaboration, and fun eventsCompany vacations!!! Previous destinations have included Napa Valley, Cancun, Cabo San Lucas and AspenMatching 401k with 100% vesting in six monthsPick your preferred workstation! Mac? PC? We’ll support you with the tech you need to do your best workGet paid to go to national and international conferences and training, so that you can stay up to date with the latest innovationsFlexible work schedules: Work the times that fits your schedule, with all meetings required to be scheduled between 9 am and 3 pm CSTFree lunch every Friday and recurring team events for you and your family to enjoyIncentive and bonus payOpportunities for connection and growth through peer coaching, recurring Lightning Talks to share things we’re passionate about, and a bi-weekly company-wide All Hands
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
