title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Senior Data Engineer,Fusion HCR,"Las Vegas, NV",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-fusion-hcr-3905253328?position=1&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=1h7fbFVBApmJmpQj6pVPgg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Fusion is searching for a professional who resides in Las Vegas and is authorized to work in the US without any third parties.This Senior Data Engineer will create and support enterprise class data centric solutions, providing business value from corporate data assets to big queries and cloud integration. The Senior Data Engineer is expected to maintain expertise across application technology stacks like (Microsoft SQL and Google Cloud Platform or something equivalent) as well as skills like (SQL, SSIS, Data Marts, DataFlow) in production environments. Full-time role with 401k, bonuses, paid benefits for you and your family and much more! If you meet the qualifications, please apply or reach out to me directly!Responsibilities:Design, build, deliver and support Data Warehouse and ETL structures and, SQL procedures and query solutions.5 years ETL experience using SQL Server SSIS 2008r2-2016.Must have 2 years' experience with cloud (GCP preferred, Azure is acceptable and AWS a plus).Must exhibit a high level of mastery of the Microsoft BI Stack, including: SSIS (or something equivalent), SharePoint, PowerPivot, etc.Must understand Relational and Dimensional database modeling.Should be experienced in automated file handling with ETL tools via FTP and other means.Preferred experience with key concepts of Data Management such as Data Quality and MDM.Experience with Big Data, Advanced Analytic techniques and Real Time data a plus.Must be willing and capable of adopting new technologies and paradigms such as Big Data technologies (Hadoop, hive, etc.), event-based analytics, etc.Must be able to adhere to SOPs and methodologies and be willing to improve them when necessary.Python scripting language is a plus.Act as an internal consultant, providing architecture, vision, problem anticipation, and problem solving for the assigned project(s), as well as a Subject Matter Expertise for data and analytic users.Provide subject matter expertise for the data associated with gaming and hospitality systems.Provide senior level application and on-call support for data and integration solutions.Successfully engage in multiple initiatives concurrently, including application and on call support, minor projects, major projects, functional requirements, systems specifications, and subject matter expertise.Prepare clear and concise documentation for delivered solutions and processes, integrating documentation with corporate knowledgebase.In partnership with the Product Management team, provide subject matter expertise for determining business requirements to address business opportunities or issues across business functions for data centric solutions.Interpret and satisfy business needs by building and enhancing systems to transform, cleanse and provision corporate data assets in a governed, secure and high-performance manner.Provide subject matter expertise for data and analytics.Participate in the ongoing Data Management maturation process.Proof of authorization/eligibility to work in the United States.Must be able to obtain and maintain Nevada Gaming Control Board Registration and any other certification or license, as required by law or policy.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Analyst, Information Technology, and Engineering","Gambling Facilities and Casinos, Hospitality, and IT Services and IT Consulting"
Data Engineer,Robert Half,"Las Vegas, NV",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-robert-half-3895677376?position=2&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=Cdrg6J30M36twH5MmbhScA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Description Design, build, deliver and support Data Warehouse and ETL structures and solutions. Act as an internal consultant, providing architecture, vision, problem anticipation, and problem solving for the assigned project(s), as well as a Subject Matter Expertise for data and analytic users. Provide subject matter expertise for the data associated with gaming and hospitality systems. Provide L3 application and on-call support for data and integration solutions. Participate and at times lead project teams within an agile environment. Successfully engage in multiple initiatives concurrently, including application and on call support, minor projects, major projects, functional requirements, systems specifications and subject matter expertise. Prepare clear and concise documentation for delivered solutions and processes, integrating documentation with corporate knowledgebase. In partnership with the Product Management team, provide subject matter expertise for determining business requirements to address business opportunities or issues across business functions for data centric solutions. Maintain familiarity with technological trends and innovations in the data warehousing and data management domains. Interpret and satisfy business needs by building and enhancing systems to transform, cleanse and provision corporate data assets in a governed, secure and high-performance manner. Provide subject matter expertise for data and analytics. Participate in the ongoing Data Management maturation process. Safety is an essential function of this job. Consistent and regular attendance is an essential function of this job.RequirementsMust reside in the Las Vegas Metro area and open to coming onsite as needed. Bachelor’s degree in Computer Science, Information Systems, Engineering, Analytics, or related field is required.Master’s degree in related discipline is preferred.Must be able to obtain and maintain a Nevada Gaming Control Board registration and any other certification or license, as required by law or policy.5+ years of experience in building data pipelines and ETL processes is required in SSIS, analytics in SSAS, and reporting in SSRS.Knowledge and understanding of GCP and Azure Cloud platforms. 5+ years of experience in writing advanced SQL, data mining and working with traditional relational databases (tables, views, window functions, scalar and aggregate functions, primary/foreign keys, indexes DML/DDL statements, joins and unions) and/or distributed systems (Hadoop, Big Query) is required.AI and ML knowledge a plus. Technology Doesn't Change the World, People Do.®Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go.All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit© 2024 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to
        ","
          87 applicants
        ",Entry level,Contract,Information Technology,Staffing and Recruiting
Associate Data Engineer,Harris Computer,"Nevada, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909352839?position=3&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=BEidqF1itKUlgm2t3yj3mQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Software Engineer (24-035),CTI,"Las Vegas, NV",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/software-engineer-24-035-at-cti-3894441281?position=4&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=sSKu1VjZLUlUHrL2lIfnFg%3D%3D&trk=public_jobs_jserp-result_search-card,"
CTI is seeking a skilled Software Engineer to join our dynamic team.(CTI) is a rapidly growing software, systems, and operational support corporation dedicated to providing user-focused technologies for military and other security applications including spectrum dependent operations (e.g., electronic warfare and signals intelligence), tactical & unmanned systems, C4ISR, and training & simulation capabilities. We believe in the power of collaborative development, and we are committed to engineering our solutions on open, government-owned platforms, ensuring that industry proprietary tools do not stand in the way of the right capabilities being employed on the battlefield.We are looking for people who are intellectually curious, self-motivated, committed to excellence, and constantly seeking to learn and grow. Our typical toolset includes the Atlassian tool suite, Git, Gradle, IntelliJ, and Slack but we strive to use the best commercial, open source, or internally developed technologies for each problem. We work in small teams where each person can impact the technical direction of the project.Here are some examples of solutions we develop:Real-time geospatial visualization of spectrum, including command and control of integrated platforms/sensorsTools to collect, process, exploit, and disseminate large amounts of telemetry and sensor dataImmersive 3D scenario modeling for planning, analysis, and trainingAlgorithms and automation for mission planning and analysis of electronic attack platforms and equipmentCTI is a leading technology company specializing in the development of advanced software solutions for military and security applications. As a Software Engineer at CTI, you will be exposed to a range of technologies and have opportunities to support a variety of unique projects across desktop and distributed computing environments.Responsibilities include but are not limited to:Design, develop, test, and debug software applicationsCollaborate with cross-functional teams to define, design, and ship new featuresIdentify and fix software defects and performance issuesParticipate in code reviews to maintain code quality and adherence to coding standardsContribute to the continuous improvement of software development processes and practicesCreate technical specifications by analyzing conceptual designs and business requirementsIdentify and resolve errors and inefficiencies in code by analyzing and revising programsStay up-to-date with the latest software development trends and technologiesThis position is located in Las Vegas, Nevada.RequirementsNecessary skills and experienceBachelor's degree in Computer Science, Computer Engineering, or a related fieldExperience in programming languages such as Java, C#, or Python. (Java preferred)Coding or software development experience: Candidate must have completed internships or academic projects that demonstrate their ability to write code in at least one programming language. Experience driving technical decisions, including the ability to break down problems, identify solutions, and communicate the process and conclusions to an engineering teamThe ability to obtain a US security clearance post start date. U.S. Citizenship is required as only U.S. citizens are eligible for a security clearanceBeneficial Skills And ExperienceProficiency in writing clean code and leveraging best practices for implementation, documentation, and testingStrong foundation in algorithms and data structures and their real-world use casesExperience in production quality coding standards and patternsPassion for developing customer-focused solutionsProficiency with container-based software solutions such as Docker, containerd or podmanExperience in microservices and/or distributed computing developmentGUI development experience with Java Swing, JavaFX, RESTful API design (JavaScript, TypeScript, and/or ReactJS)Experience with NASA World Wind Java, ATAK, Cesium, Protocol Buffers, Avro, OpenGL/OpenCL, and/or CUDAFamiliarity with WGS84 modeling and applicationsFamiliarity with EWIR, EWDS, MIDB, and/or other relevant intelligence databasesFoundational knowledge of Electromagnetic Warfare (EW), Electronic Attack (EA) and related platforms and capabilitiesGame Engine experience with Unity3D, Unreal Engine or O3DEExperience in fields related to RF, EW, SIGINT/ELINT, or Strike is a plusFormer Military or Intelligence Community (IC) Experience is a plusBenefitsCTI is a rapidly growing company offering the following:Medical, dental and vision insuranceH.S.A. (partially funded by CTI) and Flex SpendingCompany-paid life insurance/AD&D and disability insuranceOptional supplemental life, critical illness, hospital indemnity and accident insurancesPaid vacation, sick leave and holidays401k plan with Safe Harbor contributionTuition reimbursement/professional training optionsEmployee Assistance ProgramTravel AssistanceFinancial Planning AssistanceVoluntary Pre-Paid LegalFlexible schedules with telecommuting optionsService awards programCTI is an Equal Opportunity employer and shall abide by the requirements of 41 CFR 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.
        ","
          41 applicants
        ",Entry level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Sr. Data Engineer Role - Full time Role in Las Vegas- Onsite Hybrid role,Caliber Smart,"Las Vegas, NV",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/sr-data-engineer-role-full-time-role-in-las-vegas-onsite-hybrid-role-at-caliber-smart-3905930365?position=5&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=6hNyPTdBqwlUgu96RWOr3g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Sr. Data Engineer Role - Full time Role in Las VegasClient is transitioning analytics from legacy to cloud platforms like Google Cloud and Tableau. The open data engineer role will build pipelines and enable self-service analytics. Ideal candidate has 2-3 years experience in SQL, Python, cloud platforms. They reviewed and provided feedback on resumes of 4 candidates: Howard, Joyce, Phil, and Susannah. Still needing someone more specialized in data engineering vs. analysis or science. Planning to continue interviews and assess technical skills.The data engineer role will build pipelines across the business spanning hospitality, entertainment, food & beverage etc. Ideal skills include SQL, Python, experience with cloud platforms like Google Cloud or AWS. Data scienceData engineeringETL processes and data pipelines please elaborate on tools usedSQLPythonCloud experience (e.g., GCP, AWS)Data validationData analysisData modelingData structuresData warehousingCloud migrationSQL codingData sourcesPipeline buildingData warehouseLocal to Las Vegas or ready to relocate from Day 1. Relocation fees 5K to 25K depend on candidate expertise. Hybrid model105K-125+
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Manufacturing
Software Engineer,Averro,"Reno, NV",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-averro-3870385208?position=6&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=%2FtgSWKL2mi%2FO5YXVlJKW%2FA%3D%3D&trk=public_jobs_jserp-result_search-card,"
TITLE: Software EngineerLOCATION: Onsite in Reno, NV (relocation assistance available)EMPLOYMENT TYPE: Direct-HirePAY RANGE: $110K-150K / year BENEFITS: Comprehensive benefits package that includes Medical, Dental, Vision, Disability, Health Savings Accounts and/or Flex Spending Accounts, Employee Assistance Program, Employer Provided Life Insurance, Employer Provided AD&D, Voluntary Life Insurance and AD&D, Personal Accident Plan, Tuition Reimbursement, and a NQ Deferred Compensation Plan. We offer 8 paid holidays per calendar year, as well as Paid Vacation once eligibility requirements are met. Sick pay is available pursuant to the required state and local laws. ROLE & RESPONSIBILITIES:The software engineer position is responsible for data layer to UI (and everything in-between) development of new features/tools including design, documentation, implementation, and testing for primarily desktop-based applications. Broad knowledge of how UI concepts mesh with architecture, business logic and data are critical pieces to being successful in this position. Additional opportunities for analysis and resolution of software defects, communicating with other departments, and developing project estimates and timelines. Key Responsibilities:- Fluency in either C# or C++ with understanding of fundamental object-oriented design principles.- Desire to work in the Microsoft technology stack including .NET, MSSQL, and C#.- Experience creating and/or maintaining architectural interfaces such as, but not limited to, RESTful APIs and WCF contracts.- Solid SQL database design principles.- Experience with Angular 5+ (or related) and Typescript.- Familiarity with CI/CD build processes and version control (preferably Git).- Experience with agile development methodologies or frameworks such as SCRUM.- Experience analyzing and further developing on provided requirements.- Desire and ability to anticipate customer and/or product need.- Ability and willingness to communicate and interface with other business verticals.- Must be able to work on both individual and team projects.- Must be able to use opportunity cost evaluation as part of decision making.- Lead with a positive attitude. Education/Experience- Bachelor’s degree from regionally accredited university in computer science, software engineering or related field.- Experience with deploying and supporting software on standalone robotics platforms a plus.Experience level: 3+ years  WHY AVERRO?Averro is a Veteran-Owned organization dedicated to delivering innovative talent solutions, business consulting, and technology services that propel businesses and careers forward. We live by our ethos: Family First | Be Uncommon | Culture Wins. These values show in our commitment to client satisfaction, timely support, and unmatched consultant care. Our Aim – Your Ascent.Averro is an equal opportunity employer, and we are committed to diversity, equity, and inclusion in the workplace. All qualified applicants will receive consideration for employment, regardless of criminal histories, consistent with legal obligations. All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status, or any other basis as protected by federal, state, or local law.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,Robotics Engineering
Software Engineer,Omega Holdings,"Reno, NV",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-omega-holdings-3889854521?position=7&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=%2B%2FtOKG0obrswYnVEdpEdhQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Omega Holdings is a private equity-owned leading distributor of air conditioning and other high demand aftermarket components to a broad range of light-duty and heavy-duty vehicle end markets. Omega has created a unique, market leading platform in the automotive aftermarket with numerous opportunities to apply its repeatable playbook to grow both organically and through acquisition. We are hiring a Software Engineer to support our corporate Information Technology department which works in partnership with our portfolio companies.With our product portfolio, dedication to quality, entrepreneurial setting, and competitive strength, we are a great place to build a lasting career.Position Summary:Reporting to the VP of IT, the Software Engineer will play a major role in running daily IT operations and leading new projects. This position is onsite in Reno, NV. This individual will work with various teams and divisions across the US & Canada to support aggressive growth and IT targets.This position is unique because it will interact with all parts of our business. You'll learn production, packaging and shipping along with all the time and effort it takes to make our wonderful product. This means that you will have a huge impact on our business and able to drive improvements/ change/ behavior across our entire org!If you are a highly motivated and experienced Software Engineer with a passion for developing innovative solutions and enhancing financial operations, we encourage you to apply for this exciting opportunity.Job responsibilitiesHands on development experience in C#, Python or JavaDevelops/supports .NET/Python solutions primarily including but not limited to Business Central Development, APIs, ETL jobs, surrounding applications.Develops/supports ERP solutions. We use multiple ERPs, Business Central and NAV.Supports the operations team and the end-users (accounting, investor relations, tax teams, etc.) by providing the core application guidance and troubleshooting (core accounting, reporting, AT/BE automation items, etc.)Provides application tech production support regularly to support the business and its technical teams, contractors, and vendorsDevelops secure and high-quality production code, and reviews and debugs code written by othersDrives decisions that influence the product design, application functionality, and technical operations and processesServes as a function-wide subject matter expert in one or more areas of focusActively contributes to the engineering community as an advocate of firm-wide frameworks, tools, and practices of the Software Development Life CycleInfluences peers and project decision-makers to consider the use and application of leading-edge technologiesAdds to the team culture of diversity, equity, inclusion, and respectRequired qualifications, capabilities, and skillsBachelors degree in related filed and minimum 3+ years applied experienceHands-on practical experience delivering system design, application development, testing, and operational stabilityAdvanced in one or more programming language(s) C#/Python/Java development skillsStrong SQL Server core understanding as well as the SQL development skillsStrong Windows OS experienceModern automation software knowledge: Jira, Jenkins, Jules, etc.Advanced knowledge of software applications and technical processes with considerable in-depth knowledge in one or more technical disciplines (e.g., cloud, artificial intelligence, machine learning, mobile, etc.)Ability to tackle design and functionality problems independently with little to no oversightExperience in Computer Science, Computer Engineering, Mathematics, or a related technical fieldPreferred qualifications, capabilities, and skillsBusiness Central KnowledgeWeb Development Knowledge
","
            Over 200 applicants
          ",Associate,Part-time,Information Technology and Engineering,Automation Machinery Manufacturing
Software Engineer (24-035),CTI Group Worldwide Services,"Las Vegas, NV",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/software-engineer-24-035-at-cti-group-worldwide-services-3891857196?position=8&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=IfNrbe3RzTohNsIYFMr07g%3D%3D&trk=public_jobs_jserp-result_search-card,"
CTI is seeking a skilled Software Engineer to join our dynamic team.(CTI) is a rapidly growing software, systems, and operational support corporation dedicated to providing user-focused technologies for military and other security applications including spectrum dependent operations (e.g., electronic warfare and signals intelligence), tactical & unmanned systems, C4ISR, and training & simulation capabilities. We believe in the power of collaborative development, and we are committed to engineering our solutions on open, government-owned platforms, ensuring that industry proprietary tools do not stand in the way of the right capabilities being employed on the battlefield.We are looking for people who are intellectually curious, self-motivated, committed to excellence, and constantly seeking to learn and grow. Our typical toolset includes the Atlassian tool suite, Git, Gradle, IntelliJ, and Slack but we strive to use the best commercial, open source, or internally developed technologies for each problem. We work in small teams where each person can impact the technical direction of the project.Here Are Some Examples Of Solutions We DevelopReal-time geospatial visualization of spectrum, including command and control of integrated platforms/sensorsTools to collect, process, exploit, and disseminate large amounts of telemetry and sensor dataImmersive 3D scenario modeling for planning, analysis, and trainingAlgorithms and automation for mission planning and analysis of electronic attack platforms and equipmentCTI is a leading technology company specializing in the development of advanced software solutions for military and security applications. As a Software Engineer at CTI, you will be exposed to a range of technologies and have opportunities to support a variety of unique projects across desktop and distributed computing environments.Responsibilities Include But Are Not Limited ToDesign, develop, test, and debug software applicationsCollaborate with cross-functional teams to define, design, and ship new featuresIdentify and fix software defects and performance issuesParticipate in code reviews to maintain code quality and adherence to coding standardsContribute to the continuous improvement of software development processes and practicesCreate technical specifications by analyzing conceptual designs and business requirementsIdentify and resolve errors and inefficiencies in code by analyzing and revising programsStay up-to-date with the latest software development trends and technologiesThis position is located in Las Vegas, Nevada.RequirementsNecessary skills and experienceBachelor's degree in Computer Science, Computer Engineering, or a related field.Experience in programming languages such as Java, C#, or Python. (Java preferred)Coding or software development experience: Candidate must have completed internships or academic projects that demonstrate their ability to write code in at least one programming language. Experience driving technical decisions, including the ability to break down problems, identify solutions, and communicate the process and conclusions to an engineering team.The ability to obtain a US security clearance post start date. U.S. Citizenship is required as only U.S. citizens are eligible for a security clearance.Beneficial Skills And ExperienceProficiency in writing clean code and leveraging best practices for implementation, documentation, and testing.Strong foundation in algorithms and data structures and their real-world use cases.Experience in production quality coding standards and patterns.Passion for developing customer-focused solutions.Proficiency with container-based software solutions such as Docker, containerd or podman.Experience in microservices and/or distributed computing development.GUI development experience with Java Swing, JavaFX, RESTful API design (JavaScript, TypeScript, and/or ReactJS).Experience with NASA World Wind Java, ATAK, Cesium, Protocol Buffers, Avro, OpenGL/OpenCL, and/or CUDA.Familiarity with WGS84 modeling and applications.Familiarity with EWIR, EWDS, MIDB, and/or other relevant intelligence databases.Foundational knowledge of Electromagnetic Warfare (EW), Electronic Attack (EA) and related platforms and capabilities.Game Engine experience with Unity3D, Unreal Engine or O3DE.Experience in fields related to RF, EW, SIGINT/ELINT, or Strike is a plus.Former Military or Intelligence Community (IC) Experience is a plus.BenefitsCTI is a rapidly growing company offering the following:Medical, dental and vision insuranceH.S.A. (partially funded by CTI) and Flex SpendingCompany-paid life insurance/AD&D and disability insuranceOptional supplemental life, critical illness, hospital indemnity and accident insurancesPaid vacation, sick leave and holidays401k plan with Safe Harbor contributionTuition reimbursement/professional training optionsEmployee Assistance ProgramTravel AssistanceFinancial Planning AssistanceVoluntary Pre-Paid LegalFlexible schedules with telecommuting optionsService awards programCTI is an Equal Opportunity employer and shall abide by the requirements of 41 CFR 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
Sr. Data Engineer,Apex Systems,"Las Vegas, NV",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-apex-systems-3909695849?position=9&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=rvOmjipuilZx5p4%2BdblOYA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job#: 2024349Job Description:Apex Systems in Las Vegas, NV is looking for a Senior Data Engineer who is interested in taking on a new & exciting job!Job Title: Senior Data EngineerLocation: Las Vegas, NV (working 1-2 days onsite/wk.)Requirements: 5-7+ years of experience with SQL Server and SSIS development  Experience with cloud data platforms (Azure preferred) EEO EmployerApex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at [email protected] or 844-463-6178 .Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing® in Talent Satisfaction in the United States and Great Place to Work® in the United Kingdom and Mexico.Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing® in Talent Satisfaction in the United States and Great Place to Work® in the United Kingdom and Mexico.4400 Cox RoadSuite 200Glen Allen, Virginia 23060Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at [email protected] (Do not submit resumes or solicit consultants to this email address). UnitedHealthcare creates and publishes the Transparency in Coverage Machine-Readable Files on behalf of Apex Systems.
        ","
          47 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Information Technology System Engineer,LV Search Partners,"Las Vegas, NV",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/information-technology-system-engineer-at-lv-search-partners-3905907433?position=10&pageNum=0&refId=%2B%2Fgl9ipbyWv%2B4h7NLLu7tA%3D%3D&trackingId=Ubik2EmSW7xEO9kbl8MChw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our client offers engineering design solutions for the development of new tools, components, or machinery. They cater to various divisions within the collective group of companies as well as external third-party businesses.About the RoleThe ideal candidate will have experience with diverse systems in a fast-paced large environment. Has to be able to handle large broad tasks.ResponsibilitiesActive Directory: Proficiently manage, diagnose issues, upgrade, and architect design enhancements for the existing Windows Active Directory within a multi-forest/multi-domain environment.Windows Server: Effectively maintain, troubleshoot, upgrade, and design improvements for various Windows Server types and operating system versions, including but not limited to Windows Server 2008 R2, 2012, 2012 R2, 2016, 2019, and 2022. This includes managing various Windows Server roles such as DNS Server, DHCP Server, File Server, Application Server, RDS Server, and Web Server (IIS).Microsoft Exchange Server: Manage Microsoft Exchange Server 2019 (On-Prem) and Microsoft Exchange Server O365 Hybrid environments along with their dependencies.Task Automation: Utilize common scripting languages like Windows PowerShell for tasks related to Active Directory, Exchange/O365, and Azure AD. Also, have a basic understanding of Linux BASH scripting.SSL Certificates: Possess knowledge of SSL certificates, including how to create new ones and update existing certificates across multiple web server platforms like IIS, Apache, NGINX, Tomcat, and others.Linux Server Administration: Manage Linux servers with a focus on tasks related to Apache, NGINX, my SQL/MariaDB, WordPress, Magento, and Drupal.Microsoft SQL Server: Familiarity with Microsoft SQL Server versions 2017, 2019, and 2022.Recommendations: Provide the team and leadership with recommendations for environment improvements based on industry and vendor/manufacturer best practices.Additional Skills: Experience with Active Directory domain collapse and IBM iSeries is a plus.Physical Requirements: Capable of occasionally lifting and carrying up to 50 pounds.On-Call Rotation: Participate in scheduled weeklong 24x7 on-call rotations.IT Tools: Familiarity with ticketing and project management systems.Language Proficiency: Proficient in reading, writing, and speaking English.Background Check: Able to pass a drug screen and background check.Motor Vehicle Record: Provide a current Motor Vehicle Record.Candidate Requirements​​​​​5+ years of experienceUse of the environment listedMulti-Forest / Multi-Domain Active DirectoryExchange 2019 and Exchange O365 (hybrid environment)Windows Server 2008-2022Linux – CentOS 6-9Terminal Services/RDSVMware vSphere 7.0 (vMotion, DRS, HA)Pure StorageNimble StorageSynology StorageRubrikCisco UCSCisco HyperflexActive Directory, DHCP, DNSAdvance Group Policy ManagementForcepoint (Websense) SecurityProofpoint Email FilterBenefits Medical/Dental/Vision401kPTOInterview ProcessStep 1: Cura PrescreenStep 2: Introduction call with HRStep 3: Video call with hiring managerStep 4: Final Interview with CEOStep 5: Decision Time!Job ID: 613
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Engineering and Information Technology,"IT System Operations and Maintenance and Technology, Information and Media"
