title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,Syntricate Technologies,"Nashua, NH",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-syntricate-technologies-3898769496?position=1&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=MGudnWUs2jnlwcAbOn2h%2Fg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello, Greetings from i3 infotek......! Hope you are doing great... I This is Gaurav from i3 infotek. I have some urgent requirements with one of my clients. Please go through the Job Description and let me know your interest. Below is the job Details. Title: Data Engineer  Location: Charlotte, NC/Delaware/Dallas, TX/Phoenix, AZ/Edison, NJ  Fulltime  Visa- USC, GC, GC-EAD and H1b only  No C2C or Contract  JD Technical/Functional Skills"" Primary Skills: Big Data: Spark, Scala, Pyspark, HDFS Microsoft Stack: T-SQL, DBA, SSIS, SSRS, PowerShell Oracle Database: PL/SQL, Shell Scripting, Exadata Scripting Languages: Batch Script, Shell Script, Python Kafka Streaming"" Additional Skills: Agile, Scrum, Jira, Git, SVN, LiquibaseRequired Experience Required  12+ Years of overall experience Roles & Responsibilities"" Development focused on client/server, web-based applications, and data warehouse design using logical/ physical data modeling, T-SQL, PL/SQL, SQL, SSIS, SSRS, PL/SQL, and performance tuning with some DBA activities such as backup, recovery, and troubleshooting, and maintenance."" Work on Spark Framework to ingest data from different sources system to SQL Server."" Sound knowledge in PowerShell and Batch Script"" Extensive experience in database query tuning, performance tuning, and troubleshooting application issues on OLTP systems"" Strong experience in database migration such as MySQL to MS SQL Server and Oracle to MS SQL Server"" Provide support to team members and helping them to understand the projects and requirements and guiding them to create the optimized solution of it"" team player and proven track record of working in various team sizes performing cross-functional roles."" Setup CICD pipeline for database changes using Github, Jenkin & Liquibase). Regards  Gaurav(David)  David@msrtechnologies.com  (781) 896-2155 Ext- 126
","
            Over 200 applicants
          ",Entry level,Contract,Information Technology,Information Technology & Services
Associate Data Engineer,Harris Computer,"New Hampshire, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909355527?position=2&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=6x91rbxjZjMBvVA4wizcDg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
AWS Data Engineer,Syntricate Technologies,"Nashua, NH",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/aws-data-engineer-at-syntricate-technologies-3879286773?position=3&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=pzn6uyLxHcd6w1voB29LAQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello, Greetings from i3 infotek......! Hope you are doing great... I This is Gaurav from i3 infotek. I have some urgent requirements with one of my clients. Please go through the Job Description and let me know your interest. Below is the job Details. Title: AWS Data Engineer  Location: Newark NJ  Fulltime JdSkill: AWS Data Engineer Visa- USC, GC, GC-EAD, H1B only  Exp- 10+ years is must  AWS Glue, Lambda, Athena, Pyspark, Redshift, EMR, AWS RDB, AWS DynamoDB, AWS Glacier, Python.  Minimum 5 years of professional experience in data integration and management.  3+ years of hands on development experience in AWS Glue, Lambda functions, AWS Athena, Redshift, Pyspark.  Hands on working experience in AWS GLUE ETL tool and having good knowledge on any of the ETL tools(Informatica cloud,Talend etc.).  Must have working experience with SQL, and databases (e.g.: Postgres, Redshift) implementing Data Models.  Expertise with Python Language and Apache Spark.  Have working experience in projects involving these.  Strong hands on exposure to AWS Analytics services particulary Lambda,Step functions,EMR, Athena, Glue, Data-Pipelines.  Understanding and technical knowledge on AWS service like EC2, S3.  Should have used these technologies in previously executed projects.  Strong AWS development experience for data ETL/pipeline/integration/automation work.  Should have a deep understanding of BI & Analytics Solution development lifecycle.  Full Flexed in AWS cloud development & Automation for Analytics.  Should have a deep understanding of AWS Services (Redshift, Glue, Lambda, Athena, S3, EC2), Visual Studio, SQL Server, SSIS, Matillion; Python.  Strong experience on real-time scalable workflow implementation. Responsibilities Developer will be part of an Agile Development team focusing on Sprint Agile implementation.  Developer will be developing data ingestion pipelines from heterogenous sources like databases, Files, APIs, Kafka streaming etc using a variety of services.  Developer may be assigned to deliver the data from AWS data platform for different consumption use cases and services.  Developer may be engaged in peer reviews to ensure code accuracy and well architected architecture and implementation.  Developer may be asked to do client demo or another project demo.  Developer must be proactive in escalating impacting issues and be resourceful to look for alternative.  Developer may have to work on tight timelines sometimes.  With gratitude  , Gaurav (David) David@msrtechnologies.com  Phone: -  781-896-2155 Ext - 126 www.i3infotek.com ( an MSRcosmos Group of Company )
        ","
            Over 200 applicants
          ",Entry level,Contract,Information Technology,Information Technology & Services
IT Data Engineer (Hybrid),Eversource Energy,"Manchester, NH",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/it-data-engineer-hybrid-at-eversource-energy-3893733992?position=4&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=oAqCuFvuBc1nOXzM2hcpvQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
IT Data Engineer (Hybrid)This is a hybrid role. The first three moths are fulltime in the office.Our TeamEversource is seeking an IT Data Engineer. In this role you will work as a full stack Data Engineer contributing to each phase of the SDLC. The incumbent will implement best practices and improve processes within and across teams. Experience working with stakeholders on gathering requirements and translating to data solutions with a focus on developing repeatable patterns. The IT Data Engineer will create dashboards using analytical and data visualization technology.Essential Functions:  Design, develop, and maintain data pipelines using Azure Data Factory to efficiently extract, transform, and load (ETL) data from various sources.Utilize Azure Data Factory, Azure Databricks, and other relevant tools to orchestrate data movement and transformation.Create, maintain, and optimize workloads from development to production.Understand the Data and Services business strategy, information infrastructure and data need for both new and existing products and services across various product initiatives.Design Data mappings and contribute to Data catalogs.Contribute to designing of SAAS solutions and data modelling.Work in a team to ensure that all components meet objectives and performance goals as defined in the requirements.Monitoring and troubleshooting the Data platformEnsure data solutions follow industry best practices and security standards.Communicate effectively with stakeholders, providing updates on project progress and data-related issues.Technical Knowledge/Skill/Education/Licenses/Certifications:Technical Knowledge/Skill: Azure Ecosystem, ETL, Power BI, PySparkProficiency in Azure services, including Azure Data Factory, Azure Databricks, and Azure Synapse Analytics.Knowledge of ETL tools and practices.DevOps experienceEducation:     Bachelor or Master's degree in a related field. Computer Science preferred.Experience:   Three (3) to five (5) years related experience.Licenses & Certifications:   Any Cloud certification is required; Azure certification preferred.Working Conditions: Must be available to work emergency restoration assignment as required.Must be available to travel between MA/CT/NH as necessary.Compensation and BenefitsEversource offers a competitive total rewards program.  The annual salary range for this position is $92,290.00 to $102,540 plus incentive.  Salary is commensurate with your experience.  Check out the career site for an overview of our benefits.  #corpajdWorker Type:RegularNumber of Openings:1EEO StatementEversource Energy is an Equal Opportunity and Affirmative Action Employer.  All qualified applicants will receive consideration for employment without regard to age, race, color, sex, sexual orientation, gender identity, national origin, religion, disability status, or protected veteran status.VEVRRA Federal ContractorEmergency Response:Responding to emergency situations to meet customers’ needs is part of every employee’s role. If employed, you will be given an Emergency Restoration assignment.  This means you may be called to assist during an emergency outside of your normal responsibilities, work hours and location. 
","
          102 applicants
        ",Entry level,Full-time,Information Technology,Utilities and Oil and Gas
Software Engineer II,Concord Group Insurance,"Bedford, NH",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/software-engineer-ii-at-concord-group-insurance-3904591747?position=5&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=Pq2eGXh6dvneUsNQDbITbA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Concord Group Insurance is seeking a motivated and talented Software Engineer II to join our IT department. In this role, you will join a collaborative team of experienced engineers. As an ideal candidate, you will have experience coding development of business applications and system integrations related to the insurance systems. System development includes analysis, technical design, coding, testing, and implementation. In addition, maintenance and support for production systems, as assigned.This position is considered ‘hybrid,' meaning you will work from home and in-office.ResponsibilitiesInterprets the requirements and performs system analysis to determine what needs to be coded in multiple areas of the system Little to no guidance necessary to understand the scope of change to not impact other processes and system functionality, and knows when to seek out application expertAbility to do advanced/complex research with intuition and experience to identify data relationships and dependenciesWorks independently to complete complex application development and coding; mentors and assists othersSignificant experience writing, and performing unit testing and system testing of components; defines approach for system testing to ensure adequate coverage; mentors and assists othersRequirements Minimum 3 years of experience coding and application development BA/BS degree in computer science or related field, or equivalent experience required Property and casualty insurance or financial knowledge preferred Significant experience working with the following, including successful implementations of several large projectsMicrosoft Technologies as distributed application development with .NET Framework and C#, ASP.Net MVC or Web Forms, Web/WCF servicesADO.NET or Entity Framework, BizTalkSQL Server 2008 - 2016, and SQL Stored ProceduresVisual Studio and Team Foundation ServerBenefitsConcord Group employees are eligible for a comprehensive total compensation package including but not limited to medical, vison, dental, life, and disability insurance. We offer a generous Paid Time Off Program that includes vacation, personal, sick time and holiday pay. Invest in your future with our competitive 401(k) plan with company match!About UsAs a leading regional provider of property and casualty insurance, The Concord Group helps protect the families and small businesses that enable our communities to thrive. Our positive work environment, competitive benefits, and rapid growth make The Concord Group a great place to build your career.The Concord Group is an Equal Opportunity Employer. The Concord Group participates in E-Verify.
","
          32 applicants
        ",Associate,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education
Associate Data Analyst,Concord Group Insurance,"Bedford, NH",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/associate-data-analyst-at-concord-group-insurance-3909317707?position=6&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=tYTYSRarqvhjpNhaRMLH%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Analyst position learns and performs the technical skills and procedures necessary to develop, maintain, and support data processes, data assets, and reporting solutions. This includes training and development to build the foundational skills to further advance and increase responsibilities. Work is performed under general supervision.ResponsibilitiesReview project assignments with management or other team members. Consult with coworkers, users, and management to resolve problems and suggest alternativesLearn and apply the tools and techniques employed in daily department functions. Develop an understanding of our data sources and data flows. Learn and perform the function of building, maintaining, and documenting code used to transform, aggregate, and analyze dataLearn and perform the function of creating data extracts and analyses to support data reporting functions and inquiriesLearn and apply methods for assessing the quality of data sources used in the course of completing workParticipate in peer reviews and other quality control measures. Maintain punctual attendance according to an assigned work schedule at a Company-approved work locationAssist with other duties as assigned within the department or elsewhere upon requestRequirementsBachelor's degree in mathematics, statistics, actuarial science, data science, or related field is requiredCompletion of course work in databases or a programming language is required Aptitude for mathematics and data analysis. Ability to learn and use tools effectively and learn development techniques as practiced, acquired, or adopted within the Division. Ability to work with details, analyze information, and logically solve problemsAbility to communicate effectively in oral and written form. Demonstrate enthusiasm, initiative, and motivation. Ability to organize and execute assigned work. Ability to document concepts and skills learned for later reference. Ability to work with others at all levelsBenefitsConcord Group employees are eligible for a comprehensive total compensation package including but not limited to medical, vison, dental, life, and disability insurance. We offer a generous Paid Time Off Program that includes vacation, personal, sick time and holiday pay. Invest in your future with our competitive 401(k) plan with company match!About UsAs a leading regional provider of property and casualty insurance, The Concord Group helps protect the families and small businesses that enable our communities to thrive. Our positive work environment, competitive benefits, and rapid growth make The Concord Group a great place to build your career.The Concord Group is an Equal Opportunity Employer. The Concord Group participates in E-Verify.
","
            Be among the first 25 applicants
          ",Associate,Full-time,Product Management,Non-profit Organizations and Primary and Secondary Education
Software Engineer w/ GenAI,Eliassen Group,"Nashua, NH",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/software-engineer-w-genai-at-eliassen-group-3901965362?position=7&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=PHRYBqqQe6Ziiwls9Fq81Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our client is looking for a passionate, self-motivated Software Engineer with strong programming fundamentals, software design and practices to help build foundational AI capabilities, innovate, accelerate, and deliver competitive advantage to our business. Join our talented team of engineers, designing and building the technology foundation that propels our business to harness the power of cloud.The Expertise and Skills You Bring Bachelor’s degree or higher in a technology related field (e.g. Engineering, Computer Science, etc.).5+ years of software engineering experience.Certifications preferred: AWS Solutions Architect, AWS Developer, or Kubernetes Application Developer.Passion for excellence, automation, innovation and collaboration.Eager to learn new technologies, ways of working, and to adapt every day.Bring curiosity and a questioning mind-set to work, injecting new points of view to the team.Ability to triage, execute root cause analysis, and be decisive under pressure.Ability to creatively solve new, interesting problems in a dynamic environment.Ability to work with a variety of individuals and groups, both in person and virtually, in a constructive and collaborative manner and build and maintain effective relationships.Hands-on experience building and deploying applications using a public cloud environment, preferably AWS.Demonstrated experience with building Flask/FastAPI based REST APIs and applying design patterns and object-oriented programming principles to solutions.Advanced proficiency in python programming and experience working with libraries like numpy, pandas and NLP (natural language processing) frameworks.Experience working with large language model frameworks like Langchain/LlamaIndex.Understanding of RAG(retrieval-augmented generation) architecture and proven ability to build advanced applications leveraging the architecture.Experience working with Vector Databases and being able to query them with programming languages.Demonstrated experience working with cloud AI managed services like AWS Bedrock/SageMaker, AWS CloudWhisperer, and integrating large language models like Azure OpenAI, Google Vertex and open-source models.Experience with prompt engineering and applying techniques to build efficient applications.Understanding of data structures, algorithms and application of core data science techniques and exploratory data analysis (EDA) skills.Understanding of the large language model development, design, testing, deployment, and familiarity with LLMOps.Experience with designing and maintaining CI/CD pipelines and proficiency with CI/CD tools (Jenkins preferred).Strong communication skills and ability to document and provide technical/implementation details.Proven understanding/experience of cloud networking, virtualization, storage, containers, serverless architecture/framework, cloud IAM controls and policies.Experience managing systems using infrastructure as code tools (CloudFormation, Ansible, Terraform, ARM, …).Demonstrated experience with writing automated tests.Experience executing the Software Development Lifecycle in an agile environment.Experience with fine-tuning large language models is a plus.JOB ID: 383923
","
          176 applicants
        ",Mid-Senior level,Contract,Consulting and Other,Financial Services and IT Services and IT Consulting
Software Engineer,Robert Half,"Concord, NH",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-robert-half-3901340912?position=8&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=7rTo0q6BaSxlm29Z6SWRrA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Do you combine strong coding skills and a deep understanding of enterprise systems with creativity? Robert Half Technology is looking for a highly motivated Full Stack Software Engineer with a strong knowledge of design patterns and software engineering techniques. As a Full Stack Software Engineer, you will be expected to utilize best practices and innovation that results in superior software solutions. To be successful in the role, you should be self-driven, a creative problem solver and eager to collaborate and solve complex problems both on your own and within project teams.What you get to do every dayAdvocate for top programming practices and standardsCollaborate with an agile team to create solutions that align with the company goals based on business needs and business processesGauge new technologies and create prototypes for constant improvementsOutline and enact back end and front end components and servicesProduce high quality production-ready code in an agile environmentInvite solutions which account for scalability and optimize performanceQualificationsExperienced in common development frameworksPrior experience with consuming and creating WebAPI's4+ years of experience with .Net/C#, MS SQL, Azure DevOps/Data Factory, JavaScript, CSSPrior experience with project methodologiesUnderstanding of Relational Database Management Systems
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,Retail
SolutionHealth - Database Engineer - IT - Full Time,SolutionHealth,"Concord, NH",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/solutionhealth-database-engineer-it-full-time-at-solutionhealth-3908609204?position=9&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=IHozxUpF7yoc0BwMxCQE0Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Come work at the best place to give and receive care!Job DescriptionWho We Are:SolutionHealth is an integrated health system uniquely focused on providing access to high-value, primary, and specialty care that meets the growing needs of the communities we serve. Our IT department is diverse, strategic, and innovative focusing on patients, community, clinicians, outcome, safety, and quality. It's an exciting time at SolutionHealth as we continue to advance our technology platforms.About The JobThe Epic Database Engineer is responsible for the installation, configuration, operation, and maintenance of the Epic (Electronic Health Record) Reporting, Analytics, and Business Intelligence database platforms. This position also manages and maintains various ETL (extract, transform, load) activities throughout multiple production and non-production databases and data warehouse environments.What You’ll DoConfigures and maintains multiple MSSQL databases that service multiple production and non-production environments. This includes monitoring database size and health, creating and managing maintenance plans, and applying RDBMS and BI upgrades and updates.Installs and maintains administrative and monitoring tools necessary for high levels of availability and performance of assigned systems. Understanding performance metrics, monitors server performance, and troubleshoots application issues.Installs, updates, and maintains various servers, services, and consoles related to the management of assigned systems.Installs, updates, and maintains the Epic Cogito, Caboodle, SlicerDicer, and SAP BusinessObjects platforms. Configures BI application integration with Epic for Single Sign and automated report generation.Manages RDBMS and BI security and logins for different types of access, including login behavior and working environment configuration.Configures, schedules, and monitors various ETL (extract, transform, load) functions across multiple data warehouse environments. Troubleshoots and resolves ETL process errors.Utilizes current IT Service Management software to ensure end user and/or infrastructure generated incidents (tickets) are logged, dispatched, escalated, and resolved efficiently to minimize user and system downtime. Maintains accurate service request records for reporting purposes.Follows established guidelines for system change control and system event reporting. Implements approved changes based on priority and updates relevant documentation, when applicable.Who You AreEducation: Bachelor’s degree in MIS, Computer Science, Information Technology, related field, or equivalent combination of education and 6-8 years relevant experience required.Licensure/certification: Vendor required certification in good standing (or proficiency if vendor accepts) for applications/modules employee is assigned to support. If not currently certified (or proficient) employee will have 6 months from their DOH (Date of Hire) or DOT (Date of Transfer) into a position that requires certification (proficiency) required. One or more IT industry standard RDBMS certifications preferred.Experience: A minimum of 6-8 years of Information Technology experience supporting RDBMS, analytics, and/or Business Intelligence systems required. 8+ years of experience in this position or in a related position supporting MSSQL, SAP BusinessObjects, etc. preferred. Experience preferably in a healthcare setting.Why You’ll Love UsHealth, dental, prescription, and vision coverage for full-time & part-time employeesShort-term disability, long-term disability, and life insurance coverageCompetitive payTuition Reimbursement403(b) Retirement Savings PlanAnd more!#ACRWork ShiftDays | 40 Hours WeeklySolutionHealth is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, disability status, veteran status, or any other characteristic protected by law.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,"Renewable Energy Semiconductor Manufacturing, Oil and Gas, and Construction"
Data Analyst,"C Squared Systems, LLC","Auburn, NH",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-c-squared-systems-llc-3910953685?position=10&pageNum=0&refId=C3e6a%2B%2FxT7r7%2B9fK4SPJsg%3D%3D&trackingId=pb4SSxe7leH8y3l6MDHw8Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionC Squared Systems, LLC is an RF engineering, consulting, and software development company specializing in providing services for seamless wireless coverage from RF analysis to design and implementation of DAS systems and Wi-Fi networks to remote monitoring and management of complex multi-vendor environments. Site Portal®, a customizable Web-based software, was engineered by C Squared Systems to remotely monitor and manage these complex multi-vendor environments.Since 1999, C Squared Systems has executed turnkey in-building wireless solutions using state-of-the-art analysis tools to deliver RF solutions that exceed project scope and customer expectations. Our experience, technical expertise, and diverse projects in the wireless realm have allowed C Squared Systems to continually evolve as new technologies are developed and the demands of our customers change.Title: Data AnalystLocation: NHC Squared Systems is currently seeking a Data Analyst.The Data Analyst position involves interpreting and visualizing data to provide actionable insights. This role is that of a data specialist who utilizes various data analysis toolsets to create data-driven solutions and a storyteller, transforming raw, often complex data into interactive dashboards and reports that offer clear insights. This work helps the business understand trends, patterns, and insights in their data, enabling informed decision-making. The primary focus is gathering data from serval types of data sets and presenting it in a concise and understandable format for end users. Data sources include proprietary software, alarms and tickets for resolution.Responsibilities:Design and develop interactive dashboards, templates, and reports using tools that include, but not limited to, Power BI, Grafana, and Excel. Maintain those dashboard templates, styles, and standards for consistency and scalability. Supply ad-hoc reports and data requests for the organization and external customers. Create customer facing, professional reports and summary analysis in data tools provided. Process large data sets to find outliers and answers that inform business decisions. Evaluate customer request for reports and develop/automate the process for delivering these reports. Help evaluate and implement data platform to track and process customer data (i.e. CRM tools) Skills/Requirements:Data Modeling and Analysis: Expertise in designing and developing data models that effectively support business requirements. Visualization: Proficiency in creating compelling visualizations using various tools that presents the data in effective format. Attention to Detail: Ensuring the accuracy and reliability of data presented in dashboards and reports. Effective Communication: Bridging the gap between technical and non-technical stakeholders. Problem-Solving: Addressing complex data challengesCreative solutions: Ability to think outside the norm and create unique solutions that answer customer questions and/or define actionable next steps. Experience (2+ years) creating interactive dashboards, designing engaging infographics, and writing compelling data narratives, using tools such as Microsoft Power BI and Excel. Highly proficient in advanced Microsoft Excel data functions including Pivot Tables, Power Pivot, Power Query, macros, VBA, etc. Proficient in data query languages like SQL and REST APISoftware programming languages is a plus (C#, PHP, Python, RUST, and R)Proven ability to analyze complex problems and develop innovative solutions. Strong focus on providing responsive and excellent customer service to end users. Exceptional communication and interpersonal skills, with the ability to effectively collaborate with stakeholders at all levels of the organization. Education & Certification:Bachelor's degree in Business Intelligence, Computer Science, Information Systems, or a related field preferredRelevant certifications such Power BI Data Analyst Associate, Certified Analytics Professional, and Google Data Analytics Professional Certificate are a plus.
","
          167 applicants
        ",Entry level,Full-time,Information Technology,Wireless Services
