title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Associate Data Engineer,Harris Computer,"North Dakota, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909354538?position=1&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=LYueSlbRXa%2FIcQhwsjAjUA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Energy Systems Data Analyst,CLEAResult,"North Dakota, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/energy-systems-data-analyst-at-clearesult-3908294441?position=2&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=M2AYQGtM57hXCMP%2FmjVoOw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryAt CLEAResult, we lead the transition to a sustainable, equitable, and carbon-neutral energy-efficient future for our communities and our planet. We do that by creating a people-first culture built on trust, accountability, and transparency; where every employee – regardless of position, role, or identity is treated with respect and given an equal chance to thrive.Additionally, You Will Enjoy Medical, Dental, and Vision Insurance; we also offer a company-paid health care concierge service to help navigate our health plan to make the best decisions for you and yours 401(k) with company match Paid vacation, sick, personal and parental leave time Paid Volunteer Time: giving back to our communities is important to us Employee Recognition Program – convert your recognition points into gift cards Employee Assistance Program – offers benefits to help you manage daily responsibilities Access to on-demand training courses to advance further in your careerJob DescriptionWe are looking for a talented individual…To join our team! CLEAResult’s Strategic Energy Management (SEM) team is expanding and has a new opportunity for the position of Data Analyst. As a Data Analyst, you will help support talented teams of SEM experts across the US and Canada; this position helps facilitate energy modeling and data processing for all SEM teams across North America. This role is focused on data analysis and is primarily internally facing; there will occasionally be interactions with clients and end use customers to acquire data and answer questions. The scope of this position will be the primary supporting function for the Statistical Analyst and process standardization for the international SEM program teams. Data Analysts will perform the pre- and post-modeling data review and manipulation for the Statistical Analysts, benchmarking reporting, and assisting in the development of our digital infrastructures.For this exciting career opportunity, you’re a great fit if you can… Production data manipulation and formattingAnalyzing large data sets for consistency and errorsIntegration of data into statistical software templatesCollaborate with internal and external teams to maintain database filesCollaborate with all program teams to create and maintain standardized templates for energy modeling and program dataCreate work instructions for newly created templatesFinal model and report tracking, drafting, editing, and QCData processing automationVisual basic and excel formula troubleshooting, modification, and creationSmartsheet data manipulationSharePoint experienceEnergy systems experienceEngineering background preferredSponsorship not available at this timeTarget Compensation$60,000 - $65,000 / annuallySponsorship is not available for this position.Compensation RangeCurrency Type SalaryAny offered salary is determined based on internal equity, internal salary ranges, market data/ranges, applicant’s skills and prior relevant experience, certain degrees and certifications (e.g. JD/technology), for example.Additional Job DescriptionEqual Opportunity EmployerAs an Equal Opportunity Employer, we are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant’s race, color, religion, national origin, marital status, age, sex, gender identity, sexual orientation, status as a qualified individual with a disability or protected veteran, or any other protected status.The above job description and job requirements are not intended to be all inclusive. CLEAResult retains the right to make changes or adjustments to job descriptions and/or requirements at any time without notice.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Utilities
Software Engineer,"American Farm Bureau Insurance Services, Inc. - AFBIS, Inc.","Fargo, ND",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-american-farm-bureau-insurance-services-inc-afbis-inc-3884291210?position=3&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=2uHU4W9HyptTfJc2HQ9NEQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          American Farm Bureau Insurance Services, Inc. (AFBIS, Inc.) is looking for a Software Engineer to work out of our Fargo, ND office. As a member of our development team, you will be responsible for designing, developing, and implementing software solutions using the Microsoft .NET technology stack.If you have a strong background in software development, a passion for coding, and experience in software engineering, this is an excellent opportunity to advance your career and contribute to the success of our organization by delivering high-quality software products. This role offers opportunities for growth and professional development.Reporting to the Software Engineering Supervisor, this position will participate in the full software development life cycle, including coding, testing and deployment. The Software Engineer will be responsible for:Writing clean, efficient, and well-documented code in VB.NET, C#, ASP.NET, and other relevant technologies.Contributing to the improvement and maintenance of existing software applications.Engineering software solutions using the Microsoft .NET technology stack, adhering to established coding standards and best practices.Optimizing software applications for performance, scalability, and security.Collaborating with other engineers and other departments to ensure successful integration and deployment of software solutions.Mentoring and provide guidance to software developers, fostering a culture of continuous learning and growth.What you will bring to this position:Bachelor's degree in computer science or a related field, or equivalent experience, with at least three years of professional experience in software engineering and an ""acceptable"" score on a programming aptitude test administered by the company prior to hiring.Experience with relational databases and the Microsoft .NET technology stackExcellent problem-solving skills and the ability to analyze and complete complex technical challenges and projects.Strong attention to detail and commitment to delivering high-quality software solutions.Proven ability to work independently and as part of a team, manage multiple priorities and deliver high-quality software solutions while meeting project deadlines.Must have excellent verbal and written communication skills, with the ability to work independently and effectively collaborate with team members and stakeholders.Crop insurance knowledge is a plus.This is a hybrid role working out of the Fargo office at least two days a week and one additional day within a two-week period.AFBIS offers a competitive benefits package that includes medical, dental, vision, life, and disability insurance; company funded cash balance pension and a 401(k) retirement plan; Flexible Spending and Health Savings Accounts; paid holidays, vacation, and sick time; Employee Assistance Program; and other benefits.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Software Engineer II,First International Bank & Trust,"Fargo, ND",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/software-engineer-ii-at-first-international-bank-trust-3880843798?position=4&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=jIJimfPHymqdAcFdDD2awA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          We are seeking someone for a Software Engineering position in our Development & Analytics department. In this role you will need to be able to take requirements and deliver code based on them. You will collaborate with a team to drive new features in our solutions and products. Additionally, take part in daily scrums/scrum ceremonies and work on what is defined for that current sprint. You will need to have a strong background in development (C#) and are willing to jump in and learn the banking industry. Success in this role is being an active member of our scrum team and delivering quality code.This position is In-PersonKey ResponsibilitiesDevelop new products and software and conduct system enhancements.Troubleshoot for system issues and setup operations.Provide technical support to other team members.Follow Agile SDLCAssemble and document user requirements and operational parameters for software enhancements.Maintain in-house developed software; implement new features, fix issues, and test changes.Provide backup for Software EngineersConduct research into new technologiesPerform testing and code reviews.Qualifications4-year degree in Computer Science, Mathematics, Statistics, Engineering, or related degree.5+ years of working experience as a software engineer.3+ years of web application programming.Competence in C# using Visual Studio and Azure Dev Op’s is a requirement for consideration.Experience with Python, JavaScript, ASP.NET, React, HTML/CSS.Agile SDLC Experience is preferred.Blazer Experience is preferred.Experience with MSSQL and other database technologies.Banking and ACH development experience is preferred.Experience with secure coding practices preferred.First International Bank and Trust is a family-owned full-service Community Bank with locations in ND, MN, SD, and AZ.We show our employees we care by providing competitive benefits and training and growth opportunities.If you are interested in learning more, you can apply or if you have questions before applying you can reach out directly at TalentAcquistion@FIBT.com. Equal Opportunity Employer
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Banking
Software Engineer,Epic,"West Fargo, ND",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-epic-3909186689?position=5&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=5T8bOfZzk8jRyU06ySKAWA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.Code that saves lives. As a software developer at Epic, you’ll write software that impacts the lives of 75% of Americans and 300 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you’ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.Write software for the most innovative health systems on the planet.The top-ranked health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.Experience our state-of-the-art campus, eat delicious food, and travel the world.We don’t believe in cubicles. (Well, we believe they exist, but…) Our uniquely themed campus was designed to heighten your ability to get stuff done in your office, a conference room, or by the fireplace in a comfy chair. For lunch, visit King’s Cross or Cassiopeia for a wide array of meal options, or go to one of our smaller, themed bistros, featuring wood-rotisserie, pan-Asian, and Latin-inspired cuisine. All meals are restaurant-quality but cost only a few dollars, and they’re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you’ll earn a four-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyoncé concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.Live affordably in a city known for its rising tech talent.Epic is located just outside Madison, Wisconsin, which is the second fastest growing market for tech talent in the United States, home to the state capital, and the University of Wisconsin. Madison has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), fittest city in America (Fitbit), and, for the gamers, is one of a handful of US cities to have a Killer Queen arcade game, located at Madison’s first arcade bar.More than just important work.We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity employer. We seek diverse perspectives, backgrounds, and experiences in our mission to improve healthcare. Research has shown that job-seekers who are women, LGBTQ+, or members of the global majority are less likely to apply for roles they don't seem completely qualified for, so we encourage all who are interested to apply. Please see our full non-discrimination statement at https //careers.epic.com/EEO.Relocation to Madison, WI area (reimbursed)BS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related fieldA history of academic excellence or professional successEligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)COVID-19 vaccination
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Software Development
Software Engineer,AmericanAg,"Fargo, ND",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-americanag-3904922499?position=6&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=JAWucuUdOK8B6o4tfmc1mg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          American Farm Bureau Insurance Services, Inc. (AFBIS, Inc.) is looking for a Software Engineer to work out of our Fargo, ND office. As a member of our development team, you will be responsible for designing, developing, and implementing software solutions using the Microsoft .NET technology stack.If you have a strong background in software development, a passion for coding, and experience in software engineering, this is an excellent opportunity to advance your career and contribute to the success of our organization by delivering high-quality software products. This role offers opportunities for growth and professional development.ResponsibilitiesReporting to the Software Engineering Supervisor, this position will participate in the full software development life cycle, including coding, testing and deployment. The Software Engineer will be responsible for:Writing clean, efficient, and well-documented code in VB.NET, C#, ASP.NET, and other relevant technologies.Contributing to the improvement and maintenance of existing software applications.Engineering software solutions using the Microsoft .NET technology stack, adhering to established coding standards and best practices.Optimizing software applications for performance, scalability, and security.Collaborating with other engineers and other departments to ensure successful integration and deployment of software solutions.Mentoring and provide guidance to software developers, fostering a culture of continuous learning and growth.What You Will Bring To This PositionBachelor's degree in computer science or a related field, or equivalent experience, with at least three years of professional experience in software engineering and an “acceptable” score on a programming aptitude test administered by the company prior to hiring.Experience with relational databases and the Microsoft .NET technology stackExcellent problem-solving skills and the ability to analyze and complete complex technical challenges and projects.Strong attention to detail and commitment to delivering high-quality software solutions.Proven ability to work independently and as part of a team, manage multiple priorities and deliver high-quality software solutions while meeting project deadlines.Must have excellent verbal and written communication skills, with the ability to work independently and effectively collaborate with team members and stakeholders.Crop insurance knowledge is a plus.This is a hybrid role working out of the Fargo office at least two days a week and one additional day within a two-week period.AFBIS offers a competitive benefits package that includes medical, dental, vision, life, and disability insurance; company funded cash balance pension and a 401(k) retirement plan; Flexible Spending and Health Savings Accounts; paid holidays, vacation, and sick time; Employee Assistance Program; and other benefits.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Insurance
Senior System Engineer,Western State Bank,"West Fargo, ND",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/senior-system-engineer-at-western-state-bank-3880382205?position=7&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=b8Xa3Sb8cVcxm2DOvg%2BELw%3D%3D&trk=public_jobs_jserp-result_search-card,"
At Western State Bank, “what” you know is important, but not as important as how you relate to teammates and customers. Our environment is based on the principles of respect, curiosity, creativity, individual empowerment, and the ability to listen effectively and communicate openly. We also believe in continual learning, bias toward action, keeping commitments, and doing our absolute best every day. We believe that our ability to deliver on our promise of being Your Hometown Bank is a result of these high standards.The Senior Systems Engineer is responsible to assist designing, implementing, and maintaining complex system architectures and ensuring the necessary technologies are available to meet our organizational system requirements and enable optimized organizational effectiveness and business objectives. This position is responsible to ensure successful testing, documentation, collaboration, and overall software resiliency. The Senior Systems Engineer maintains a level of security and corresponding documentation that is necessary to produce a stable, quality, and robust system. Providing technical leadership within the team, guiding engineers, and share knowledge with team members through training sessions, documentation reviews, and mentorship.Duties and Responsibilities:Engineering new systems: Determine and implement new systems by maintaining a strong understanding of business needs and corresponding solutions. This includes developing a plan, the design of the system and corresponding documentation and implementation.Level II Production Support: Work with team members as a next line of support by communicating with help desk staff and the end users to develop a solution.Infrastructure management: Oversee the management of IT infrastructure, including servers, networks, storage, and virtualization platforms. This involves provisioning, configuration, monitoring, and troubleshooting to ensure optimal performance and availability.Security: Play a crucial role in ensuring the security of the systems they manage. This includes implementing security best practices, conducting security audits, vulnerability assessments, and ensuring compliance with relevant regulations and standards.Performance Optimization: Monitor system performance and identify opportunities for optimization. This may involve tuning configurations, optimizing resource usage, and implementing performance-enhancing technologies.Disaster Recovery and Business Continuity: Develop and maintain disaster recovery plans to minimize downtime in the event of system failures or disasters. This includes backup strategies, replication, failover mechanisms, and recovery procedures.Research and Innovation: Staying updated with industry trends, emerging technologies, and best practices is crucial. Continuously evaluate new tools and technologies to improve system efficiency, security, and reliability.Assist in other responsibilities and projects as needed.Associates degree or two-year college equivalent required, bachelor’s degree preferred in Computer Science, Computer Information Systems, MIS, or related field. 5+ years of Systems Engineer experience required. Industry certifications preferred.Full-time positions are eligible for full benefit package. We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to provide sponsorship for visa status. In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification form upon hire.Western State Bank is an Equal Opportunity Employer and Affirmative Action Employer. Member FDIC.
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Information Technology,IT System Installation and Disposal
Embedded Software Engineer Sr.,Bobcat Company,"Bismarck, ND",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/embedded-software-engineer-sr-at-bobcat-company-3885778968?position=8&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=7QH%2B5Io0GYZNMBMk28Xnog%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job InformationThe Embedded Software Engineer Sr will develop embedded software to control the Company's Hydro-electrical systems. This includes but is not limited to control systems for loaders, AWS, Toolcat, compact tractors, and excavators. The position will also entail using company software development processes for coding, modeling, and testing these control systems.Role & ResponsibilityRequirement Documentation And Software Project ScopeMaintain and develop new software for existing and new electrical system controllers.Estimate the number of requirements and time to implement each project.Attend and lead requirement review meetings weekly and as needed.Maintain and create requirement documentation for systems and controllers.Manage requirements documentation for these systems and controllers using software configuration management, requirements management tools, and with MS Office documents.Knowledge of software configuration management, requirements management, deflect tracking, and test case management is required.Software ProcessUse the Bobcat Software development lifecycle to ensure quality development of embedded software products. Work with the SW manager to continuously develop software process improvements.Keep all software work products up to date.CodingAttend and lead code review meetings.Perform code walk-throughs with the team.Write/maintain/manage source code and work products.Manage sets of changes to source code using change lists to track the changes.TestingDevelop, perform, and document software unit tests in our simulation environment.Develop, perform, and document software functional tests in the lab or field environments.Job RequirementEducation Required: Bachelor's Degree in Electrical Engineering or related fields.Experience Required: 7+ years.Travel Required: Experience preferred in the knowledge of the software development process.A thorough understanding of MATLAB, SIMULINK, and C/C++ software experience is preferred.Thorough understanding of standard computer programs for written communications like Microsoft Word, PowerPoint, and Excel. As a part of the Doosan Group, which employs more than 43,000 people in 38 countries worldwide, the company offers its customers products and solutions to help build stronger businesses and communities. Based in Seoul, South Korea, with its North America headquarters in West Fargo, North Dakota, Doosan Bobcat is a leading global manufacturer of construction, agriculture, landscaping and grounds maintenance equipment, attachments and services. The company is committed to empowering people to accomplish more.Doosan Bobcat North America is home to world-renowned brands, including Bobcat® compact equipment, Doosan® portable power products, Ryan® and Steiner® grounds maintenance equipment and Geith® attachments. Doosan Bobcat North America is a tradename of Clark Equipment Company.Doosan is committed fostering an inclusive and a diverse workforce and is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to sex, age, race, color, religion, creed, citizenship status, national origin, disability, marital status, sexual orientation, gender identity, protected veteran status, or any other status or characteristic protected by law. If you have a disability or special need that requires accommodation, please contact us at 701-476-4263. Doosan is a VEVRAA federal contractor and seeks priority referrals of protected veterans.Beware of Fraudulent Job Offers and SolicitationsAny legitimate job offer will be preceded by an official selection process.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Engineering,"Machinery Manufacturing, Manufacturing, and Construction"
Embedded Software Engineer,WayUp,"Fargo, ND",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-wayup-3895697300?position=9&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=CLacCx9Coc65LzZVey114g%3D%3D&trk=public_jobs_jserp-result_search-card,"
          This role is with Doosan Bobcat North America, Inc. WayUp is partnering with Doosan Bobcat North America, Inc to hire top talent.  Job Information  The Embedded Software Engineer will develop embedded software to control Bobcat Hydro-electrical systems. This includes but is not limited to control systems for loaders, AWS, Toolcat, compact tractors, and excavators. The position will also entail using Bobcat software development processes for coding, modeling, and testing these control systems.  Role & Responsibility   Required documentation/Software project scope Maintain/develop new software for existing and new electrical system controllers.Estimate the number of requirements and time to implement for each project.Attend/lead requirement review meetings weekly and as needed.Maintain/create requirement documentation for systems and controllers.Manage requirements documentation for these systems and controllers using software configuration management, requirements management tools and with MS Office documents.Knowledge of Software configuration management, requirements management, defect tracking, and test case management is required. Coding Attend/lead code review meetings.Perform code walk-throughs with the team.Write/maintain/manage source code, and work products.Manage sets of changes to source code using change lists to track the changes. Software Process Use the Bobcat Software development lifecycle to ensure quality development of embedded software products.Work with SW manager to continuously develop software process improvements.Keep all software work products up to date Testing Develop, perform, and document software unit tests in a simulation environment.Develop, perform, and document software functional tests in the lab or field environments.  Job Requirement  MATLAB, SIMULINK and C/C++ software experience preferred.Strong verbal and written communication skills.Use of standard computer programs such as MS Office.Knowledge of SoftwareDevelopment ProcessEducation Required: Bachelor's Degree in Electrical or Computer EngineeringExperience Required: 0-2+ yearsTravel Required:
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Manufacturing
Senior Software Engineer-Fargo,Dynon Avionics,"Fargo, ND",2024-04-13,On-site,,https://www.linkedin.com/jobs/view/senior-software-engineer-fargo-at-dynon-avionics-3897868159?position=10&pageNum=0&refId=Nw4%2FciW6vfJjosB0H4igng%3D%3D&trackingId=IY5rb0ajNCGqZzKV1uPwbA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          At Dynon, our mission is to create the best avionics and aircraft systems for light aircraft. Our customers fly Dynon equipment for transportation, training, and for fun. We use the latest technologies so our designs have advanced features, contribute to safety, and are functional, reliable, intuitive, and easy to install. We make our products as accessible and affordable to as many people as possible. Over 20,000 pilots fly Dynon! To learn more: https://dynonavionics.com/Job Title: Senior Software Engineer-Aviation-Fargo Reports to: Program Manager Hours of Work:  Fulltime, Monday through Friday Wage:  DOE, exemptThe actual pay may vary depending on multiple factors including job-related knowledge/skills, experience, business needs, geographical location, and internal equity. Location:  Fargo, North Dakota Position Summary  : Contributing member of the team to develop systems by designing, developing, and installing software solutionsPosition Responsibilities Software team contributor  Implement and maintain product and development architectures  Implement relative to system specifications and standards for both programming and documentation  Determine operational feasibility by evaluating analysis, problem definition, requirements, and solutions  Develop software solutions by studying information needs; conferring with users; studying systems flow, data usage, and work processes; investigating problem areas; following the software development life-cycle  Improve operations by analyzing systems and recommending changes in policies and procedures  Develop clear code, code comments, documentation, and diagrams Experience & Education Comfortable collaborating with cross-functional teams  Can independently analyze information & solving problems  Proficient in C and C++  Proficient in software change control, build processes, and related infrastructure  Proficient in test driven development  Knowledge, familiarity, and/or passion around aviation systems  Bachelor’s Degree in Computer Science/Engineering, Electrical Engineering, or closely related field  Combination of 8+ years education and experience in embedded system development  Must be 18+ and legally authorized to work in the United States Benefits include 95% employer-paid medical/dental/vision/life insurance coverage for employee, 401(k) with 4% employer-match, 3 weeks PTO your first year, 10 paid holidays, and partial reimbursement for tuition and flight training.All qualified applicants will receive consideration for employment without regard to race, ethnicity, color, sex, sexual orientation, gender identity, religious creed, national origin, disability, veteran status, age, marital status, pregnancy, genetic information, or other legally protected status.
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Engineering and Information Technology,Aviation & Aerospace
