title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Associate Data Engineer,Harris Computer,"Oklahoma, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909352836?position=1&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=C14CC7T2RL1%2FMW71eg%2BfAQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
          26 applicants
        ",Mid-Senior level,Full-time,Information Technology,Software Development
Cloud Engineer,Ascendion,"Tulsa, OK",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/cloud-engineer-at-ascendion-3882361706?position=2&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=vBhT%2BMHqkvwidDbpyvcL0Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
About AscendionAscendion is a full-service digital engineering solutions company. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients. Headquartered in New Jersey, our workforce of 6,000+ Ascenders delivers solutions from around the globe. Ascendion is built differently to engineer the next. Ascendion | Engineering to elevate lifeWe have a culture built on opportunity, inclusion, and a spirit of partnership. Come, change the world with us:Build the coolest tech for world’s leading brandsSolve complex problems – and learn new skillsExperience the power of transforming digital engineering for Fortune 500 clientsMaster your craft with leading training programs and hands-on experienceExperience a community of change-makers!Join a culture of high-performing innovators with endless ideas and a passion for tech. Our culture is the fabric of our company, and it is what makes us unique and diverse. The way we share ideas, learning, experiences, successes, and joy allows everyone to be their best at Ascendion.About the Role:Job Title: Cloud EngineerKey Responsibilities:Cloud Solutions Leadership: Lead the development and implementation of cloud solutions, providing thought leadership and project management expertise.Rapid Execution of Cloud Projects: Ensure quick and efficient execution of cloud projects, aligning them with best practices and organizational objectives.Infrastructure Engineering: Design and manage robust cloud-based systems, leveraging extensive experience in infrastructure engineering.IT Service Management (ITSM) Best Practices: Implement ITSM best practices to ensure consistent and high-quality service delivery.Expertise in Cloud Technologies: Utilize deep knowledge of Azure, Nutanix, F5, and other relevant cloud technologies to architect and deploy effective solutions.Infrastructure as Code (IaaC) and Infrastructure as a Service (IaaS) Implementation: Automate and optimize cloud infrastructure deployment and management using IaaC and IaaS methodologies.Resilience and Availability: Design systems with a focus on resilience and high availability to ensure uninterrupted services.Cross-functional collaboration: Collaborate closely with different teams to understand requirements and provide tailored cloud solutions.Continuous Improvement: Stay updated with the latest cloud technologies and trends, continually improving processes and systems.Documentation and Knowledge Sharing: Document cloud architectures, processes, and best practices, and share knowledge with team members.Minimum Qualifications:Bachelor’s or Master’s degree in Computer Science, Information Technology, Engineering, or equivalent experience.Minimum of 10 years of experience in infrastructure engineering, with a strong focus on cloud technologies.In-depth knowledge of Nutanix AHV and Prism Central, including installation, configuration, management, and troubleshooting.Familiarity with Nutanix AOS features like Acropolis, Flow, Leap, and Calm.Nutanix Certified Professional (NCP) - Enterprise Administrator or equivalent certification.Proven experience with Azure, Nutanix, F5, and other cloud-related technologies.Expertise in IT service management, IaaC, and IaaS.Strong project management and leadership skills.Excellent problem-solving abilities and attention to detail.Strong communication and collaboration skills.Knowledge of the energy sector, particularly drilling operations, is a plus.Desired Qualifications:Having a strong background and experience with both on-premises (servers) and cloud environmentsLocation: Tulsa, OklahomaSalary Range: The salary for this position is between $120,000 – $140,000 annually. Factors which may affect pay within this range may include geography/market, skills, education, experience, and other qualifications of the successful candidate.Benefits: The Company offers the following benefits for this position, subject to applicable eligibility requirements: [medical insurance] [dental insurance] [vision insurance] [401(k) retirement plan] [long-term disability insurance] [short-term disability insurance] [5 personal days accrued each calendar year. The Paid time off benefits meet the paid sick and safe time laws that pertains to the City/ State] [10-15 days of paid vacation time] [6 paid holidays and 1 floating holiday per calendar year] [Ascendion Learning Management System]Want to change the world? Let us know.Tell us about your experiences, education, and ambitions. Bring your knowledge, unique viewpoint, and creativity to the table. Let’s talk!
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology and Engineering,Services for Renewable Energy
Software Engineer,Addison Group,"Oklahoma City, OK",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-addison-group-3878305112?position=3&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=9PGAfnyxAIyZHFsH8Oxh5Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code. QualificationsPythonSQLMachine Learning (PyTorch, Tensorflow)
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,Hospitals and Health Care
Sr Data Engineer,GDH,"Tulsa, OK",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-gdh-3887622010?position=4&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=TpVT4Zl%2BqTiUScTvePOZsw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Sr. Data Engineer  Primary Responsibilities:Innovative Approaches in Operational Efficacy: Develop and implement data engineering solutions that contribute to the company's innovative approaches in upstream oil and gas operations.Resource Management: Act as a key contributor in managing energy resources through data-driven decisions.Technology Integration: Seamlessly integrate state-of-the-art technology into existing systems and processes to enhance operational efficiency.Data modeling, management, and devopsSustainable and conforming data patternsHow do I consume data to get a return on it (storage vs storage for oil and gas)Initiatives – IT sync with all contract staff – scout and softserveESP optimization – give softserve requirements for interacting or extending dataIntelligent WellNew data warehousing attributes (extending and designing enterprise model)Data to notification in LambdaIntegrations in and outSenior devops reviewer (after peer review)When something fails, they help IT run debugTop 3 Skills:Innovation: Ability to contribute to the company's forward-focused digital initiatives within the upstream oil and gas sector.Resource Management Skills: Strong aptitude for utilizing data analytics to make informed decisions about energy resource management.Technical Proficiency: In-depth knowledge of state-of-the-art technology relevant to the oil and gas industry, especially in the area of data engineering.GDH provides equal employment opportunities (EEO) to all employees and applicants foremployment without regard to race, color, religion, sex, national origin, age, disability, geneticinformation, veteran's status or any other category protected by law. In addition to federal lawrequirements, GDH Consulting, Inc. complies with applicable state and local laws governingnondiscrimination in employment in every location in which the company has facilities and/oremployees. This policy applies to all terms and conditions of employment, including recruiting,hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence,compensation, benefits and training. Applicants with disabilities that require an accommodationor assistance in applying and/or for interviewing, please contact our HR Department. Please visit GDH's website for notice of collection for California applicants.
        ","
          115 applicants
        ",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting
Sr Data Engineer,GDH,"Tulsa, OK",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-gdh-3895557667?position=5&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=lc6yCVxKG%2BwMTA0MVzQqGw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Sr. Data EngineerPrimary Responsibilities Innovative Approaches in Operational Efficacy: Develop and implement data engineering solutions that contribute to the company's innovative approaches in upstream oil and gas operations. Resource Management: Act as a key contributor in managing energy resources through data-driven decisions. Technology Integration: Seamlessly integrate state-of-the-art technology into existing systems and processes to enhance operational efficiency. Data modeling, management, and devops Sustainable and conforming data patterns How do I consume data to get a return on it (storage vs storage for oil and gas) Initiatives – IT sync with all contract staff – scout and softserveESP optimization – give softserve requirements for interacting or extending data Intelligent Well New data warehousing attributes (extending and designing enterprise model) Data to notification in Lambda Integrations in and out Senior devops reviewer (after peer review) When something fails, they help IT run debug Top 3 SkillsInnovation: Ability to contribute to the company's forward-focused digital initiatives within the upstream oil and gas sector. Resource Management Skills: Strong aptitude for utilizing data analytics to make informed decisions about energy resource management. Technical Proficiency: In-depth knowledge of state-of-the-art technology relevant to the oil and gas industry, especially in the area of data engineering.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
"Data Center Electrical Engineer, Google Data Centers",Google,"Pryor, OK",2024-04-27,On-site,,https://www.linkedin.com/jobs/view/data-center-electrical-engineer-google-data-centers-at-google-3910424960?position=6&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=fXI1sm9o038pglN%2BpuD8mg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Minimum qualifications:Bachelor's degree in Electrical Engineering, Power Engineering, a technical field, or equivalent practical experience.5 years of experience in mission critical facility design and construction environments.Experience in design, construction, and commissioning of medium/low voltage electrical distribution systems, AC/DC systems, and associated power management/SCADA tools.Preferred qualifications:Professional Engineering (PE) license.Experience in large-scale mission critical facilities and electrical/mechanical infrastructure.Experience in estimating, electrical design, operation, and commissioning of substations, switchgear, ATP/ATS, emergency power systems and their control systems, power monitoring, and electrical protection.About the jobOur thirst for technology is a part of everything we do. The Data Center Engineering team takes the physical design of our data centers into the future. Our lab mirrors a research and development department -- cutting-edge strategies are born, tested and tested again. Along with a team of great minds, you take on complex topics like how we use power or how to run state-of-the-art, environmentally-friendly facilities. You're a visionary who optimizes for efficiencies and never stops seeking improvements -- even small changes that can make a huge impact. You generate ideas, communicate recommendations to senior-level executives and drive implementation alongside facilities technicians.In this role, you will work with other electrical and mechanical engineers, and provide project design and field engineering services, project implementation, and participation in all phases of a project life cycle. You will act as the interface between internal customers and the project team. You will be involved in all the site capital projects from green field construction to major modification of existing infrastructures and participation and preparation of all types of documents including Statement of Work (SOW), Total Cost of Ownership (TCO) analysis, drawing mark-ups, budget, schedule, final startup/commissioning reports, review and acceptance of as-builts, and review of submittals.Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.The US base salary range for this full-time position is $139,000-$207,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google .ResponsibilitiesProvide technical support to data center services and operations teams to define electrical system design requirements for multiple projects from inception through completion.Collaborate with core teams to develop, implement, and manage the Data Center (DC) electrical designs at site starting from Basis of Design (BOD) to Issued for Construction (IFC) data center services documents for new projects build outs, infrastructure upgrades, and renovations.Gain a detailed understanding of the electrical project requirements on-going at the site. Respond to site specific engineering Requests for Information (RFI).Participate in new technology insertions through collaboration with the core engineering team to provide site specific requirements during the development of site specific BOD.Own and manage all site level power system issues during the project execution phase. Maintain all DC related electrical system design requirements and interface documents.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .
        ","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
Software Engineer,Momentum3,"Tulsa, OK",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-momentum3-3906686306?position=7&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=%2FTKrvxnnk7wbp9aXoD6evA%3D%3D&trk=public_jobs_jserp-result_search-card,"
SOFTWARE DEVELOPER/SOFTWARE ENGINEERJoin Momentum3, a progressive technology company, and unleash your potential as Software Developer. Be part of our skilled team, delivering groundbreaking solutions and products to our clients. Immerse yourself in an upbeat, flexible environment that values outstanding service and innovative ideas. We're seeking individuals with a keen eye for detail, a knack for creative problem-solving, and excellent communication skills. As a key player, you'll collaborate with customers, facilitate interactions, participate in design and code reviews, and align with best practices. If you're passionate about Angular, C#, Azure, and all things technical, this role is for you. Experience the excitement of automated deployment to Azure environments and contribute to our wide range of technology. With generous benefits and a supportive team, Momentum3 offers you a chance to make an impact, have fun, and thrive in a fast-paced, customer-focused environment. Apply now and be part of our success story!Software Developer Responsibilities:Assisting the development manager with all aspects of software design and coding.Attending and contributing to company development meetings.Learning the codebase and improving your coding skills.Working with and improving our coding framework.Writing and maintaining code.Working on minor bug fixes.UI/UX design and implementation.Responding to requests from the development team and clients.Gathering information from consumers about program functionality.Writing reports.Conducting development tests.Software Developer Requirements:Bachelor’s degree in computer science.Ability to learn new software and technologies quickly.Ability to follow instructions and work in a team environment.Detail-oriented.Knowledge of basic coding languages including:C# .NETDependency InjectionMS SQLCSSHTMLJavaScriptNice to Have:SQL Server/Oracle/Mongo or another database experienceAngularBlazorMQTTSignalRSSISAzure/AWS Cloud servicesWindow FormsOur corporate websites are:www.momentum3.biz (Tulsa office)www.momentum3growth.com (Tulsa marketing team)What We Offer:This is a salary and benefits position that includes: group-sponsored health and dental, 401k plan, employee stock incentive plan, flex vacation, paid holiday days, and a defined bonus structure. We will also assist you in defining your role and work style. We have frequent company outings and believe in having fun!Our ideal candidates can work both independently and with a team. Must be customer-focused. This is a fast-paced environment and you may work on several different systems in any year across a wide set of industries.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of age, ethnicity, ancestry, gender, national origin, disability, race, size, religion, sexual orientation, socioeconomic background, or any other status prohibited by applicable law.Job Type: Full-timeBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offVision insuranceWork Location: Tulsa, OK. Once established in the position, there's potential for a hybrid work setting. This decision will be made in collaboration with the lead on the project.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Media, Software Development, and IT Services and IT Consulting"
Senior Data Engineer,YouVersion,"Edmond, OK",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-youversion-3904428783?position=8&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=jrE8JpnYEo3kUK7CIfE1zw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The YouVersion Senior Data Engineer is primarily responsible for shaping, implementing, and maintaining data pipelines and systems that provide quality and reliable data. This role is critical in increasing engagement and growth through the Bible App globally. The Senior Data Engineer works across technical teams within the organization, including but not limited to Data Analytics, Software Engineering leaders, and Product teams. This role is responsible for defining and executing data governance and architectural decisions and teaching/guiding others on the team. The Senior Data Engineer utilizes their skills to deliver technical outcomes that align with the direction of their team to further Life.Church’s mission and to reach people for Christ.YouVersion was created by the local church in 2007 and remains a ministry of Life.Church today. At Life.Church, our mission is to lead people to become fully devoted followers of Christ. Our team is committed to reaching people worldwide through innovative technology. And YouVersion is one of the ways we get to do that. Life.Church is a multi-site Christian church meeting in the United States and globally at Life.Church Online.We wholeheartedly believe a daily rhythm of seeking intimacy with God has the power to transform lives. That’s why YouVersion creates biblically-based experiences that encourage and challenge people to seek God. We hope everyone in our community is on an active journey to become who God made them to be, abiding in Him, and drawing closer every day.What You'll DoDrive data awareness and provide accurate and actionable data for analytics and decision-making.Collaborate with platform and product teams to ensure all relevant data is being collected.Help develop a data catalog and data definitions for clear usage and understanding.Understand and advocate our data delivery tools.Provide documentation and diagramming for the understanding of other engineers and leaders.Align data needs to business objectives and formulate a data roadmap.Plan and build automated pipelines and processes for ingestion, ETL, and data integrations.Develop expert level knowledge of the data infrastructure, tools, and processes.Develop and maintain data governance, security, and stewardship best practices.Optimize and performance tune pipelines and queries for excellence in stewardship and scalability.Prepare data for predictive, prescriptive modeling with ML possibilities.Continuous learning on tools, technologies, and best practices of data engineering.Build and maintain testing and monitoring to provide the highest of quality.Lead, mentor, and develop other data engineers.Understand and support user events processing to bring our data knowledge to the next level.Engage as an active contributor within our agile development process.Own projects and oversee them with minimal direction.Manage schedules and duties to efficiently meet the needs of the organization in the pursuit of leading others to become fully devoted followers of Christ.Skills Needed To SucceedAbility to self-motivate, make independent decisions, and solve problems with innovation.Effective at multi-tasking and time management to meet strict deadlines while remaining flexible and open to change.Excellent verbal, written, and interpersonal communication skills to clearly explain complicated processes and foster partnerships.Strong presentation, creation and facilitation skills.Effective at process and organizational management to coordinate, structure and provide vision to projects.Strong SQL knowledge, with the capability to write complex SQL and performance tune.Skilled in Python, Go, Java scripting, or other general-purpose programming languages.Proficient with data orchestration tools such as Airflow, Pub/Sub, FiveTran, and streaming, etc.Proficient in Database Management Systems, such as Postgres, BigQuery, or SQL Server.Understanding of user event data collection products such as Firebase, GA4, or similar.Excellent at problem-solving complicated technological issues.Strong analytical, critical, and strategic thinking skills.Bachelor's Degree and/or Advanced Certification.5+years of related work experience preferred.Experienced in API and streaming data integration.Experienced in data warehousing models and design fundamentals.Experienced with Google Cloud Platform or other cloud data solutions.Preferred experience with JIRA, Gitlab, Amplitude, Backstage, Notion.Benefits We OfferPaid parental leave, including maternity, paternity, and adoption leave.Generous employer-paid leave for the use of vacation, sick time, and other qualifying reasons. Innovative and comprehensive Medical, Dental, and Vision insurance that provides team members with useful resources and savings to navigate their holistic health. Life insurance policy provided for all staff members at 2x annual salary at no cost. Additional life insurance coverage is available to purchase. Short-Term and Long-Term disability is covered at 100% for full-time qualified staff members.Comprehensive wellness and mental health benefits allow staff to proactively invest in their physical and emotional health.Generous 401(k) retirement plan allowing a team member to have up to 12.5% (including employee contribution, employer match, and employer discretionary contribution) contributed into their account in their first year. It doesn’t stop there—the more years on staff, the greater the investment! $160 annually in development dollars for team members to invest in their professional growth. Casual dress and work environment.Flexible work schedule. And much more! Our Beliefs, Culture, and Commitment to DiversityAt Life.Church, every staff member, and intern is a minister and is expected to engage in the church's ministry fully. We consider ministry readiness and an individual’s capacity to represent Life.Church’s beliefs as a minister during the selection process for all staff and intern positions. An essential function within every position held by a staff member or intern at Life.Church is to uphold and represent the beliefs of Life.Church. Learn more about what we believe at Life.Church .While we unite around our mission, we know unity doesn’t mean uniformity. Our calling is too great, and our mission is too important not to be intentional about strengthening our team through diversity. We know that diverse perspectives in race, ethnicity, background, age, and gender are essential to reaching the world for Christ. To learn more about how we strengthen our team through diversity, visit our careers page .All data collected in our application process, from resume collection to application questions, is used for recruitment purposes only.
","
          40 applicants
        ",Mid-Senior level,Full-time,Information Technology,Religious Institutions
Energy Systems Data Analyst,CLEAResult,"Oklahoma, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/energy-systems-data-analyst-at-clearesult-3908290833?position=9&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=SFCE1xYag5%2BunI5HQIRLfQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryAt CLEAResult, we lead the transition to a sustainable, equitable, and carbon-neutral energy-efficient future for our communities and our planet. We do that by creating a people-first culture built on trust, accountability, and transparency; where every employee – regardless of position, role, or identity is treated with respect and given an equal chance to thrive.Additionally, You Will Enjoy Medical, Dental, and Vision Insurance; we also offer a company-paid health care concierge service to help navigate our health plan to make the best decisions for you and yours 401(k) with company match Paid vacation, sick, personal and parental leave time Paid Volunteer Time: giving back to our communities is important to us Employee Recognition Program – convert your recognition points into gift cards Employee Assistance Program – offers benefits to help you manage daily responsibilities Access to on-demand training courses to advance further in your careerJob DescriptionWe are looking for a talented individual…To join our team! CLEAResult’s Strategic Energy Management (SEM) team is expanding and has a new opportunity for the position of Data Analyst. As a Data Analyst, you will help support talented teams of SEM experts across the US and Canada; this position helps facilitate energy modeling and data processing for all SEM teams across North America. This role is focused on data analysis and is primarily internally facing; there will occasionally be interactions with clients and end use customers to acquire data and answer questions. The scope of this position will be the primary supporting function for the Statistical Analyst and process standardization for the international SEM program teams. Data Analysts will perform the pre- and post-modeling data review and manipulation for the Statistical Analysts, benchmarking reporting, and assisting in the development of our digital infrastructures.For this exciting career opportunity, you’re a great fit if you can… Production data manipulation and formattingAnalyzing large data sets for consistency and errorsIntegration of data into statistical software templatesCollaborate with internal and external teams to maintain database filesCollaborate with all program teams to create and maintain standardized templates for energy modeling and program dataCreate work instructions for newly created templatesFinal model and report tracking, drafting, editing, and QCData processing automationVisual basic and excel formula troubleshooting, modification, and creationSmartsheet data manipulationSharePoint experienceEnergy systems experienceEngineering background preferredSponsorship not available at this timeTarget Compensation$60,000 - $65,000 / annuallySponsorship is not available for this position.Compensation RangeCurrency Type SalaryAny offered salary is determined based on internal equity, internal salary ranges, market data/ranges, applicant’s skills and prior relevant experience, certain degrees and certifications (e.g. JD/technology), for example.Additional Job DescriptionEqual Opportunity EmployerAs an Equal Opportunity Employer, we are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant’s race, color, religion, national origin, marital status, age, sex, gender identity, sexual orientation, status as a qualified individual with a disability or protected veteran, or any other protected status.The above job description and job requirements are not intended to be all inclusive. CLEAResult retains the right to make changes or adjustments to job descriptions and/or requirements at any time without notice.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Utilities
Software Engineer,Optimize Search Group,"Oklahoma City, OK",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-optimize-search-group-3891295245?position=10&pageNum=0&refId=T7yGMKW5mzjhaw4lalEPFg%3D%3D&trackingId=RSL85I38fSFazGkH4B90sA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Title: Software EngineerLocation: OKC, OK (100% onsite)Duration: Direct HireKey Responsibilities And QualificationsWe are looking for a passionate Software Engineer to design and develop software solutions. Candidates should possess strong analytical skills, display an aptitude for problem-solving, and a deep desire to continue growing as developers.Software Engineer responsibilities include gathering user requirements, defining system functionality, and writing code in various languages, like Java.Our ideal candidates are familiar with the software development life cycle (SDLC) from preliminary system analysis to tests and deployment.Finally, candidates should demonstrate a willingness to research and remain current in programming standards and practice.We offer a flexible, results-oriented work environment, with a strong culture encouraging the use of the latest technology and best practices, to continuously improve ourselves and our software.Duties And ResponsibilitiesExecuting full lifecycle software development for new and existing applications. Programming well-designed, testable, efficient code. Producing specifications and determine operational feasibility. Develop flowcharts, layouts and documentation to identify requirements and solutions. Additional duties and responsibilities as assigned QualificationsStrong back-end development skills with Java Strong understanding of Java concurrency, concurrency patterns Experience with TDD, code testability standards, JUnit/Mockito Familiarity with SQL Databases (SQL/Stored Procedures, ORM tools) Experience with modern JavaScript Frameworks Scripting and working in a Linux environment, Experience with high volume, mission critical applications Strong object-oriented design skills. Experience with agile methodology/practices Familiarity with Design Patterns and their uses. Excellent communication, interpersonal, and consultative skills Familiarity with C/C++ or other programing languages. Version control (GIT, CVS) Education/ExperienceBachelor of Science degree in related field and relevant work experience a plus.
        ","
          37 applicants
        ",Entry level,Full-time,Information Technology,Staffing and Recruiting
