title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,Robert Half,"Greenville, SC",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-robert-half-3911813671?position=1&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=WdjLpA6KtHMEs7Djhy4ndA%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionEngineer New Data Solutions!Do you have a passion for building the pipelines that transform raw data into actionable insights? Are you a skilled developer eager to collaborate and contribute to a data-driven future? If so, [Company Name] in Greenville, SC is seeking a talented Data Engineer to join our growing team!Play a pivotal role in building and maintaining the infrastructure that empowers our data-driven decision-making. As a Data Engineer, you'll leverage your expertise in data engineering and programming to design, develop, and maintain data pipelines that efficiently collect, transform, and deliver data to our data scientists, analysts, and business users.What You'll Do Design and develop scalable data pipelines using technologies like Python, SQL, and frameworks such as Spark and Airflow. Extract, transform, and load (ETL) data from various sources (databases, APIs, log files, etc.) ensuring data quality and consistency. Design and implement data warehousing and data lake solutions for efficient data storage and retrieval. Develop and maintain automated data pipelines for continuous data flow and integration. Monitor and optimize data pipelines for performance and scalability. Collaborate with data scientists, analysts, and other stakeholders to understand data needs and implement effective solutions. Stay up-to-date with the latest advancements in data engineering technologies and best practices.What We Offer Competitive salary and benefits package Opportunity to work on challenging and impactful projects Collaborative and supportive work environment Continuous learning and development opportunities Vibrant and growing company culture The chance to be the behind-the-scenes hero, enabling data-driven decisions that shape our futureRequirements 4+ years of experience in the data field (data analyst, database administrator, or similar) and a desire to grow Experience with SSIS, SSRS, and ETL pipelines Database scripting languages (e.g., T-SQL, PL/SQL) Cloud-based database management (AWS RDS, Azure SQL Database, etc.) High availability (HA) and disaster recovery (DR) solutions Cloud platforms (AWS, Azure, GCP) and their data services (S3, Azure Data Lake, etc.) Big data technologies (Hadoop, Spark, Kafka, etc.) Data version control and lineage management tools Docker and containerization technologiesTechnology Doesn't Change the World, People Do.®Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go.All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit© 2024 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to
        ","
            Over 200 applicants
          ",Entry level,Contract,Information Technology,Staffing and Recruiting
Associate Data Engineer,Harris Computer,"South Carolina, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909353686?position=2&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=zsCnegOZsDSrXeaH2FPm5g%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Senior Data Engineer,Wise Skulls,"Fort Mill, SC",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-wise-skulls-3888454094?position=3&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=e7sA1eUOH%2FLYFyAkyIw%2BUQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Title: Senior Data EngineerLocation: Fortmill, SC; Austin, TX (Remote for Now)Duration: 6+ Months (Possibility of Extension)Implementation Partner: InfosysEnd Client: To be disclosedJd8+ Years of ExperienceExpert with Hands on Scripting/Coding - ETL with SQL & No SQL, Big Data, AWS (Lambda, Glue, Step Functions, ECR, ECS, Cloud Watch), Container (Docker), PySpark, CI/CD DevOps.Intermediate - API/Kafka, BFS domain experience, Testing/QA concepts.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Other,Staffing and Recruiting
Data Engineer III,MUSC Health,"Charleston, SC",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-iii-at-musc-health-3896633615?position=4&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=G9MYQTZNJaYftQIopzPxuw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryThe Data Engineer III, Analytics reports to the Manager of Analytics in support of MUSC’s academic, research and healthcare missions. Under general supervision, the Data Engineer III provides expertise in evaluating and resolving complex technical issues, demonstrates strong analytical and communication skills to maximize the benefit of Information Solutions services. Generates appropriate communication, process and educational plans to identify and remove obstacles to change and mitigating the disruption of change. Serves as the subject matter expert in all areas of the analytics program supporting decision making, strategy, performance improvement, and other key operational goals through valid, relevant, and quality decision support reports, dashboards, and other analytic tools. Takes a lead role in projects; participates in team and project meetings, and provides input on intelligent solutions to improve efficiency. Coaches and transfers knowledge to peers and staff, maintains high professional standards, and exhibits excellent customer service skills while performing assigned tasks.EntityMedical University Hospital Authority (MUHA)Worker TypeEmployeeWorker Sub-Type RegularCost CenterCC002338 SYS - Office Of Chief Analytics OfficerPay Rate TypeSalaryPay GradeHealth-31Scheduled Weekly Hours40Work ShiftJob DescriptionPosition Purpose/DutiesThe Data Engineer III, Analytics reports to the Manager of Analytics in support of MUSC’s academic, research and healthcare missions. Under general supervision, the Data Engineer III provides expertise in evaluating and resolving complex technical issues, demonstrates strong analytical and communication skills to maximize the benefit of Information Solutions services. Generates appropriate communication, process and educational plans to identify and remove obstacles to change and mitigating the disruption of change. Serves as the subject matter expert in all areas of the analytics program supporting decision making, strategy, performance improvement, and other key operational goals through valid, relevant, and quality decision support reports, dashboards, and other analytic tools. Takes a lead role in projects; participates in team and project meetings, and provides input on intelligent solutions to improve efficiency. Coaches and transfers knowledge to peers and staff, maintains high professional standards, and exhibits excellent customer service skills while performing assigned tasks.Additional Job DescriptionRequirements (Education, Work Experience, Licensure, Registry and/or Certifications):Education/Work ExperienceA bachelor’s degree and five years directly related experience; or a high school diploma and seven years directly related experience or a Masters’ degree and 3 years directly related experience required. Must possess strong interpersonal, project management, analytical and communication skills. Must be able to demonstrate expert skills in framing analytic problems, identifying key stakeholders, acquiring and preparing data, selecting and applying analytic tools, and producing actionable results. Epic Certification or Proficiency preferred.If you like working with energetic enthusiastic individuals, you will enjoy your career with us!The Medical University of South Carolina is an Equal Opportunity Employer. MUSC does not discriminate on the basis of race, color, religion or belief, age, sex, national origin, gender identity, sexual orientation, disability, protected veteran status, family or parental status, or any other status protected by state laws and/or federal regulations. All qualified applicants are encouraged to apply and will receive consideration for employment based upon applicable qualifications, merit and business need.Medical University of South Carolina participates in the federal E-Verify program to confirm the identity and employment authorization of all newly hired employees. For further information about the E-Verify program, please click here: http://www.uscis.gov/e-verify/employees
        ","
          87 applicants
        ",Mid-Senior level,Full-time,Information Technology,Hospitals and Health Care
Data Analyst,Altum Solutions,"Columbia, South Carolina Metropolitan Area",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-altum-solutions-3908899594?position=5&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=TWUFmF41emBwLMZ6hcgX0w%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Data Analyst ILocation: Columbia, SC (on-site, must be local)Duration: 5/6/24-5/2/25 with potential extension/conversionRate: $33/hrJob Overview:The Analyst, Data I position based in Columbia, SC location involves analyzing operational functions to drive improvements and maintain efficiency. The role requires maintaining databases, extracting and analyzing data, and effectively communicating findings to management. Ideal candidates will possess strong analytical skills, experience with data analysis tools, and a background in statistics, computer science, or a related field. This position offers the opportunity to join a collaborative team environment where professional growth and development are prioritized.Duties Include:30% Data Extraction: Extract data from multiple systems, using various techniques for regular and ad hoc reporting.30% Research and Analysis: Perform research, analyze reports, create statistical models, and summarize findings for management review.30% Process Improvement: Identify inefficiencies in operations and retool processes using diverse skills and resources.10% Communication: Liaise with various departments to discuss outcomes and reporting.Skills and Experience Required:Strong organizational, customer service, and analytical skills.Proficient in Microsoft Office; familiarity with SAS/DB2 or other relational databases is preferred.Ability to understand complex mathematical and statistical concepts.Experience with Lean Management, Six Sigma, and value stream mapping is highly desirable.Excellent verbal and written communication skills.Education Requirements:Bachelor’s degree in Statistics, Computer Science, Mathematics, Business, Healthcare, or related field, OR2-year degree in a related field plus 2 years of reporting and data analysis work experience, OR4 years of direct reporting and data analysis experience.Preferred Experience:At least 2 years in related research and analysis.Schedule:Hours per week: 40Hours per day: 8Start Date: 5/6/23
","
          199 applicants
        ",Mid-Senior level,Contract,Analyst,IT System Data Services
Data Analyst I,US Tech Solutions,"Columbia, SC",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/data-analyst-i-at-us-tech-solutions-3903825780?position=6&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=jRwlacuIU2gU97OKf0p7OA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Duration: 12 Months contractJob Description:· Analyses current operational functions and offers and implements improvements.· Maintains databases and extracts data for analysis.· Runs and reviews reports, analysing results in support of operational functions.· Extracts data from multiple systems and departments using various data manipulation and extraction techniques for regular, cyclical, and ad hoc reporting.· Performs research, analyses reports, and creates statistical models for presentation/review.· Summarizes findings and communicates results to management.· Identifies operational inadequacies and uses various skills and resources to retool processes.· Communicates with other areas regarding outcomes and reporting.Experience:· 2 years of reporting and data analysis work experience OR 4 years reporting and data analysis experience.Skills:· Knowledge of relevant computer support systems.· Microsoft Office. Ability to acquire programming skills across various software platforms.· Preferred Skills and Abilities: Ability to acquire or knowledge of ICD9/CPT4 coding.· Preferred Software and Other Tools: SAS and/or DB2, or another relational database.Education· Bachelor's degree Statistics, Computer Science, Mathematics, Business, Healthcare, or another related field.About US Tech Solutions:US Tech Solutions is a global staff augmentation firm providing a wide range of talent on-demand and total workforce solutions. To know more about US Tech Solutions, please visit www.ustechsolutions.com.Recruiter Details:Name: PreronaEmail: Prerona.m@ustechsolutionsinc.comInternal Id: 24-09592
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Analyst,Business Consulting and Services
Azure Data Engineer,Robert Half,"Greenville, SC",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/azure-data-engineer-at-robert-half-3909043037?position=7&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=oV1ZhLpG5xyQOvmOXFpAIg%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionOur client is looking for an experienced Azure Data Engineer to join their team and help build and maintain the modern data platform on Azure. As an Azure Data Engineer, you will be expected to contribute to all stages of the data lifecycle, including data ingestion, modeling, profiling, quality, transformation, movement, and curation.ResponsibilitiesDesign, implement, and support on-premise and cloud-based data infrastructure that is resilient to disruptions and failures.Design and implement data acquisition, curation and consumption pipelines using Azure technologies including Azure Synapse, Azure ADLS, and Azure SQL.Migrate on-premise data stores to the Azure cloud.Optimize and expand data pipelines for performance and scalability.Monitor and troubleshoot data pipelines within Azure Synapse. Participate in designing and building Azure data platforms supporting both batch and real-time (event-based) architecture.Collaborate with data scientists to design and implement machine learning models using Azure Synapse and Azure Machine Learning. Participate in driving best practices around data engineering and software development processes. Have familiarity with the technology stack available in the industry for metadata management, including Data Governance, Data Quality, MDM, Lineage, and Data Catalog.RequirementsRequired Qualifications: Bachelor’s degree in Computer Science or a related discipline preferred, or equivalent education/professional work experience. Technical training and certifications related to the role are highly preferred. Proven experience as a Data Engineer, with a strong background in data infrastructure design and implementation.Hands on experience with implementing analytics solutions using Azure cloud technologies, including Azure ADLS Gen 2, Azure Data Factory, Azure Synapse Analytics, and Azure SQL Database. Experience designing, building, and maintaining ETL/ELT data pipelines. Experience with leveraging, designing, and building database schemas on SQL Server dbms. Experience with designing data lakes and data warehouses using cloud technologies. Experience working with large datasets, data lakes, and big data technologies. Experience using Git and Azure DevOps pipelines for deployment automation of data solutions. Experience working in an agile development environment. Excellent problem-solving skills and attention to detail. Ability to work independently and as part of a team. Demonstrates strong communication and interpersonal skills. Demonstrates the ability, desire, and focus to meet deadlines. Demonstrates organizational skills while working on multiple projects, and communicates effectively within the team. Desired QualificationsMinimum of 4 year’s hands on experienceFamiliarity with metadata management tools and practices.Understanding of data and query optimization, and query performance monitoring tools and techniques.Experience with Python and Spark, Azure Logic Apps, Machine Learning, and Data Bricks. Experience with cloud infrastructure services such as Azure AD, Azure Kubernetes, Azure Networking, Azure Virtual Machines, and Azure Security. Technology Doesn't Change the World, People Do.®Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go.All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit© 2024 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to
        ","
            Over 200 applicants
          ",Entry level,Contract,Information Technology,Staffing and Recruiting
Data Analyst,Altum Solutions,"Columbia, South Carolina Metropolitan Area",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-altum-solutions-3904966927?position=8&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=ItNv8zBBhnU%2B1dUfixQLWQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Title: Data Analyst ILocation: Columbia, SC (on-site, must be local)Duration: 5/6/24-5/2/25 with potential extension/conversionRate: $33/hrJob Overview:We are currently seeking a meticulous Analyst, Data I, for our team based in Columbia, South Carolina. The role entails maintaining databases, extracting and analyzing data, and improving operational reporting processes. Candidates should possess robust analytical abilities and familiarity with Microsoft Office and relational databases. This full-time position provides a competitive benefits package and ample opportunities for professional growth in a dynamic setting.Key Responsibilities:Data Extraction and Reporting (30%): Extract data from multiple systems for regular and ad hoc reports. Utilize various data manipulation techniques.Research and Analysis (30%): Perform detailed research, analyze reports, create statistical models, and communicate findings to management.Process Improvement (30%): Identify inefficiencies in operational processes and employ skills to redesign and enhance these procedures.Communication (10%): Liaise with different departments to discuss outcomes and reporting needs.Skills and Qualifications:Required Education: Bachelor’s degree in Statistics, Computer Science, Mathematics, Business, Healthcare, or a related field; OR a 2-year degree in a related field plus 2 years of reporting and data analysis work experience; OR 4 years of related experience.Required Skills: Strong organizational, customer service, and analytical abilities. Proficient in Microsoft Office and capable of learning new software platforms.Preferred Skills: Experience with SAS and/or DB2, negotiation skills, and familiarity with ICD9/CPT4 coding.Additional Requirements:Fluent in English with excellent ability to read, write, and speak.Familiarity with “Lean Management” and “Six Sigma” methodologies.Proficient in creating value stream maps and using Microsoft Visio.Eligibility for C2 clearance is required. The role is onsite.Schedule:Hours per week: 40Hours per day: 8Start Date: 5/6/23
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Analyst,IT System Data Services
Data Engineer I/Analytics - Information Solutions,MUSC Health,"Charleston, SC",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-i-analytics-information-solutions-at-musc-health-3896633610?position=9&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=YBPXdnGH0VMT8643mMJFeQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryThe Data Engineer I reports to the Manager of Analytics in support of MUSC’s academic, research and healthcare missions. Under direct supervision, the Data Analyst I provides a variety of operational, consultative and collaborative functions within Information Solutions. This position assists with the implementation and maintenance of the analytics program supporting decision making, strategy, performance improvement, and other key operational goals through valid, relevant, and quality decision support reports, dashboards, and other analytic tools. Provides proactive and reactive support while maintaining a professional attitude and exhibiting good customer service skills. Maintains professional standards and exhibits excellent customer service skills while performing assigned tasks.EntityMedical University Hospital Authority (MUHA)Worker TypeEmployeeWorker Sub-Type RegularCost CenterCC002338 SYS - Office Of Chief Analytics OfficerPay Rate TypeSalaryPay GradeHealth-27Scheduled Weekly Hours40Work ShiftDay (United States of America)Job DescriptionThe Data Engineer I reports to the Manager of Analytics in support of MUSC’s academic, research and healthcare missions. Under direct supervision, the Data Analyst I provides a variety of operational, consultative and collaborative functions within Information Solutions. This position assists with the implementation and maintenance of the analytics program supporting decision making, strategy, performance improvement, and other key operational goals through valid, relevant, and quality decision support reports, dashboards, and other analytic tools. Provides proactive and reactive support while maintaining a professional attitude and exhibiting good customer service skills. Maintains professional standards and exhibits excellent customer service skills while performing assigned tasks.Education/SkillsA high school diploma and two years directly related experience; or a bachelor’s degree in a related field. Must possess good communication and customer service skills. Must be able to demonstrate skills in framing analytic problems, identifying key stakeholders, acquiring and preparing data, selecting and applying analytic tools, and producing actionable results.Additional Job DescriptionRequired Education/Skills:A high school diploma and two years directly related experience; or a bachelor’s degree in a related field. Must possess good communication and customer service skills. Must be able to demonstrate skills in framing analytic problems, identifying key stakeholders, acquiring and preparing data, selecting and applying analytic tools, and producing actionable results.If you like working with energetic enthusiastic individuals, you will enjoy your career with us!The Medical University of South Carolina is an Equal Opportunity Employer. MUSC does not discriminate on the basis of race, color, religion or belief, age, sex, national origin, gender identity, sexual orientation, disability, protected veteran status, family or parental status, or any other status protected by state laws and/or federal regulations. All qualified applicants are encouraged to apply and will receive consideration for employment based upon applicable qualifications, merit and business need.Medical University of South Carolina participates in the federal E-Verify program to confirm the identity and employment authorization of all newly hired employees. For further information about the E-Verify program, please click here: http://www.uscis.gov/e-verify/employees
        ","
          145 applicants
        ",Entry level,Full-time,Information Technology,Hospitals and Health Care
System Engineer,Robert Half,"Columbia, South Carolina Metropolitan Area",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/system-engineer-at-robert-half-3890859774?position=10&pageNum=0&refId=9QpACqvBYy9Hf7WJX7OjLA%3D%3D&trackingId=xNTJxrf3JRnxazZUtQvzaA%3D%3D&trk=public_jobs_jserp-result_search-card,"
The ideal candidate will help build, maintain, and troubleshoot, the company's rapidly expanding infrastructure. They will work alongside other engineers to ensure highest levels of performance and ability, and manage any problems that arise. Responsibilities:Manage and monitor all installed systems and infrastructure, ensuring optimal performance and availability.Install, configure, test, and maintain operating systems, software applications, and system management tools.Proactively identify and troubleshoot system issues, minimizing downtime and resolving problems efficiently.Implement and maintain robust security measures to safeguard systems and data integrity.Develop and maintain backup and disaster recovery plans to ensure business continuity.Automate routine tasks using scripting languages to improve efficiency and reduce manual intervention.Collaborate with internal stakeholders, including developers, network engineers, and end-users, to understand their needs and provide technical support.Document system configurations, procedures, and solutions for future reference and knowledge sharing.Stay up-to-date on emerging technologies and industry best practices to optimize systems and implement innovative solutions.Qualifications:Bachelor's degree in Computer Science, Information Technology, or a related technical field (preferred).Minimum of 4 years of experience in a systems engineering role.Strong understanding of networking concepts, operating systems (Windows, Linux), and virtualization technologies.Proven experience in troubleshooting and resolving complex technical issues.Excellent analytical and problem-solving skills.Effective communication, collaboration, and interpersonal skills.Ability to work independently and manage multiple tasks in a fast-paced environment.Strong attention to detail and a commitment to accuracy.Proficiency in scripting languages (e.g., Python, PowerShell) is a plus.
","
          87 applicants
        ",Mid-Senior level,Full-time,Information Technology,Manufacturing
