title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,"Omnitech, Inc","Sioux Falls, SD",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-omnitech-inc-3896104729?position=1&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=YpH0cXLlT0LMgE4ChePifw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionDescription:POSITION/JOB TITLE: Data EngineerDEPARTMENT: EngineeringREQUIREMENTS: Qualified candidates must be legally authorized to be employed in the United States on a full-time basis for any position. Omnitech will not provide sponsorship for employment visa status (e.g., H-1B or TN status) for this position.***Onsite position, NO remote. ****Do you have a data-driven, engineering mind and a consulting-type personality?Omnitech is an established, locally owned software engineering firm that specializes in helping businesses create and fulfill opportunities through custom technology solutions. We are a Microsoft Partner that values a community of mentors to cultivate skills and interests that are in line with our client’s needs. We understand that the journey to the solution can be just as important as the destination – for both clients and our engineers.As a Data Engineer at Omnitech, you would qualify for multiple labels including business intelligence consultant, data warehouse consultant, data acquisition (ETL) consultant, database administrator consultant, master data management consultant, data analyst, data architect, data scientist to name a few. We don’t believe in narrowly defined labels and hierarchy. We believe in helping people solve problems.DESIRED SKILLS: (The applicable candidate must possess a number of the following.)Strong T-SQL skills SQL Server design and development experience Understanding of data profiling techniques Understanding of performance optimization, data warehousing, cube architectureUnderstanding of common data extraction techniques across a diverse set of sources including structured and non-structured data Experience with data cleansing and conforming techniques Develop standards and best practices to ensure data standardization and consistency as required Strong experience with dimensional modeling, star schema and Kimball Data Warehouse methodologies Design and develop data warehousing solutions for clients across a variety of industries and business sizes utilizing Microsoft's SQL Server Platform Perform the role of subject matter expert for Microsoft Business Intelligence technologies including SQL Server and Analysis Services Knowledge of Multidimensional Expression (MDX) and Data Analysis Expressions (DAX) languages Familiarity with managing dimensional attribute history through Slowly Changing Dimension (SCD) concepts Working knowledge of ETL change detection solutions such as change data capture (CDC) Experience with Big Data technology a plus Understanding of SQL Server FastTrack and/or Parallel Data Warehouse Familiarity with storage technologies (e.g. SAN, NAS, etc.) a plus Translate business requirements and technical designs into well-developed solutions that meet client business goals Ability to explain the pros and cons of architectural decisions Evaluate and recommend new technologies as required Design and implement technology best practices, guidelines and repeatable processes Provide technical assistance and cross training to other team members and clients Participate in the business intelligence community to promote the use of the Microsoft BI platform and general data warehousing best practices Assist in pre-sales, scoping and requirements gathering process Ability to work closely with other project team members such as sales analysts, project managers, and software engineers REQUIREMENTS:3 years Data experience A Bachelor’s Degree in engineering, computer science, physics, mathematics, or similar analytical degree T-SQL, SQL Server, SSIS, SSRS, SSAS Desire for continuous learning and to pursue professional certifications Proven ability to consult and mentor otherBENEFITS AND PERKS:Competitive salary with annual reviewsPaid Time Off and Paid HolidaysInsurance options include Health, Vision, and Supplemental OptionsEmployer-paid Dental, Short-Term and Long-Term DisabilitySafe Harbor 401(k) with company matchProfessionally drafted basic Will Dependent Care Flex AccountsEmployee Assistance Program (EAP)Food, snacks, drinksTuition reimbursementPERSONAL CHARACTERISTICS:Excellent communication, presentation, and interpersonal skills, confident with customers Detail oriented, well-organized and excellent ability to multi-task Energetic, comfortable working in a fast-paced environment Hard-working and motivated, able to take initiative and meet deadlines Comfortable working in a team-based environment A hands-on attitude in a friendly work environment. Qualified candidates must be legally authorized to be employed in the United States on a full-time basis for any position. Omnitech will not provide sponsorship for employment visa status (e.g., H-1B or TN status) for this position.If you excel in a team centric learning environment and you’re passionate about technology, please apply.Requirements:
        ","
          43 applicants
        ",Entry level,Full-time,Information Technology,Information Technology & Services
Associate Data Engineer,Harris Computer,"South Dakota, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909357246?position=2&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=qim0oaW1ltPY4ErHaGp7TA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Data Analyst,InfoVision Inc.,"South Dakota, United States",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-infovision-inc-3891069941?position=3&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=Q%2BIHe7lRKn3kvXk3XLvx3g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Data AnalystDakota Dunes, SDEntry Level SQL, Run SQL The queries. Client is using ThoughtspotUnderstanding of Dashbord and Proficient in Microsoft Office and excel Please share your profile to Lokesh.Kumar@infovision.com or reach me on 619 771 1188.
","
            Over 200 applicants
          ",Entry level,Contract,Information Technology,Telecommunications
Data Analyst,First PREMIER Bank/PREMIER Bankcard,"Sioux Falls, SD",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-first-premier-bank-premier-bankcard-3912368385?position=4&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=NPYOSjrJ8qNVf52cC6RSbg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          7bced6be-528b-4c26-bc4a-d525ddbb0ac9Location: Sioux Falls, South DakotaShift: Monday - Friday 8:00 a.m. - 5:00 p.m.Job Status: Full-TimeCompany: PREMIER BankcardAbout The RoleResponsible for the completion of analytically driven actionable insights and the tracking/reporting processes within an analytics team, completing tasks/analyses in support of all assigned Operational Areas.This position is an on-site opportunity at our PREMIER Bankcard location in Sioux Falls, South Dakota.Job Duties And ResponsibilitiesSupports the team with assisting in providing actionable data and insights business leaders can leverage in any management decision.Helps evaluate credit card operational activities for opportunities to improve overall general business operations.Must interpret links between data being pulled and the impact on the department and/or overall business.Monitor calculated metrics and assess if they are accurate.Modify or write SQL queries for Power BI reporting or analytics.Translate large raw data sets into easy-to-understand visual representations that display facts, patterns, and other relevant information. This could include dashboards, reports, charts, graphs, infographics, or visual presentations.Understand basic data and data structures, and query and interpret data to understand and improve business functions.Duties include compilation of application data, portfolio statistical data, and performance data from multiple sources to provide management insights.Accomplish daily tasks carefully and thoroughly, with questions asked to ensure that the job is done correctly.Must be able to fulfill the responsibilities of the position with Management oversight; assess priorities and changing needs, and coordinate with others accordingly.Communicating and clarifying with business areas to determine/identify reporting needs and business/customer requirements that are related to the long/short-term goals of the business.Effectively communicate and interact with colleagues at all levels.Present relevant insights to management clearlySkills And QualificationsPreferred minimum requirements include a bachelor’s degree in data science/Analytics or a related field (i.e. Business), or 1-2 years of practical business experience in financial services with preference given to experience in consumer finance. The ideal candidate would possess actionable understanding of credit card systems. Combination of education/experience that would enable incumbent to meet essential functions and required competencies of the position would be considered for the right candidate. Basic coding of SQL experience is preferred and Power BI or equivalent (Tableau) experience is preferred. Advanced PC skills, including proficiency with Excel, Word. Proficiency in the English language. Strong verbal and written communication skills with the ability to effectively communicate across all levels of the organization including colleagues. Ability to concentrate and work independently. Attention to detail, analytical, organizational, multi-tasking, and problem-solving skills. Capacity to learn, adapt to change, and become proficient quickly. Ability to handle stress, exercise self-control, adhere to company policies and procedures, and uphold The PREMIER Way. Competitive Benefits PackageFull medical benefits when working 20+ hours per weekTraditional and High Deductible health plan options availableFREE dental and vision coverageGenerous Paid Time Off plans401(k) – dollar-for-dollar match up to 5% of total compensationSpecial discounts and offers for events at the Denny Sanford PREMIER CenterPREMIER Wellness ProgramPaid Community Volunteer Hours – PREMIER averages 30,000 hours per yearFun Employee PartiesOur CultureEmphasis on personal success, respect, health, wellness, fun and giving backEmployees are rewarded, valued, and celebrated for hard workVarious Career advancement opportunities and growthAppreciation is shown through concerts, outdoor bashes, cash, car giveaways and more
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Quality Assurance,Financial Services
Energy Systems Data Analyst,CLEAResult,"South Dakota, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/energy-systems-data-analyst-at-clearesult-3908290832?position=5&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=0DJTTunvopW0do9ovHCwZw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryAt CLEAResult, we lead the transition to a sustainable, equitable, and carbon-neutral energy-efficient future for our communities and our planet. We do that by creating a people-first culture built on trust, accountability, and transparency; where every employee – regardless of position, role, or identity is treated with respect and given an equal chance to thrive.Additionally, You Will Enjoy Medical, Dental, and Vision Insurance; we also offer a company-paid health care concierge service to help navigate our health plan to make the best decisions for you and yours 401(k) with company match Paid vacation, sick, personal and parental leave time Paid Volunteer Time: giving back to our communities is important to us Employee Recognition Program – convert your recognition points into gift cards Employee Assistance Program – offers benefits to help you manage daily responsibilities Access to on-demand training courses to advance further in your careerJob DescriptionWe are looking for a talented individual…To join our team! CLEAResult’s Strategic Energy Management (SEM) team is expanding and has a new opportunity for the position of Data Analyst. As a Data Analyst, you will help support talented teams of SEM experts across the US and Canada; this position helps facilitate energy modeling and data processing for all SEM teams across North America. This role is focused on data analysis and is primarily internally facing; there will occasionally be interactions with clients and end use customers to acquire data and answer questions. The scope of this position will be the primary supporting function for the Statistical Analyst and process standardization for the international SEM program teams. Data Analysts will perform the pre- and post-modeling data review and manipulation for the Statistical Analysts, benchmarking reporting, and assisting in the development of our digital infrastructures.For this exciting career opportunity, you’re a great fit if you can… Production data manipulation and formattingAnalyzing large data sets for consistency and errorsIntegration of data into statistical software templatesCollaborate with internal and external teams to maintain database filesCollaborate with all program teams to create and maintain standardized templates for energy modeling and program dataCreate work instructions for newly created templatesFinal model and report tracking, drafting, editing, and QCData processing automationVisual basic and excel formula troubleshooting, modification, and creationSmartsheet data manipulationSharePoint experienceEnergy systems experienceEngineering background preferredSponsorship not available at this timeTarget Compensation$60,000 - $65,000 / annuallySponsorship is not available for this position.Compensation RangeCurrency Type SalaryAny offered salary is determined based on internal equity, internal salary ranges, market data/ranges, applicant’s skills and prior relevant experience, certain degrees and certifications (e.g. JD/technology), for example.Additional Job DescriptionEqual Opportunity EmployerAs an Equal Opportunity Employer, we are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant’s race, color, religion, national origin, marital status, age, sex, gender identity, sexual orientation, status as a qualified individual with a disability or protected veteran, or any other protected status.The above job description and job requirements are not intended to be all inclusive. CLEAResult retains the right to make changes or adjustments to job descriptions and/or requirements at any time without notice.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Utilities
Software Engineer,"Omnitech, Inc","Sioux Falls, SD",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-omnitech-inc-3896620733?position=6&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=l%2F9THDIJEvrHc2c3RJG%2B5g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionDescription:POSITION/JOB TITLE: Software EngineerDEPARTMENT: EngineeringREQUIREMENTS: Qualified candidates must be legally authorized to be employed in the United States on a full-time basis for any position. Omnitech will not provide sponsorship for employment visa status (e.g., H-1B or TN status) for this position.***Onsite position, NO remote. ****Do you have an engineering mind and a consulting-type personality? As a Software Engineer at Omnitech, you would be surrounded by peers invested in continuous learning, mentoring, and providing clients with solutions that propel them forward. We don’t believe in narrowly defined labels and hierarchy. We believe in helping people solve problems.Omnitech is an established, locally owned software engineering firm that specializes in helping businesses create and fulfill opportunities through custom technology solutions. We are a Microsoft Partner that values a community of mentors to cultivate skills and interests that align with our client’s needs. We understand that the journey to the solution can be just as important as the destination – for clients and our engineers.DESIRED SKILLS: (Candidate must possess a combination of the following.) Excellent analytical and problem-solving skills with the ability to think quickly and offer alternatives. Proven experience writing modern software and web applications (.NET, C#, JavaScript, etc.).  Working knowledge of agile software development, automated testing, and unit testing. Established experience with normalized database design and development.  Familiarity with cloud-based application development and infrastructure. Strong communication skills; verbal and written. Translate business requirements and technical designs into well-developed solutions that meet client business goals. Ability to work closely with other project team members such as sales analysts, project managers, and software engineers. REQUIREMENTS:  Bachelor’s Degree in engineering, computer science, physics, mathematics, or similar analytical degree plus 3-5+ years of relevant experience. Desire to continue learning and to pursue professional certifications. Proven ability and desire to consult and mentor others. PERSONAL CHARACTERISTICS:Detail-oriented, well-organized, and strong time management skills;Comfortable working in a variety of environments;Hard-working and motivated, able to take initiative and meet deadlines;Reputation for conducting yourself with honesty and integrity;Enthusiasm for mentoring, professional development, and helping others;Confidence with clients, community, and business partners;Open to new ideas and business philosophies. BENEFITS AND PERKS:Competitive salary with annual reviewsPaid Time Off and Paid HolidaysInsurance options include Health, Vision, and Supplemental OptionsEmployer-paid Dental, Short-Term and Long-Term DisabilitySafe Harbor 401(k) with company matchProfessionally drafted basic Will Dependent Care Flex AccountsEmployee Assistance Program (EAP)Food, snacks, drinksTuition reimbursementPlease apply if you excel in a team-centric learning environment and are passionate about technology.Qualified candidates must be legally authorized to be employed in the United States on a full-time basis for any position. Omnitech will not provide sponsorship for employment visa status (e.g., H-1B or TN status) for this position.Omnitech is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by law. Requirements:
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Information Technology & Services
Software Engineer,"SONIFI Solutions, Inc.","Sioux Falls, SD",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-sonifi-solutions-inc-3883672015?position=7&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=lge3RKjpf2pAgelEd6l%2FSQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
SONIFI® Solutions prides itself on being the leader in technology solutions for the hospitality and healthcare industries. Today our team is changing people's lives through memorable guest experiences - all delivered through an integrated technology and service platform. We work with global brands like AT&T, LG and Samsung and leverage technology from Google and Amazon. We are looking for a talented and motivated Software Engineer who is looking to further their technical development while working in an ever-evolving Agile environment. We need team members who like to solve problems and engineer creative products to support fast growing customer integrations and solutions. We are considering on-site as well as fully remote team members for this position so if you enjoy a casual dress working environment or are looking to work remotely this is the place for you! We work with a wide range of technical solutions such as HTML 5, Python, and JavaScript with a focus on React and Redux to name a few. Knowledge of MySQL, PostgreSQL, C/C++, and PHP are also beneficial. As part of our team you will help us drive the technology that we use to solve these problems and work with the latest TV technology and modern development tools. We use GitLab for CI, Docker to ease development, and Slack for collaboration. Our current technology includes modern web-driven interactive user interfaces, RESTful APIs, Microservices, and AWS cloud integrations, and that is just the beginning! Together, we can build your future! We offer a competitive salary and a great benefits package, which includes Health, Dental, Vision & Life Insurance, 401(k) with company match, 11 Company-paid Holidays, Paid Time Off and a variety of additional benefits! SONIFI and SONIFI Health value diversity and we are proud to be an Equal Opportunity/Affirmative Action Employer. We consider all qualified applicants for employment regardless of age, race, color, national origin, sex, religion, veteran status, disability, sexual orientation, gender identity, or any other protected status. Generally starting at $70,000.00 - $90,000.00 annually. The salary of the finalist selected for this role will be set based on a variety of factors, including but not limited to, location, experience, education, specialty, and training. This pay scale is not a promise of a particular wage. This position is also eligible for PTO, holidays, health, dental, vision, retirement plan, pet insurance, on-demand pay, and a variety of other benefits. If you require assistance in filling out our online application, due to a disability, please contact Human Resources at 605-988-1000.  For more information about Equal Employment Opportunity, please visit: https://www.eeoc.gov/.#Technical
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Engineering and Information Technology,Telecommunications
Data Entry Analyst,Randstad USA,"Sioux Falls, SD",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/data-entry-analyst-at-randstad-usa-3911932903?position=8&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=CV%2BL0RuPamL886txET08%2FA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Randstad Strategic Accounts is looking for a business professional with a knowledge and proficiency working in the banking industry. We have a role that we are looking to fill for a contract position with a top tier bank in the financial industry. If you are interested in becoming part of a team where you can contribute to drive both personal and organizational goals, this may be the right fit for you! For further information on the role, and job responsibilities, please read and apply below!salary: $14 - $17.5 per hourshift: Firstwork hours: 8 AM - 5 PMeducation: BachelorsResponsibilitiesClient Job Description: This is a Data Entry focused positionExcel familiarity will be needed, this can include any training or classesExcellent attention to detail is neededPrior financial services or prior WF would be a stronger candidateYears Of Experience RequiredAt least 6 months in a professional environmentSpecific Education/License RequirementsNo but someone comfortable with technology (Excel and Microsoft products)Preferred QualificationsAny experience meeting deadlines, working under urgencyFaster typing skills is valuableSkillsData EntryAccounting OperationsQualificationsYears of experience: 2 yearsExperience level: ExperiencedRandstad is a world leader in matching great people with great companies. Our experienced agents will listen carefully to your employment needs and then work diligently to match your skills and qualifications to the right job and company. Whether you're looking for temporary, temporary-to-permanent or permanent opportunities, no one works harder for you than Randstad.Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.At Randstad, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contact HRsupport@randstadusa.com.Pay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc. In addition, Randstad offers a comprehensive benefits package, including health, an incentive and recognition program, and 401K contribution (all benefits are based on eligibility).Applications accepted on ongoing basis until filled.
        ","
            Be among the first 25 applicants
          ",Not Applicable,Contract,Information Technology,Staffing and Recruiting
Senior Data Analyst,State of South Dakota,"Pierre, SD",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/senior-data-analyst-at-state-of-south-dakota-3901966273?position=9&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=l9hWrzIDoUdH8AuhzkLzsA%3D%3D&trk=public_jobs_jserp-result_search-card,"
PLEASE ATTACH THE ADDITIONAL REQUIREMENTS LISTED AT THE BOTTOM OF THIS PAGEJob ID: 26801Agency: Department of Social Services / Division of Medical ServicesLocation: Sioux Falls or PierreSalary: $62,305.92 - $70,074.43 annually, Depending on ExperiencePay Grade: GKClosing Date: 05/09/2024This is a Full-Time 40 Hour Weekly position with the Department of Social Services Division of Medical Services. For more information on the DSS, please visit https://dss.sd.gov .The South Dakota Department of Social Services, Division of Medical Services also known as South Dakota Medicaid plays a vital role in the healthcare of South Dakotans. The program is one of the largest healthcare insurers in South Dakota, covering approximately 122,000 individuals as of November 2023. The program primarily covers children of low‐income families including a significant percent of children in South Dakota under age one. Other individuals covered by South Dakota Medicaid include pregnant women and adults with low income, parents, and other caretaker relatives, seniors in nursing homes, and individuals with physical or developmental disabilities.DutiesSouth Dakota Medicaid is seeking a highly motivated individual to serve as a Senior Data Analyst. The position includes data analysis and reporting, outcome reporting, budget forecasting, and recommending policy changes to support high-quality data. The position will also research, recommend, and help implement new technologies to support the most effective and efficient ways to monitor, develop, and evaluate medical claims data. The desired candidate will possess a commitment to service; the ability to compile and analyze healthcare data; and the ability to utilize data for budget analysis and forecasting; work in a fast-paced environment, and the ability to draw logical conclusions based on data and present them to others in easy to digest and understandable formats. Duties of the position include:Gathering data pertaining to customer needs, and using the information to identify, predict, interpret, and evaluate the Medicaid program.Designing and implementing databases in coordination with other technology partners to support the needs of the Medicaid program.Performing root-cause analysis of data errors found during data analysis of the Medicaid program and recommending actions to ensure robust data.Acting as a key technical advisor to technology project leaders.Coordinating and facilitating meetings with subject matter experts to discuss and resolve issues related to data systems.Performing Medicaid reporting functions including analysis of claims data, preparation of Medicaid reports and statistics, and calculation of fiscal impacts.Coordinating federal data reporting including reporting on Medicaid Core Set metrics and Transformed Medicaid Statistical Information System compliance.Analyzing Medicaid data sets to recommend program enhancements and efficiencies and care management interventions. Licenses And CertificationsA bachelor's or master's degree in a relevant field is preferred. Training in a data analysis field such as Biostatistics, Financial Analysis, Epidemiology, Data Informatics, Public Health, or other related fields is also preferred.The Ideal Candidate Will Havedata analytics experience and knowledge including knowledge of SQL and Power BI;experience with machine learning techniques and other advanced statistical analyses;experience with RPAs such as Power Automate or UiPath;experience with statistical analysis languages such as R, SAS, or Python;project management and leadership skills;experience with healthcare data sets or reimbursement methodologies including MS-DRG and APC;experience with financial analysis or fraud analysis;effective verbal and written communication; androbust presentation skills.Knowledge, Skills, And Abilitieshigh attention to detail;research and analysis skills;ability to analyze and interpret data;ability to collect and run data for outcome measures, look for correlations and be able to communicate results;ability to use data to spot potential opportunities and use data for preventative measures;ability to identify, recommend, and implement process improvements and efficiencies;project management and leadership skills including managing large projects and multiple projects;ability to prepare, review, and analyze reports; andability to solve complex problems.Additional Requirements: To be considered, please attach your resume.This position is exempt from the Civil Service Act.This position is eligible for Veterans’ Preference per ARSD 55:10:02:08.The State of South Dakota does not sponsor work visas for new or existing employees. All persons hired will be required to verify identity and eligibility to work in the United States and complete an Employment Eligibility Verification, Form I-9. The State of South Dakota as an employer will be using E-Verify to complete employment eligibility verification upon hire.The State of South Dakota offers employer paid health insurance plus eleven paid holidays, generous vacation and sick leave accrual, dental, vision, and other insurance options, and retirement benefits. You can view our benefits information at https://bhr.sd.gov/job-seekers/work-for-state-government/ . This position is a member of Class A retirement under SDRS.South Dakota Bureau of Human ResourcesTelephone: 605.773.3148 Email: careers@state.sd.ushttp://bhr.sd.gov/workforus""An Equal Opportunity Employer""
        ","
          60 applicants
        ",Mid-Senior level,Full-time,Information Technology,Government Administration
Senior Software Engineer,Carsforsale.com,"Sioux Falls, SD",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/senior-software-engineer-at-carsforsale-com-3885914498?position=10&pageNum=0&refId=cjUQZ%2FUsLZjY4FpIUfBDvQ%3D%3D&trackingId=BatlgN4wc6dP1Mi0mlYd2g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job OverviewCarsforsale.com is a rapidly growing company and marketing leader in the automotive category looking to expand our engineering capabilities. The Carsforsale.com team is currently concentrated on building and scaling SaaS products that reach millions of car buyers and launching innovative web and mobile applications. We are currently looking for highly qualified, motivated Software Engineers to join this team.As Carsforsale.com continues to grow and evolve into a diversified technology company, we want to add the best people to our team! If you are looking for a fun and exciting career with an technology-driven company, this may be the opportunity that you have been looking for.What You Will DoDesign, develop and deploy web applications according to the company’s standards for software architectureWrite unit and integration tests necessary to ensure the reliability and consistency of softwareWork with product leads, software architects and project managers to implement technical solutions that meet the requirements and support documentationTroubleshoot application issues in development, test and production environmentsCreate and update technical application and project documentationWhat You Will NeedBS in Computer Science or related field (preferred)5+ years of experience in C#, Blazor, .NET technologiesStrong knowledge of CSS, HTML5, and JavaScript librariesCapacity to work with various development methodologies, including agile and waterfallIntermediate understanding of RabbitMQ (or other message queue systems), Redis, ElasticsearchExperience with Microsoft SQL Server, PostgreSQL, MySQL, MongoDB, CouchDB, etc.Ability to work independently as well as part of a teamProven experience with web services/APIsExperience with other technologies (React, Angular, Typescript) a plusStrong verbal and written communication skillsExcellent analytical and problem-solving skillsExperience with Azure CI/CD toolsExperience with Distributed Systems, SignalR, and Linux is preferredA Day in the LifeVisit our coffee shop to give your day a kick start. Choose coffee, a coffee specialty drink, an energy drink, tea, juice or soda. It’s all on the house!Take a ride down the slide to get something from our snack bar, visit the Talladega tunnel turn complete with an actual NASCAR or maybe just admire Stan the full-sized T-Rex fossilLet your ideas percolate while practicing your golf skills on one of our VirtualGreens or FullSwing virtual driving ranges. If golf isn’t your thing, play one of Mozart’s favorite games, billiards. Better yet, start a friendly shuffleboard or video game battle before you visit the Virtual Reality room to round out your afternoon.
","
          73 applicants
        ",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development and Motor Vehicle Manufacturing
