title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Software Engineer - Python/SQL,Regions Bank,"Nashville, TN",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/software-engineer-python-sql-at-regions-bank-3882398945?position=1&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=o%2BfHh4PAOTH3qSD4NuZAfw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Thank you for your interest in a career at Regions. At Regions, we believe associates deserve more than just a job. We believe in offering performance-driven individuals a place where they can build a career --- a place to expect more opportunities. If you are focused on results, dedicated to quality, strength and integrity, and possess the drive to succeed, then we are your employer of choice.Regions is dedicated to taking appropriate steps to safeguard and protect private and personally identifiable information you submit. The information that you submit will be collected and reviewed by associates, consultants, and vendors of Regions in order to evaluate your qualifications and experience for job opportunities and will not be used for marketing purposes, sold, or shared outside of Regions unless required by law. Such information will be stored in accordance with regulatory requirements and in conjunction with Regions’ Retention Schedule for a minimum of three years. You may review, modify, or update your information by visiting and logging into the careers section of the system.Job DescriptionAt Regions, the Software Engineer oversees application development, modification, and maintenance of applications. This position monitors system applications, ensures systems run smoothly, and creates reports and other documentation outlining findings/solutions. This position sits within Regions' Technology department.Primary ResponsibilitiesAssists with the development and installation of new hardware and softwareInstalls and configures systems and other softwareTests installed software for malfunction detectionIdentifies and resolves business systems issuesDesigns and deploys new applications and enhancements to existing applications, software, and operation systemsMeasures effectiveness and efficiency of existing systemsDevelops and implements strategies to improve systemsMonitors and tests system performancePerforms work with some independence of thought, but refers more complex problems to senior associates or supervisor/managerThis position is exempt from timekeeping requirements under the Fair Labor Standards Act and is not eligible for overtime pay.RequirementsBachelor's degree in Computer Science, Computer Engineering or a related fieldThree (3) years of experienceSkills And CompetenciesAbility to collaborate with programmers, developers, and other technology professionals to achieve a common objectiveAbility to conduct system analysis to detect issues with performanceAbility to develop and implement technology solutions to resolve technical challengesAbility to manage multiple projects simultaneouslyIntermediate executional capabilitiesKnowledge of software testing techniques, code optimization and software debuggingStrong communication, analytical and problem-solving skillsUnderstanding of software structures, hardware, computing systems and how to integrate themAdditional Job DetailsStrong experience with Python development Strong database skills utilizing SQL & PySpark Good experience with REST APICI/CD experience with Docker and OpenShiftNice-To-HaveCloud experience with AWSSnowflake and Kafka experienceThis position must be within a reasonable driving distance to a Branch, Consumer Operations, or Professional Office Building with the location being for Birmingham, AL, Nashville, TN, Atlanta, GA, Charlotte, NC, Dallas TX, Houston TX, Orlando FL, and Tampa FL. Regions will not provide relocation assistance for this position, and relocation would be at your expense. Exceptions to the geographic location requirement may be made for current Regions associates who work remotely.Position TypeFull timeCompensation DetailsPay ranges are job specific and are provided as a point-of-market reference for compensation decisions. Other factors which directly impact pay for individual associates include: experience, skills, knowledge, contribution, job location and, most importantly, performance in the job role. As these factors vary by individuals, pay will also vary among individual associates within the same job.The target information listed below is based on the Metropolitan Statistical Area Market Range for where the position is located and level of the position.MinimumJob Range Target:$80,831.20 USDMedian$109,680.00 USDIncentive Pay PlansThis job is not incentive eligible.Benefits InformationRegions offers a benefits package that is flexible, comprehensive and recognizes that ""one size does not fit all"" for benefits-eligible associates. Listed below is a synopsis of the benefits offered by Regions for informational purposes, which is not intended to be a complete summary of plan terms and conditions.Paid Vacation/Sick Time401K with Company MatchMedical, Dental and Vision BenefitsDisability BenefitsHealth Savings AccountFlexible Spending AccountLife InsuranceParental LeaveEmployee Assistance ProgramAssociate Volunteer ProgramPlease note, benefits and plans may be changed, amended, or terminated with respect to all or any class of associate at any time. To learn more about Regions’ benefits, please click or copy the link below to your browser.https://www.regions.com/welcometour/benefits.rfLocation DetailsAtlanta MidtownLocation:Atlanta, GeorgiaBring Your Whole Self to WorkWe have a passion for creating an inclusive environment that promotes and values diversity of race, color, national origin, religion, age, sexual orientation, gender identity, disability, veteran status, genetic information, sex, pregnancy, and many other primary and secondary dimensions that make each of us unique as individuals and provide valuable perspective that makes us a better company and employer. More importantly, we recognize that creating a workplace where everyone, regardless of background, can do their best work is the right thing to do.OFCCP Disclosure: Equal Opportunity Employer/Disabled/VeteransJob applications at Regions are accepted electronically through our career site for a minimum of five business days from the date of posting. Job postings for higher-volume positions may remain active for longer than the minimum period due to business need and may be closed at any time thereafter at the discretion of the company.
        ","
          45 applicants
        ",Not Applicable,Full-time,Engineering and Information Technology,Banking
Data Engineer,Smith Hanley Associates,Nashville Metropolitan Area,2024-04-05,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-smith-hanley-associates-3884256783?position=2&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=SU%2FFQAJU3qQpt0jB1ILMTg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Title: Data EngineerLocation Tullahoma, TNSalary: $120,000 - 140,000 Contact: Paul Chatlos, pchatlos@smithhanley.comExcellent opportunity for a Data Engineer to help in a digital transformation within the aerospace industryData Engineer Job Duties:-Development and implement data-engineering strategies and programs.-Utilize test data sources to optimize data analytics at company and suggest ways which insights obtained might be used to inform testing sustainment and operational strategies.-Automate manual processes, optimizing data delivery, re-designing infrastructure for greater scalability.-Utilize machine learning tools to select features, create, and optimize classifiers. -Define & develop approaches and demonstrate abilities to mine and analyze data from databases to drive optimization and improvement of data collected at company-Identify and assess the effectiveness of data engineering, data sources and data gathering techniques.-Utilize applicable experience in ""big data"", analytics, algorithmic, custom data models, algorithms and/or machine learning approaches to help extract data that will help drive engineering decisions.-Coordinate with different multidisciplinary teams to implement models and monitor outcomes.-Define & develop processes and tools to monitor and analyze model performance and data accuracy.-Define & develop the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and 'big data' technologies.-It is a condition of employment to wear company issued PPE (Personal Protective Equipment) in accordance with supervisory direction and company policy. -Identify and complete projects associated to data-engineering. -Performs other related duties as required.Data Engineer Basic Qualifications:-B.S. in Computer Science, Statistics, Mathematics, Engineering or another relevant engineering field from an accredited university program plus a minimum of 6 to 14 years of progressive and relevant experience.-Current U.S. Citizenship is required.Data Engineer Preferred Qualifications-Master's or PhD degree in Computer Science, Statistics, Mathematics, Physics, Engineering or another relevant engineering field from an accredited university program. -Experience with development lifecycle methodologies such as Agile DevSecOps. -Experience with data scripting language software like Python, Java, C++, or Ruby and SQL. -Experience with data extraction tools and processes, data ingestion, ETL, data mining, API's and data warehousing. -Demonstrated experience in a data engineering role. -Experience working with and creating data architectures.-Knowledge of a variety of machine learning techniques and their real-world advantages/drawbacks.-Coding knowledge and experience with multiple languages
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Information Technology, Consulting, and Analyst","Military and International Affairs, Government Relations Services, and Aviation and Aerospace Component Manufacturing"
Data Engineer,Tennessee Titans,"Nashville, TN",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-tennessee-titans-3906648582?position=3&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=E%2B4Szf4ICgiIw7GfTvEuAg%3D%3D&trk=public_jobs_jserp-result_search-card,"
The Tennessee Titans strive to be an ELITE franchise in the National Football League, excelling both on and off the field. Our mission is to win, serve, and entertain our fans, community and one another by living through our values in everything we do. We value Excellence, Leadership, Improvement, Teamwork, and Execution.The Tennessee Titans are looking to add a Data Engineer to their Football Technology Team. As a Data Engineer, you will play a crucial role in the development and maintenance of the data infrastructure used to support football decision makers. You will work with both software developers and analysts to provide accurate and meaningful data insights. The ideal candidate will have experience developing efficient, scalable data pipelines, connecting data to various stakeholders across the organization. The team is looking for a self-starter who is motivated to work in a fast paced, evolving environment.Responsibilities:Data Pipeline Development:Participate in the design, construction, and upkeep of scalable data pipelines using ETL tools and best practices.Collaborate closely with the team to optimize and improve data ingestion and processing tasks.Database Management and WarehousingProvide support for application databases to ensure high performance and responsiveness.Assist with database schema design and optimization to enhance application performance and provide clean data to analysts.Contribute to the development and maintenance of the data warehouse architecture.Ensure data is structured and stored in an accessible, reliable, and efficient manner.API Integration:Develop and integrate APIs for fetching and transmitting data to external systems.Collaborate with application developers to ensure seamless data exchange between systems.Data Quality and Compliance:Monitor data quality, ensuring consistency, accuracy, and reliability.Adhere to data governance standards and compliance requirements.Collaboration and Communication:Collaborate with other data professionals and cross-functional teams.Effectively communicate complex technical concepts to non-technical stakeholders.Qualifications:A Bachelor’s degree in computer science, data science, or a related field is required, or equivalent demonstrated experience.Experience within SQL and Data Warehouses.Proficiency in MS Azure and Cloud-Based Architecture.Building API integrations with C#, Python or preferred language.Version control.Familiarity with Tableau for basic reporting.Analytical and quantitative skills.Effective communication skills.Problem-solving and troubleshooting abilities.NO PHONE CALLS OR EMAILS, PLEASE. Unfortunately, we are unable to update candidates on the status of their applications. Those selected for further consideration will be contacted by someone from the Tennessee Titans.
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,"Analyst, Engineering, and Information Technology",Spectator Sports
Data Engineer - ETL,Cellular Sales,"Knoxville, TN",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/data-engineer-etl-at-cellular-sales-3902427284?position=4&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=1fndfMM8mImJ2HOZ6HAcYA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Cellular Sales Data Engineer - ETLAt Cellular Sales, we connect our customers with Verizon, the network more people rely on. We strive to bring people together through technology and work towards great accessibility today and every day. As a trusted partner of Verizon, we share their mission: to give humans the ability to do more in this world. We create the connections that turn innovative ideas into reality.Do you have experience working with relational databases using ETL tools? Can you design and load data patterns? Do you thrive working in a collaborative environment helping to influence company strategy?If so, we would love to talk with you!Data Engineer position will be responsible for implementing tactical ETL processes in order to consume data from various sources, using Informatica as the primary toolset. This position will be responsible for collaboration with the rest of the ETL team to facilitate the growth of the enterprise data warehouse as well as developing ETL solutions for various applications.What We Need From You Aid in solving production support issues as they should arise.  Aid team members in SQL/Query performance tuning.  Aid in developing solutions in a high demand environment and provide hands on guidance to other team members.  Understand data warehouse concepts and structure as well as best practices for maximum performance.  Ability to troubleshoot others' SQL code and workflow errors  Proficiency in ETL Tools  Engineer high quality, scalable, ETL workflows.  Document workflows and database structures. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.What We Provide A collaborative working environment encouraging input from team members.  Strong commitment to the success of the employees and the business.  Support from the team, tools and systems.  Ability to build strong relationships throughout the organization. Additional Benefits Health and Dental Benefits  401K with matching  On site gym  Great Culture and an inviting atmosphere
","
          120 applicants
        ",Entry level,Full-time,Information Technology,Wireless Services
Data Engineer,Stifel Financial Corp.,"Memphis, TN",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-stifel-financial-corp-3905341063?position=5&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=RZBMx6rQWw6mDDrpH%2B3kYg%3D%3D&trk=public_jobs_jserp-result_search-card,"
SummaryThe Data Engineer is responsible for designing, developing, and maintaining data pipelines and infrastructure on the AWS platform. The Data Engineer works with large volumes of data, ensuring its quality, reliability, and accessibility. Tasks may include data ingestion, transformation, storage, data sharing and consumption, and implementing data security and privacy measures. This role is crucial in enabling efficient and effective data-driven decision-making.Essential Duties & ResponsibilitiesBuild and maintain scalable and reliable data pipelines, ensuring the smooth flow of data from various sources to the desired destinations in the AWS cloud environment. Work closely with stakeholders to understand their data requirements and design data solutions that meet their needs, including understanding data models/schemas and implementing ETL (Extract, Transform, and Load) processes to transform raw data into a usable format in the destinationResponsible for monitoring and optimizing the performance of data pipelines, troubleshooting any issues that arise, and ensuring data quality and integrity. QualificationsProficient in programming languages such as Python and SQL for database querying and manipulation. Strong understanding of AWS services related to data engineering, such as Amazon S3, Amazon Redshift, Amazon Aurora Postgres, AWS Glue, AWS Lambda, AWS Step Function, AWS Lake Formation, Amazon Data Zone, Amazon Kinesis, MSK, and Amazon EMR. Knowledge of database design principles and experience with database management systems. Experience with data storage technologies like relational databases (e.g., SQL Server, PostgreSQL) and distributed storage systems (e.g., PySpark). Understanding of Extract, Transform, Load (ETL) processes and experience with ETL tools like AWS Glue and SQL Server Integration Services is essential and should be skilled at integrating disparate data sources and ensuring data quality and consistency. Understanding and experience with orchestration tools like Apache Airflow, AWS Glue Workflows, AWS Step Functions, and notification services. Familiarity with IAC such as Terraform, git, and DevOps pipelines. Strong analytical thinking and problem-solving abilities are essential to identify and resolve data-related issues effectively, with the ability to analyze complex data sets, identify patterns, and derive actionable insights. Awareness of data governance practices, data privacy regulations, and security protocols is crucial, with experience implementing data security measures and ensuring compliance with relevant standards is desirable. Education & ExperienceBachelor's Degree in Computer Science, related field, or equivalent experience. 3+ years of post-Bachelor progressive experience in data engineering. Systems & Technology Proficient in the following computer languages:PythonSQLAWS technologies to include:GlueS3RedshiftLambdaLake FormationDataZoneAbout StifelStifel is a more than 130 years old and still thinking like a start-up. We are a global wealth management and investment banking firm serious about innovation and fresh ideas. Built on a simple premise of safeguarding our clients’ money as if it were our own, coined by our namesake, Herman Stifel, our success is intimately tied to our commitment to helping families, companies, and municipalities find their own success.While our headquarters is in St. Louis, we have offices in New York, San Francisco, Baltimore, London, Frankfurt, Toronto, and more than 400 other locations. Stifel is home to approximately 9,000 individuals who are currently building their careers as financial advisors, research analysts, project managers, marketing specialists, developers, bankers, operations associates, among hundreds more. Let’s talk about how you can find your place here at Stifel, where success meets success.At Stifel we offer an entrepreneurial environment, comprehensive benefits package to include health, dental and vision care, 401k, wellness initiatives, life insurance, and paid time off.Stifel is an Equal Opportunity Employer.
","
            Over 200 applicants
          ",Entry level,Full-time,Information Technology,Financial Services
Junior Data Analyst/Engineer,SynergisticIT,"Nashville, TN",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/junior-data-analyst-engineer-at-synergisticit-3900988944?position=6&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=fo57tWY6wHT6Gsl4Wn1dwA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Since 2010 Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a tech Job we make careers.In this market also we have been able to help our candidates get multiple job offers and $100k + salaries. please check the below links to see the success outcomes of our candidates  our participation at different Tech industry events and how we are different from other organizations in helping Jobseekers secure Tech careers https://www.synergisticit.com/candidate-outcomes/ https://reg.rf.oracle.com/flow/oracle/cwoh23/OCWExhibitorCatalog/page/OCWexhibitorcatalog We regularly interact with the Top Tech companies to give our candidates a competitive advantage see us exhibiting at Oracle Cloud World/Oracle Java One (Las Vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023 All Positions are open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like  Apple, Google, Paypal, Western Union, Client, visa, Walmart lab s etc to name a few.We have an excellent reputation with the clients. Currently, We are looking for  entry-level software programmers, Java full-stack developers, Python/Java developers, Data analysts/ Data Scientists, and Machine Learning engineers for full-time positions with clients.Who Should Apply Recent Computer Science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in the Tech Industry? We assist in filing for STEM extension and also for H1b and Green card filing to Candidates  https://www.youtube.com/watch?v=OFoqPTNORew  https://www.youtube.com/watch?v=-HkNN1ag6Zk  https://www.youtube.com/watch?v=OAFOhcGy9Z8  https://youtu.be/bJJl27D8bh0  We are looking for the right matching candidates for our clients Required Skills REQUIRED SKILLS For Java /Full stack/Software Programmer  Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT  Highly motivated, self-learner, and technically inquisitive  Experience in programming language Java and understanding of the software development life cycle  Project work on the skills  Knowledge of Core Java , javascript, C++, or software programming  Spring boot, Microservices, Docker, Jenkins, and REST API experience  Excellent written and verbal communication skills  For data Science/Machine learning Positions Required Skills Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT  Project work on the technologies needed  Highly motivated, self-learner, and technically inquisitive  Experience in programming language Java and understanding of the software development life cycle  Knowledge of Statistics, SAS, Python, Computer Vision, and data visualization tools  Excellent written and verbal communication skills  Preferred skills: NLP, Text mining, Tableau, PowerBI, SAS, Tensorflow  If you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team and only connect with candidates who are matching client requirements.  No phone calls please.  Shortlisted candidates would be reached out. No third-party or agency candidates or c2c candidates
        ","
          146 applicants
        ",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
-Data Engineer,Stellent IT,"Franklin, TN",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-stellent-it-3888428437?position=7&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=TVLHl%2F6G4lZNwelL0VzA1A%3D%3D&trk=public_jobs_jserp-result_search-card,"
HIRole-Data EngineerLocation -Franklin, Tennessee (Hybrid)Mode- ContractVisa- US, GC or H4EADJob Description ::Design data structures and solutions to support transactional data processing, batch and real-time data movement, and data warehousingPerform ad-hoc query and analysis on structured and unstructured data from a variety of sourcesDevelop queries, data marts, and data files to support reporting and analytics efforts in IT and business unit customers.Recommend and implement data solutions to improve the usage of data assets across the organizationOptimize and operationalize prototype solutions developed by other team members or business analysts.Participate in the design and development of data services (REST, SOAP, etc.) as neededMap existing solutions developed in legacy technology to new architecture and implement modernized solutions in target-state technology stackPerform peer review and occasional QA support for solutions developed by other associates within the Data Management group or other functional areasInvestigate and document current data flow processes between corporate systems, business partners, and downstream data consumersCreate data models and technical metadata using modeling tools such as ER Studio or ErwinDocument and disseminate system interactions and data process flowsParticipate in the design and development of target-state analytics ecosystem using traditional and big data tools, as well as a mix of on-premises and cloud infrastructureIngest, transform, and store new sources of internal and external data to improve analytical capabilitiesPerform mapping of data sources to target data models and outputsOther Duties Assigned By ManagementQualifications and Requirements5+ years' work experience developing high-performing data systems, adhering to established best-practicesStrong SQL development skills, creating complex queries, views, and stored proceduresSolid understanding of SQL best practicesExperience interfacing with business stakeholders to understand data and analytics needs and deliver solutionsExperience with ETL tools such as SSIS, Azure Data Factory and moreExperience in a variety of data technologies such as SQL Server, DB2, MongoDBStrong experience with relational data structures, theories, principles, and practicesExperience in Agile Scrum and / or Kanban project management frameworksExperience in creating data specifications, data catalogs, and process flow diagramsGood knowledge of applicable data privacy practices and lawsExperience developing REST or SOAP services preferredExperience developing data solution in cloud infrastructures such as AWS or Azure preferredExperience working with Power BI preferredExperience working in a Dev-ops or Data-ops environment preferred
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
Data Systems Engineer,Provisions Group,Nashville Metropolitan Area,2024-04-09,On-site,,https://www.linkedin.com/jobs/view/data-systems-engineer-at-provisions-group-3887121738?position=8&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=fcvgP9ldVMkwNAufxiPv%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Overview: Responsible for effective provisioning, installation/configuration, operation, and maintenance of systems hardware and software and related infrastructure. This position requires technical research and development to enable continuing innovation. Ensures that system hardware, operating systems, software, and related procedures adhere to organizational values to enable staff, volunteers, and partners to effectively perform their business duties.The tasks involved in this position include the classification of needs, benefits, and technical strategy; research & development within the project lifecycle; technical analysis and design; and support of operations and applications staff in executing, testing, and deploying solutions.Accountable for designing, maintaining, optimizing data infrastructure, database management, data warehousing, SQL server deployment, and optimizing data pipelines utilizing Windows and Linux server environments. Responsibilities within these systems include engineering and provisioning, operations and support, maintenance, and research and development to ensure continual systems uptime and constant innovation. This position deals with a variety of problems and requires situational assessments.Specific Job Duties:Engineering solutions for various projects and operational needs.Install new and/or rebuild existing servers and configure hardware, peripherals, services, settings, directories, storage, etc. in accordance with standards and project/operational requirements.Install and configure application systems that support infrastructure and operations.Experience building out a Data Lake. Develop and maintain installation and configuration procedures.Contribute to and maintain system standards.Perform system monitoring, verify the integrity and availability of all hardware, server resources, systems and key processes, review system and application logs, and verify completion of scheduled jobs such as backups.Perform regular security monitoring, identifying and mitigating risk.Perform backup and restore operations, ensure all required file systems and system data are successfully backed up to the appropriate media and that recovery media is created, and that media is sent offsite as necessary.Provide Tier III/other support per request from various constituencies. Investigate and troubleshoot issues.Repair and recover from hardware or software failures. Coordinate and communicate with impacted constituencies.Apply OS, database server, and application patches and upgrades on a regular basis and upgrade administrative tools and utilities. Configure and/or add new services, as necessary.Maintain operational information, configuration diagramming, and record other procedures.Perform periodic performance reporting to support capacity planning.Perform ongoing performance tuning, hardware upgrades, and resource optimization as required.Interpret and/or discuss information with others which involves terminology or concepts that may not be familiar; regularly provide advice and recommend actions involving complex issues. May resolve problems within established practices.Provides occasional guidance, some of which is technical.Implementing processes and systems to monitor data quality.Analyzing and organizing raw data.Other duties as assigned. Minimum Qualifications:5+ years of experience in Information Systems. Essential Competencies (Knowledge, Skills and Abilities needed for success in the position):Microsoft SQL Server, Oracle Database, and MySQLLinux, including but not limited to CentOS and Debian distributionsAWS topologies and methodologiesMicrosoft O365, Teams, SharePoint, and Skype for BusinessPhysical storage technologies, including but not limited to Fiber Channel and iSCSI SAN, and NASWindows Server and all associated features and roles, including but not limited to IIS, DHCP, DNS, File / Print, Group Policy, and Active DirectoryFamiliar with switching and routing, including firewalls, VLANs (Virtual LAN), BGP, and VPN technologiesVirtualization, including but not limited to Microsoft Hyper-V and VMware ESXi / vCenterBackup and Recovery, including Avamar
","
          157 applicants
        ",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
"Data Engineer II, NASC Engineering",Amazon,"Nashville, TN",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/data-engineer-ii-nasc-engineering-at-amazon-3877277391?position=9&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=Pn0tDC34rpM6cpezmQrIGQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionLooking for your next challenge? North America Sort Centers (NASC) are experiencing growth and looking for a skilled, highly motivated Data Engineer to join the NASC Engineering Product, Data and Simulation (PAS) Team.The Sort Center network is the critical Middle-Mile solution in the Amazon Transportation Services (ATS) group, linking Fulfillment Centers to the Last Mile. The experience of our customers is dependent on our ability to efficiently execute volume flow through the middle-mile network.The PAS team is seeking an exceptional data engineer to join the team. This person will play a key role in providing the end-to-end engineering solutions to support key business initiatives. If you are passionate about technologies, strongly biased to go deep to find insights and build scalable real time analytical platform, relentless in ensuring quality and reliability, and feel comfortable communicating with different levels of leadership, you are the candidate we are looking for!You should have deep expertise in the , creation, management, and business use of large datasets, across a variety of data platforms. You should have excellent business and interpersonal skills to be able to work with business owners to understand data requirements, and to build to ingest the into the lake. You should be an authority at crafting, implementing, and operating stable, scalable, low cost solutions to flow from production systems into the lake. Above all you should be passionate about working with huge sets and someone who loves to bring datasets together to answer business questions and drive growth.You will develop new engineering patterns that leverage new cloud architectures, and will extend or migrate existing pipelines to the architectures as needed. You will be responsible for designing and implementing the complex pipelines in platform and other BI solutions to support the rapidly growing and dynamic business demand for , and use it to deliver the as service which will have an immediate influence on day-to-day decision making at Amazon.comKey job responsibilities Partner closely with data scientists / research scientists to build world class data solutions for complex business problems. Engage Business leaders/stakeholders to understand data challenge and drive for simplification of data availability/accessibility Lead the scalable data design engagement with technical and some non-technical stakeholders Engage non-technical stakeholders with examples to clarify solutions Monitor AWS/Redshift data pipelines and ensure compliance Design data infrastructure required for Machine Learning models and their functional workflows Using Cradle, Andes, DASboard, LMTO tools design and implement scalable solutions for predictions Manage Python, SQL, other code bases in Code.Amazon and drive compliance practices to BIEs, Data ScientistsEvangelize data management best practicesAbout The TeamNASC Engineering’s Product and Analytics Team’s sole objective is to develop tools for under the roof simulation and optimization, supporting the needs of our internal and external stakeholders (i.e. Process Design Engineering, NASC Engineering, ACES, Finance, Safety and Operations). We develop products and tools to evaluate what-if design and operations scenarios for new and existing sort centers to understand their robustness, stability, scalability, and cost-effectiveness. We conceptualize new data science solutions, using optimization and machine learning platforms, to analyze new and existing process, identify and reduce non-value added steps, and increase overall performance and rate.We are open to hiring candidates to work out of one of the following locations:Austin, TX, USA | Bellevue, WA, USA | Nashville, TN, USA | New York, NY, USABasic Qualifications 3+ years of data engineering experience Experience with data modeling, warehousing and building ETL pipelines 2+ years in the logistics or supply chain industryPreferred Qualifications Experience with AWS technologies like Redshift, S3, AWS Glue, EMR, Kinesis, FireHose, Lambda, and IAM roles and permissions Experience with non-relational databases / data stores (object storage, document or key-value stores, graph databases, column-family databases)Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $105,700/year in our lowest geographic market up to $205,600/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. This position will remain posted until filled. Applicants should apply via our internal or external career site.Company - Amazon.com Services LLCJob ID: A2571300
        ","
          45 applicants
        ",Mid-Senior level,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development
Associate Data Engineer,Harris Computer,"Tennessee, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909355524?position=10&pageNum=0&refId=MAz7I4fNB%2Bh%2FqHcuVOUrcw%3D%3D&trackingId=rkdCtoZUevPjntiHNKAEWA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
