title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Engineer,Carex Consulting Group,"Madison, WI",2024-04-04,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-carex-consulting-group-3882369781?position=1&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=%2Bhe36mPLZ8uG9E8LmTt56Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
          W2 only, no C2C, must be authorized to work in the US (both now and in the future).Carex is partnering with a Wisconsin based employer to find a Data Engineer, this a direct hire opportunity that will work in a hybrid environment in Madison, Milwaukee, or Wausau. In this role. The Data Engineer plays a pivotal role in the development and implementation of data, analytics, digital, and CRM solutions for the company. In this role you will be responsible for designing, maintaining, and optimizing the company’s data infrastructure, this role focuses on building and refining data pipelines and architectures. The primary goal is to empower the company in creating and continuously enhancing data-driven products for key stakeholders, including employees, clients, prospects, carriers, and other brokers.What you will do:Design and develop robust data architectures, encompassing data models, data flows, and storage solutions.Construct and manage data pipelines for seamless movement of data between source systems and the company’s data warehouse.Develop and execute ETL (Extract, Transform, Load) processes to ensure data cleanliness, accuracy, and readiness for analysis.Optimize data pipelines and architectures to enhance performance and scalability.Collaborate closely with business users, data scientists, and stakeholders to comprehend data requirements and design tailored solutions.Integrate new data sources to augment analytical value.Implement and enforce data governance policies, ensuring compliance with data privacy regulations.Create and maintain comprehensive documentation for data systems and processes.Continuously monitor data systems to uphold data quality and reliability.Stay abreast of the latest advancements in data engineering technologies and tools.What you will be doing:Bachelor's degree in Computer Science, Information Systems, Engineering, or equivalent.Familiarity with Kimball, Star Schema, etc.1-3+ years of experience with Cloud-based Data Warehousing platforms such as RDS, Redshift, Snowflake, etc.Proficiency in data modeling best practices.1-3+ years of experience with orchestration tools such as Dagster, Airflow, Prefect, etc.Experience with container management frameworks like Docker, Kubernetes, ECR, etc.Proficiency in CI/CD processes using tools like GitHub Actions and source control tools such as GitHub, etc.Strong coding skills in Python, Scala, and Java.Experience with dbt-core is advantageous.Knowledge of Generative AI is a plus.AWS certifications such as Cloud Practitioner, Solutions Architect, DevOps Engineer, Developer, Database, Data Analytics, Machine Learning are desirable.Fluent in relational based systems and writing complex SQLStrong analytical and problem-solving skills with ability to represent complex algorithms in softwareStrong understanding of database technologies and management systemsStrong understanding of data structures and algorithmsDatabase architecture testing methodology, including execution of test plans, debugging, and testing scripts and toolsStrong analytical and problem-solving skillsExperience building real-time streaming data pipelines and APIsCarex Consulting Group is an equal opportunity employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, marital status, disability, gender identity or Veteran status.
        ","
            Over 200 applicants
          ",Entry level,Full-time,Information Technology,Staffing and Recruiting
Data Engineer,Robert Half,"Milwaukee, WI",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/data-engineer-at-robert-half-3903812518?position=2&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=Ft64Z6FiJg94UIxQHlXHUA%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionWe are seeking a highly skilled and motivated Data Engineer to join our dynamic consulting team, Full Time Engagement Professionals. As a Data Engineer, you will play a crucial role in designing, developing, and maintaining data infrastructure solutions for our clients. Your expertise in PowerBI, Databricks, and data integration will be instrumental in driving successful data-driven decision-making processes.ResponsibilitiesCollaborate with clients to understand their data needs and requirements.Design and implement robust data pipelines and integration solutions using Databricks.Develop and maintain PowerBI reports and dashboards for effective data visualization.Optimize and troubleshoot data processing and integration issues.Ensure data quality and accuracy through thorough testing and validation processes.Work closely with cross-functional teams to gather and analyze data requirements.Stay updated on industry trends and emerging technologies related to data engineering.QualificationsBachelor's degree in Computer Science, Engineering, or a related field.Proven experience as a Data Engineer with expertise in PowerBI and Databricks.Strong proficiency in data integration techniques and tools.Solid understanding of database concepts and SQL.Familiarity with cloud platforms such as Azure or AWS.Excellent problem-solving and analytical skills.Strong communication and collaboration skills.Preferred QualificationsCertifications in PowerBI and Databricks.Experience With Other Data Visualization Tools.Knowledge of machine learning and advanced analytics.If you are passionate about leveraging data to drive business insights and thrive in a collaborative consulting environment, we invite you to apply and be a key contributor to our team's success.RequirementsMicrosoft Power BIPower BIDatabricksDatabase DevelopmentData IntegrationMicrosoft SQLMicrosoft SQL ServerDatabase engineeringTechnology Doesn't Change the World, People Do.®Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go.All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit© 2024 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to
        ","
          96 applicants
        ",Entry level,Full-time,Information Technology,Staffing and Recruiting
Data Visualization Engineer,Tempus AI,"Milwaukee, WI",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/data-visualization-engineer-at-tempus-ai-3906233152?position=3&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=mk66IRX2KWYWn6jNaYudGA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Passionate about precision medicine and advancing the healthcare industry?Recent advancements in underlying technology have finally made it possible for AI to impact clinical care in a meaningful way. Tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.With the advent of genomic sequencing, we can finally decode and process our genetic makeup. We now have more data than ever before but providers don't have the infrastructure or expertise to make sense of this data. We're on a mission to connect an entire ecosystem to redefine how genomic data is used in clinical settings.What You'll DoOwn the design, development, and administration of advanced analytics dashboards and reporting and business intelligence tools. Beginning with requirements gathering across cross-functional teams, to the delivery of analytic solutions into production.Collaborate with stakeholders, providing guidance, data, and analytical support for developing new datasets, analyses, and tools in support of strategic initiatives.Design and build data views to support advanced analytical reporting, self-service data analysis, and exploration, utilizing multiple data and visualization technologies.Work closely with technical and product teams to identify and align changes to internal systems in support of future data analysis needs and requirements.Develop and facilitate data governance initiatives to assure data integrity across distributed systems.Solve new and interesting problems.QualificationsBachelor's degree in Information Systems, Business Administration, Finance, Economics, Mathematics, Operations Research, Marketing or similar3+ years of experience developing data sets for analysis use cases3+ years of experience with direct stakeholder management and ownership of the full lifecycle of analytics/data projects and presenting analysis results to stakeholders3+ years of report development and data visualization experience with BI tools (Looker, Tableau, etc.)Ability to deliver both high-level explanations of complex problems while also able to deep dive into complex problemsAdvanced SQL skills for querying and analysis of large, complex datasetsMust work well in a team environment and be able to partner with both business and technical team members and translate technical language to the non-technical needCreative problem solver, ability to handle multiple projects, and strong work ethic neededExcellent written and verbal communication skillsHighly organized and systematic, with superb attention to detailAble to complete tasks with a high degree of accuracy and an eye toward process improvementPersistent and resilient person who thrives in a fast-paced, highly collaborative environmentBonus Points ForAdvanced analytics experience - classification/predictive modeling, optimization models, forecastingExperience with Python for data engineering or advanced data analysis projects/use casesHealthcare domain knowledge and experienceExpert knowledge of database/data modeling concepts, SQL skills, proficiency in query performance tuning, and desire to share knowledge with othersExperience with Snowflake DB or Looker AdminWe are an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
","
          84 applicants
        ",Entry level,Full-time,Information Technology,Biotechnology Research
Cloud Data Engineer,Wise Skulls,"Madison, WI",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/cloud-data-engineer-at-wise-skulls-3888453353?position=4&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=VydXu77a95eNr5gcpdtbJQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Title: Cloud Data EngineerLocation: Madison, WI (Remote)Duration: 12 MonthsImplementation Partner: InfosysEnd Client: To be disclosedJd5+ years of experience.Expert in SQLExpert in PythonGood with Cloud knowledge (GCP preferred) Experience with Terraform, GIT,Airflow or other orchestration tool
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,Staffing and Recruiting
Sr. Data Engineer,Constellation Search Group,"Milwaukee, WI",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-constellation-search-group-3887403447?position=5&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=7nW7ENfc3HhTOcARt8BXiQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Senior BI Developer/Data Engineer who will design, development, and support of data pipelines from multiple applications and sources to facilitate data analytics needs. Our team partners with Sales & Marketing, Finance, and Operations business users and data scientists to help develop data driven insights and make data-driven decisions. The Senior BI Developer works with various data and BI tools and technologies, such as Python, SQL Server, Google Big Query, Google Cloud Composer, and etc.What You'll Be DoingDevelop data pipelines from multiple sources using Python with API calls.Develop SQL code or data flow to integrate and transform data from multiple sources into useful, consistent and easily consumable data elements.Work with business analysts and business users to understand data requirements and map into easy consumable data elements.Provide ongoing enhancement and support for data pipelines in the production environment. Understand critical needs of the business, identify and fix issues with a sense of urgency.Participate in discussions on design options and approaches, propose solutions and develop the new capabilities.Perform and lead the code reviews to identify coding, process and functionality improvements.Work on troubleshooting, identifying issues and performance bottlenecks, problem solving and impact analysis.Follow the Scrum process and take ownership of Jira stories.Lead the offshore developers, provide directions and guide them with development and support processes.What You'll Need To Be SuccessfulBachelor of Science in Computer Science, Engineering or related fieldSelf-motivated with a strong work ethic, ability to work independently as well as ability to work within a teamStrong communication skills, ability to communicate well with technical and non-technical staff3+ years experience working with Python or .NET programming3+ years of experience working with ETL and SQL development3+ years of experience working with cloud data platform, GCP, Azure or AWSStrong analytical and problem solving skills including the ability to independently troubleshoot issues and determine and develop the best solution while considering all impacts to the production systemWilling to learn and able to adapt to new technologies as neededBenefitsComplete insurance coverage starting on first day of employment – medical, dental, vision, life401(k) with company matchTuition reimbursementBonus opportunityVacation and vacation pay
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Civil Engineering
Junior Software Engineer,"ITCO Solutions, Inc.","Madison, WI",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/junior-software-engineer-at-itco-solutions-inc-3908015245?position=6&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=5jKU%2F7G4ikWuWT%2F%2FB56HXA%3D%3D&trk=public_jobs_jserp-result_search-card,"
No C2C or Third party vendor. Rate - $50/hr on w2Local candidates to Madison, WI.Remote but occasional onsite. (hybrid as and when needed)Role ResponsibilitiesYou will design and implement RESTful Web Services API and algorithmsYou will produce excellent, thorough design and development documentationYou can work independently, under tight time constraints, respond to evolving requirements and strategic shifts in directionYou are familiar and comfortable with Agile/Scrum software development methodologyParticipate as a member of the development team and work well within a team environment.Perform in-depth analysis of functional or business requirements.Achieves team consent and buy-in; perceived as a positive and constructive collaborator especially in code reviews.Prepare and execute unit and integration tests.Apply advanced technical knowledge to innovate in a technology area (e.g. Java).Be able to suggest solutions and designs for complex problems.Implement end user or enterprise infrastructure or services prepared by senior technologists.Provide time / resource estimates for assigned tasks.Able to identify and debug issues with high volume traffic in a N-tiered system without direct access to the machines.Develops according to specific requirements with awareness of scalability, hardware capabilities and cross environment and platform implication.Qualifications:BS degree in Computer Science or equivalent2+ years of experience with JavaExperience developing applications on Unix/Linux platformsExperience with servlet containers (e.g., Tomcat), JAXRS, Spring, and related technologiesExperience with Agile development methodologiesExperience using source control (esp. Git) and bug tracking systems such as JIRA in a team environmentExperience in object-oriented analysis and designExperience developing web services using JSON, XML and RESTful API designExperience building scalable systems with very high levels of concurrency and transactions.Experience in building high-performance and cloud based scalable web services.Experience with design and implementation of modern web services architecture and API frameworksExperience implementing services backed by NoSQL data storesStrong understanding of engineering best practices – requirement gathering and analysis, design and develop secure and scalable code with unit tests, participate in code reviews and documentation; experience with open source based technology stackAbility to handle periodic on-call duty, and defensive engineering to minimize impactStrong ability to do root cause analysis / troubleshooting production issues in a high traffic volume environmentStrong written and verbal communication skillsHelpful but not requiredSearch, Machine Learning, Online Gaming domainsKnowledge of DevOps practices, containerization, Docker/KubernetesExperience with production monitoring tools such as Client, APM, Sensu, ExtraHopContinuous Integration/Continuous Delivery experienceCloud based software (AWS, Openstack)Experience with microservices architecture-SOA polyglot environmentExperience with eCommerceExperience with Code Pipeline/Troposphere
","
            Over 200 applicants
          ",Associate,Contract,"Engineering, Other, and Design","Computer Games, Software Development, and Technology, Information and Media"
"Azure Cloud System Engineer / Cloud System Engineer / Cloud Engineer, 24-13015","TeamBradley, Inc.","Racine, WI",2024-04-26,On-site,,https://www.linkedin.com/jobs/view/azure-cloud-system-engineer-cloud-system-engineer-cloud-engineer-24-13015-at-teambradley-inc-3846436728?position=7&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=A6xULANRM59Ft3qlLn8c8A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Azure Cloud System Engineer / Cloud System Engineer / Cloud EngineerJoin an iconic organization leading with a purpose for over a century, pioneering everyday brands recognized worldwide. Discover a gateway to innovation and excellence as an Azure Cloud System Engineer. Within a distinguished and forward-thinking organization, you'll be at the heart of transforming how brands trusted by millions orchestrate their cloud environments. This pivotal role not only promises the excitement of leading-edge cloud technologies but also the satisfaction of making a tangible impact on a global scale. Join us and be part of a team dedicated to creating a future that's brighter for our planet, future generations, and every team member.This role is in Racine, WI and is onsite.This company values your participation in person so much, they’ll pay to relocate you to the Racine area, nicely situated between Chicago, IL and Milwaukee, WI metro areas.Why You Should ApplyBe a part of an exciting journey, driving the next generation of cloud innovations on a dynamic global team working on iconic brands.This company places such a high premium on face-to-face interaction that they will offer relocation assistance for you to move to the Racine, WI area.For everyone, this company offers onsite options for work-life balance, providing an excellent cafeteria with food options from around the world and meeting a variety of dietary needs, and a fitness center, including basketball and swimming.Family-friendly, this company also has an onsite childcare option.Being onsite, you’ll be able to interact with your team – this is how this company thrives.Exciting for summer fun is - Summer ½ Day Fridays.The company is closed between Dec. 25th and New Year’s.Reap the benefits of flexible work for qualified employees.Bonuses and long-term incentives.Matching 401K contributions and an extra 5% into a retirement plan.Outstanding Benefits include.Medical plans offer different options for deductibles.Healthcare Flex AccountWellness DollarsPrescription Drug Purchase optionsVision Care InsuranceDental InsuranceDomestic Partner BenefitsMedical, Dental, Vision, Dependent Life insurance, Wellness and fitness programsMaternity/paternity/adoption leave.Vacation typically 2 weeks to startPaid sabbaticals.With a high focus on mental health, this company has always focused on the well-being of its employees.Wellness ProgramsOnsite fitness center and programsHealth assessmentsCoaching optionsLegal AssistancePet Insurance for dogs and catsCommuter expense reimbursement account.Training and more.The benefits of this company are well above the norm.What You'll Be DoingEngineering and managing our hybrid cloud environment, including Azure IaaS and Azure Arc-enabled services.Supporting the deployment and management of infrastructure as code using Terraform, PowerShell, Python, and Shell Scripting.Identifying and resolving complex cloud and on-prem based issues, ensuring high-performance and capacity management.Providing technical guidance within our cloud and on-premises platforms and contributing to strategic and budgetary planning.Working closely with business partners to enhance service delivery and develop enterprise hosting solutions.About YouBe able to do the job as described.Bachelor’s degree in Computer Science, Information Technology, Business, or a related field, or equivalent military experience.Expertise in Windows Server O/S, VMWare, and converged/HCI platforms.Strong background in engineering and supporting cloud and on-premises platforms, requiring Microsoft Azure experience.Experienced working with a company moving from on-prem to the Azure Cloud.2+ years of Azure experience.Proficient in scripting and automation tools (PowerShell, Python, Terraform).5+ years IT System Engineer experienceTo ClarifyThis is NOT a DevOps position. How To ApplyWe’d love to see your resume, but we don’t need it to have a conversation. It is as easy as one, two, three! Send an email directly to me, teambradley123 (at) gmail (dot) com and tell me why you’re the right System Engineer (On-prem to the Azure Cloud experience) for the job. Message me here on LinkedIn, if you do have a resume ready, apply now.Setting ExpectationsWe’d love to help every single person who is interested and applies to this role. Unfortunately, too many people apply who don’t appear capable of doing the job. We apologize in advance, but we will not be able to respond directly to all submissions. This client is an Equal Opportunity Employer. Our client is not considering sponsorship currently.TBI Id No: 24-13015, Azure Cloud System Engineer / Cloud System Engineer / Cloud Engineer
","
            Over 200 applicants
          ",Mid-Senior level,Full-time,Engineering and Information Technology,"Manufacturing, Personal Care Product Manufacturing, and Soap and Cleaning Product Manufacturing"
Associate Data Engineer,Harris Computer,"Wisconsin, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909357244?position=8&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=V%2BP8N2%2F5v%2F7aUXCZs%2BKQDw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
          28 applicants
        ",Mid-Senior level,Full-time,Information Technology,Software Development
Data Analyst,Rural Mutual Insurance Company,"Madison, WI",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-analyst-at-rural-mutual-insurance-company-3897312877?position=9&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=FdUGV3P57fxiApRQN5C1Ng%3D%3D&trk=public_jobs_jserp-result_search-card,"
          We are looking for a Data Analyst who will support our product, sales, leadership, and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to answer questions and provide insight into the business. They must have experience using a variety of data mining/data analysis methods, using a variety of data tools, and building and implementing visual displays and dashboards. They should have a proven ability to be part of a data development team and offer database insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.Compensation: $90,000 - $130,000 yearly BOE
        ","
            Over 200 applicants
          ",Entry level,Full-time,Information Technology,Insurance
"AWS Data Engineer (AWS Dynamo DB, Elastic Search,Kinesis)",Tata Consultancy Services,"Milwaukee, WI",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/aws-data-engineer-aws-dynamo-db-elastic-search-kinesis-at-tata-consultancy-services-3887540786?position=10&pageNum=0&refId=nxnbcmV42LvKRG0Z%2FrooGg%3D%3D&trackingId=UWxBlLUmBUF2b0pvpbrPaA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Roles & Responsibilities Should have AWS Cloud Skills in Dynamo DB, Glue, Kinesis (KDF,KDS,KMS) Should be proficient in Python,Pyspark and strong knowledge in SQL. Basics of Kafka is a plus. Should have exposure to AWS serverless service-based architecture. Should have worked on projects that involve storing data in Dynamo DB. Should have understanding and hands on in how to move data to Elastic Search index via KDS. Capable of working independently, handling multiple projects at a time, able to lead the team with good analytical, communication and organization skills.
","
          39 applicants
        ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
