title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Junior Data Analyst,Phoenix Recruitment,"Cody, WY",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/junior-data-analyst-at-phoenix-recruitment-3913369455?position=1&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=vhxUiq3rLULsn8cEvA4C0Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
- US OnlyExperience: 1+ yearsEmployment Type: Full-time, OnsiteBase Salary: $60K-$70KPhoenix Recruitment offers a variety of recruiting services to assist both employers and employees. They are specialized in marketing open positions, recruiting, and helping employers to find qualified candidates across various industries. Phoenix Recruitment has expertise in streamlining the hiring process. They can help ensure that the process is efficient, well organized, and compliant with relevant regulations.Role Responsibilities:Work in close collaboration with the Business Intelligence Lead, Federal Data Lead, and other Program teams Develop, maintain, and improve BI tools, build and enhance standard operating procedures (SOPs) Manage various data sets and active Google workbooks with adjacent contract teams, monitor and analyze financial health information at the project and program levels Communicate with client leadership to assess data needs and emerging requirements Work with large data sets, workbooks, and spreadsheets to manipulate and manage program-level information using macros, queries, scripts, etc. Gather requirements and lead the development of long-term data management tools, processes, and solutions based on organizational needs. Be comfortable working with collaboration tools such as; Google Suite, Microsoft Office Providing general support to the client including, but not limited to, analysis, data calls, financial management, risk management, audits, and project management-related tasks. Qualifications:Bachelor's Degree in business, business intelligence, data or information management, or similar. Proficient in Google Scripts Minimum 1 year of data or information management and/or data analysis experience. Experience using Microsoft Excel and Google Sheets (macros, imports, query functions). Experience with developing in Google App Script is a plus. Experience using SQL Developer is a plus. Excellent written and verbal communication skills. Willing to work in an administratively manual environment while working towards automation of processes in the future. Why Phoenix Recruitment LLC?Phoenix Recruitment often has an extensive network of employers and candidates. This network allows them to tap into a pool of qualified candidates and connect them with suitable job opportunities. They can also leverage their connections to help employers find the right talent efficiently. Outsourcing the recruitment process to a specialized agency can save you time and resources, avoid delays, reduce administrative burdens, and increase the chances of finding the right fit for your organization.
","
          40 applicants
        ",Mid-Senior level,Full-time,Information Technology,Software Development
Associate Data Engineer,Harris Computer,"Wyoming, United States",2024-04-25,On-site,,https://www.linkedin.com/jobs/view/associate-data-engineer-at-harris-computer-3909352849?position=2&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=fQcGo2GgWdENLpBq5THxDw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Associate Data Engineer role is to support and ensure the efficient operation of the company’s data process infrastructure, and providesupport efforts in data analysis, optimizing, and advancing the organization’s data platform, based on the strategic recommendations by theDirector, Data Operations and Manager (or Team Lead), Data Operations.This includes support projects, data process infrastructure performance, availability, scalability, and security. The Associate Data Analyst willalso schedule and direct activities to resolve data process infrastructure problems in a timely and accurate fashion.General ResponsibilitiesAssist in the design, development, and maintenance of data pipelines using SQL and C# programming languages.Support, refine and further develop existing ETL feeds.Monitor and maintain all data updatesDevelop database objects and scripts to load dataProvide technical documentation for data feedsEstablish and maintain consistent data element definitionsIdentify and advance opportunities to improve dataflows and supporting processesAssist in the architecture design and testing of new systemsDevelop reports for SQL reporting services as well as performing ad-hoc report requestQualificationsBachelor’s degree in a Business, Technical or other applicable discipline.1 –4 Years experience in SQL programmingBasic programming skills in C#/.NET and familiarity with its conceptsExperience using ETL tools and SSIS packagesExperience in Python is a plusExperience in supporting enterprise-class software (24 * 7 availability) is a big plusBackground in the principles of software design and implementation.Project management skills; ability to multi-taskData analysis and analytical skillsWritten and verbal communication skillsTaking the lead on cross-team projects Understanding of computer science fundamentals, as well as proficiency in a broad array of technical skills including operating systems, networking, databases, and application development.Attention to detail with the ability to manage a project and ensure everything stays on track.PCs and various software applicationsAbility to work longer hours as neededPreferred But Not Required In The FollowingExperience with Data warehouse or OLAP systemsSalary$22 - 27/hr
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Software Development
Software Engineer,Staffing Professors LLC,"Cheyenne, WY",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-staffing-professors-llc-3902734213?position=3&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=yITl1CdVMu5YjB53TSHn3Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
ResponsibilitiesGrow Your Skills, Grow Your PotentialWe are seeking SOFTWARE ENGINEERS who have working experience with Java. You will be joining a team in which collaborative self-directed individuals thrive. This engineer will be responsible for implementing complex solutions—including functional requirements, coding, support, and agile team principles and leadership. This opportunity requires application development skills, writing and collaboration, and strong communication skills.QualificationsWe are looking for candidates with:Experience with Full Stack Development (Java/J2EE, Python, JavaScript, React, Node.js, SQL, SOAP/REST, Spring Framework, Splunk, etc.)Experience with CI/CD pipelines and leveraging tools like GitLab CI/CD, Jenkins, and DockerExperience with test automation and various products (Karate, Cucumber, Codecept, etc.)Foundational knowledge of cloud technologies such as AWS with hands-on experience a plusExperience with version control tools such as GitAdditional Skills:Knowledge of agile methodologiesEnthusiasm for innovation, diversity of thought, and new ideasAbility to collaborate and build relationships locally & across locationsClear communication skills, both verbal & writtenStrong aptitude and demonstrated ability to learn new languages and frameworksPossess technical curiosity and enthusiasm to learn new technologies and follow industry best-practices and trendsQualified candidates may be considered for other positions.
","
          41 applicants
        ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Energy Systems Data Analyst,CLEAResult,"Wyoming, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/energy-systems-data-analyst-at-clearesult-3908293547?position=4&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=aZAZ%2BTyRFnNKcIfnRBcKHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Description SummaryAt CLEAResult, we lead the transition to a sustainable, equitable, and carbon-neutral energy-efficient future for our communities and our planet. We do that by creating a people-first culture built on trust, accountability, and transparency; where every employee – regardless of position, role, or identity is treated with respect and given an equal chance to thrive.Additionally, You Will Enjoy Medical, Dental, and Vision Insurance; we also offer a company-paid health care concierge service to help navigate our health plan to make the best decisions for you and yours 401(k) with company match Paid vacation, sick, personal and parental leave time Paid Volunteer Time: giving back to our communities is important to us Employee Recognition Program – convert your recognition points into gift cards Employee Assistance Program – offers benefits to help you manage daily responsibilities Access to on-demand training courses to advance further in your careerJob DescriptionWe are looking for a talented individual…To join our team! CLEAResult’s Strategic Energy Management (SEM) team is expanding and has a new opportunity for the position of Data Analyst. As a Data Analyst, you will help support talented teams of SEM experts across the US and Canada; this position helps facilitate energy modeling and data processing for all SEM teams across North America. This role is focused on data analysis and is primarily internally facing; there will occasionally be interactions with clients and end use customers to acquire data and answer questions. The scope of this position will be the primary supporting function for the Statistical Analyst and process standardization for the international SEM program teams. Data Analysts will perform the pre- and post-modeling data review and manipulation for the Statistical Analysts, benchmarking reporting, and assisting in the development of our digital infrastructures.For this exciting career opportunity, you’re a great fit if you can… Production data manipulation and formattingAnalyzing large data sets for consistency and errorsIntegration of data into statistical software templatesCollaborate with internal and external teams to maintain database filesCollaborate with all program teams to create and maintain standardized templates for energy modeling and program dataCreate work instructions for newly created templatesFinal model and report tracking, drafting, editing, and QCData processing automationVisual basic and excel formula troubleshooting, modification, and creationSmartsheet data manipulationSharePoint experienceEnergy systems experienceEngineering background preferredSponsorship not available at this timeTarget Compensation$60,000 - $65,000 / annuallySponsorship is not available for this position.Compensation RangeCurrency Type SalaryAny offered salary is determined based on internal equity, internal salary ranges, market data/ranges, applicant’s skills and prior relevant experience, certain degrees and certifications (e.g. JD/technology), for example.Additional Job DescriptionEqual Opportunity EmployerAs an Equal Opportunity Employer, we are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant’s race, color, religion, national origin, marital status, age, sex, gender identity, sexual orientation, status as a qualified individual with a disability or protected veteran, or any other protected status.The above job description and job requirements are not intended to be all inclusive. CLEAResult retains the right to make changes or adjustments to job descriptions and/or requirements at any time without notice.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Utilities
Software Engineer,Oxenham Group,"Sheridan, WY",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-oxenham-group-3905547271?position=5&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=K2HV1yLiQMsTPo9oLWlHaQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Our client has been a leading provider of innovative software solutions for the agriculture, forestry, and natural resource industries and their field workers improving operations using advanced technology, web, and mobile software solutions since 2003.Job DescriptionAs a Software Developer, you will be responsible for developing and maintaining data collection and mapping software applications and systems that are integral to our clients' success. You will work closely with our team of developers and other stakeholders to design, develop, test, and implement software applications and systems using a variety of programming languages and tools.ResponsibilitiesDesign, develop, and maintain software applications and systems using C#, JavaScript, MS SQL, SQL Server, Microsoft.NET frameworks and mobile programming languages for both Android and iOS platforms (such as Android Development Kit, Swift and Xamarin).Collaborate with team members and stakeholders to gather and analyze requirements for software development projects.Create technical specifications and design documents based on project requirements.Develop high-quality, well-documented, and efficient code that meets project specifications and adheres to industry best practices.Test, debug, and troubleshoot software applications to ensure proper functionality and performance.Collaborate with teams to identify, prioritize, and resolve software defects.Provide technical support and guidance to end-users and other stakeholders as needed.Continuously research and learn new technologies, frameworks, and best practices to stay current with industry trends and improve development skills.Participate in code reviews and provide constructive feedback to fellow developers.Contribute to the continuous improvement of software development processes and practices within an Agile team.QualificationsBachelor's degree in Software Development, Software Engineering, Computer Science, a related field, or commensurate experience.2+ years of experience in full-stack software (including front end) development, with a strong focus on C#, JavaScript, and MS SQL.Proven experience with mobile programming languages for both Android and iOS platforms (such as Java, Kotlin and Swift).Strong understanding of software development methodologies and best practices, including Agile and Scrum.Excellent problem-solving, critical thinking and communication skills.Strong verbal and written communication skills, with the ability to effectively communicate technical concepts to both technical and non-technical audiences.Demonstrated ability to work effectively in a collaborative team environment.Self-motivated and able to manage multiple projects and competing priorities.Experience with version control systems, such as Git.Familiarity with continuous integration and continuous deployment (CI/CD) processes is a plus.Familiarity with other languages and frameworks such as Python, React, Vue, and Xamarin is not required, but a plus.Familiarity with GIS software and systems is not required, but a plus.Eligibility to work in the United States without visa sponsorship.Benefits100% premium coverage of major medical; vision and dental insurance coverage401k and match contributions to your health savings accountWe also provide flexible working hours and a supportive, collaborative work environment; you will work in an office and not a cubic
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Staffing and Recruiting
Junior Data Scientist,Phoenix Recruitment,"Casper, WY",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/junior-data-scientist-at-phoenix-recruitment-3913371027?position=6&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=zc52KlMxCjzR5mfFZmcsaA%3D%3D&trk=public_jobs_jserp-result_search-card,"
- US OnlyExperience: 1+ yearsEmployment Type: Full-time, OnsiteBase Salary: $62K-$72KPhoenix Recruitment offers a variety of recruiting services to assist both employers and employees. They are specialized in marketing open positions, recruiting, and helping employers to find qualified candidates across various industries. Phoenix Recruitment has expertise in streamlining the hiring process. They can help ensure that the process is efficient, well organized, and compliant with relevant regulations.Responsibilities:Partner with engineers, product managers, and business partners to identify algorithmic problems, brainstorm possible approaches, and recommend the best path forward. Develop algorithms iteratively, building in the right level of complexity to solve the business problem at hand and support future improvements. Define success criteria for your models so that you can measure impact and changes over time. You'll be expected to communicate findings and drive continuous improvements. Collaborate with Software Engineers to implement algorithms in production that scale gracefully. Collaborate with stakeholders to prioritize projects and define requirements. Carry out analysis of data produced by our hardware systems and create insightful visualizations to share your findings. Contribute to internal libraries to help other teams with their data science needs including visualization, prediction, optimization, and inference. Requirements & Experience:Advanced proficiency with Python and libraries commonly used for data analysis, e.g., Pandas, NumPy, SciPy, and Diplomatist. Strong understanding of data modeling and statistical analysis. Knowledge of optimization and predictive modeling techniques and experience applying them to real-world problems. Skilled at translating a general question or problem into a clearly defined algorithmic solution. Ability to communicate clearly with both technical and non-technical audiences. Ability to work independently and manage multiple projects simultaneously. Nice to have:1-year Experience with Data Bricks or PySpark 1 year Experience with product ionizing data models Why Phoenix Recruitment LLC?Phoenix Recruitment often has an extensive network of employers and candidates. This network allows them to tap into a pool of qualified candidates and connect them with suitable job opportunities. They can also leverage their connections to help employers find the right talent efficiently. Outsourcing the recruitment process to a specialized agency can save you time and resources, avoid delays, reduce administrative burdens, and increase the chances of finding the right fit for your organization.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Software Development
Java Software Engineer,Phoenix Recruitment,"Rock Springs, WY",2024-04-29,On-site,,https://www.linkedin.com/jobs/view/java-software-engineer-at-phoenix-recruitment-3913367596?position=7&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=3U30t2ZvYWi99RqXHXXxSA%3D%3D&trk=public_jobs_jserp-result_search-card,"
- US OnlyExperience: 1+ yearsEmployment Type: Full-time, OnsiteBase Salary: $62K-$72KPhoenix Recruitment offers a variety of recruiting services to assist both employers and employees. They are specialized in marketing open positions, recruiting, and helping employers to find qualified candidates across various industries. Phoenix Recruitment has expertise in streamlining the hiring process. They can help ensure that the process is efficient, well organized, and compliant with relevant regulations.Description:As an Entry Level Software Engineer, you will have the opportunity to work on cutting-edge projects, collaborate with experienced professionals, and contribute to the development of innovative software solutions. This is a great opportunity for recent graduates or individuals with limited professional experience in software engineering to quickstart their careers.Responsibilities:Collaborate with the development team to design, develop, and test software applications Write clean, efficient, and maintainable code Participate in code reviews to ensure high-quality standards are met. Identify and troubleshoot software defects and issues Contribute to the improvement of existing software products Keep up-to-date with emerging technologies and industry trends Communicate effectively with team members to ensure successful project completion Requirements:Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent experience) Strong understanding of software development fundamentals Proficiency in one or more programming languages (such as Java, Python, C++, or JavaScript) Familiarity with software development tools and frameworks Ability to work independently and as part of a team Excellent problem-solving and analytical skills Strong communication and collaboration abilities Preferred Qualifications:Experience with version control systems (e.g., Git) Knowledge of web development technologies (HTML, CSS, JavaScript) Understanding of software testing methodologies and techniques Familiarity with agile development methodologies (Scrum, Kansan) Projects or internships showcasing your software development skills Why Phoenix Recruitment LLC?Phoenix Recruitment often has an extensive network of employers and candidates. This network allows them to tap into a pool of qualified candidates and connect them with suitable job opportunities. They can also leverage their connections to help employers find the right talent efficiently. Outsourcing the recruitment process to a specialized agency can save you time and resources, avoid delays, reduce administrative burdens, and increase the chances of finding the right fit for your organization.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,Software Development
C-130 ATS TSSC Simulator Software Engineer with Security Clearance,ClearanceJobs,"Cheyenne, WY",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/c-130-ats-tssc-simulator-software-engineer-with-security-clearance-at-clearancejobs-3910583951?position=8&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=qCbxX4AQ%2B6eCY2a%2BAho3Ig%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Role and Responsibilities This position is located in Cheyenne, Wyoming Summary This position will focus on the development and deployment of Training Services Support Center (TSSC) level modifications to flight simulation training support devices. Responsible for implementing, testing and documenting simulation systems software changes to the baseline. Essential Duties and Responsibilities Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. * Designs, modifies, develops, writes and implements software programming applications to include; UNIX/LINUX environment, programming languages (C/C++, FORTRAN) and Windows applications. Supports and/or installs software applications/operating systems. Participates in the testing process through test review and analysis, test observation and certification of software. * Perform a variety of specific professional engineering tasks of an analysis, design or test nature in support of the customer in a specialized engineering field such as software, mechanical, electrical, aerodynamics or electronics. Has knowledge of commonly used concepts, practices, and procedures within a particular field. Follows applicable C-130 ATS Work Instructions and procedures for configuration management and engineering effort to perform the functions of the job. Support the TSSC Engineering group through all phases of software implementation and design on assigned projects with minimal supervision. Work closely with Test/Evaluation personnel, Flight Instructors and Subject Matter Experts to evaluate and test software design implementation. Attend and participate in weekly and monthly meetings providing project and work status to upper level management and customer audience. Works under limited supervision. Must also be able to generate preliminary and detailed designs as required for enhancements or modifications to existing designs, requiring the application of current industry design concepts and utilization of basic technical writing skills. * May provide technical direction to junior team members. Provide technical support for completion of technical studies and rough order of magnitude (ROM) efforts. Installs and configures approved software changes to training equipment, including site preparation. Develops test strategies, devices, and systems. * Development and support of software technical specifications, vendor work scopes, technical manuals and drawings associated with hardware modifications. * Relies on instructions and pre-established guidelines to perform the functions of the job. Must also be able to generate preliminary and detailed software designs as required for enhancements or modifications to existing designs, requiring the application of current industry design concepts and utilization of basic technical writing skills. Draft changes to software-related drawings as required using industry standard drafting software. Applies established procedures where the nature of the system, project feasibility, equipment involved, programming languages to be used, etc., have already been decided. Applies theoretical knowledge and engineering techniques to the solution of basic analytical software engineering problems assigned. Selects or modifies proven methods, mathematical formulae, previous design and test information, handbook data, or other available information related to assignments. Prepares and completes the design of components or portions of moderately complex functional systems, working from overall operations, functional, quality, and similar design requirements. Performs liaison with and provides technical assistance to the test group during test preparation and actual testing phases. Other duties as assigned. Qualifications and Education Requirements * Bachelor's Degree in Software Engineering, Computer Science, or technical equivalent and 5 years of experience in simulation field. * Previous experience and extensive knowledge of the UNIX/LINUX environment, programming languages (C/C++, FORTRAN) and Windows applications. Knowledge of Subversion database utilizing configuration management procedures. Must be proficient in Microsoft Excel, PowerPoint, and Word Knowledge of commonly-used concepts, practices, and procedures within a particular field Related skill areas should include technical writing and presentation skills. Must exhibit high performance and capability to work in a remote team environment Must be able to effectively deliver oral presentations to management and customers Must be able to work independently, with minimal supervision Must be able to work overtime as required. Must be willing to work any shift or day of the week as required. Understanding of military protocols and customs is essential Incumbent must be eligible for DoD Personal Security Clearance.Language Skills * Must have the ability to read, analyze, and interpret the most complex documents. * Will be required to respond effectively to sensitive inquiries and complaints. * Must be able to generate effective oral and written presentations and proposals on complex subjects. Mathematical Skills * Must be able to calculate figures and amounts, prices, commissions, and percentages, and to draw and interpret graphs.Reasoning Ability * Must be able to define problems, collect data, establish facts, and draw valid conclusions. * An ability to interpret complex customer requirements and attitudes from verbal, non-verbal, and written communication is desirable. * Ability to read and understand electrical schematics and drawings. Security Responsibilities Must comply with all company security and data protection / usage policies and procedures. Personally responsible for proper marking and handling of all information and materials, in any form. Shall not divulge any information, or afford access, to other employees not having a need-to-know. Shall not divulge information outside company without management approval. All government and proprietary information will be accessed and stored electronically on company provided resources. * Incumbent must be eligible for DoD Personal Security Clearance. Work Environment * Computer room environment. Shop floor environment. Will be working in areas with risk of electrical shock from moving mechanical parts driven by hydraulics under high pressure. Will at times be exposed to the following conditions: extreme heat, airborne particles, and loud noises. Physical Demands The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. * Domestic and international travel as required. Must be able to lift at least 40 pounds over head. Must be able to walk and/or climb stairs and ladder into a simulator or airplane cockpit. Must be able to stoop, bend, and crawl on top or under the device. Must be able to detect odors or hear noises, bangs, etc., or other sounds to detect problems or flaws in the functioning of simulators and its surrounding environment. Must be able to distinguish colors. Other Duties Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for their job. Duties, responsibilities, and activities may change at any time with or without notice. CAE USA Inc. is an EOE/AA employer and gives consideration for employment to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. If you'd like more information about your EEO rights as an applicant under the law, please click here EEO is the Law poster. PAY TRANSPARENCY NONDISCRIMINATION PROVISION The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. Position Type Regular CAE thanks all applicants for their interest. However, only those whose background and experience match the requirements of the role will be contacted. Equal Employment Opportunity At CAE, everyone is welcome to contribute to our success. With no exception. As captured in our overarching value ""One CAE"", we're proud to work as one passionate, boundaryless and inclusive team. At CAE, all employees are welcome regardless of race, nationality, colour, religion, sex, gender identity or expression, sexual orientation, disability, neurodiversity or age.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing
Civil Engineer,Air Force Civilian Service,"Cheyenne, WY",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/civil-engineer-at-air-force-civilian-service-3885915385?position=9&pageNum=0&refId=U6hTcKyGB5dgknAwvJyjow%3D%3D&trackingId=Y7MWzv2yWK5SR4k%2B6LC9xA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Come be a part of something big! Smart Minds, Cool Jobs, and Awesome Rewards! Fueled by innovation, talent, and ambition, the Air Force Civilian Service (AFCS) is seeking civilian professionals prepared to deploy war-winning capabilities on behalf of the United States Air Force.The Air Force Civilian Service (AFCS) is looking for a full time Civil Engineer (GS-0810-12) to work at F.E. Warren AFB, Cheyenne, Wyoming.Member will serve as a professional civil engineer, performing design, project programming, and construction management duties in support of all local nuclear ICBM weapon systems and the Defense Access Roads (DAR) Program at F.E. Warren AFB.-Salary $86,962 - $113,047-Up to 20% telework possible.-Travel authorized up to 25%.Edit Agency Marketing StatementQualification Summary-U.S. Citizenship required.-This is a drug testing designated position. The incumbent is subject to random testing for drug use.-Work may occasionally require travel away from the normal duty station on military and commercial aircraft.-The work may require the employee to drive a motor vehicle. An appropriate, valid driver’s license may be required for the position.-Must be able to obtain and maintain a Secret security clearance.Further information about the 0810 series can be found at: chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0800/files/all-professional-engineering-positions-0800.pdfDuties:-Performs planning and design work for substantial multi-phase new construction, renovation, and improvement projects for a variety of real property facilities, real property installed equipment including utility systems, utilizing a professional knowledge of civil engineering.-Serves as consulting engineer on all design aspects of assigned projects. Provides professional consultations on a broad range of difficult civil engineering issues and problems related to the Defense Access Road (DAR) Program for FE Warren AFB.-Coordinates the preparation of and reviews A&E statements of work (SOW). Provides criteria and standards for specialized, difficult, or unusual requirements.-Coordinates projects with engineers in other disciplines or with architects. Applies knowledge of other disciplines to determine coordination required to ensure all design considerations have been addressed.-Keeps abreast of emerging technologies to ensure programmed development will not prematurely become obsolete. In conjunction with the primary duty of engineering design, on a less frequent basis performs work in the construction management, programming/base development, and/or operations and maintenance (O&M) functions.RECRUITMENT KNOWLEDGES, SKILLS, AND ABILITIES (KSA):-Professional knowledge of a broad range of civil engineering concepts, principles, and practices and extensive familiarity with other engineering disciplines and architecture.-Knowledge of a broad range of engineering and construction standards, methods, practices, and techniques, materials, and equipment to determine compliance with federal, state, and local codes and regulations; knowledge of standard contracting regulations, practices, and procedures; knowledge of health, safety, and environmental requirements as outlined in applicable standards, regulations, and/or technical orders; knowledge of environmental principles, practices, procedures, laws, regulations, and current legislative issues; and knowledge of work classifications and the regulatory and statutory restrictions on the expenditures of appropriated and non-appropriated funds.-Knowledge of automated data processing concepts, systems capabilities, and economic usage to effectively accomplish assigned functions; and knowledge of program planning and budgeting cycles, financial control and budget systems, and management.-Ability to plan, conduct, and record site/facility surveys and inspections. Ability to research, analyze, interpret, and apply rules, regulations, and procedures in a variety of situations and recommend timely and economical solutions.-Ability to plan and organize work and coordinate the work of other engineering disciplines and architects; and to communicate effectively both orally and in writing and maintain good working relations.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Engineering,Government Administration
Machine Learning Engineer,HackerPulse,"Guernsey, WY",2024-04-08,Remote,,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-hackerpulse-3887010007?position=1&pageNum=0&refId=xmNT%2FR%2FfBr0bq5nWFMWaRw%3D%3D&trackingId=e2GSceCmm38EGFt5QSaDxg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Showcase your software engineering talents using ML-powered profiles. Loved by 11k+ engineers! Backed by Antler.The RoleYou Will Be Responsible ForDeveloping scripts to process structured and unstructured data.Recommending, developing and implementing ways to improve data reliability, efficiency and quality.Supporting translation of data business needs into technical system requirements.Working with stakeholders to understand needs in order with respect to data structure, availability, scalability and accessibility.Developing high-quality code to build and deploy machine learning models.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Engineer role.Demonstrated experience working with large and complex data sets as well as experience analyzing volumes of data.You are a strong networker & relationship builderYou pay strong attention to detail and deliver work that is of a high standardYou are a self-starter and demonstrate a high level of resilienceWhat's on Offer?Great work environmentExcellent career development opportunitiesLeadership Role
","
          189 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Software Development
