title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Scientist,"MM International, LLC","Johnston, IA",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/data-scientist-at-mm-international-llc-3903457305?position=1&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=jdsTWlhjAN5qC%2FqEhFZl0w%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position Title: Data ScientistDuration: Contract through the end of the year (could extend)Position location: Johnston, IA Due to Client limitation we can not accept H1B for this position ResponsibilitiesImprove the genomics LLMs for gene expression profiling by incorporating new sequencing datatypes, adopting new foundation models, and applying new finetuning techniques in LLMs.Develop the Generative AI tool for automated genome editing design based on the improvedLLM.Skills / ExperienceRequired: Proficiency with Python, pyTorch, Linux, Docker, Kubernetes, Jupyter. Expertise inDeep Learning, Transformers, Natural Language Processing, Large Language ModelsPreferred: Experience with genomics data, molecular genetics. Distributed computing tools likeRay, Dask, Spark.
        ","
          117 applicants
        ",Mid-Senior level,Contract,Engineering and Information Technology,Hospitals and Health Care
Data Science Associate,Wellmark Blue Cross and Blue Shield,"Des Moines, IA",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/data-science-associate-at-wellmark-blue-cross-and-blue-shield-3893686154?position=2&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=dxkeSdphD7kAEwk0PmHncA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company DescriptionWhy Wellmark: We are a mutual insurance company owned by our policy holders across Iowa and South Dakota, and we’ve built our reputation on over 80 years’ worth of trust. We are not motivated by profits. We are motivated by the well-being of our friends, family, and neighbors–our members. If you’re passionate about joining an organization working hard to put its members first, to provide best-in-class service, and one that is committed to sustainability and innovation, consider applying today!Learn more about our unique benefit offerings here.You can also learn more about working at Wellmark here.Job DescriptionResponsible for extracting, integrating analyzing, and interpreting data from internal and external data sources, to develop intelligence packaging that draws conclusions and supports recommendations that will help to achieve business goals. Collaborate with team and key business stakeholders to ensure critical business objectives are met by following the analytics lifecycle within assigned domains. Work cross-functionally with business stakeholders to identify risk and provide solutions that drive data-enabled decisions.QualificationsRequired: For consideration, you must meet one of the following educational/technical requirements:Bachelor’s degree in quantitative discipline such as statistics, mathematics, finance, accounting, computer science, engineering, or economics - OR4 years of direct and applicable work experience with specific experience in data or statistical analysis, including data collection, joins, analysis, statistics and/or data presentation. Specific exposure with hands-on data analysis of databases and files using SQL dialects and statistical programming languages. Strong formulas and data visualizations knowledge. Exposure to business intelligence or analysis platforms. Naturally curious and ability to drive business decisions and solutions. Effective communication skills, both verbal and written, with the ability to present complex information. Proactive, self-starter and can manage priorities through effective time management skills. Preferred:Master’s degree. Experience working with unstructured data sets. Experience developing project roadmaps and timelines. Additional Information Participate in or conduct discovery sessions and stakeholder interactions to gain business understanding and identify business problem. Understand the project objectives and gather requirements to build a preliminary plan.  Research and gather appropriate data from various sources. Source, extract, assemble, collate, and consolidate data needs for the business.  Profile and prepare data for analysis.  Build and execute models to analyze business outcomes, using tables, graphs, and charts, as well as algorithms, forecasts, and trends.  Interpret results, identify key findings to quantify business value.  Develop a narrative to summarize and convey findings to stakeholders. Make recommendations based on findings.  Create, update, and maintain a production schedule for reporting and ensure reports and presentations are completed on schedule.  Manage multiple projects simultaneously and support corporate process improvement initiatives, meeting aggressive timeframes.  Collaborate with peers to identify reporting objectives and develop reports and analyses that meet their need and drive Wellmark’s value proposition for stakeholders.  Wrangle data from a wide variety of data sets and assemble into normalized and enriched data assets that enables new insights, solutions, and visualizations. Perform and document data profiling, quality assessment, source consolidation, aggregation, and other data manipulation efforts, to understand data formats, source systems, file sizes, etc.  Create, update, and maintain documentation and procedures for sourcing, analyzing, and preparing internal reporting and presentations. Ensure the highest quality and integrity of data sources.  Other duties as assigned. An Equal Opportunity EmployerThe policy of Wellmark Blue Cross Blue Shield is to recruit, hire, train and promote individuals in all job classifications without regard to race, color, religion, sex, national origin, age, veteran status, disability, sexual orientation, gender identity or any other characteristic protected by law.Applicants requiring a reasonable accommodation due to a disability at any stage of the employment application process should contact us at careers@wellmark.com
","
          37 applicants
        ",Mid-Senior level,Full-time,Information Technology,Insurance
Asst Research Scientist/Engin,University of Iowa,"Iowa City, IA",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/asst-research-scientist-engin-at-university-of-iowa-3889104026?position=3&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=2af5423ngUzJBLNSE88zKw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The College of Medicine, Proteomics Facility is seeking an Assistant Research Scientist/Engineer to conduct highly technical and specialized scientific research by helping secure funding; performing research experiments, simulations, and theoretical investigations; analyzing data; organizing projects and disseminating research findings. Key areas of responsibility include experiments, instrumentation operation and maintenance, data/research analysis and evaluation of results and advising on the directions of projects.Percent Time: 100%Duties To IncludeExperiments, Simulations, Modeling or Theoretical Investigations:Perform proteomic experiments and theoretical investigations.Collect and troubleshoot proteomics data for collaborators on a variety of research projects.Coordinate the research activities, develop hypotheses and methodologies for projects using proteomics and bioinformatics.Contribute to documentation of equipment and procedures.Coordinate repair or broken equipment and ask as a liaison for service technicians and facilities management.Work independently on basic research tasks in collaboration with core users.Contribute to documentation of equipment and procedures.Data/Research Analysis And EvaluationAnalyze data for relevance and data integrity.Maintain critical computational resources (software, computers) and develop reporting standards.Find and adapt new methods as feasible for diverse projects that are in reach of the facilities capabilities.Perform analysis of proteomic data and communicate findings and forecast of success to users.Refresh skills and knowledge base by reading new key publications in the field and attending select conferences.Dissemination Of Research ResultsComplete analysis, figures, and editing on projects for co- or first-authored publications.Organize data and presentation of results to inform users of the outcome of their experiments.Curate data storage.Communicate with users before, during, and after projects to set expectations and evaluate how those were filled.Attend meetings to promote research findings and support funding efforts.Research Proposals/GrantsContribute to new or continuing research grant proposals to obtain funding for research activities.ServiceProvide tours for visiting students and faculty.Provide service to the scientific community, University and General Public.Provide letters of support for grant proposals outlining the capabilities of the facility that are relevant to the proposed aims.Review submitted manuscripts and research proposals, suggesting modifications based on the data analysis and general scientific and publication standards.Consult and collaborate with the research community on current and/or future projects.Human Resources/SupervisionMay instruct users on proteomics methods and data analysis.Required QualificationsA Doctoral degree in Chemistry or Biology or relevant field is required.1 or more years of proteomic experience is required with specific experience with label-free quantitative proteomics and determination of post-translational modifications.Computational skills for data analysis using quantitative proteomics workflows are required.Position And Application DetailsExcellent written and verbal communication skills are required.In Order To Be Considered For An Interview, Applicants Must Upload The Following Documents And Mark Them As a “Relevant File” To The Submission Resume Cover LetterJob openings are posted for a minimum of 14 calendar days and may be removed from posting and filled any time after the original posting period has ended.Successful candidates will be required to self-disclose any conviction history and will be subject to a criminal background check and credential/education verification. Up to 5 professional references will be requested at a later step in the recruitment process.For additional questions, please contact stacy-pruter@uiowa.eduAdditional InformationClassification Title: Asst Research Scientist/EnginAppointment Type: Professional and ScientificSchedule: Part-timeWork Modality Options: On CampusCompensationPay Level: 5AContact InformationOrganization: HealthcareContact Name: STACY MARIE-FOUNTAIN PRUTERContact Email: stacy-pruter@uiowa.edu
","
            Be among the first 25 applicants
          ",Entry level,Part-time,Other,Higher Education
"Data Scientist - Genomics ( Locals Only - Des Moines, IA)",Skywalk Global,"Des Moines, IA",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/data-scientist-genomics-locals-only-des-moines-ia-at-skywalk-global-3902382888?position=4&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=%2Fw6lS%2B4mLso52RPg%2B2hhVw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hi,We are currently hiring for Data Scientist - Genomics ( Locals Only Des Moines, IA). Candidates must be local to Des Moines, IA. This is an onsite position. However, ideal candidates for this position can work remote who is not local to Des Moines, IA. Preference will be given to candidates who can work onsite. Please find the JD below and apply.Primary SkillsMachine Learning, PythonDescriptionPosition Title: Data ScientistDuration: Contract through the end of the year (could extend)Position location: Johnston, IA or RemoteData Scientist with experience in training and evaluating transformer such as BERT and its derivatives. This is contract work through the end of the year and possible extend into 2025. Candidates must have strong communication skills and be able to speak specifically to the project where they performed this work. Client is ideally looking for candidates that can work onsite in the Des Moines, IA area. Remote will be considered, but I will be giving first preference to candidates that are willing to come onsite. Project Scope And Brief DescriptionNext-generation Artificial Intelligence for Genomics will use more complex datatypes and be applied to new crop contexts. We need a Data Scientist with demonstrated expertise in training and evaluating transformers such as BERT and its derivatives.ResponsibilitiesImprove the genomics LLMs for gene expression profiling by incorporating new sequencing data types, adopting new foundation models, and applying new finetuning techniques in LLMs. Develop the Generative AI tool for automated genome editing design based on the improved LLM.Skills / ExperienceRequired: Proficiency with Python, pyTorch, Linux, Docker, Kubernetes, Jupyter. Expertise in Deep Learning, Transformers, Natural Language Processing, Large Language ModelsPreferred: Experience with genomics data, molecular genetics. Distributed computing tools like Ray, Dask, SparkRegardsKarthika
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist - Greater Des Moines Area,"RK Management Consultants, Inc.","Des Moines, IA",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/data-scientist-greater-des-moines-area-at-rk-management-consultants-inc-3899937957?position=5&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=1biGgllYRjoTuUvNTsbtHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          The Data Scientist collaborates with business and analytics leaders to generate insights and answer business questions by using analytics techniques such as advanced data visualization, statistical analysis, randomized testing,predictive modeling, forecasting, optimization, and/or machine learning. Proposes innovative ways to look at problems by using these approaches on available enterprise data as well as customer third party data and information. Validates findings using experimental and iterative approaches. This level performs basic statistical analysis of low to moderately complex data from a single source, with heavy reliance on industry/standardized tools and existing models. Output is reviewed by higher-level Data Scientists or Analytics Manager for execution.MAJOR DUTIES:• Works with data sets and performs appropriate analytical methodology to provide insights anddecision modeling for the business.• Creates and implements algorithms which manage the data to enable it to be analyzed in an efficientmanner.• Supports the communication of derived insights, especially through appropriate visualizationtechniques.• Supports the identification of the required data sources and works with Data Wranglers and/or IT toimplement methodologies to retrieve and use this data.• Stays abreast of the latest appropriate analytical techniques and recommends these where needed.Explains implementation and usage in business terms.• Applies analytical techniques to prospect for business insights and find patterns in data which couldbe valuable for the business.QUALIFICATIONS:• Knowledge of advanced data gathering and analysis techniques, including statistical analysis• Knowledge of appropriate industry - Has a good understanding of the principles and can independentlyuse the knowledge.• Good interpersonal, negotiation and conflict resolution skills.• Excellence in verbal and written communication forms with emphasis on persuasive communication,tact and negotiation. - Has a good understanding of the principles and can independently use theknowledge.• Quantitative analytical skills - Has a good understanding of the principles and can independently usethe knowledge.Education:Bachelor's Degree requiredRelevant Work Experiences:• Internal or external industry specific experience in relevant discipline. - 1 - 3 years• Data analytics experience. - 1 - 3 years• Background or proven experience in mining data for analytics insights. - 1 - 3 years• Good exposure to enterprise statistical tools like SAS, Statistica, SPSS or SAS E Miner - 1 - 3 years
        ","
          41 applicants
        ",Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,U.S. Department of Veterans Affairs,"Iowa City, IA",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/data-scientist-at-u-s-department-of-veterans-affairs-3907857367?position=6&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=b9VgY7hTPe2eIU6b%2FUNHyw%3D%3D&trk=public_jobs_jserp-result_search-card,"
SummaryThe VHA Research Program strives to promote Veteran-centered care to improve patient experience and outcomes across VA healthcare and community settings, and to advance value driven care by providing Veterans the highest quality care at the lowest financial burden. The position is vital within the Office of Research and Development (ORD) and the facilities where research programs are conducted. Data science provides the link between highly innovative projects and the care that Veterans receive.Learn more about this agencyHelpDutiesMajor duties include, but are not limited to:Data Science Lifecycle:Serves as a Data Analyst with the responsibility for the storage, retrieval and execution of data acquisition requirements and assisting other Agency professionals and contractors in solving complex and far-reaching problems for a wide range of systems, applications, and customers.Issues include data interface and storage, and require application of data management principles, procedures, and tools such as modeling techniques, data backup, data recovery, data dictionaries, data warehousing, data mining, data disposal, and data standardization processes.The position requires knowledge of principles and concepts of managing data through its life cycle.Use of data science tools to execute duties is gained from education and experience; these duties including programming, statistics, and data visualization. Constructs data pipelines using tools and techniques to handle data at scale. Support projects developed by investigators focusing on enterprise analytics. Examples of data accessed include health data, demographic data, administrative data, claims data, programmatic data, and patient behavior, provider activities, economic indicators, and expenditure data.Demonstrates the ability to utilize diverse data science techniques including data pooling and visualizations and can demonstrate how ensembles of these techniques can be harmonized into user-centric solutions.Researches and designs presentations and interpretations of analytical outputs tailored to specific audiences including the use of interactivity and narrative storytelling where appropriate.Collaborates with teammates, customers, and stakeholders in a reproducible and organized manner.Conducts observational analysis using software and/or programming languages such as R, Python, Stata, SAS, or SQL to explore/group data, test hypotheses, predict outcomes, and inform decisions. Works with large datasets.Uses appropriate analytic and statistical software to programmatically prepare data for analysis and clean imperfect data such as probabilistic matching and imputation of missing values.Collates the results of analysis that equip teammates to make informed, data-driven decisions.Articulates findings through data visualization, reports, and operationalized constructs.Presents the results of quantitative analysis to technical and non-technical audiences. Has knowledge about chart typologies, mapping stories to appropriate chart types. Works with customers to create useful presentations and interpretations of analytical outputs. Independently synthesizes findings and turns them into actionable insights. Adheres to applicable style guides.Is responsive to a variety of stakeholders and team members with varying technical skills.Data Science Support:Participates on teams in the development, implementation, and oversight of new technologies and statistical methods related to data science. Follows recommendations in support of IT security plans to ensure compliance with Agency security requirements specific to data.Works with the senior member of teams in the collecting, optimizing, analyzing, interpreting, and communicating insights from data. Follows internal and external process or system reviews, studies, projects, and data validation efforts, which provide a mean for evaluating system performance and vulnerabilities. Accesses, merges, cleans, standardizes, and develops derived metrics on multiple structured datasets; has familiarity with appropriate software and automation tools.Regularly provides analytical support to Data Scientists and/or supervisor in support of conference needs. Attends meetings, conferences, briefings, and seminars related to data science, and statistical and analysis support system concepts. Assists in consolidating research finding and conclusions into completed products for review by the investigative teams, and subsequent publication and or oral presentations to interagency and both internal and external stakeholders.Work Schedule: Monday through Friday; 08:00 to 16:30Telework: Regular telework is availableVirtual: This is not a virtual position.Position Description #: PD93309AFinancial Disclosure Report: Not requiredHelpRequirementsConditions of EmploymentYou must be a U.S. Citizen to apply for this job.Selective Service Registration is required for males born after 12/31/1959.Must be proficient in written and spoken English.You may be required to serve a probationary period.Subject to background/security investigation.Selected applicants will be required to complete an online onboarding process.Must pass pre-employment physical examination.Participation in the seasonal influenza vaccination program is a requirement for all Department of Veterans Affairs Health Care Personnel (HCP).Participation in the Coronavirus Disease 2019 (COVID-19) vaccination program is a requirement for all Veterans Health Administration Health Care Personnel (HCP) - See ""Additional Information"" below for details.QualificationsTo qualify for this position, applicants must meet all requirements by the closing date of this announcement, 04/30/2024BASIC REQUIREMENT OR INDIVIDUAL OCCUPATIONAL REQUIREMENT:Degree: Mathematics, statistics, computer science, data science or field directly related to the position. The degree must be in a major field of study (at least at the baccalaureate level) that is appropriate for the position.ORCombination of education and experience: Courses equivalent to a major field of study (30 semester hours) as shown in paragraph A above, plus additional education or appropriate experience.ANDMINIMUM QUALIFICATION REQUIREMENT: You may qualify based on your experience/education as described below: In order to qualify, you must meet the specialized experience requirements described in the Office of Personnel Management (OPM) Qualification Standards for General Schedule Positions, Data Science Series 1560 and Group Coverage Qualification Standard for Professional and Scientific PositionsIn addition to meeting the basic entry qualification requirements, applicants must have specialized experience and/or directly related education in the amounts shown below.Education: Ph.D. or equivalent doctoral degree directly related to the position being filledORSpecialized Experience: One year of specialized experience equivalent to at least the next lower grade GS-11 in the normal line of progression for the occupation in the organization. Examples of specialized experience would typically include: Utilizing data science tools and techniques, including programming, statistics, and data visualization; identifying and executing appropriate data handling and data integrity practices; applying scientific principles, methods, and processes to research design, plan, conduct, and report; conducting and consulting on cost analyses; mentoring data analysts and other data users; creating and maintaining databases; consulting with teammates and customers to identify the appropriate tools and methodological approaches; and executing data handling and integrity practices.You will be rated on the following Competencies for this position:Data ManagementDatabase AdministrationDatabase Management SystemsResearchTeaching OthersExperience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religions; spiritual; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.Note: A full year of work is considered to be 35-40 hours of work per week. Part-time experience will be credited on the basis of time actually spent in appropriate activities. Applicants wishing to receive credit for such experience must indicate clearly the nature of their duties and responsibilities in each position and the number of hours a week spent in such employment.Physical Requirements: You will be asked to participate in a pre-employment examination or evaluation as part of the pre-employment process for this position. Questions about physical demands or environmental factors may be addressed at the time of evaluation or examination.For more information on these qualification standards, please visit the United States Office of Personnel Management's website at https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/.EducationIMPORTANT: A transcript must be submitted with your application if you are basing all or part of your qualifications on education.Note: Only education or degrees recognized by the U.S. Department of Education from accredited colleges, universities, schools, or institutions may be used to qualify for Federal employment. You can verify your education here: http://ope.ed.gov/accreditation/. If you are using foreign education to meet qualification requirements, you must send a Certificate of Foreign Equivalency with your transcript in order to receive credit for that education. For further information, visit: https://sites.ed.gov/international/recognition-of-foreign-qualifications/.Additional informationThe VA Midwest Health Care Network advocates for a Whole Health System of care in each of the Medical Centers. This is an approach to healthcare that empowers and equips people to take charge of their health and well-being and live their lives to the fullest. As an employee operating in a Whole Health System of care, you will operate in a model with three core elements, seeking to create a personalized health plan for each Veteran. This is done in the context of healing relationships and healing environments and a connection back to the Veteran's community. This aligns with the Veterans Health Administration (VHA) Mission Statement to Honor America's Veterans by providing exceptional health care that improves their health and well-being.Receiving Service Credit or Earning Annual (Vacation) Leave: Federal Employees earn annual leave at a rate (4, 6 or 8 hours per pay period) which is based on the number of years they have served as a Federal employee. Selected applicants may qualify for credit toward annual leave accrual, based on prior work experience or military service experience. This credited service can be used in determining the rate at which they earn annual leave. Such credit must be requested and approved prior to the appointment date and is not guaranteed.This job opportunity announcement may be used to fill additional vacancies.This position is in the Excepted Service and does not confer competitive status.VA encourages persons with disabilities to apply. The health-related positions in VA are covered by Title 38, and are not covered by the Schedule A excepted appointment authority.Pursuant to VHA Directive 1193.01, VHA health care personnel (HCP) are required to be fully vaccinated against COVID-19 subject to such accommodations as required by law (i.e., medical, religious or pregnancy). VHA HCPs do not include remote workers who only infrequently enter VHA locations. If selected, you will be required to be fully vaccinated against COVID-19 and submit documentation of proof of vaccination before your start date. The agency will provide additional information regarding what information or documentation will be needed and how you can request a legally required accommodation from this requirement using the reasonable accommodation process.If you are unable to apply online or need an alternate method to submit documents, please reach out to the Agency Contact listed in this Job Opportunity Announcement.Read more Help A career with the U.S. government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Opens in a new windowLearn more about federal benefits.Review our benefitsEligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. Contact the hiring agency for more information on the specific benefits offered.Iowa City VA Health Care System601 Highway 6 WestIowa City, IA 52246US
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Government Administration
Data Science Consultant,Wellmark Blue Cross and Blue Shield,"Des Moines, IA",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/data-science-consultant-at-wellmark-blue-cross-and-blue-shield-3893685174?position=7&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=a43VQXrGNd0E0f2d%2FkfCNg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company DescriptionWhy Wellmark: We are a mutual insurance company owned by our policy holders across Iowa and South Dakota, and we’ve built our reputation on over 80 years’ worth of trust. We are not motivated by profits. We are motivated by the well-being of our friends, family, and neighbors–our members. If you’re passionate about joining an organization working hard to put its members first, to provide best-in-class service, and one that is committed to sustainability and innovation, consider applying today!Learn more about our unique benefit offerings here.You can also learn more about working at Wellmark here.Job DescriptionThrough collaborative partnerships with key business stakeholders, proactively solves business problems using the analytics lifecycle across domains. Serves as a business consultant for high profile data presentations and data analysis. Performs data manipulation and dataset preparation for business analysis and outcomes and summarizes data in a logical and understandable format. Collaborates with cross-functional partners to drive successful data enabled improvement recommendations from definition through completion, providing solutions and identifying risks.QualificationsRequired:For consideration, you must meet one of the following educational/technical requirements:Master’s degree in quantitative discipline such as statistics, mathematics, finance, accounting, computer science, engineering, or economics - ORBachelor’s degree in quantitative discipline such as statistics, mathematics, finance, accounting, computer science, engineering or economics and 2 years equivalent work experience - OR6 years of direct and applicable work experience with specific experience in the analysis of databases and files using SQL dialects and statistical programming languages with specific experience utilizing data collection, advanced formulas, advanced joins, analysis, statistics, and data presentation. Experience with business intelligence and analysis platforms such as MS Power Bi and Tableau. Demonstrated experience in working with large data sets and spreadsheets. Proficiency with complex data joins. Naturally curious with ability to drive business decisions and solutions. Effective communication skills, both verbal and written, with the ability to present complex information. Proactive, self-starter with demonstrated ability to manage priorities through effective time management skills. Detail oriented, including a strong analytical/technical orientation. Preferred:Master’s degree. Prior experience with data manipulation, hypothesis testing, root cause diagnosis, forecasting or modeling. Experience developing project roadmaps and timelines. Strong consultation and presentation skills. Have a passion for mentorship and coaching. Experience with SAP products including Business Objects. Thorough understanding of data warehousing. Additional Information Demonstrate strong business knowledge by identifying complex business problems through discovery sessions and stakeholder interactions. Understand the project objectives and gather requirements to build a preliminary plan.  Research and gather appropriate data from various sources. Source, extract, assemble, collate, and consolidate data into reusable data assets using complex joins.  Profile and prepare data for analysis, including the creation of derived elements and macros for processing efficiencies.  Build, execute, and automate models to analyze business outcomes using tables, graphs, and charts, as well as algorithms, forecasts, and trends.  Interpret results and identify key findings to quantify business value.  Develop narratives to summarize and convey findings to stakeholders. Make recommendations based on findings.  Be a “go to” person for analysis while being adept at quickly assessing the needs of multiple business partners with, at times, ambiguous requirements.  Manage multiple projects simultaneously and support corporate process improvement initiatives, meeting aggressive timeframes. Participate in cross-functional projects to optimally support the business.  Provide peer review and coaching within team and across other business areas.  Create, update, and maintain documentation and procedures for sourcing, analyzing, and preparing internal reporting and presentations. Ensure the highest quality and integrity of data sources.  Other duties as assigned. An Equal Opportunity EmployerThe policy of Wellmark Blue Cross Blue Shield is to recruit, hire, train and promote individuals in all job classifications without regard to race, color, religion, sex, national origin, age, veteran status, disability, sexual orientation, gender identity or any other characteristic protected by law.Applicants requiring a reasonable accommodation due to a disability at any stage of the employment application process should contact us at careers@wellmark.com
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,Insurance
Python AWS Developer,Compunnel Inc.,"Johnston, IA",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/python-aws-developer-at-compunnel-inc-3904123854?position=9&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=QsffWAdgccuWRMliidLeTA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Role - Python Developer (AWS)Location - Johnston, IA - Hybrid roleDesired Qualifications:Bachelor’s degree in Computer Science, Software Engineering, or a related discipline.9+ years of experience in developing software web applications within a scrum environment.Proficiency in the following technologies:AWS:AWS Infrastructure: Utilize Amazon Web Services (AWS) for scalability, reliability, and flexibility.Migration Strategy: Migrate expiring accounts to standard ones.Containerization: Containerize the application using Docker for portability and ease of deployment.AWS Expertise: Seek an AWS expert to guide the design and implementation.PythonPython Services: Multiple apps are running.Refactoring: Necessary in API services.AWS Accounts: Manage and consolidate accounts.MySQLSQLAlchemyOracleAngular 5+ Day-to-day: Design and implement scalable, secure, and cost-effective solutions using AWS services.Set up and manage AWS infrastructure as code.Troubleshoot issues related to AWS services and infrastructure.Optimize AWS application performance by enhancing existing architecture.Collaborate with cross-functional teams to ensure successful project delivery.Knowledge of Azure cloud services and DevOps is a plus.
","
          169 applicants
        ",Associate,Full-time,Information Technology,"Technology, Information and Media and Software Development"
Research Scientist,Astrix,"Ames, IA",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/research-scientist-at-astrix-3899545208?position=10&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=Brj4IwqoBBL5lqiqYTA5Mw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our client is a global, research-driven pharmaceutical focusing on treatment options for diseases and conditions for which there is no satisfactory treatment option to date. The company is looking for a Research Scientist to join the team. This is an amazing opportunity to work on cutting edge treatments and make a difference!Located in Ames, IAType of job: ContractPay: $28 - 32/hourResponsibilities:Initiates, executes, completes, and communicates results and related issues with supervision. Provide quality support of Expression Platforms team members through data acquisition, reporting, and communication.Execute in vitro analytical assays to evaluate samples with minimal supervision.Accountable for performing all techniques and assays so test sessions yield valid results and repeated work is minimized.Accurately record all data from research techniques and tests on data capture forms, research notebooks, and raw data notebooks as appropriate.Perform initial data analysis so that accurate and precise results are obtained and reported.Generate documentation (ex. method protocols, reports) in support of techniques or modification of techniques.Ability to learn new types of assays and technology easily.Qualifications:BS degree from an accredited institution in a relevant scientific discipline; or Biotechnology Laboratory Methods certification in combination with AS degree and relevant job experience. Able to competently perform multiple types of assays (biochemical, molecular and immunological in nature).Experience in assay development, mammalian cell culture, ELISA, Western blotting, qPCR, and experience in standard molecular biology techniques such as cloning, protein expression and purification is preferred.
","
          34 applicants
        ",Associate,Contract,Research,Pharmaceutical Manufacturing
GNSS Software Test Engineer | 39520,"Cerebral Staffing, LLC","Urbandale, IA",2024-04-01,On-site,,https://www.linkedin.com/jobs/view/gnss-software-test-engineer-39520-at-cerebral-staffing-llc-3880913294?position=11&pageNum=0&refId=0qNLdt7ub%2FE7un%2Bvc%2BELmg%3D%3D&trackingId=FAIX2cf6PXwGN9qCOhHFHw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Join Cerebral Staffing, LLC on site at our client John Deere in Urbandale, IA as a GNSS Software Test Engineer!Location: Urbandale, IADuration of Role: 1+ yearsPay: $43.40 - $46.50 / hourlyVisa sponsorship is not available, now or in the near future, for this position.DUTIES AND RESPONSIBILITIES: Provide Software Engineering Test and Verification of John Deere's line of Global Navigation Satellite System (GNSS) receivers Work with Software and System Engineering to define test setup and standardize test plans Participate in periodic bug review meetings to ensure software development and product team understand software issues clearly Provide daily assistance and guidance to team on scheduled tasks/bugs, which may involve working with non-technical team members to understand customer faced issues Diagnose and perform 1st level root cause analysis on software bugs Perform product verification and validation activities in lab environment and on various Ag vehicles via manual and automated test setups Frequent travel to the Test Farm, 80% of time performing field test cases for Receiver validation Working with major agricultural machinery in an experimental field test environment Working independently and as a team with engineers to test GNSS Receiver productREQUIRED: Bachelor’s Degree in Electrical Engineering, Computer Engineering, Agricultural Systems Technology, or Agriculture Engineering related field Experience with precision agriculture product and equipment operation experience Experience with test plan creation and execution Experience with software development life cycle and reporting/tracking software defects Demonstrated effective analytical, reporting, & presentation skillsDESIRED: Strong knowledge of Precision Agriculture equipment Experience using John Deere or other Agricultural equipment Experience with GNSS Receiver testing Experience with validation and/or verification testing of system requirements and regression-level testing Demonstrated experience with CAN communication Experience with troubleshooting Hardware related issues Experience with software tools, such as Microsoft Project, Team Foundation Server (TFS), or RallyPowered by JazzHRsinyenMLve
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
