title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Biomedical Data Scientist,University of Kentucky,"Lexington, KY",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/biomedical-data-scientist-at-university-of-kentucky-3895671745?position=1&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=T%2FO50UzyFX%2FUN7qPtBfonw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Posting DetailsJob Title Biomedical Data ScientistRequisition Number RE44896Working TitleDepartment Name 7P180:DEPT OF BIOSTATISTICSWork Location Lexington, KYGrade Level 47Salary Range $56,596-93,358/yearType of Position StaffPosition Time Status  Full-TimeRequired EducationMSClick here for more information about equivalencies: https://hr.uky.edu/employment/working-uk/equivalenciesRequired Related Experience1 yrRequired License/Registration/CertificationNonePhysical RequirementsOccasional lifting up to 15 pounds. Sitting at computer workstation for extended periods. Repetitive motion.ShiftMonday–Friday 8:00am – 5:00pm, additional hours when needed to meet department needs.Job SummaryThe Department of Biostatistics seeks a data scientist with healthcare, computational, and informatics expertise. This position will design and direct innovative solutions for data products used in exploratory data analyses, generating and testing hypotheses, analyzing and mining biomedical data. The data scientist will collaborate on extramural-funded projects to offer innovative, expert-level Biostatistical and Biomedical Data Science expertise in study design and consultation in data analysis and interpretation after study implementation.The data scientist will develop, direct and oversee implementation of project protocols that involve complex data systems, data linkage and capture, programmatic statistical analysis and software development, data management and visualization, database construction and maintenance. As a lead for data science, the position will actively promote and direct the service mission for biostatistics, data science, and biomedical informatics on a regional, national, and/or global scale.Please note: A cover letter is required to complete the application process. A Statement of research interest must be included in the letter.Skills / Knowledge / AbilitiesDoes this position have supervisory responsibilities?  YesPreferred Education/ExperienceDeadline to Apply 04/28/2024University Community of InclusionThe University of Kentucky is committed to a diverse and inclusive workforce by ensuring all our students, faculty, and staff work in an environment of openness and acceptance. We strive to foster a community where people of all backgrounds, identities, and perspectives can feel secure and welcome. We also value the well-being of each of our employees and are dedicated to creating a healthy place to work, learn and live. In the interest of maintaining a safe and healthy environment for our students, employees, patients and visitors the University of Kentucky is a Tobacco & Drug Free campus.As an Equal Opportunity Employer, we strongly encourage veterans, individuals with disabilities, women, and all minorities to consider our employment opportunities.Any candidate offered a position may be required to pass pre-employment screenings as mandated by University of Kentucky Human Resources. These screenings may include a national background check and/or drug screen.#CampusGrade
        ","
          57 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Higher Education
Data Scientist II,University of Kentucky,"Lexington, KY",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/data-scientist-ii-at-university-of-kentucky-3900407968?position=2&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=Q1rXoeeP1C1KaOi%2FjlfCbg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Posting DetailsJob Title Data Scientist IIRequisition Number RE44086Working Title Data ScientistDepartment Name 40502:Institute for Biomedical InformaticsWork Location Lexington, KYGrade Level 47Salary Range $56,596-93,358/yearType of Position StaffPosition Time Status  Full-TimeRequired EducationMSClick here for more information about equivalencies: https://hr.uky.edu/employment/working-uk/equivalenciesRequired Related Experience5 yrsRequired License/Registration/CertificationNonePhysical RequirementsSitting for long periods of time.ShiftMonday – Friday; 8:00 am-5:00 pmJob SummaryThe Institute for Biomedical Informatics is looking for a Data Scientist II to join our team! This position will be primarily responsible for performing statistical analysis on large healthcare data sets to uncover insights that improve patient care and outcomes, identify important relationships and trends, and communicate findings to the University and scientific community. This position has the following responsibilities:Collect, organize and analyze complex healthcare data from sources such as electronic health records, insurance claims, clinical trials, and registriesBuild predictive models and machine learning algorithms to derive insights from healthcare dataInterpret findings from statistical analyses and quantitative research and effectively communicate results to key stakeholdersIdentify opportunities to expand data collection to support health outcomes research initiativesStay current on developments in data science, methods and best practices for health outcomes researchDocument all data preparation and analysis code thoroughly for reproducibilityThis position will work closely with staff and faculty to complete analysis, develop reports, collaborate in writing journal articles, and attend and present at national meetings. The Data Scientist should be familiar with various data management and BI reporting tools. The position will utilize leadership skills to lead meetings and oversee statistical analyses conducted by graduate research students and staff members.This position will offer flexibility for a fully, on-campus schedule or a hybrid schedule with three days on-campus and two days remote.We value work-life balance and want you to have the flexibility you need to do both. As a University of Kentucky employee, you will be entitled to amazing health insurance options, employee discounts, and a 200% retirement match! Starting your first day, you will annually accrue 3 weeks of paid vacation, 12 sick days, and 10 holidays.Apply today and see why we were named among the nation’s top 10 large employers by Forbes magazine!Skills / Knowledge / AbilitiesProficiency with R, SAS , SQL , and TableauDoes this position have supervisory responsibilities?  NoPreferred Education/ExperiencePhD preferredDeadline to Apply 05/06/2024University Community of InclusionThe University of Kentucky is committed to a diverse and inclusive workforce by ensuring all our students, faculty, and staff work in an environment of openness and acceptance. We strive to foster a community where people of all backgrounds, identities, and perspectives can feel secure and welcome. We also value the well-being of each of our employees and are dedicated to creating a healthy place to work, learn and live. In the interest of maintaining a safe and healthy environment for our students, employees, patients and visitors the University of Kentucky is a Tobacco & Drug Free campus.As an Equal Opportunity Employer, we strongly encourage veterans, individuals with disabilities, women, and all minorities to consider our employment opportunities.Any candidate offered a position may be required to pass pre-employment screenings as mandated by University of Kentucky Human Resources. These screenings may include a national background check and/or drug screen.#CampusGrade
        ","
          38 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Higher Education
Data Scientist - Services Customer Enablement,Lexmark,"Lexington, KY",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/data-scientist-services-customer-enablement-at-lexmark-3897086859?position=3&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=OlVl7AhjJqxxZzgzRsJhTw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          As a Lexmark Data Scientist you will work as a part of the Services Customer Enablement team. Customer Enablement is responsible for the support web experiences and content to answer technical questions our customers or partners may have related to Lexmark’s products and their usage. Enabling customer and partners to find answers is part of self-service. Doing this when they need, on their device of preference, in their language, enables us to personalize their experience and resolve a pain point on their terms, without having to contact Lexmark.The Data Scientist will collaborate with various functional teams and stakeholders throughout Lexmark to identify opportunities to leverage company data to drive business solutions. Mine and analyze data from company databases to drive optimization and improvement of service delivery, product development, and business strategies. Provide support to the development and business area communities for Lexmark data sources, data visualization / dashboards and analysis.  Investigate how to leverage GenAI tools to provide value for content lifecycle management and or search functionality.Skills The skillset to be used in the job are listed below. A strong candidate will have a good foundation in some or all these areas plus the desire to learn the others. Machine Learning, Deep Learning GenAI / LLM familiarity  Statistics  Programming (likely Python, R, SQL)  Data visualization (likely PBI, JMP)  Database and data structures familiarity  Data querying skills (likely SQL)  Communication & organizational skills   Role Requirements:Collaboration with cross functional business areas regarding the research and testing of GenAI tools for support website experience for end users or skilled field technicians. Evaluate the use of GenAI to improve efficiency of Content Authoring team to maintain accuracy and relevance of content on support websites; including leveraging case history from Dynamics (CRM) Manage data tools and visualizations for Service Training. Enabling team to connect training effectiveness to individual performance in field. Work with cross-functional Lexmark team resources to rapidly develop proof of concepts based on business area provided data Blend methodologies from machine learning, applied statistics, and operations research in order to distill complex and disparate data sources into value-added information streams accessible by non-technical staff Create interactive applications and visualizations that empower our workforce to discover advanced analytics without becoming a data scientist Preferred Qualifications:Bachelor of Science in Physics, Math, Statistics, Economics, Chemistry, Computer Science, Data Science, or related fields or direct related experience Computing programming skills & experience such as Python, R, SQL/noSQL, Demonstrated experience with experimental design, sampling methodology, Bayesian inference, generalized linear models, hierarchical modeling, unsupervised learning (factor analysis/principal components/clustering), shrinkage methods (ridge/lasso), decision trees and deep learning. Experience with Cloud Platforms such as Azure File Storage, Azure Databricks, is a plus. General printer business domain knowledge is a plus. How to Apply ?Are you an innovator? Here is your chance to make your mark with a global technology leader. Apply now!We are proudly an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based on race, color, religion, gender, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression.Global Privacy Notice Lexmark is committed to appropriately protecting and managing any personal information you share with us. Click here to view Lexmark's Privacy Notice.
","
          141 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Information Technology & Services
Front-End Web Developer,Murray State University,"Kentucky, United States",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/front-end-web-developer-at-murray-state-university-3904214333?position=4&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=Piv1OoYrmjaaEYV%2BfkzFwg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Summary Of Job Duties And ResponsibilitiesProvides assistance to the Director of Web Management and Digital Marketing in developing the Murray State website, digital marketing initiatives, and administration of the content management system.Assists in providing digital content that communicates with prospective students and clients. Designs and creates content for web according to requirements provided by various stakeholders within the University. Develops and implements components to support Murray State templates. Serves as backup for Director of Web Management and Digital Marketing as needed. Assists the Director of Web Management and Digital Marketing to ensure all website information is compliant with WCAG , accurate and up to date, all links are valid, and all pages reflect branding and content guidelines established by Murray State University. Assists the branding, marketing and communication team on major marketing and promotional campaigns as needed. Provides graphic design assistance and develops page designs to support campaigns. Assists in the implementation of tools to provide tracking and accountability for marketing efforts. Provides technical support to CMS users. Assists with Google Tag Manager and Google Analytics set up and monitoring. Routinely performs quality assurance testing and corrects issues. Works with Director of Web Management and Digital Marketing to develop new features and page templates in CMS , using XML and EXSLT . Additional duties as assigned.
","
          70 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Higher Education
Reliability Engineer,Century Aluminum,"Robards, KY",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/reliability-engineer-at-century-aluminum-3888826736?position=5&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=m3UOANkQ0NTqu2zw2YPbYg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Roles:Provide mechanical, electrical, and instrumentation engineering support. Primary areas include developing and maintaining; reliability programs, Root Cause Problem Elimination (RCPE), preventive and predictive maintenance programs, troubleshooting and project sponsorship. Demonstrates a positive teamwork attitude on a consistent basis.  ResponsibilitiesSupports Safety and Environmental Policies:Adheres to Century safety policies. Support company’s environmental policies and assures that the environmental impact of changes to processes, equipment, and materials are evaluated.  Improves Equipment and Process Reliability:Provide reliability expertise and actively promote a culture of reliability. Performs Root Cause Problem Elimination (RCPE), including follow-up actions and recommendations.Develop new or improve existing preventive and predictive maintenance procedures.Defines, leads and coordinates maintenance work and projects.Stay up to date on reliability and maintenance best practices. Drive equipment improvements based on reliability data. Identify opportunities to improve equipment condition monitoring.  Supports Operations and Maintenance:High level process/equipment troubleshooting. Lead and/or sponsor improvement projects. Maintain an effective working relationship with personnel at all levels of the organization. Provide professional communication through presentations, reports and status updates.Generate ideas for improvements of processes and equipment. Analyze spare parts requirements and identify obsolete or excess spare parts.Provide engineering support.Drives precision maintenance and permanent repairs over temporary fixes Bachelor’s degree in Maintenance/Engineering field required, Master’s preferred. Minimum of 5 years’ experience in a reliability role engaged in manufacturing preferred. An ideal candidate will have a working knowledge of six sigma tools, root cause analysis techniques, preventative maintenance methodologies, and SAP pant maintenance information system. The candidate will possess the ability to partner with plant engineers, planners, supervisors and technicians – thus, interpersonal communication is critical to success.
","
            Be among the first 25 applicants
          ",Associate,Full-time,Engineering,Manufacturing
Applications Engineer,Jobot,"Lexington, KY",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/applications-engineer-at-jobot-3906490751?position=6&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=%2ByNJ%2BY%2BIH3AtjF75AYcIxg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page!Job detailsAn Independent Controls Systems Integrator for Advanced Manufacturing Clients.This Jobot Job is hosted by Kyle O'BryanAre you a fit? Easy Apply now by clicking the ""Easy Apply"" button and sending us your resume.Salary $90,000 - $120,000 per yearA Bit About UsWe're a leading controls and automation integrator specializing in the automotive industry. At the heart of our mission is a commitment to providing cutting-edge solutions that enhance efficiency and drive innovation in automotive manufacturing.As a valued member of our team, you'll have the opportunity to engage in paid training programs, ensuring you stay at the forefront of industry advancements. Our firm takes pride in fostering strong client relationships, collaborating closely to understand and address unique challenges. With a focus on turnkey solutions, we seamlessly integrate controls and automation systems, offering comprehensive support from conception to implementation.Join us in shaping the future of automotive manufacturing, where expertise meets innovation, and every team member contributes to our success.Why join us?Competitive Compensation $90k - $120k Training and development Bonuses Comprehensive benefits - health/dental/vision/life Generous PTO package Company-paid travel and per diem for out of town projects Retirement plan w/ 5% match Relocation assistanceJob DetailsRequirements Bachelors' in Mechanical Engineering OR Associates / Technical degree in related field w/ 5 years' relevant experience 5+ years' experience leading automation projects Ability to build and foster client relationships 3D CAD experience Simulation software experience (SolidWorks, Motosim, Roboguide, RoboDK, etc...) Open to 20% travel throughout the regionDay-to-day Collaborate with management, engineering, and sales teams to coordinate and execute integration projects per customer specs Support estimating team by providing insight and ideas to develop feasible concepts and costs Work with customers throughout entire project lifecycle Work with current automation technologies to create solutions for custom automation systemsInterested in hearing more? Easy Apply now by clicking the ""Easy Apply"" button.Want to learn more about this role and Jobot?Click our Jobot logo and follow our LinkedIn page!
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Software Development
Test Engineer,SMC Integration Solutions,"Nicholasville, KY",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/test-engineer-at-smc-integration-solutions-3894298659?position=7&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=mrBLok4y%2FG3kEQ6%2Fj%2BKK4Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
The Test Engineer’s primary duty is to develop, implement, release and maintain test systems that ensure products perform their proposed functions in an acceptable manner. Developing and supporting internal test systems as well as supporting customer supplied test systems (ICT – In-Circuit Test and FICT – Functional In-Circuit Test) are critical requirements for this role. This role is also responsible for using statistical methods to identify recurring problems and give detailed reports on defects. Essential Functions:Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Develops, supports, and implements ICT and FICT.Supports/implements customer supplied test systems.Using current industry standards, writes software to exercise units under functional test or in-circuit test and programs firmware into IC’s.Writes software to store and retrieve test results in a manufacturing execution system.Develops and Releases test instructions.Implements and manages revision and change control on tester hardware, software, test instructions, and other documentation associated with tester development.Validates tester hardware and software functions correctly before release to manufacturing.Performs ongoing quality assurance on tester hardware and software to ensure systems function as designed.Coordinates with the customer engineering group during quoting process on new prospective products.Uses precision test equipment to test and trouble shoot boards.Works with manufacturing engineering to release new products and resolve issues that might arise.Reads and interprets schematics and drawings.Provides training to others on test procedures.Prepares failure analysis reports for customers as required.Reports any major production errors that would affect product quality.Competencies:Organizational SkillsThoroughness/Attention to detailResults-oriented, strategic thinker and plannerExceptional Communication Skills Supervisory Responsibility:This position does not have supervisory responsibilities. Work Environment:While performing the duties of this job, the employee can be exposed to moving parts and vibration. The noise level in the work environment can be medium. Physical demands:While performing the duties of this job, the employee is regularly required to talk and hear. This position requires sitting several hours at a time, in addition to walking, bending, kneeling and climbing stairs throughout the day. The employee must lift and/or move items up to 25lbs and occasionally up to 50lbs with assistance.Expected Hours of Work:This is a full-time position. Due to the nature of business this position must be able to work a flexible work schedule with varying hours. There is an expectation of working 45 hours a week. Overtime may be required depending on need. Travel:Occasional travel during the day may be necessary. Required Education and Experience:BS/BA in Engineering or AS/AA in Engineering Technology with 5+ years of relevant experienceExtensive test and troubleshooting experience.Proficient in the use of MS Office and computer hardware.Demonstrated experience in coding software utilizing Windows/other operating systems, SQL, Visual Basic, C, .Net, Labview or other software languages.Ability to use various test equipment to aid in troubleshooting.Preferred Education and Experience:BA/BS in Engineering or a related fieldElectronic manufacturing experience Familiarity with electrical CAD systems used to design and produce printed circuit boards.EEO Statement:It is our policy to provide equal employment opportunity to all individuals. We are committed to a diverse workforce. We value all employees’ talents and support an environment that is inclusive and respectful. We are strongly committed to this policy and believe in the concept and spirit of the law.
","
          32 applicants
        ",Entry level,Full-time,Engineering,"Appliances, Electrical, and Electronics Manufacturing"
SOFTWARE DEVELOPER - SETTORE INDUSTRIALE,Reverse,"Verona, KY",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/software-developer-settore-industriale-at-reverse-3904803515?position=8&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=pNCdOlaytGZaVtbcdxH9ZA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Il nostro cliente è una società italiana nata nel 2007 specializzata nella progettazione di marcatori laser e produzione di macchine per la micro-saldatura ed incisione laser.Stiamo ricercando un Software Developer che, a diretto riporto del Responsabile della divisione, si occuperà di sviluppare e programmare software per l'interfaccia grafica delle macchine (display) operanti su sistemi Windows e Linux . Lavorerà sullo sviluppo software su touch pannel, pc embedded, interfacce grafiche, pannelli operatoreRequisiti Esperienza di almeno 2 anni nel ruolo di Software Developer con preferibile provenienza dal settore Industriale  Conoscenza basilare di Linux ( shell ) in ambiente desktop e/o embedded Esperienza nello sviluppo di interfacce grafiche per display Buona conoscenza dell’inglese scritta. CERCHIAMO PROPRIO TE Se ti piace lavorare in un’azienda dinamica, con respiro internazionale,  Se sei una persona ambiziosa, orientata all’obiettivo e proattiva  Se cerchi un’opportunità di crescita accompagnata dalla possibilità di delineare un percorso professionale affine alle tue aspirazioni Sede: Provincia di Verona
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Safety Software Engineer,Toyota North America,"Georgetown, KY",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/safety-software-engineer-at-toyota-north-america-3906213345?position=9&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=qSP6qijcS3o8mC%2F%2FueWKWA%3D%3D&trk=public_jobs_jserp-result_search-card,"
OverviewWho we areCollaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world’s most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We’re looking for diverse, talented team members who want to Dream. Do. Grow. with us.To save time applying, Toyota does not offer sponsorship of job applicants for employment-based visas or any other work authorization for this position at this time.Who We’re Looking ForToyota’s Production Engineering Safety Department is looking for a passionate and highly motivated Safety Software Engineer.The primary responsibility of this role is to provide proactive safety support to the North American region. Areas of focus will include regional data visualization & dashboarding, support of software streamline activity, management of regional software kaizens/concerns, and monitoring progress toward KPI targets. Additional responsibilities will include support of new software implementation and monitoring the safety impact of new technologies.Reporting to the Safety Engineering Manager, the person in this role will support the Toyota Safety Department's objective to prioritize safety through standardization, achieve the best safety performance, and an incident-free workplace.What You’ll Be DoingRegional Data Visualization/DashboardingManage handover of PowerBI dashboarding responsibilities from a vendor to internal Toyota.Host weekly meetings with vendors to understand dashboard status and timelines; communicate these updates to dashboard stakeholders.Maintain & kaizen existing PowerBI dashboards for the Region.Develop new dashboards based on incoming requests from the Region.Prioritize & project manage the kaizen/new requests incoming from the Region.Develop training & upskill all regional safety members on existing dashboards in PowerBI & how to utilize.Conduct maintenance on Safety PowerBI & field questions/concerns from the Region.Track and report on ROI for dashboards and kaizen requests.Data Lake ManagementWork closely with IS to understand current gaps in data currently in the lake from multiple software’s & increase/kaizen to best support software connections & data visualizations.Handle all new data lake requests and updates.Manage ensuring new Safety Software data is properly in the data lake.Software Streamline ActivityMaintain field requests for & kaizen current Safety software based on needs from regional safety members, making sure they align with the Regional Software streamline activity.Support Software Lead on Regional Software streamlining activity.Lead data preparation & migration of existing software to ensure a smooth transition to new Safety software.Support new software deployments (communication development, scheduling, leading pilots, regional support training, etc.).Prepare standardized works & training materials for new software, as well as train all regional safety members on the use of new software.Work with Regional SMEs to build software requirements & ensure new safety software meets the needs of the customer.Support management of sunsetting existing software.Additional TasksManage AskSafety tickets and team.Upskill and manage SMEs for use of AskSafety.Support Software Governance Council.Work with IS to manage user concerns & facilitate countermeasures in TERA.Support development of the Safety Software Landing page.Work with IS & MDT to establish an organizational hierarchy tree for all of Manufacturing, SPO & TLS that aligns with safety Software.Work with DIME to support existing internal Toyota safety software (Digital Kanban, Shutdown Management, Safe Work Authorization, etc.).What You BringBatcheler Degree and/or 5+ years experience in Information Systems/Technology, Computer/Information Science, Business Analytics, or equivalent.Proficiency in Power BI development, data modeling, and data visualization concepts.Experience with data warehouse/data lake management.Demonstrated experience managing projects requiring critical thinking (kaizen), problem-solving, data analysis & verification.Added bonus if you haveMicrosoft Power BI Data Analyst Certification.Data Analytics Professional Certification (AWS, Google, IBM, SAS, etc.).Capable of developing and delivering presentations, generating effective reports, and conducting applicable standards research.Ability to generate business plans and strategies appropriate to the work assigned at the business unit level.What We’ll BringDuring your interview process, our team can fill you in on all the details of our industry-leading benefits and career development opportunities. A few highlights include:A work environment built on teamwork, flexibility, and respect.Professional growth and development programs to help advance your career, as well as tuition reimbursement.Vehicle purchase & lease programs.Comprehensive health care and wellness plans for your entire family.Flextime and virtual work options (if applicable).Toyota 401(k) Savings Plan featuring a company match, as well as an annual retirement contribution from Toyota regardless of whether you contribute.Paid holidays and paid time off.Referral services related to prenatal services, adoption, childcare, schools, and more.Tax-Advantaged Accounts (Health Savings Account, Health Care FSA, Dependent Care FSA).Belonging at ToyotaOur success begins and ends with our people. We embrace diverse perspectives and value unique human experiences. Respect for all is our North Star. Toyota is proud to have 10+ different Business Partnering Groups across 100 different North American chapter locations that support team members’ efforts to dream, do and grow without questioning that they belong. As a company that has been one of DiversityInc’s Top 50 Companies for Diversity and a member of The Billion Dollar Roundtable supporting minority and woman-owned suppliers for over 10 years, we are proud to be an equal opportunity employer that celebrates the diversity of the communities where we live and do business.Applicants for our positions are considered without regard to race, ethnicity, national origin, sex, sexual orientation, gender identity or expression, age, disability, religion, military or veteran status, or any other characteristics protected by law.Have a question or need assistance with your application? Please send an email to talent.acquisition@toyota.com.
        ","
          26 applicants
        ",Not Applicable,Full-time,Engineering and Information Technology,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Industrial Machinery Manufacturing"
Software Developer,"Pinnacle Partners, Inc","Louisville, KY",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/software-developer-at-pinnacle-partners-inc-3901942756?position=10&pageNum=0&refId=WYEPBgdUJcl4hTREjvMpaQ%3D%3D&trackingId=hc%2FtVqLPUK3h%2Fbw%2F9BvmXw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Pinnacle Partners is assisting our client in their search for a Software Developer to join their team in the Louisville, KY area. This successful resource will be responsible for designing, developing, and maintaining web applications using C# .NET and JavaScript frameworks, including Node.js and Angular & AngularJS.  RESPONSIBILITIES:Develop web applications using C#, .Net, MVC, Node.js, Typescript, Razor pages, and SQL.Create user-friendly and secure interfaces, APIs, and databases.Added new features & bug fixes to multiple web applications.Work with Product Owner and stakeholders to understand requirements for business systems.Participate in the design and implementation phases to align technology solutions with business objectives. REQUIREMENTS:3+ years of web development experience in an agile environment.Experience with full-stack development with web applications.Experience with C#/.Net, Typescript, Node.js, and JavaScript.Experience developing API’s in JavaScript/Node.js.Experience working in SQL Server and NoSQL databases. PREFERRED SKILLS:Knowledge of JSON, LINQ, or Entity FrameworkProficiency working with Windows, MacOS, Linux and Unix environments.TERMS:This position is a direct hire opportunity with a salary up to $85K based on experience. They offer benefits including full medical, dental, and vision along with other benefits.
","
          138 applicants
        ",Associate,Full-time,Information Technology,Staffing and Recruiting
