title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Scientist III,WEX,"Portland, ME",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/data-scientist-iii-at-wex-3903331497?position=1&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=q%2F%2FogD1MHyaB%2BWguivOi3g%3D%3D&trk=public_jobs_jserp-result_search-card,"
About The TeamWe are the AI team. We are a fast-growing team and key to WEX’s strategic vision to incorporate artificial intelligence into the fabric of our company. On our team you will not only be working with the latest AI technologies and algorithms, you will be working in a dynamic environment alongside our stakeholders and domain experts to build models and drive better decision-making and new products. We are an informal group that likes to work together. We believe that the best work is driven by purpose and a fun and engaging work environment.How You’ll Make an ImpactYou are driven to do great work. You love learning new things and solving complex problems with data tools and algorithms. You believe that communication and relationships are key to success alongside your data and machine learning prowess.We are looking for someone really rare and we know it. We understand that in some cases you may not exactly check off one of our boxes, but we are interested in knowing how you think that your experience or skills either cover the items below even if in a non-traditional way.Experience You’ll Bring 3+ years of experience as a data scientist, machine learning engineer, applied scientist or analyst with evidence of either thesis work or project work using a computational, model-driven approach to data problemsExperience being an effective member in a mixed team of technical and non-technical colleaguesUnderstanding of empirical research methodsEvidence of creative problem solvingExperience in the financial industry a plusCommand of analytics-based scripting tools and libraries such as Python (pandas, numpy, sklearn, tensorflow, etc.), R, JuliaStrong knowledge of SQLUnderstanding of statistical tests and which to apply whenCommand of probability concepts: distributions, Bayesian inference, maximum likelihood estimation, etc.Familiarity with various machine learning algorithmsUnderstanding of data splitting techniques and generalizationPython, Pandas, Data Science, Machine Learning, Statistical Learning, Applied MathematicsThe base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.Salary Pay Range: $113,000.00 - $150,000.00
        ","
          130 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Software Development
"Senior Data Scientist / Credit Risk, Global Risk Decision Science",WEX,"Portland, ME",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/senior-data-scientist-credit-risk-global-risk-decision-science-at-wex-3897018448?position=2&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=4M2zMP81bLPKeafqBxoNgw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Who We AreOur Team: The Risk Data Science team is part of the Global Risk Solutions and Strategy group. We are a fast-growing team optimizing risk solutions and models, and we are a key function to help enable WEX’s strategic objectives. The Risk Data Science team uses a variety of advanced methodologies (including machine learning and statistical frameworks), a wide suite of data types, and modern technologies to develop solutions to inform decision making. One of the areas of our team helps the firm identify and measure credit risk to proactively manage the risk throughout the client’s life-cycle. As such, you will not only be working with the latest data and machine learning technologies and algorithms, you will be working in a dynamic environment alongside our stakeholders and domain experts to build models and drive better decision-making. Our Company: WEX is a fast-growing multinational payments company based in beautiful Portland, Maine. WEX headquarters is situated in the heart of Portland amongst some of the best restaurants in the country and overlooking the ocean and lighthouses. When you are here, you know you are in Maine. We have generous paid time off and paid volunteering time, not to mention great benefits and a culture that values diversity and inclusion.Who You AreYou are driven to do great work. You love learning new things and solving complex problems with data tools and algorithms. You believe that communication and relationships are key to success alongside your data and machine learning prowess.What You’ll DoPartner with stakeholders to develop data-driven methods to measure and monitor credit risk across the firm’s products and services. Leverage understanding of credit processes (including credit origination, portfolio monitoring, credit line assignment, loss forecasting, and others) to design flexible, scalable, and automated modeling solutions. Utilize advanced statistical and machine learning methods and technologies to deliver best-in-class models to support risk decision makingDevelop code and automated processes to manipulate high volume, high dimensional data sources to extract informative patterns, perform exploratory analyses and engineer useful featuresKeep abreast with emerging trends in lending, macroeconomic environment, and machine learning to identify new opportunities and tools to solve problems and drive innovationSynthesize data science findings into actionable insights and articulate them to the appropriate stakeholders Proactively identify and communicate challenges, opportunities, and risks associated with project work to ensure timely completion of the entire productHow You’ll EngageInsights Driven: Clear hypothesis and objective driven analytics that help drive our business decisions and ongoing metricsStakeholder Aligned: Understand the needs and audience for deliverables with a succinct and tailored message to maximize impactResults Focused: Rigorous focus on how data science drive the end to end experiences with clear path to production and measurable impactDynamic Collaboration: Drive continual improvement of our team best practices and processes to power collaborationQuality Mindset: Trust in our findings is critical so data and analytic quality is understood and accounted for from the beginningCuriosity and Learning: Learn new technologies and collaborate and teach others how to use them as necessary.Experience You’ll Bring:3+ years of hands-on experience leveraging statistical and machine learning methods to deliver impactful solutions for measuring and managing credit risk, credit risk strategy, or other elements of the credit risk life-cycleSolid understanding of credit risk-drivers in small and medium sized businesses, public firms, and private firms, including data typically used in credit risk management from external credit bureaus and internal risk management processes Master’s or PhD degree in a quantitative field such as Mathematics, Statistics, Data Science, Operations Research, Computer ScienceAdvanced knowledge of SQL and experience creating complex processes to transform large datasets for modeling and analysisSolid knowledge of scripting languages such as Python or R and standard data visualization and modeling libraries such as scikit-learn, matplotlib, pandas, numpy etc.Solid knowledge of statistical principles, such as testing, probability distributions, Bayesian inference, maximum likelihood estimation, sampling, regression modeling, time series forecasting etc.Solid knowledge of machine learning algorithms such as random forests, gradient boosting models, decision trees, anomaly detection, clustering, regularization, imbalanced data techniques etc. Strong communication and presentation skills with an ability to relate complex analytics findings to business outcomesAdaptable and comfortable working collaboratively and independently in a self-starting mannerExperience being an effective member in a mixed team of technical and non-technical colleaguesEvidence of creative problem solving, critical thinking and a continual learning mindsetHow You Will Stand Out2+ years experience building machine learning credit risk models in payment processing spaceExtensive knowledge of data attributes and coverage of risk-factors in external bureau data for small business.Credit risk rating and credit line management modeling experienceExperience developing machine learning models in a cloud environment, such as AWS Experience with end–to-end ML lifecycle and MLOps frameworks such as Docker, CI/CD, Airflow.Key WordsCredit Risk, Originations, Underwriting, Loss Forecasting, Python, Data Science, Machine Learning, Statistical Learning, Applied Artificial IntelligenceThe base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.Salary Pay Range: $113,000.00 - $150,000.00
        ","
          46 applicants
        ",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Software Developer,H2 Performance Consulting,"Kittery, ME",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/software-developer-at-h2-performance-consulting-3887682426?position=3&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=8oiYCccK89gGJcq1bdjJxg%3D%3D&trk=public_jobs_jserp-result_search-card,"
H2 Performance Consulting is subject to the Vietnam Era Veteran's Readjustment Assistance Act as a Federal Contractor and is an Equal Opportunity/Affirmative Action Employer and strives to build a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status or disability status. Additionally, as mandated under Executive order 12989, H2 is required to verify employment eligibility of selected candidates through the Department of Labor’s - E-Verify.H2 Performance Consulting (H2) is seeking a Mid-Level Software Developer to support the Naval Sea Logistics Center (NAVSEALOGCEN). The Mid-Level Software Developer will support all aspects of Software Development and Maintenance.The Mid-level Software Developer responsibilities will include providing:Modification of software or system codeTesting software or systemsAnalyzing and/or designing software or systemsDefining software or system requirementsDeploying software or systemsDevelopment and maintenance of system documentationRequired Education: Bachelor’s Degree or Higher in a computer or information science related field (e.g. Computer Engineering, Computer Science, Information Technology, or Information Systems) Minimum of three (3) years’ experience in IT Software Development to include designing and developing database driven IT applications in one or more software languages such as C++, Java/J2EE, Visual Basic, .net, HTML/XML, PowerBuilder, and/or DelphiRequired Qualifications / Certifications: IAT II certification (i.e., Security+ CE; CySA+: GICSP; GSEC; SSCP; CND; or CCNA Security)Desired Qualifications / Certifications: Experience with applying modern software development methodologies (e.g. Agile, DEVOPS/DEVSECOPS) Agile Developer certification or Certified Scrum Developer certificationClearance Qualifications: Active Secret security clearance at the time of applicationQualified candidates may submit their resume to the career section of our company website at http://www.h2pc.com. All resumes will be reviewed within 5 business days and those candidates we wish to further in the application process will be contacted via email/phone to schedule initial phone screens.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
"Sr. Data Scientist, Innovation",WEX,"Portland, ME",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/sr-data-scientist-innovation-at-wex-3903507570?position=4&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=qHqmAsSraXxw71qxZ6fFxA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          This is a remote position, however, the candidate must reside within 30 miles of one of the following locations: Portland ME, Boston MA, Washington DC, Dallas TX and San Jose CA.About The RoleAre you a passionate and talented AI and Data Scientist looking for an opportunity to make a real impact? Join our innovative team and work on cutting-edge AI/ML applications that are revolutionizing industries such as fleet & EV, Health Benefits, and Corporate Payments. In this high-impact role, you will leverage your expertise in data science and AI to develop solutions that tackle complex, real-world problems for both internal and external customers. If you thrive in a dynamic environment, enjoy pushing the boundaries of what's possible with AI and machine learning, and want to be part of a mission-driven organization, we would love to hear from you.How You'll Make an ImpactLead the development and implementation of AI/ML models and algorithms to drive innovation across various industries, including transportation (Fleet, trucking & EV), Health Benefits, Travel and Corporate PaymentsCollaborate with cross-functional teams to identify and prioritize high-impact use cases for AI/ML applicationsDrive rapid prototyping efforts, focusing on learning from experiments, iterating on solutions, in order to understand what the right solutions areDemonstrate innovative and creative thinking to develop novel AI/ML approaches and solutionsPartner with product teams in order to embed AI/ML model solutions into web and mobile applicationsDevelop and implement solutions leveraging large language models and other advanced AI techniques to tackle complex problems, such as natural language understanding, text generation, question & answering, agent workflows and knowledge representationConduct in-depth data analysis and feature engineering to extract valuable insights and improve model performancePartner with our AI platform team to Design, develop, and deploy scalable and robust AI/ML solutions to solve complex business problems and improve operational efficiencyContinuously monitor and optimize AI/ML models to ensure their accuracy, reliability, and performance in production environmentsStay up-to-date with the latest advancements in AI/ML technologies and apply them to drive innovation and maintain a competitive edgeMentor and guide junior data scientists and foster a culture of continuous learning and knowledge sharing within the teamExperience You'll BringPh.D. or Master's degree in Computer Science, Statistics, Mathematics, or a related quantitative field (we will consider exceptional candidates without advanced degrees)5+ years of hands-on experience in developing and deploying AI/ML models in a production environmentStrong expertise in machine learning algorithms, deep learning frameworks (e.g., TensorFlow, PyTorch), and statistical modeling techniquesProficient in programming languages such as Python, R, and SQL for data manipulation and analysisExperience with big data technologies (e.g., Snowflake, Google BigQuery) and cloud computing platforms (e.g., AWS, GCP, Azure)Excellent problem-solving skills and ability to think creatively to develop innovative AI/ML solutionsStrong communication and collaboration skills to effectively work with cross-functional teams and stakeholdersProven track record of delivering high-impact AI/ML projects in a fast-paced and dynamic environmentDemonstrated ability to persevere and iterate through solutions in the face of technical challenges and setbacksExperience with embedding AI/ML models into web and mobile applicationsHands-on experience in building solutions leveraging the latest AI capabilities and advancements, including large language models, generative AI, and other state-of-the-art techniquesWhat We OfferA dynamic, innovative, and collaborative work environment that fosters creativity and encourages out-of-the-box thinkingOpportunity to work on cutting-edge AI/ML projects that have a significant impact on various industries, including fleet & EV, Health Benefits, and Corporate PaymentsAccess to state-of-the-art technology, tools, and resources to support your work and professional developmentMentorship from experienced AI/ML professionals who are leaders in their field and dedicated to helping you grow and succeedCollaborative opportunities with cross-functional teams, allowing you to expand your skills and knowledge across various domainsContinuous learning and development opportunities, including workshops, conferences, and training programs to keep you updated with the latest advancements in AI/MLFlexible work arrangements that promote work-life balance and support your personal and professional well-beingCompetitive compensation package, including salary, benefits, and performance-based bonusesJoin a purpose-driven organization that is committed to making a positive impact on society through innovation and technologyBe part of a collaborative, inclusive, and supportive team that values diversity, integrity, and excellenceEnjoy a culture that promotes work-life balance, fosters continuous learning, and celebrates individual and collective achievementsAlign yourself with a company that prioritizes customer-centricity, sustainability, and ethical business practicesA diverse and inclusive workplace that values and celebrates individual differences and fosters a sense of belongingThe base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.Salary Pay Range: $135,000.00 - $180,000.00
        ","
          87 applicants
        ",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
JUNIOR Software Engineer (Java / React.JS),TechTammina LLC,"Augusta, ME",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/junior-software-engineer-java-react-js-at-techtammina-llc-3888444829?position=5&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=1HAo86M1SwV%2BRrz7AepwMA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Role: JUNIOR Software Engineer (Java / React.JS)Location: Augusta, Maine (100% onsite)Duration: 12 monthsRate: MarketCurrently looking for a Software Engineer to provide additional experience developers to augment the in-house development staff as we refactor two major application systems to a REST based SOA architecture paired with a WCAG 2.0 compliant modern browser-based UI.These additional contract programmers will bring experience coding Java for the target system architecture, working closely with existing programmers which have extensive knowledge of the existing system and necessary business logic. State staff cannot dedicate sufficient time to the refactoring and UI improvements to the application to complete them in a reasonable time, while providing day-to-day maintenance of our in-house applications. The longer the development process takes, the more the end functionality becomes a moving target, causing double the maintenance changes to be coded - in both new and old application code. Additional resources are necessary to achieve completion of major areas of the application within a matter of months, and a rolling schedule of REST and GUI designcompleted for further areas.DutiesDevelop and implement user interfaces and UI components using React.js, calling upon REST API services.Refactor business logic and DB I/O java code from servlets implementing complete MVC to SOA.Write Java Code for a Service Oriented Architecture utilizing JSON/REST via Spring and CXF.QA/TestingMaven and test Mock class implementations to enable unit testing and instrument the tested code paths.Automated security analysis of Java code
        ","
          53 applicants
        ",Entry level,Full-time,Other,IT Services and IT Consulting
PLC Programmer,ProSearch,"Houlton, ME",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/plc-programmer-at-prosearch-3889080382?position=6&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=aKxSCFTWSVDCZLHMWSPPDg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our client, based in Houlton, Maine, is searching for a Senior Plant Controls Engineer to join their team. This direct-hire role offers the chance to work onsite and tackle moderately complex engineering projects.Key Responsibilities:-Engineering Excellence: Develop and implement engineering solutions that meet project goals and customer requirements.-Control Systems: Design automation and process control systems integrating PCs, PLCs, AC or DC Drives, Position Controllers, and more.-Statistical Control: Incorporate statistical control components into system design, including control charting, real-time and historical trending, remote monitoring, and data acquisition/control.- Programming Pro: Develop, install, and debug control system programming, encompassing PC operating, PC/PLC communications, PLC HMI, and specialty component software.Qualifications:- Tech-Savvy: Strong knowledge of networking equipment, software, routers, and cabling.- PLC Expertise: Detailed understanding of plant PLCs and HMI software.- HMI Mastery: Proficiency with HMI hardware and software, including Wonderware Intouch and Active Factory.- Drive Knowledge: Familiarity with AC & DC drives, coordinated drive systems, and position control systems.Experience:- 5+ years of hands-on experience in automation and process control systems.ProSearch was established in Portland, Maine in 1994 to provide companies with a full range of search, staffing and contracting services, specializing in the functional areas of information technology, accounting and finance, sales and marketing, customer service, human resource and office support utilizing a consultative approach. ProSearch strives to develop true partnerships with client companies and candidates to fully understand and satisfy their employment needs.Pro Search is proud to be an affirmative action / equal opportunity employer. All qualified applicants will receive consideration without regard to race, creed, gender/sex, marital status, sexual orientation, citizenship status, color, religion, national origin, age, disability, veteran status, or any other status protected under local, state or federal laws.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Front End Entry Level,Shaw's Supermarkets,"Brunswick, ME",2024-04-21,On-site,,https://www.linkedin.com/jobs/view/front-end-entry-level-at-shaw-s-supermarkets-3906960186?position=7&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=GuwBRKfUbPJ9QaXY4M3KSQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
A Day in the Life:When you begin your job with us working on the front-end as a courtesy clerk, customer service associate, or cashier, you are taking a step towards an opportunity that can help you learn, grow, and even develop a long-lasting career! We know you're choosing to invest your time with us, and we are committed to doing the same for you through on-the-job and online learning opportunities! Whether you are here for your first job or your last, from groceries to health needs, you guide, inspire, and make all customers' visit memorable. We build belonging by creating a diverse and inclusive workforce so, if you have smiles to share, we'd love to have you on our team.What you bring to the table:You take pride in the work you do, whether big or small.You believe that food is central to all our lives.Helping customers and fellow associates gives you energy.Smiling and making others smile is your favorite.You are eager, willing, and wanting to learn & grow.You believe that being a part of your community matters.Why you will choose us: Albertsons Companies Inc. has always been a people-oriented business, and thoughtful people practices remain a core element of our company’s philosophy. Our goal is to continue to bring people together around the joys of food and to inspire well-being and that starts with people like you bringing your unique self to our company and making it one person stronger and better!We also provide a variety of benefits including:Diverse & Inclusive Work CultureCompetitive Wages Paid WeeklyFlexible work schedulesAssociate discountsLeaders invested in your training, career growth & development.Health and welfare benefits for eligible employees (Medical, Dental, 401k and more!)Vacation / Paid Time OffOur ValuesWe put people first.We are customer driven.We value different perspectives.We raise the bar.We act as owners.We are one team.We build belonging.We are committed to a healthy future.About Us:Albertsons Companies is committed to bringing people together around the joys of food and to inspire well-being by transforming the grocery and pharmacy-health experience for our customers. Each day, we work to earn customers for life.Albertsons Companies is a leading food and drug retailer in the United States. The Company operated 2,271 retail stores with 1,722 pharmacies, 401 associated fuel centers, 22 dedicated distribution centers and 19 manufacturing facilities. The Company operates stores across 34 states and the District of Columbia with 24 banners including Albertsons, Safeway, Vons, Jewel-Osco, Shaw's, Acme, Tom Thumb, Randalls, United Supermarkets, Pavilions, Star Market, Haggen, Carrs, Kings Food Markets and Balducci's Food Lovers Market. The Company is committed to helping people across the country live better lives by making a meaningful difference, neighborhood by neighborhood. In 2022, along with the Albertsons CompaniesFoundation, the Company contributed more than $200 million in food and financial support, including more than $40 million through our Nourishing Neighbors Program to ensure those living in our communities and those impacted by disasters have enough to eat.DisclaimerThe above statements are intended to describe the general nature of work performed by the employees assigned to this job and are not the official job description for the position. All employees must comply with Company, Division, and Store policies and applicable laws. The responsibilities, duties, and skills of personnel may vary within store and/or from store to store and the official job description will be provided during the application process.Albertsons is an Equal Opportunity Employer This Company is an Equal Opportunity Employer, and does not discriminate on the basis of race, gender, ethnicity, religion, national origin, age, disability, veteran status, gender identity/expression, sexual orientation, or on any other basis prohibited by law. Consistent with applicable state and local law, the Company will consider for employment qualified applicants with arrest and conviction records.We endeavor to make this site accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact us at 1-888-255-2269(option #4).
        ","
            Be among the first 25 applicants
          ",Not Applicable,Part-time,Other,Retail Groceries
Full Stack Engineer - Front End Focused,seasonshare,"Portland, ME",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875651585?position=8&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=5Hj337pC4DfSN%2BUYrs4%2F7w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"South Portland, ME",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875649643?position=9&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=LwI%2FXjRWvHarSnzP0SajjA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Biddeford, ME",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875649593?position=10&pageNum=0&refId=w1Q7%2BXnbjr13TcoixOazrA%3D%3D&trackingId=gmes8Ze7bT4GOtu2NW%2Bvmg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
