title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Computer Scientist,US Army Corps of Engineers,"Vicksburg, MS",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/computer-scientist-at-us-army-corps-of-engineers-3890880124?position=2&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=wnJqsQ7uBiv9xbBbB7bUMQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Qualifications:Experience developing GUIs for a variety of applications and data processing experience working with SQL server databases, Python, MATLAB, C# programming languages, and data formats like JSON, CSV, HDF5, and NetCDF.Experience working with structured (i.e. SQL) and common data formats (e.g. CSV, JSON, HDF) leveraging open-sourced languages like Python, Go, or JavaScript.Experience with front-end design and web development with open-sourced mapping canvas (focusing on React-Redux and Maplibre GL), API development with open-sourced GIS technologies for large scale queries (e.g. PostGIS, GDAL, mapserver), scientific modeling with optimized large-scale spatial and non-spatial data processing, and general knowledge of web infrastructure like containerization and AWSDetail oriented with problem solving skills including: evaluation of datasets and model results for data processing, ability to accomplish tasks efficiently and effectively convey results to sponsors, trouble-shooting, and optimization of processes within MATLAB, Python, and/or C++ scripts.Degree Level PreferredBachelor's Degree, Master's DegreeDegree Type PreferredComputer ScienceCareer Level Preferred3-5 Years of Experience, 5-8 Years of Experience, 8+ Years of Experience, No ExperienceThis is an unofficial job posting.Must be a U.S Citizen to apply.
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Information Technology,Government Administration
Software Design Engineer,Mackinnon & Partners,"Columbus, MS",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/software-design-engineer-at-mackinnon-partners-3904157769?position=3&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=Z80GD%2FiSKTeFaovh4PTdbw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Position: Software Design Engineer Location: Columbus, MS (Onsite)Relocation AvailableShift timing:Monday to Thursday4 days a week with 10 hours shift Friday, Saturday & Sunday off.Duties/ResponsibilitiesDesign and development of software solutions that meet stringent requirements of defense systems. Implement efficient algorithms, data structures, and maintainable code.Develop and execute comprehensive test plans, including unit testing, integration testing, and system testing, to validate the functionality and performance of the software.Ensure that software designs adhere to protocols and standards, including security measures, to safeguard sensitive defense-related information.Create documentation, including design documents, technical specifications, and user manuals, to facilitate the understanding and maintenance of the software.Identify opportunities for performance optimization and implement solutions to ensure the software operates efficiently under demanding conditions.Utilize version control systems to manage and track software changes, ensuring traceability and easy collaboration with team members.Provide ongoing support, troubleshooting, and updates software, addressing issues that may arise.Ensure that designs comply with relevant safety and industry regulations, and MIL standards.Collaborate with cross-functional teams, including program management, and mechanical, electrical and systems engineers, to ensure successful project execution.Identify and resolve technical issues and challenges related to software design, both independently and as part of a team.Stay current with industry trends, emerging technologies, and best practices in software engineering to drive continuous improvement in our designs.Required Skills/AbilitiesStrong knowledge of software development methodologies, design patterns, and best practices.Familiarity with software security and encryption techniques.Experience with version control systems and collaboration tools.Knowledge of defense industry regulations and standards.Education and ExperienceBachelor's degree in Computer Science, Software Engineering, or a related engineering field. Master's degree preferred.Demonstrated experience in software design and development, with a focus on defense systems or similarly complex, safety-critical applications such as missile systems and loitering munitions.Security clearance or eligibility to obtain required.Must be a U.S. person as defined by 22 U.S.C. § 6010
","
          78 applicants
        ",Mid-Senior level,Full-time,Design and Quality Assurance,Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing
Software Engineer,System Soft Technologies,"Jackson, MS",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-system-soft-technologies-3882084476?position=4&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=3ypwMx4vw9KUmUbVSOTfOg%3D%3D&trk=public_jobs_jserp-result_search-card,"
JOB DESCRIPTION: This position is for an intermediate level Microsoft .Net Developer. This individual will be asked to participate and perform at every level of the development life cycle. Requirements gathering, design, development, testing/ QA, implementation, training, and maintenance. REQUIREMENTS: These are hard requirements. Please do not submit candidates with less than the required years of experience in each section.Years Required Skills/Experience8 IT experienceHands-on application development skills with the following Microsoft software:7 ASP.NET utilizing Web Forms (MVC EXPERIENCE WILL NOT APPLY)7 VB.NET (or) C#7 Visual Studio 2010 or later7 SQL Server 2008 or laterOther development skills:7 JavaScript7 HTML7 CSS5 AJAX3 jQuery2 Bootstrap2 JSON3 XML1 Data conversion/migration 3 Writing complex SQL queries, Functions & Store Procedures2 Writing console and batch applications for data interfaces2 Developing web services using WCF – Windows Communication Foundation1 Team Foundation Server/ GIT Source Code Management Other skills:7 Expertise in designing and implementing web-based applications using a Microsoft platform7 Experience in the full application/systems development life cycle, including analysis, requirements definition, design, technical specifications research, development, testing, implementation, and maintenanceYears Required Skills/Experience Ability to effectively communicate in English verbally and in writing Strong oral and written communication, customer service, and time management skills Expertise in IT project management, including the ability to develop, track, and manage project work plans Ability to work effectively with a team to accomplish team projects and solve technical problems Ability to conceive and/or develop creative solutions and possess strong problem-solving skills Experience working with outlined standards Ability to manage multiple tasks and projects quickly and efficiently in a public-facing environment Ability to mentor other employees Experience developing and maintaining documentation for procedures and processesYears Value-Add Skills (Additional Points)1 Experience Developing and Maintaining Payment Applications1 Experience with Licensing & Permitting Application Development & Maintenance1 Experience with Time & Attendance Applications Development & Maintenance1 Data conversion/migration (excluding DTS & SSIS migration packages)1 Crystal Reports Designer1 Experience with FoxPro Version 9
","
            Over 200 applicants
          ",Mid-Senior level,Contract,Information Technology,Government Administration
Natural Developer,Software People Inc.,"Jackson, MS",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/natural-developer-at-software-people-inc-3888432360?position=5&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=1FF4OtlY81858HRs1AhH1Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Hello,Please let me know your interest for the position below. Also share your Updated resumePhone/Skype Hire. Onsite from day 1 Location: Jackson, MSDuration: 12+ monthsResponsibilitiesDesign, develop and maintain ADABAS Natural solutions to support the State's Legacy Payroll and Human Resource System (SPAHRS). Participate in all stages of application development, testing, maintenance, and user supportSkills NeededMust have knowledge of TSO/ISPF, VTAM/Switch, and CICS.Must have experience in design and development using Natural and Natural Construct programming language.Must have experience using the Adaptable Data Base System (ADABASE) for database management.Must have experience using PREDICT software.Must have experience using Job Control Language (JCL) and File Transfer Protocol (FTP) processing thru JCL.Must be able to coordinate change management protocols and work within a team-oriented structured environment.Must have experience programming in a public sector environment.Must have experience in W-2 processing/reporting and other end of year federal reportingMust have experience in electronic funds processing and addendum records.A background using SAS, ADCAMS, and IBM batch utilities are desirable.Knowledge of N2O change management.z/OS MVS operating system, TSO/ISPF, JCLADABAS, Natural2, and Natural Construct
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
Test Engineer,Hyve Solutions,"Olive Branch, MS",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/test-engineer-at-hyve-solutions-3888109755?position=6&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=CzxmS8Bp5eAbPLpP2mi%2FrA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Hyve Solutions is a leader in the data center solutions industry, designing, manufacturing, and delivering custom Server, Storage, and Networking Solutions to the world’s largest Cloud, Social Media, and Enterprise companies. We pride ourselves on collaboration, innovation and thought leadership. Our team consists of diverse, forward-thinking individuals who dare to challenge the status quo, while working with many of the world’s biggest customers. Hyve Solutions is a part of Synnex Corporation, a Fortune 500 company. Become part of a team that thrives on excellence in a fast changing, high-growth technology environment!Hyve Solutions is looking for a detail-oriented, hands-on, results-driven individual with proven communication skills and a strong work ethic to work in a challenging, fast-paced, energetic environment.Responsibilities:Perform troubleshooting and root-cause analysis on hardware, network, and software related issues.Hardware debugging of complex/high-end servers and hyperscale compute & network racks, including loading applications and operating systems.Software debugging (e.g., reading test logs and identifying failure modes & errors).Test and validate new product platforms and software.Develop, implement, and maintain test process instructions (TPI) for production.Provide support to manufacturing and all other critical teams internally.Train production employees on test processes.Maintain and review test equipment and capacity.Analyze first pass yield and implement continuous improvement projects to eliminate failures and defects. Develop and maintain excellent working relationships with internal and external teams in support of overall company objectives.Qualifications:Bachelor’s degree in related Engineering field is preferred.A minimum of 3 to 5 years’ related work experience is preferred. Experience with MySQL queries, Python, JIRA, Confluence, and navigating customized software solutions.Experience working on complex problems where analysis or data requires evaluation and identifiable factors and interacting with leadership on matters concerning several functional areas, divisions, and/or customers.Ability to implement strategic policies when selecting methods, techniques and evaluation criteria.Ability to work in both a standard office setting, including continuous sitting, standing, keyboarding and a manufacturing environment, including variable temperature and noise.Ability to work as business needs require which may include long days, occasional evenings and weekends, and occasional travel for business meetings or training.Salary Range: $46,000 - $75,500/yrHyve PerksEvery Day is Casual Day • Company Discounts • Community Involvement Opportunities • Profit Sharing • Medical, Dental & Vision Insurance • 401k • FSA & HSA • Paid Vacation, Holiday & Sick Days • Employee Stock Purchase Plan • Tuition Reimbursement • Live Well Work Well Program • And MoreThe preceding job description has been designed to indicate the general nature and level of work performed by employees with this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job.@ HYVE Solutions, we believe employees are our greatest asset and we empower them to make a difference in our business. Diversity and inclusion make us all better. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.
","
          62 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Computer Hardware Manufacturing
Software Design Engineer - Aerospace,nTech Workforce,"Columbus, MS",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/software-design-engineer-aerospace-at-ntech-workforce-3900955854?position=7&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=jEXvxWV2RIoVdXYXpMhNJQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Title: Software Design Engineer - AerospaceLocation: Columbus, MS 39701Duration: Direct Hire/ Full Time This position is 100% onsite in Columbus, Mississippi - Relocation is offered Job Description: Terms of EmploymentDirect HireThe office is located in Columbus, MS. This is a full-time position, 40 hours per week.OverviewOur client is a world leader in the design and manufacture of technologically sophisticated defense systems, combining the close-knit teamwork and high visibility of a small company with the stability and resources only a large global firm can provide. Add in their employee-friendly culture and great regional lifestyle, and you’ll see why joining the Company could be the best move of your career.Our client is seeking a highly skilled and experienced Software Design Engineer to contribute to the design and development of systems for products – particularly with defense programs. The successful candidate will play a crucial role in ensuring the reliability and performance of product software, from concept through to production, including re-engineering existing products to meet customer requirements and specifications.ResponsibilitiesDesign and development of software solutions that meet stringent requirements of defense systems. Implement efficient algorithms, data structures, and maintainable code.Develop and execute comprehensive test plans, including unit testing, integration testing, and system testing, to validate the functionality and performance of the software.Ensure that software designs adhere to protocols and standards, including security measures, to safeguard sensitive defense-related information.Create documentation, including design documents, technical specifications, and user manuals, to facilitate the understanding and maintenance of the software.Identify opportunities for performance optimization and implement solutions to ensure the software operates efficiently under demanding conditions.Utilize version control systems to manage and track software changes, ensuring traceability and easy collaboration with team members.Provide ongoing support, troubleshooting, and updates software, addressing issues that may arise.Ensure that designs comply with relevant safety and industry regulations, and MIL standards.Collaborate with cross-functional teams, including program management, and mechanical, electrical and systems engineers, to ensure successful project execution.Identify and resolve technical issues and challenges related to software design, both independently and as part of a team.Stay current with industry trends, emerging technologies, and best practices in software engineering to drive continuous improvement in designs.Required Skills & Experience Bachelor's degree in Computer Science, Software Engineering, or a related engineering field. Master's degree preferred.7 years of demonstrated experience in software design and development, with a focus on defense systems or similarly complex, safety-critical applications such as missile systems and loitering munitions.Security clearance or eligibility to obtain required.Must be a U.S. person as defined by 22 U.S.C. § 6010Strong knowledge of software development methodologies, design patterns, and best practices.Familiarity with software security and encryption techniques.Experience with version control systems and collaboration tools.Knowledge of defense industry regulations and standards.Sincerely,Preetam Raj Lead Technical RecruiternTech Workforce Inc.D: 410-505-4857 EXT: 726E: preetam@ntechworkforce.compreetam(at)ntechworkforce(dot)com
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Information Technology,"Aviation and Aerospace Component Manufacturing, Airlines and Aviation, and Defense and Space Manufacturing"
Software Design Engineer (Defense Systems),Avant Search,"Columbus, MS",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/software-design-engineer-defense-systems-at-avant-search-3907132185?position=8&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=RPYJttAwWRWtKEcLHHPpTQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Responsibilities:Design and develop software solutions for defense systems, meeting stringent requirements. Implement efficient algorithms, data structures, and maintainable code.Develop and execute comprehensive test plans, including unit testing, integration testing, and system testing, to validate software functionality and performance.Ensure software designs adhere to protocols, standards, and security measures to safeguard sensitive defense-related information.Create documentation such as design documents, technical specifications, and user manuals to facilitate software understanding and maintenance.Identify opportunities for performance optimization and implement solutions to ensure efficient software operation under demanding conditions.Utilize version control systems to manage and track software changes, ensuring traceability and collaboration with team members.Provide ongoing support, troubleshooting, and updates to software, addressing issues that may arise.Ensure designs comply with relevant safety regulations, industry standards, and MIL standards.Collaborate with cross-functional teams, including program management, mechanical, electrical, and systems engineers, for successful project execution.Identify and resolve technical issues and challenges related to software design, independently and as part of a team.Stay updated with industry trends, emerging technologies, and best practices in software engineering to drive continuous design improvement.Education and Experience:Bachelor's degree in Computer Science, Software Engineering, or a related engineering field. Master's degree preferred.Demonstrated experience in software design and development, focusing on defense systems or similarly complex, safety-critical applications such as missile systems and loitering munitions.
","
            Be among the first 25 applicants
          ",Associate,Full-time,Engineering,Aviation and Aerospace Component Manufacturing
SQL Application Developer -SME Level - 1723,"Certec, Inc.","Jackson, MS",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/sql-application-developer-sme-level-1723-at-certec-inc-3907105486?position=9&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=d%2BNG%2FTGgSsvzDbDpDvQvqw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Location:- Jackson, MSLocal Candidates PreferredRemoteRate:- $ 87.50/hr on W2 - $92.50/hr on 1099/Easy Submission Procedure DO NOT EMAIL Step 1 DOWNLOAD Step 2 COMPLETE SKILLS MATRIX Skills Matrix (link)https://docs.google.com/document/d/17YhpNOyZiI_xPovQO_PtUf3T3y1LDggN/edit?usp=sharing&ouid=116800367808649467210&rtpof=true&sd=trueStep 3 DO NOT SUBMIT VIA LINKEDIN, INDEED OR DICE USE THE EASY APPLY BUTTON AT: https://certecinc.com/certec-open-positions/ DO NOT SUBMIT VIA EMAIL, it will not be processed ******Job DescriptionThis position will require a qualified Developers to take the lead in the following tasks:Designing applicationsCreating applicationsCoding applicationsUpdating applicationsTesting products for functionality and errorsRequired DegreeBachelor’s degreeRequired Skills/ExperienceKnowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery) Hands-on experience with and end user applications Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)Familiarity with databases (e.g. MySQL, MongoDB), web services and UI/UX design Ruby on Rails, or Rails application development 7Familiarity with application design, documentation, and coding FAMILIARITY WITH APPLICATIOM DESIGN, DOCUMENTATION & CODING Scrum Agile methodology. GitHub Azure DevOps Local Candidate Preferred
","
            Be among the first 25 applicants
          ",Mid-Senior level,Contract,Engineering and Information Technology,Information Services
System Design Engineer (Defense Systems),Avant Search,"Columbus, MS",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/system-design-engineer-defense-systems-at-avant-search-3907132265?position=10&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=2tS%2FxPgYbfp%2F9UIxJlvDLQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Responsibilities:Design and develop systems that meet project requirements and performance objectives.Plan and execute comprehensive testing and validation procedures for all product systems.Analyze test results and provide recommendations for improvements or modifications.Collaborate to integrate products into larger defense systems, ensuring compatibility and seamless operation with other components.Implement safety and reliability standards and procedures throughout the system's lifecycle. Conduct risk assessments and develop mitigation strategies.Create and maintain detailed technical documentation, including system specifications, design documents, test plans, and reports.Troubleshoot and resolve complex technical issues related to system design and function. Conduct root cause analysis and implement corrective actions.Please make sure that designs comply with relevant safety regulations, industry standards, and MIL standards.Collaborate with cross-functional teams, including program management and electrical, mechanical, and software engineers, to ensure successful project execution.Identify and resolve technical issues and challenges related to system design, both independently and as part of a team.Stay current with industry trends, emerging technologies, and best practices in systems engineering to drive continuous improvement in our designs.Education and Experience:Bachelor's degree in Aerospace or Aeronautics Engineering or a related engineering field. Master's degree preferred.Demonstrated experience in systems design engineering, preferably with defense programs such as missile systems and loitering munitions.
","
            Be among the first 25 applicants
          ",Associate,Full-time,Engineering,Aviation and Aerospace Component Manufacturing
Integrations Solutions Developer,Camgian,"Starkville, MS",2024-04-19,On-site,,https://www.linkedin.com/jobs/view/integrations-solutions-developer-at-camgian-3905857987?position=12&pageNum=0&refId=B893O81mkTB7ZDqBEACQBA%3D%3D&trackingId=pA7XCbIWmvEBCCkeBaAMFQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Camgian is seeking an Integration Solutions Developer to build and maintain database and software integrations across various platforms for our company. In this role, you will identify, plan, and execute integration strategies, create tools for other developers, ensure ongoing monitoring, and maintain as well as optimize your builds. To ensure success as an Integration Solutions Developer, one will need to have analytical and problem-solving abilities, be able to work with multiple programming languages, databases, and API’s. Successful candidates can creatively solve integration problems and is comfortable writing and maintaining complex systems. The Integration Solutions Developer will play a crucial role in Camgian’s Operations team and the company’s ongoing digital transformation initiatives. Teamwork, flexibility, and willingness to continuously learn new tools & technologies are critical requirements for this position.QualificationsBachelor’s degree in Computer Science, Software Engineering, Information Systems or related field2-5 years of experience working as a programmer and/or database developer or related role with a focus on developing, maintaining, and integrating systems knowledge of multiple programming languages (e.g., C#, C++, Java, Python, or others)knowledge of databases, SQL (or equivalent), and API development & integrationInterpersonal skills along with the ability to work in a teamA keen eye for detail and the ability to spot and fix errors in complex codeAnalytical and problem-solving abilitiesAbility to perform tasks independentlyGood presentation and report-writing skills.United States CitizenshipDesired Skillsprogramming skills that relate to code development, maintenance, and implementationknowledge of integrations, development processes, and integration architectureswith Microsoft Office 365 including SharePoint, Power Automate, and Power Appswith Linux operating systemswith cloud software and systemsResponsibilitiesDevelop and implement software and database solutions to automate and improve operational processesCreate scripts and dashboards for monitoring and verifying system integrationsWork with a cross functional team to determine and understand requirementsFormulating strategies and designing architectures for systems integrationsDevising and reporting on integration development plans and strategiesCoordinating activities with other developers and IT to ensure successful completion of integration projects Checking and correcting conflicts in data configurations and overlapsMaintaining the integrity and smooth functioning of the company's integration architectureAnalyzing and improving current system integrations and migration strategiesIdentifying, debugging, and advising on system errors or architecture issuesAssisting with the management of organizational databases and retrieval systemsSupporting internal applications and systemsAnalyze and evaluate operational problemsPerform comparative analysis of tools and techniquesBuild and execute unit tests and unit test plansExceptional work ethic, willingness to learn, tenacity not to quit, aptitude to surpass, and strong desire to work in a fast-paced environment are necessary for success. Collaboration and cross pollination with other teams will be frequent; thus communication, openness, and willingness to share both success and failure is necessary. We are a team-centric organization, there are no individuals, we win and lose together.Camgian offers a competitive salary, fun work environment, fringe benefits, and an equity opportunity. Camgian Culture and Core Value TraitsAbility to work as part of a team while maintaining independent thinkingSelf-driven and self-starter in addition to excellent communication skillsThinking outside the box and an aptitude for innovation and problem solvingAlways willing to explore the other side of fear, be challenged and to crave innovative technologies
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Software Development and Defense and Space Manufacturing
