title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Scientist,Diverse Lynx,"Ewing, NE",2024-03-28,On-site,,https://www.linkedin.com/jobs/view/data-scientist-at-diverse-lynx-3870774536?position=1&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=VRI%2BHcekJ%2BmjVDm%2BGi9p7Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.
","
          25 applicants
        ",Entry level,Full-time,Information Technology,Software Development
Data Scientist,SAIC,"Omaha, NE",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/data-scientist-at-saic-3798415936?position=2&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=Rrbbf8N8fAZ4nf%2BHWTvVMA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job ID 2313642Location OMAHA, NE, USDate Posted 2024-01-03Category Information TechnologySubcategory Data ScientistSchedule Full-timeShift Day JobTravel NoMinimum Clearance Required NoneClearance Level Must Be Able to Obtain SecretPotential for Remote Work NoDescriptionSAIC is currently seeking a full time Data Scientist to join our Omaha, NE team and begin an exciting and challenging career exploiting data science for environmental applications.Responsibilities Include Responsible for supporting technique development efforts for applications within the federal government. The ideal candidate is adept at using big data sets and applying machine learning and artificial intelligence techniques for analysis and prediction tools focused on environmental and meteorological applications. S/He needs to have strong experience using a variety of data mining/data analysis methods, the use of a variety of data tools, constructing and imposing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve enterprise outcomes. Work with large, complex datasets and remedy difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that consists of data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations. Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of data structures and metrics, advocating for changes where needed for both products development and sales activity mainly with Azure based solutions. Make recommendations such as cost-benefit, forecasting, and experiment analysis with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information. Research and develop analysis, forecasting and optimization methods to improve the quality of operational data processing systems. Interact cross-functionally with teams, and work closely with them to identify opportunities for design and to examine improvements for SAIC engaged solutions. Apply data science concepts to build predictive analytics tools using cutting edged techniques to exploit big data Bachelors and 5 years or more experience or 9 years of experience in lieu of degree Experience with statistical software such as R, Python, MATLAB, pandas and database languages such as SQL Experience with cloud platforms such as Azure, AWS or Google Cloud Platform Desired skills Advanced degree in a quantitative discipline such as Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Atmospheric Science, Electrical Engineering Industrial Engineering. 8 years of directly relevant, tech industry work experience such as a statistician, or data scientist, with deep expertise in statistical data analysis, such as linear models, multivariate analysis, stochastic models, and sampling methods. Applied experience with machine learning on large datasets. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Experience applying data science techniques to environmental science and/or weather-related challenges Understanding of Numerical Weather Prediction principles Experience/training in operational meteorology Experience with Air Force weather forecasting systems Must be a US Citizen Must be able to obtain Secret ClearanceQualificationsBachelors and 5 years or more experience or 9 years of experience in lieu of degree Experience with statistical software such as R, Python, MATLAB, pandas and database languages such as SQLExperience with cloud platforms such as Azure, AWS or Google Cloud PlatformDesired skillsAdvanced degree in a quantitative discipline such as Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Atmospheric Science, Electrical Engineering Industrial Engineering.8 years of directly relevant, tech industry work experience such as a statistician, or data scientist, with deep expertise in statistical data analysis, such as linear models, multivariate analysis, stochastic models, and sampling methods.Applied experience with machine learning on large datasets.Demonstrated skills in selecting the right statistical tools given a data analysis problem.Experience applying data science techniques to environmental science and/or weather-related challengesUnderstanding of Numerical Weather Prediction principlesExperience/training in operational meteorologyExperience with Air Force weather forecasting systemsMust be a US CitizenMust be able to obtain Secret Clearance SAIC accepts applications on an ongoing basis and there is no deadline.Covid Policy SAIC does not require COVID-19 vaccinations or boosters. Customer site vaccination requirements must be followed when work is performed at a customer site.
        ","
          151 applicants
        ",Entry level,Full-time,Engineering and Information Technology,"Computer Hardware Manufacturing, Defense and Space Manufacturing, and IT Services and IT Consulting"
C++ Developer,Saicon,"Omaha, NE",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/c%2B%2B-developer-at-saicon-3908764491?position=3&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=vDdxLKG1UFYRZXaS5F%2BEVQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
C++ DeveloperOmaha, NE – HybridContract: 12 months+STANDARD SKILLSET ROLE: C, C++ DEVELOPERMUST HAVE: C, C++, ORACLE TUXEDO, ORACLE PRO C, ORACLE PRO C++, SQL, PL/SQL, LINUX, SHELL SCRIPTINGNICE TO HAVE: JAVA SWINGEXPERIENCE LEVEL: SENIOR LEVELDESIRED PROFILE: -VERY STRONG IN C, C++, ORACLE PRO C, AND ORACLE PRO C++-STRONG EXPERIENCE WITH ORACLE TUXEDO SERVICES AND SERVERS-STRONG DATABASE KNOWLEDGE OF SQL, INDEXES, HINTS-LINUX KNOWLEDGE ESPECIALLY SHELL SCRIPTING-VERY GOOD ANALYTICAL SKILLS AND PROBLEM-SOLVING ABILITY A MUST. -VERY GOOD COMMUNICATION SKILLS. -ABILITY TO WORK INDEPENDENTLY AND IN A TEAM ENVIRONMENT.-STRONG BACKGROUND CULTURE OF DELIVERING PROJECTS WITH FIRST TIME RIGHT. ZERO DEFECTS IN PRODUCTION.
","
            Be among the first 25 applicants
          ",Not Applicable,Contract,"Engineering, Information Technology, and Other","Rail Transportation, Railroad Equipment Manufacturing, and Transportation, Logistics, Supply Chain and Storage"
Applied Science Software Engineer,"Schnackel Engineers, Inc.","Omaha, NE",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/applied-science-software-engineer-at-schnackel-engineers-inc-3889700790?position=4&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=Lqtm4IFfa6Bt3LyuYpbb0g%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionSchnackel Engineers is a progressive software development company with a goal of innovating the design of commercial building systems. The integration system is a revolutionary mechanical, electrical, and plumbing process which, allows the buildings to be designed and built more quickly, at a substantially reduced construction cost, and with long term operating cost savings. We offer more efficient, cost effective, and sustainable building designs than are possible with conventional engineering methods. We pride ourselves on finding optimized solutions to the engineered systems in order to minimize the initial cost, reduce construction waste, and minimize the time it takes for the engineers to design a commercial building.We are looking for full-time Applied Scientists with extensive research experience to perform exciting new development work as part of our growing software/algorithms team. The ideal candidate will have a history of research publications at top-tier publication conferences or journals. Much of our code base involves performing algorithmic and mathematical optimization and manipulating data structures. The candidate will be expected to comprehend current CAD automation algorithms, techniques and solutions, design new more efficient algorithms, and later integrate those algorithms into our software systems.What you need: PhD in Computer Science, Math, Engineering, or related fieldSolid background in Computer Science theories, such as algorithms, data structure and graph theory. Proficient Object Oriented Analysis and Design with programming skills in C#, C++ or JavaResearch Publications in fields like Optimization, Computational Geometry, or related field1-3-years formal work-related experience with research or software engineering, or equivalentWork independently and with teams based upon project assignmentsWhat would be nice for you to have: PhD in a field applicable to our challengeIndustrial or research experience in Computational Geometry, Optimization, or Operations Research. CAD, 3D modeling, GIS, or other spatial modeling workWhat you can expect from us: Competitive pay and benefits package including health, dental, vision, 401(k), Life Insurance, Disability, and Paid Time OffCasual work environmentFlexible hoursQuarterly bonuses, when company goals are metLeadership that engages and empowers you to make decisionsLong-term stable employmentExciting and fulfilling workJob Type: Full-time
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Engineering Services
Application Engineer,Industrial-Irrigation Services,"Hastings, NE",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/application-engineer-at-industrial-irrigation-services-3877884353?position=5&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=oLwwxIciiqyYuI6kt99c8A%3D%3D&trk=public_jobs_jserp-result_search-card,"
Application Engineer Job Description We are seeking an Application Engineer to join IIS in Hastings, Nebraska USA, a family-owned power systems distribution company. This individual will be responsible for performing all application engineering functions across all product lines for the company. Individual will possess strong technical skills for base engines, fuel systems, controls/electronics, wiring, engine harnesses, cooling systems, air & exhaust systems and engine driven components. An engineering level understanding of application integration is required. This individual would also work closely with our production and technical support teams to ensure correct production techniques, proper documentation, and proper engine QC testing procedures are followed. Markets/Industries covered for our products include agricultural, industrial, oil & gas and power generation. Some travel required. We offer vacation, health insurance, dental insurance, vision insurance, 401K benefits, HSA company matched contributions and other supplemental insurances are available as well. Compensation is negotiable and based on experience. Please submit CV/Resume to Jay Canada, Vice-President of Sales & Engineering at jwc@reliablehp.com. Please visit our website at www.reliablehp.com  The Application Engineer will work with our customers and sales team to design, qualify and test complete custom engine packages for field use. Component design and testing as well as working with existing and potential component suppliers will be key functions for the position. The successful individual in this role will also work with our in-house sales, technical support, and production teams to develop detailed work instructions for all new BOM’s, make any necessary updates/changes to existing BOM’s and communicate those to the production team. Individual will report to the Vice President of Sales & Engineering.Company will provide a cell phone, laptop computer, any necessary tools, all testing and diagnostic equipment required to effectively do the job. Essential Roles and responsibilities include but are not limited to:·        Provide and interpret engineering documents and CAD drawings.·        Proficiency in SolidWorks.·        Create and manage 3D models and files in existing PDM Vault for SolidWorks drawings. ·        Manage all engineering documents.Plan, organize and coordinate Engineering activities to meet customer and company objectives.Create and design prototypes for specific needs with direction from sales & input from suppliers.·        Design & test new components for BOM implementation. Manage initial Bill of Material construction for all prototypes and conduct proper paperwork for any changes to existing packages. Communicate this information to other pertinent departments.·        Provide information, support and integration guidance for engine emissions compliance on IIS engine packages. ·        FEA analysis for component development. ·        Be primary application engineering point of contact for the company.OEM & Dealer engagement; involvement with sales functions for new dealer & OEM onboarding, engineering team meetings.Lead all field testing/validation/application review activities.Demonstrate proficiency of mechanical engine theory, electronic engine diagnostics.·        Utilize our internal MRP/ERP business system with proficiency. ·        Be a resource of product information for our customers and other employees.Required Skills: 1.)          Possess technical knowledge of and an interest in engines and engine systems.2.)          Strong Customer focus for building customer relationships as well as customer-centered solutions. 3.)          Strong leadership qualities with good communication and interpersonal skills.4.)          Excellent organizational skills.5.)          Proficient with Microsoft Office Suite and related software.6.)          Become proficient with Hubspot Service & Sales Hub software as needed. 7.)          Excellent customer follow-up and perseverance.8.)          Strong understanding of customer and market dynamics and requirements.9.)          Work as a professional team member and help develop a positive team culture.10.)       Able to operate effectively and efficiently in a fast-paced, dynamic, changing market environment.11.)       Be friendly, well-spoken and ready to help our customers and co-workers.12.)       Foreign language skills beneficial, but not required. Required Attitude: 1)   Possess a positive attitude and a willingness to help the company succeed.2)   Accept and Act within the organization’s core values.3)   Have a mindset of Proactivity. Always be looking for ways to improve both the department as well as yourself and be more efficient. 4)   Be autonomous with an internal desire to grow and succeed. 5)   Acceptance of responsibilities and accountability for actions.6)   Must be looking for a career, not a job.Required Cognitive Skills:  1)   Be a Critical Thinker2)   Well-organized and thorough, with attention to detail. Required Habits: 1)     Ability to follow processes without exception.  Required Education and/or Experience: 1)   University or college degree in the field of engineering, or an acceptable combination of education and related technical experience.2)   Experience with Customer Service; ability to build trust and rapport, field and assess customer requests, nurture a customer experience mindset.Position Type:Full-time position 8:00am-5:00pm, Monday thru Friday. Office in Hastings, Nebraska.  Some scheduled travel (less than 25%) required for customer visits, application review testing, and tradeshows as needed.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Machinery Manufacturing
IT Engineer - Tier 2,Viterra US,"Omaha, NE",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/it-engineer-tier-2-at-viterra-us-3905101674?position=6&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=qRffwZuNL5%2BR813SO2assQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job Summary: The IT Engineer – Tier 2 acts as the primary point of escalation for infrastructure related issues for the Service Desk team. They will be responsible for assisting in the troubleshooting and maintenance of Cisco Call Manager, conference room equipment, and Network/Server infrastructure. This individual will immediately play a key role in handling second-level support of the Telecom, Conferencing, Network, and Server infrastructure, reaching out to third-level engineers and third-party support vendors as required.Essential Job Functions:Provide Tier 2 break/fix support for Cisco phone, network systems/connectivity, and server infrastructure issues.Maintain conference room equipment and work closely with the business to ensure proper operation during meetings.Respond to escalations from the Service Desk team.Responsible for maintaining ServiceNow low-moderate priority ticket queue for infrastructure related issues.Work with third-party support and service vendors to ensure that the network, phones, and servers are operational, escalating to third-level engineers when appropriate.Participate in shared pager rotation, responding to and resolving production-down issues.Demonstrate a commitment to acquiring new skillsets and capabilities.Perform routine maintenance on Telecom, Conferencing, Network, and Server infrastructure.Assist in maintaining appropriate patching and compliance levels as required for hardware and software using tools such as SCCM and WSUS.Develop and maintain process documentation.Seek out opportunities to automate manual tasks.Qualifications/Education/Experience/Skills: Strong presentation, communication, and facilitation skills (oral and written).Experience working with cross-functional business initiatives involving varying levels of the organization, from end users to executive leadership.Must be self-motivated with an ability to initiate and follow through on multiple concurrent projects under minimal supervision with high attention to detail.3 years’ network and server troubleshooting experience.BS in Computer Science or related field, or equivalent experience.Basic understanding of infrastructure services such as Active Directory, DNS, DHCP, DFS, Group Policy, and File/Print is required.Basic understanding of routing and switching protocols TCP/IP, OSPF, BGP.Ability to document and effectively communicate complex technical subject matter.Preference for breadth of IT domains, technologies, and roles. Microsoft 365 General networking knowledge centered around the use of Cisco, Palo Alto, Silver Peak, and Cradlepoint devices Citrix desktop virtualization and application delivery Working with remote locations and resources Server virtualization by means of VMware On-prem, cloud, and hybrid infrastructuresAbility to document and effectively communicate complex technical subject matter.High sense of urgency and flexibility in a fast-paced environment.Excellent problem-solving skills and attention to detail.Strong prioritization and organization skills.
","
            Be among the first 25 applicants
          ",Associate,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage"
Software Engineer,Aviture,"Omaha, NE",2024-04-02,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-aviture-3881881014?position=7&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=cBai6UJf%2B9p1LtEmBjY4ow%3D%3D&trk=public_jobs_jserp-result_search-card,"
          What is Aviture?Aviture is a full-service technology consulting firm with expertise in software solutions for both commercial and government organizations.We believe software doesn’t mean anything unless it solves a problem, so we create technology to enable users, open possibilities, and create meaningful impact.“I wanted to create a company that I would have wanted to work at when I was an engineer.” — Mark Griffis, PresidentWe are headquartered in Omaha, Nebraska, with remote employees across the nation: Las Vegas, Washington D.C., Austin, Dallas, Portland, Green Bay, Kansas City, Madison, Minneapolis, and Orlando, just to name a few.What is Aviture’s Art of the Possible?Along with our mission-driven team’s deep expertise in a wide range of development languages, we employ a disciplined agile approach to define goals upfront, keep organizational value at the forefront, and set the pace for rapid, iterative innovation that transforms organizations. We call this the Art of the Possible.The Solutions We’ve Created HaveSaved lives in the California wildfires and southern U.S. floodingProvided security for the 2020 Presidential Inauguration, Super Bowl, and post-attack Boston MarathonEnabled augmented-reality training environments for surgeonsIncreased transparency and promoted patient wellness in hospitals and senior care facilitiesCombined computer vision and robotics to automate dangerous manual labor tasksAnd much more!Why You’ll Want to Live AviturianAviturians Create Technology That Makes a Meaningful Difference In Someone’s Life. We’re a Team Made Up Of Designers, Engineers, Developers, And Inventors Who Believe Technology’s Purpose Is To Empower Users To Change The World. Here Are The Values That Guide UsEmbody integritySeek ownershipStay hungryRemain groundedCreate impactChallenge with respectWe’ve built our culture around creativity, continuous learning, and our shared values. If that sounds like something you’d like to be a part of, then join us today!Software EngineerAviture is hiring a Software Engineer. Aviturians understand how technology can change the world and have the technical skills to make those visions a reality. Aviturians are always eager to learn, share, collaborate, grow, and innovate. (We also share a good meme or thirty.)We’re looking for a rockstar Software Engineer who will…Work with a cross-functional team to design, develop, test and deploy innovative solutions to a wide range of complex business problems.Actively participate in all aspects of our agile development process.Utilize effective debugging techniques to identify and resolve software defects.Continuously keep themselves up to date on changes in technology, with an emphasis on the tech stacks being used by your team.Sound like you? Apply today:RequirementsBS degree in Software Engineering related degree, similar technical field of study or equivalent practical experience.Excellent verbal and written communication skills. Able to respectfully challenge the status quo.Experience developing and maintaining large-scale applications using one or more general purpose programming languages, such as: Python, Java, C#/.NET, Go, JavaScript, TypeScriptExperience with one or more modern frontend technologies is a plus: ReactJS, AngularJS, VueJS, etc.Able to work both autonomously, as well as collaboratively among a team of your peers.Excellent grasp of computer science concepts, proven ability to solve complex technical problems.Experience using common design patterns in the software industry.High personal standards for code quality, maintainability, and performance.BenefitsPPO or a High Deductible Health Plan, HSA eligible plan, Dental, Vision, and Supplemental Life.Generous paid time off that starts accruing on day one.Hybrid work environment with quarterly Castaway Week events in the Omaha HQ Office, all expenses paid, from across the country to participate in team-building, collaboration, and fun events.Company vacations!!! Previous destinations have included Napa Valley, Cancun, Cabo San Lucas and Aspen.Matching 401k with 100% vesting in six months.Pick your preferred workstation! Mac? PC? We’ll support you with the tech you need to do your best work.Get paid to go to national and international conferences and training, so that you can stay up to date with the latest innovations.Flexible work schedules: Work the times that fits your schedule, with all meetings required to be scheduled between 9 am and 3 pm CST.Free lunch every Friday and recurring team events for you and your family to enjoy.Incentive and bonus pay.Opportunities for connection and growth through peer coaching, recurring Lightning Talks to share things we’re passionate about, and a bi-weekly company-wide All Hands.
        ","
          67 applicants
        ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Civil Engineering
Mechanical Engineer - Data Center,Energy Jobline,"Omaha, NE",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/mechanical-engineer-data-center-at-energy-jobline-3891982626?position=8&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=bKeG5EKQ9gY%2Fa55Eb8u6Jw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionOlsson provides engineering services for data centers, large commercial developments, hospitals, laboratories, school/university buildings, and military facilities. As a Mechanical Engineer on our Mechanical/Electrical team, you will be responsible for designing and coordinating mechanical systems using both AutoCAD and Revit including the creation of Construction Documents and specifications. Responsibilities include coordinating with other disciplines, performing supporting calculations, meeting with clients to discuss conceptual and final designs, and travel to job sites for observation. Our mechanical design services can include HVAC design, plumbing design, and mechanical modeling.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Ruby Engineer,Jobot,"Lincoln, NE",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/ruby-engineer-at-jobot-3906495153?position=9&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=vQmD%2FhhbXsqvVoo8gU4MaQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page!Job detailsFully Remote AND 100% employee premiums paid!!!This Jobot Job is hosted by Garrett MathisonAre you a fit? Easy Apply now by clicking the ""Easy Apply"" button and sending us your resume.Salary $120,000 - $130,000 per yearA Bit About UsWe are experts in patient financing. We bridge the gap between service providers and the affordability of their services by offering fully-funded and quick financing options for providers, along with easily understandable terms.Why join us?We are a highly collaborative environment that is experiencing rapid growth. Additionally we pay all premiums for our employees and pay most premiums for their dependents. We are a tight knit high growth company really changing the world of healthcare financing.Job DetailsWe are seeking a highly motivated and skilled Ruby Engineer to join our team in the finance industry. The ideal candidate will have 5+ years of experience in Ruby, React, and Postgres. You will be responsible for designing, developing, and maintaining our web-based financial applications. This is a permanent position with competitive compensation and benefits.Responsibilities Design and develop new features for our web-based financial applications using Ruby on Rails and react. Write clean, efficient, and well-documented code. Collaborate with cross-functional teams to ensure the quality of the product. Maintain and improve existing codebase. Participate in code reviews and provide constructive feedback. Identify and fix bugs and performance issues. Keep up-to-date with new technologies and frameworks relevant to our applications.Qualifications 3+ years of experience in Ruby, React, and Postgres. Strong knowledge of web development principles and best practices. Experience with front-end technologies such as HTML, CSS, and JavaScript. Experience with database design and optimization. Experience with version control systems such as Git. Strong problem-solving skills and attention to detail. Excellent communication and collaboration skills. Bachelor's degree in Computer Science, Engineering, or a related field.If you are passionate about developing high-quality web-based financial applications and have the required skillset, we encourage you to apply for this exciting opportunity. We are looking for someone who is a team player, has a positive attitude, and is willing to learn and grow with us.Interested in hearing more? Easy Apply now by clicking the ""Easy Apply"" button.Want to learn more about this role and Jobot?Click our Jobot logo and follow our LinkedIn page!
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Software Development
Software Engineer with Clearance,Aviture,"Omaha, NE",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/software-engineer-with-clearance-at-aviture-3887636235?position=11&pageNum=0&refId=l5a8nOXQTMzYi%2BgZpf2TaA%3D%3D&trackingId=4yOSDmz7rUmso3J2if5e1Q%3D%3D&trk=public_jobs_jserp-result_search-card,"
What is Aviture?Aviture is a full-service technology consulting firm with expertise in software solutions for both commercial and government organizations.We believe software doesn’t mean anything unless it solves a problem, so we create technology to enable users, open possibilities, and create meaningful impact.“I wanted to create a company that I would have wanted to work at when I was an engineer.” — Mark Griffis, PresidentWe are headquartered in Omaha, Nebraska, with remote employees across the nation: Las Vegas, Washington D.C., Austin, Dallas, Portland, Green Bay, Kansas City, Madison, Minneapolis, and Orlando, just to name a few.What is Aviture’s Art of the Possible?Along with our mission-driven team’s deep expertise in a wide range of development languages, we employ a disciplined agile approach to define goals upfront, keep organizational value at the forefront, and set the pace for rapid, iterative innovation that transforms organizations. We call this the Art of the Possible.The solutions we’ve created have:Saved lives in the California wildfires and southern U.S. floodingProvided security for the 2020 Presidential Inauguration, Super Bowl, and post-attack Boston MarathonEnabled augmented-reality training environments for surgeonsIncreased transparency and promoted patient wellness in hospitals and senior care facilitiesCombined computer vision and robotics to automate dangerous manual labor tasksAnd much more!Why You’ll Want to Live AviturianAviturians create technology that makes a meaningful difference in someone’s life. We’re a team made up of designers, engineers, developers, and inventors who believe technology’s purpose is to empower users to change the world. Here are the values that guide us:Embody integritySeek ownershipStay hungryRemain groundedCreate impactChallenge with respectWe’ve built our culture around creativity, continuous learning, and our shared values. If that sounds like something you’d like to be a part of, then join us today!Software EngineerAviture is hiring a Software Engineer. Aviturians understand how technology can change the world and have the technical skills to make those visions a reality. Aviturians are always eager to learn, share, collaborate, grow, and innovate. (We also share a good meme or thirty.)We’re looking for a rockstar Software Engineer who will…Work with a cross-functional team to design, develop, test and deploy innovative solutions to a wide range of complex business problemsActively participate in all aspects of our agile development processUtilize effective debugging techniques to identify and resolve software defectsContinuously keep themselves up to date on changes in technology, with an emphasis on the tech stacks being used by your teamSound like you? Apply today:Requirements BS degree in Software Engineering related degree, similar technical field of study or equivalent practical experienceExcellent verbal and written communication skills. Able to respectfully challenge the status quoExperience developing and maintaining large-scale applications using one or more general purpose programming languages, such as:Python, Java, C#/.NET, Go, JavaScript, TypeScriptExperience with one or more modern frontend technologies is a plus: ReactJS, AngularJS, VueJS, etcAble to work both autonomously, as well as collaboratively among a team of your peersExcellent grasp of computer science concepts, proven ability to solve complex technical problemsExperience using common design patterns in the software industryHigh personal standards for code quality, maintainability, and performanceThis position will require the employee to have a Secret level Government clearance or the ability to obtain one. This position will require the employee to work in person at an off-site location. BenefitsPPO or a High Deductible Health Plan, HSA eligible plan, Dental, Vision, and Supplemental LifeGenerous paid time off that starts accruing on day oneHybrid work environment with quarterly Castaway Week events in the Omaha HQ Office, all expenses paid, from across the country to participate in team-building, collaboration, and fun eventsCompany vacations!!! Previous destinations have included Napa Valley, Cancun, Cabo San Lucas and AspenMatching 401k with 100% vesting in six monthsPick your preferred workstation! Mac? PC? We’ll support you with the tech you need to do your best workGet paid to go to national and international conferences and training, so that you can stay up to date with the latest innovationsFlexible work schedules: Work the times that fits your schedule, with all meetings required to be scheduled between 9 am and 3 pm CSTFree lunch every Friday and recurring team events for you and your family to enjoyIncentive and bonus payOpportunities for connection and growth through peer coaching, recurring Lightning Talks to share things we’re passionate about, and a bi-weekly company-wide All Hands
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
