title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Scientist,Syntricate Technologies,"Nashua, NH",2024-04-20,On-site,,https://www.linkedin.com/jobs/view/data-scientist-at-syntricate-technologies-3902890864?position=1&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=tISYf%2BShy5n5hmKNnTmSkA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello, Greetings from i3 infotek......! Hope you are doing great... I This is Gaurav from i3 infotek. I have some urgent requirements with one of my clients. Please go through the Job Description and let me know your interest. Below is the job Details. Title: Data Scientist  Location: Bentonville AR  Fulltime  No C2C or Contract Job DescriptionProven experience in deploying real-time AI/Client models using Google Cloud Platform.Strong programming skills in Python and PySpark.Proficiency with SQL and relational databases, data warehouses, and BigQuery.Experience in scaling marketing-related AI/Client solutions such as cross/upsell, recommended systems, and category propensity.Experience in deploying and managing Large scale Machine Learning Models is a plusExpertise with classical Client algorithm like K-NN, LSH, logistic regression, linear regression, SVM, Random forest and clustering.Good understanding of Client & DL algorithms and frameworks (Scikit-learn,Spacy, Tensorflow/Keras/ PyTorch)Experience in deep learning Algorithms like MLP, CNN, RNN, LSTMs and GANs, Transformers and LLMs.Excellent programming skills in PythonExpertise in Google Cloud and operationalization of models using MLOPs.Experience in scheduling jobs for automated training and inference of AI/Client models using airflow or any other workflow orchestration platform.Proficiency in collecting data from different data sources, data cleaning, preprocessing, and feature engineering.Understanding of regression, classification, and unsupervised Client algorithms.Experience in mentoring junior associates in scaling AI/Client models.Excellent problem-solving and analytical skills.Strong written and verbal communication skills, with the ability to present and explain complex concepts to both technical and non-technical audiences With gratitude , Gaurav (David) David@msrtechnologies.com Phone: -   781-896-2155 Ext - 126
","
          66 applicants
        ",Entry level,Contract,Information Technology,Information Technology & Services
Data Scientist,Syntricate Technologies,"Nashua, NH",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/data-scientist-at-syntricate-technologies-3885183666?position=2&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=Yq4nGXPA8fXsZxGpEGPzzQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello, Greetings from i3 infotek......! Hope you are doing great... I This is Gaurav from i3 infotek. I have some urgent requirements with one of my clients. Please go through the Job Description and let me know your interest. Below is the job Details. Title: Data Scientist  Location: San Jose CA  Fulltime  No C2C or Contract  JD Machine Learning and Deep Learning: (Mandatory)Understanding of Core machine learning algorithms and deep learning architectures.Strong Hold on Data cleaning, SQL queriesNatural Language Processing: (Mandatory)Proficiency in tokenization, stemming, lemmatization, and other text pre-processing techniques.Experience with word embeddings and vector representations of text.Experience with training and fine-tuning models for NLP tasks like text classification, sentiment analysis, named entity recognition, etc.Familiarity with pre-trained language models like BERT, GPT, etc. With gratitude  , Gaurav (David) David@msrtechnologies.com  Phone: -  781-896-2155 Ext - 126 www.i3infotek.com ( an MSRcosmos Group of Company )
        ","
          73 applicants
        ",Entry level,Contract,Information Technology,Information Technology & Services
Python Developer,Syntricate Technologies,"Nashua, NH",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/python-developer-at-syntricate-technologies-3889963302?position=3&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=VR7jgcOgc2WacDz3kG0csw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello, Greetings from i3 infotek......! Hope you are doing great... I This is Gaurav from i3 infotek. I have some urgent requirements with one of my clients. Please go through the Job Description and let me know your interest. Below is the job Details. Title: Python Developer Location: Remote  Fulltime  JD  No C2C or Contract  Visa- USC, GC, GC-EAD only Qualifications 5+ years of experience in Python development, with a strong focus on AWS services (Lambda, Glue, DynamoDB, SNS, SQS).  Proven experience with CI/CD pipelines, preferably Azure Pipelines.  Experience in making API calls and integrating various data sources and platforms.  Proficiency in writing unit tests and automated tests for Python scripts.  Strong Git skills for version control and collaborative development.  Strong problem-solving skills and the ability to work on complex data handling tasks.  Self-starter with the initiative to identify opportunities for improvement and drive changes.  Excellent communication skills, capable of conveying technical concepts to non-technical stakeholders.  Experience in working with Agile/Scrum development methodologies.  With gratitude  , Gaurav (David) David@msrtechnologies.com  Phone: -  781-896-2155 Ext - 126
","
          49 applicants
        ",Entry level,Contract,Information Technology,Information Technology & Services
Application Engineer,"Klein Marine Systems, Inc.","Salem, NH",2024-04-16,On-site,,https://www.linkedin.com/jobs/view/application-engineer-at-klein-marine-systems-inc-3863046213?position=4&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=wSwIDWSseta5oAJSN53TBg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Who we areKlein Marine Systems is the world's leading side scan sonar manufacturer and we are immensely proud of where we are and how we got here.  We are currently undergoing a remarkable period of transformation, making now an incredibly exciting time to join our team. We are searching for dynamic, technically skilled individuals who are passionate about their work to join us in New Hampshire. In return, you will have the opportunity to be part of the world's leading side scan sonar enterprise: contributing to significant advancements in our technologies and operations. Unleash your potential with a rewarding careerIf you possess a visionary mindset, a knack for solving complex challenges, and a burning desire to make a genuine impact on the world, explore our job opportunities. Seize the opportunity to unleash your courage and contribute to a more connected, smarter, and brighter future. Are you ready to join our exceptional team?We are constantly seeking top talent in the fields of Engineering, Sales, Manufacturing Operations, Finance and Accounting, Technology, R&D, Marketing, and Field Operations. At Klein, we take pride in creating a supportive, fair, and inclusive working environment that empowers you to thrive and advance in your career. Rest assured that all qualified applicants will be considered for employment without any discrimination based on race, religion, sex, national origin, age, disability, genetic information, veteran status, or any other factors prohibited by law. The Applications Engineer will play a critical role in providing both in-house and field level engineering/technical support. In-house activities include test/troubleshoot/repair sonar production electronics from system to component level, engineering and documentation support, system level test/customer demonstrations and customer support. Field work will include installation, commissioning, and training as well as preventive and corrective maintenance and will involve domestic and foreign travel to work at remote site locations, offshore facilities, and vessels. The successful candidate will also perform both formal and informal training in-house and at customer sites.  Key Responsibilities:This role offers a dynamic environment where you'll play a key role supporting Klein Marine Systems, a leading provider of sonar technology. Here's a breakdown of the key areas you'll focus on:Technical Expertise:Gain in-depth knowledge of Klein's sonar systems and related equipment (USBL, magnetometers, winches).Customer Support:Advise customers on choosing the most suitable sonar and supporting systems based on their specific survey needs.Assist the sales team with technical aspects of surveys, sonars, and system selection for proposals and tenders.Technical Operations:Participate in offshore sonar testing alongside the engineering team.Troubleshoot technical problems and prepare reports on the performance of new and existing sonar technology.Demonstrations and Training:Conduct domestic and international customer demonstrations showcasing Klein's full range of sonar systems.Integration and Collaboration:Work with developers of unmanned underwater and surface vehicles (UUVs and USVs) to integrate Klein sonars as payloads.Technical Documentation:Collaborate with engineering and production teams to update technical product manuals.Marketing and Communications:Develop marketing materials that effectively communicate the unique features and benefits of Klein's sonar systems, contributing to product differentiation and market growth.This position requires a blend of technical expertise, customer service skills, and the ability to translate complex information into clear communication for both technical and non-technical audiences. Qualifying Attributes and Skills: Bachelor’s degree in hydrography, geophysics, electrical engineering or relevant experience is required.Minimum of three years of experience as an offshore survey engineer/technical support position. Ability to work with technical staff and customers with varying experience levels.Experience with sonar and marine navigation equipment. Proficient with all standard electronic test equipment. Professionalism, with excellent communication skills, both written and verbal.Ability to work well in a fast-paced environment under tight deadlines.Strong problem solving and time management skills, a results-oriented work ethic, and ability to work alone with limited direct supervision. Klein Marine Systems is an equal opportunity employer with a generous compensation package:Healthcare Insurance provided: Health, Dental and Vision PlanElective deductions for Flexible Spending Company Paid Life Insurance, Short and Long-Term Disability401(k) Retirement Savings Plan with employer contributionPaid Vacation and Holidays9/80 Work Schedule
","
            Be among the first 25 applicants
          ",Not Applicable,Full-time,Engineering and Customer Service,"Appliances, Electrical, and Electronics Manufacturing"
AWS Leax and Python Developer,Syntricate Technologies,"Nashua, NH",2024-04-03,On-site,,https://www.linkedin.com/jobs/view/aws-leax-and-python-developer-at-syntricate-technologies-3879290165?position=5&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=P5cHbwFbzoBEmc6%2FbalUrA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Hello, Greetings from i3 infotek......! Hope you are doing great... I This is Gaurav from i3 infotek. I have some urgent requirements with one of my clients. Please go through the Job Description and let me know your interest. Below is the job Details. Title: AWS Lex and Python developer  Location: Newark NJ  Fulltime Jd Visa- USC, GC, GC-EAD, H1B only  Skill: AWS Lex and Python developer  5+ years of hands-on experience in coding/development in Contact Center platform (Routing/Reporting Call flows, IVR, Conversational AI, ChatBots, Call Recording, WFM etc).  2+ years of experience in Cloud enablement of Contact Center Solutions, especially in migrating from On-prem to CCaaS Cloud solution.  Experience in AWS Lex & Lambda for development of ChatBot.  4+ years of IVR Applications and Advanced Speech Recognition engines (ASRs), and hands on development and deployment experience.  4+ years of writing code in common programming languages such as NodeJS, Java, .Net, Python.  Experience using CICD tools such as BitBucket, Jenkins, AWS Code Pipeline etc.  Experience integrating with CRM apps including SalesForce and ServiceNow is a plus.  Experience with Genesys-Pure-Cloud or Genesys Engage, hands on implementation, Configuration, deployments to production and support is a plus.  Agile knowledge with SAFe or NWOW framework is preferred.  Experience involving digital transformation activities in large organization is a plus. Responsibilities Design, Configure, Develop, and Support Conversational IVR's, & Chatbots leveraging Genesys Cloud Architect tool and Amazon Lex & Lambda using Python and NodeJS.  Lead implementation of API / Web Service integrations to back-end systems (REST, Json, and SQL database).  Using agile methodologies, partner with product owners to understand business needs, gather requirements, and develop solutions to deliver the desired customer experience.  Lead implementation of Inbound & Outbound solutions, QM recording, WFM, Omni-Channel, Analytics, Customer Journeys, and Reporting.  Support and maintain existing Avaya Telephony and Contact Center solutions, and demonstrate complex problem-solving Skills.  With gratitude  , Gaurav (David) David@msrtechnologies.com  Phone: -  781-896-2155 Ext - 126 www.i3infotek.com ( an MSRcosmos Group of Company )
        ","
          28 applicants
        ",Entry level,Contract,Information Technology,Information Technology & Services
Software Development Engineer in Test II - Medical Devices ( REF2105O),"KMC Systems, Inc.","Merrimack, NH",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-ii-medical-devices-ref2105o-at-kmc-systems-inc-3900942451?position=6&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=zDABtEZe3D%2BQBVGlHWuydw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Company DescriptionKMC Systems, an Elbit Systems of America company, offers an ecosystem of engineering and innovation to develop the most advanced clinical and operational solutions for leading medical device customers across a diverse range of market segments. KMC was established in Merrimack, NH, in 1980, conveying almost half a century of innovation, R&D of next generation devices, and the agility to evolve to meet changing market dynamics. This has kept KMC at the forefront of technological advancements and as the premier choice for leading global medical device and healthcare companies. KMC is a full-suite provider with services in: Engineering Design, Manufacturing, Product Ideation, Product Lifecycle Management, and Sustaining Engineering.We are looking for extraordinary people to join #OneTeamOneMission to create and deliver innovative solutions that protect and save livesResponsibilitiesJob DescriptionDesign, implement, and deliver reliable, high quality, robust automation software and/or software tools targeted for testing complex medical instruments to meet regulatory standardsCreate, maintain and review testing project documents including tool development plans and software tool validation plansDrive software tool requirements with other members of the software quality engineering team as appropriateParticipate in the investigation and resolution of software defects.Utilize software engineering best practices (e.g., unit testing, integration testing, static analysis, code reviews)Work cooperatively within the software quality and software group to deliver projects on-time and on budget.DescriptionDevelop software test suites, implement automated test cases with a focus on functionality, performance, code coverage and regression testing; report software problems, verify fixes and review user documentation.Test software products for stability, usability, precision, accuracy, and reliability. Formulate and maintain test strategies; creating test plans and test cases for regression and functional testing of software products.Develop a understanding of the companies’ Quality Management Systems (QMS) policies and regulations, and apply them appropriately to all aspects of your assignments. You will be required to participate in testing software products for stability, usability, precision, accuracy, and reliability. Create test cases for regression and functional testing of software tools.Work directly with project team members, including software engineers, during key points along the software development process. Use the principals of the software development life cycle throughout the entire SQE process.Participate in product meetings throughout the development process to assist with the delivery of a quality software product.Use project planning and monitoring methods to confirm timely project completion.Report problems via the defect tracking system to analyze, research, and track software defects through their resolution. Verify code fixes and sign off on resolutions.Analyze test results and prepare SQE summary reports.Ensure adherence to regulatory standards, including FDA guidelines, and IEC 62304, and KMC Quality Procedures throughout the software development lifecycle.QualificationsRequiredBachelor's or Master’s degree in CS or related degrees.Minimum of 1+ years with a Master's or 3+ years with a Bachelor's of hands on experience in software development in test automation, and concurrent coding skills, in Python or equivalentTest automation experience using open-source technologies and/or in-house frameworksExperience with test frameworks such as Pytest, Cucumber, Selenium, Appium or JestExperience in nonembedded (OS) software testingExperience with code source control tools (Git, SVN)Experience with Jira/DevOps or similar Agile process toolsExperience using defect management and test management toolsExperience with code review processes and best coding practicesExperience with writing and reviewing unit tests in unittest Jasmine, Mocha, NUnit, JUnit, Jest, or other similar toolsExperience generating project documentation for requirements and testingExperience performing smoke tests, engineering tests and formal verification testingStrong application debugging skillsPreferredExperience working in a regulated industry such as medical based software Engineering Experience with Scrum/Agile development methodologyExperience in API testingExperience in gRPC testingAdditional InformationHere Are Some of the Great Benefits We Offer:Most locations offer a 9/80 schedule providing every other Friday offCompetitive compensation & 401k program to plan for your futureRobust medical, dental, vision, & disability coverage with qualified wellness discountsBasic Life Insurance and Additional Life & AD&D Insurances are availableFlexible Vacation & PTOPaid Parental LeaveGenerous Employee Referral ProgramVoluntary Benefits Available: Longer Term Care, Legal, Identify Theft, Pet Insurance, and many more optionsVoluntary Tricare Supplement available for military retireesIt has been and will continue to be the policy of Elbit Systems of America to recruit, hire, train, and promote into all job levels based solely upon job-related qualifications without regard to race, color, religion, creed, age, sex, national origin, gender identity or expression, sexual orientation, disability, marital status, veteran or military status, genetics or citizenship status.Eeo StatementElbit Systems of America is proud to be an Equal Opportunity Employer of Minorities/Females/Protected Veterans/Individual with Disabilities/Sexual Orientation/Gender Identity. Your information will be kept confidential according to EEO guidelines.AccessibilityElbit Systems of America is committed to working with and providing reasonable accommodation to individuals with physical and mental disabilities. If you need special assistance or an accommodation while seeking employment, please email recruitingfw@elbitsystems-us.com.
","
          48 applicants
        ",Mid-Senior level,Full-time,Engineering,Medical Device
Full Stack Engineer (On-Site),Datanomix,"Nashua, NH",2024-04-06,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-on-site-at-datanomix-3888026569?position=7&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=FtIaGbsT9gVjPzPaacs4Qg%3D%3D&trk=public_jobs_jserp-result_search-card,"
Full Stack Engineer - Multiple Openings (On-Site)***Note: This is not a remote position***Datanomix is seeking multiple Full Stack Engineers to assist in continuing to build out its industry-leading analytics platform.In this role, you will work alongside our UX and Data Services teams to:Implement new queries and API's to surface analytics and insights from the back-endConnect API's to front-end frameworks, implementing product designs and meeting performance and responsive requirementsIntegrate and test with a variety of mobile/desktop platforms to ensure performance and functionalityYou must have 5+ years experience building and shipping products using most or all of the following:React/NodeGraphQL/RESTflask/djangoElasticSearch/Mongo/CassandraDynamic charting libraries such as D3.jsRBAC in AWS, Azure or Google CloudDocker/KubernetesgitPreferred education level: Bachelor's degreeAll candidates must be authorized to work in the United States.About DatanomixWe're a rising start-up that is delighting industrial manufacturing customers with our turnkey Production Analytics platform. Our customers are loyal, hard-working, and effusive about the impact of our product. We are led by start-up veterans, and have an affinity for gritty, entrepreneurial team members.If you're ready to help accelerate adoption of a product that is loved, a customer base that is effusive, and a team that is committed to winning, let's talk!
","
            Over 200 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Automation Machinery Manufacturing
Software Developer,Oracle,"Nashua, NH",2024-04-17,On-site,,https://www.linkedin.com/jobs/view/software-developer-at-oracle-3900545089?position=8&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=rWtQtlBOEvBL4T%2FF%2FVv6Bw%3D%3D&trk=public_jobs_jserp-result_search-card,"
Job DescriptionDesign, development, and operations of highly available websites and operations. This role will focus on Front-End technologies such as JavaScript, HTML, CSS, and tooling associated content management.Career Level - IC2ResponsibilitiesAs a member of the software engineering division, you will apply basic to intermediate knowledge of software architecture to perform software development tasks associated with developing, debugging or designing software applications or operating systems according to provided design specifications. Build enhancements within an existing software architecture and occasionally suggest improvements to the architecture.QualificationsDisclaimer:Certain US customer or client-facing roles may be required to comply with applicable requirements, such as immunization and occupational health mandates.Range and benefit information provided in this posting are specific to the stated locations onlyUS: Hiring Range: from $62,100 - $158,200 per year. May be eligible for bonus and equity.Oracle maintains broad salary ranges for its roles in order to account for variations in knowledge, skills, experience, market conditions and locations, as well as reflect Oracle’s differing products, industries and lines of business.Candidates are typically placed into the range based on the preceding factors as well as internal peer equity.Oracle US offers a comprehensive benefits package which includes the following: Medical, dental, and vision insurance, including expert medical opinion Short term disability and long term disability Life insurance and AD&D Supplemental life insurance (Employee/Spouse/Child) Health care and dependent care Flexible Spending Accounts Pre-tax commuter and parking benefits 401(k) Savings and Investment Plan with company match Paid time off: Flexible Vacation is provided to all eligible employees assigned to a salaried (non-overtime eligible) position. Accrued Vacation is provided to all other employees eligible for vacation benefits. For employees working at least 35 hours per week, the vacation accrual rate is 13 days annually for the first three years of employment and 18 days annually for subsequent years of employment. Vacation accrual is prorated for employees working between 20 and 34 hours per week. Employees working fewer than 20 hours per week are not eligible for vacation. 11 paid holidays Paid sick leave: 72 hours of paid sick leave upon date of hire. Refreshes each calendar year. Unused balance will carry over each year up to a maximum cap of 112 hours. Paid parental leave Adoption assistance Employee Stock Purchase Plan Financial planning and group legal Voluntary benefits including auto, homeowner and pet insuranceAbout UsAs a world leader in cloud solutions, Oracle uses tomorrow’s technology to tackle today’s problems. True innovation starts with diverse perspectives and various abilities and backgrounds.When everyone’s voice is heard, we’re inspired to go beyond what’s been done before. It’s why we’re committed to expanding our inclusive workforce that promotes diverse insights and perspectives.We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity.Oracle careers open the door to global opportunities where work-life balance flourishes. We offer a highly competitive suite of employee benefits designed on the principles of parity and consistency. We put our people first with flexible medical, life insurance and retirement options. We also encourage employees to give back to their communities through our volunteer programs.We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by calling +1 888 404 2494, option one.Disclaimer:Oracle is an Equal Employment Opportunity Employer*. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law. Which includes being a United States Affirmative Action Employer
","
            Over 200 applicants
          ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Software Engineer w/ GenAI,Eliassen Group,"Nashua, NH",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/software-engineer-w-genai-at-eliassen-group-3901965362?position=9&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=CO3pgEOVsCkNR%2Bd6m6uxrQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Our client is looking for a passionate, self-motivated Software Engineer with strong programming fundamentals, software design and practices to help build foundational AI capabilities, innovate, accelerate, and deliver competitive advantage to our business. Join our talented team of engineers, designing and building the technology foundation that propels our business to harness the power of cloud.The Expertise and Skills You Bring Bachelor’s degree or higher in a technology related field (e.g. Engineering, Computer Science, etc.).5+ years of software engineering experience.Certifications preferred: AWS Solutions Architect, AWS Developer, or Kubernetes Application Developer.Passion for excellence, automation, innovation and collaboration.Eager to learn new technologies, ways of working, and to adapt every day.Bring curiosity and a questioning mind-set to work, injecting new points of view to the team.Ability to triage, execute root cause analysis, and be decisive under pressure.Ability to creatively solve new, interesting problems in a dynamic environment.Ability to work with a variety of individuals and groups, both in person and virtually, in a constructive and collaborative manner and build and maintain effective relationships.Hands-on experience building and deploying applications using a public cloud environment, preferably AWS.Demonstrated experience with building Flask/FastAPI based REST APIs and applying design patterns and object-oriented programming principles to solutions.Advanced proficiency in python programming and experience working with libraries like numpy, pandas and NLP (natural language processing) frameworks.Experience working with large language model frameworks like Langchain/LlamaIndex.Understanding of RAG(retrieval-augmented generation) architecture and proven ability to build advanced applications leveraging the architecture.Experience working with Vector Databases and being able to query them with programming languages.Demonstrated experience working with cloud AI managed services like AWS Bedrock/SageMaker, AWS CloudWhisperer, and integrating large language models like Azure OpenAI, Google Vertex and open-source models.Experience with prompt engineering and applying techniques to build efficient applications.Understanding of data structures, algorithms and application of core data science techniques and exploratory data analysis (EDA) skills.Understanding of the large language model development, design, testing, deployment, and familiarity with LLMOps.Experience with designing and maintaining CI/CD pipelines and proficiency with CI/CD tools (Jenkins preferred).Strong communication skills and ability to document and provide technical/implementation details.Proven understanding/experience of cloud networking, virtualization, storage, containers, serverless architecture/framework, cloud IAM controls and policies.Experience managing systems using infrastructure as code tools (CloudFormation, Ansible, Terraform, ARM, …).Demonstrated experience with writing automated tests.Experience executing the Software Development Lifecycle in an agile environment.Experience with fine-tuning large language models is a plus.JOB ID: 383923
","
          139 applicants
        ",Mid-Senior level,Contract,Consulting and Other,Financial Services and IT Services and IT Consulting
Software Test Engineer,The Davis Companies,"Nashua, NH",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/software-test-engineer-at-the-davis-companies-3904651938?position=10&pageNum=0&refId=twdlJJ4SfpmoEz83VpEs5Q%3D%3D&trackingId=DiHrvBj%2FI7nL5qvhAHXaQQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
Due to the nature of this role, we are unable to work with C2C or Third Parties.Tasks:Develop, implement, and deliver dependable, high-quality automation software and/or tools tailored for testing intricate medical devices to comply with regulatory requirements.Produce, update, and review documentation for testing projects, including plans for tool development and validation of software tools.Collaborate with other members of the software quality engineering team to define software tool requirements.Contribute to the investigation and resolution of software defects.Apply best practices in software engineering, such as unit testing, integration testing, static analysis, and code reviews.Collaborate effectively within the software quality and software development teams to ensure projects are completed on schedule and within budget.Description:This position requires a person who possesses strong technical qualities to develop software test suites, implement automated test cases with a focus on functionality, performance, code coverage and regression testing; report software problems, verify fixes and review user documentation.Test software products for stability, usability, precision, accuracy, and reliability. Formulate and maintain test strategies, creating test plans and test cases for regression and functional testing of software products.You will be required to develop a thorough understanding of the companies’ Quality Management Systems (QMS) policies and regulations and apply them appropriately to all aspects of your assignments.You will be required to participate in testing software products for stability, usability, precision, accuracy, and reliability. Create test cases for regression and functional testing of software tools.Work directly with project team members, including software engineers, during key points along the software development process. Use the principals of the software development life cycle throughout the entire SQE process.Participate in product meetings throughout the development process to assist with the delivery of a quality software product.Use project planning and monitoring methods to confirm timely project completion.Report problems via the defect tracking system to analyze, research, and track software defects through their resolution. Verify code fixes and sign off on resolutions.Analyze test results and prepare SQE summary reports.Ensure adherence to regulatory standards, including FDA guidelines, and IEC 62304, and KMC Quality Procedures throughout the software development lifecycle.RequiredBachelor's or master’s degree in CS or related degrees.Minimum of 3+ years with a Master's or 5+ years with a Bachelor's of hands-on experience in software development in test automation, and concurrent coding skills, in Python or equivalentTest automation experience using open-source technologies and/or in-house frameworks.Experience with automation framework architecture and development.Experience with test frameworks such as Pytest, Cucumber, Selenium, Appium or JestExperience in nonembedded (OS) software testing.Experience with code source control tools (Git, SVN)Experience with Scrum/Agile development methodology.Experience with Jira/DevOps or similar Agile process toolsExperience using defect management and test management toolsExperienced in code review processes and best coding practicesExperience with writing and reviewing unit tests in unittest Jasmine, Mocha, NUnit, JUnit, Jest, or other similar toolsExperience generating project documentation for requirements and testingExperience performing smoke tests, engineering tests and formal verification testingStrong application debugging skillsPreferred Experience working in a regulated industry such as medical based software engineeringExperience in API testingExperience in gRPC testing
","
          102 applicants
        ",Mid-Senior level,Contract,Information Technology,Medical Equipment Manufacturing
