title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Software Developer I,State of North Dakota,Greater Bismarck Area,2024-04-11,On-site,,https://www.linkedin.com/jobs/view/software-developer-i-at-state-of-north-dakota-3895274104?position=1&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=Jzleo6XwS86d19hu%2FwKTgw%3D%3D&trk=public_jobs_jserp-result_search-card,"
SOFTWARE DEVELOPER IPosition No: 125-28881Salary Range:  $6,800 per month. For full benefits package, click here: Total Rewards CalculatorClosing Date:  Open Until FilledStatus: Full-Time with State Benefit PackageRecruitment: Internal/ExternalLocation:  Bismarck, NDSelecting Supervisor:  Rebecca Thrall, Senior Programmer Analyst, IT/CJIS Division; Heidi Smith, Division Director, IT/CJIS DivisionSummary Of WorkThe Software Developer I position provides ample opportunities to work with interesting tools, engage in meaningful projects and programs, and grow personally and professionally. It is a small office that provides analysis, design, development, and support for a variety of applications, including large applications impacting a significant number of users within the Office of Attorney General and hundreds of criminal justice professionals across North Dakota. This makes the office environment dynamic, fast-paced, challenging, and collaborative.Please be advised there is now one Software Developer I position available.This position is an in-person position, located in Bismarck, North Dakota. All normal work hours will be conducted in person, in an office setting. No remote work or hybrid work is available. Duties and Tasks  Design and develop programming solutions based on available system resources and programming capability so that custom software can become available to the agency Coordinate with programming staff, users, and other system support sources to ensure the compatibility and integrity of programs so that software continues to provide the agency benefit Conduct an appropriate level of analysis to determine feasibility for an automated program or project so that that estimates, plans, schedules, budgets, and product requirements can be determined Perform program maintenance according to user specifications and to maintain technical updates so that software continues to provide agency benefit Serve as project leader/manager on special projects when seniority or special understanding is required for project success Develop program and system testing tools, methodology, and procedures as required to facilitate testing by agency users, public users, and users state-wide in other criminal justice and non-criminal justice agencies Prepare and maintain program and system documentation; assist in the preparation of user guides and instruction manuals as required Prepare required administrative reports, forms, and communications Mentor contract programmers on agency business/technical process and proceduresIn addition to the monthly salary, this position includes fully paid health insurance for employee and family (with a wellness rider included), the option to participate in employee-paid dental and vision for employee and family, participation in the state NDPERS defined benefit retirement plan as well as the option to participate in the 457 deferred compensation plan, the option to contribute to a medical spending account, and earning annual leave and sick leave.Employees in this position are eligible for the Public Service Loan Forgiveness (PSLF) program.Minimum QualificationsBachelor’s degree in computer science, computer information systems, or another computer related field, and two years of required work experience as described below. Additional work experience, as described, may substitute for up to two years of the education requirement on a year-for-year basis.Two years of the required work experience must be within the last four years.Required Work Experience: Progressive experience in the full life cycle of application developmentAnalysis, design, development and support of solutions in C#, VB.net, or similar languageExperience participating on teams that include a project managerPreference will be given to applicants with the following (not required): A degree with a major in computer science, computer information systems, or another computer related fieldExperience with criminal justice organizations such as a state identification bureau, sex offender registration, prosecuting attorneys, criminal courts, victim rights, or local law enforcementExperience with analysis, design, development, and support of solutions involving SOAP or RESTful synchronous messagingExperience with analysis, design, development, and support of solutions involving message queuing (NServiceBus or MSMQ)Experience with analysis, design, development, and support of relational databases (Microsoft SQL Server)Experience with or knowledge of development and execution of unit, system, and acceptance test plansExperience collaborating on solution technical analysis, design, and architecture to meet requirementsExperience with or knowledge of business analysis including business requirements elicitation, SIPOC diagrams, interviews, surveys, data dictionaries, traceability matrix, stakeholder analysis, use cases, process flows, and mockups.Experience with project initiation and planning including collaborating on project charters, plans, and schedulesMust demonstrate: Ability to build strong working relationships with customers and co-workers; preference given for relationships across organizational boundaries with both business and technical contactsExcellent prioritization, time management, and organization skillsAppropriate written and verbal communication skillsAbility to maintain a high degree of confidentialitySuccessful completion of the interview process, reference checks, and standard background and criminal record checks to determine knowledge, skills, and abilities to perform Software Developer I tasks.About Team ND""Far and away the best prize life offers is the chance to work hard at work worth doing."" - Theodore RooseveltMore than 7,500 talented, hard-working people across sixty-three agencies have come together as Team North Dakota. At Team ND, we are driven to succeed through gratitude, humility, curiosity and courage. Our purpose is to empower people, improve lives, and inspire success. Join us in being legendary.Total Rewards: The State of North Dakota is committed to providing team members with a strong and competitive rewards package that support you, your health and your family.Considering a new position on Team ND? How does your current position stack up? Use our Total Rewards Calculator to estimate. Application Procedures Applicants are screened based on qualifications, successful completion of the interview process and a background and criminal investigation. Applicants must be currently authorized to work in the United States on a full-time basis. The Office of Attorney General does not provide sponsorships.Application package must be received by 11:59 PM on the closing date listed on the opening.TO BE CONSIDERED FOR THIS POSITION APPLICATIONS MUST BE SUBMITTED ONLINE AT: www.nd.gov/careersDocuments To Be Submitted Resume  Cover letter with a summary that clearly explains how the applicant's work experience is related to the summary of work and minimum/preferred qualifications  3 Professional References  College Transcripts (copies or unofficial versions are acceptable for the initial application process but when the top candidate is given a conditional employment offer, they are required to present official transcripts) The North Dakota Office of Attorney General prohibits candidates from plagiarizing any portion of their employment application and interview process to include responses to questions in which you must provide a narrative and/or verbal response.You must create your own responses originally and not copy or adapt them from other sources.While the North Dakota Office of Attorney General encourages you to create your narratives and interview responses with great care, including correct use of grammar and style, you are prohibited from using any artificial intelligence (AI) or AI-assisted tool, to include but not limited to ChatGPT.Any information you provide during the application and interview process is subject to verification.The North Dakota Office of Attorney General will discontinue your candidacy if we find you have violated this prohibition on use of AI tools in the application and interview process.Anyone needing assistance or accommodations during any part of the application or interview process please contact Ashley, Office of Attorney General: E-mail: aeisenbeis@nd.gov ; phone: (701) 328-1256 or TTY: 1-800-366-6888. Learn more about Office of Attorney General at: https://attorneygeneral.nd.gov/  Learn more about Employment Benefits at: https://www.nd.gov/omb/public/careers/team-nd-benefits  Visit North Dakota State government: http://www.nd.gov To learn more about living in North Dakota, visit https://findthegoodlife.com Equal Employment Opportunity The State of North Dakota and this hiring agency do not discriminate on the basis of race, color, national origin, sex (including sexual orientation and gender identity), genetics, religion, age or disability in employment or the provisions of services and complies with the provisions of the North Dakota Human Rights Act.As an employer, the State of North Dakota prohibits smoking in all places of state employment in accordance with N.D.C.C.23-12-10.
","
          44 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Government Administration
Full Stack Engineer - Front End Focused,seasonshare,"Minot, ND",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875654254?position=4&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=Ye33lPQYW39h6pFUyjYr8w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Bismarck, ND",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875651584?position=5&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=5KTWoPMB%2BepV9EVKYKGHxw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Fargo, ND",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875649612?position=6&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=0CAlGlBS56JE8TOB3LoZbg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Infrastructure Engineer,"Liberty Personnel Services, Inc.","Grand Forks, ND",2024-04-10,On-site,,https://www.linkedin.com/jobs/view/infrastructure-engineer-at-liberty-personnel-services-inc-3893340053?position=7&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=7iPeYB2tX9j8zttvMEOmzg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Job Details:Infrastructure Engineer Grand Forks ND. Full time direct hire Must be local to Grand Forks. Cannot sponsor, must be a US Citizen or Green card holderAn industry leader is seeking an Infrastructure Engineer for a full time, direct hire position. Qualified candidates will have similar experience to the following:Design and implement network architecture, including routers, switches, firewalls, and other hardware devicesConfigure and maintain network security measures to protect against unauthorized accessMonitor network performance and troubleshoot any issues that ariseCollaborate with cross-functional teams to ensure seamless integration of network systemsConduct regular network audits to identify areas for improvement and implement necessary changesProvide technical support to end-users regarding network connectivity and related issuesStay up-to-date with industry trends and advancements in networking technologiesMust be a US Citizen or Green Card holderNO THIRD PARTIESPlease reach out for additional info. I have over 100+ IT roles open daily! Please add me on Linked in.---No Third Parties---To apply, submit resumes to mikes@libertyjobs.comMichael Sardella| Liberty Personnel Services, Inc.410 Feheley Drive | King of Prussia, PA 19406610.941.6300 EXT 145| 610.941.2424 Faxmikes@libertyjobs.comwww.libertyjobs.com#IT#womenintechnology#WomenWhoCloud
","
          62 applicants
        ",Entry level,Full-time,Information Technology,"Software Development, IT Services and IT Consulting, and Computer Networking Products"
Test Engineer,Stellent IT,"Fargo, ND",2024-04-09,On-site,,https://www.linkedin.com/jobs/view/test-engineer-at-stellent-it-3888431168?position=8&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=JyHPtWiSjV6JBlegpkMPtA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Test EngineerLocation: Fargo, North Dakota(Onsite)Interview: Phone + skypeJdlabview experience is best.As a Test Design Engineer You Will Design New, And Enhance Existing Test Systems For Robust Electronics Intended For On/off Road Vehicles And Harsh Environments. In Addition, You WillSolicit and capture requirements directly from customers without assistance from others. Review and provide proper feedback about the requirements.Create and review innovative HW/SW testing architectures and designs for challenging problems without need for peer guidance or supervision. This includes breaking the original requirements down into the proper high level and mid range architecture and then creating detailed design notes from the results.Perform advanced analysis and make recommendations and design decisions based on results with some assistance from others. Review the design calculations of others to ensure proper application of design techniques.Implement code using advanced usage of LabVIEW development practices and tools. Solve most tool suite set up problems. Solve integration issues that involve multiple code modules, code bases, and/or multiple developers. Critically review others' code.Perform detailed unit, integration, and systems verification and validation testing using HW/SW tools. Review others testing and suggest additional test cases.Review documentation produced during the Product Development Lifecycle that is generated by other engineering groups and verifies this documentation is sufficient for product design. Generate support documents as needed.Work closely with other project team members as needed to ensure the final combined product has compatible software, electronic hardware, and mechanical hardware which functions properly together and performs at levels specified in the test requirement or specifications.Qualifications3 or more years of experience in electronics testing3 or more years of experience in LabVIEW or other NI programming languages3 or more years of experience with basic controls, and Data Acquisition systems (DAQ)1 or more years of experience in SW development (C, C++, XML, Python, etc.)Technical experience using and understanding schematics and HW analysis software (Pspice, MathCAD)Experience in statistical analysis (SPC, GR&R, Monte Carlo, etc.)Experience with basic electronics HW and systems (i.e. Op Amp, FET's, Transistors, A/D converters, serial and parallel interfaces, etc.)Good written and verbal communications skills (English)Understanding of product development phases
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Other,IT Services and IT Consulting
Software Engineer,"American Farm Bureau Insurance Services, Inc. - AFBIS, Inc.","Fargo, ND",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-american-farm-bureau-insurance-services-inc-afbis-inc-3884291210?position=9&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=iH82m8y070fZAJ%2FgD2CiIg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          American Farm Bureau Insurance Services, Inc. (AFBIS, Inc.) is looking for a Software Engineer to work out of our Fargo, ND office. As a member of our development team, you will be responsible for designing, developing, and implementing software solutions using the Microsoft .NET technology stack.If you have a strong background in software development, a passion for coding, and experience in software engineering, this is an excellent opportunity to advance your career and contribute to the success of our organization by delivering high-quality software products. This role offers opportunities for growth and professional development.Reporting to the Software Engineering Supervisor, this position will participate in the full software development life cycle, including coding, testing and deployment. The Software Engineer will be responsible for:Writing clean, efficient, and well-documented code in VB.NET, C#, ASP.NET, and other relevant technologies.Contributing to the improvement and maintenance of existing software applications.Engineering software solutions using the Microsoft .NET technology stack, adhering to established coding standards and best practices.Optimizing software applications for performance, scalability, and security.Collaborating with other engineers and other departments to ensure successful integration and deployment of software solutions.Mentoring and provide guidance to software developers, fostering a culture of continuous learning and growth.What you will bring to this position:Bachelor's degree in computer science or a related field, or equivalent experience, with at least three years of professional experience in software engineering and an ""acceptable"" score on a programming aptitude test administered by the company prior to hiring.Experience with relational databases and the Microsoft .NET technology stackExcellent problem-solving skills and the ability to analyze and complete complex technical challenges and projects.Strong attention to detail and commitment to delivering high-quality software solutions.Proven ability to work independently and as part of a team, manage multiple priorities and deliver high-quality software solutions while meeting project deadlines.Must have excellent verbal and written communication skills, with the ability to work independently and effectively collaborate with team members and stakeholders.Crop insurance knowledge is a plus.This is a hybrid role working out of the Fargo office at least two days a week and one additional day within a two-week period.AFBIS offers a competitive benefits package that includes medical, dental, vision, life, and disability insurance; company funded cash balance pension and a 401(k) retirement plan; Flexible Spending and Health Savings Accounts; paid holidays, vacation, and sick time; Employee Assistance Program; and other benefits.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
BAS/BMS Systems Integator/Programmer,Jobot,"Fargo, ND",2024-04-23,On-site,,https://www.linkedin.com/jobs/view/bas-bms-systems-integator-programmer-at-jobot-3907356600?position=10&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=yZURTWz2AKfM%2BvyjE6mPUQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page!Job detailsThis Jobot Job is hosted by Kurt HolzmullerAre you a fit? Easy Apply now by clicking the ""Easy Apply"" button and sending us your resume.Salary $25 - $34 per hourA Bit About UsWe are a leading BAS and HVAC control provider for commercial and residential buildings throughout the greater North Dakota, South Dakota, and Minnesota regions.As a controls programmer/systems integrator on our team, you will be responsible for the integration and programming of BAS/BMS platforms and HVAC controls.Why join us? Competitive Pay DOE Comprehensive Benefits Package (100% company-paid HC premiums, not deducted from paycheck) 401k w/ 3% match Generous PTO + paid holidays Discretionary annual bonus Company vehicle, tools, and phone Travel reimbursementJob DetailsMUST HAVE 2+ years of building automation (BAS/BMS) or commercial HVAC controls experience Strong BAS/BMS systems integration and programming experience Familiarity with one or more of the following BAS systems Schneider Electric, Siemens, JCI, ALC, Trane, Delta Controls, Distech, Honeywell, or otherNICE TO HAVE Tridium NiagaraInterested in hearing more? Easy Apply now by clicking the ""Easy Apply"" button.Want to learn more about this role and Jobot?Click our Jobot logo and follow our LinkedIn page!
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Software Engineer,AmericanAg,"Fargo, ND",2024-04-05,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-americanag-3904922499?position=11&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=06BaUGCZef8iisjyfMuKEw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          American Farm Bureau Insurance Services, Inc. (AFBIS, Inc.) is looking for a Software Engineer to work out of our Fargo, ND office. As a member of our development team, you will be responsible for designing, developing, and implementing software solutions using the Microsoft .NET technology stack.If you have a strong background in software development, a passion for coding, and experience in software engineering, this is an excellent opportunity to advance your career and contribute to the success of our organization by delivering high-quality software products. This role offers opportunities for growth and professional development.ResponsibilitiesReporting to the Software Engineering Supervisor, this position will participate in the full software development life cycle, including coding, testing and deployment. The Software Engineer will be responsible for:Writing clean, efficient, and well-documented code in VB.NET, C#, ASP.NET, and other relevant technologies.Contributing to the improvement and maintenance of existing software applications.Engineering software solutions using the Microsoft .NET technology stack, adhering to established coding standards and best practices.Optimizing software applications for performance, scalability, and security.Collaborating with other engineers and other departments to ensure successful integration and deployment of software solutions.Mentoring and provide guidance to software developers, fostering a culture of continuous learning and growth.What You Will Bring To This PositionBachelor's degree in computer science or a related field, or equivalent experience, with at least three years of professional experience in software engineering and an “acceptable” score on a programming aptitude test administered by the company prior to hiring.Experience with relational databases and the Microsoft .NET technology stackExcellent problem-solving skills and the ability to analyze and complete complex technical challenges and projects.Strong attention to detail and commitment to delivering high-quality software solutions.Proven ability to work independently and as part of a team, manage multiple priorities and deliver high-quality software solutions while meeting project deadlines.Must have excellent verbal and written communication skills, with the ability to work independently and effectively collaborate with team members and stakeholders.Crop insurance knowledge is a plus.This is a hybrid role working out of the Fargo office at least two days a week and one additional day within a two-week period.AFBIS offers a competitive benefits package that includes medical, dental, vision, life, and disability insurance; company funded cash balance pension and a 401(k) retirement plan; Flexible Spending and Health Savings Accounts; paid holidays, vacation, and sick time; Employee Assistance Program; and other benefits.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Insurance
Programmer,Harris Computer,"North Dakota, United States",2024-04-18,On-site,,https://www.linkedin.com/jobs/view/programmer-at-harris-computer-3895667692?position=12&pageNum=0&refId=vBqKL2eotvT5bp%2BbQfjWqg%3D%3D&trackingId=e%2BtIq%2FIOOCnuM6sFdvD2qQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          ProgrammerHarris Local Government - RemoteJob Duties And ResponsibilitiesAnalyze business requirements; identify product impact and possible implementation options and recommend the solution that best suits the needs of the customers and HLG.Create and maintain application code that meets design specifications, follows HLG standards, and is easy to maintain.Perform code review for technical accuracy, standards, and functional compliance to the requirements.Provide Level 2 support of our applications.Ability to estimate work as requested.Work within deadlines in relation to product release timelines, and consistently complete assigned development tasks in required timeframes.Fulfill administrative reporting requirements.Other duties as assigned by management.Minimal travel required.What We Are Looking ForBachelor's Degree or equivalent work experience in Computer Science or related discipline5+ years of IBM iSeries RPG-ILE programming experience. Experience with Power Systems running on the IBM I.Knowledge of IBM I PTF updates and new server installations a plus.Demonstrated understanding of programming best practicesExperience with software requirements specifications, and strong interpretative skills to understand design requirementsExperience developing software in a team environment.Great communication skills, both verbal and written, that includes ability to communicate with internal and external people as changes occur in tasks assignedCustomer-service orientationAble to work independently as well as part of a teamIBM DB2 experience Preferred, but not required:Experience with unit/integration/automation testingAgile practices knowledgeKnowledge of IA county government tax operations or financial systems
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Software Development
