title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Software Developer I,Mascoma Bank,"White River Junction, VT",2024-04-12,On-site,,https://www.linkedin.com/jobs/view/software-developer-i-at-mascoma-bank-3895822903?position=1&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=h7TRe1bYx%2FxeyfShah%2BySA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Mascoma Bank is looking for a Software Developer I to join its high performing Software Development team. This position can be performed remotely – candidates in the Eastern Time Zone preferred. The software developed by the Software Developer I, in collaboration with the Software Development Team, will enable Mascoma Bank to meet business needs and maintain a technical competitive advantage in the financial industry. The person who fills this role will take direction from the Senior Software Developers.The successful candidate must have a solid understanding of basic network concepts and basic software development concepts and practices. A Bachelor’s degree in Computer Science or related technical field (or equivalent experience) preferred. Qualified candidates should possess the ability to work autonomously, adapt to changing priorities, and communicate effectively with other team members. Experience with Python, Scala, JavaScript, or Java is a must; experience with git version control system is a plus. Our Software Developer I should have a passion for learning new things and applying them to create better products, while maintaining a commitment to quality and showing strong attention to detail. All Mascoma Bank team members must always maintain confidentiality and privacy.Mascoma Bank is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, ethnicity, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, veteran status, status as an individual with a disability, or other applicable legally protected characteristics. To request a reasonable accommodation, please contact careers@mascomabank.com.As a Certified B Corporation, our vision is to be force for positive change for our customers, communities, and employees. We offer on- the -job training, contemporary benefits, and opportunities for growth and development. Please visit our career page at www.mascomabank.com/careers !Mascoma Bank is an Affirmative Action and Equal Opportunity Employer, M/F/D/V
        ","
          186 applicants
        ",Entry level,Temporary,Engineering and Information Technology,Banking
Web Developer,Vermont Public,"Colchester, VT",2024-04-21,On-site,,https://www.linkedin.com/jobs/view/web-developer-at-vermont-public-3903289072?position=2&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=a9fFllcNcwd8PnNnnDdATA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Location: Colchester, VTEmployment Type: Full-TimeSalary: $35,000.00 - $42,000.00Job DescriptionVermont Public Radio is searching for a web developer who will contribute immediately to the projects and services VPR provides across digital platforms. This is an excellent opportunity to work on a high profile team and gain experience in digital journalism and public media. If you're an organized, energetic, motivated, creative individual with demonstrated skills in web development, we're interested in hearing from you.As a contributor to VPR Digital Services, you'll work with a team of creative people on a variety of projects across VPR, with a primary emphasis on VPR News. Demonstrated proficiency in the tools of web development is required, especially PHP, JavaScript, HTML, CSS, APIs, and open source. Passion for journalism, storytelling, public service, and Vermont is a plus.RequirementsProfessional experience is not required, and recent graduates are welcome to apply, however we are looking for a “maker” and a “doer.” The successful candidate must have a portfolio or projects that showcase his or her work.This is a full-time position and the annual salary range is $35,000-$42,000, working at the VPR studios in Colchester, Vermont.To Apply, candidates must submit the following to careers @ vpr . net (no calls, please): Cover letter Resume Completed VPR Employment Application (available at http :// www . vpr . net / careers ) 3 samples of your work. Please submit your work samples either as a URLs or with screen shots as a PDF attachment. If your work was done as part of a collaboration, please describe your contribution and the work you did.This position is open until filled.VPR is an equal opportunity employer.
","
          41 applicants
        ",Entry level,Full-time,Engineering and Information Technology,Broadcast Media Production and Distribution
Full Stack Engineer - Front End Focused,seasonshare,"Essex Junction, VT",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875650451?position=3&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=eJda9In%2B%2FFA%2BO%2F028W0SqQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Burlington, VT",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875649623?position=4&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=uPiYAD7sZt2%2Bs%2BMpGu%2F07w%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Colchester, VT",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875649571?position=5&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=ty3HT6nHpuBz4loD1ZGRKA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Rutland, VT",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875649681?position=6&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=YxbIQUDVvjJXb9LssXlosA%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Barre Town, VT",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875651552?position=7&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=fUv5A73cKlT%2BSlEJxFp5Wg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Montpelier, VT",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875648671?position=8&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=nT9p8g19cXBo82XMgJMugQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Software Engineer,KORE Power,"Waterbury, VT",2024-04-08,On-site,,https://www.linkedin.com/jobs/view/software-engineer-at-kore-power-3787684405?position=9&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=vSw7%2FkosLL9siWu7pVlk7A%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionPosition at KORE SolutionsSoftware EngineerJob OverviewThe Software Engineer is part of the design and fulfillment team that delivers KORE’s engineered solutions to the customer. The software engineer works with Project Managers, Controls Engineers, and the client to support the control, data collection, and visualization aspects of the project.Work is primarily based out of our Waterbury, Vermont office. However, during system construction and integration, you may be required to travel outside of the office environment and help assemble or troubleshoot a system in the field.Essential Functions And ResponsibilitiesDiagnose system issues utilizing historical and real time data.Write scripts to automate various tasks.Work closely with engineering team on data collection and controls.Integrate various data sources into software applications.Reports ToReports to the Director of Engineering.QualificationsThe ideal candidate will possess the following knowledge, skills and abilities:Programming languages including Python, PHP, HTML and JavaScript.Use of APIs, encoding/decoding of XML and JSON arrays.Application of Machine Learning to optimize automation algorithms.Linux based operating systems, Apache2 and shell commands.Familiarity with MySQL or other databases.Communication and Networking protocols including TCP/IP, Modbus and CAN bus.Ability to read and understand blueprints, drawings, and schematics.Familiarity with office productivity software, including MS Word, Excel & Power Point.Team player, with a desire and willingness to learn. Physical RequirementsAble to lift and carry 25lbs.Hearing and vision within normal ranges, with or without corrective lenses or an assisted hearing device.Good manual dexterity required for the use of computers, mobile devices, and other productivity technologies.Ability to communicate orally with customers, vendors, and co-workers.Secondary job requirements include travel with field work which can consist of hiking, construction work, moving objects, and wearing PPE for specific tasks.KORE SOLUTIONS is an equal employment opportunity employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or veteran status, or any other legally protected characteristics with respect to employment opportunities.
        ","
            Over 200 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Renewable Energy Equipment Manufacturing
Project Engineer | Airborne Software,BETA TECHNOLOGIES,"South Burlington, VT",2024-04-22,On-site,,https://www.linkedin.com/jobs/view/project-engineer-airborne-software-at-beta-technologies-3907103678?position=10&pageNum=0&refId=LqdRoVQbJou16xSyCRvXRQ%3D%3D&trackingId=9XwK2m8e6fbbGQE0rSxzWg%3D%3D&trk=public_jobs_jserp-result_search-card,"
At Beta Technologies, we apply our intellectual curiosity, passion for aviation, and commitment to sustainability toward a shared mission of revolutionizing electric aviation. Regardless of the position one holds, each team member brings their talent and desire to positively impact the environment and lives of others in a refreshing, vibrant, and inclusive culture.The Project Engineer for Airborne Software will apply their deep knowledge of RTCA DO-178C and supplements, best practices for real-time safety-critical embedded software development, and project engineering mastery to plan, organize, direct, forecast, and track the work of the Airborne Software team members to achieve best-in-class project execution. The ideal candidate will have extensive knowledge of organizing and tracking embedded software projects in the aerospace domain, understanding of the dependencies and sequencing of tasks to comply with objectives of RTCA DO-178C, RTCA DO-330, and RTCA DO-331, and recognition and awareness of the interactions and transitioning of work performed by adjacent engineering disciplines.How you will contribute to revolutionizing electric aviation:Analyze software project scope and status to develop and maintain detailed schedules and forecasts of activities, milestones, and deliverablesInteract with adjacent engineering disciplines to identify, forecast, and track dependencies of the software projects and estimate and/or measure impacts to project executionConsume detailed supplier schedules and coordinate, manage, and track supplier software activities and milestonesSupply detailed status, milestone and deliverable forecasts, and other pertinent information to the Beta project engineering team for maintenance of the integrated master scheduleRaise awareness of notable accomplishments and achievement of significant milestones in company forums and reportsDistill complex schedule and execution data into easily digestible formats for presentation to key internal and external stakeholdersPerform schedule risk management including risk identification, scoring, mitigation planning, tracking, and reportingDevelop alternative execution scenarios for comparison with current state to determine best strategic approach to project completionMinimum Qualifications we are seeking:Minimum 7 years experience in project engineering of software projects in the aerospace industryStrong track record of successful software project executionDeep knowledge and experience with the activities and outputs required for DO-178C Level A complianceExperience with RTCA DO-330 tool qualification objectives, activities and outputsExperience with RTCA DO-331 model-based development objectives, activities, and outputsExperience with Stage of Involvement reviews and communication with FAA personnel and DERsExcellent team communication and collaboration skillsAbility to lead large and complex projectsAbility to work independently and as a member of an integrated teamAbove and Beyond Qualifications that will distinguish you:Project Management Professional (PMP) certificationKnowledge of and experience with Project Management tools (MSProject, Jira, others)Experience with Google G-suite including Drive, Mail, Calendar, Docs, Sheets, Slides, ChartsExperience with Collaboration tools such as Confluence and SlackRelevant experience in other regulated industries will be valuedInclusivity StatementEach of our backgrounds influences how we evaluate our own abilities. Research reveals that BIPOC, LGBTQ+, women, those from working-class backgrounds, individuals with disabilities, and other marginalized groups may hesitate to apply for roles if they don't meet all the requirements. Many skills can be learned on the job. If you can envision contributing value to our community and meet most criteria, we encourage you to apply.
","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,"Manufacturing, Engineering, and Business Development","Aviation and Aerospace Component Manufacturing, Manufacturing, and Engineering Services"
