title,company,location,posted_date,worktype,salary,job_link,job_description,applicants,Seniority level,Employment type,Job function,Industries
Data Scientist Healthcare Focus,WVU Medicine,"Core, WV",2024-03-27,On-site,,https://www.linkedin.com/jobs/view/data-scientist-healthcare-focus-at-wvu-medicine-3874081809?position=1&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=2%2BBowXw0T%2B1lxTITgc99Cg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full.  Below, you’ll find other important information about this position.    Manages, coordinates, and evaluates all elements of financial, material and human resources in the provision of care coordination to assigned group of patients in accordance with the service and missions of the institution.  MINIMUM QUALIFICATIONS: EDUCATION, CERTIFICATION, AND/OR LICENSURE: 1. Bachelor degree in Information Technology, Engineering, Statistics, or related field. EXPERIENCE: 1. Ten years of architecting experience with databases and web user interface development. 2. Ten years of experience with clinical data systems integrations.  PREFERRED QUALIFICATIONS: EDUCATION, CERTIFICATION, AND/OR LICENSURE: 1. Certification in Oracle or SQL Development. 2. Epic Clarity Proficiency or Certification. EXPERIENCE: 1. Two years in a leadership role.  CORE DUTIES AND RESPONSIBILITIES: The statements described here are intended to describe the general nature of work being performed by people assigned to this position.  They are not intended to be constructed as an all-inclusive list of all responsibilities and duties.  Other duties may be assigned.  1. Works closely with senior management 2. Create and maintain statistical models with a focus on population health claims and big data. 3. Implement and validate predictive models using population health claims and big data. 4. Communicate with senior management and other internal customers to understand business needs and provide analytical solutions. 5. Use statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights. 6. Use predictive analytics, data mining, pattern recognition, data modeling, machine learning, and other statistical methods to solve large scale problems and understand the meaning behind vast data sets. 7. Coordinates the population health data warehouse/business intelligence/strategic analytics group. 8. Interacts with necessary groups and leaders to define data requirements and analysis. 9. Improves business processes and supports critical business strategies by directing the development, implementation, and maintenance of claims data residing in the data warehouse. 10. Responsible for maintaining and monitoring the data systems to ensure they meet organization requirements for population health initiatives and analyses. 11. Works cooperatively with other members of Strategic Analytics and Business Intelligence to ensure that the overall goals of WVU Medicine’s Population Health team are being met. 12. Provides consultation on complex projects and is a top level contributor/specialist. 13. Optimize joint development efforts through appropriate database use and project design. 14. Implement new statistical or other mathematical methodologies as needed for specific models or analysis. 15. Keep up-to-date with latest technology trends.  PHYSICAL REQUIREMENTS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.   1. Frequent walking, standing, stooping, kneeling, reaching, pushing, pulling, lifting, grasping are necessary body movements utilized in performing duties through the work shift.  WORKING ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.   1. Office setting.  SKILLS AND ABILITIES:   1. Extensive knowledge of software development in all phases of the SDLC (software development lifecycle). 2. Excellent skills in UI (user interface) design and development. 3. Ability to research and integrate best practices for problem avoidance and continuous improvement. 4. Extensive skills in data mining and statistical analysis. 5. Ability to understand various data structures and common methods in data transformation. 6. Excellent pattern recognition and predictive modeling skills. 7. Skilled at using programing languages such as Java, Python, Oracle, HTML, DHTML, CSS, JSON, HL7. 8. Skilled at using Tableau. 9. Ability to present and explain complex findings at various technical and non-technical levels of the organization. 10. Excellent written and verbal communication skills. 11. Able to perform in an independent manner.  Additional Job Description:  Scheduled Weekly Hours:   40 Shift:   Exempt/Non-Exempt: United States of America (Exempt) Company:   SYSTEM West Virginia University Health System Cost Center: 576 SYSTEM IT Artificial Intel Analytics Address:  Morgantown WV  Core  West Virginia
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care
"Manager, Data Scientist - Compliance Risk",Energy Jobline,"West Virginia, United States",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/manager-data-scientist-compliance-risk-at-energy-jobline-3908210035?position=2&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=Sx9N52punvtMBMpmjhXi7A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Center 1 (19052), United States of America, McLean, VirginiaManager, Data Scientist - Compliance RiskData is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988 Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making. As a Data Scientist at Capital One, you’ll be part of a team that’s leading the next wave of disruption at a whole new scale, using the latest in computing and machine learning technologies and operating across billions of customer records to unlock the big opportunities that help everyday people save money, time and agony in their financial lives. Team Description The Compliance Risk Management Analytics and Innovation team builds the machine learning models that contribute to the organization’s regulatory compliance and risk management program. This team plays a crucial role in harnessing data-driven insights to ensure ad-herence to regulatory standards, intelligence in testing, and complaints management. The Manager of Data Science Risk management will lead and empower this team towards that mission. Role Description In this role, you will: Empower testing for compliance with state and federal regulations using AI and Machine Learning techniques. Perform data and model analytics to support compliance testing on various enterprise lines of businesses Monitor and drive insights in enterprise customer complaints and negative sentiments Utilize advanced data science techniques, including NLP and OCR to enhance the compliance and risk management processes Partner with a cross-functional team of data scientists, software engineers, and product managers to deliver a product customers love Leverage a broad stack of technologies — Python, Conda, AWS, H2O, Spark, and more — to reveal the insights hidden within huge volumes of numeric and textual data Build machine learning models through all phases of development, from design through training, evaluation, validation, and implementation Flex your interpersonal skills to translate the complexity of your work into tangible business goals The Ideal Candidate is: Innovative. You continually research and evaluate emerging technologies. You stay current on published state-of-the-art methods, technologies, and applications and seek out opportunities to apply them. A leader. You challenge conventional thinking and work with stakeholders to identify and improve the status quo. You’re passionate about talent development for your own team and beyond. Technical. You’re comfortable with open-source and are passionate about developing further. You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms. Basic Qualifications: Currently has, or is in the process of obtaining a Bachelor’s Degree plus 6 years of experience in data analytics, or currently has, or is in the process of obtaining a Master’s Degree plus 4 years of experience in data analytics, or currently has, or is in the process of obtaining PhD plus 1 year of experience in data analytics, with an expectation that required degree will be obtained on or before the scheduled start date At least 2 years’ experience in open source programming for large scale data analysis At least 2 years’ experience with machine learning At least 2 years’ experience with relational databases Qualifications: PhD in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics At least 1 year of experience working with AWS At least 1 year of experience managing people At least 2 years’ experience with natural processing At least 4 years’ experience in Python, Scala, or R for large scale data analysis At least 4 years’ experience with machine learning At least 4 years’ experience with SQL Capital One will consider sponsoring a new qualified applicant for employment authorization for this position. Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at the Capital One Careers website. Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level. This role is expected to accept applications for a minimum of 5 business days.No agencies please. Capital One is an equal opportunity employer committed to and in the workplace. All qualified applicants will receive consideration for employment without regard to (including , childbirth or related medical conditions), , , , , , , genetic information, marital status, , identity, reassignment, citizenship, immigration status, protected veteran status, or any other basis prohibited under applicable federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodationcapitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. For technical support or questions about Capital One's recruiting process, please send an email to Careerscapitalone.com Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site. Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting
"Manager, Data Scientist - Compliance Risk",Energy Jobline,"Rainelle, WV",2024-04-24,On-site,,https://www.linkedin.com/jobs/view/manager-data-scientist-compliance-risk-at-energy-jobline-3908072429?position=3&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=8Vcv446FLMmiaCBsT%2BN9Ug%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Center 1 (19052), United States of America, McLean, VirginiaManager, Data Scientist - Compliance RiskData is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988 Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making. As a Data Scientist at Capital One, you’ll be part of a team that’s leading the next wave of disruption at a whole new scale, using the latest in computing and machine learning technologies and operating across billions of customer records to unlock the big opportunities that help everyday people save money, time and agony in their financial lives. Team Description The Compliance Risk Management Analytics and Innovation team builds the machine learning models that contribute to the organization’s regulatory compliance and risk management program. This team plays a crucial role in harnessing data-driven insights to ensure ad-herence to regulatory standards, intelligence in testing, and complaints management. The Manager of Data Science Risk management will lead and empower this team towards that mission. Role Description In this role, you will: Empower testing for compliance with state and federal regulations using AI and Machine Learning techniques. Perform data and model analytics to support compliance testing on various enterprise lines of businesses Monitor and drive insights in enterprise customer complaints and negative sentiments Utilize advanced data science techniques, including NLP and OCR to enhance the compliance and risk management processes Partner with a cross-functional team of data scientists, software engineers, and product managers to deliver a product customers love Leverage a broad stack of technologies — Python, Conda, AWS, H2O, Spark, and more — to reveal the insights hidden within huge volumes of numeric and textual data Build machine learning models through all phases of development, from design through training, evaluation, validation, and implementation Flex your interpersonal skills to translate the complexity of your work into tangible business goals The Ideal Candidate is: Innovative. You continually research and evaluate emerging technologies. You stay current on published state-of-the-art methods, technologies, and applications and seek out opportunities to apply them. A leader. You challenge conventional thinking and work with stakeholders to identify and improve the status quo. You’re passionate about talent development for your own team and beyond. Technical. You’re comfortable with open-source and are passionate about developing further. You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms. Basic Qualifications: Currently has, or is in the process of obtaining a Bachelor’s Degree plus 6 years of experience in data analytics, or currently has, or is in the process of obtaining a Master’s Degree plus 4 years of experience in data analytics, or currently has, or is in the process of obtaining PhD plus 1 year of experience in data analytics, with an expectation that required degree will be obtained on or before the scheduled start date At least 2 years’ experience in open source programming for large scale data analysis At least 2 years’ experience with machine learning At least 2 years’ experience with relational databases Qualifications: PhD in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics At least 1 year of experience working with AWS At least 1 year of experience managing people At least 2 years’ experience with natural processing At least 4 years’ experience in Python, Scala, or R for large scale data analysis At least 4 years’ experience with machine learning At least 4 years’ experience with SQL Capital One will consider sponsoring a new qualified applicant for employment authorization for this position. Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at the Capital One Careers website. Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level. This role is expected to accept applications for a minimum of 5 business days.No agencies please. Capital One is an equal opportunity employer committed to and in the workplace. All qualified applicants will receive consideration for employment without regard to (including , childbirth or related medical conditions), , , , , , , genetic information, marital status, , , reassignment, citizenship, immigration status, protected veteran status, or any other basis prohibited under applicable federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodationcapitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. For technical support or questions about Capital One's recruiting process, please send an email to Careerscapitalone.com Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site. Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).
        ","
            Be among the first 25 applicants
          ",Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Full Stack Engineer - Front End Focused,seasonshare,"Morgantown, WV",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875653365?position=5&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=%2F%2BigvPQnhGiR03ggoDpY2A%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Huntington, WV",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875651557?position=6&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=KiAy7bYqJcShsvE8MTxPAQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Charleston, WV",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875648609?position=7&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=mvA5804X94iG6wNw1%2BfNcg%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Junior Software Engineer - .NET,Peraton,"Charleston, WV",2024-04-11,On-site,,https://www.linkedin.com/jobs/view/junior-software-engineer-net-at-peraton-3894406051?position=8&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=hM4KUPjtlKGAo%2F1cfI2NWA%3D%3D&trk=public_jobs_jserp-result_search-card,"
Peraton is searching for a talented Junior .Net Software Developer to become part of Peraton’s Citizens Security & Public Services, State and Local Regional team supporting a contract with the State of West Virginia.This position will be located on a client site in Charleston, WV.US CITIZENSHIP IS MANDATORYThis position is 100% ONSITE.W2 ANNUAL WITH FULL BENEFITSNO C2C OR 1099SALARY: $50K TO $60KDay to Day Work Responsibilities:The Jr. .Net Software Developer will be responsible for the following, but not limited to:The Developer will need to write complex queries in MS SQL, support web-based application systems, be able to solve problems and have the ability to use MS Office Tools.Collaborate with team members to determine best practices and client requirements for software with scrum and agile methodology.Develop intuitive software that meets and exceeds the needs of the client and company.Professionally maintain all software and create updates regularly to address customer concerns.Analyze and test programs and products before formal launch.Troubleshoot coding problems quickly and efficiently to ensure a productive workplace.Aid and support the coaching and training of other team members.Basic Qualifications: Bachelors Degree and 0 years experience OR high school diploma/equivalent and 4 years experienceUS CitizenshipMust have experience in software engineering to include using .Net, C++, PowerShell, MS SQL ServerMust have experience troubleshooting complex systems.Experience working with web services, APIs,Experience working with distributed, large scale, highly available systemsPossess the professional and technical skills necessary to perform .Net software development as part of an application development team.
","
          124 applicants
        ",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Government Relations Services
Full Stack Engineer - Front End Focused,seasonshare,"Wheeling, WV",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875652490?position=9&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=5f9Kp9Yl9Z6AAH82lIasNQ%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Full Stack Engineer - Front End Focused,seasonshare,"Parkersburg, WV",2024-03-31,On-site,,https://www.linkedin.com/jobs/view/full-stack-engineer-front-end-focused-at-seasonshare-3875651522?position=10&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=bKiTIw8LSSRAVNw4TvO1vw%3D%3D&trk=public_jobs_jserp-result_search-card,"
          Season Share is a Sports Ticketing Technology Software ProviderWe are looking for a Senior full-stack JavaScript developer interested in developing products used by the biggest teams in professional and collegiate sports. Our team is fascinated by building technology to help fans get tickets in a more fun and affordable way.100s of thousands of sports fans and college students use our products every month to form friend groups, claim tickets to the upcoming games, and purchase season ticket packages through our fun, subscription plan offering. We’re the first to bring a Netflix style subscription to sports ticketing.As a Senior Full Stack Engineer at Season Share, you will be responsible for designing, developing and maintaining full stack web apps.We Use React, NodeJS And MySQL Across Our Entire Product Suite. You Can Anticipate Working With The Following Technologies Day To DayReact/ReduxSQLMongoDBMochaJSExample Projects Of a Full Stack EngineerDesign user friendly features and productsReceive product requirements and design database models to facilitate business data flowWrite API endpoints consumed by front end React apps to facilitate new featuresWrite unit tests for your own endpointsIntegrate with third party REST APIsMake database design decisions new accommodate new featuresIntegrate with third party APIs that handle ticketing business logicAdd more features to the admin dashboard to make quality of life improvements for operations staffBonus PointsNatural leader with aspirations of becoming a manager and leading a teamWe are looking for a full time highly skilled Senior Full-Stack Engineer who is comfortable with both front and back end programming – preferably with expertise in and React.You will develop the future functionality of our product and be involved in the full development lifecycle. We are seeking a highly motivated individual who is comfortable in a fast-paced start-up environment as well as working with a remote development team. You will have the opportunity to work within a highly motivated and collaborative team.QualificationsWell rounded Full-Stack developer with exposure to all layers of application and developmentFront-end focused with designing productsExcellent development skills in and ReactProficiency with fundamental front end languages such as HTML, CSS, and JavascripteCommerce experience (even as a hobby)Sports fanDeployed customer-facing software into a product environmentStrong analytical and critical thinkingGood communication skillsNice to haveFamiliarity with ReduxExperience with eCommerceEntrepreneurial mindset, can think in terms of product and from a sports fan perspective.
","
            Be among the first 25 applicants
          ",Entry level,Full-time,Engineering and Information Technology,Entertainment
Cyber Detection Engineer,Leidos,"Fairmont, WV",2024-03-28,On-site,,https://www.linkedin.com/jobs/view/cyber-detection-engineer-at-leidos-3875373190?position=11&pageNum=0&refId=4Nt0B57fbZcD6XINBNi0UA%3D%3D&trackingId=%2FcAlfiL82TspDPKGIcK0Jw%3D%3D&trk=public_jobs_jserp-result_search-card,"
DescriptionLeidos is looking for a senior Cyber Detection Engineer Analyst to join our Security Operations Center (SOC) in support of our customer at the National Oceanic and Atmospheric Administration (NOAA).The Cyber Detection Engineer will develop detections based on intelligence available, then research and assist in implementing new detection methods. This Detection Engineer will ensure that malicious activity will be detected within the environment. The DE is responsible for quality assurance of detections including filtering for potential false positives, mapping detections to MITRE ATT&CK framework, and specific campaigns/APTs when applicable. The Detection Engineer will work closely with other analysts to ensure detections are relevant to the current threat landscape. DE will work closely with the SIEM team to make recommendations for tuning and detection enhancements. The DE will evaluate the quality of data resulting from detections and ensure that the output of a detection leads to a meaningful investigation.Configure tools to detect atomic, computed or behavioral indicators based on generated tactical intelligence across SOC’s detection sensors such as Logging Infrastructure (SIEM, Connector/Forwarder, Data Stream Processing, etc.), Security Sensors (NIDS/NIPS, EDR, Email Protection, etc.), or SOAR.Develop and implement detection feedback processes - e.g., tuning false positives, etc.Use machine learning and pattern analysis to improve detection of specific types of threats.Qualifications8+ years of prior relevant experience in order to operate within the scope contemplated by the level; combination of education, experience and certifications will be considered as part of qualification assessment.Prior experience performing as a SOC analystPrior experience performing similar application security functionsStrong analytical and troubleshooting skillsExcellent written and verbal communication skillsTeam playerCEH, GCIH, or relevant IT technology certificationPreferred QualificationsUpbeat and positive attitudeHands-on cybersecurity experience.Demonstrated understanding of the life cycle of cybersecurity threats, attacks, attack vector, and methods of exploitation with an understanding of intrusion set tactics, techniques and procedures (TTPs).Familiarity with the NOAA mission.ClearanceMust be US Citizen.Must have an active Interim Top Secret or adjudicated Secret to be considered for this role.Location:Fairmont, WVOriginal Posting Date2024-03-28While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above.Pay RangePay Range $101,400.00 - $183,300.00The Leidos pay range for this job level is a general guideline onlyand not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.
        ","
            Be among the first 25 applicants
          ",Entry level,Full-time,Information Technology,IT Services and IT Consulting
