Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Applied Scientist,$127K - $203K (Employer est.),"About the team
ZEXP is hiring an Applied Scientist to help us advance our mission to help our product and marketing teams run experiments faster, with improving methods, with more quality controls, and at a lower cost, to generate more impact and innovation.
In this role, you will research, prototype, and implement statistical and machine learning methods to improve the velocity and quality of experimentation at Zillow. We're building a world class experimentation platform to support our experimentation culture and power innovation in our Housing Super-App. We need you to invent and implement innovative capabilities to our analysis capability.
Together we'll enable scientists across Zillow to iterate, test, and quickly ship improvements to production for automation.


This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, Connecticut, Nevada and New York City the standard base pay range for this role is $127,100.00 - $203,000.00 Annually. This base pay range is specific to Colorado, Connecticut, Nevada and New York City and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.",3.9,"Zillow
3.9",Remote,-1,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),-1
"Data Scientist, Marketing & Online (Remote)",$127K - $203K (Employer est.),"Position Purpose:
The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specific data science team, this role would need to be knowledgeable in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As a Data Scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. This role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.




This position typically reports to Manager or above
This position has 0 Direct Reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.
























$160,000 - $90,000",3.8,"The Home Depot
3.8","Atlanta, GA",-1,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1
Data Scientist I,$127K - $203K (Employer est.),"YOUR LIFE'S MISSION: POSSIBLE
You have goals, dreams, hobbies and things you’re passionate about.

What’s Important to You Is Important to Us
We’re looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen.

Don’t take our word for it.",4.1,"Navy Federal Credit Union
4.1","Vienna, VA",-1,10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1
Data Science - Sanofi mRNA Virtual Career Fair on September 20th,$127K - $203K (Employer est.),"We would like to invite you to Sanofi’s mRNA Virtual Career Fair that will be held online on Tuesday, September 20th from 12 to 3PM (ET).
Sanofi’s mRNA Career Fair is for all bold and ambitious people who are ready to stretch the limits of science in a fast-paced environment and want to work with passionate people driven by the common purpose of improving people’s lives.
How far mRNA innovation can take us? Have you thought about it but never dared to say it out loud? We're going to do it live during the event's opening webinar. Don’t miss this chance to hear experts from Sanofi’s mRNA Center of Excellence discuss about the unlimited potential of messenger RNA technology from research to industrialization.
Meet enthusiastic teams and discover purposeful job opportunities focused on cutting-edge mRNA science at Sanofi that can take your career to the next level!",3.9,"Sanofi
3.9","Waltham, MA",-1,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1
Computer Vision / AI Data Scientist,$127K - $203K (Employer est.),"About care.ai
care.ai is the leading provider of a transformative AI platform for the healthcare industry to develop it into Smart facilities. Our team brings bold and innovative ideas combined with technology and healthcare expertise while making a genuine human impact for our clients, their patients and workforce.
Job Summary
The AI Engineer develops, evaluates and optimizes computer vision and deep learning models for various applications. In addition, the AI Engineer works with peers to drive solutions to meet product and technology requirements.
Experience Requirements",-1,care.ai,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Marketing Data Scientist,$127K - $203K (Employer est.),"MARKETING DATA SCIENTIST
A Marketing Data Scientist is needed at to support the Data Strategy & Analytics group. The Marketing Data Scientist must have particular experience building statistical models in python and utilizing data science packages in python. Must also have specific experience translating modeling analytics using tableau and PowerBI.
Purpose of Role
The Marketing Data Scientist will model complex business problems by building statistical models in python and utilizing data science packages in python with the purpose of providing market insights through data analysis. The Marketing Data Scientist will participate in a community-of-practice to maximize the effectiveness of the insights team, through knowledge sharing and thoughtful curation of algorithms and methods. The Marketing Data Scientist will be responsible for coordinating and initiating their own activities as it relates to maximizing the value of insights delivered and derived from data.",4.2,"HRU-Tech
4.2",Remote,-1,201 to 500 Employees,1979,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),-1
"Data Scientist, Audience Data Science - Marketing Analytics",$127K - $203K (Employer est.),"JOB SUMMARY: Design, develop and evaluate advanced predictive and machine learning models with a focus on the personalization and optimization of audience first, marketing tactics. Analyze and extract relevant information about guest behaviors and preferences from both structured and unstructured data to better understand marketing opportunities. Conduct advanced analysis on various marketing efforts to gauge performance, impact and effectiveness against the desired results. Responsible for building efficient and scalable automated data processes that prep and standardize various data sources in support of personalization. Delivers accurate, clear, concise insights and visualizations leveraging predictive results that inform and inspire internal stakeholders to make better business decisions.
MAJOR RESPONSIBILITIES:
Mine data to detect patterns, opportunities and insights via advanced analytical techniques to drive Personalization and Audience Strategy.",4.0,"Universal Orlando
4.0","Orlando, FL",-1,10000+ Employees,1987,Subsidiary or Business Segment,Hotels & Resorts,Hotels & Travel Accommodation,$1 to $5 billion (USD),-1
Data Scientist - Deep Learning,$127K - $203K (Employer est.),"Company Description
The Bosch Center for Artificial Intelligence provides services in AI technologies to Bosch’s business units and plants. Artificial intelligence technologies are impacting Bosch’s products and services in many domains: manufacturing, predictive maintenance, vehicle diagnostics, supply chain, large-scale simulations, etc. This is a technical position for someone who is skilled at bringing together disparate technologies to solve business problems.
Job Description
Bosch is at the forefront of innovation in the connected world and is impacting millions of lives every day through its products in mobility, industrial technology, consumer goods and energy and smart building sectors. We rely on data for every aspect of our product lifecycle and operations and we collect a lot of it every day.",4.1,"Bosch Group
4.1","Sunnyvale, CA",-1,10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1
Machine Learning Engineer/Data Scientist,$127K - $203K (Employer est.),"Machine Learning Engineer/Data Scientist
Description
As a part of our Decision Sciences group, you will work with our clients to help define solutions for institutionalizing data-driven decision-making in a cost-effective and scalable manner. The focus is not only on driving analytical outcomes but defining approaches to automate the operationalizing of the predictions within our client applications. You will not just be a data and a statistical expert, but a cognitive engineer who can combine analytics, mathematics, AI, and computational methods in helping improve our clients’ predictive and prescriptive capabilities.
Responsibilities
Use data mining, machine learning, and other tools to design and develop recommendation engines, predictive models, scoring algorithms, and other data products which drive user segmentation, engagement, retention, monetization",4.0,"Daman, Inc.
4.0",Remote,-1,51 to 200 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),-1
Data Scientist,$127K - $203K (Employer est.),"Title: Data Scientist
Location: 100% remote - must live in AZ
Open to sponsorship - must live in AZ
Term: 4-month contract to hire
Pay rate: $70/hr
The Data Scientist drives internal data analytics projects. Projects will vary from short explorations of our data to longer-term implementations of advanced predictive and machine learning models. The Data Scientist II constantly explores our existing data while seeking out new data to consume. They apply analytical and data science methods to real world datasets to solve ongoing business problems. The Data Scientist II effectively communicates both technical and analytical concepts across all levels of the organization, and they influence the roadmap and decision-making through presentation of data-based recommendations.",4.2,"MATRIX Resources
4.2","Scottsdale, AZ",-1,201 to 500 Employees,1983,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),-1
