job_title,rating,company_name,location,size,founded,type_of_ownership,industry,sector,revenue,seniority,salary_min,salary_max,salary_avg,description_len,age
na,3.9,Zillow,Remote,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),na,127,203,165.0,1727,17
data scientist,3.8,The Home Depot,GA,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),na,127,203,165.0,1508,44
data scientist,4.1,Navy Federal Credit Union,VA,10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,na,127,203,165.0,550,89
na,3.9,Sanofi,MA,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),na,127,203,165.0,873,49
data scientist,-1.0,care.ai,Remote,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,127,203,165.0,580,-1
data scientist,4.2,HRU-Tech,Remote,201 to 500 Employees,1979,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),na,127,203,165.0,976,43
data scientist,4.0,Universal Orlando,FL,10000+ Employees,1987,Subsidiary or Business Segment,Hotels & Resorts,Hotels & Travel Accommodation,$1 to $5 billion (USD),na,127,203,165.0,967,35
data scientist,4.1,Bosch Group,CA,10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),na,127,203,165.0,815,136
data scientist,4.0,"Daman, Inc.",Remote,51 to 200 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),na,127,203,165.0,870,27
data scientist,4.2,MATRIX Resources,AZ,201 to 500 Employees,1983,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),na,127,203,165.0,778,39
data scientist,-1.0,"Staffing Pros, a division of VETS-inc.",VA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,127,203,165.0,493,-1
data scientist,-1.0,Dallas Limetree LLC,TX,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,127,203,165.0,1250,-1
data scientist,-1.0,Staffing By Sabri,CA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,127,203,165.0,580,-1
data scientist,-1.0,Roc Search,Remote,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,127,203,165.0,624,-1
data scientist,3.8,Vaco,Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),na,127,203,165.0,1889,20
data scientist,3.7,The Mom Project,Remote,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,senior,127,203,165.0,4964,6
data scientist,4.0,Insight Global,Remote,1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),na,127,203,165.0,1284,21
data scientist,4.5,Applied Resource Group,Remote,1 to 50 Employees,2010,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),senior,127,203,165.0,705,12
data scientist,5.0,Engtal,Remote,1 to 50 Employees,2017,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$5 to $25 million (USD),senior,127,203,165.0,752,5
data scientist,4.1,DISYS - Digital Intelligence Systems,Remote,1001 to 5000 Employees,1994,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),junior,127,203,165.0,549,28
data scientist,3.9,Primary Talent Partners,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,na,127,203,165.0,759,-1
data scientist,4.8,"Ursus, Inc.",CA,51 to 200 Employees,2015,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$25 to $100 million (USD),na,127,203,165.0,518,7
data analyst,4.0,Insight Global,Remote,1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),na,127,203,165.0,437,21
data scientist,3.8,Atlas,Remote,51 to 200 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),na,127,203,165.0,494,23
data analyst,3.7,The Mom Project,Remote,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,senior,127,203,165.0,6128,6
data analyst,3.8,Acara Solutions,NC,10000+ Employees,1957,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,na,127,203,165.0,985,65
data scientist,3.7,Clinical Management Consultants,CA,1 to 50 Employees,-1,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,na,127,203,165.0,2016,-1
data scientist,4.1,Brooksource,NJ,501 to 1000 Employees,2000,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),na,127,203,165.0,555,22
data scientist,4.2,CyberCoders,CA,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),na,127,203,165.0,979,23
data scientist,4.0,"Pyramid Consulting, Inc",TX,1001 to 5000 Employees,1996,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),na,127,203,165.0,1285,26
machine learning engineer,4.0,General Motors,Remote,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),na,127,127,127.0,5028,114
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),na,127,127,127.0,1735,169
data scientist,3.8,UMass Memorial Health,MA,10000+ Employees,1997,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),senior,127,127,127.0,609,25
data scientist,3.6,Target,MN,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),senior,127,127,127.0,216,60
data scientist,4.8,"Point Digital Finance, Inc.",CA,201 to 500 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,na,127,127,127.0,565,7
data engineer,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),na,127,127,127.0,1567,169
data scientist,3.6,Target,MN,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),senior,127,127,127.0,1138,60
data analyst,4.3,"TechData Service Company, LLC",Remote,1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),na,127,127,127.0,698,-1
data scientist,-1.0,Tech Intellectuals,NY,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,na,127,127,127.0,458,-1
data scientist,3.8,The Home Depot,GA,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),senior,127,127,127.0,1787,44
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,127,127,127.0,1647,169
data scientist,4.3,Delta,GA,10000+ Employees,1928,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),na,127,127,127.0,64,94
data scientist,3.8,The Home Depot,GA,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),senior,127,127,127.0,1597,44
